ID;EnergySourcesTechniques;Periods;ProductionOfElectricity_1;RelativeToTotalUseOfElectricity_2;ProductionOfElectricity_3;RelativeToTotalUseOfElectricity_4;ProductionOfElectricity_5;RelativeToTotalUseOfElectricity_6;Electricity_7;RelativeToTotalUseOfElectricity_8;Electricity_9;RelativeToTotalUseOfElectricity_10
203;Wind energy, total;2011 3rd quarter;;;1069.0;3.72;1069.0;3.85;;;;
204;Wind energy, total;2011 4th quarter;;;1714.0;5.2;1714.0;5.39;;;;
205;Wind energy, total;2011;4725.0;3.87;5100.0;4.18;5100.0;4.33;2299.0;1.95;;
206;Wind energy, total;2012 1st quarter;;;1399.0;4.43;1399.0;4.58;;;;
207;Wind energy, total;2012 2nd quarter;;;1101.0;3.95;1101.0;4.09;;;;
208;Wind energy, total;2012 3rd quarter;;;921.0;3.26;921.0;3.38;;;;
209;Wind energy, total;2012 4th quarter;;;1561.0;4.88;1561.0;5.05;;;;
210;Wind energy, total;2012;4939.0;4.13;4982.0;4.16;4982.0;4.31;1758.0;1.52;;
211;Wind energy, total;2013 1st quarter;;;1552.0;5.02;1552.0;5.18;;;;
212;Wind energy, total;2013 2nd quarter;;;1347.0;4.95;1347.0;5.09;;;;
213;Wind energy, total;2013 3rd quarter;;;785.0;2.82;785.0;2.91;;;;
214;Wind energy, total;2013 4th quarter;;;1891.0;5.93;1891.0;6.12;;;;
215;Wind energy, total;2013;5352.0;4.54;5574.0;4.73;5574.0;4.87;2738.0;2.39;;
216;Wind energy on shore;1990;56.0;0.07;56.0;0.07;56.0;0.07;;;;
217;Wind energy on shore;1991;88.0;0.11;88.0;0.11;88.0;0.11;;;;
218;Wind energy on shore;1992;137.0;0.16;147.0;0.17;147.0;0.18;;;;
219;Wind energy on shore;1993;173.0;0.2;174.0;0.2;174.0;0.21;;;;
220;Wind energy on shore;1994;221.0;0.24;238.0;0.26;238.0;0.27;;;;
221;Wind energy on shore;1995;314.0;0.34;317.0;0.34;317.0;0.36;;;;
222;Wind energy on shore;1996;435.0;0.45;437.0;0.46;437.0;0.47;;;;
223;Wind energy on shore;1997;489.0;0.49;475.0;0.48;475.0;0.5;;;;
224;Wind energy on shore;1998;571.0;0.55;640.0;0.62;640.0;0.64;;;;
225;Wind energy on shore;1999;642.0;0.61;645.0;0.61;645.0;0.63;;;;
226;Wind energy on shore;2000;744.0;0.69;829.0;0.76;829.0;0.79;;;;
227;Wind energy on shore;2001;822.0;0.74;825.0;0.74;825.0;0.77;;;;
228;Wind energy on shore;2002 1st quarter;;;342.0;1.19;342.0;1.23;;;;
229;Wind energy on shore;2002 2nd quarter;;;193.0;0.72;193.0;0.75;;;;
230;Wind energy on shore;2002 3rd quarter;;;125.0;0.46;125.0;0.48;;;;
231;Wind energy on shore;2002 4th quarter;;;287.0;0.97;287.0;1.01;;;;
232;Wind energy on shore;2002;1020.0;0.91;947.0;0.84;947.0;0.87;;;;
233;Wind energy on shore;2003 1st quarter;;;338.0;1.14;338.0;1.18;;;;
234;Wind energy on shore;2003 2nd quarter;;;303.0;1.12;303.0;1.16;;;;
235;Wind energy on shore;2003 3rd quarter;;;194.0;0.71;194.0;0.74;;;;
236;Wind energy on shore;2003 4th quarter;;;485.0;1.62;485.0;1.67;;;;
237;Wind energy on shore;2003;1359.0;1.19;1320.0;1.16;1320.0;1.2;;;;
238;Wind energy on shore;2004 1st quarter;;;585.0;1.91;585.0;1.96;;;;
239;Wind energy on shore;2004 2nd quarter;;;351.0;1.24;351.0;1.29;;;;
240;Wind energy on shore;2004 3rd quarter;;;411.0;1.44;411.0;1.5;;;;
241;Wind energy on shore;2004 4th quarter;;;524.0;1.68;524.0;1.73;;;;
242;Wind energy on shore;2004;1763.0;1.49;1871.0;1.58;1871.0;1.63;;;;
243;Wind energy on shore;2005 1st quarter;;;740.0;2.38;740.0;2.48;;;;
244;Wind energy on shore;2005 2nd quarter;;;391.0;1.39;391.0;1.43;;;;
245;Wind energy on shore;2005 3rd quarter;;;340.0;1.2;340.0;1.24;;;;
246;Wind energy on shore;2005 4th quarter;;;596.0;1.91;596.0;1.99;;;;
247;Wind energy on shore;2005;2034.0;1.71;2067.0;1.74;2067.0;1.81;;;;
248;Wind energy on shore;2006 1st quarter;;;674.0;2.11;674.0;2.21;0.0;0.0;;
249;Wind energy on shore;2006 2nd quarter;;;583.0;2.06;583.0;2.09;0.0;0.0;;
250;Wind energy on shore;2006 3rd quarter;;;389.0;1.35;389.0;1.42;0.0;0.0;;
251;Wind energy on shore;2006 4th quarter;;;1021.0;3.26;1021.0;3.37;0.0;0.0;;
252;Wind energy on shore;2006;2477.0;2.06;2666.0;2.22;2666.0;2.3;0.0;0.0;;
253;Wind energy on shore;2007 1st quarter;;;1086.0;3.35;1086.0;3.48;;;;
254;Wind energy on shore;2007 2nd quarter;;;529.0;1.83;529.0;1.89;;;;
255;Wind energy on shore;2007 3rd quarter;;;668.0;2.3;668.0;2.37;;;;
256;Wind energy on shore;2007 4th quarter;;;825.0;2.55;825.0;2.66;;;;
257;Wind energy on shore;2007;2862.0;2.33;3108.0;2.53;3108.0;2.62;;;;
258;Wind energy on shore;2008 1st quarter;;;1384.0;4.17;1384.0;4.32;;;;
259;Wind energy on shore;2008 2nd quarter;;;599.0;2.05;599.0;2.13;;;;
260;Wind energy on shore;2008 3rd quarter;;;709.0;2.43;709.0;2.52;;;;
261;Wind energy on shore;2008 4th quarter;;;972.0;2.99;972.0;3.1;;;;
262;Wind energy on shore;2008;3376.0;2.72;3664.0;2.95;3664.0;3.06;;;;
263;Wind energy on shore;2009 1st quarter;;;1011.0;3.2;1011.0;3.34;;;;
264;Wind energy on shore;2009 2nd quarter;;;742.0;2.68;742.0;2.77;;;;
265;Wind energy on shore;2009 3rd quarter;;;780.0;2.86;780.0;2.98;;;;
266;Wind energy on shore;2009 4th quarter;;;1312.0;4.14;1312.0;4.3;;;;
267;Wind energy on shore;2009;3762.0;3.18;3846.0;3.25;3846.0;3.38;;;;
268;Wind energy on shore;2010 1st quarter;;;915.0;2.9;915.0;3.0;;;;
269;Wind energy on shore;2010 2nd quarter;;;669.0;2.38;669.0;2.46;;;;
270;Wind energy on shore;2010 3rd quarter;;;694.0;2.45;694.0;2.52;;;;
271;Wind energy on shore;2010 4th quarter;;;1035.0;3.15;1035.0;3.26;;;;
272;Wind energy on shore;2010;3737.0;3.09;3315.0;2.74;3315.0;2.83;;;;
273;Wind energy on shore;2011 1st quarter;;;1071.0;3.33;1071.0;3.44;;;;
274;Wind energy on shore;2011 2nd quarter;;;890.0;3.15;890.0;3.27;;;;
275;Wind energy on shore;2011 3rd quarter;;;891.0;3.1;891.0;3.21;;;;
276;Wind energy on shore;2011 4th quarter;;;1446.0;4.39;1446.0;4.55;;;;
277;Wind energy on shore;2011;3982.0;3.26;4298.0;3.52;4298.0;3.65;;;;
278;Wind energy on shore;2012 1st quarter;;;1196.0;3.79;1196.0;3.92;;;;
279;Wind energy on shore;2012 2nd quarter;;;927.0;3.33;927.0;3.44;;;;
280;Wind energy on shore;2012 3rd quarter;;;763.0;2.71;763.0;2.8;;;;
281;Wind energy on shore;2012 4th quarter;;;1307.0;4.09;1307.0;4.23;;;;
282;Wind energy on shore;2012;4156.0;3.47;4193.0;3.51;4193.0;3.62;;;;
283;Wind energy on shore;2013 1st quarter;;;1326.0;4.29;1326.0;4.42;;;;
284;Wind energy on shore;2013 2nd quarter;;;1150.0;4.22;1150.0;4.35;;;;
285;Wind energy on shore;2013 3rd quarter;;;664.0;2.39;664.0;2.46;;;;
286;Wind energy on shore;2013 4th quarter;;;1664.0;5.22;1664.0;5.38;;;;
287;Wind energy on shore;2013;4612.0;3.92;4803.0;4.08;4803.0;4.2;;;;
288;Wind energy off shore;1990;0.0;0.0;0.0;0.0;0.0;0.0;;;;
289;Wind energy off shore;1991;0.0;0.0;0.0;0.0;0.0;0.0;;;;
290;Wind energy off shore;1992;0.0;0.0;0.0;0.0;0.0;0.0;;;;
291;Wind energy off shore;1993;0.0;0.0;0.0;0.0;0.0;0.0;;;;
292;Wind energy off shore;1994;0.0;0.0;0.0;0.0;0.0;0.0;;;;
293;Wind energy off shore;1995;0.0;0.0;0.0;0.0;0.0;0.0;;;;
294;Wind energy off shore;1996;0.0;0.0;0.0;0.0;0.0;0.0;;;;
295;Wind energy off shore;1997;0.0;0.0;0.0;0.0;0.0;0.0;;;;
296;Wind energy off shore;1998;0.0;0.0;0.0;0.0;0.0;0.0;;;;
297;Wind energy off shore;1999;0.0;0.0;0.0;0.0;0.0;0.0;;;;
