ID;EnergySourcesTechniques;Periods;ProductionOfElectricity_1;RelativeToTotalUseOfElectricity_2;ProductionOfElectricity_3;RelativeToTotalUseOfElectricity_4;ProductionOfElectricity_5;RelativeToTotalUseOfElectricity_6;Electricity_7;RelativeToTotalUseOfElectricity_8;Electricity_9;RelativeToTotalUseOfElectricity_10
933;Other biomass combustion;2013 3rd quarter;;;259.0;0.93;229.0;0.85;;;;
934;Other biomass combustion;2013 4th quarter;;;267.0;0.84;235.0;0.76;;;;
935;Other biomass combustion;2013;993.0;0.84;993.0;0.84;875.0;0.77;;;;
936;Biogas total;1990;96.0;0.12;96.0;0.12;84.0;0.11;;;;
937;Biogas total;1991;128.0;0.15;128.0;0.15;112.0;0.14;;;;
938;Biogas total;1992;155.0;0.18;155.0;0.18;120.0;0.14;;;;
939;Biogas total;1993;204.0;0.23;204.0;0.23;170.0;0.2;;;;
940;Biogas total;1994;246.0;0.27;246.0;0.27;213.0;0.24;;;;
941;Biogas total;1995;274.0;0.3;274.0;0.3;241.0;0.27;;;;
942;Biogas total;1996;291.0;0.3;291.0;0.3;257.0;0.28;;;;
943;Biogas total;1997;284.0;0.29;284.0;0.29;252.0;0.26;;;;
944;Biogas total;1998;276.0;0.27;276.0;0.27;243.0;0.24;;;;
945;Biogas total;1999;299.0;0.28;299.0;0.28;262.0;0.26;;;;
946;Biogas total;2000;307.0;0.28;307.0;0.28;270.0;0.26;;;;
947;Biogas total;2001;329.0;0.3;329.0;0.3;294.0;0.27;;;;
948;Biogas total;2002 1st quarter;;;;;;;;;;
949;Biogas total;2002 2nd quarter;;;;;;;;;;
950;Biogas total;2002 3rd quarter;;;;;;;;;;
951;Biogas total;2002 4th quarter;;;;;;;;;;
952;Biogas total;2002;350.0;0.31;350.0;0.31;316.0;0.29;;;;
953;Biogas total;2003 1st quarter;;;;;;;;;;
954;Biogas total;2003 2nd quarter;;;;;;;;;;
955;Biogas total;2003 3rd quarter;;;;;;;;;;
956;Biogas total;2003 4th quarter;;;;;;;;;;
957;Biogas total;2003;339.0;0.3;339.0;0.3;310.0;0.28;;;;
958;Biogas total;2004 1st quarter;;;;;;;;;;
959;Biogas total;2004 2nd quarter;;;;;;;;;;
960;Biogas total;2004 3rd quarter;;;;;;;;;;
961;Biogas total;2004 4th quarter;;;;;;;;;;
962;Biogas total;2004;310.0;0.26;310.0;0.26;276.0;0.24;;;;
963;Biogas total;2005 1st quarter;;;;;;;;;;
964;Biogas total;2005 2nd quarter;;;;;;;;;;
965;Biogas total;2005 3rd quarter;;;;;;;;;;
966;Biogas total;2005 4th quarter;;;;;;;;;;
967;Biogas total;2005;312.0;0.26;312.0;0.26;278.0;0.24;;;;
968;Biogas total;2006 1st quarter;;;;;;;;;;
969;Biogas total;2006 2nd quarter;;;;;;;;;;
970;Biogas total;2006 3rd quarter;;;;;;;;;;
971;Biogas total;2006 4th quarter;;;;;;;;;;
972;Biogas total;2006;379.0;0.31;379.0;0.31;339.0;0.29;;;;
973;Biogas total;2007 1st quarter;;;;;;;;;;
974;Biogas total;2007 2nd quarter;;;;;;;;;;
975;Biogas total;2007 3rd quarter;;;;;;;;;;
976;Biogas total;2007 4th quarter;;;;;;;;;;
977;Biogas total;2007;529.0;0.43;529.0;0.43;477.0;0.4;;;;
978;Biogas total;2008 1st quarter;;;;;;;;;;
979;Biogas total;2008 2nd quarter;;;;;;;;;;
980;Biogas total;2008 3rd quarter;;;;;;;;;;
981;Biogas total;2008 4th quarter;;;;;;;;;;
982;Biogas total;2008;750.0;0.6;750.0;0.6;681.0;0.57;;;;
983;Biogas total;2009 1st quarter;;;;;;;;;;
984;Biogas total;2009 2nd quarter;;;;;;;;;;
985;Biogas total;2009 3rd quarter;;;;;;;;;;
986;Biogas total;2009 4th quarter;;;;;;;;;;
987;Biogas total;2009;934.0;0.79;934.0;0.79;848.0;0.74;;;;
988;Biogas total;2010 1st quarter;;;;;;;;;;
989;Biogas total;2010 2nd quarter;;;;;;;;;;
990;Biogas total;2010 3rd quarter;;;;;;;;;;
991;Biogas total;2010 4th quarter;;;;;;;;;;
992;Biogas total;2010;1043.0;0.86;1043.0;0.86;950.0;0.81;;;;
993;Biogas total;2011 1st quarter;;;;;;;;;;
994;Biogas total;2011 2nd quarter;;;;;;;;;;
995;Biogas total;2011 3rd quarter;;;;;;;;;;
996;Biogas total;2011 4th quarter;;;;;;;;;;
997;Biogas total;2011;1060.0;0.87;1060.0;0.87;958.0;0.81;;;;
998;Biogas total;2012 1st quarter;;;;;;;;;;
999;Biogas total;2012 2nd quarter;;;;;;;;;;
1000;Biogas total;2012 3rd quarter;;;;;;;;;;
1001;Biogas total;2012 4th quarter;;;;;;;;;;
1002;Biogas total;2012;1043.0;0.87;1043.0;0.87;931.0;0.8;;;;
1003;Biogas total;2013 1st quarter;;;;;;;;;;
1004;Biogas total;2013 2nd quarter;;;;;;;;;;
1005;Biogas total;2013 3rd quarter;;;;;;;;;;
1006;Biogas total;2013 4th quarter;;;;;;;;;;
1007;Biogas total;2013;;;;;;;;;;
1008;Biogas from landfills;1990;21.0;0.03;21.0;0.03;16.0;0.02;;;;
1009;Biogas from landfills;1991;37.0;0.04;37.0;0.04;28.0;0.03;;;;
1010;Biogas from landfills;1992;58.0;0.07;58.0;0.07;31.0;0.04;;;;
1011;Biogas from landfills;1993;102.0;0.12;102.0;0.12;76.0;0.09;;;;
1012;Biogas from landfills;1994;145.0;0.16;145.0;0.16;120.0;0.14;;;;
1013;Biogas from landfills;1995;161.0;0.17;161.0;0.17;138.0;0.15;;;;
1014;Biogas from landfills;1996;179.0;0.19;179.0;0.19;155.0;0.17;;;;
1015;Biogas from landfills;1997;162.0;0.16;162.0;0.16;141.0;0.15;;;;
1016;Biogas from landfills;1998;169.0;0.16;169.0;0.16;145.0;0.15;;;;
1017;Biogas from landfills;1999;176.0;0.17;176.0;0.17;149.0;0.15;;;;
1018;Biogas from landfills;2000;180.0;0.17;180.0;0.17;153.0;0.15;;;;
1019;Biogas from landfills;2001;184.0;0.17;184.0;0.17;160.0;0.15;;;;
1020;Biogas from landfills;2002 1st quarter;;;;;;;;;;
1021;Biogas from landfills;2002 2nd quarter;;;;;;;;;;
1022;Biogas from landfills;2002 3rd quarter;;;;;;;;;;
1023;Biogas from landfills;2002 4th quarter;;;;;;;;;;
1024;Biogas from landfills;2002;198.0;0.18;198.0;0.18;176.0;0.16;;;;
1025;Biogas from landfills;2003 1st quarter;;;;;;;;;;
1026;Biogas from landfills;2003 2nd quarter;;;;;;;;;;
1027;Biogas from landfills;2003 3rd quarter;;;;;;;;;;
1028;Biogas from landfills;2003 4th quarter;;;;;;;;;;
1029;Biogas from landfills;2003;183.0;0.16;183.0;0.16;166.0;0.15;;;;
1030;Biogas from landfills;2004 1st quarter;;;;;;;;;;
1031;Biogas from landfills;2004 2nd quarter;;;;;;;;;;
1032;Biogas from landfills;2004 3rd quarter;;;;;;;;;;
1033;Biogas from landfills;2004 4th quarter;;;;;;;;;;
1034;Biogas from landfills;2004;155.0;0.13;155.0;0.13;134.0;0.12;;;;
1035;Biogas from landfills;2005 1st quarter;;;;;;;;;;
1036;Biogas from landfills;2005 2nd quarter;;;;;;;;;;
1037;Biogas from landfills;2005 3rd quarter;;;;;;;;;;
1038;Biogas from landfills;2005 4th quarter;;;;;;;;;;
1039;Biogas from landfills;2005;148.0;0.12;148.0;0.12;127.0;0.11;;;;
1040;Biogas from landfills;2006 1st quarter;;;;;;;;;;
1041;Biogas from landfills;2006 2nd quarter;;;;;;;;;;
1042;Biogas from landfills;2006 3rd quarter;;;;;;;;;;
1043;Biogas from landfills;2006 4th quarter;;;;;;;;;;
1044;Biogas from landfills;2006;144.0;0.12;144.0;0.12;123.0;0.11;;;;
1045;Biogas from landfills;2007 1st quarter;;;;;;;;;;
1046;Biogas from landfills;2007 2nd quarter;;;;;;;;;;
1047;Biogas from landfills;2007 3rd quarter;;;;;;;;;;
1048;Biogas from landfills;2007 4th quarter;;;;;;;;;;
1049;Biogas from landfills;2007;132.0;0.11;132.0;0.11;111.0;0.09;;;;
1050;Biogas from landfills;2008 1st quarter;;;;;;;;;;
1051;Biogas from landfills;2008 2nd quarter;;;;;;;;;;
1052;Biogas from landfills;2008 3rd quarter;;;;;;;;;;
1053;Biogas from landfills;2008 4th quarter;;;;;;;;;;
1054;Biogas from landfills;2008;126.0;0.1;126.0;0.1;106.0;0.09;;;;
1055;Biogas from landfills;2009 1st quarter;;;;;;;;;;
1056;Biogas from landfills;2009 2nd quarter;;;;;;;;;;
1057;Biogas from landfills;2009 3rd quarter;;;;;;;;;;
1058;Biogas from landfills;2009 4th quarter;;;;;;;;;;
1059;Biogas from landfills;2009;118.0;0.1;118.0;0.1;97.0;0.09;;;;
1060;Biogas from landfills;2010 1st quarter;;;;;;;;;;
1061;Biogas from landfills;2010 2nd quarter;;;;;;;;;;
1062;Biogas from landfills;2010 3rd quarter;;;;;;;;;;
1063;Biogas from landfills;2010 4th quarter;;;;;;;;;;
1064;Biogas from landfills;2010;109.0;0.09;109.0;0.09;90.0;0.08;;;;
1065;Biogas from landfills;2011 1st quarter;;;;;;;;;;
1066;Biogas from landfills;2011 2nd quarter;;;;;;;;;;
1067;Biogas from landfills;2011 3rd quarter;;;;;;;;;;
1068;Biogas from landfills;2011 4th quarter;;;;;;;;;;
1069;Biogas from landfills;2011;96.0;0.08;96.0;0.08;79.0;0.07;;;;
1070;Biogas from landfills;2012 1st quarter;;;;;;;;;;
1071;Biogas from landfills;2012 2nd quarter;;;;;;;;;;
1072;Biogas from landfills;2012 3rd quarter;;;;;;;;;;
1073;Biogas from landfills;2012 4th quarter;;;;;;;;;;
1074;Biogas from landfills;2012;78.0;0.07;78.0;0.07;66.0;0.06;;;;
1075;Biogas from landfills;2013 1st quarter;;;;;;;;;;
1076;Biogas from landfills;2013 2nd quarter;;;;;;;;;;
1077;Biogas from landfills;2013 3rd quarter;;;;;;;;;;
1078;Biogas from landfills;2013 4th quarter;;;;;;;;;;
1079;Biogas from landfills;2013;;;;;;;;;;
1080;Biogas from sewage water purification;1990;70.0;0.09;70.0;0.09;66.0;0.08;;;;
1081;Biogas from sewage water purification;1991;87.0;0.1;87.0;0.1;82.0;0.1;;;;
1082;Biogas from sewage water purification;1992;92.0;0.11;92.0;0.11;87.0;0.1;;;;
1083;Biogas from sewage water purification;1993;95.0;0.11;95.0;0.11;89.0;0.11;;;;
1084;Biogas from sewage water purification;1994;98.0;0.11;98.0;0.11;93.0;0.11;;;;
1085;Biogas from sewage water purification;1995;106.0;0.11;106.0;0.11;100.0;0.11;;;;
1086;Biogas from sewage water purification;1996;102.0;0.11;102.0;0.11;97.0;0.1;;;;
1087;Biogas from sewage water purification;1997;113.0;0.11;113.0;0.11;107.0;0.11;;;;
1088;Biogas from sewage water purification;1998;98.0;0.09;98.0;0.09;92.0;0.09;;;;
1089;Biogas from sewage water purification;1999;109.0;0.1;109.0;0.1;103.0;0.1;;;;
1090;Biogas from sewage water purification;2000;111.0;0.1;111.0;0.1;105.0;0.1;;;;
1091;Biogas from sewage water purification;2001;129.0;0.12;129.0;0.12;122.0;0.11;;;;
1092;Biogas from sewage water purification;2002 1st quarter;;;;;;;;;;
1093;Biogas from sewage water purification;2002 2nd quarter;;;;;;;;;;
1094;Biogas from sewage water purification;2002 3rd quarter;;;;;;;;;;
1095;Biogas from sewage water purification;2002 4th quarter;;;;;;;;;;
1096;Biogas from sewage water purification;2002;130.0;0.12;130.0;0.12;123.0;0.11;;;;
1097;Biogas from sewage water purification;2003 1st quarter;;;;;;;;;;
1098;Biogas from sewage water purification;2003 2nd quarter;;;;;;;;;;
1099;Biogas from sewage water purification;2003 3rd quarter;;;;;;;;;;
1100;Biogas from sewage water purification;2003 4th quarter;;;;;;;;;;
1101;Biogas from sewage water purification;2003;128.0;0.11;128.0;0.11;122.0;0.11;;;;
1102;Biogas from sewage water purification;2004 1st quarter;;;;;;;;;;
1103;Biogas from sewage water purification;2004 2nd quarter;;;;;;;;;;
1104;Biogas from sewage water purification;2004 3rd quarter;;;;;;;;;;
1105;Biogas from sewage water purification;2004 4th quarter;;;;;;;;;;
1106;Biogas from sewage water purification;2004;132.0;0.11;132.0;0.11;126.0;0.11;;;;
1107;Biogas from sewage water purification;2005 1st quarter;;;;;;;;;;
1108;Biogas from sewage water purification;2005 2nd quarter;;;;;;;;;;
1109;Biogas from sewage water purification;2005 3rd quarter;;;;;;;;;;
1110;Biogas from sewage water purification;2005 4th quarter;;;;;;;;;;
1111;Biogas from sewage water purification;2005;123.0;0.1;123.0;0.1;117.0;0.1;;;;
1112;Biogas from sewage water purification;2006 1st quarter;;;;;;;;;;
1113;Biogas from sewage water purification;2006 2nd quarter;;;;;;;;;;
1114;Biogas from sewage water purification;2006 3rd quarter;;;;;;;;;;
1115;Biogas from sewage water purification;2006 4th quarter;;;;;;;;;;
1116;Biogas from sewage water purification;2006;132.0;0.11;132.0;0.11;125.0;0.11;;;;
1117;Biogas from sewage water purification;2007 1st quarter;;;;;;;;;;
1118;Biogas from sewage water purification;2007 2nd quarter;;;;;;;;;;
1119;Biogas from sewage water purification;2007 3rd quarter;;;;;;;;;;
1120;Biogas from sewage water purification;2007 4th quarter;;;;;;;;;;
1121;Biogas from sewage water purification;2007;143.0;0.12;143.0;0.12;136.0;0.12;;;;
1122;Biogas from sewage water purification;2008 1st quarter;;;;;;;;;;
1123;Biogas from sewage water purification;2008 2nd quarter;;;;;;;;;;
1124;Biogas from sewage water purification;2008 3rd quarter;;;;;;;;;;
1125;Biogas from sewage water purification;2008 4th quarter;;;;;;;;;;
1126;Biogas from sewage water purification;2008;150.0;0.12;150.0;0.12;142.0;0.12;;;;
1127;Biogas from sewage water purification;2009 1st quarter;;;;;;;;;;
1128;Biogas from sewage water purification;2009 2nd quarter;;;;;;;;;;
1129;Biogas from sewage water purification;2009 3rd quarter;;;;;;;;;;
1130;Biogas from sewage water purification;2009 4th quarter;;;;;;;;;;
1131;Biogas from sewage water purification;2009;150.0;0.13;150.0;0.13;143.0;0.13;;;;
1132;Biogas from sewage water purification;2010 1st quarter;;;;;;;;;;
1133;Biogas from sewage water purification;2010 2nd quarter;;;;;;;;;;
1134;Biogas from sewage water purification;2010 3rd quarter;;;;;;;;;;
1135;Biogas from sewage water purification;2010 4th quarter;;;;;;;;;;
1136;Biogas from sewage water purification;2010;164.0;0.14;164.0;0.14;154.0;0.13;;;;
1137;Biogas from sewage water purification;2011 1st quarter;;;;;;;;;;
1138;Biogas from sewage water purification;2011 2nd quarter;;;;;;;;;;
1139;Biogas from sewage water purification;2011 3rd quarter;;;;;;;;;;
1140;Biogas from sewage water purification;2011 4th quarter;;;;;;;;;;
1141;Biogas from sewage water purification;2011;173.0;0.14;173.0;0.14;164.0;0.14;;;;
1142;Biogas from sewage water purification;2012 1st quarter;;;;;;;;;;
1143;Biogas from sewage water purification;2012 2nd quarter;;;;;;;;;;
1144;Biogas from sewage water purification;2012 3rd quarter;;;;;;;;;;
1145;Biogas from sewage water purification;2012 4th quarter;;;;;;;;;;
1146;Biogas from sewage water purification;2012;184.0;0.15;184.0;0.15;176.0;0.15;;;;
1147;Biogas from sewage water purification;2013 1st quarter;;;;;;;;;;
1148;Biogas from sewage water purification;2013 2nd quarter;;;;;;;;;;
1149;Biogas from sewage water purification;2013 3rd quarter;;;;;;;;;;
1150;Biogas from sewage water purification;2013 4th quarter;;;;;;;;;;
1151;Biogas from sewage water purification;2013;;;;;;;;;;
1152;Biogas, co-digestion of manure;1990;;;;;;;;;;
1153;Biogas, co-digestion of manure;1991;;;;;;;;;;
1154;Biogas, co-digestion of manure;1992;;;;;;;;;;
1155;Biogas, co-digestion of manure;1993;;;;;;;;;;
1156;Biogas, co-digestion of manure;1994;;;;;;;;;;
1157;Biogas, co-digestion of manure;1995;;;;;;;;;;
1158;Biogas, co-digestion of manure;1996;;;;;;;;;;
1159;Biogas, co-digestion of manure;1997;;;;;;;;;;
1160;Biogas, co-digestion of manure;1998;;;;;;;;;;
1161;Biogas, co-digestion of manure;1999;;;;;;;;;;
1162;Biogas, co-digestion of manure;2000;;;;;;;;;;
1163;Biogas, co-digestion of manure;2001;;;;;;;;;;
1164;Biogas, co-digestion of manure;2002 1st quarter;;;;;;;;;;
1165;Biogas, co-digestion of manure;2002 2nd quarter;;;;;;;;;;
1166;Biogas, co-digestion of manure;2002 3rd quarter;;;;;;;;;;
1167;Biogas, co-digestion of manure;2002 4th quarter;;;;;;;;;;
1168;Biogas, co-digestion of manure;2002;;;;;;;;;;
1169;Biogas, co-digestion of manure;2003 1st quarter;;;;;;;;;;
1170;Biogas, co-digestion of manure;2003 2nd quarter;;;;;;;;;;
1171;Biogas, co-digestion of manure;2003 3rd quarter;;;;;;;;;;
1172;Biogas, co-digestion of manure;2003 4th quarter;;;;;;;;;;
1173;Biogas, co-digestion of manure;2003;;;;;;;;;;
1174;Biogas, co-digestion of manure;2004 1st quarter;;;;;;;;;;
1175;Biogas, co-digestion of manure;2004 2nd quarter;;;;;;;;;;
1176;Biogas, co-digestion of manure;2004 3rd quarter;;;;;;;;;;
1177;Biogas, co-digestion of manure;2004 4th quarter;;;;;;;;;;
1178;Biogas, co-digestion of manure;2004;;;;;;;;;;
1179;Biogas, co-digestion of manure;2005 1st quarter;;;;;;;;;;
1180;Biogas, co-digestion of manure;2005 2nd quarter;;;;;;;;;;
1181;Biogas, co-digestion of manure;2005 3rd quarter;;;;;;;;;;
1182;Biogas, co-digestion of manure;2005 4th quarter;;;;;;;;;;
1183;Biogas, co-digestion of manure;2005;9.0;0.01;9.0;0.01;8.0;0.01;;;;
1184;Biogas, co-digestion of manure;2006 1st quarter;;;;;;;;;;
1185;Biogas, co-digestion of manure;2006 2nd quarter;;;;;;;;;;
1186;Biogas, co-digestion of manure;2006 3rd quarter;;;;;;;;;;
1187;Biogas, co-digestion of manure;2006 4th quarter;;;;;;;;;;
1188;Biogas, co-digestion of manure;2006;59.0;0.05;59.0;0.05;54.0;0.05;;;;
1189;Biogas, co-digestion of manure;2007 1st quarter;;;;;;;;;;
1190;Biogas, co-digestion of manure;2007 2nd quarter;;;;;;;;;;
1191;Biogas, co-digestion of manure;2007 3rd quarter;;;;;;;;;;
1192;Biogas, co-digestion of manure;2007 4th quarter;;;;;;;;;;
1193;Biogas, co-digestion of manure;2007;187.0;0.15;187.0;0.15;171.0;0.14;;;;
1194;Biogas, co-digestion of manure;2008 1st quarter;;;73.0;0.22;66.0;0.21;;;;
1195;Biogas, co-digestion of manure;2008 2nd quarter;;;85.0;0.29;78.0;0.28;;;;
1196;Biogas, co-digestion of manure;2008 3rd quarter;;;101.0;0.35;92.0;0.33;;;;
1197;Biogas, co-digestion of manure;2008 4th quarter;;;111.0;0.34;102.0;0.33;;;;
1198;Biogas, co-digestion of manure;2008;370.0;0.3;370.0;0.3;339.0;0.28;;;;
1199;Biogas, co-digestion of manure;2009 1st quarter;;;121.0;0.38;111.0;0.37;;;;
1200;Biogas, co-digestion of manure;2009 2nd quarter;;;123.0;0.44;113.0;0.42;;;;
1201;Biogas, co-digestion of manure;2009 3rd quarter;;;134.0;0.49;123.0;0.47;;;;
1202;Biogas, co-digestion of manure;2009 4th quarter;;;149.0;0.47;137.0;0.45;;;;
1203;Biogas, co-digestion of manure;2009;528.0;0.45;528.0;0.45;484.0;0.43;;;;
1204;Biogas, co-digestion of manure;2010 1st quarter;;;145.0;0.46;133.0;0.44;;;;
1205;Biogas, co-digestion of manure;2010 2nd quarter;;;144.0;0.51;132.0;0.49;;;;
1206;Biogas, co-digestion of manure;2010 3rd quarter;;;143.0;0.5;131.0;0.48;;;;
1207;Biogas, co-digestion of manure;2010 4th quarter;;;143.0;0.43;131.0;0.41;;;;
1208;Biogas, co-digestion of manure;2010;575.0;0.48;575.0;0.48;527.0;0.45;;;;
1209;Biogas, co-digestion of manure;2011 1st quarter;;;132.0;0.41;121.0;0.39;;;;
1210;Biogas, co-digestion of manure;2011 2nd quarter;;;138.0;0.49;127.0;0.46;;;;
1211;Biogas, co-digestion of manure;2011 3rd quarter;;;145.0;0.51;133.0;0.48;;;;
1212;Biogas, co-digestion of manure;2011 4th quarter;;;146.0;0.44;134.0;0.42;;;;
1213;Biogas, co-digestion of manure;2011;562.0;0.46;562.0;0.46;515.0;0.44;;;;
1214;Biogas, co-digestion of manure;2012 1st quarter;;;148.0;0.47;135.0;0.44;;;;
1215;Biogas, co-digestion of manure;2012 2nd quarter;;;141.0;0.51;130.0;0.48;;;;
1216;Biogas, co-digestion of manure;2012 3rd quarter;;;133.0;0.47;122.0;0.45;;;;
1217;Biogas, co-digestion of manure;2012 4th quarter;;;128.0;0.4;117.0;0.38;;;;
1218;Biogas, co-digestion of manure;2012;550.0;0.46;550.0;0.46;504.0;0.44;;;;
1219;Biogas, co-digestion of manure;2013 1st quarter;;;134.0;0.44;123.0;0.41;;;;
1220;Biogas, co-digestion of manure;2013 2nd quarter;;;131.0;0.48;120.0;0.45;;;;
1221;Biogas, co-digestion of manure;2013 3rd quarter;;;127.0;0.46;117.0;0.43;;;;
1222;Biogas, co-digestion of manure;2013 4th quarter;;;119.0;0.37;109.0;0.35;;;;
1223;Biogas, co-digestion of manure;2013;512.0;0.43;512.0;0.43;469.0;0.41;;;;
1224;Biogas, other;1990;4.0;0.01;4.0;0.01;2.0;0.0;;;;
1225;Biogas, other;1991;4.0;0.0;4.0;0.0;2.0;0.0;;;;
1226;Biogas, other;1992;5.0;0.01;5.0;0.01;2.0;0.0;;;;
1227;Biogas, other;1993;7.0;0.01;7.0;0.01;4.0;0.01;;;;
1228;Biogas, other;1994;3.0;0.0;3.0;0.0;0.0;0.0;;;;
1229;Biogas, other;1995;7.0;0.01;7.0;0.01;3.0;0.0;;;;
1230;Biogas, other;1996;10.0;0.01;10.0;0.01;6.0;0.01;;;;
1231;Biogas, other;1997;8.0;0.01;8.0;0.01;4.0;0.0;;;;
1232;Biogas, other;1998;10.0;0.01;10.0;0.01;6.0;0.01;;;;
1233;Biogas, other;1999;14.0;0.01;14.0;0.01;9.0;0.01;;;;
1234;Biogas, other;2000;17.0;0.02;17.0;0.02;12.0;0.01;;;;
1235;Biogas, other;2001;17.0;0.01;17.0;0.01;12.0;0.01;;;;
1236;Biogas, other;2002 1st quarter;;;;;;;;;;
1237;Biogas, other;2002 2nd quarter;;;;;;;;;;
1238;Biogas, other;2002 3rd quarter;;;;;;;;;;
1239;Biogas, other;2002 4th quarter;;;;;;;;;;
1240;Biogas, other;2002;22.0;0.02;22.0;0.02;17.0;0.02;;;;
1241;Biogas, other;2003 1st quarter;;;;;;;;;;
1242;Biogas, other;2003 2nd quarter;;;;;;;;;;
1243;Biogas, other;2003 3rd quarter;;;;;;;;;;
1244;Biogas, other;2003 4th quarter;;;;;;;;;;
1245;Biogas, other;2003;28.0;0.02;28.0;0.02;22.0;0.02;;;;
1246;Biogas, other;2004 1st quarter;;;;;;;;;;
1247;Biogas, other;2004 2nd quarter;;;;;;;;;;
1248;Biogas, other;2004 3rd quarter;;;;;;;;;;
1249;Biogas, other;2004 4th quarter;;;;;;;;;;
1250;Biogas, other;2004;22.0;0.02;22.0;0.02;16.0;0.01;;;;
1251;Biogas, other;2005 1st quarter;;;;;;;;;;
1252;Biogas, other;2005 2nd quarter;;;;;;;;;;
1253;Biogas, other;2005 3rd quarter;;;;;;;;;;
1254;Biogas, other;2005 4th quarter;;;;;;;;;;
1255;Biogas, other;2005;32.0;0.03;32.0;0.03;26.0;0.02;;;;
1256;Biogas, other;2006 1st quarter;;;;;;;;;;
1257;Biogas, other;2006 2nd quarter;;;;;;;;;;
1258;Biogas, other;2006 3rd quarter;;;;;;;;;;
1259;Biogas, other;2006 4th quarter;;;;;;;;;;
1260;Biogas, other;2006;44.0;0.04;44.0;0.04;37.0;0.03;;;;
1261;Biogas, other;2007 1st quarter;;;;;;;;;;
1262;Biogas, other;2007 2nd quarter;;;;;;;;;;
1263;Biogas, other;2007 3rd quarter;;;;;;;;;;
1264;Biogas, other;2007 4th quarter;;;;;;;;;;
1265;Biogas, other;2007;67.0;0.05;67.0;0.05;59.0;0.05;;;;
1266;Biogas, other;2008 1st quarter;;;;;;;;;;
1267;Biogas, other;2008 2nd quarter;;;;;;;;;;
1268;Biogas, other;2008 3rd quarter;;;;;;;;;;
1269;Biogas, other;2008 4th quarter;;;;;;;;;;
1270;Biogas, other;2008;104.0;0.08;104.0;0.08;93.0;0.08;;;;
1271;Biogas, other;2009 1st quarter;;;;;;;;;;
1272;Biogas, other;2009 2nd quarter;;;;;;;;;;
1273;Biogas, other;2009 3rd quarter;;;;;;;;;;
1274;Biogas, other;2009 4th quarter;;;;;;;;;;
1275;Biogas, other;2009;137.0;0.12;137.0;0.12;124.0;0.11;;;;
1276;Biogas, other;2010 1st quarter;;;;;;;;;;
1277;Biogas, other;2010 2nd quarter;;;;;;;;;;
1278;Biogas, other;2010 3rd quarter;;;;;;;;;;
1279;Biogas, other;2010 4th quarter;;;;;;;;;;
1280;Biogas, other;2010;196.0;0.16;196.0;0.16;178.0;0.15;;;;
1281;Biogas, other;2011 1st quarter;;;;;;;;;;
1282;Biogas, other;2011 2nd quarter;;;;;;;;;;
1283;Biogas, other;2011 3rd quarter;;;;;;;;;;
1284;Biogas, other;2011 4th quarter;;;;;;;;;;
1285;Biogas, other;2011;229.0;0.19;229.0;0.19;199.0;0.17;;;;
1286;Biogas, other;2012 1st quarter;;;;;;;;;;
1287;Biogas, other;2012 2nd quarter;;;;;;;;;;
1288;Biogas, other;2012 3rd quarter;;;;;;;;;;
1289;Biogas, other;2012 4th quarter;;;;;;;;;;
1290;Biogas, other;2012;231.0;0.19;231.0;0.19;185.0;0.16;;;;
1291;Biogas, other;2013 1st quarter;;;;;;;;;;
1292;Biogas, other;2013 2nd quarter;;;;;;;;;;
1293;Biogas, other;2013 3rd quarter;;;;;;;;;;
1294;Biogas, other;2013 4th quarter;;;;;;;;;;
1295;Biogas, other;2013;;;;;;;;;;
