ID;Selectiegroep;k_1977_1;k_1978_2;k_1979_3;k_1980_4;k_1981_5;k_1982_6;k_1983_7;k_1984_8;k_1985_9;k_1986_10;k_1987_11;k_1988_12;k_1989_13;k_1990_14;k_1991_15;k_1992_16;k_1993_17;k_1994_18;k_1995_19;k_1996_20;k_1997_21;k_1998_22;k_1999_23;k_2000_24;k_2001_25;k_2002_26;k_2003_27
202;Koninklijke Pakhoed Holding NV;99;99;99;99;99;99;99;99;99;99;99;99;99;65;99;99;99;99;99;99;99;99;40;0;0;0;0
203;NV Koninklijke de Porceleyne Fles;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
204;Koninklijke D S van Schuppen NV;99;99;99;99;99;99;99;99;99;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;NV Koninklijke Sphinx Gustavsberg;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0
206;Koninklijke Tapijtfabrieken Bergoss NV;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;Koninklijke Ten Cate NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
208;Koninklijke Textielgroep Twente NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;25;0
209;Koninklijke TNT Post Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99
210;Koninklijke Volker Wessels Stevin NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35
211;Koninklijke Vopak NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99
212;Koninklijke Wessanen NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0
213;Koninklijke Wessanen NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;99;99;99;99
214;Krasnapolski Hotels en Restaurants NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0
215;Kuhne + Heitz NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
216;Kunstspinnerij Nijma NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;KVT NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;Kwatta NV;99;99;99;99;99;99;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;Landis Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;75;25;0
220;van Lanschot NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
221;Laurus NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
222;L.C.I. Technologie Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;37;0;0
223;Leidse Wolspinnerij NV;99;99;99;99;99;99;99;99;99;99;75;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;Lindeteves Jacoberg NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;Maatschappij Van Berkel's Patent NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0
226;Maatschappij Rommenholler NV;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;Macintosh Retail Group NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
228;Magnus Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
229;Management Share NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;37;0;0
230;Maverix Capital NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;60;50;0
231;McGregor Fashion Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
232;NV Medicopharma;0;0;0;0;0;0;0;15;99;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0
233;Metaverpa NV;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;170;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;30;0;0;0
235;Meneba NV;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;175;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
237;Multihouse NV;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0
238;Naarden International NV;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239;Naeff NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
240;Nagron Nationaal Grondbezit NV;0;0;0;0;0;0;0;0;0;20;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;55;0
241;NV Nat. Bezit v Aand. Ver. Glasfabrieken;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0
242;125;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;35;0;0;0;0
243;195;0;0;0;0;0;0;0;0;0;0;0;0;0;99;40;0;0;0;0;0;0;0;0;0;0;0;0
244;Amstelland NV;0;0;0;0;0;0;0;0;0;0;0;10;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99
245;Nedcon Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99
246;NV Nederlandse Apparatenfabriek Nedap;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
247;Nederlandse Bontweverijen NV;99;99;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
248;Nederlandse Dagbladunie NV;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
249;Nefitt NV;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;van Nelle NV;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;Netam NV;75;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
252;Neways Electronics International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
253;Nieaf NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
254;Nierstrasz Holding NV;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
255;NKF Holding NV;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0
256;200;0;0;0;0;0;0;0;0;0;0;0;0;0;99;40;0;0;0;0;0;0;0;0;0;0;0;0
257;Noord Europeesche Houthandel Mij NV;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
258;Norit NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
259;180;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;35;0;0;0
260;Nutreco Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
261;Nyloplast NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99
262;Océ NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
263;Ogem NV;99;99;99;99;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
264;Oldelft Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;15;40;0;0;0;0;0;0;0;0;0;0;0;0;0
265;van Ommeren NV;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
266;NV Oostzee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
267;Ordina Beheer NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
268;Oscar Rothe en Jiscoot NV;99;99;99;99;99;99;99;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
269;Otra NV;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0
270;Oving Diepeveen Struycken NV;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
271;Palthe NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0
272;P & C Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;50;0;0;0;0;0
273;Petroplus International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
274;Pharming Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;37;37;0
275;Philips Electronics NV;99;99;99;99;99;99;99;99;99;99;99;99;70;99;99;99;99;99;99;99;99;99;99;99;99;99;99
276;Pie Medical NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;30;0;0;0;0;0;0;0;0
277;Pinkroccade NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
278;Polynorm NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
279;Polygram NV;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;35;0;0;0;0;0
280;Priority Telecom NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99
281;Proost en Brandt NV;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
282;Rademakers NV;99;99;99;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
283;Randstad Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99
284;Reesink NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
285;van Reeuwijk NV;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
286;Reiss & Co NV;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
287;Rijn Schelde Verolme NV;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
288;Rood Testhouse International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
289;Roto Smeets De Boer NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;99;99;99;99
290;Samas Groep NV;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;75
291;Sanders Behang NV;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
292;Scala Business Solutions NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
293;SNT Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99
294;NV Schokbeton;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
295;NV Scholten-Honig;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
296;Schuitema NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
297;Schuttersveld Holding NV;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;Seagull Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;75
299;Simac Techniek NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
300;Sligro Beheer NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
301;Smit Internationale NV;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
302;Smit Transformatoren NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;35;0;0;0
303;Sporthuis Centrum Recreatie NV;0;0;0;0;0;0;0;0;15;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0
304;190;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;35;0;0;0;0;0;0;0
305;Stern Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
306;Stoomv Mij Zeeland Kon Ned Postvaart NV;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;Stork NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
308;Tapijtfabriek H Desseaux NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0
309;Tas Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;30;0;0;0
310;Tie Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99
311;Toolex International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;25;0;0
312;NV Holdingmaatschappij De Telegraaf;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
313;Thomassen & Drijver-Verblifa NV;0;0;0;0;0;0;0;0;75;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
314;THV (Technische Handelsvereniging) NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
315;NV Tilburgsche Waterleiding Mij;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
316;NV Tricobest;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
317;Tulip Computers NV;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;37;17;99;99;99;99
318;NV Twentsche Kabel Holding;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
319;Twijnstra en Gudde NV;15;99;99;99;99;99;99;99;99;99;99;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;Unilever NV;99;99;99;99;99;99;99;99;99;99;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
321;Union NV (vh Unikap);99;99;99;99;99;99;99;99;50;50;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0
322;United Services Group NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
323;Unit 4 NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99
324;United Pan-Europe Communications NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;35;0
325;Univar NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
326;NV Vedior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
327;Vendex KBB NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99
328;Veneta NV;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
329;NV Verenigd Bezit VNU;99;99;99;99;99;99;99;99;99;99;99;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
330;Ver Bedrijven Bredero NV;99;99;99;99;99;99;99;99;99;75;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
331;Verenigde Bedrijven Nederhorst NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
332;Verenigde HVA Maatschappij NV;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
333;NV Ver Instrumentenfab. Enraf Nonius;0;0;0;0;0;0;0;0;0;15;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0
334;NV Verenigde NBM bedrijven;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
335;Versatel Telecom International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
336;NV Verto;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0
337;Van Melle NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;35;0;0
338;Vezelverwerking Nove NV;75;75;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339;Vihamij - Buttinger NV;99;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
340;Vilenzo International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
341;Vodafone Libertel NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;75;35
342;van der Vliet Wernink Beheer NV;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
343;Vredestein NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35
344;VRG-Groep NV;99;99;99;99;99;99;99;99;99;99;99;65;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0
345;de Vries Robbe Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;75;75;75;50;0;0
346;Vulcaansoord NV;99;99;99;99;99;99;99;65;99;99;99;99;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
347;Wegener Arcade NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
348;Welna NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;35;0;0;0;0
349;van Wessem NV;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;Weweler NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;35;0;0
351;Wijers Beheer NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;25;0;0;0;0;0;0;0;0
352;v. Wijk en Heringa NV;0;0;0;0;20;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
353;Wijklijn NV;75;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
354;Wolspinnerij Ede NV (vh Zaalberg);99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
355;Wolters Kluwer NV;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
356;Wolters Samson groep NV;0;0;0;0;0;15;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
357;Zeevaart NV;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
