ID;Toepassingsgroepen;SectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikGeheleJaar_3;GebruikPerHectare_4;GebruikInJanuari_5;GebruikInFebruari_6;GebruikInMaart_7;GebruikInApril_8;GebruikInMei_9;GebruikInJuni_10;GebruikInJuli_11;GebruikInAugustus_12;GebruikInSeptember_13;GebruikInOktober_14;GebruikInNovember_15;GebruikInDecember_16;MinimaalGebruik_17;GemiddeldLaagGebruik_18;GemiddeldGebruik_19;GemiddeldHoogGebruik_20;MaximaalGebruik_21
80;Totaal chemische bestrijdingsmiddelen;Consumptie-aardappelen;1995;12977;80157;926635;11.6;0.1;0.0;0.0;4.5;13.2;28.1;25.3;18.5;10.2;0.1;0.0;0.0;0.4;3.5;11.6;20.8;32.5
81;Totaal chemische bestrijdingsmiddelen;Consumptie-aardappelen;1998;11696;84391;1197182;14.2;0.2;0.0;0.0;0.8;11.9;32.7;29.6;15.0;9.3;0.5;0.0;0.0;0.8;4.7;14.2;22.6;32.1
82;Totaal chemische bestrijdingsmiddelen;Consumptie-aardappelen;2000;11136;87441;1066063;12.2;0.4;0.0;0.0;2.0;19.3;29.6;26.7;14.6;6.6;0.9;0.0;0.0;0.8;3.5;12.2;20.2;40.4
83;Totaal chemische bestrijdingsmiddelen;Consumptie-aardappelen;2004;8013;72669;820217;11.3;0.9;0.0;0.0;4.8;18.4;30.0;23.4;15.6;5.9;1.0;0.0;0.0;1.2;4.1;11.28702;20.1;26.3
84;Totaal chemische bestrijdingsmiddelen;Zetmeelaardappelen;1995;3735;61345;652277;10.6;0.5;0.0;0.0;8.3;12.8;13.2;32.4;19.8;11.6;1.4;0.0;0.0;1.1;3.7;10.6;17.0;25.1
85;Totaal chemische bestrijdingsmiddelen;Zetmeelaardappelen;1998;3516;56962;627750;11.0;0.6;0.0;0.0;6.6;9.2;21.1;32.4;20.6;9.2;0.3;0.0;0.0;2.0;2.6;11.0;19.8;24.0
86;Totaal chemische bestrijdingsmiddelen;Zetmeelaardappelen;2000;2918;50958;616715;12.1;0.0;0.0;0.0;5.0;10.4;29.8;30.1;19.9;4.8;0.0;0.0;0.0;1.4;2.4;12.1;22.4;26.3
87;Totaal chemische bestrijdingsmiddelen;Zetmeelaardappelen;2004;2163;51496;653439;12.7;0.4;0.0;0.0;6.3;5.4;37.5;34.1;12.3;3.7;0.2;0.0;0.0;1.2;2.5;12.68912;18.6;26.0
88;Totaal chemische bestrijdingsmiddelen;Suikerbieten;1995;19189;116081;414059;3.6;0.7;0.0;0.0;30.1;50.8;14.0;3.8;0.2;0.3;0.1;0.0;0.0;0.7;1.4;3.6;7.1;9.4
89;Totaal chemische bestrijdingsmiddelen;Suikerbieten;1998;18256;113032;394651;3.5;1.6;0.0;0.0;14.7;56.5;23.1;1.9;1.3;0.9;0.0;0.0;0.0;0.5;1.5;3.5;6.2;15.8
