ID;StarRating;Regions;Periods;Accommodation_1;Room_2;SleepingPlace_3;Accommodation_4;Room_5;SleepingPlace_6
392;Accommodations without stars;Nederland;2018 May;976.0;10262.0;29041.0;970.0;9929.0;28365.0
393;Accommodations without stars;Nederland;2018 June;976.0;10262.0;29041.0;966.0;9907.0;28283.0
394;Accommodations without stars;Nederland;2018 July;976.0;10262.0;29041.0;961.0;10186.0;28841.0
395;Accommodations without stars;Nederland;2018 August;976.0;10262.0;29041.0;956.0;10174.0;28801.0
396;Accommodations without stars;Nederland;2018 September;976.0;10262.0;29041.0;959.0;10178.0;28813.0
397;Accommodations without stars;Nederland;2018 October;976.0;10262.0;29041.0;935.0;9681.0;27795.0
398;Accommodations without stars;Nederland;2018 November;976.0;10262.0;29041.0;885.0;9280.0;26660.0
399;Accommodations without stars;Nederland;2018 December;976.0;10262.0;29041.0;853.0;9037.0;25958.0
400;Accommodations without stars;Nederland;2019 January;945.0;10451.0;31075.0;800.0;9250.0;28147.0
401;Accommodations without stars;Nederland;2019 February;945.0;10451.0;31075.0;829.0;9406.0;28490.0
402;Accommodations without stars;Nederland;2019 March;945.0;10451.0;31075.0;862.0;9697.0;29283.0
403;Accommodations without stars;Nederland;2019 April;945.0;10451.0;31075.0;915.0;10190.0;30486.0
404;Accommodations without stars;Nederland;2019 May;945.0;10451.0;31075.0;925.0;10079.0;30011.0
405;Accommodations without stars;Nederland;2019 June;945.0;10451.0;31075.0;917.0;10028.0;29910.0
406;Accommodations without stars;Nederland;2019 July;945.0;10451.0;31075.0;919.0;10068.0;30003.0
407;Accommodations without stars;Nederland;2019 August;945.0;10451.0;31075.0;917.0;10060.0;29994.0
408;Accommodations without stars;Nederland;2019 September;945.0;10451.0;31075.0;924.0;10087.0;30043.0
409;Accommodations without stars;Nederland;2019 October;945.0;10451.0;31075.0;901.0;9865.0;29573.0
410;Accommodations without stars;Nederland;2019 November;945.0;10451.0;31075.0;843.0;9289.0;27945.0
411;Accommodations without stars;Nederland;2019 December;945.0;10451.0;31075.0;815.0;9272.0;27948.0
412;Accommodations without stars;Nederland;2020 January;906.0;10021.0;27308.0;757.0;8766.0;24416.0
413;Accommodations without stars;Nederland;2020 February;906.0;10021.0;27308.0;785.0;8979.0;24951.0
414;Accommodations without stars;Nederland;2020 March;906.0;10021.0;27308.0;801.0;9237.0;25442.0
415;Accommodations without stars;Nederland;2020 April;906.0;10021.0;27308.0;701.0;8445.0;23177.0
416;Accommodations without stars;Nederland;2020 May;906.0;10021.0;27308.0;720.0;8562.0;23447.0
417;Accommodations without stars;Nederland;2020 June;906.0;10021.0;27308.0;835.0;9517.0;25806.0
418;Accommodations without stars;Nederland;2020 July;906.0;10021.0;27308.0;858.0;9685.0;26178.0
419;Accommodations without stars;Nederland;2020 August;906.0;10021.0;27308.0;860.0;9742.0;26439.0
420;Accommodations without stars;Nederland;2020 September;906.0;10021.0;27308.0;871.0;9809.0;26566.0
421;Accommodations without stars;Nederland;2020 October;906.0;10021.0;27308.0;849.0;9582.0;26103.0
422;Accommodations without stars;Nederland;2020 November;906.0;10021.0;27308.0;793.0;9030.0;24901.0
423;Accommodations without stars;Nederland;2020 December;906.0;10021.0;27308.0;775.0;9050.0;24936.0
424;Accommodations without stars;Nederland;2021 January;808.0;10564.0;28505.0;677.0;9454.0;25908.0
425;Accommodations without stars;Nederland;2021 February;808.0;10564.0;28505.0;696.0;9573.0;26189.0
426;Accommodations without stars;Nederland;2021 March;808.0;10564.0;28505.0;724.0;9706.0;26471.0
427;Accommodations without stars;Nederland;2021 April;808.0;10564.0;28505.0;773.0;10284.0;27804.0
428;Accommodations without stars;Nederland;2021 May;808.0;10564.0;28505.0;781.0;10312.0;27860.0
429;Accommodations without stars;Nederland;2021 June;808.0;10564.0;28505.0;793.0;10434.0;28187.0
430;Accommodations without stars;Nederland;2021 July;808.0;10564.0;28505.0;793.0;10390.0;28039.0
431;Accommodations without stars;Nederland;2021 August;808.0;10564.0;28505.0;791.0;10388.0;28033.0
432;Accommodations without stars;Nederland;2021 September;808.0;10564.0;28505.0;788.0;10300.0;27760.0
433;Accommodations without stars;Nederland;2021 October;808.0;10564.0;28505.0;771.0;10195.0;27656.0
434;Accommodations without stars;Nederland;2021 November;808.0;10564.0;28505.0;719.0;9903.0;26858.0
435;Accommodations without stars;Nederland;2021 December;808.0;10564.0;28505.0;706.0;9921.0;26890.0
436;Accommodations without stars;Nederland;2022 January;1078.0;11986.0;36901.0;945.0;11037.0;34720.0
437;Accommodations without stars;Nederland;2022 February;1078.0;11986.0;36901.0;961.0;11269.0;35311.0
438;Accommodations without stars;Nederland;2022 March;1078.0;11986.0;36901.0;999.0;11496.0;35814.0
439;Accommodations without stars;Nederland;2022 April;1078.0;11986.0;36901.0;1051.0;11792.0;36374.0
440;Accommodations without stars;Nederland;2022 May;1078.0;11986.0;36901.0;1061.0;11850.0;36502.0
441;Accommodations without stars;Nederland;2022 June;1078.0;11986.0;36901.0;1059.0;11874.0;36547.0
442;Accommodations without stars;Nederland;2022 July;1078.0;11986.0;36901.0;1058.0;11871.0;36529.0
443;Accommodations without stars;Nederland;2022 August;1078.0;11986.0;36901.0;1058.0;11840.0;36469.0
444;Accommodations without stars;Nederland;2022 September;1078.0;11986.0;36901.0;1050.0;11807.0;36410.0
445;Accommodations without stars;Nederland;2022 October;1078.0;11986.0;36901.0;1032.0;11677.0;36126.0
446;Accommodations without stars;Nederland;2022 November;1078.0;11986.0;36901.0;989.0;11406.0;35528.0
447;Accommodations without stars;Nederland;2022 December;1078.0;11986.0;36901.0;966.0;11276.0;35214.0
448;Accommodations without stars;Nederland;2023 January;942.0;11940.0;31530.0;808.0;11183.0;29676.0
449;Accommodations without stars;Nederland;2023 February;942.0;11940.0;31530.0;827.0;11272.0;29870.0
450;Accommodations without stars;Nederland;2023 March;942.0;11940.0;31530.0;867.0;11535.0;30460.0
451;Accommodations without stars;Nederland;2023 April;942.0;11940.0;31530.0;916.0;11773.0;31021.0
452;Accommodations without stars;Nederland;2023 May;942.0;11940.0;31530.0;931.0;11865.0;31219.0
453;Accommodations without stars;Nederland;2023 June;942.0;11940.0;31530.0;933.0;11884.0;31264.0
454;Accommodations without stars;Nederland;2023 July;942.0;11940.0;31530.0;931.0;11877.0;31237.0
455;Accommodations without stars;Nederland;2023 August;942.0;11940.0;31530.0;927.0;11873.0;31207.0
456;Accommodations without stars;Nederland;2023 September;942.0;11940.0;31530.0;927.0;11863.0;31203.0
457;Accommodations without stars;Nederland;2023 October;942.0;11940.0;31530.0;908.0;11773.0;31008.0
458;Accommodations without stars;Nederland;2023 November;942.0;11940.0;31530.0;862.0;11512.0;30419.0
459;Accommodations without stars;Nederland;2023 December;942.0;11940.0;31530.0;843.0;11428.0;30220.0
460;Accommodations without stars;Nederland;2024 January;907.0;11664.0;32809.0;794.0;10801.0;30912.0
461;Accommodations without stars;Nederland;2024 February;907.0;11664.0;32809.0;810.0;10864.0;30953.0
462;Accommodations without stars;Nederland;2024 March;907.0;11664.0;32809.0;840.0;11239.0;31784.0
463;Accommodations without stars;Nederland;2024 April;907.0;11664.0;32809.0;888.0;11443.0;32246.0
464;Accommodations without stars;Nederland;2024 May;907.0;11664.0;32809.0;894.0;11478.0;32311.0
465;Accommodations without stars;Nederland;2024 June;907.0;11664.0;32809.0;902.0;11647.0;32767.0
466;Accommodations without stars;Nederland;2024 July;907.0;11664.0;32809.0;900.0;11641.0;32734.0
467;Accommodations without stars;Nederland;2024 August;907.0;11664.0;32809.0;898.0;11609.0;32662.0
468;Accommodations without stars;Nederland;2024 September;907.0;11664.0;32809.0;898.0;11633.0;32723.0
469;Accommodations without stars;Nederland;2024 October;907.0;11664.0;32809.0;871.0;11528.0;32493.0
470;Accommodations without stars;Nederland;2024 November;907.0;11664.0;32809.0;835.0;11350.0;32064.0
471;Accommodations without stars;Nederland;2024 December;907.0;11664.0;32809.0;824.0;11292.0;31890.0
472;Accommodations without stars;Nederland;2025 January;1040.0;12366.0;34288.0;898.0;11616.0;32517.0
473;Accommodations without stars;Nederland;2025 February;1040.0;12366.0;34288.0;910.0;11726.0;32808.0
474;Accommodations without stars;Amsterdam;2012 January;;;;;;
475;Accommodations without stars;Amsterdam;2012 February;;;;;;
476;Accommodations without stars;Amsterdam;2012 March;;;;;;
477;Accommodations without stars;Amsterdam;2012 April;;;;;;
478;Accommodations without stars;Amsterdam;2012 May;;;;;;
479;Accommodations without stars;Amsterdam;2012 June;;;;;;
480;Accommodations without stars;Amsterdam;2012 July;;;;;;
481;Accommodations without stars;Amsterdam;2012 August;;;;;;
482;Accommodations without stars;Amsterdam;2012 September;;;;;;
483;Accommodations without stars;Amsterdam;2012 October;;;;;;
484;Accommodations without stars;Amsterdam;2012 November;;;;;;
485;Accommodations without stars;Amsterdam;2012 December;;;;;;
486;Accommodations without stars;Amsterdam;2013 January;;;;;;
487;Accommodations without stars;Amsterdam;2013 February;;;;;;
488;Accommodations without stars;Amsterdam;2013 March;;;;;;
489;Accommodations without stars;Amsterdam;2013 April;;;;;;
490;Accommodations without stars;Amsterdam;2013 May;;;;;;
491;Accommodations without stars;Amsterdam;2013 June;;;;;;
492;Accommodations without stars;Amsterdam;2013 July;;;;;;
493;Accommodations without stars;Amsterdam;2013 August;;;;;;
494;Accommodations without stars;Amsterdam;2013 September;;;;;;
495;Accommodations without stars;Amsterdam;2013 October;;;;;;
496;Accommodations without stars;Amsterdam;2013 November;;;;;;
497;Accommodations without stars;Amsterdam;2013 December;;;;;;
498;Accommodations without stars;Amsterdam;2014 January;;;;;;
499;Accommodations without stars;Amsterdam;2014 February;;;;;;
500;Accommodations without stars;Amsterdam;2014 March;;;;;;
501;Accommodations without stars;Amsterdam;2014 April;;;;;;
502;Accommodations without stars;Amsterdam;2014 May;;;;;;
503;Accommodations without stars;Amsterdam;2014 June;;;;;;
504;Accommodations without stars;Amsterdam;2014 July;;;;;;
505;Accommodations without stars;Amsterdam;2014 August;;;;;;
506;Accommodations without stars;Amsterdam;2014 September;;;;;;
507;Accommodations without stars;Amsterdam;2014 October;;;;;;
508;Accommodations without stars;Amsterdam;2014 November;;;;;;
509;Accommodations without stars;Amsterdam;2014 December;;;;;;
510;Accommodations without stars;Amsterdam;2015 January;;;;;;
511;Accommodations without stars;Amsterdam;2015 February;;;;;;
512;Accommodations without stars;Amsterdam;2015 March;;;;;;
513;Accommodations without stars;Amsterdam;2015 April;;;;;;
514;Accommodations without stars;Amsterdam;2015 May;;;;;;
515;Accommodations without stars;Amsterdam;2015 June;;;;;;
516;Accommodations without stars;Amsterdam;2015 July;;;;;;
517;Accommodations without stars;Amsterdam;2015 August;;;;;;
518;Accommodations without stars;Amsterdam;2015 September;;;;;;
519;Accommodations without stars;Amsterdam;2015 October;;;;;;
520;Accommodations without stars;Amsterdam;2015 November;;;;;;
521;Accommodations without stars;Amsterdam;2015 December;;;;;;
522;Accommodations without stars;Amsterdam;2016 January;;;;;;
523;Accommodations without stars;Amsterdam;2016 February;;;;;;
524;Accommodations without stars;Amsterdam;2016 March;;;;;;
525;Accommodations without stars;Amsterdam;2016 April;;;;;;
526;Accommodations without stars;Amsterdam;2016 May;;;;;;
527;Accommodations without stars;Amsterdam;2016 June;;;;;;
528;Accommodations without stars;Amsterdam;2016 July;;;;;;
529;Accommodations without stars;Amsterdam;2016 August;;;;;;
530;Accommodations without stars;Amsterdam;2016 September;;;;;;
531;Accommodations without stars;Amsterdam;2016 October;;;;;;
532;Accommodations without stars;Amsterdam;2016 November;;;;;;
533;Accommodations without stars;Amsterdam;2016 December;;;;;;
534;Accommodations without stars;Amsterdam;2017 January;86.0;1570.0;6193.0;83.0;1559.0;6138.0
535;Accommodations without stars;Amsterdam;2017 February;86.0;1570.0;6193.0;84.0;1562.0;6144.0
536;Accommodations without stars;Amsterdam;2017 March;86.0;1570.0;6193.0;85.0;1564.0;6180.0
537;Accommodations without stars;Amsterdam;2017 April;86.0;1570.0;6193.0;85.0;1564.0;6180.0
538;Accommodations without stars;Amsterdam;2017 May;86.0;1570.0;6193.0;85.0;1564.0;6180.0
539;Accommodations without stars;Amsterdam;2017 June;86.0;1570.0;6193.0;85.0;1564.0;6180.0
540;Accommodations without stars;Amsterdam;2017 July;86.0;1570.0;6193.0;85.0;1564.0;6180.0
541;Accommodations without stars;Amsterdam;2017 August;86.0;1570.0;6193.0;85.0;1564.0;6180.0
542;Accommodations without stars;Amsterdam;2017 September;86.0;1570.0;6193.0;85.0;1564.0;6180.0
543;Accommodations without stars;Amsterdam;2017 October;86.0;1570.0;6193.0;85.0;1564.0;6180.0
544;Accommodations without stars;Amsterdam;2017 November;86.0;1570.0;6193.0;84.0;1562.0;6144.0
545;Accommodations without stars;Amsterdam;2017 December;86.0;1570.0;6193.0;84.0;1562.0;6144.0
546;Accommodations without stars;Amsterdam;2018 January;98.0;2554.0;9073.0;94.0;2025.0;7746.0
547;Accommodations without stars;Amsterdam;2018 February;98.0;2554.0;9073.0;94.0;2025.0;7746.0
548;Accommodations without stars;Amsterdam;2018 March;98.0;2554.0;9073.0;95.0;2027.0;7783.0
549;Accommodations without stars;Amsterdam;2018 April;98.0;2554.0;9073.0;97.0;2245.0;8455.0
550;Accommodations without stars;Amsterdam;2018 May;98.0;2554.0;9073.0;96.0;2239.0;8431.0
551;Accommodations without stars;Amsterdam;2018 June;98.0;2554.0;9073.0;95.0;2229.0;8371.0
552;Accommodations without stars;Amsterdam;2018 July;98.0;2554.0;9073.0;96.0;2538.0;8989.0
553;Accommodations without stars;Amsterdam;2018 August;98.0;2554.0;9073.0;96.0;2538.0;8989.0
554;Accommodations without stars;Amsterdam;2018 September;98.0;2554.0;9073.0;95.0;2535.0;8981.0
555;Accommodations without stars;Amsterdam;2018 October;98.0;2554.0;9073.0;94.0;2226.0;8363.0
556;Accommodations without stars;Amsterdam;2018 November;98.0;2554.0;9073.0;92.0;2204.0;8248.0
557;Accommodations without stars;Amsterdam;2018 December;98.0;2554.0;9073.0;88.0;1980.0;7591.0
558;Accommodations without stars;Amsterdam;2019 January;99.0;2553.0;9562.0;96.0;2365.0;8961.0
559;Accommodations without stars;Amsterdam;2019 February;99.0;2553.0;9562.0;96.0;2365.0;8961.0
560;Accommodations without stars;Amsterdam;2019 March;99.0;2553.0;9562.0;98.0;2550.0;9556.0
561;Accommodations without stars;Amsterdam;2019 April;99.0;2553.0;9562.0;99.0;2553.0;9562.0
562;Accommodations without stars;Amsterdam;2019 May;99.0;2553.0;9562.0;97.0;2387.0;8994.0
563;Accommodations without stars;Amsterdam;2019 June;99.0;2553.0;9562.0;96.0;2380.0;8968.0
564;Accommodations without stars;Amsterdam;2019 July;99.0;2553.0;9562.0;96.0;2383.0;8986.0
565;Accommodations without stars;Amsterdam;2019 August;99.0;2553.0;9562.0;96.0;2383.0;8986.0
566;Accommodations without stars;Amsterdam;2019 September;99.0;2553.0;9562.0;97.0;2387.0;8994.0
567;Accommodations without stars;Amsterdam;2019 October;99.0;2553.0;9562.0;97.0;2387.0;8994.0
568;Accommodations without stars;Amsterdam;2019 November;99.0;2553.0;9562.0;95.0;2202.0;8399.0
569;Accommodations without stars;Amsterdam;2019 December;99.0;2553.0;9562.0;95.0;2202.0;8399.0
570;Accommodations without stars;Amsterdam;2020 January;79.0;2609.0;8474.0;73.0;2563.0;8337.0
571;Accommodations without stars;Amsterdam;2020 February;79.0;2609.0;8474.0;73.0;2563.0;8337.0
572;Accommodations without stars;Amsterdam;2020 March;79.0;2609.0;8474.0;74.0;2565.0;8369.0
573;Accommodations without stars;Amsterdam;2020 April;79.0;2609.0;8474.0;57.0;2337.0;7410.0
574;Accommodations without stars;Amsterdam;2020 May;79.0;2609.0;8474.0;57.0;2337.0;7410.0
575;Accommodations without stars;Amsterdam;2020 June;79.0;2609.0;8474.0;65.0;2452.0;7751.0
576;Accommodations without stars;Amsterdam;2020 July;79.0;2609.0;8474.0;64.0;2434.0;7695.0
577;Accommodations without stars;Amsterdam;2020 August;79.0;2609.0;8474.0;68.0;2502.0;7972.0
578;Accommodations without stars;Amsterdam;2020 September;79.0;2609.0;8474.0;69.0;2508.0;7984.0
579;Accommodations without stars;Amsterdam;2020 October;79.0;2609.0;8474.0;70.0;2518.0;8004.0
580;Accommodations without stars;Amsterdam;2020 November;79.0;2609.0;8474.0;69.0;2485.0;8045.0
581;Accommodations without stars;Amsterdam;2020 December;79.0;2609.0;8474.0;71.0;2510.0;8107.0
582;Accommodations without stars;Amsterdam;2021 January;71.0;2324.0;8316.0;66.0;2304.0;8243.0
583;Accommodations without stars;Amsterdam;2021 February;71.0;2324.0;8316.0;66.0;2304.0;8243.0
584;Accommodations without stars;Amsterdam;2021 March;71.0;2324.0;8316.0;65.0;2287.0;8193.0
585;Accommodations without stars;Amsterdam;2021 April;71.0;2324.0;8316.0;65.0;2283.0;8185.0
586;Accommodations without stars;Amsterdam;2021 May;71.0;2324.0;8316.0;66.0;2286.0;8190.0
587;Accommodations without stars;Amsterdam;2021 June;71.0;2324.0;8316.0;67.0;2294.0;8250.0
588;Accommodations without stars;Amsterdam;2021 July;71.0;2324.0;8316.0;69.0;2311.0;8290.0
589;Accommodations without stars;Amsterdam;2021 August;71.0;2324.0;8316.0;68.0;2305.0;8278.0
590;Accommodations without stars;Amsterdam;2021 September;71.0;2324.0;8316.0;69.0;2311.0;8290.0
591;Accommodations without stars;Amsterdam;2021 October;71.0;2324.0;8316.0;70.0;2316.0;8256.0
592;Accommodations without stars;Amsterdam;2021 November;71.0;2324.0;8316.0;69.0;2314.0;8224.0
593;Accommodations without stars;Amsterdam;2021 December;71.0;2324.0;8316.0;69.0;2314.0;8224.0
594;Accommodations without stars;Amsterdam;2022 January;85.0;2205.0;7799.0;78.0;2054.0;7380.0
595;Accommodations without stars;Amsterdam;2022 February;85.0;2205.0;7799.0;79.0;2160.0;7676.0
596;Accommodations without stars;Amsterdam;2022 March;85.0;2205.0;7799.0;80.0;2172.0;7698.0
597;Accommodations without stars;Amsterdam;2022 April;85.0;2205.0;7799.0;81.0;2150.0;7559.0
598;Accommodations without stars;Amsterdam;2022 May;85.0;2205.0;7799.0;83.0;2176.0;7615.0
599;Accommodations without stars;Amsterdam;2022 June;85.0;2205.0;7799.0;83.0;2176.0;7615.0
600;Accommodations without stars;Amsterdam;2022 July;85.0;2205.0;7799.0;84.0;2180.0;7623.0
601;Accommodations without stars;Amsterdam;2022 August;85.0;2205.0;7799.0;83.0;2174.0;7611.0
602;Accommodations without stars;Amsterdam;2022 September;85.0;2205.0;7799.0;84.0;2180.0;7623.0
603;Accommodations without stars;Amsterdam;2022 October;85.0;2205.0;7799.0;83.0;2179.0;7618.0
604;Accommodations without stars;Amsterdam;2022 November;85.0;2205.0;7799.0;80.0;2161.0;7553.0
605;Accommodations without stars;Amsterdam;2022 December;85.0;2205.0;7799.0;79.0;2149.0;7523.0
606;Accommodations without stars;Amsterdam;2023 January;89.0;2895.0;8351.0;85.0;2854.0;8082.0
607;Accommodations without stars;Amsterdam;2023 February;89.0;2895.0;8351.0;85.0;2854.0;8082.0
608;Accommodations without stars;Amsterdam;2023 March;89.0;2895.0;8351.0;85.0;2854.0;8082.0
609;Accommodations without stars;Amsterdam;2023 April;89.0;2895.0;8351.0;87.0;2864.0;8130.0
610;Accommodations without stars;Amsterdam;2023 May;89.0;2895.0;8351.0;88.0;2882.0;8170.0
611;Accommodations without stars;Amsterdam;2023 June;89.0;2895.0;8351.0;88.0;2882.0;8170.0
612;Accommodations without stars;Amsterdam;2023 July;89.0;2895.0;8351.0;88.0;2882.0;8170.0
613;Accommodations without stars;Amsterdam;2023 August;89.0;2895.0;8351.0;88.0;2882.0;8170.0
614;Accommodations without stars;Amsterdam;2023 September;89.0;2895.0;8351.0;88.0;2882.0;8170.0
615;Accommodations without stars;Amsterdam;2023 October;89.0;2895.0;8351.0;88.0;2882.0;8170.0
616;Accommodations without stars;Amsterdam;2023 November;89.0;2895.0;8351.0;87.0;2880.0;8138.0
617;Accommodations without stars;Amsterdam;2023 December;89.0;2895.0;8351.0;87.0;2880.0;8138.0
618;Accommodations without stars;Amsterdam;2024 January;79.0;2768.0;8410.0;77.0;2761.0;8358.0
619;Accommodations without stars;Amsterdam;2024 February;79.0;2768.0;8410.0;77.0;2727.0;8186.0
620;Accommodations without stars;Amsterdam;2024 March;79.0;2768.0;8410.0;78.0;2729.0;8218.0
621;Accommodations without stars;Amsterdam;2024 April;79.0;2768.0;8410.0;78.0;2729.0;8218.0
622;Accommodations without stars;Amsterdam;2024 May;79.0;2768.0;8410.0;78.0;2729.0;8218.0
623;Accommodations without stars;Amsterdam;2024 June;79.0;2768.0;8410.0;78.0;2763.0;8390.0
624;Accommodations without stars;Amsterdam;2024 July;79.0;2768.0;8410.0;78.0;2763.0;8390.0
625;Accommodations without stars;Amsterdam;2024 August;79.0;2768.0;8410.0;77.0;2757.0;8377.0
626;Accommodations without stars;Amsterdam;2024 September;79.0;2768.0;8410.0;78.0;2763.0;8390.0
627;Accommodations without stars;Amsterdam;2024 October;79.0;2768.0;8410.0;78.0;2763.0;8390.0
628;Accommodations without stars;Amsterdam;2024 November;79.0;2768.0;8410.0;77.0;2761.0;8358.0
629;Accommodations without stars;Amsterdam;2024 December;79.0;2768.0;8410.0;77.0;2761.0;8358.0
630;Accommodations without stars;Amsterdam;2025 January;84.0;2771.0;8668.0;83.0;2769.0;8636.0
631;Accommodations without stars;Amsterdam;2025 February;84.0;2771.0;8668.0;83.0;2769.0;8636.0
632;1 star accommodations;Nederland;2012 January;;;;;;
633;1 star accommodations;Nederland;2012 February;;;;;;
634;1 star accommodations;Nederland;2012 March;;;;;;
635;1 star accommodations;Nederland;2012 April;;;;;;
636;1 star accommodations;Nederland;2012 May;;;;;;
637;1 star accommodations;Nederland;2012 June;;;;;;
638;1 star accommodations;Nederland;2012 July;;;;;;
639;1 star accommodations;Nederland;2012 August;;;;;;
640;1 star accommodations;Nederland;2012 September;;;;;;
641;1 star accommodations;Nederland;2012 October;;;;;;
642;1 star accommodations;Nederland;2012 November;;;;;;
643;1 star accommodations;Nederland;2012 December;;;;;;
644;1 star accommodations;Nederland;2013 January;;;;;;
645;1 star accommodations;Nederland;2013 February;;;;;;
646;1 star accommodations;Nederland;2013 March;;;;;;
647;1 star accommodations;Nederland;2013 April;;;;;;
648;1 star accommodations;Nederland;2013 May;;;;;;
649;1 star accommodations;Nederland;2013 June;;;;;;
650;1 star accommodations;Nederland;2013 July;;;;;;
651;1 star accommodations;Nederland;2013 August;;;;;;
652;1 star accommodations;Nederland;2013 September;;;;;;
653;1 star accommodations;Nederland;2013 October;;;;;;
654;1 star accommodations;Nederland;2013 November;;;;;;
655;1 star accommodations;Nederland;2013 December;;;;;;
656;1 star accommodations;Nederland;2014 January;;;;;;
657;1 star accommodations;Nederland;2014 February;;;;;;
658;1 star accommodations;Nederland;2014 March;;;;;;
659;1 star accommodations;Nederland;2014 April;;;;;;
660;1 star accommodations;Nederland;2014 May;;;;;;
661;1 star accommodations;Nederland;2014 June;;;;;;
662;1 star accommodations;Nederland;2014 July;;;;;;
663;1 star accommodations;Nederland;2014 August;;;;;;
664;1 star accommodations;Nederland;2014 September;;;;;;
665;1 star accommodations;Nederland;2014 October;;;;;;
666;1 star accommodations;Nederland;2014 November;;;;;;
667;1 star accommodations;Nederland;2014 December;;;;;;
668;1 star accommodations;Nederland;2015 January;;;;;;
669;1 star accommodations;Nederland;2015 February;;;;;;
670;1 star accommodations;Nederland;2015 March;;;;;;
671;1 star accommodations;Nederland;2015 April;;;;;;
672;1 star accommodations;Nederland;2015 May;;;;;;
673;1 star accommodations;Nederland;2015 June;;;;;;
674;1 star accommodations;Nederland;2015 July;;;;;;
675;1 star accommodations;Nederland;2015 August;;;;;;
676;1 star accommodations;Nederland;2015 September;;;;;;
677;1 star accommodations;Nederland;2015 October;;;;;;
678;1 star accommodations;Nederland;2015 November;;;;;;
679;1 star accommodations;Nederland;2015 December;;;;;;
680;1 star accommodations;Nederland;2016 January;;;;;;
681;1 star accommodations;Nederland;2016 February;;;;;;
682;1 star accommodations;Nederland;2016 March;;;;;;
683;1 star accommodations;Nederland;2016 April;;;;;;
684;1 star accommodations;Nederland;2016 May;;;;;;
685;1 star accommodations;Nederland;2016 June;;;;;;
686;1 star accommodations;Nederland;2016 July;;;;;;
687;1 star accommodations;Nederland;2016 August;;;;;;
688;1 star accommodations;Nederland;2016 September;;;;;;
689;1 star accommodations;Nederland;2016 October;;;;;;
690;1 star accommodations;Nederland;2016 November;;;;;;
691;1 star accommodations;Nederland;2016 December;;;;;;
692;1 star accommodations;Nederland;2017 January;184.0;2251.0;5026.0;158.0;2058.0;4589.0
693;1 star accommodations;Nederland;2017 February;184.0;2251.0;5026.0;172.0;2162.0;4822.0
694;1 star accommodations;Nederland;2017 March;184.0;2251.0;5026.0;178.0;2218.0;4957.0
695;1 star accommodations;Nederland;2017 April;184.0;2251.0;5026.0;181.0;2236.0;4994.0
696;1 star accommodations;Nederland;2017 May;184.0;2251.0;5026.0;182.0;2245.0;5012.0
697;1 star accommodations;Nederland;2017 June;184.0;2251.0;5026.0;182.0;2245.0;5012.0
698;1 star accommodations;Nederland;2017 July;184.0;2251.0;5026.0;183.0;2248.0;5020.0
699;1 star accommodations;Nederland;2017 August;184.0;2251.0;5026.0;183.0;2248.0;5020.0
700;1 star accommodations;Nederland;2017 September;184.0;2251.0;5026.0;181.0;2241.0;5004.0
701;1 star accommodations;Nederland;2017 October;184.0;2251.0;5026.0;179.0;2230.0;4980.0
702;1 star accommodations;Nederland;2017 November;184.0;2251.0;5026.0;173.0;2187.0;4881.0
703;1 star accommodations;Nederland;2017 December;184.0;2251.0;5026.0;164.0;2141.0;4781.0
704;1 star accommodations;Nederland;2018 January;142.0;1909.0;4245.0;122.0;1703.0;3769.0
705;1 star accommodations;Nederland;2018 February;142.0;1909.0;4245.0;134.0;1806.0;4007.0
706;1 star accommodations;Nederland;2018 March;142.0;1909.0;4245.0;139.0;1852.0;4123.0
707;1 star accommodations;Nederland;2018 April;142.0;1909.0;4245.0;141.0;1861.0;4149.0
708;1 star accommodations;Nederland;2018 May;142.0;1909.0;4245.0;139.0;1852.0;4130.0
709;1 star accommodations;Nederland;2018 June;142.0;1909.0;4245.0;140.0;1858.0;4143.0
710;1 star accommodations;Nederland;2018 July;142.0;1909.0;4245.0;141.0;1861.0;4149.0
711;1 star accommodations;Nederland;2018 August;142.0;1909.0;4245.0;140.0;1854.0;4135.0
712;1 star accommodations;Nederland;2018 September;142.0;1909.0;4245.0;138.0;1849.0;4125.0
713;1 star accommodations;Nederland;2018 October;142.0;1909.0;4245.0;140.0;1859.0;4137.0
714;1 star accommodations;Nederland;2018 November;142.0;1909.0;4245.0;136.0;1837.0;4083.0
715;1 star accommodations;Nederland;2018 December;142.0;1909.0;4245.0;130.0;1805.0;4011.0
716;1 star accommodations;Nederland;2019 January;127.0;1701.0;3994.0;112.0;1562.0;3670.0
717;1 star accommodations;Nederland;2019 February;127.0;1701.0;3994.0;122.0;1652.0;3870.0
718;1 star accommodations;Nederland;2019 March;127.0;1701.0;3994.0;124.0;1688.0;3966.0
719;1 star accommodations;Nederland;2019 April;127.0;1701.0;3994.0;126.0;1695.0;3985.0
720;1 star accommodations;Nederland;2019 May;127.0;1701.0;3994.0;126.0;1695.0;3985.0
721;1 star accommodations;Nederland;2019 June;127.0;1701.0;3994.0;126.0;1695.0;3985.0
722;1 star accommodations;Nederland;2019 July;127.0;1701.0;3994.0;125.0;1688.0;3971.0
723;1 star accommodations;Nederland;2019 August;127.0;1701.0;3994.0;126.0;1695.0;3985.0
724;1 star accommodations;Nederland;2019 September;127.0;1701.0;3994.0;125.0;1692.0;3979.0
