ID;RegistrationInDonorregister;Regions;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
1807;Total registered and non-registered;Nijkerk;2015;34.7;100.0
1808;Total registered and non-registered;Nijkerk;2016;35.0;100.0
1809;Total registered and non-registered;Nijkerk;2017;35.6;100.0
1810;Total registered and non-registered;Nijkerk;2018;36.1;100.0
1811;Total registered and non-registered;Nijkerk;2019;36.7;100.0
1812;Total registered and non-registered;Nijmegen;2014;149.1;100.0
1813;Total registered and non-registered;Nijmegen;2015;151.5;100.0
1814;Total registered and non-registered;Nijmegen;2016;152.8;100.0
1815;Total registered and non-registered;Nijmegen;2017;154.2;100.0
1816;Total registered and non-registered;Nijmegen;2018;156.4;100.0
1817;Total registered and non-registered;Nijmegen;2019;157.1;100.0
1818;Total registered and non-registered;Nissewaard;2014;73.5;100.0
1819;Total registered and non-registered;Nissewaard;2015;73.5;100.0
1820;Total registered and non-registered;Nissewaard;2016;73.8;100.0
1821;Total registered and non-registered;Nissewaard;2017;73.8;100.0
1822;Total registered and non-registered;Nissewaard;2018;74.2;100.0
1823;Total registered and non-registered;Nissewaard;2019;74.3;100.0
1824;Total registered and non-registered;Noardeast-Fryslân;2014;;
1825;Total registered and non-registered;Noardeast-Fryslân;2015;;
1826;Total registered and non-registered;Noardeast-Fryslân;2016;;
1827;Total registered and non-registered;Noardeast-Fryslân;2017;;
1828;Total registered and non-registered;Noardeast-Fryslân;2018;;
1829;Total registered and non-registered;Noardeast-Fryslân;2019;;
1830;Total registered and non-registered;Noord-Beveland;2014;6.7;100.0
1831;Total registered and non-registered;Noord-Beveland;2015;6.6;100.0
1832;Total registered and non-registered;Noord-Beveland;2016;6.6;100.0
1833;Total registered and non-registered;Noord-Beveland;2017;6.6;100.0
1834;Total registered and non-registered;Noord-Beveland;2018;6.6;100.0
1835;Total registered and non-registered;Noord-Beveland;2019;6.6;100.0
1836;Total registered and non-registered;Noordenveld;2014;27.3;100.0
1837;Total registered and non-registered;Noordenveld;2015;27.4;100.0
1838;Total registered and non-registered;Noordenveld;2016;27.4;100.0
1839;Total registered and non-registered;Noordenveld;2017;28.6;100.0
1840;Total registered and non-registered;Noordenveld;2018;28.3;100.0
1841;Total registered and non-registered;Noordenveld;2019;27.7;100.0
1842;Total registered and non-registered;Noordoostpolder;2014;39.1;100.0
1843;Total registered and non-registered;Noordoostpolder;2015;39.4;100.0
1844;Total registered and non-registered;Noordoostpolder;2016;39.5;100.0
1845;Total registered and non-registered;Noordoostpolder;2017;39.6;100.0
1846;Total registered and non-registered;Noordoostpolder;2018;39.8;100.0
1847;Total registered and non-registered;Noordoostpolder;2019;40.1;100.0
1848;Total registered and non-registered;Noordwijk;2014;22.6;100.0
1849;Total registered and non-registered;Noordwijk;2015;22.6;100.0
1850;Total registered and non-registered;Noordwijk;2016;22.7;100.0
1851;Total registered and non-registered;Noordwijk;2017;22.9;100.0
1852;Total registered and non-registered;Noordwijk;2018;23.0;100.0
1853;Total registered and non-registered;Noordwijk;2019;23.1;100.0
1854;Total registered and non-registered;Noordwijkerhout;2014;14.0;100.0
1855;Total registered and non-registered;Noordwijkerhout;2015;14.1;100.0
1856;Total registered and non-registered;Noordwijkerhout;2016;14.2;100.0
1857;Total registered and non-registered;Noordwijkerhout;2017;14.4;100.0
1858;Total registered and non-registered;Noordwijkerhout;2018;14.7;100.0
1859;Total registered and non-registered;Noordwijkerhout;2019;14.7;100.0
1860;Total registered and non-registered;Nuenen, Gerwen en Nederwetten;2014;20.0;100.0
1861;Total registered and non-registered;Nuenen, Gerwen en Nederwetten;2015;20.0;100.0
1862;Total registered and non-registered;Nuenen, Gerwen en Nederwetten;2016;20.2;100.0
1863;Total registered and non-registered;Nuenen, Gerwen en Nederwetten;2017;20.2;100.0
1864;Total registered and non-registered;Nuenen, Gerwen en Nederwetten;2018;20.3;100.0
1865;Total registered and non-registered;Nuenen, Gerwen en Nederwetten;2019;20.5;100.0
1866;Total registered and non-registered;Nunspeet;2014;22.7;100.0
1867;Total registered and non-registered;Nunspeet;2015;22.8;100.0
1868;Total registered and non-registered;Nunspeet;2016;22.9;100.0
1869;Total registered and non-registered;Nunspeet;2017;23.1;100.0
1870;Total registered and non-registered;Nunspeet;2018;23.2;100.0
1871;Total registered and non-registered;Nunspeet;2019;23.5;100.0
1872;Total registered and non-registered;Nuth;2014;14.0;100.0
1873;Total registered and non-registered;Nuth;2015;13.9;100.0
1874;Total registered and non-registered;Nuth;2016;13.8;100.0
1875;Total registered and non-registered;Nuth;2017;13.8;100.0
1876;Total registered and non-registered;Nuth;2018;13.7;100.0
1877;Total registered and non-registered;Nuth;2019;13.7;100.0
1878;Total registered and non-registered;Oegstgeest;2014;19.7;100.0
1879;Total registered and non-registered;Oegstgeest;2015;19.8;100.0
1880;Total registered and non-registered;Oegstgeest;2016;20.0;100.0
1881;Total registered and non-registered;Oegstgeest;2017;20.3;100.0
1882;Total registered and non-registered;Oegstgeest;2018;20.5;100.0
1883;Total registered and non-registered;Oegstgeest;2019;20.9;100.0
1884;Total registered and non-registered;Oirschot;2014;15.8;100.0
1885;Total registered and non-registered;Oirschot;2015;15.9;100.0
1886;Total registered and non-registered;Oirschot;2016;16.1;100.0
1887;Total registered and non-registered;Oirschot;2017;16.4;100.0
1888;Total registered and non-registered;Oirschot;2018;16.5;100.0
1889;Total registered and non-registered;Oirschot;2019;16.5;100.0
1890;Total registered and non-registered;Oisterwijk;2014;22.6;100.0
1891;Total registered and non-registered;Oisterwijk;2015;22.6;100.0
1892;Total registered and non-registered;Oisterwijk;2016;22.8;100.0
1893;Total registered and non-registered;Oisterwijk;2017;22.9;100.0
1894;Total registered and non-registered;Oisterwijk;2018;23.1;100.0
1895;Total registered and non-registered;Oisterwijk;2019;23.1;100.0
1896;Total registered and non-registered;Oldambt;2014;34.1;100.0
1897;Total registered and non-registered;Oldambt;2015;34.0;100.0
1898;Total registered and non-registered;Oldambt;2016;34.0;100.0
1899;Total registered and non-registered;Oldambt;2017;34.0;100.0
1900;Total registered and non-registered;Oldambt;2018;34.0;100.0
1901;Total registered and non-registered;Oldambt;2019;34.1;100.0
1902;Total registered and non-registered;Oldebroek;2014;19.5;100.0
1903;Total registered and non-registered;Oldebroek;2015;19.6;100.0
1904;Total registered and non-registered;Oldebroek;2016;19.8;100.0
1905;Total registered and non-registered;Oldebroek;2017;19.9;100.0
1906;Total registered and non-registered;Oldebroek;2018;20.1;100.0
1907;Total registered and non-registered;Oldebroek;2019;20.2;100.0
1908;Total registered and non-registered;Oldenzaal;2014;27.6;100.0
1909;Total registered and non-registered;Oldenzaal;2015;27.7;100.0
1910;Total registered and non-registered;Oldenzaal;2016;27.7;100.0
1911;Total registered and non-registered;Oldenzaal;2017;27.8;100.0
1912;Total registered and non-registered;Oldenzaal;2018;27.8;100.0
1913;Total registered and non-registered;Oldenzaal;2019;27.9;100.0
1914;Total registered and non-registered;Olst-Wijhe;2014;15.4;100.0
1915;Total registered and non-registered;Olst-Wijhe;2015;15.6;100.0
1916;Total registered and non-registered;Olst-Wijhe;2016;15.6;100.0
1917;Total registered and non-registered;Olst-Wijhe;2017;15.8;100.0
1918;Total registered and non-registered;Olst-Wijhe;2018;15.9;100.0
1919;Total registered and non-registered;Olst-Wijhe;2019;16.0;100.0
1920;Total registered and non-registered;Ommen;2014;15.0;100.0
1921;Total registered and non-registered;Ommen;2015;15.0;100.0
1922;Total registered and non-registered;Ommen;2016;15.3;100.0
1923;Total registered and non-registered;Ommen;2017;15.2;100.0
1924;Total registered and non-registered;Ommen;2018;15.3;100.0
1925;Total registered and non-registered;Ommen;2019;15.5;100.0
1926;Total registered and non-registered;Onderbanken;2014;7.1;100.0
1927;Total registered and non-registered;Onderbanken;2015;7.1;100.0
1928;Total registered and non-registered;Onderbanken;2016;7.1;100.0
1929;Total registered and non-registered;Onderbanken;2017;7.1;100.0
1930;Total registered and non-registered;Onderbanken;2018;7.1;100.0
1931;Total registered and non-registered;Onderbanken;2019;7.0;100.0
1932;Total registered and non-registered;Oost Gelre;2014;25.8;100.0
1933;Total registered and non-registered;Oost Gelre;2015;25.8;100.0
1934;Total registered and non-registered;Oost Gelre;2016;25.9;100.0
1935;Total registered and non-registered;Oost Gelre;2017;26.1;100.0
1936;Total registered and non-registered;Oost Gelre;2018;26.2;100.0
1937;Total registered and non-registered;Oost Gelre;2019;26.3;100.0
1938;Total registered and non-registered;Oosterhout;2014;47.1;100.0
1939;Total registered and non-registered;Oosterhout;2015;47.2;100.0
1940;Total registered and non-registered;Oosterhout;2016;47.6;100.0
1941;Total registered and non-registered;Oosterhout;2017;48.1;100.0
1942;Total registered and non-registered;Oosterhout;2018;48.5;100.0
1943;Total registered and non-registered;Oosterhout;2019;48.9;100.0
1944;Total registered and non-registered;Ooststellingwerf;2014;22.5;100.0
1945;Total registered and non-registered;Ooststellingwerf;2015;22.5;100.0
1946;Total registered and non-registered;Ooststellingwerf;2016;22.5;100.0
1947;Total registered and non-registered;Ooststellingwerf;2017;22.5;100.0
1948;Total registered and non-registered;Ooststellingwerf;2018;22.5;100.0
1949;Total registered and non-registered;Ooststellingwerf;2019;22.5;100.0
1950;Total registered and non-registered;Oostzaan;2014;8.0;100.0
1951;Total registered and non-registered;Oostzaan;2015;8.1;100.0
1952;Total registered and non-registered;Oostzaan;2016;8.3;100.0
1953;Total registered and non-registered;Oostzaan;2017;8.5;100.0
1954;Total registered and non-registered;Oostzaan;2018;8.5;100.0
1955;Total registered and non-registered;Oostzaan;2019;8.5;100.0
1956;Total registered and non-registered;Opmeer;2014;9.8;100.0
1957;Total registered and non-registered;Opmeer;2015;9.8;100.0
1958;Total registered and non-registered;Opmeer;2016;9.9;100.0
1959;Total registered and non-registered;Opmeer;2017;10.0;100.0
1960;Total registered and non-registered;Opmeer;2018;10.2;100.0
1961;Total registered and non-registered;Opmeer;2019;10.4;100.0
1962;Total registered and non-registered;Opsterland;2014;25.7;100.0
1963;Total registered and non-registered;Opsterland;2015;25.8;100.0
1964;Total registered and non-registered;Opsterland;2016;25.9;100.0
1965;Total registered and non-registered;Opsterland;2017;25.9;100.0
1966;Total registered and non-registered;Opsterland;2018;26.0;100.0
1967;Total registered and non-registered;Opsterland;2019;26.1;100.0
1968;Total registered and non-registered;Oss;2014;78.1;100.0
1969;Total registered and non-registered;Oss;2015;78.5;100.0
1970;Total registered and non-registered;Oss;2016;78.9;100.0
1971;Total registered and non-registered;Oss;2017;79.5;100.0
1972;Total registered and non-registered;Oss;2018;80.0;100.0
1973;Total registered and non-registered;Oss;2019;80.5;100.0
1974;Total registered and non-registered;Oud-Beijerland;2014;20.4;100.0
1975;Total registered and non-registered;Oud-Beijerland;2015;20.4;100.0
1976;Total registered and non-registered;Oud-Beijerland;2016;20.6;100.0
1977;Total registered and non-registered;Oud-Beijerland;2017;20.8;100.0
1978;Total registered and non-registered;Oud-Beijerland;2018;21.0;100.0
1979;Total registered and non-registered;Oud-Beijerland;2019;21.1;100.0
1980;Total registered and non-registered;Oude IJsselstreek;2014;34.7;100.0
1981;Total registered and non-registered;Oude IJsselstreek;2015;34.8;100.0
1982;Total registered and non-registered;Oude IJsselstreek;2016;35.0;100.0
1983;Total registered and non-registered;Oude IJsselstreek;2017;35.0;100.0
1984;Total registered and non-registered;Oude IJsselstreek;2018;35.1;100.0
1985;Total registered and non-registered;Oude IJsselstreek;2019;35.1;100.0
1986;Total registered and non-registered;Ouder-Amstel;2014;11.4;100.0
1987;Total registered and non-registered;Ouder-Amstel;2015;11.4;100.0
1988;Total registered and non-registered;Ouder-Amstel;2016;11.6;100.0
1989;Total registered and non-registered;Ouder-Amstel;2017;11.6;100.0
1990;Total registered and non-registered;Ouder-Amstel;2018;11.7;100.0
1991;Total registered and non-registered;Ouder-Amstel;2019;12.1;100.0
1992;Total registered and non-registered;Ouderkerk;2014;;
1993;Total registered and non-registered;Ouderkerk;2015;;
1994;Total registered and non-registered;Ouderkerk;2016;;
1995;Total registered and non-registered;Ouderkerk;2017;;
1996;Total registered and non-registered;Ouderkerk;2018;;
1997;Total registered and non-registered;Ouderkerk;2019;;
1998;Total registered and non-registered;Oudewater;2014;8.5;100.0
1999;Total registered and non-registered;Oudewater;2015;8.6;100.0
2000;Total registered and non-registered;Oudewater;2016;8.7;100.0
2001;Total registered and non-registered;Oudewater;2017;8.8;100.0
2002;Total registered and non-registered;Oudewater;2018;8.8;100.0
2003;Total registered and non-registered;Oudewater;2019;8.8;100.0
2004;Total registered and non-registered;Overbetuwe;2014;39.8;100.0
2005;Total registered and non-registered;Overbetuwe;2015;40.1;100.0
2006;Total registered and non-registered;Overbetuwe;2016;40.4;100.0
2007;Total registered and non-registered;Overbetuwe;2017;40.8;100.0
2008;Total registered and non-registered;Overbetuwe;2018;40.9;100.0
2009;Total registered and non-registered;Overbetuwe;2019;41.1;100.0
2010;Total registered and non-registered;Papendrecht;2014;27.7;100.0
2011;Total registered and non-registered;Papendrecht;2015;27.9;100.0
2012;Total registered and non-registered;Papendrecht;2016;28.0;100.0
2013;Total registered and non-registered;Papendrecht;2017;28.1;100.0
2014;Total registered and non-registered;Papendrecht;2018;28.1;100.0
2015;Total registered and non-registered;Papendrecht;2019;28.2;100.0
2016;Total registered and non-registered;Peel en Maas;2014;38.0;100.0
2017;Total registered and non-registered;Peel en Maas;2015;38.3;100.0
2018;Total registered and non-registered;Peel en Maas;2016;38.3;100.0
2019;Total registered and non-registered;Peel en Maas;2017;38.4;100.0
2020;Total registered and non-registered;Peel en Maas;2018;38.4;100.0
2021;Total registered and non-registered;Peel en Maas;2019;38.5;100.0
2022;Total registered and non-registered;Pekela;2014;11.2;100.0
2023;Total registered and non-registered;Pekela;2015;11.2;100.0
2024;Total registered and non-registered;Pekela;2016;11.2;100.0
2025;Total registered and non-registered;Pekela;2017;11.0;100.0
2026;Total registered and non-registered;Pekela;2018;10.8;100.0
2027;Total registered and non-registered;Pekela;2019;10.7;100.0
2028;Total registered and non-registered;Pijnacker-Nootdorp;2014;42.0;100.0
2029;Total registered and non-registered;Pijnacker-Nootdorp;2015;42.4;100.0
2030;Total registered and non-registered;Pijnacker-Nootdorp;2016;43.3;100.0
2031;Total registered and non-registered;Pijnacker-Nootdorp;2017;44.2;100.0
2032;Total registered and non-registered;Pijnacker-Nootdorp;2018;45.2;100.0
2033;Total registered and non-registered;Pijnacker-Nootdorp;2019;46.0;100.0
2034;Total registered and non-registered;Purmerend;2014;69.7;100.0
2035;Total registered and non-registered;Purmerend;2015;69.9;100.0
2036;Total registered and non-registered;Purmerend;2016;70.3;100.0
2037;Total registered and non-registered;Purmerend;2017;70.5;100.0
2038;Total registered and non-registered;Purmerend;2018;70.8;100.0
2039;Total registered and non-registered;Purmerend;2019;70.9;100.0
2040;Total registered and non-registered;Putten;2014;20.4;100.0
2041;Total registered and non-registered;Putten;2015;20.9;100.0
2042;Total registered and non-registered;Putten;2016;21.1;100.0
2043;Total registered and non-registered;Putten;2017;21.0;100.0
2044;Total registered and non-registered;Putten;2018;21.0;100.0
2045;Total registered and non-registered;Putten;2019;20.9;100.0
2046;Total registered and non-registered;Raalte;2014;31.7;100.0
2047;Total registered and non-registered;Raalte;2015;31.9;100.0
2048;Total registered and non-registered;Raalte;2016;32.1;100.0
2049;Total registered and non-registered;Raalte;2017;32.3;100.0
2050;Total registered and non-registered;Raalte;2018;32.6;100.0
2051;Total registered and non-registered;Raalte;2019;32.9;100.0
2052;Total registered and non-registered;Reimerswaal;2014;18.1;100.0
2053;Total registered and non-registered;Reimerswaal;2015;18.2;100.0
2054;Total registered and non-registered;Reimerswaal;2016;18.4;100.0
2055;Total registered and non-registered;Reimerswaal;2017;18.5;100.0
2056;Total registered and non-registered;Reimerswaal;2018;18.7;100.0
2057;Total registered and non-registered;Reimerswaal;2019;18.9;100.0
2058;Total registered and non-registered;Renkum;2014;27.8;100.0
2059;Total registered and non-registered;Renkum;2015;27.7;100.0
2060;Total registered and non-registered;Renkum;2016;27.6;100.0
2061;Total registered and non-registered;Renkum;2017;27.8;100.0
2062;Total registered and non-registered;Renkum;2018;27.9;100.0
2063;Total registered and non-registered;Renkum;2019;27.9;100.0
2064;Total registered and non-registered;Renswoude;2014;4.0;100.0
2065;Total registered and non-registered;Renswoude;2015;4.1;100.0
2066;Total registered and non-registered;Renswoude;2016;4.2;100.0
2067;Total registered and non-registered;Renswoude;2017;4.2;100.0
2068;Total registered and non-registered;Renswoude;2018;4.3;100.0
2069;Total registered and non-registered;Renswoude;2019;4.4;100.0
2070;Total registered and non-registered;Reusel-De Mierden;2014;11.0;100.0
2071;Total registered and non-registered;Reusel-De Mierden;2015;11.1;100.0
2072;Total registered and non-registered;Reusel-De Mierden;2016;11.1;100.0
2073;Total registered and non-registered;Reusel-De Mierden;2017;11.2;100.0
2074;Total registered and non-registered;Reusel-De Mierden;2018;11.3;100.0
2075;Total registered and non-registered;Reusel-De Mierden;2019;11.3;100.0
2076;Total registered and non-registered;Rheden;2014;38.6;100.0
2077;Total registered and non-registered;Rheden;2015;38.7;100.0
2078;Total registered and non-registered;Rheden;2016;39.0;100.0
2079;Total registered and non-registered;Rheden;2017;38.9;100.0
2080;Total registered and non-registered;Rheden;2018;38.7;100.0
2081;Total registered and non-registered;Rheden;2019;38.9;100.0
2082;Total registered and non-registered;Rhenen;2014;16.2;100.0
2083;Total registered and non-registered;Rhenen;2015;16.4;100.0
2084;Total registered and non-registered;Rhenen;2016;16.6;100.0
2085;Total registered and non-registered;Rhenen;2017;16.8;100.0
2086;Total registered and non-registered;Rhenen;2018;17.0;100.0
2087;Total registered and non-registered;Rhenen;2019;17.2;100.0
2088;Total registered and non-registered;Ridderkerk;2014;40.1;100.0
2089;Total registered and non-registered;Ridderkerk;2015;40.0;100.0
2090;Total registered and non-registered;Ridderkerk;2016;39.9;100.0
2091;Total registered and non-registered;Ridderkerk;2017;40.2;100.0
2092;Total registered and non-registered;Ridderkerk;2018;40.4;100.0
2093;Total registered and non-registered;Ridderkerk;2019;40.6;100.0
2094;Total registered and non-registered;Rijnwaarden;2014;;
2095;Total registered and non-registered;Rijnwaarden;2015;;
2096;Total registered and non-registered;Rijnwaarden;2016;;
2097;Total registered and non-registered;Rijnwaarden;2017;;
2098;Total registered and non-registered;Rijnwaarden;2018;;
2099;Total registered and non-registered;Rijnwaarden;2019;;
2100;Total registered and non-registered;Rijssen-Holten;2014;31.3;100.0
2101;Total registered and non-registered;Rijssen-Holten;2015;31.5;100.0
2102;Total registered and non-registered;Rijssen-Holten;2016;31.6;100.0
2103;Total registered and non-registered;Rijssen-Holten;2017;31.8;100.0
2104;Total registered and non-registered;Rijssen-Holten;2018;32.0;100.0
2105;Total registered and non-registered;Rijssen-Holten;2019;32.3;100.0
2106;Total registered and non-registered;Rijswijk (ZH.);2014;42.1;100.0
2107;Total registered and non-registered;Rijswijk (ZH.);2015;42.5;100.0
2108;Total registered and non-registered;Rijswijk (ZH.);2016;43.4;100.0
2109;Total registered and non-registered;Rijswijk (ZH.);2017;44.6;100.0
2110;Total registered and non-registered;Rijswijk (ZH.);2018;45.4;100.0
2111;Total registered and non-registered;Rijswijk (ZH.);2019;46.1;100.0
2112;Total registered and non-registered;Roerdalen;2014;18.6;100.0
2113;Total registered and non-registered;Roerdalen;2015;18.6;100.0
2114;Total registered and non-registered;Roerdalen;2016;18.6;100.0
2115;Total registered and non-registered;Roerdalen;2017;18.7;100.0
2116;Total registered and non-registered;Roerdalen;2018;18.7;100.0
2117;Total registered and non-registered;Roerdalen;2019;18.6;100.0
2118;Total registered and non-registered;Roermond;2014;50.0;100.0
2119;Total registered and non-registered;Roermond;2015;50.2;100.0
2120;Total registered and non-registered;Roermond;2016;50.2;100.0
2121;Total registered and non-registered;Roermond;2017;50.6;100.0
2122;Total registered and non-registered;Roermond;2018;51.0;100.0
2123;Total registered and non-registered;Roermond;2019;51.4;100.0
2124;Total registered and non-registered;De Ronde Venen;2014;37.1;100.0
2125;Total registered and non-registered;De Ronde Venen;2015;37.2;100.0
2126;Total registered and non-registered;De Ronde Venen;2016;37.3;100.0
2127;Total registered and non-registered;De Ronde Venen;2017;37.6;100.0
2128;Total registered and non-registered;De Ronde Venen;2018;38.4;100.0
2129;Total registered and non-registered;De Ronde Venen;2019;38.8;100.0
2130;Total registered and non-registered;Roosendaal;2014;67.2;100.0
2131;Total registered and non-registered;Roosendaal;2015;67.3;100.0
2132;Total registered and non-registered;Roosendaal;2016;67.5;100.0
2133;Total registered and non-registered;Roosendaal;2017;67.8;100.0
2134;Total registered and non-registered;Roosendaal;2018;67.8;100.0
2135;Total registered and non-registered;Roosendaal;2019;67.9;100.0
2136;Total registered and non-registered;Rotterdam;2014;535.3;100.0
2137;Total registered and non-registered;Rotterdam;2015;539.7;100.0
2138;Total registered and non-registered;Rotterdam;2016;544.1;100.0
2139;Total registered and non-registered;Rotterdam;2017;548.5;100.0
2140;Total registered and non-registered;Rotterdam;2018;553.4;100.0
2141;Total registered and non-registered;Rotterdam;2019;558.8;100.0
2142;Total registered and non-registered;Rozendaal;2014;1.3;100.0
2143;Total registered and non-registered;Rozendaal;2015;1.3;100.0
2144;Total registered and non-registered;Rozendaal;2016;1.3;100.0
2145;Total registered and non-registered;Rozendaal;2017;1.3;100.0
2146;Total registered and non-registered;Rozendaal;2018;1.4;100.0
2147;Total registered and non-registered;Rozendaal;2019;1.4;100.0
2148;Total registered and non-registered;Rucphen;2014;20.0;100.0
2149;Total registered and non-registered;Rucphen;2015;20.1;100.0
2150;Total registered and non-registered;Rucphen;2016;20.1;100.0
2151;Total registered and non-registered;Rucphen;2017;20.2;100.0
2152;Total registered and non-registered;Rucphen;2018;20.2;100.0
2153;Total registered and non-registered;Rucphen;2019;20.3;100.0
2154;Total registered and non-registered;Schagen;2014;39.9;100.0
2155;Total registered and non-registered;Schagen;2015;40.3;100.0
2156;Total registered and non-registered;Schagen;2016;40.5;100.0
2157;Total registered and non-registered;Schagen;2017;40.7;100.0
2158;Total registered and non-registered;Schagen;2018;40.9;100.0
2159;Total registered and non-registered;Schagen;2019;41.2;100.0
2160;Total registered and non-registered;Schermer;2014;;
2161;Total registered and non-registered;Schermer;2015;;
2162;Total registered and non-registered;Schermer;2016;;
2163;Total registered and non-registered;Schermer;2017;;
2164;Total registered and non-registered;Schermer;2018;;
2165;Total registered and non-registered;Schermer;2019;;
2166;Total registered and non-registered;Scherpenzeel;2014;8.0;100.0
2167;Total registered and non-registered;Scherpenzeel;2015;8.0;100.0
2168;Total registered and non-registered;Scherpenzeel;2016;8.0;100.0
2169;Total registered and non-registered;Scherpenzeel;2017;8.1;100.0
2170;Total registered and non-registered;Scherpenzeel;2018;8.2;100.0
2171;Total registered and non-registered;Scherpenzeel;2019;8.3;100.0
2172;Total registered and non-registered;Schiedam;2014;66.4;100.0
2173;Total registered and non-registered;Schiedam;2015;66.8;100.0
2174;Total registered and non-registered;Schiedam;2016;67.1;100.0
2175;Total registered and non-registered;Schiedam;2017;67.7;100.0
2176;Total registered and non-registered;Schiedam;2018;67.9;100.0
2177;Total registered and non-registered;Schiedam;2019;68.0;100.0
2178;Total registered and non-registered;Schiermonnikoog;2014;0.8;100.0
2179;Total registered and non-registered;Schiermonnikoog;2015;0.8;100.0
2180;Total registered and non-registered;Schiermonnikoog;2016;0.8;100.0
2181;Total registered and non-registered;Schiermonnikoog;2017;0.9;100.0
2182;Total registered and non-registered;Schiermonnikoog;2018;0.9;100.0
2183;Total registered and non-registered;Schiermonnikoog;2019;0.9;100.0
2184;Total registered and non-registered;Schijndel;2014;;
2185;Total registered and non-registered;Schijndel;2015;;
2186;Total registered and non-registered;Schijndel;2016;;
2187;Total registered and non-registered;Schijndel;2017;;
2188;Total registered and non-registered;Schijndel;2018;;
2189;Total registered and non-registered;Schijndel;2019;;
2190;Total registered and non-registered;Schinnen;2014;11.5;100.0
2191;Total registered and non-registered;Schinnen;2015;11.6;100.0
2192;Total registered and non-registered;Schinnen;2016;11.6;100.0
2193;Total registered and non-registered;Schinnen;2017;11.6;100.0
2194;Total registered and non-registered;Schinnen;2018;11.5;100.0
2195;Total registered and non-registered;Schinnen;2019;11.5;100.0
2196;Total registered and non-registered;Schoonhoven;2014;;
2197;Total registered and non-registered;Schoonhoven;2015;;
2198;Total registered and non-registered;Schoonhoven;2016;;
2199;Total registered and non-registered;Schoonhoven;2017;;
2200;Total registered and non-registered;Schoonhoven;2018;;
2201;Total registered and non-registered;Schoonhoven;2019;;
2202;Total registered and non-registered;Schouwen-Duiveland;2014;30.0;100.0
2203;Total registered and non-registered;Schouwen-Duiveland;2015;30.0;100.0
2204;Total registered and non-registered;Schouwen-Duiveland;2016;30.0;100.0
2205;Total registered and non-registered;Schouwen-Duiveland;2017;30.1;100.0
2206;Total registered and non-registered;Schouwen-Duiveland;2018;30.0;100.0
2207;Total registered and non-registered;Schouwen-Duiveland;2019;30.1;100.0
2208;Total registered and non-registered;Simpelveld;2014;9.7;100.0
2209;Total registered and non-registered;Simpelveld;2015;9.7;100.0
2210;Total registered and non-registered;Simpelveld;2016;9.7;100.0
2211;Total registered and non-registered;Simpelveld;2017;9.5;100.0
2212;Total registered and non-registered;Simpelveld;2018;9.5;100.0
2213;Total registered and non-registered;Simpelveld;2019;9.4;100.0
2214;Total registered and non-registered;Sint Anthonis;2014;10.2;100.0
2215;Total registered and non-registered;Sint Anthonis;2015;10.3;100.0
2216;Total registered and non-registered;Sint Anthonis;2016;10.3;100.0
2217;Total registered and non-registered;Sint Anthonis;2017;10.3;100.0
2218;Total registered and non-registered;Sint Anthonis;2018;10.3;100.0
2219;Total registered and non-registered;Sint Anthonis;2019;10.3;100.0
2220;Total registered and non-registered;Sint-Michielsgestel;2014;24.4;100.0
2221;Total registered and non-registered;Sint-Michielsgestel;2015;24.7;100.0
2222;Total registered and non-registered;Sint-Michielsgestel;2016;24.8;100.0
2223;Total registered and non-registered;Sint-Michielsgestel;2017;25.0;100.0
2224;Total registered and non-registered;Sint-Michielsgestel;2018;25.0;100.0
2225;Total registered and non-registered;Sint-Michielsgestel;2019;25.3;100.0
2226;Total registered and non-registered;Sint-Oedenrode;2014;;
2227;Total registered and non-registered;Sint-Oedenrode;2015;;
2228;Total registered and non-registered;Sint-Oedenrode;2016;;
2229;Total registered and non-registered;Sint-Oedenrode;2017;;
2230;Total registered and non-registered;Sint-Oedenrode;2018;;
2231;Total registered and non-registered;Sint-Oedenrode;2019;;
2232;Total registered and non-registered;Sittard-Geleen;2014;83.9;100.0
2233;Total registered and non-registered;Sittard-Geleen;2015;84.1;100.0
2234;Total registered and non-registered;Sittard-Geleen;2016;84.1;100.0
2235;Total registered and non-registered;Sittard-Geleen;2017;84.0;100.0
2236;Total registered and non-registered;Sittard-Geleen;2018;83.7;100.0
2237;Total registered and non-registered;Sittard-Geleen;2019;83.5;100.0
2238;Total registered and non-registered;Sliedrecht;2014;20.9;100.0
2239;Total registered and non-registered;Sliedrecht;2015;21.1;100.0
2240;Total registered and non-registered;Sliedrecht;2016;21.3;100.0
2241;Total registered and non-registered;Sliedrecht;2017;21.4;100.0
2242;Total registered and non-registered;Sliedrecht;2018;21.3;100.0
2243;Total registered and non-registered;Sliedrecht;2019;21.3;100.0
2244;Total registered and non-registered;Slochteren;2014;;
2245;Total registered and non-registered;Slochteren;2015;;
2246;Total registered and non-registered;Slochteren;2016;;
2247;Total registered and non-registered;Slochteren;2017;;
2248;Total registered and non-registered;Slochteren;2018;;
2249;Total registered and non-registered;Slochteren;2019;;
2250;Total registered and non-registered;Sluis;2014;21.4;100.0
2251;Total registered and non-registered;Sluis;2015;21.3;100.0
2252;Total registered and non-registered;Sluis;2016;21.2;100.0
2253;Total registered and non-registered;Sluis;2017;21.3;100.0
