ID;Beroep;BeroepVoorgaandePeriode;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
290;Totaal;Totaal;Migratieachtergrond: Nederland;2005 1e kwartaal;6203.0
291;Totaal;Totaal;Migratieachtergrond: Nederland;2005 2e kwartaal;6230.0
292;Totaal;Totaal;Migratieachtergrond: Nederland;2005 3e kwartaal;6244.0
293;Totaal;Totaal;Migratieachtergrond: Nederland;2005 4e kwartaal;6276.0
294;Totaal;Totaal;Migratieachtergrond: Nederland;2005;6021.0
295;Totaal;Totaal;Migratieachtergrond: Nederland;2006 1e kwartaal;6273.0
296;Totaal;Totaal;Migratieachtergrond: Nederland;2006 2e kwartaal;6308.0
297;Totaal;Totaal;Migratieachtergrond: Nederland;2006 3e kwartaal;6340.0
298;Totaal;Totaal;Migratieachtergrond: Nederland;2006 4e kwartaal;6379.0
299;Totaal;Totaal;Migratieachtergrond: Nederland;2006;6081.0
300;Totaal;Totaal;Migratieachtergrond: Nederland;2007 1e kwartaal;6412.0
301;Totaal;Totaal;Migratieachtergrond: Nederland;2007 2e kwartaal;6467.0
302;Totaal;Totaal;Migratieachtergrond: Nederland;2007 3e kwartaal;6511.0
303;Totaal;Totaal;Migratieachtergrond: Nederland;2007 4e kwartaal;6537.0
304;Totaal;Totaal;Migratieachtergrond: Nederland;2007;6251.0
305;Totaal;Totaal;Migratieachtergrond: Nederland;2008 1e kwartaal;6563.0
306;Totaal;Totaal;Migratieachtergrond: Nederland;2008 2e kwartaal;6594.0
307;Totaal;Totaal;Migratieachtergrond: Nederland;2008 3e kwartaal;6615.0
308;Totaal;Totaal;Migratieachtergrond: Nederland;2008 4e kwartaal;6610.0
309;Totaal;Totaal;Migratieachtergrond: Nederland;2008;6374.0
310;Totaal;Totaal;Migratieachtergrond: Nederland;2009 1e kwartaal;6604.0
311;Totaal;Totaal;Migratieachtergrond: Nederland;2009 2e kwartaal;6603.0
312;Totaal;Totaal;Migratieachtergrond: Nederland;2009 3e kwartaal;6574.0
313;Totaal;Totaal;Migratieachtergrond: Nederland;2009 4e kwartaal;6537.0
314;Totaal;Totaal;Migratieachtergrond: Nederland;2009;6380.0
