ID;EnergyCommodities;SectorBranchesSIC2008;Periods;TotalEnergyConsumption_1;FinalEnergyConsumption_2;NonEnergyUse_3;NetEnergyTransformation_4;EnergyTransformationInput_5;EnergyTransformationOutput_6;TotalEnergyConsumption_7;IndigenousProduction_8;SupplyOfEnergy_9;DeliveryOfEnergy_10;StockChange_11
874;Total coal and coal products;2013 Manuf. other inorganic basic chemic;2015;;;;;;;;;;;
875;Total coal and coal products;2013 Manuf. other inorganic basic chemic;2016;;;;;;;;;;;
876;Total coal and coal products;2014 Manufacture organic basic chemicals;2011;4.5;;3.0;1.5;1.5;;4.5;;4.5;;
877;Total coal and coal products;2014 Manufacture organic basic chemicals;2012;4.5;;3.0;1.5;1.5;;4.5;;4.5;;
878;Total coal and coal products;2014 Manufacture organic basic chemicals;2013;4.6;;3.2;1.4;1.4;;4.6;;4.6;;
879;Total coal and coal products;2014 Manufacture organic basic chemicals;2014;2.1;;1.4;0.7;0.7;;2.1;;2.1;;
880;Total coal and coal products;2014 Manufacture organic basic chemicals;2015;;;;;;;;;;;
881;Total coal and coal products;2014 Manufacture organic basic chemicals;2016;;;;;;;;;;;
882;Total coal and coal products;2015 Manufacture of fertilisers;2011;;;;;;;;;;;
883;Total coal and coal products;2015 Manufacture of fertilisers;2012;;;;;;;;;;;
884;Total coal and coal products;2015 Manufacture of fertilisers;2013;;;;;;;;;;;
885;Total coal and coal products;2015 Manufacture of fertilisers;2014;;;;;;;;;;;
886;Total coal and coal products;2015 Manufacture of fertilisers;2015;;;;;;;;;;;
887;Total coal and coal products;2015 Manufacture of fertilisers;2016;;;;;;;;;;;
888;Total coal and coal products;2016 Manufacture plastics (primary form);2011;;;;;;;;;;;
889;Total coal and coal products;2016 Manufacture plastics (primary form);2012;;;;;;;;;;;
890;Total coal and coal products;2016 Manufacture plastics (primary form);2013;;;;;;;;;;;
891;Total coal and coal products;2016 Manufacture plastics (primary form);2014;;;;;;;;;;;
892;Total coal and coal products;2016 Manufacture plastics (primary form);2015;;;;;;;;;;;
893;Total coal and coal products;2016 Manufacture plastics (primary form);2016;;;;;;;;;;;
894;Total coal and coal products;2017 Manufacture of synthetic rubber;2011;;;;;;;;;;;
895;Total coal and coal products;2017 Manufacture of synthetic rubber;2012;;;;;;;;;;;
896;Total coal and coal products;2017 Manufacture of synthetic rubber;2013;;;;;;;;;;;
897;Total coal and coal products;2017 Manufacture of synthetic rubber;2014;;;;;;;;;;;
898;Total coal and coal products;2017 Manufacture of synthetic rubber;2015;;;;;;;;;;;
899;Total coal and coal products;2017 Manufacture of synthetic rubber;2016;;;;;;;;;;;
900;Total coal and coal products;202 Manufacture agrochemical products;2011;;;;;;;;;;;
901;Total coal and coal products;202 Manufacture agrochemical products;2012;;;;;;;;;;;
902;Total coal and coal products;202 Manufacture agrochemical products;2013;;;;;;;;;;;
903;Total coal and coal products;202 Manufacture agrochemical products;2014;;;;;;;;;;;
904;Total coal and coal products;202 Manufacture agrochemical products;2015;;;;;;;;;;;
905;Total coal and coal products;202 Manufacture agrochemical products;2016;;;;;;;;;;;
906;Total coal and coal products;203 Manufacture of paints and ink;2011;;;;;;;;;;;
907;Total coal and coal products;203 Manufacture of paints and ink;2012;;;;;;;;;;;
908;Total coal and coal products;203 Manufacture of paints and ink;2013;;;;;;;;;;;
909;Total coal and coal products;203 Manufacture of paints and ink;2014;;;;;;;;;;;
910;Total coal and coal products;203 Manufacture of paints and ink;2015;;;;;;;;;;;
911;Total coal and coal products;203 Manufacture of paints and ink;2016;;;;;;;;;;;
912;Total coal and coal products;204 Manufacture detergents and cosmetics;2011;;;;;;;;;;;
913;Total coal and coal products;204 Manufacture detergents and cosmetics;2012;;;;;;;;;;;
914;Total coal and coal products;204 Manufacture detergents and cosmetics;2013;;;;;;;;;;;
915;Total coal and coal products;204 Manufacture detergents and cosmetics;2014;;;;;;;;;;;
916;Total coal and coal products;204 Manufacture detergents and cosmetics;2015;;;;;;;;;;;
917;Total coal and coal products;204 Manufacture detergents and cosmetics;2016;;;;;;;;;;;
918;Total coal and coal products;205 Manufacture of other chemicals;2011;;;;;;;;;;;
919;Total coal and coal products;205 Manufacture of other chemicals;2012;;;;;;;;;;;
920;Total coal and coal products;205 Manufacture of other chemicals;2013;;;;;;;;;;;
921;Total coal and coal products;205 Manufacture of other chemicals;2014;;;;;;;;;;;
922;Total coal and coal products;205 Manufacture of other chemicals;2015;;;;;;;;;;;
923;Total coal and coal products;205 Manufacture of other chemicals;2016;;;;;;;;;;;
924;Total coal and coal products;206 Manufacture of man-made fibres;2011;;;;;;;;;;;
925;Total coal and coal products;206 Manufacture of man-made fibres;2012;;;;;;;;;;;
926;Total coal and coal products;206 Manufacture of man-made fibres;2013;;;;;;;;;;;
927;Total coal and coal products;206 Manufacture of man-made fibres;2014;;;;;;;;;;;
928;Total coal and coal products;206 Manufacture of man-made fibres;2015;;;;;;;;;;;
929;Total coal and coal products;206 Manufacture of man-made fibres;2016;;;;;;;;;;;
930;Total coal and coal products;21 Manufacture of pharmaceuticals;2011;;;;;;;;;;;
931;Total coal and coal products;21 Manufacture of pharmaceuticals;2012;;;;;;;;;;;
932;Total coal and coal products;21 Manufacture of pharmaceuticals;2013;;;;;;;;;;;
933;Total coal and coal products;21 Manufacture of pharmaceuticals;2014;;;;;;;;;;;
934;Total coal and coal products;21 Manufacture of pharmaceuticals;2015;;;;;;;;;;;
935;Total coal and coal products;21 Manufacture of pharmaceuticals;2016;;;;;;;;;;;
936;Total coal and coal products;22 Manufacture rubber, plastic products;2011;;;;;;;;;;;
937;Total coal and coal products;22 Manufacture rubber, plastic products;2012;;;;;;;;;;;
938;Total coal and coal products;22 Manufacture rubber, plastic products;2013;;;;;;;;;;;
939;Total coal and coal products;22 Manufacture rubber, plastic products;2014;;;;;;;;;;;
940;Total coal and coal products;22 Manufacture rubber, plastic products;2015;;;;;;;;;;;
941;Total coal and coal products;22 Manufacture rubber, plastic products;2016;;;;;;;;;;;
942;Total coal and coal products;23 Manufacture of building materials;2011;1.4;1.4;0.0;;;;1.4;;1.4;0.0;0.0
943;Total coal and coal products;23 Manufacture of building materials;2012;1.4;1.4;0.0;;;;1.4;;1.4;;0.0
944;Total coal and coal products;23 Manufacture of building materials;2013;1.2;1.2;;;;;1.2;;1.2;;0.0
945;Total coal and coal products;23 Manufacture of building materials;2014;1.4;1.4;;;;;1.4;;1.4;;0.0
946;Total coal and coal products;23 Manufacture of building materials;2015;1.5;1.5;;;;;1.5;;1.5;;0.0
947;Total coal and coal products;23 Manufacture of building materials;2016;1.5;1.5;;;;;1.5;;1.5;;0.0
948;Total coal and coal products;231 Manufacture of glass ;2011;;;;;;;;;;;
949;Total coal and coal products;231 Manufacture of glass ;2012;;;;;;;;;;;
950;Total coal and coal products;231 Manufacture of glass ;2013;;;;;;;;;;;
951;Total coal and coal products;231 Manufacture of glass ;2014;;;;;;;;;;;
952;Total coal and coal products;231 Manufacture of glass ;2015;;;;;;;;;;;
953;Total coal and coal products;231 Manufacture of glass ;2016;;;;;;;;;;;
954;Total coal and coal products;232 Manufacture of refractory products;2011;;;;;;;;;;;
955;Total coal and coal products;232 Manufacture of refractory products;2012;;;;;;;;;;;
956;Total coal and coal products;232 Manufacture of refractory products;2013;;;;;;;;;;;
957;Total coal and coal products;232 Manufacture of refractory products;2014;;;;;;;;;;;
958;Total coal and coal products;232 Manufacture of refractory products;2015;;;;;;;;;;;
959;Total coal and coal products;232 Manufacture of refractory products;2016;;;;;;;;;;;
960;Total coal and coal products;233 Manufacture clay building materials;2011;0.0;0.0;0.0;;;;0.0;;0.0;;0.0
961;Total coal and coal products;233 Manufacture clay building materials;2012;0.0;0.0;0.0;;;;0.0;;0.0;;0.0
962;Total coal and coal products;233 Manufacture clay building materials;2013;0.0;0.0;;;;;0.0;;0.0;;0.0
963;Total coal and coal products;233 Manufacture clay building materials;2014;0.0;0.0;;;;;0.0;;0.0;;0.0
964;Total coal and coal products;233 Manufacture clay building materials;2015;;;;;;;;;;;
965;Total coal and coal products;233 Manufacture clay building materials;2016;;;;;;;;;;;
966;Total coal and coal products;234 Manufacture other ceramic products;2011;;;;;;;;;;;
967;Total coal and coal products;234 Manufacture other ceramic products;2012;;;;;;;;;;;
968;Total coal and coal products;234 Manufacture other ceramic products;2013;;;;;;;;;;;
969;Total coal and coal products;234 Manufacture other ceramic products;2014;;;;;;;;;;;
970;Total coal and coal products;234 Manufacture other ceramic products;2015;;;;;;;;;;;
971;Total coal and coal products;234 Manufacture other ceramic products;2016;;;;;;;;;;;
972;Total coal and coal products;235 Manufacture of cement, lime, plaster;2011;;;;;;;;;;;
973;Total coal and coal products;235 Manufacture of cement, lime, plaster;2012;;;;;;;;;;;
974;Total coal and coal products;235 Manufacture of cement, lime, plaster;2013;;;;;;;;;;;
975;Total coal and coal products;235 Manufacture of cement, lime, plaster;2014;;;;;;;;;;;
976;Total coal and coal products;235 Manufacture of cement, lime, plaster;2015;;;;;;;;;;;
977;Total coal and coal products;235 Manufacture of cement, lime, plaster;2016;;;;;;;;;;;
978;Total coal and coal products;236 Manufacture concrete etc. products;2011;;;;;;;;;;;
979;Total coal and coal products;236 Manufacture concrete etc. products;2012;;;;;;;;;;;
980;Total coal and coal products;236 Manufacture concrete etc. products;2013;;;;;;;;;;;
981;Total coal and coal products;236 Manufacture concrete etc. products;2014;;;;;;;;;;;
982;Total coal and coal products;236 Manufacture concrete etc. products;2015;;;;;;;;;;;
983;Total coal and coal products;236 Manufacture concrete etc. products;2016;;;;;;;;;;;
984;Total coal and coal products;237 Stone dressing;2011;;;;;;;;;;;
985;Total coal and coal products;237 Stone dressing;2012;;;;;;;;;;;
986;Total coal and coal products;237 Stone dressing;2013;;;;;;;;;;;
987;Total coal and coal products;237 Stone dressing;2014;;;;;;;;;;;
988;Total coal and coal products;237 Stone dressing;2015;;;;;;;;;;;
989;Total coal and coal products;237 Stone dressing;2016;;;;;;;;;;;
990;Total coal and coal products;239 Manufacture other mineral products;2011;;;;;;;;;;;
991;Total coal and coal products;239 Manufacture other mineral products;2012;;;;;;;;;;;
992;Total coal and coal products;239 Manufacture other mineral products;2013;;;;;;;;;;;
993;Total coal and coal products;239 Manufacture other mineral products;2014;;;;;;;;;;;
994;Total coal and coal products;239 Manufacture other mineral products;2015;;;;;;;;;;;
995;Total coal and coal products;239 Manufacture other mineral products;2016;;;;;;;;;;;
996;Total coal and coal products;24-30, 33 Metalectro;2011;77.0;17.2;0.1;59.7;96.8;37.1;77.0;;107.7;28.2;-2.5
997;Total coal and coal products;24-30, 33 Metalectro;2012;80.1;16.7;0.1;63.3;100.3;37.0;80.1;;110.7;28.7;-1.9
998;Total coal and coal products;24-30, 33 Metalectro;2013;77.1;16.6;0.1;60.5;96.1;35.6;77.1;;102.6;29.7;4.3
999;Total coal and coal products;24-30, 33 Metalectro;2014;78.7;16.6;0.1;62.0;98.2;36.2;78.7;;114.5;29.5;-6.3
1000;Total coal and coal products;24-30, 33 Metalectro;2015;80.7;17.3;0.1;63.4;100.1;36.7;80.7;;104.5;32.4;8.5
1001;Total coal and coal products;24-30, 33 Metalectro;2016;81.2;17.5;0.1;63.6;99.3;35.6;81.2;;115.7;32.9;-1.7
1002;Total coal and coal products;24-25 Man. of basic metals and -products;2011;77.0;17.2;0.1;59.7;96.8;37.1;77.0;;107.7;28.2;-2.5
1003;Total coal and coal products;24-25 Man. of basic metals and -products;2012;80.1;16.7;0.1;63.3;100.3;37.0;80.1;;110.7;28.7;-1.9
1004;Total coal and coal products;24-25 Man. of basic metals and -products;2013;77.1;16.6;0.1;60.5;96.1;35.6;77.1;;102.6;29.7;4.3
1005;Total coal and coal products;24-25 Man. of basic metals and -products;2014;78.7;16.6;0.1;62.0;98.2;36.2;78.7;;114.5;29.5;-6.3
1006;Total coal and coal products;24-25 Man. of basic metals and -products;2015;80.7;17.3;0.1;63.4;100.1;36.7;80.7;;104.5;32.4;8.5
1007;Total coal and coal products;24-25 Man. of basic metals and -products;2016;81.2;17.5;0.1;63.6;99.3;35.6;81.2;;115.7;32.9;-1.7
1008;Total coal and coal products;24 Manufacture of basic metals;2011;77.0;17.2;0.1;59.7;96.8;37.1;77.0;;107.7;28.2;-2.5
1009;Total coal and coal products;24 Manufacture of basic metals;2012;80.1;16.7;0.1;63.3;100.3;37.0;80.1;;110.7;28.7;-1.9
1010;Total coal and coal products;24 Manufacture of basic metals;2013;77.1;16.6;0.1;60.5;96.1;35.6;77.1;;102.6;29.7;4.3
1011;Total coal and coal products;24 Manufacture of basic metals;2014;78.7;16.6;0.1;62.0;98.2;36.2;78.7;;114.5;29.5;-6.3
1012;Total coal and coal products;24 Manufacture of basic metals;2015;80.7;17.3;0.1;63.4;100.1;36.7;80.7;;104.5;32.4;8.5
1013;Total coal and coal products;24 Manufacture of basic metals;2016;81.2;17.5;0.1;63.6;99.3;35.6;81.2;;115.7;32.9;-1.7
1014;Total coal and coal products;25 Manufacture of metal products;2011;;;;;;;;;;;
1015;Total coal and coal products;25 Manufacture of metal products;2012;;;;;;;;;;;
1016;Total coal and coal products;25 Manufacture of metal products;2013;;;;;;;;;;;
1017;Total coal and coal products;25 Manufacture of metal products;2014;;;;;;;;;;;
1018;Total coal and coal products;25 Manufacture of metal products;2015;;;;;;;;;;;
1019;Total coal and coal products;25 Manufacture of metal products;2016;;;;;;;;;;;
1020;Total coal and coal products;26-28 Manufact of electronics, machinery;2011;;;;;;;;;;;
1021;Total coal and coal products;26-28 Manufact of electronics, machinery;2012;;;;;;;;;;;
1022;Total coal and coal products;26-28 Manufact of electronics, machinery;2013;;;;;;;;;;;
1023;Total coal and coal products;26-28 Manufact of electronics, machinery;2014;;;;;;;;;;;
1024;Total coal and coal products;26-28 Manufact of electronics, machinery;2015;;;;;;;;;;;
1025;Total coal and coal products;26-28 Manufact of electronics, machinery;2016;;;;;;;;;;;
1026;Total coal and coal products;26-27 Elektrical and electron. Industry;2011;;;;;;;;;;;
1027;Total coal and coal products;26-27 Elektrical and electron. Industry;2012;;;;;;;;;;;
1028;Total coal and coal products;26-27 Elektrical and electron. Industry;2013;;;;;;;;;;;
1029;Total coal and coal products;26-27 Elektrical and electron. Industry;2014;;;;;;;;;;;
1030;Total coal and coal products;26-27 Elektrical and electron. Industry;2015;;;;;;;;;;;
1031;Total coal and coal products;26-27 Elektrical and electron. Industry;2016;;;;;;;;;;;
1032;Total coal and coal products;26 Manufacture of electronic products;2011;;;;;;;;;;;
1033;Total coal and coal products;26 Manufacture of electronic products;2012;;;;;;;;;;;
1034;Total coal and coal products;26 Manufacture of electronic products;2013;;;;;;;;;;;
1035;Total coal and coal products;26 Manufacture of electronic products;2014;;;;;;;;;;;
1036;Total coal and coal products;26 Manufacture of electronic products;2015;;;;;;;;;;;
1037;Total coal and coal products;26 Manufacture of electronic products;2016;;;;;;;;;;;
1038;Total coal and coal products;27 Manufacture of electric equipment;2011;;;;;;;;;;;
1039;Total coal and coal products;27 Manufacture of electric equipment;2012;;;;;;;;;;;
1040;Total coal and coal products;27 Manufacture of electric equipment;2013;;;;;;;;;;;
1041;Total coal and coal products;27 Manufacture of electric equipment;2014;;;;;;;;;;;
1042;Total coal and coal products;27 Manufacture of electric equipment;2015;;;;;;;;;;;
1043;Total coal and coal products;27 Manufacture of electric equipment;2016;;;;;;;;;;;
1044;Total coal and coal products;28 Manufacture of machinery n.e.c.;2011;;;;;;;;;;;
1045;Total coal and coal products;28 Manufacture of machinery n.e.c.;2012;;;;;;;;;;;
1046;Total coal and coal products;28 Manufacture of machinery n.e.c.;2013;;;;;;;;;;;
1047;Total coal and coal products;28 Manufacture of machinery n.e.c.;2014;;;;;;;;;;;
1048;Total coal and coal products;28 Manufacture of machinery n.e.c.;2015;;;;;;;;;;;
1049;Total coal and coal products;28 Manufacture of machinery n.e.c.;2016;;;;;;;;;;;
1050;Total coal and coal products;29-30 Transport equipment;2011;;;;;;;;;;;
1051;Total coal and coal products;29-30 Transport equipment;2012;;;;;;;;;;;
1052;Total coal and coal products;29-30 Transport equipment;2013;;;;;;;;;;;
1053;Total coal and coal products;29-30 Transport equipment;2014;;;;;;;;;;;
1054;Total coal and coal products;29-30 Transport equipment;2015;;;;;;;;;;;
1055;Total coal and coal products;29-30 Transport equipment;2016;;;;;;;;;;;
1056;Total coal and coal products;29 Manufacture of cars and trailers;2011;;;;;;;;;;;
1057;Total coal and coal products;29 Manufacture of cars and trailers;2012;;;;;;;;;;;
1058;Total coal and coal products;29 Manufacture of cars and trailers;2013;;;;;;;;;;;
1059;Total coal and coal products;29 Manufacture of cars and trailers;2014;;;;;;;;;;;
1060;Total coal and coal products;29 Manufacture of cars and trailers;2015;;;;;;;;;;;
1061;Total coal and coal products;29 Manufacture of cars and trailers;2016;;;;;;;;;;;
1062;Total coal and coal products;30 Manufacture of other transport;2011;;;;;;;;;;;
1063;Total coal and coal products;30 Manufacture of other transport;2012;;;;;;;;;;;
1064;Total coal and coal products;30 Manufacture of other transport;2013;;;;;;;;;;;
1065;Total coal and coal products;30 Manufacture of other transport;2014;;;;;;;;;;;
1066;Total coal and coal products;30 Manufacture of other transport;2015;;;;;;;;;;;
1067;Total coal and coal products;30 Manufacture of other transport;2016;;;;;;;;;;;
1068;Total coal and coal products;31 Manufacture of furniture;2011;;;;;;;;;;;
1069;Total coal and coal products;31 Manufacture of furniture;2012;;;;;;;;;;;
1070;Total coal and coal products;31 Manufacture of furniture;2013;;;;;;;;;;;
1071;Total coal and coal products;31 Manufacture of furniture;2014;;;;;;;;;;;
1072;Total coal and coal products;31 Manufacture of furniture;2015;;;;;;;;;;;
1073;Total coal and coal products;31 Manufacture of furniture;2016;;;;;;;;;;;
1074;Total coal and coal products;32 Manufacture of other products;2011;;;;;;;;;;;
1075;Total coal and coal products;32 Manufacture of other products;2012;;;;;;;;;;;
1076;Total coal and coal products;32 Manufacture of other products;2013;;;;;;;;;;;
1077;Total coal and coal products;32 Manufacture of other products;2014;;;;;;;;;;;
1078;Total coal and coal products;32 Manufacture of other products;2015;;;;;;;;;;;
1079;Total coal and coal products;32 Manufacture of other products;2016;;;;;;;;;;;
1080;Total coal and coal products;33 Repair and installation of machinery;2011;;;;;;;;;;;
1081;Total coal and coal products;33 Repair and installation of machinery;2012;;;;;;;;;;;
1082;Total coal and coal products;33 Repair and installation of machinery;2013;;;;;;;;;;;
1083;Total coal and coal products;33 Repair and installation of machinery;2014;;;;;;;;;;;
1084;Total coal and coal products;33 Repair and installation of machinery;2015;;;;;;;;;;;
1085;Total coal and coal products;33 Repair and installation of machinery;2016;;;;;;;;;;;
1086;Total coal and coal products;Manufacturing unknown;2011;1.4;1.4;;;;;1.4;;1.4;;
1087;Total coal and coal products;Manufacturing unknown;2012;1.3;1.3;;;;;1.3;;1.3;;
1088;Total coal and coal products;Manufacturing unknown;2013;0.8;0.8;;;;;0.8;;0.8;;
1089;Total coal and coal products;Manufacturing unknown;2014;0.4;0.4;;;;;0.4;;0.4;;
1090;Total coal and coal products;Manufacturing unknown;2015;0.3;0.3;;;;;0.3;;0.3;;
1091;Total coal and coal products;Manufacturing unknown;2016;0.7;0.7;;;;;0.7;;0.7;;
1092;Total coal and coal products;D Energy supply;2011;208.4;;;208.4;208.4;;208.4;;209.7;;-1.2
1093;Total coal and coal products;D Energy supply;2012;237.8;;;237.8;237.8;;237.8;;237.6;;0.1
1094;Total coal and coal products;D Energy supply;2013;245.6;;;245.6;245.6;;245.6;;247.0;;-1.4
1095;Total coal and coal products;D Energy supply;2014;280.9;;;280.9;280.9;;280.9;;284.9;;-4.4
1096;Total coal and coal products;D Energy supply;2015;362.0;;;362.0;362.0;;362.0;;358.8;;4.4
1097;Total coal and coal products;D Energy supply;2016;328.3;;;328.3;328.3;;328.3;;326.2;;2.1
1098;Total coal and coal products;E Water supply and waste management;2011;;;;;;;;;;;
1099;Total coal and coal products;E Water supply and waste management;2012;;;;;;;;;;;
1100;Total coal and coal products;E Water supply and waste management;2013;;;;;;;;;;;
1101;Total coal and coal products;E Water supply and waste management;2014;;;;;;;;;;;
1102;Total coal and coal products;E Water supply and waste management;2015;;;;;;;;;;;
1103;Total coal and coal products;E Water supply and waste management;2016;;;;;;;;;;;
1104;Total coal and coal products;36 Water collection and distribution;2011;;;;;;;;;;;
1105;Total coal and coal products;36 Water collection and distribution;2012;;;;;;;;;;;
1106;Total coal and coal products;36 Water collection and distribution;2013;;;;;;;;;;;
1107;Total coal and coal products;36 Water collection and distribution;2014;;;;;;;;;;;
1108;Total coal and coal products;36 Water collection and distribution;2015;;;;;;;;;;;
1109;Total coal and coal products;36 Water collection and distribution;2016;;;;;;;;;;;
1110;Total coal and coal products;37 Sewerage ;2011;;;;;;;;;;;
1111;Total coal and coal products;37 Sewerage ;2012;;;;;;;;;;;
1112;Total coal and coal products;37 Sewerage ;2013;;;;;;;;;;;
1113;Total coal and coal products;37 Sewerage ;2014;;;;;;;;;;;
1114;Total coal and coal products;37 Sewerage ;2015;;;;;;;;;;;
1115;Total coal and coal products;37 Sewerage ;2016;;;;;;;;;;;
1116;Total coal and coal products;38 Waste collection and treatment;2011;;;;;;;;;;;
1117;Total coal and coal products;38 Waste collection and treatment;2012;;;;;;;;;;;
1118;Total coal and coal products;38 Waste collection and treatment;2013;;;;;;;;;;;
1119;Total coal and coal products;38 Waste collection and treatment;2014;;;;;;;;;;;
1120;Total coal and coal products;38 Waste collection and treatment;2015;;;;;;;;;;;
1121;Total coal and coal products;38 Waste collection and treatment;2016;;;;;;;;;;;
1122;Total coal and coal products;39 Remediation, other waste management ;2011;;;;;;;;;;;
1123;Total coal and coal products;39 Remediation, other waste management ;2012;;;;;;;;;;;
1124;Total coal and coal products;39 Remediation, other waste management ;2013;;;;;;;;;;;
1125;Total coal and coal products;39 Remediation, other waste management ;2014;;;;;;;;;;;
1126;Total coal and coal products;39 Remediation, other waste management ;2015;;;;;;;;;;;
1127;Total coal and coal products;39 Remediation, other waste management ;2016;;;;;;;;;;;
1128;Total coal and coal products;F Construction;2011;;;;;;;;;;;
1129;Total coal and coal products;F Construction;2012;0.0;0.0;;;;;0.0;;0.0;;0.0
1130;Total coal and coal products;F Construction;2013;0.0;0.0;;;;;0.0;;0.0;;0.0
1131;Total coal and coal products;F Construction;2014;0.1;0.1;;;;;0.1;;0.1;;0.0
1132;Total coal and coal products;F Construction;2015;0.1;0.1;;;;;0.1;;0.1;;0.0
1133;Total coal and coal products;F Construction;2016;0.1;0.1;;;;;0.1;;0.1;;0.0
1134;Total coal and coal products;G-U Services;2011;0.2;0.2;;;;;0.2;;317.5;318.4;1.1
1135;Total coal and coal products;G-U Services;2012;0.2;0.2;;;;;0.2;;404.6;459.2;54.8
1136;Total coal and coal products;G-U Services;2013;0.1;0.1;;;;;0.1;;718.0;677.0;-41.0
1137;Total coal and coal products;G-U Services;2014;0.0;0.0;;;;;0.0;;885.6;860.6;-25.0
1138;Total coal and coal products;G-U Services;2015;0.0;0.0;;;;;0.0;;1071.0;1078.4;7.4
1139;Total coal and coal products;G-U Services;2016;0.1;0.1;;;;;0.1;;1005.9;1042.8;37.0
1140;Total coal and coal products;G Wholesale and retail trade;2011;;;;;;;;;317.3;318.4;1.1
1141;Total coal and coal products;G Wholesale and retail trade;2012;;;;;;;;;404.5;459.2;54.8
1142;Total coal and coal products;G Wholesale and retail trade;2013;;;;;;;;;717.9;677.0;-41.0
1143;Total coal and coal products;G Wholesale and retail trade;2014;;;;;;;;;885.5;860.6;-25.0
1144;Total coal and coal products;G Wholesale and retail trade;2015;;;;;;;;;1071.0;1078.4;7.4
1145;Total coal and coal products;G Wholesale and retail trade;2016;;;;;;;;;1005.8;1042.8;37.0
1146;Total coal and coal products;H Transportation and storage;2011;;;;;;;;;;;
1147;Total coal and coal products;H Transportation and storage;2012;;;;;;;;;;;
1148;Total coal and coal products;H Transportation and storage;2013;;;;;;;;;;;
1149;Total coal and coal products;H Transportation and storage;2014;;;;;;;;;;;
1150;Total coal and coal products;H Transportation and storage;2015;;;;;;;;;;;
1151;Total coal and coal products;H Transportation and storage;2016;;;;;;;;;;;
1152;Total coal and coal products;I Accommodation and food serving;2011;;;;;;;;;;;
1153;Total coal and coal products;I Accommodation and food serving;2012;;;;;;;;;;;
1154;Total coal and coal products;I Accommodation and food serving;2013;;;;;;;;;;;
1155;Total coal and coal products;I Accommodation and food serving;2014;;;;;;;;;;;
1156;Total coal and coal products;I Accommodation and food serving;2015;;;;;;;;;;;
1157;Total coal and coal products;I Accommodation and food serving;2016;;;;;;;;;;;
1158;Total coal and coal products;J Information and communication;2011;;;;;;;;;;;
1159;Total coal and coal products;J Information and communication;2012;;;;;;;;;;;
1160;Total coal and coal products;J Information and communication;2013;;;;;;;;;;;
1161;Total coal and coal products;J Information and communication;2014;;;;;;;;;;;
1162;Total coal and coal products;J Information and communication;2015;;;;;;;;;;;
1163;Total coal and coal products;J Information and communication;2016;;;;;;;;;;;
1164;Total coal and coal products;K Financial institutions;2011;;;;;;;;;;;
1165;Total coal and coal products;K Financial institutions;2012;;;;;;;;;;;
1166;Total coal and coal products;K Financial institutions;2013;;;;;;;;;;;
1167;Total coal and coal products;K Financial institutions;2014;;;;;;;;;;;
1168;Total coal and coal products;K Financial institutions;2015;;;;;;;;;;;
1169;Total coal and coal products;K Financial institutions;2016;;;;;;;;;;;
1170;Total coal and coal products;L Renting, buying, selling real estate;2011;;;;;;;;;;;
1171;Total coal and coal products;L Renting, buying, selling real estate;2012;;;;;;;;;;;
1172;Total coal and coal products;L Renting, buying, selling real estate;2013;;;;;;;;;;;
1173;Total coal and coal products;L Renting, buying, selling real estate;2014;;;;;;;;;;;
1174;Total coal and coal products;L Renting, buying, selling real estate;2015;;;;;;;;;;;
1175;Total coal and coal products;L Renting, buying, selling real estate;2016;;;;;;;;;;;
1176;Total coal and coal products;M Other specialised business services;2011;;;;;;;;;;;
1177;Total coal and coal products;M Other specialised business services;2012;;;;;;;;;;;
1178;Total coal and coal products;M Other specialised business services;2013;;;;;;;;;;;
1179;Total coal and coal products;M Other specialised business services;2014;;;;;;;;;;;
1180;Total coal and coal products;M Other specialised business services;2015;;;;;;;;;;;
1181;Total coal and coal products;M Other specialised business services;2016;;;;;;;;;;;
1182;Total coal and coal products;N Renting and other business support;2011;;;;;;;;;;;
1183;Total coal and coal products;N Renting and other business support;2012;;;;;;;;;;;
1184;Total coal and coal products;N Renting and other business support;2013;;;;;;;;;;;
1185;Total coal and coal products;N Renting and other business support;2014;;;;;;;;;;;
1186;Total coal and coal products;N Renting and other business support;2015;;;;;;;;;;;
1187;Total coal and coal products;N Renting and other business support;2016;;;;;;;;;;;
1188;Total coal and coal products;O Public administration and services;2011;;;;;;;;;;;
1189;Total coal and coal products;O Public administration and services;2012;;;;;;;;;;;
1190;Total coal and coal products;O Public administration and services;2013;;;;;;;;;;;
1191;Total coal and coal products;O Public administration and services;2014;;;;;;;;;;;
1192;Total coal and coal products;O Public administration and services;2015;;;;;;;;;;;
1193;Total coal and coal products;O Public administration and services;2016;;;;;;;;;;;
1194;Total coal and coal products;P Education;2011;;;;;;;;;;;
1195;Total coal and coal products;P Education;2012;;;;;;;;;;;
1196;Total coal and coal products;P Education;2013;;;;;;;;;;;
1197;Total coal and coal products;P Education;2014;;;;;;;;;;;
1198;Total coal and coal products;P Education;2015;;;;;;;;;;;
1199;Total coal and coal products;P Education;2016;;;;;;;;;;;
1200;Total coal and coal products;Q Health and social work activities;2011;;;;;;;;;;;
1201;Total coal and coal products;Q Health and social work activities;2012;;;;;;;;;;;
1202;Total coal and coal products;Q Health and social work activities;2013;;;;;;;;;;;
1203;Total coal and coal products;Q Health and social work activities;2014;;;;;;;;;;;
1204;Total coal and coal products;Q Health and social work activities;2015;;;;;;;;;;;
