ID;KenmerkenOverledeneOverlijden;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
293;Geen overleg: wilsbekw. onbekend;2001;;;;;728.0;147.0;296.0;11.0;263.0;11.0;;;11.0
294;Wilsbekwaam tijdens verzoek;1990;;;;;3315.0;472.0;868.0;437.0;761.0;777.0;695.0;82.0;
295;Wilsbekwaam tijdens verzoek;1995;;;;;3842.0;403.0;899.0;444.0;1041.0;1056.0;976.0;80.0;
296;Wilsbekwaam tijdens verzoek;2001;;;;;4159.0;444.0;1207.0;223.0;1079.0;1207.0;1116.0;91.0;
297;Niet volledig wilsbekw. tijdens verzoek;1990;;;;;;;;;;;;;
298;Niet volledig wilsbekw. tijdens verzoek;1995;;;;;224.0;29.0;60.0;5.0;115.0;15.0;15.0;0.0;
299;Niet volledig wilsbekw. tijdens verzoek;2001;;;;;170.0;46.0;71.0;0.0;46.0;7.0;7.0;0.0;
300;Helemaal niet wilsbekw. tijdens verzoek;1990;;;;;71.0;0.0;6.0;13.0;47.0;5.0;5.0;0.0;
301;Helemaal niet wilsbekw. tijdens verzoek;1995;;;;;25.0;5.0;0.0;0.0;20.0;0.0;0.0;0.0;
302;Helemaal niet wilsbekw. tijdens verzoek;2001;;;;;9.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;
303;Wilsbekwaamheid tijdens verzoek onbekend;1990;;;;;45.0;6.0;17.0;5.0;16.0;0.0;0.0;0.0;
304;Wilsbekwaamheid tijdens verzoek onbekend;1995;;;;;42.0;0.0;25.0;0.0;10.0;7.0;7.0;0.0;
305;Wilsbekwaamheid tijdens verzoek onbekend;2001;;;;;70.0;18.0;11.0;0.0;38.0;3.0;0.0;3.0;
306;Overleg met partner / familie;1990;;;;;;;;;;;;;
307;Overleg met partner / familie;1995;;;;;;;;;;;;;
308;Overleg met partner / familie;2001;;;;;7268.0;1306.0;2531.0;191.0;3024.0;216.0;;;216.0
309;Geen overleg met partner / familie;1990;;;;;;;;;;;;;
310;Geen overleg met partner / familie;1995;;;;;;;;;;;;;
311;Geen overleg met partner / familie;2001;;;;;1702.0;315.0;1155.0;46.0;186.0;0.0;;;0.0
312;Overleg partner / familie onbekend;1990;;;;;;;;;;;;;
313;Overleg partner / familie onbekend;1995;;;;;;;;;;;;;
314;Overleg partner / familie onbekend;2001;;;;;155.0;45.0;109.0;0.0;1.0;0.0;;;0.0
