ID;Persoonskenmerken;Marges;Perioden;TotaalOnlineAankopenVoorPrive_1;MinderDan3MaandenGeleden_2;k_3Tot12MaandenGeleden_3;MeerDan12MaandenGeleden_4;NogNooit_5;KledingSchoenenAccessoires_6;Sportartikelen_7;SpeelgoedBabyspullen_8;CosmeticaParfumSchoonheidsproducten_9;SchoonmaakmiddelenVerzorgingsartikelen_10;MeubelsWoonaccessoiresTuinartikelen_11;VoertuigenOfOnderdelen_12;EtenswarenDrank_13;MaaltijdenBesteld_14;MedicijnenVitaminepillen_15;GedrukteBoekenTijdschriftenKranten_16;ComputersTabletsMobieleTelefoon_17;ElektronicaHuishoudelijkeApparatuur_18;AndereGoederen_19;MuziekViaStreamingsdienstOfDownload_20;FilmsSeriesViaStreamingsdienst_21;EBooksOnlineTijdschriftenKranten_22;OnlineSpellenGamesOfDownload_23;ComputersoftwareOfSoftwareUpgrades_24;BetaaldeGezondheidsOfSportapps_25;AndereBetaaldeApps_26;KaartjesSportevenementen_27;KaartjesBioscoopCultureleEvenement_28;AbonnementVoorInternetOfTelefoon_29
89;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2024;99.2;95.8;4.9;2.1;2.8;80.3;48.3;39.9;46.2;41.4;39.8;19.6;38.5;59.7;30.3;29.0;30.7;31.7;34.4;59.1;72.3;;27.9;28.2;12.9;24.9;;;66.3
90;Leeftijd: 45 tot 55 jaar;Waarde;2020;93.3;81.6;9.2;2.4;3.4;57.7;29.7;9.2;24.8;16.2;30.4;12.0;19.4;38.4;16.8;23.8;26.4;22.5;32.9;38.1;50.0;22.1;15.0;19.2;4.3;10.4;10.7;37.1;32.5
91;Leeftijd: 45 tot 55 jaar;Waarde;2021;93.4;86.8;4.9;1.7;2.6;72.3;37.1;11.9;35.4;26.2;38.2;13.3;29.1;53.5;23.3;32.3;28.9;30.1;37.6;44.6;58.2;25.1;16.6;18.5;7.7;10.7;2.9;10.0;38.5
92;Leeftijd: 45 tot 55 jaar;Waarde;2022;94.4;83.9;8.1;2.5;2.4;63.3;35.3;10.2;33.2;22.5;32.4;12.7;29.3;47.3;23.3;27.6;27.7;25.0;30.3;44.2;57.6;25.6;16.6;20.3;6.4;11.2;11.0;42.7;41.1
93;Leeftijd: 45 tot 55 jaar;Waarde;2023;97.2;88.4;6.6;2.2;2.2;69.3;34.5;10.1;33.7;25.5;31.5;12.4;28.7;47.4;22.1;24.1;27.7;22.8;35.0;45.0;59.5;25.8;15.5;18.6;6.8;15.0;12.8;51.2;48.7
94;Leeftijd: 45 tot 55 jaar;Waarde;2024;97.4;89.7;5.6;2.1;2.4;69.2;39.5;12.5;37.3;27.7;31.5;12.1;29.1;47.1;24.9;26.8;25.8;22.7;31.2;49.2;64.1;;15.7;20.0;9.6;18.2;;;57.7
95;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2020;91.6;79.2;7.4;1.5;2.2;54.8;27.0;7.5;22.3;14.1;27.7;10.1;17.1;35.5;14.6;21.3;23.8;20.1;30.2;35.2;47.1;19.8;13.0;16.9;3.1;8.7;9.0;34.3;29.7
96;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2021;91.5;84.3;3.4;0.8;1.4;69.2;34.0;9.8;32.4;23.4;35.1;11.2;26.3;50.3;20.6;29.3;26.0;27.2;34.5;41.4;55.0;22.4;14.2;16.0;6.0;8.7;1.8;8.2;35.3
97;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2022;92.8;81.4;6.3;1.4;1.4;60.1;32.2;8.2;30.1;19.8;29.4;10.6;26.3;44.1;20.5;24.7;24.8;22.1;27.4;41.0;54.3;22.8;14.2;17.7;4.8;9.2;9.0;39.5;37.9
98;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2023;96.0;86.1;4.9;1.1;1.1;66.2;31.4;8.1;30.6;22.7;28.4;10.3;25.8;44.2;19.4;21.4;24.8;20.0;31.9;41.7;56.2;23.0;13.2;16.1;5.2;12.7;10.6;47.9;45.5
99;Leeftijd: 45 tot 55 jaar;Ondergrens 95%-interval;2024;95.9;87.2;4.1;1.3;1.5;66.0;36.3;10.4;34.2;24.8;28.5;10.1;26.2;43.8;22.2;24.0;23.1;20.1;28.2;45.8;60.7;;13.5;17.5;7.8;15.8;;;54.3
100;Leeftijd: 45 tot 55 jaar;Bovengrens 95%-interval;2020;94.9;84.1;11.0;3.4;4.5;60.7;32.3;10.8;27.3;18.3;33.1;13.9;21.7;41.2;18.9;26.3;29.0;24.9;35.7;40.9;53.0;24.5;17.1;21.4;5.5;12.1;12.5;39.9;35.2
101;Leeftijd: 45 tot 55 jaar;Bovengrens 95%-interval;2021;95.3;89.2;6.4;2.7;3.9;75.3;40.2;14.0;38.5;29.0;41.3;15.4;32.0;56.8;26.0;35.3;31.8;33.0;40.7;47.8;61.4;27.9;19.0;21.0;9.4;12.7;3.9;11.9;41.6
102;Leeftijd: 45 tot 55 jaar;Bovengrens 95%-interval;2022;96.1;86.4;9.9;3.5;3.5;66.5;38.4;12.3;36.2;25.3;35.5;14.9;32.2;50.6;26.1;30.4;30.5;27.8;33.3;47.4;60.8;28.4;19.1;22.9;8.0;13.2;12.9;45.9;44.3
103;Leeftijd: 45 tot 55 jaar;Bovengrens 95%-interval;2023;98.4;90.6;8.3;3.2;3.3;72.3;37.7;12.1;36.8;28.4;34.5;14.6;31.6;50.7;24.8;26.9;30.6;25.5;38.1;48.2;62.7;28.6;17.9;21.1;8.4;17.4;14.9;54.5;52.0
104;Leeftijd: 45 tot 55 jaar;Bovengrens 95%-interval;2024;98.4;91.7;7.6;3.5;3.9;72.2;42.8;14.9;40.6;30.7;34.6;14.4;32.1;50.4;27.9;29.8;28.8;25.6;34.3;52.5;67.3;;18.3;22.8;11.8;20.8;;;60.9
105;Leeftijd: 55 tot 65 jaar;Waarde;2020;86.4;69.5;11.9;4.9;8.0;37.6;13.0;7.6;17.4;11.5;20.5;7.4;13.8;22.6;13.8;21.1;15.9;16.9;27.1;21.8;30.1;18.4;5.8;12.2;1.5;5.2;5.1;26.9;25.2
106;Leeftijd: 55 tot 65 jaar;Waarde;2021;90.3;79.8;8.3;2.3;5.0;55.2;19.8;10.7;26.6;17.6;30.1;11.6;22.3;35.3;20.1;27.2;20.7;20.2;32.0;26.0;36.8;24.4;5.9;13.3;3.9;5.4;1.0;6.9;27.7
107;Leeftijd: 55 tot 65 jaar;Waarde;2022;91.6;75.9;11.7;4.0;5.5;49.3;19.9;8.8;23.2;16.6;23.7;9.6;20.0;33.3;20.2;24.0;19.7;17.9;28.0;29.4;40.9;23.3;7.9;15.1;3.7;7.3;5.7;29.4;35.6
108;Leeftijd: 55 tot 65 jaar;Waarde;2023;93.6;79.0;10.9;3.7;5.7;51.5;18.2;9.1;26.2;17.8;21.7;7.3;16.3;30.1;19.2;22.4;18.7;16.5;28.9;31.1;42.0;26.2;7.5;15.3;3.6;9.4;7.2;38.4;38.8
109;Leeftijd: 55 tot 65 jaar;Waarde;2024;94.0;81.0;9.8;3.2;5.6;54.6;20.7;8.8;25.9;19.7;23.1;9.5;16.2;29.0;19.8;21.8;18.0;16.2;25.5;32.5;48.4;;4.3;15.8;4.3;11.8;;;43.3
110;Leeftijd: 55 tot 65 jaar;Ondergrens 95%-interval;2020;84.3;66.8;10.0;3.7;6.4;34.9;11.2;6.2;15.3;9.8;18.3;6.0;11.9;20.3;11.9;18.9;13.9;14.8;24.7;19.5;27.6;16.3;4.5;10.4;0.8;4.0;3.9;24.5;22.8
111;Leeftijd: 55 tot 65 jaar;Ondergrens 95%-interval;2021;88.4;77.2;6.5;1.3;3.6;52.1;17.4;8.9;24.0;15.3;27.3;9.7;19.8;32.4;17.7;24.5;18.2;17.8;29.1;23.4;33.9;21.8;4.5;11.3;2.7;4.0;0.4;5.4;25.0
112;Leeftijd: 55 tot 65 jaar;Ondergrens 95%-interval;2022;89.9;73.3;9.8;2.8;4.1;46.4;17.6;7.2;20.8;14.5;21.2;7.9;17.7;30.6;17.9;21.5;17.4;15.7;25.4;26.8;38.0;20.9;6.3;13.1;2.7;5.8;4.4;26.8;32.8
113;Leeftijd: 55 tot 65 jaar;Ondergrens 95%-interval;2023;92.0;76.5;9.1;2.5;4.2;48.6;16.0;7.5;23.6;15.6;19.4;5.8;14.2;27.4;16.9;20.1;16.4;14.3;26.3;28.5;39.2;23.7;5.9;13.2;2.6;7.7;5.7;35.5;36.0
114;Leeftijd: 55 tot 65 jaar;Ondergrens 95%-interval;2024;92.3;78.5;8.1;2.3;4.3;51.7;18.5;7.4;23.5;17.5;20.8;8.0;14.2;26.5;17.6;19.5;16.0;14.2;23.1;29.9;45.5;;3.3;13.9;3.3;10.1;;;40.5
115;Leeftijd: 55 tot 65 jaar;Bovengrens 95%-interval;2020;88.5;72.2;13.8;6.2;9.6;40.3;14.9;9.1;19.4;13.2;22.7;8.8;15.6;24.8;15.7;23.3;18.0;19.0;29.6;24.0;32.7;20.5;7.1;14.0;2.2;6.4;6.3;29.4;27.6
116;Leeftijd: 55 tot 65 jaar;Bovengrens 95%-interval;2021;92.2;82.3;10.0;3.2;6.4;58.2;22.2;12.6;29.3;19.9;32.9;13.5;24.8;38.2;22.6;29.9;23.1;22.7;34.8;28.7;39.7;27.0;7.3;15.3;5.0;6.8;1.6;8.4;30.4
117;Leeftijd: 55 tot 65 jaar;Bovengrens 95%-interval;2022;93.3;78.5;13.7;5.1;6.9;52.3;22.2;10.4;25.7;18.8;26.2;11.3;22.3;36.1;22.5;26.4;22.0;20.1;30.6;32.0;43.7;25.7;9.5;17.1;4.8;8.8;7.0;32.0;38.4
118;Leeftijd: 55 tot 65 jaar;Bovengrens 95%-interval;2023;95.1;81.4;12.7;4.8;7.2;54.4;20.5;10.7;28.7;20.0;24.1;8.8;18.5;32.7;21.5;24.8;21.0;18.6;31.6;33.8;44.9;28.7;9.0;17.4;4.7;11.1;8.7;41.2;41.7
119;Leeftijd: 55 tot 65 jaar;Bovengrens 95%-interval;2024;95.3;83.3;11.8;4.4;7.3;57.5;23.1;10.6;28.5;22.1;25.6;11.3;18.4;31.7;22.2;24.2;20.3;18.4;28.1;35.2;51.4;;5.7;18.0;5.6;13.8;;;46.2
120;Leeftijd: 65 tot 75 jaar;Waarde;2020;78.2;58.9;12.1;7.2;14.4;29.2;7.1;7.5;11.0;10.2;13.4;4.3;9.0;10.8;14.1;17.9;12.9;10.2;19.1;9.7;13.3;16.1;4.0;9.4;;4.4;1.4;19.3;20.7
121;Leeftijd: 65 tot 75 jaar;Waarde;2021;80.8;68.3;8.2;4.3;10.7;39.6;12.2;8.8;15.5;11.2;18.6;6.3;12.9;21.6;15.3;20.2;14.0;14.4;24.2;10.3;18.2;16.8;3.7;9.4;1.2;2.7;;4.2;21.8
122;Leeftijd: 65 tot 75 jaar;Waarde;2022;79.5;60.7;12.9;5.9;11.7;33.0;8.8;8.3;13.5;8.7;15.0;5.0;12.8;14.1;12.1;14.0;10.4;12.0;17.9;12.4;18.5;17.9;1.9;9.7;0.9;3.3;2.5;15.6;26.6
123;Leeftijd: 65 tot 75 jaar;Waarde;2023;83.9;64.1;12.1;7.6;13.1;35.6;8.9;6.9;14.3;10.7;14.9;4.8;10.0;14.5;14.4;16.3;9.3;11.2;22.2;15.9;24.1;18.5;3.9;10.1;1.5;3.8;3.2;27.3;28.8
124;Leeftijd: 65 tot 75 jaar;Waarde;2024;90.2;73.2;11.1;5.9;8.0;38.6;9.9;8.3;16.3;12.0;16.4;5.4;11.9;16.7;18.0;18.5;10.6;13.5;19.3;18.2;27.5;;2.8;13.0;1.8;5.7;;;37.6
125;Leeftijd: 65 tot 75 jaar;Ondergrens 95%-interval;2020;75.2;55.3;9.8;5.3;11.7;26.0;5.3;5.7;8.7;8.1;11.0;2.9;7.0;8.6;11.7;15.2;10.5;8.1;16.4;7.7;10.9;13.6;2.6;7.4;;2.9;0.6;16.6;17.9
126;Leeftijd: 65 tot 75 jaar;Ondergrens 95%-interval;2021;77.8;64.8;6.1;2.7;8.4;36.0;9.8;6.7;12.8;8.9;15.8;4.5;10.5;18.6;12.6;17.2;11.5;11.8;21.0;8.1;15.3;14.0;2.3;7.3;0.4;1.5;;2.8;18.7
127;Leeftijd: 65 tot 75 jaar;Ondergrens 95%-interval;2022;76.6;57.3;10.5;4.2;9.5;29.7;6.9;6.4;11.2;6.7;12.5;3.5;10.4;11.7;9.9;11.6;8.3;9.7;15.3;10.1;15.8;15.3;1.0;7.6;0.3;2.0;1.4;13.1;23.5
128;Leeftijd: 65 tot 75 jaar;Ondergrens 95%-interval;2023;81.2;60.7;9.9;5.6;10.6;32.3;6.9;5.1;11.9;8.6;12.5;3.4;7.9;12.1;12.0;13.8;7.3;9.0;19.3;13.4;21.2;15.9;2.6;8.0;0.7;2.5;2.0;24.3;25.7
129;Leeftijd: 65 tot 75 jaar;Ondergrens 95%-interval;2024;87.6;69.7;9.0;4.4;6.1;35.1;8.0;6.5;13.8;9.9;14.0;4.0;9.8;14.2;15.3;15.9;8.6;11.2;16.6;15.6;24.5;;1.9;10.8;1.1;4.4;;;34.2
130;Leeftijd: 65 tot 75 jaar;Bovengrens 95%-interval;2020;81.3;62.4;14.5;9.1;17.0;32.4;8.9;9.3;13.2;12.3;15.7;5.7;10.9;12.9;16.6;20.5;15.3;12.3;21.9;11.7;15.7;18.7;5.4;11.4;;5.9;2.2;22.1;23.6
131;Leeftijd: 65 tot 75 jaar;Bovengrens 95%-interval;2021;83.8;71.8;10.2;5.8;13.0;43.2;14.6;10.8;18.2;13.5;21.5;8.1;15.4;24.6;17.9;23.1;16.6;17.1;27.3;12.6;21.0;19.5;5.0;11.5;1.9;3.8;;5.7;24.8
132;Leeftijd: 65 tot 75 jaar;Bovengrens 95%-interval;2022;82.3;64.1;15.2;7.6;14.0;36.2;10.8;10.2;15.9;10.6;17.4;6.5;15.1;16.5;14.4;16.4;12.5;14.3;20.6;14.6;21.2;20.5;2.8;11.7;1.5;4.5;3.6;18.2;29.7
133;Leeftijd: 65 tot 75 jaar;Bovengrens 95%-interval;2023;86.6;67.6;14.4;9.6;15.6;39.0;10.9;8.6;16.7;12.8;17.3;6.3;12.1;17.0;16.8;18.9;11.2;13.4;25.0;18.4;27.1;21.1;5.2;12.1;2.3;5.0;4.4;30.4;32.0
134;Leeftijd: 65 tot 75 jaar;Bovengrens 95%-interval;2024;92.3;76.4;13.6;8.0;10.4;42.2;12.1;10.5;19.2;14.6;19.2;7.2;14.5;19.6;21.0;21.5;13.0;16.1;22.4;21.0;30.8;;4.2;15.5;3.0;7.5;;;41.2
135;Leeftijd: 75 jaar of ouder;Waarde;2020;44.5;24.8;10.3;9.4;23.4;10.1;0.6;1.5;5.7;4.1;4.6;0.8;4.5;3.3;6.0;6.5;4.4;4.8;7.0;3.5;4.8;5.5;2.4;4.1;;0.7;0.9;5.2;9.4
136;Leeftijd: 75 jaar of ouder;Waarde;2021;51.8;35.4;10.3;6.2;18.4;17.6;2.3;2.2;9.3;5.2;8.4;2.1;5.8;7.8;8.3;10.4;5.9;7.5;12.0;3.5;7.0;7.2;1.6;3.9;0.7;1.4;;1.8;12.5
137;Leeftijd: 75 jaar of ouder;Waarde;2022;52.9;33.7;12.5;6.8;21.0;15.3;2.3;2.0;7.3;5.4;5.7;2.4;6.0;7.4;10.0;8.4;6.4;4.9;9.1;4.2;5.9;6.5;1.3;4.7;1.0;2.9;;7.1;12.2
138;Leeftijd: 75 jaar of ouder;Waarde;2023;56.6;36.2;11.9;8.5;22.8;19.4;2.2;2.5;8.9;5.9;7.4;2.8;5.8;6.3;8.4;9.2;4.9;6.2;9.1;5.2;6.4;7.4;0.9;4.5;0.5;1.8;1.0;11.2;18.4
139;Leeftijd: 75 jaar of ouder;Waarde;2024;65.8;41.0;15.3;9.4;21.6;19.4;2.5;3.0;9.1;7.7;6.9;0.8;5.0;5.4;9.4;7.9;4.2;6.5;7.3;4.5;10.2;;0.3;5.7;0.4;1.8;;;20.6
140;Leeftijd: 75 jaar of ouder;Ondergrens 95%-interval;2020;40.3;21.2;7.8;7.0;19.8;7.5;0.1;0.5;3.9;2.5;3.0;0.1;2.9;1.6;4.1;4.5;2.7;3.1;4.8;2.1;2.9;3.7;1.3;2.6;;0.1;0.2;3.5;6.9
141;Leeftijd: 75 jaar of ouder;Ondergrens 95%-interval;2021;47.3;31.1;7.6;4.0;14.8;14.3;1.1;0.8;6.8;3.3;6.0;0.9;3.9;5.5;6.0;7.9;3.9;5.4;9.3;2.0;4.9;5.0;0.5;2.3;0.1;0.4;;0.7;9.7
142;Leeftijd: 75 jaar of ouder;Ondergrens 95%-interval;2022;48.6;29.7;9.6;4.6;17.5;12.3;1.1;0.7;5.1;3.4;3.7;0.9;4.1;5.2;7.4;6.1;4.3;3.1;6.7;2.5;4.0;4.4;0.3;2.9;0.2;1.4;;5.0;9.5
143;Leeftijd: 75 jaar of ouder;Ondergrens 95%-interval;2023;52.7;32.5;9.4;6.3;19.5;16.5;1.1;1.3;6.8;4.1;5.5;1.5;4.2;4.4;6.4;7.2;3.3;4.3;7.1;3.5;4.6;5.5;0.3;3.0;0.0;0.8;0.3;9.0;15.5
144;Leeftijd: 75 jaar of ouder;Ondergrens 95%-interval;2024;61.6;37.0;12.4;7.3;18.4;16.4;1.5;1.9;7.0;5.8;5.1;0.3;3.5;3.8;7.2;6.1;2.9;4.8;5.5;3.2;8.0;;0.1;4.0;0.1;1.0;;;17.4
145;Leeftijd: 75 jaar of ouder;Bovengrens 95%-interval;2020;48.7;28.4;12.7;11.9;27.0;12.6;1.1;2.4;7.5;5.8;6.2;1.4;6.1;4.9;7.9;8.4;6.1;6.6;9.2;5.0;6.7;7.3;3.6;5.6;;1.3;1.6;6.9;11.8
146;Leeftijd: 75 jaar of ouder;Bovengrens 95%-interval;2021;56.4;39.6;13.1;8.3;22.0;20.9;3.6;3.5;11.9;7.1;10.7;3.2;7.7;10.0;10.7;13.0;7.8;9.6;14.8;4.9;9.2;9.4;2.6;5.5;1.4;2.5;;2.9;15.3
147;Leeftijd: 75 jaar of ouder;Bovengrens 95%-interval;2022;57.2;37.7;15.3;8.9;24.6;18.4;3.6;3.2;9.6;7.4;7.6;3.9;7.9;9.6;12.5;10.7;8.5;6.8;11.4;5.9;7.9;8.6;2.4;6.5;1.8;4.5;;9.2;14.8
148;Leeftijd: 75 jaar of ouder;Bovengrens 95%-interval;2023;60.4;39.8;14.4;10.6;26.1;22.4;3.2;3.7;11.1;7.7;9.3;4.2;7.5;8.1;10.4;11.3;6.5;8.0;11.2;6.9;8.2;9.2;1.5;6.1;1.0;2.8;1.7;13.5;21.2
149;Leeftijd: 75 jaar of ouder;Bovengrens 95%-interval;2024;69.7;45.1;18.8;12.2;25.2;22.9;4.0;4.7;11.8;10.2;9.3;1.8;7.2;7.6;12.3;10.3;6.2;8.7;9.6;6.4;12.9;;1.1;8.2;1.4;3.3;;;24.1
150;Onderwijsniveau: 1 Laag;Waarde;2020;70.9;53.4;12.0;5.5;14.5;35.3;14.1;7.0;13.5;7.5;13.2;6.0;9.1;20.4;8.4;9.9;15.1;9.5;15.9;18.5;24.2;6.6;15.3;7.7;2.3;3.7;3.1;16.9;18.4
151;Onderwijsniveau: 1 Laag;Waarde;2021;73.8;59.1;11.1;3.6;11.5;43.1;16.2;8.9;18.8;12.1;16.1;7.5;13.6;28.9;9.7;10.1;16.9;13.2;20.1;19.3;26.1;7.8;13.1;8.4;2.8;4.2;1.2;4.1;21.7
152;Onderwijsniveau: 1 Laag;Waarde;2022;73.0;55.6;12.8;4.5;14.5;39.6;16.2;7.3;18.4;10.5;12.1;7.1;12.7;25.8;11.5;8.5;15.0;10.7;15.2;18.7;25.8;7.4;12.5;7.5;2.4;5.0;5.1;18.1;22.9
153;Onderwijsniveau: 1 Laag;Waarde;2023;80.2;63.0;11.6;5.6;13.4;44.4;17.9;8.2;21.0;11.5;14.0;7.6;13.0;27.8;10.7;8.9;14.5;10.4;19.9;22.3;29.0;8.0;13.6;8.7;3.0;6.5;6.6;26.3;28.1
154;Onderwijsniveau: 1 Laag;Waarde;2024;82.6;64.1;13.6;4.9;13.5;46.9;17.7;8.3;22.7;13.9;13.6;7.7;14.1;25.9;12.7;10.3;14.3;10.7;14.5;19.8;28.5;;13.3;9.4;3.8;7.3;;;29.6
155;Onderwijsniveau: 1 Laag;Ondergrens 95%-interval;2020;68.7;51.0;10.4;4.4;12.8;33.0;12.4;5.8;11.9;6.2;11.5;4.9;7.7;18.5;7.0;8.4;13.3;8.0;14.1;16.7;22.1;5.5;13.5;6.4;1.6;2.8;2.3;15.1;16.5
156;Onderwijsniveau: 1 Laag;Ondergrens 95%-interval;2021;71.6;56.7;9.5;2.7;9.9;40.8;14.5;7.5;16.9;10.6;14.4;6.2;12.0;26.8;8.2;8.7;15.2;11.5;18.2;17.5;24.0;6.6;11.5;7.1;2.0;3.2;0.7;3.1;19.8
157;Onderwijsniveau: 1 Laag;Ondergrens 95%-interval;2022;70.8;53.2;11.3;3.5;12.8;37.3;14.5;6.1;16.5;9.0;10.5;5.9;11.1;23.7;10.0;7.2;13.3;9.3;13.5;16.9;23.8;6.2;10.9;6.3;1.6;3.9;4.1;16.3;20.9
158;Onderwijsniveau: 1 Laag;Ondergrens 95%-interval;2023;78.2;60.7;10.0;4.4;11.7;42.1;16.1;6.8;19.0;9.9;12.3;6.3;11.4;25.6;9.2;7.5;12.8;8.9;18.0;20.3;26.9;6.7;11.9;7.3;2.2;5.2;5.4;24.2;25.9
159;Onderwijsniveau: 1 Laag;Ondergrens 95%-interval;2024;80.6;61.7;12.0;3.9;11.9;44.4;15.9;7.0;20.7;12.3;12.0;6.5;12.5;23.8;11.2;8.9;12.7;9.2;12.9;18.0;26.3;;11.7;8.0;2.9;6.1;;;27.4
160;Onderwijsniveau: 1 Laag;Bovengrens 95%-interval;2020;73.2;55.9;13.5;6.7;16.2;37.6;15.8;8.3;15.2;8.8;14.8;7.2;10.5;22.4;9.7;11.3;16.8;10.9;17.7;20.4;26.3;7.8;17.1;9.0;3.1;4.7;3.9;18.7;20.3
161;Onderwijsniveau: 1 Laag;Bovengrens 95%-interval;2021;76.0;61.5;12.6;4.5;13.1;45.5;18.0;10.3;20.7;13.7;17.9;8.8;15.2;31.1;11.1;11.5;18.7;14.8;22.0;21.1;28.2;9.1;14.7;9.7;3.6;5.2;1.8;5.0;23.7
162;Onderwijsniveau: 1 Laag;Bovengrens 95%-interval;2022;75.1;58.0;14.4;5.5;16.2;41.9;18.0;8.5;20.2;12.0;13.6;8.4;14.3;27.8;13.0;9.8;16.7;12.2;16.9;20.6;27.9;8.6;14.1;8.8;3.2;6.1;6.1;19.9;24.9
163;Onderwijsniveau: 1 Laag;Bovengrens 95%-interval;2023;82.1;65.4;13.1;6.7;15.1;46.8;19.8;9.6;23.0;13.0;15.6;9.0;14.7;29.9;12.2;10.2;16.2;11.8;21.8;24.3;31.2;9.3;15.2;10.0;3.9;7.7;7.8;28.4;30.2
164;Onderwijsniveau: 1 Laag;Bovengrens 95%-interval;2024;84.4;66.4;15.4;6.1;15.3;49.3;19.6;9.8;24.8;15.8;15.4;9.1;15.9;28.1;14.5;11.9;16.1;12.3;16.3;21.8;30.7;;15.1;11.0;5.0;8.8;;;31.9
165;Onderwijsniveau: 2 Middelbaar;Waarde;2020;89.6;75.1;10.4;4.1;5.8;50.7;22.7;12.3;22.6;13.5;23.2;9.4;15.7;37.5;13.9;19.7;21.7;17.4;27.8;33.4;43.7;14.9;17.6;15.4;3.2;7.9;6.8;29.2;31.7
166;Onderwijsniveau: 2 Middelbaar;Waarde;2021;92.0;83.3;6.8;1.9;3.8;64.7;29.4;17.7;31.7;23.4;31.7;13.1;25.9;50.3;19.7;24.4;25.9;23.2;32.5;37.8;49.9;15.1;17.8;16.1;4.9;9.7;2.7;8.0;38.9
167;Onderwijsniveau: 2 Middelbaar;Waarde;2022;92.5;79.5;9.4;3.6;4.3;57.5;27.3;16.4;28.4;20.7;27.1;11.4;24.6;47.4;19.6;19.3;22.7;19.7;28.9;39.9;51.8;15.6;18.3;15.5;5.5;10.1;8.7;34.5;41.0
168;Onderwijsniveau: 2 Middelbaar;Waarde;2023;94.7;82.3;9.4;3.1;4.5;59.8;27.2;14.9;31.1;23.5;25.1;10.1;22.9;44.7;21.5;20.3;22.7;18.9;31.3;41.6;51.3;16.4;17.7;15.0;5.7;11.7;10.4;42.3;47.2
169;Onderwijsniveau: 2 Middelbaar;Waarde;2024;96.1;85.8;7.5;2.9;3.3;60.7;29.3;15.6;32.5;25.0;24.8;11.5;22.2;43.7;23.3;19.7;21.7;19.2;24.2;41.3;54.4;;17.4;16.5;5.6;13.9;;;53.2
170;Onderwijsniveau: 2 Middelbaar;Ondergrens 95%-interval;2020;88.2;73.2;9.1;3.2;4.8;48.5;20.9;10.9;20.8;12.1;21.4;8.2;14.2;35.4;12.4;18.0;19.9;15.7;25.9;31.4;41.5;13.4;15.9;13.9;2.4;6.7;5.7;27.2;29.7
171;Onderwijsniveau: 2 Middelbaar;Ondergrens 95%-interval;2021;90.7;81.5;5.6;1.3;2.9;62.5;27.3;15.9;29.6;21.4;29.5;11.5;23.9;48.0;17.9;22.4;23.9;21.2;30.4;35.5;47.6;13.5;16.0;14.4;3.9;8.3;2.0;6.8;36.7
172;Onderwijsniveau: 2 Middelbaar;Ondergrens 95%-interval;2022;91.3;77.6;8.1;2.8;3.4;55.2;25.2;14.7;26.3;18.9;25.1;9.9;22.6;45.1;17.8;17.5;20.8;17.9;26.8;37.6;49.5;13.9;16.5;13.8;4.5;8.7;7.4;32.3;38.8
173;Onderwijsniveau: 2 Middelbaar;Ondergrens 95%-interval;2023;93.7;80.5;8.0;2.3;3.5;57.5;25.2;13.2;29.0;21.5;23.1;8.7;21.0;42.4;19.6;18.5;20.8;17.1;29.2;39.4;49.1;14.8;15.9;13.3;4.6;10.3;9.0;40.0;44.9
174;Onderwijsniveau: 2 Middelbaar;Ondergrens 95%-interval;2024;95.1;84.0;6.4;2.2;2.6;58.4;27.3;14.0;30.4;23.1;22.9;10.1;20.4;41.5;21.4;18.0;19.8;17.5;22.3;39.1;52.1;;15.7;14.8;4.6;12.4;;;50.9
175;Onderwijsniveau: 2 Middelbaar;Bovengrens 95%-interval;2020;91.0;77.0;11.8;5.0;6.8;52.9;24.5;13.7;24.4;15.0;25.0;10.7;17.3;39.6;15.4;21.4;23.5;19.0;29.7;35.5;45.8;16.4;19.3;17.0;4.0;9.1;7.8;31.2;33.8
176;Onderwijsniveau: 2 Middelbaar;Bovengrens 95%-interval;2021;93.4;85.1;8.0;2.6;4.8;67.0;31.5;19.5;33.9;25.3;33.8;14.6;27.9;52.6;21.5;26.3;28.0;25.1;34.7;40.0;52.3;16.7;19.5;17.8;5.9;11.1;3.5;9.3;41.2
177;Onderwijsniveau: 2 Middelbaar;Bovengrens 95%-interval;2022;93.8;81.4;10.8;4.5;5.3;59.8;29.3;18.2;30.5;22.5;29.2;12.8;26.6;49.7;21.4;21.0;24.6;21.6;30.9;42.1;54.1;17.2;20.2;17.2;6.6;11.6;10.0;36.6;43.3
178;Onderwijsniveau: 2 Middelbaar;Bovengrens 95%-interval;2023;95.7;84.1;10.7;3.8;5.4;62.0;29.2;16.5;33.2;25.4;27.1;11.5;24.9;46.9;23.4;22.1;24.6;20.7;33.4;43.9;53.6;18.1;19.5;16.6;6.8;13.2;11.8;44.5;49.5
179;Onderwijsniveau: 2 Middelbaar;Bovengrens 95%-interval;2024;97.0;87.4;8.9;3.7;4.3;62.9;31.4;17.4;34.6;27.0;26.8;13.0;24.2;46.0;25.3;21.6;23.6;21.1;26.2;43.6;56.7;;19.3;18.2;6.8;15.5;;;55.5
