ID;InstitutioneleSectoren;Perioden;Totaal_1;Woningen_2;Bedrijfsgebouwen_3;GrondWegEnWaterbouwkundigeWerken_4;OverdrachtskostenOpGrond_5;Totaal_6;PersonenautoS_7;OverigeWegvervoermiddelen_8;TreinenEnTrams_9;Schepen_10;Vliegtuigen_11;Computers_12;Telecommunicatieapparatuur_13;MachinesEnInstallaties_14;OverigeMaterieleVasteActiva_15;InCultuurGebrachteActiva_16;OnderzoekEnOntwikkeling_17;ComputerprogrammatuurEnDatabanken_18;OverigeImmaterieleActiva_19;VerkoopVanGebruikteVasteActiva_20;BrutoInvesteringenInVasteActiva_21;Totaal_22;Woningen_23;Bedrijfsgebouwen_24;GrondWegEnWaterbouwkundigeWerken_25;OverdrachtskostenOpGrond_26;Totaal_27;PersonenautoS_28;OverigeWegvervoermiddelen_29;TreinenEnTrams_30;Schepen_31;Vliegtuigen_32;Computers_33;Telecommunicatieapparatuur_34;MachinesEnInstallaties_35;OverigeMaterieleVasteActiva_36;InCultuurGebrachteActiva_37;OnderzoekEnOntwikkeling_38;ComputerprogrammatuurEnDatabanken_39;OverigeImmaterieleActiva_40;VerkoopVanGebruikteVasteActiva_41;BrutoInvesteringenInVasteActiva_42;Totaal_43;Woningen_44;Bedrijfsgebouwen_45;GrondWegEnWaterbouwkundigeWerken_46;OverdrachtskostenOpGrond_47;Totaal_48;PersonenautoS_49;OverigeWegvervoermiddelen_50;TreinenEnTrams_51;Schepen_52;Vliegtuigen_53;Computers_54;Telecommunicatieapparatuur_55;MachinesEnInstallaties_56;OverigeMaterieleVasteActiva_57;InCultuurGebrachteActiva_58;OnderzoekEnOntwikkeling_59;ComputerprogrammatuurEnDatabanken_60;OverigeImmaterieleActiva_61;VerkoopVanGebruikteVasteActiva_62;BrutoInvesteringenInVasteActiva_63;Totaal_64;Woningen_65;Bedrijfsgebouwen_66;GrondWegEnWaterbouwkundigeWerken_67;OverdrachtskostenOpGrond_68;Totaal_69;PersonenautoS_70;OverigeWegvervoermiddelen_71;TreinenEnTrams_72;Schepen_73;Vliegtuigen_74;Computers_75;Telecommunicatieapparatuur_76;MachinesEnInstallaties_77;OverigeMaterieleVasteActiva_78;InCultuurGebrachteActiva_79;OnderzoekEnOntwikkeling_80;ComputerprogrammatuurEnDatabanken_81;OverigeImmaterieleActiva_82;VerkoopVanGebruikteVasteActiva_83;BrutoInvesteringenInVasteActiva_84
36;Vennootschappen, huishoudens en IZWh's;2003;85376;27939;12410;3074;543;8855;4934;1713;527;536;1145;2978;535;11528;3958;197;5414;7161;784;1507;83869;95642;28852;14784;3639;612;10154;5297;1966;763.0;600.0;1847.0;1607;262;14123;5221;190.0;6635;7727;953.0;2533;93315;-2.3;-3.9;-7.6;-10.1;-34.3;17.5;1.7;4.3;88.1;20.0;254.9;19.3;11.6;-6.9;-1.7;-27.0;-2.6;-0.1;-9.0;15.9;-2.6;89.3;96.8;83.9;84.5;88.7;87.2;93.1;87.1;69.1;89.3;62.0;185.3;203.9;81.6;75.8;103.4;81.6;92.7;82.2;59.5;89.9
37;Vennootschappen, huishoudens en IZWh's;2004;87898;30151;12296;2486;807;8639;5486;1858;484;393;418;2878;542;11147;4077;259;5786;7951;879;1274;86624;96886;30186;14391;2936;891;9754;5793;2118;650.0;447.0;671.0;1664;285;13498;5250;249.0;6985;8528;1061.0;2087;94846;1.3;4.6;-2.7;-19.3;45.7;-3.9;9.4;7.8;-14.8;-25.6;-63.7;3.6;8.8;-4.4;0.6;31.0;5.3;10.4;11.4;-17.6;1.6;90.7;99.9;85.4;84.7;90.5;88.6;94.7;87.7;74.5;88.0;62.3;172.9;189.9;82.6;77.7;103.8;82.8;93.2;82.8;61.0;91.3
38;Vennootschappen, huishoudens en IZWh's;2005;93395;32702;12395;3369;867;8772;5755;1766;435;453;363;2962;569;11667;4289;225;5851;8920;807;1555;91840;101401;31905;14193;3972;944;9686;5943;1992;557.0;501.0;559.0;1905;321;13912;5446;215.0;6923;9453;978.0;2382;99134;4.7;5.7;-1.4;35.3;5.9;-0.7;2.6;-6.0;-14.3;12.2;-16.7;14.5;12.5;3.1;3.7;-13.9;-0.9;10.8;-7.8;14.1;4.5;92.1;102.5;87.3;84.8;91.8;90.6;96.8;88.7;78.1;90.4;65.0;155.5;177.1;83.9;78.8;104.8;84.5;94.4;82.5;65.3;92.6
39;Vennootschappen, huishoudens en IZWh's;2006;101320;35932;12718;3618;939;9999;6267;2045;394;734;559;2937;637;12859;4572;198;6253;9755;903;1216;100104;107523;33741;14113;4193;997;10873;6351;2296;496.0;800.0;848.0;2081;387;15107;5704;183.0;7194;10155;1054.0;1682;105714;6.0;5.8;-0.6;5.6;5.5;12.3;6.9;15.3;-11.0;59.6;51.8;9.2;20.6;8.6;4.7;-14.7;3.9;7.4;7.8;-29.4;6.6;94.2;106.5;90.1;86.3;94.2;92.0;98.7;89.1;79.5;91.7;65.9;141.2;164.5;85.1;80.2;108.0;86.9;96.1;85.6;72.3;94.7
40;Vennootschappen, huishoudens en IZWh's;2007;121765;38440;15282;4391;883;10497;6977;2215;310;951;44;3382;689;14118;5294;305;14388;13272;824;1270;120495;126573;35372;16573;4949;914;11245;6971;2430;385.0;1035.0;65.0;2541;451;16272;6453;275.0;16008;13339;954.0;1624;124716;17.7;4.8;17.4;18.0;-8.3;3.4;9.8;5.8;-22.3;29.3;-92.3;22.1;16.3;7.7;13.1;50.0;122.5;31.4;-9.5;-3.5;18.0;96.2;108.7;92.2;88.7;96.6;93.3;100.1;91.1;80.5;91.9;67.5;133.1;152.9;86.8;82.0;110.9;89.9;99.5;86.4;78.2;96.6
41;Vennootschappen, huishoudens en IZWh's;2008;118583;39864;16953;4123;767;11349;6482;2808;414;1288;357;3355;670;16162;5748;251;6321;12147;873;1028;117555;120783;35695;17756;4460;769;12157;6610;3003;489.0;1371.0;506.0;2795;447;18099;6814;231.0;6799;12133;982.0;1217;119280;-4.6;0.9;7.1;-9.9;-15.9;8.1;-5.2;23.6;27.1;32.5;675.0;10.0;-0.9;11.2;5.6;-16.1;-57.5;-9.0;2.9;-25.0;-4.4;98.2;111.7;95.5;92.5;99.7;93.4;98.1;93.5;84.6;94.0;70.6;120.0;150.0;89.3;84.4;108.8;93.0;100.1;88.9;84.4;98.6
42;Vennootschappen, huishoudens en IZWh's;2009;108173;35010;16662;4002;634;8746;4578;1859;578;904;827;3218;677;14603;4721;266;7276;11569;789;2021;106152;108214;30440;16772;4365;632;9244;4637;1976;644.0;946.0;1134.0;2886;471;16109;5440;245.0;7740;11552;863.0;2470;105685;-10.4;-14.7;-5.5;-2.1;-17.9;-24.0;-29.9;-34.2;31.6;-31.0;124.4;3.2;5.4;-11.0;-20.2;6.4;13.8;-4.8;-12.1;102.9;-11.4;100.0;115.0;99.3;91.7;100.4;94.6;98.7;94.1;89.7;95.6;72.9;111.5;143.8;90.7;86.8;108.4;94.0;100.1;91.5;81.8;100.4
43;Vennootschappen, huishoudens en IZWh's;2010;100617;29722;14678;4142;880;9424;5135;1675;1133;1172;309;2947;644;13595;4428;259;6599;12271;1028;1403;99214;99528;25578;14604;4344;867;9868;5195;1727;1251.0;1211.0;414.0;2674;478;14739;4991;235.0;6974;12166;1115.0;1568;97775;-8.0;-16.0;-12.9;-0.5;37.2;6.7;12.0;-12.6;94.3;28.0;-63.5;-7.3;1.5;-8.5;-8.3;-4.1;-9.9;5.3;29.3;-36.5;-7.5;101.1;116.2;100.5;95.4;101.5;95.5;98.8;97.0;90.5;96.8;74.6;110.2;134.8;92.2;88.7;110.1;94.6;100.9;92.2;89.5;101.5
44;Vennootschappen, huishoudens en IZWh's;2011;106162;27356;15390;5598;955;11083;6310;2378;441;1339;615;3239;799;16308;4841;200;6942;12482;969;1792;104370;106305;24647;15282;5733;941;11681;6477;2420;476.0;1407.0;823.0;3075;632;17530;5323;187.0;7245;12633;1035.0;1947;104193;6.8;-3.6;4.6;32.0;8.5;18.4;24.7;40.1;-62.0;16.2;98.7;15.0;32.3;18.9;6.7;-20.5;3.9;3.8;-7.2;24.2;6.6;99.9;111.0;100.7;97.6;101.5;94.9;97.4;98.2;92.6;95.2;74.7;105.3;126.5;93.0;90.9;106.9;95.8;98.8;93.6;92.0;100.2
45;Vennootschappen, huishoudens en IZWh's;2012;99202;23016;13622;5302;991;10961;6386;2519;509;794;753;3239;815;15387;4383;251;7128;12926;1181;1404;97798;99694;21454;13565;5304;1118;11411;6510;2540;539.0;839.0;926.0;3132;670;16181;4659;252.0;7363;13181;1242.0;1485;98026;-6.2;-13.0;-11.2;-7.5;18.8;-2.3;0.5;4.9;13.2;-40.4;12.5;1.9;6.0;-7.7;-12.5;34.5;1.6;4.3;20.0;-23.7;-5.9;99.5;107.3;100.4;100.0;88.6;96.1;98.1;99.2;94.5;94.7;81.3;103.4;121.7;95.1;94.1;99.7;96.8;98.1;95.1;94.5;99.8
46;Vennootschappen, huishoudens en IZWh's;2013;100298;19836;13357;5923;844;10083;5655;2358;481;998;591;3221;829;14302;4180;316;10875;15359;1173;3374;96924;100417;18822;13124;5894;945;10430;5755;2345;496.0;1036.0;734.0;3132;713;14956;4359;332.0;11011;15528;1212.0;3498;96839;0.7;-12.3;-3.3;11.1;-15.4;-8.6;-11.6;-7.7;-7.9;23.6;-20.7;0.0;6.4;-7.6;-6.4;31.9;49.6;17.8;-2.5;135.5;-1.2;99.9;105.4;101.8;100.5;89.3;96.7;98.3;100.6;96.9;96.3;80.5;102.8;116.3;95.6;95.9;95.2;98.8;98.9;96.8;96.4;100.1
47;Vennootschappen, huishoudens en IZWh's;2014;98664;20510;13291;6086;1096;9547;5527;2393;422;752;453;3177;860;15806;4222;333;8304;14222;1210;4056;94608;98954;19989;13008;6035;1174;9825;5596;2395;424.0;761.0;557.0;3101;780;16413;4325;348.0;8339;14383;1229.0;4131;94770;-1.5;6.2;-0.9;2.4;24.2;-5.8;-2.8;2.1;-14.6;-26.6;-24.2;-1.0;9.4;9.7;-0.8;4.7;-24.3;-7.4;1.4;18.1;-2.1;99.7;102.6;102.2;100.8;93.4;97.2;98.8;99.9;99.5;98.8;81.4;102.4;110.3;96.3;97.6;95.8;99.6;98.9;98.4;98.2;99.8
48;Vennootschappen, huishoudens en IZWh's;2015;138208;24035;13611;6714;1343;13687;7917;2804;401;1098;1467;3926;892;16108;4411;355;31245;21176;705;10255;127953;138208;24035;13611;6714;1343;13687;7917;2804;401.0;1098.0;1467.0;3926;892;16108;4411;355.0;31245;21176;705.0;10255;127953;39.7;20.2;4.6;11.3;14.4;39.3;41.5;17.1;-5.5;44.3;163.6;26.6;14.4;-1.9;2.0;2.1;274.7;47.2;-42.6;148.2;35.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
49;Vennootschappen, huishoudens en IZWh's;2016;118908;29104;14201;7358;2381;14202;6887;3294;447;1061;2513;5633;831;15550;4240;341;7282;17121;664;1929;116979;118583;29278;14346;7377;1847;14000;6757;3268;433.0;1070.0;2472.0;5812;857;15438;4211;364.0;7168;17228;657.0;1908;116675;-14.2;21.8;5.4;9.9;37.5;2.3;-14.7;16.5;8.0;-2.6;68.5;48.0;-3.9;-4.2;-4.5;2.5;-77.1;-18.6;-6.8;-81.4;-8.8;100.3;99.4;99.0;99.7;128.9;101.4;101.9;100.8;103.2;99.2;101.7;96.9;97.0;100.7;100.7;93.7;101.6;99.4;101.1;101.1;100.3
50;Vennootschappen, huishoudens en IZWh's;2017;124840;32843;15332;6489;2392;16441;7637;3404;1689;1805;1906;3079;765;16436;4827;89;7717;17784;646;1582;123258;123764;32899;15479;6320;1786;16068;7378;3374;1621.0;1865.0;1827.0;3188;821;16255;4756;145.0;7480;17853;638.0;1534;122234;4.4;12.4;7.9;-14.3;-3.3;14.8;9.2;3.2;274.3;74.3;-26.1;-45.1;-4.2;5.3;12.9;-60.1;4.4;3.6;-2.9;-19.6;4.8;100.9;99.8;99.0;102.7;133.9;102.3;103.5;100.9;104.2;96.8;104.3;96.6;93.2;101.1;101.5;61.3;103.2;99.6;101.2;103.1;100.8
51;Vennootschappen, huishoudens en IZWh's;2018;135095;37702;17020;7202;2510;15661;9117;3859;498;987;1200;3154;826;17856;5533;49;8375;18577;630;3461;131634;130404;35984;16955;6761;1847;15075;8527;3837;476.0;1039.0;1175.0;3257;901;17451;5383;26.0;7936;18138;611.0;3334;127035;5.4;9.4;9.5;7.0;3.4;-6.2;15.6;13.7;-70.6;-44.3;-35.7;2.1;9.8;7.4;13.2;-82.0;6.1;1.6;-4.3;117.3;3.9;103.6;104.8;100.4;106.5;135.9;103.9;106.9;100.6;104.6;95.0;102.1;96.9;91.6;102.3;102.8;187.8;105.5;102.4;103.2;103.8;103.6
52;Vennootschappen, huishoudens en IZWh's;2019;148532;40964;20318;7802;2838;19242;10583;3951;660;2379;1669;3195;820;18111;5851;141;8912;19669;669;3302;145230;139156;37214;19754;7143;2048;18067;9672;3886;612.0;2477.0;1495.0;3412;934;17264;5561;91.0;8230;18676;634.0;3166;135953;6.7;3.4;16.5;5.6;10.9;19.8;13.4;1.3;28.5;138.3;27.3;4.8;3.6;-1.1;3.3;249.0;3.7;3.0;3.8;-5.0;7.0;106.7;110.1;102.9;109.2;138.6;106.5;109.4;101.7;107.9;96.1;111.6;93.6;87.8;104.9;105.2;154.8;108.3;105.3;105.6;104.3;106.8
53;Vennootschappen, huishoudens en IZWh's;2020;146919;42965;20810;7981;3404;13612;8571;3173;612;588;668;3322;796;17408;6389;283;9211;20221;517;3257;143662;133660;36975;19456;7221;2399;12486;7593;3082;561.0;615.0;591.0;3634;942;16488;6001;185.0;8276;18835;490.0;3085;130541;-3.9;-0.6;-1.5;1.1;17.1;-30.9;-21.5;-20.7;-8.3;-75.2;-60.5;6.5;0.9;-4.5;7.9;102.8;0.6;0.9;-22.7;-2.6;-4.0;109.9;116.2;107.0;110.5;141.9;109.0;112.9;102.9;109.2;95.6;113.0;91.4;84.5;105.6;106.5;153.2;111.3;107.4;105.6;105.6;110.1
54;Vennootschappen, huishoudens en IZWh's;2021;158697;47852;22211;8094;3980;14187;8130;3869;548;711;929;3441;900;18739;7354;230;9830;21295;584;4178;154519;139275;39065;20072;6979;2563;12667;6952;3701;491.0;716.0;825.0;3720;1051;17378;6688;148.0;8399;19719;540.0;3861;135406;4.2;5.7;3.2;-3.4;6.9;1.4;-8.4;20.1;-12.4;16.3;39.5;2.4;11.6;5.4;11.4;-19.8;1.5;4.7;10.3;25.1;3.7;113.9;122.5;110.7;116.0;155.3;112.0;116.9;104.5;111.6;99.3;112.6;92.5;85.6;107.8;110.0;155.2;117.0;108.0;108.1;108.2;114.1
55;Vennootschappen, huishoudens en IZWh's;2022;174411;51728;25233;9849;4020;15067;8327;4406;618;1009;707;3688;1067;20718;8196;272;10635;23161;777;4802;169609;144003;39464;21919;7707;2303;12598;6731;3893;522.0;988.0;535.0;3806;1218;17744;6669;175.0;8871;20773;690.0;4474;139545;3.4;1.0;9.2;10.4;-10.2;-0.5;-3.2;5.2;6.4;38.1;-35.1;2.3;15.9;2.1;-0.3;17.8;5.6;5.3;27.7;15.9;3.1;121.1;131.1;115.1;127.8;174.5;119.6;123.7;113.2;118.3;102.1;132.0;96.9;87.6;116.8;122.9;155.8;119.9;111.5;112.6;107.3;121.5
56;Overheid;1995;12642;68;2990;4301;141;646;34;336;0;67;209;622;78;862;475;0;1720;739;0;533;12109;16911;86;4889;6814;253;740;36;380;;76.0;383.0;68;53;1131;595;;2852;939;;350;16828;;;;;;;;;;;;;;;;;;;;;;74.8;79.4;61.2;63.1;55.8;87.3;94.7;88.3;;88.7;54.6;912.1;146.5;76.2;79.9;;60.3;78.7;;152.3;72.0
57;Overheid;1996;13627;39;2687;4890;176;715;36;276;0;68;335;612;116;878;662;0;1715;1137;0;453;13174;18091;48;4252;7565;298;813;38;313;;78.0;603.0;85;80;1151;833;;2752;1447;;301;18156;7.0;-44.1;-13.0;11.0;17.7;9.9;5.9;-17.9;;3.0;57.4;25.1;50.0;1.7;40.0;;-3.5;54.0;;-13.9;7.9;75.3;81.5;63.2;64.6;59.1;87.9;94.7;88.3;;87.5;55.6;717.5;145.3;76.3;79.5;;62.3;78.6;;150.3;72.6
58;Overheid;1997;13922;14;2574;4733;215;552;40;295;0;34;183;642;117;1177;836;0;1791;1271;0;634;13288;18457;17;3994;7169;345;628;42;336;;39.0;326.0;114;85;1520;1048;;2834;1621;;429;18272;2.0;-64.1;-6.1;-5.2;15.9;-22.8;11.1;7.6;;-50.0;-46.0;33.8;6.9;32.0;25.8;;3.0;12.0;;42.4;0.6;75.4;81.5;64.5;66.0;62.3;87.9;94.7;87.7;;87.5;56.2;562.4;137.1;77.5;79.8;;63.2;78.4;;147.8;72.7
59;Overheid;1998;14642;37;2648;5073;231;525;44;298;0;16;167;641;124;1114;1012;0;1873;1364;0;801;13841;19325;45;4003;7491;339;596;46;342;;17.0;294.0;148;92;1427;1273;;2885;1754;;555;18917;4.7;164.3;0.2;4.5;-1.9;-5.1;10.0;1.7;;-55.9;-9.8;30.1;7.7;-6.1;21.5;;1.8;8.2;;29.3;3.5;75.8;81.5;66.2;67.7;68.2;88.1;94.7;87.1;;93.3;56.9;431.7;134.9;78.1;79.5;;64.9;77.8;;144.3;73.2
60;Overheid;1999;16462;38;2759;5666;298;460;50;307;0;23;80;740;141;1741;1062;0;1999;1558;0;679;15783;21482;45;4045;8151;410;523;53;355;;25.0;139.0;210;105;2217;1349;;3010;1925;;490;21279;11.2;0.0;1.1;8.8;21.2;-12.2;13.6;3.7;;43.8;-52.7;41.5;13.7;55.4;5.9;;4.3;9.8;;-11.7;12.5;76.6;83.7;68.2;69.5;72.6;87.9;94.7;86.6;;93.3;57.6;352.3;134.9;78.5;78.7;;66.4;81.0;;138.6;74.2
61;Overheid;2000;17560;29;3335;6450;399;432;53;315;0;31;33;790;152;1271;1243;0;2075;1384;0;624;16936;22235;33;4674;8901;493;481;55;355;;33.0;57.0;256;112;1575;1569;;2969;1678;;469;22096;3.5;-26.3;15.5;9.2;20.1;-8.0;4.0;0.0;;34.8;-58.8;21.8;7.1;-28.9;16.3;;-1.4;-12.8;;-4.3;3.8;79.0;86.7;71.3;72.5;80.9;89.8;96.6;88.8;;93.3;57.6;308.9;135.8;80.7;79.2;;69.9;82.5;;133.1;76.6
62;Overheid;2001;19320;66;3493;7428;356;462;142;246;0;19;55;747;157;1370;1165;0;2298;1778;0;559;18761;23601;71;4596;9790;403;511;144;277;;20.0;96.0;283;116;1700;1423;;3129;2061;;440;23553;6.1;113.8;-1.7;10.0;-18.3;6.3;162.3;-21.9;;-38.7;66.7;10.6;3.9;7.9;-9.3;;5.4;22.8;;-6.1;6.6;81.9;92.3;76.0;75.9;88.4;90.3;98.7;88.8;;93.3;57.6;264.0;134.9;80.6;81.8;;73.4;86.3;;126.9;79.7
63;Overheid;2002;21459;79;4119;8288;334;448;141;245;0;27;35;820;115;1378;1546;0;2461;1871;0;513;20946;25546;83;5173;10512;368;495;143;276;;28.0;61.0;362;85;1683;1841;;3218;2154;;416;25591;8.2;16.7;12.6;7.4;-8.7;-3.2;-0.7;-0.4;;36.8;-36.4;27.8;-26.8;-1.0;29.4;;2.8;4.6;;-5.5;8.7;84.0;94.7;79.6;78.8;90.8;90.5;98.7;88.8;;96.9;57.6;226.7;134.9;81.9;84.0;;76.5;86.8;;123.3;81.9
64;Overheid;2003;22382;55;4692;8587;296;434;126;262;0;33;13;832;139;1343;1516;0;2638;1850;0;615;21767;26113;56;5751;10486;317;479;128;295;;34.0;23.0;416;105;1644;1792;;3347;2092;;508;26033;2.2;-32.9;11.2;-0.3;-13.8;-3.1;-10.6;6.9;;22.2;-62.9;15.1;23.5;-2.3;-2.7;;4.0;-2.9;;22.2;1.7;85.7;98.3;81.6;81.9;93.3;90.5;98.7;88.8;;96.9;57.6;199.8;132.1;81.7;84.6;;78.8;88.4;;121.0;83.6
65;Overheid;2004;21685;61;4064;8368;214;483;134;259;0;73;17;877;137;1348;1361;0;2732;2040;0;905;20780;25107;61;4897;10122;223;535;136;290;;77.0;30.0;473;108;1636;1584;;3408;2299;;756;24644;-3.9;9.1;-14.9;-3.5;-29.7;11.5;6.3;-1.5;;127.3;30.8;13.6;2.9;-0.4;-11.6;;1.8;9.9;;48.6;-5.3;86.4;99.9;83.0;82.7;96.0;90.4;98.7;89.2;;94.3;57.6;185.4;126.5;82.4;85.9;;80.2;88.7;;119.8;84.3
66;Overheid;2005;22261;72;4189;8780;247;495;119;275;0;63;38;902;145;1072;1328;0;2816;2215;0;1647;20614;25523;71;4931;10502;251;544;121;307;;66.0;64.0;545;119;1292;1522;;3437;2456;;1401;24153;1.7;16.4;0.7;3.8;12.6;1.9;-11.2;5.8;;-15.1;117.6;15.3;9.5;-21.1;-4.0;;0.8;6.8;;85.4;-2.0;87.2;101.3;85.0;83.6;98.4;90.9;98.7;89.5;;95.8;59.1;165.4;122.3;83.0;87.3;;81.9;90.2;;117.6;85.3
67;Overheid;2006;24775;113;4982;9710;225;509;159;310;0;32;8;941;160;1379;1308;0;2711;2737;0;1885;22890;27845;110;5683;11285;223;559;160;346;;33.0;14.0;630;138;1648;1488;;3212;2967;;1643;26193;9.1;54.2;15.3;7.5;-11.3;2.6;32.8;12.7;;-49.2;-78.9;15.5;16.6;27.6;-2.2;;-6.5;20.8;;17.3;8.4;89.0;103.2;87.7;86.0;101.1;91.1;99.3;89.5;;95.8;59.1;149.4;115.8;83.7;87.9;;84.4;92.2;;114.7;87.4
68;Overheid;2007;25507;212;5123;10182;229;556;140;318;0;91;7;855;172;1453;1427;0;2777;2521;0;1776;23731;27990;204;5708;11424;220;600;140;348;;94.0;12.0;611;153;1703;1601;;3224;2656;;1589;26412;0.5;85.8;0.4;1.2;-1.3;7.5;-12.6;0.3;;181.3;-12.5;-3.1;10.6;3.3;7.6;;0.4;-10.5;;-3.3;0.8;91.1;104.1;89.8;89.1;104.3;92.6;100.0;91.5;;96.9;59.1;140.0;112.5;85.3;89.1;;86.1;94.9;;111.8;89.9
69;Overheid;2008;27583;180;5794;11405;255;488;133;316;0;32;7;905;165;1621;1278;0;2826;2666;0;1997;25586;29392;167;6227;12241;240;519;134;338;;32.0;12.0;718;147;1849;1411;;3179;2777;;1854;27504;5.0;-17.9;9.1;7.2;9.2;-13.5;-4.3;-2.8;;-65.9;0.0;17.5;-4.1;8.5;-11.8;;-1.4;4.6;;16.7;4.1;93.8;107.7;93.0;93.2;106.4;93.9;99.2;93.6;;100.0;59.1;126.1;112.5;87.7;90.6;;88.9;96.0;;107.7;93.0
70;Overheid;2009;28380;153;5578;11783;307;506;122;304;0;12;68;925;168;1677;1454;0;2963;2866;0;1404;26976;29984;136;5764;12637;291;541;123;329;;12.0;112.0;795;143;1884;1554;;3249;3048;;1318;28722;2.0;-18.3;-7.4;3.2;21.6;4.1;-8.3;-2.5;;-62.5;842.9;10.8;-2.4;1.9;10.1;;2.2;9.8;;-28.9;4.4;94.6;112.1;96.8;93.2;105.4;93.6;99.2;92.4;;100.0;60.9;116.3;117.4;89.0;93.6;;91.2;94.0;;106.5;93.9
71;Overheid;2010;28485;135;5061;11846;216;489;127;326;0;9;27;995;224;1555;1386;0;3084;3494;0;1801;26684;29310;119;5051;12408;204;512;128;342;;9.0;44.0;911;186;1711;1473;;3274;3502;;1736;27568;-2.2;-12.4;-12.4;-1.8;-30.0;-5.3;4.1;3.9;;-25.0;-60.3;14.5;29.8;-9.2;-5.2;;0.8;14.9;;31.7;-4.0;97.2;113.0;100.2;95.5;105.8;95.5;99.2;95.3;;100.0;60.9;109.3;120.6;90.9;94.1;;94.2;99.8;;103.7;96.8
72;Overheid;2011;28066;141;4723;11768;167;468;129;305;0;12;22;921;308;1560;1357;0;3372;3281;0;1471;26595;28650;128;4707;12025;158;486;130;316;;12.0;36.0;887;269;1707;1422;;3532;3368;;1439;27223;-2.3;7.4;-6.8;-3.1;-22.7;-5.1;1.6;-7.7;;33.3;-18.5;-2.6;45.1;-0.3;-3.5;;7.9;-3.8;;-17.1;-1.3;98.0;109.9;100.3;97.9;105.8;96.3;99.2;96.6;;100.0;60.9;103.9;114.3;91.4;95.5;;95.5;97.4;;102.2;97.7
73;Overheid;2012;26169;142;4526;10637;159;454;117;300;0;9;28;914;307;1202;1371;0;3187;3270;0;1462;24707;26531;131;4534;10664;183;465;118;307;;9.0;43.0;897;274;1281;1414;;3298;3392;;1445;25093;-7.4;2.1;-3.7;-11.3;16.2;-4.3;-9.3;-3.0;;-25.0;18.2;1.2;1.6;-24.9;-0.5;;-6.6;0.7;;0.4;-7.8;98.6;108.3;99.8;99.8;86.8;97.6;99.2;97.9;;100.0;65.6;101.8;112.1;93.8;96.9;;96.6;96.4;;101.2;98.5
74;Overheid;2013;25884;130;3858;10952;115;395;133;243;0;10;9;903;298;1437;1229;0;3314;3253;0;1571;24313;25884;123;3790;10828;131;400;133;245;;10.0;14.0;883;264;1529;1257;;3393;3299;;1578;24308;-2.4;-6.3;-16.4;1.5;-28.3;-13.9;12.8;-20.0;;11.1;-67.9;-1.6;-3.6;19.4;-11.1;;2.9;-2.8;;9.2;-3.1;100.0;105.9;101.8;101.1;87.5;98.6;100.0;99.1;;100.0;65.6;102.3;112.9;94.0;97.7;;97.7;98.6;;99.6;100.0
75;Overheid;2014;24868;110;3747;10257;101;368;116;234;0;10;8;891;323;953;1281;0;3427;3410;0;1338;23530;24807;108;3677;10134;107;371;116;236;;10.0;9.0;872;293;998;1300;;3479;3458;;1347;23461;-4.2;-12.3;-3.0;-6.4;-18.3;-7.3;-12.8;-3.7;;0.0;-33.3;-1.2;11.1;-34.7;3.4;;2.5;4.8;;-14.6;-3.5;100.2;102.2;101.9;101.2;94.0;99.2;100.0;99.1;;100.0;87.5;102.2;110.2;95.5;98.5;;98.5;98.6;;99.4;100.3
76;Overheid;2015;25829;92;3664;10868;67;363;130;217;0;8;8;914;236;1190;1271;0;3647;3517;0;1249;24580;25829;92;3664;10868;67;363;130;217;;8.0;8.0;914;236;1190;1271;;3647;3517;;1249;24580;4.1;-14.5;-0.3;7.2;-37.6;-2.2;12.1;-8.1;;-20.0;-12.5;4.8;-19.5;19.2;-2.3;;4.8;1.7;;-7.2;4.8;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;;100.0;100.0
77;Overheid;2016;25664;92;3795;10090;61;490;155;191;100;36;8;883;231;1348;1146;0;3745;3783;0;968;24696;25710;94;3828;10129;57;484;155;190;;36.0;8.0;910;238;1339;1140;;3688;3803;;963;24747;-0.5;2.2;4.5;-6.8;-14.9;33.3;19.2;-12.4;;350.0;0.0;-0.4;0.8;12.5;-10.3;;1.1;8.1;;-22.9;0.7;99.8;97.9;99.1;99.6;107.0;101.2;100.0;100.5;;100.0;100.0;97.0;97.1;100.7;100.5;;101.5;99.5;;100.5;99.8
78;Overheid;2017;26592;99;3917;10339;64;388;154;224;9;1;0;1063;213;1684;1040;0;3845;3940;0;1180;25412;26297;100;3949;10124;57;381;152;223;;;;1100;232;1653;1035;;3722;3950;;1164;25132;2.3;6.5;3.2;0.0;0.0;-21.2;-1.9;17.3;;;;20.8;-2.6;23.4;-9.2;;0.9;3.9;;20.9;1.6;101.1;98.9;99.2;102.1;112.3;101.8;101.3;100.5;;;;96.7;91.9;101.9;100.5;;103.3;99.8;;101.4;101.1
