ID;Deelgebieden;Perioden;InputPriceIndices_1;ChangesComparedTo1YearEarlier_2
469;4312 Site preparation works;2012 April;99.3;
470;4312 Site preparation works;2012 July;102.9;
471;4312 Site preparation works;2012 October;103.4;
472;4312 Site preparation works;2013 January;104.2;5.9
473;4312 Site preparation works;2013 April;103.0;3.6
474;4312 Site preparation works;2013 July;103.5;0.6
475;4312 Site preparation works;2013 October;103.3;-0.1
476;4312 Site preparation works;2014 January;103.5;-0.6
477;4312 Site preparation works;2014 April;103.2;0.2
478;4312 Site preparation works;2014 July;103.2;-0.3
479;4312 Site preparation works;2014 October;103.0;-0.3
480;4312 Site preparation works;2015 January;99.6;-3.8
481;4312 Site preparation works;2015 April;100.2;-2.9
482;4312 Site preparation works;2015 July;100.8;-2.3
483;4312 Site preparation works;2015 October;99.7;-3.2
484;4312 Site preparation works;2016 January;96.2;-3.4
485;4312 Site preparation works;2016 April;98.4;-1.7
486;4312 Site preparation works;2016 July;100.1;-0.7
487;4312 Site preparation works;2016 October;99.9;0.2
488;4312 Site preparation works;2017 January;100.1;4.0
489;4312 Site preparation works;2017 April;100.9;2.5
490;4312 Site preparation works;2017 July;100.3;0.2
491;4312 Site preparation works;2017 October;101.1;1.3
492;4312 Site preparation works;2018 January;103.3;3.2
493;4312 Site preparation works;2018 April;103.4;2.5
494;4312 Site preparation works;2018 July;105.3;5.0
495;4312 Site preparation works;2018 October;107.5;6.2
496;4312 Site preparation works;2019 January;105.4;2.0
497;4312 Site preparation works;2019 April;107.1;3.6
498;4312 Site preparation works;2019 July;107.6;2.2
499;4312 Site preparation works;2019 October;108.3;0.8
500;4312 Site preparation works;2020 January;110.4;4.8
501;4312 Site preparation works;2020 April;108.0;0.9
502;4312 Site preparation works;2020 July;108.6;0.9
503;4312 Site preparation works;2020 October;107.9;-0.4
504;4312 Site preparation works;2021 January;110.5;0.0
505;4312 Site preparation works;2021 April;111.1;2.9
506;4312 Site preparation works;2021 July;113.2;4.3
507;4312 Site preparation works;2021 October;115.5;7.1
508;4312 Site preparation works;2022 January;121.5;10.0
509;4312 Site preparation works;2022 April;132.0;18.8
510;4312 Site preparation works;2022 July;136.4;20.5
511;4312 Site preparation works;2022 October;138.7;20.0
512;4312 Site preparation works;2023 January;134.9;11.1
513;4312 Site preparation works;2023 April;134.4;1.8
514;4312 Site preparation works;2023 July;137.4;0.7
515;4312 Site preparation works;2023 October;142.2;2.6
516;4312 Site preparation works;2024 January;145.3;7.6
517;4312 Site preparation works;2024 April;146.9;9.4
518;4312 Site preparation works;2024 July;147.2;7.1
519;4312 Site preparation works;2024 October;146.0;2.6
520;4321 Electrical installation works;2012 January;99.3;
521;4321 Electrical installation works;2012 April;99.8;
522;4321 Electrical installation works;2012 July;100.5;
523;4321 Electrical installation works;2012 October;99.9;
524;4321 Electrical installation works;2013 January;99.6;0.3
525;4321 Electrical installation works;2013 April;100.7;0.9
526;4321 Electrical installation works;2013 July;99.3;-1.3
527;4321 Electrical installation works;2013 October;98.6;-1.3
528;4321 Electrical installation works;2014 January;98.9;-0.8
529;4321 Electrical installation works;2014 April;98.3;-2.4
530;4321 Electrical installation works;2014 July;98.8;-0.4
531;4321 Electrical installation works;2014 October;99.5;0.9
532;4321 Electrical installation works;2015 January;100.1;1.2
533;4321 Electrical installation works;2015 April;101.4;3.2
534;4321 Electrical installation works;2015 July;100.0;1.1
535;4321 Electrical installation works;2015 October;99.0;-0.5
536;4321 Electrical installation works;2016 January;99.1;-1.0
537;4321 Electrical installation works;2016 April;98.5;-2.9
538;4321 Electrical installation works;2016 July;99.4;-0.6
539;4321 Electrical installation works;2016 October;101.0;2.0
540;4321 Electrical installation works;2017 January;103.5;4.4
541;4321 Electrical installation works;2017 April;104.1;5.7
542;4321 Electrical installation works;2017 July;103.7;4.4
543;4321 Electrical installation works;2017 October;103.9;2.9
544;4321 Electrical installation works;2018 January;103.8;0.3
545;4321 Electrical installation works;2018 April;103.5;-0.6
546;4321 Electrical installation works;2018 July;104.2;0.5
547;4321 Electrical installation works;2018 October;104.3;0.3
548;4321 Electrical installation works;2019 January;104.4;0.6
549;4321 Electrical installation works;2019 April;104.6;1.0
550;4321 Electrical installation works;2019 July;105.1;0.9
551;4321 Electrical installation works;2019 October;105.0;0.7
552;4321 Electrical installation works;2020 January;105.7;1.3
553;4321 Electrical installation works;2020 April;104.9;0.4
554;4321 Electrical installation works;2020 July;104.9;-0.2
555;4321 Electrical installation works;2020 October;104.0;-0.9
556;4321 Electrical installation works;2021 January;105.1;-0.6
557;4321 Electrical installation works;2021 April;107.3;2.2
558;4321 Electrical installation works;2021 July;111.2;6.1
559;4321 Electrical installation works;2021 October;115.0;10.5
560;4321 Electrical installation works;2022 January;117.9;12.1
561;4321 Electrical installation works;2022 April;124.6;16.1
562;4321 Electrical installation works;2022 July;127.5;14.6
563;4321 Electrical installation works;2022 October;126.2;9.7
564;4321 Electrical installation works;2023 January;124.4;5.5
565;4321 Electrical installation works;2023 April;123.3;-1.0
566;4321 Electrical installation works;2023 July;120.3;-5.7
567;4321 Electrical installation works;2023 October;119.7;-5.1
568;4321 Electrical installation works;2024 January;121.0;-2.7
569;4321 Electrical installation works;2024 April;121.7;-1.3
570;4321 Electrical installation works;2024 July;123.1;2.3
571;4321 Electrical installation works;2024 October;122.0;1.9
