ID;FruitFarmingRegions;Periods;TotalAppleVarieties_1;CoxSOrangePippin_2;DelbarestivaleDelcorf_3;Elstar_4;GoldenDelicious_5;Jonagold_6;Jonagored_7;Junami_8;Kanzi_9;RodeBoskoopRennetApple_10;Rubens_11;OtherAppleVarieties_12;TotalPearVarieties_13;BeurreAlexandreLucas_14;Conference_15;DoyenneDuComice_16;CookingPears_17;TriompheDeVienne_18;OtherPearVarieties_19;TotalAppleVarieties_20;CoxSOrangePippin_21;DelbarestivaleDelcorf_22;Elstar_23;GoldenDelicious_24;Jonagold_25;Jonagored_26;Junami_27;Kanzi_28;RodeBoskoopRennetApple_29;Rubens_30;OtherAppleVarieties_31;TotalPearVarieties_32;BeurreAlexandreLucas_33;Conference_34;DoyenneDuComice_35;CookingPears_36;TriompheDeVienne_37;OtherPearVarieties_38
30;Region North;2006;66;2;0;27;3;16;10;0.0;0.0;2;0.0;6;40;1.0;33;5;1;0;0;1438;44;12;709;54;266;165;2.0;3.0;34;22.0;127;1027;24.0;764;175;41;4;19
31;Region North;2007;61;1;0;34;3;12;7;0.0;0.0;1;0.0;3;46;1.0;38;6;1;0;0;1312;30;8;724;56;190;129;12.0;11.0;44;23.0;85;1101;14.0;865;170;36;0;16
32;Region North;2008;60;1;0;31;3;11;7;0.0;0.0;2;1.0;4;35;1.0;29;4;1;0;0;1336;32;13;666;57;182;106;72.0;16.0;30;34.0;128;1107;39.0;847;156;44;2;18
33;Region North;2009;63;1;0;32;3;11;8;2.0;0.0;1;1.0;3;47;1.0;37;6;1;0;1;1322;21;7;662;53;195;133;78.0;14.0;33;34.0;92;1127;32.0;877;145;46;2;25
34;Region North;2010;49;0;0;26;2;10;4;2.0;1.0;1;1.0;3;39;1.0;33;3;1;0;0;1246;11;5;611;48;222;89;68.0;17.0;31;22.0;121;1142;28.0;883;133;36;3;60
35;Region North;2011;60;0;0;27;2;16;4;3.0;1.0;1;1.0;5;54;1.0;46;5;1;0;0;1091;10;9;531;41;204;53;72.0;25.0;14;16.0;124;1161;20.0;902;134;56;1;61
36;Region North;2012;34;0;0;22;1;6;1;1.0;1.0;1;0.0;1;29;0.0;24;3;2;1;0;1046;16;10;601;36;206;21;58.0;31.0;21;2.0;44;1112;14.0;910;117;38;3;39
37;Region North;2013;35;1;0;16;2;9;1;1.0;1.0;1;0.0;4;48;1.0;42;3;0;0;2;988;25;5;470;56;181;41;35.0;22.0;28;2.0;123;1183;17.0;969;116;25;5;51
38;Region North;2014;46;1;0;23;2;11;2;2.0;1.0;1;0.0;4;41;1.0;35;3;2;0;1;942;15;13;480;36;186;38;46.0;20.0;21;7.0;79;1085;31.0;814;131;56;2;50
39;Region North;2015;34;0;0;15;1;10;1;1.0;1.0;1;0.0;4;51;2.0;44;4;1;0;1;768;13;7;349;18;166;18;34.0;31.0;12;0.0;120;1218;43.0;985;109;44;1;36
