ID;Financieringsvorm;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;WmoClienten_5;WmoClientenPer1000Inwoners_6
158;Totaal;Wijk 02 Rhoon-Noord;2017;Albrandswaard                           ;Wijk     ;WK061302;1.0;75.0;40.0
159;Totaal;Wijk 03 Poortugaal-Zuid;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061303;1.0;370.0;53.0
160;Totaal;Wijk 03 Poortugaal-Zuid;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061303;1.0;375.0;54.0
161;Totaal;Wijk 03 Poortugaal-Zuid;2017;Albrandswaard                           ;Wijk     ;WK061303;1.0;395.0;57.0
162;Totaal;Wijk 04 Rhoon-Zuid;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061304;1.0;410.0;69.0
163;Totaal;Wijk 04 Rhoon-Zuid;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061304;1.0;405.0;68.0
164;Totaal;Wijk 04 Rhoon-Zuid;2017;Albrandswaard                           ;Wijk     ;WK061304;1.0;420.0;71.0
165;Totaal;Wijk 05 Buitengebied Albrandswaard;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061305;1.0;0.0;
166;Totaal;Wijk 05 Buitengebied Albrandswaard;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061305;1.0;0.0;
167;Totaal;Wijk 05 Buitengebied Albrandswaard;2017;Albrandswaard                           ;Wijk     ;WK061305;1.0;0.0;
168;Totaal;Wijk 06 Portland;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061306;1.0;225.0;30.0
169;Totaal;Wijk 06 Portland;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061306;1.0;230.0;31.0
170;Totaal;Wijk 06 Portland;2017;Albrandswaard                           ;Wijk     ;WK061306;1.0;240.0;33.0
171;Totaal;Wijk 07 Rotterdam-Albrandswaard;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061307;1.0;0.0;
172;Totaal;Wijk 07 Rotterdam-Albrandswaard;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061307;1.0;0.0;
173;Totaal;Wijk 07 Rotterdam-Albrandswaard;2017;Albrandswaard                           ;Wijk     ;WK061307;1.0;0.0;
174;Totaal;Alkmaar;1e halfjaar 2017;Alkmaar                                 ;Gemeente ;GM0361  ;;5955.0;55.0
175;Totaal;Alkmaar;2e halfjaar 2017;Alkmaar                                 ;Gemeente ;GM0361  ;;6145.0;57.0
176;Totaal;Alkmaar;2017;Alkmaar                                 ;Gemeente ;GM0361  ;;6540.0;60.0
177;Totaal;Zuid;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036101;1.0;1040.0;73.0
178;Totaal;Zuid;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036101;1.0;1060.0;74.0
179;Totaal;Zuid;2017;Alkmaar                                 ;Wijk     ;WK036101;1.0;1135.0;79.0
180;Totaal;Oudorp;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036102;1.0;780.0;58.0
181;Totaal;Oudorp;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036102;1.0;795.0;59.0
182;Totaal;Oudorp;2017;Alkmaar                                 ;Wijk     ;WK036102;1.0;845.0;63.0
183;Totaal;Overdie;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036103;1.0;425.0;55.0
184;Totaal;Overdie;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036103;1.0;450.0;58.0
185;Totaal;Overdie;2017;Alkmaar                                 ;Wijk     ;WK036103;1.0;470.0;60.0
186;Totaal;West;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036104;1.0;635.0;50.0
187;Totaal;West;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036104;1.0;675.0;54.0
188;Totaal;West;2017;Alkmaar                                 ;Wijk     ;WK036104;1.0;705.0;56.0
189;Totaal;Huiswaard;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036105;3.0;505.0;66.0
190;Totaal;Huiswaard;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036105;3.0;510.0;67.0
191;Totaal;Huiswaard;2017;Alkmaar                                 ;Wijk     ;WK036105;3.0;540.0;71.0
192;Totaal;De Mare;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036106;1.0;900.0;56.0
193;Totaal;De Mare;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036106;1.0;905.0;57.0
194;Totaal;De Mare;2017;Alkmaar                                 ;Wijk     ;WK036106;1.0;965.0;61.0
195;Totaal;Daalmeer/Koedijk;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036107;1.0;615.0;46.0
196;Totaal;Daalmeer/Koedijk;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036107;1.0;630.0;47.0
197;Totaal;Daalmeer/Koedijk;2017;Alkmaar                                 ;Wijk     ;WK036107;1.0;650.0;48.0
198;Totaal;Centrum;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036108;1.0;260.0;32.0
199;Totaal;Centrum;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036108;1.0;265.0;33.0
200;Totaal;Centrum;2017;Alkmaar                                 ;Wijk     ;WK036108;1.0;280.0;35.0
201;Totaal;Schermer;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036109;1.0;155.0;28.0
202;Totaal;Schermer;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036109;1.0;160.0;29.0
203;Totaal;Schermer;2017;Alkmaar                                 ;Wijk     ;WK036109;1.0;170.0;31.0
204;Totaal;Graft-De Rijp;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036110;1.0;235.0;36.0
205;Totaal;Graft-De Rijp;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036110;1.0;235.0;36.0
206;Totaal;Graft-De Rijp;2017;Alkmaar                                 ;Wijk     ;WK036110;1.0;260.0;40.0
207;Totaal;Vroonermeer;1e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036111;3.0;60.0;19.0
208;Totaal;Vroonermeer;2e halfjaar 2017;Alkmaar                                 ;Wijk     ;WK036111;3.0;70.0;22.0
209;Totaal;Vroonermeer;2017;Alkmaar                                 ;Wijk     ;WK036111;3.0;75.0;23.0
210;Totaal;Almelo;1e halfjaar 2017;Almelo                                  ;Gemeente ;GM0141  ;;4310.0;59.0
211;Totaal;Almelo;2e halfjaar 2017;Almelo                                  ;Gemeente ;GM0141  ;;4150.0;57.0
212;Totaal;Almelo;2017;Almelo                                  ;Gemeente ;GM0141  ;;4650.0;64.0
213;Totaal;Wijk 10 Binnenstad;1e halfjaar 2017;Almelo                                  ;Wijk     ;WK014110;1.0;530.0;100.0
214;Totaal;Wijk 10 Binnenstad;2e halfjaar 2017;Almelo                                  ;Wijk     ;WK014110;1.0;490.0;93.0
215;Totaal;Wijk 10 Binnenstad;2017;Almelo                                  ;Wijk     ;WK014110;1.0;545.0;103.0
216;Totaal;Wijk 11 De Riet;1e halfjaar 2017;Almelo                                  ;Wijk     ;WK014111;1.0;475.0;68.0
217;Totaal;Wijk 11 De Riet;2e halfjaar 2017;Almelo                                  ;Wijk     ;WK014111;1.0;460.0;66.0
218;Totaal;Wijk 11 De Riet;2017;Almelo                                  ;Wijk     ;WK014111;1.0;520.0;74.0
219;Totaal;Wijk 12 Noorderkwartier;1e halfjaar 2017;Almelo                                  ;Wijk     ;WK014112;1.0;300.0;55.0
220;Totaal;Wijk 12 Noorderkwartier;2e halfjaar 2017;Almelo                                  ;Wijk     ;WK014112;1.0;275.0;51.0
