ID;Interval;Leeftijd;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
267;1;20-24 jaar;2030;1033507;522292;511215
268;1;20-24 jaar;2031;1022878;516869;506009
269;1;20-24 jaar;2032;1014661;512677;501984
270;1;20-24 jaar;2033;1009076;509827;499249
271;1;20-24 jaar;2034;1005994;508253;497741
272;1;20-24 jaar;2035;1005244;507865;497379
273;1;20-24 jaar;2036;1006450;508484;497966
274;1;20-24 jaar;2037;1009249;509914;499335
275;1;20-24 jaar;2038;1013310;511993;501317
276;1;20-24 jaar;2039;1018293;514544;503749
277;1;20-24 jaar;2040;1024004;517465;506539
278;1;20-24 jaar;2041;1030035;520550;509485
279;1;20-24 jaar;2042;1036172;523689;512483
280;1;20-24 jaar;2043;1042149;526743;515406
281;1;20-24 jaar;2044;1047733;529595;518138
282;1;20-24 jaar;2045;1052774;532171;520603
283;1;20-24 jaar;2046;1057289;534477;522812
284;1;20-24 jaar;2047;1061196;536467;524729
285;1;20-24 jaar;2048;1064520;538160;526360
286;1;20-24 jaar;2049;1067227;539538;527689
287;1;20-24 jaar;2050;1069365;540621;528744
288;1;25-29 jaar;2003;1032346;520237;512109
289;1;25-29 jaar;2004;1012355;510097;502258
290;1;25-29 jaar;2005;998928;502798;496130
291;1;25-29 jaar;2006;1000855;503429;497426
292;1;25-29 jaar;2007;1002608;503206;499402
293;1;25-29 jaar;2008;1002602;503234;499368
294;1;25-29 jaar;2009;999584;501779;497805
295;1;25-29 jaar;2010;1003035;504057;498978
296;1;25-29 jaar;2011;1004284;504688;499596
297;1;25-29 jaar;2012;1013479;509388;504091
298;1;25-29 jaar;2013;1029081;517500;511581
299;1;25-29 jaar;2014;1045515;525652;519863
300;1;25-29 jaar;2015;1059331;531888;527443
301;1;25-29 jaar;2016;1077547;541277;536270
302;1;25-29 jaar;2017;1090262;547795;542467
303;1;25-29 jaar;2018;1098958;551874;547084
304;1;25-29 jaar;2019;1106492;555457;551035
305;1;25-29 jaar;2020;1112744;558840;553904
306;1;25-29 jaar;2021;1106613;555368;551245
307;1;25-29 jaar;2022;1100196;552654;547542
308;1;25-29 jaar;2023;1097792;550908;546884
309;1;25-29 jaar;2024;1103073;553686;549387
310;1;25-29 jaar;2025;1109100;556892;552208
311;1;25-29 jaar;2026;1124103;564381;559722
312;1;25-29 jaar;2027;1135592;569798;565794
313;1;25-29 jaar;2028;1143138;574043;569095
314;1;25-29 jaar;2029;1143230;574189;569041
315;1;25-29 jaar;2030;1138480;571690;566790
316;1;25-29 jaar;2031;1126164;565699;560465
317;1;25-29 jaar;2032;1114344;559714;554630
318;1;25-29 jaar;2033;1101725;553317;548408
319;1;25-29 jaar;2034;1088187;546451;541736
320;1;25-29 jaar;2035;1075938;540246;535692
321;1;25-29 jaar;2036;1065660;535039;530621
322;1;25-29 jaar;2037;1057727;531027;526700
323;1;25-29 jaar;2038;1052355;528315;524040
324;1;25-29 jaar;2039;1049414;526839;522575
325;1;25-29 jaar;2040;1048737;526513;522224
326;1;25-29 jaar;2041;1049950;527154;522796
327;1;25-29 jaar;2042;1052704;528579;524125
328;1;25-29 jaar;2043;1056678;530627;526051
329;1;25-29 jaar;2044;1061541;533125;528416
330;1;25-29 jaar;2045;1067107;535984;531123
331;1;25-29 jaar;2046;1072979;538993;533986
332;1;25-29 jaar;2047;1078947;542053;536894
333;1;25-29 jaar;2048;1084758;545026;539732
334;1;25-29 jaar;2049;1090183;547803;542380
335;1;25-29 jaar;2050;1095079;550308;544771
336;1;30-34 jaar;2003;1296813;657626;639187
337;1;30-34 jaar;2004;1257755;636188;621567
338;1;30-34 jaar;2005;1199135;605067;594068
339;1;30-34 jaar;2006;1138423;573357;565066
340;1;30-34 jaar;2007;1087810;547450;540360
341;1;30-34 jaar;2008;1047515;526998;520517
342;1;30-34 jaar;2009;1028648;517321;511327
343;1;30-34 jaar;2010;1017496;511154;506342
344;1;30-34 jaar;2011;1021834;513010;508824
345;1;30-34 jaar;2012;1025933;514017;511916
346;1;30-34 jaar;2013;1027767;514942;512825
347;1;30-34 jaar;2014;1026041;514112;511929
348;1;30-34 jaar;2015;1029814;516499;513315
349;1;30-34 jaar;2016;1030973;517086;513887
350;1;30-34 jaar;2017;1039645;521535;518110
351;1;30-34 jaar;2018;1054638;529379;525259
352;1;30-34 jaar;2019;1070493;537310;533183
353;1;30-34 jaar;2020;1083906;543436;540470
354;1;30-34 jaar;2021;1101568;552598;548970
355;1;30-34 jaar;2022;1113929;559010;554919
356;1;30-34 jaar;2023;1122423;563059;559364
357;1;30-34 jaar;2024;1129863;566662;563201
358;1;30-34 jaar;2025;1136089;570077;566012
359;1;30-34 jaar;2026;1130278;566842;563436
360;1;30-34 jaar;2027;1124127;564298;559829
361;1;30-34 jaar;2028;1121872;562684;559188
362;1;30-34 jaar;2029;1127047;565431;561616
363;1;30-34 jaar;2030;1132928;568586;564342
364;1;30-34 jaar;2031;1147507;575869;571638
365;1;30-34 jaar;2032;1158769;581189;577580
366;1;30-34 jaar;2033;1166211;585381;580830
367;1;30-34 jaar;2034;1166392;585592;580800
368;1;30-34 jaar;2035;1161872;583237;578635
369;1;30-34 jaar;2036;1149982;577494;572488
370;1;30-34 jaar;2037;1138540;571741;566799
371;1;30-34 jaar;2038;1126304;565583;560721
372;1;30-34 jaar;2039;1113165;558964;554201
373;1;30-34 jaar;2040;1101279;552985;548294
374;1;30-34 jaar;2041;1091304;547969;543335
375;1;30-34 jaar;2042;1083620;544116;539504
376;1;30-34 jaar;2043;1078419;541521;536898
377;1;30-34 jaar;2044;1075584;540122;535462
378;1;30-34 jaar;2045;1074943;539833;535110
379;1;30-34 jaar;2046;1076140;540477;535663
380;1;30-34 jaar;2047;1078829;541876;536953
381;1;30-34 jaar;2048;1082696;543873;538823
382;1;30-34 jaar;2049;1087424;546306;541118
383;1;30-34 jaar;2050;1092841;549085;543756
384;1;35-39 jaar;2003;1325704;676442;649262
385;1;35-39 jaar;2004;1318530;671704;646826
386;1;35-39 jaar;2005;1318902;670952;647950
387;1;35-39 jaar;2006;1317353;668548;648805
388;1;35-39 jaar;2007;1309632;663226;646406
389;1;35-39 jaar;2008;1292146;652428;639718
390;1;35-39 jaar;2009;1254924;632155;622769
391;1;35-39 jaar;2010;1199380;602890;596490
392;1;35-39 jaar;2011;1142325;573299;569026
393;1;35-39 jaar;2012;1095009;549245;545764
394;1;35-39 jaar;2013;1057445;530343;527102
395;1;35-39 jaar;2014;1040141;521548;518593
396;1;35-39 jaar;2015;1029889;515933;513956
397;1;35-39 jaar;2016;1034273;517869;516404
398;1;35-39 jaar;2017;1038060;518772;519288
399;1;35-39 jaar;2018;1039449;519471;519978
400;1;35-39 jaar;2019;1037382;518471;518911
401;1;35-39 jaar;2020;1040651;520581;520070
402;1;35-39 jaar;2021;1041447;520996;520451
403;1;35-39 jaar;2022;1049705;525246;524459
404;1;35-39 jaar;2023;1064277;532894;531383
405;1;35-39 jaar;2024;1079721;540651;539070
406;1;35-39 jaar;2025;1092831;546688;546143
407;1;35-39 jaar;2026;1110088;555673;554415
408;1;35-39 jaar;2027;1122195;562007;560188
409;1;35-39 jaar;2028;1130540;566032;564508
410;1;35-39 jaar;2029;1137921;569653;568268
411;1;35-39 jaar;2030;1144124;573089;571035
412;1;35-39 jaar;2031;1138562;570041;568521
413;1;35-39 jaar;2032;1132608;567627;564981
414;1;35-39 jaar;2033;1130476;566123;564353
415;1;35-39 jaar;2034;1135570;568844;566726
416;1;35-39 jaar;2035;1141339;571956;569383
417;1;35-39 jaar;2036;1155601;579082;576519
418;1;35-39 jaar;2037;1166694;584323;582371
419;1;35-39 jaar;2038;1174054;588468;585586
420;1;35-39 jaar;2039;1174291;588720;585571
421;1;35-39 jaar;2040;1169935;586470;583465
422;1;35-39 jaar;2041;1158356;580916;577440
423;1;35-39 jaar;2042;1147184;575337;571847
424;1;35-39 jaar;2043;1135221;569352;565869
425;1;35-39 jaar;2044;1122368;562918;559450
426;1;35-39 jaar;2045;1110738;557103;553635
427;1;35-39 jaar;2046;1100975;552225;548750
428;1;35-39 jaar;2047;1093454;548479;544975
429;1;35-39 jaar;2048;1088364;545957;542407
430;1;35-39 jaar;2049;1085582;544596;540986
431;1;35-39 jaar;2050;1084948;544316;540632
432;1;40-44 jaar;2003;1275484;646061;629423
433;1;40-44 jaar;2004;1293774;655894;637880
434;1;40-44 jaar;2005;1309005;664063;644942
435;1;40-44 jaar;2006;1318090;668973;649117
436;1;40-44 jaar;2007;1316370;668285;648085
437;1;40-44 jaar;2008;1311676;665805;645871
438;1;40-44 jaar;2009;1304902;661380;643522
439;1;40-44 jaar;2010;1306322;661302;645020
440;1;40-44 jaar;2011;1306101;659784;646317
441;1;40-44 jaar;2012;1300000;655569;644431
442;1;40-44 jaar;2013;1284117;645819;638298
443;1;40-44 jaar;2014;1248715;626731;621984
444;1;40-44 jaar;2015;1194930;598624;596306
445;1;40-44 jaar;2016;1139417;570032;569385
446;1;40-44 jaar;2017;1093128;546637;546491
447;1;40-44 jaar;2018;1056300;528227;528073
448;1;40-44 jaar;2019;1039211;519609;519602
449;1;40-44 jaar;2020;1029042;514106;514936
450;1;40-44 jaar;2021;1033175;515958;517217
451;1;40-44 jaar;2022;1036653;516750;519903
452;1;40-44 jaar;2023;1037717;517299;520418
453;1;40-44 jaar;2024;1035423;516200;519223
454;1;40-44 jaar;2025;1038330;518116;520214
455;1;40-44 jaar;2026;1038875;518412;520463
456;1;40-44 jaar;2027;1046820;522503;524317
457;1;40-44 jaar;2028;1061065;529989;531076
458;1;40-44 jaar;2029;1076186;537600;538586
459;1;40-44 jaar;2030;1089060;543552;545508
460;1;40-44 jaar;2031;1105993;552380;553613
461;1;40-44 jaar;2032;1117884;558627;559257
462;1;40-44 jaar;2033;1126096;562615;563481
463;1;40-44 jaar;2034;1133393;566221;567172
464;1;40-44 jaar;2035;1139541;569644;569897
465;1;40-44 jaar;2036;1134138;566721;567417
466;1;40-44 jaar;2037;1128320;564391;563929
467;1;40-44 jaar;2038;1126255;562952;563303
468;1;40-44 jaar;2039;1131269;565632;565637
469;1;40-44 jaar;2040;1136929;568693;568236
470;1;40-44 jaar;2041;1150920;575671;575249
471;1;40-44 jaar;2042;1161844;580826;581018
472;1;40-44 jaar;2043;1169107;584912;584195
473;1;40-44 jaar;2044;1169358;585175;584183
474;1;40-44 jaar;2045;1165102;582985;582117
475;1;40-44 jaar;2046;1153746;577559;576187
476;1;40-44 jaar;2047;1142777;572105;570672
477;1;40-44 jaar;2048;1131019;566247;564772
478;1;40-44 jaar;2049;1118382;559946;558436
479;1;40-44 jaar;2050;1106943;554250;552693
480;1;45-49 jaar;2003;1168307;590167;578140
481;1;45-49 jaar;2004;1183704;597554;586150
482;1;45-49 jaar;2005;1202648;606720;595928
483;1;45-49 jaar;2006;1220341;616195;604146
484;1;45-49 jaar;2007;1239225;625340;613885
485;1;45-49 jaar;2008;1256497;634084;622413
486;1;45-49 jaar;2009;1274466;643711;630755
487;1;45-49 jaar;2010;1289727;651893;637834
488;1;45-49 jaar;2011;1299442;657192;642250
489;1;45-49 jaar;2012;1298549;657000;641549
490;1;45-49 jaar;2013;1294720;655115;639605
491;1;45-49 jaar;2014;1288632;651178;637454
492;1;45-49 jaar;2015;1290479;651429;639050
493;1;45-49 jaar;2016;1290454;650138;640316
494;1;45-49 jaar;2017;1284569;646186;638383
495;1;45-49 jaar;2018;1268988;636723;632265
496;1;45-49 jaar;2019;1234340;618185;616155
497;1;45-49 jaar;2020;1181662;590818;590844
498;1;45-49 jaar;2021;1127329;562979;564350
499;1;45-49 jaar;2022;1081980;540167;541813
500;1;45-49 jaar;2023;1045878;522211;523667
501;1;45-49 jaar;2024;1029068;513790;515278
502;1;45-49 jaar;2025;1019043;508421;510622
503;1;45-49 jaar;2026;1023011;510226;512785
504;1;45-49 jaar;2027;1026294;510962;515332
505;1;45-49 jaar;2028;1027168;511427;515741
506;1;45-49 jaar;2029;1024757;510280;514477
507;1;45-49 jaar;2030;1027436;512074;515362
508;1;45-49 jaar;2031;1027846;512305;515541
509;1;45-49 jaar;2032;1035577;516282;519295
510;1;45-49 jaar;2033;1049532;523617;525915
511;1;45-49 jaar;2034;1064350;531086;533264
512;1;45-49 jaar;2035;1076993;536946;540047
513;1;45-49 jaar;2036;1093624;545620;548004
514;1;45-49 jaar;2037;1105318;551778;553540
515;1;45-49 jaar;2038;1113394;555716;557678
516;1;45-49 jaar;2039;1120588;559286;561302
517;1;45-49 jaar;2040;1126653;562674;563979
518;1;45-49 jaar;2041;1121391;559848;561543
519;1;45-49 jaar;2042;1115688;557580;558108
520;1;45-49 jaar;2043;1113682;556187;557495
521;1;45-49 jaar;2044;1118620;558823;559797
522;1;45-49 jaar;2045;1124192;561832;562360
523;1;45-49 jaar;2046;1137927;568666;569261
524;1;45-49 jaar;2047;1148674;573727;574947
525;1;45-49 jaar;2048;1155821;577741;578080
526;1;45-49 jaar;2049;1156079;578004;578075
527;1;45-49 jaar;2050;1151914;575862;576052
528;1;50-54 jaar;2003;1124384;570169;554215
529;1;50-54 jaar;2004;1114930;564384;550546
530;1;50-54 jaar;2005;1115670;563934;551736
531;1;50-54 jaar;2006;1122413;566167;556246
532;1;50-54 jaar;2007;1135912;572468;563444
533;1;50-54 jaar;2008;1145891;576967;568924
534;1;50-54 jaar;2009;1161004;584241;576763
535;1;50-54 jaar;2010;1179888;593437;586451
536;1;50-54 jaar;2011;1197461;602863;594598
537;1;50-54 jaar;2012;1216475;612149;604326
538;1;50-54 jaar;2013;1233737;620918;612819
539;1;50-54 jaar;2014;1251560;630479;621081
540;1;50-54 jaar;2015;1266550;638524;628026
541;1;50-54 jaar;2016;1276148;643782;632366
542;1;50-54 jaar;2017;1275265;643610;631655
