ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
2672;Total male and female, including unknown;Total age;120;2010 1st Quarter;55;55
2673;Total male and female, including unknown;Total age;120;2010 April;15;10
2674;Total male and female, including unknown;Total age;120;2010 May;15;15
2675;Total male and female, including unknown;Total age;120;2010 June;15;15
2676;Total male and female, including unknown;Total age;120;2010 2nd Quarter;40;40
2677;Total male and female, including unknown;Total age;120;2010 July;10;10
2678;Total male and female, including unknown;Total age;120;2010 August;20;20
2679;Total male and female, including unknown;Total age;120;2010 September;15;15
2680;Total male and female, including unknown;Total age;120;2010 3rd Quarter;40;40
2681;Total male and female, including unknown;Total age;120;2010 October;10;10
2682;Total male and female, including unknown;Total age;120;2010 November;10;10
2683;Total male and female, including unknown;Total age;120;2010 December;10;5
2684;Total male and female, including unknown;Total age;120;2010 4th Quarter;25;25
2685;Total male and female, including unknown;Total age;120;2010;170;160
2686;Total male and female, including unknown;Total age;120;2011 January;10;10
2687;Total male and female, including unknown;Total age;120;2011 February;20;20
2688;Total male and female, including unknown;Total age;120;2011 March;15;15
2689;Total male and female, including unknown;Total age;120;2011 1st Quarter;45;40
2690;Total male and female, including unknown;Total age;120;2011 April;10;10
2691;Total male and female, including unknown;Total age;120;2011 May;15;10
2692;Total male and female, including unknown;Total age;120;2011 June;10;10
2693;Total male and female, including unknown;Total age;120;2011 2nd Quarter;35;30
2694;Total male and female, including unknown;Total age;120;2011 July;10;10
2695;Total male and female, including unknown;Total age;120;2011 August;10;10
2696;Total male and female, including unknown;Total age;120;2011 September;10;10
2697;Total male and female, including unknown;Total age;120;2011 3rd Quarter;30;30
2698;Total male and female, including unknown;Total age;120;2011 October;10;10
2699;Total male and female, including unknown;Total age;120;2011 November;5;5
2700;Total male and female, including unknown;Total age;120;2011 December;10;10
2701;Total male and female, including unknown;Total age;120;2011 4th Quarter;25;20
2702;Total male and female, including unknown;Total age;120;2011;135;125
2703;Total male and female, including unknown;Total age;120;2012 January;5;5
2704;Total male and female, including unknown;Total age;120;2012 February;10;10
2705;Total male and female, including unknown;Total age;120;2012 March;15;15
2706;Total male and female, including unknown;Total age;120;2012 1st Quarter;30;30
2707;Total male and female, including unknown;Total age;120;2012 April;0;0
2708;Total male and female, including unknown;Total age;120;2012 May;0;0
2709;Total male and female, including unknown;Total age;120;2012 June;5;5
2710;Total male and female, including unknown;Total age;120;2012 2nd Quarter;10;10
2711;Total male and female, including unknown;Total age;120;2012 July;5;0
2712;Total male and female, including unknown;Total age;120;2012 August;10;10
2713;Total male and female, including unknown;Total age;120;2012 September;10;5
2714;Total male and female, including unknown;Total age;120;2012 3rd Quarter;25;15
2715;Total male and female, including unknown;Total age;120;2012 October;10;10
2716;Total male and female, including unknown;Total age;120;2012 November;10;10
2717;Total male and female, including unknown;Total age;120;2012 December;5;5
2718;Total male and female, including unknown;Total age;120;2012 4th Quarter;25;20
2719;Total male and female, including unknown;Total age;120;2012;85;75
2720;Total male and female, including unknown;Total age;120;2013 January;5;5
2721;Total male and female, including unknown;Total age;120;2013 February;10;5
2722;Total male and female, including unknown;Total age;120;2013 March;10;10
2723;Total male and female, including unknown;Total age;120;2013 1st Quarter;25;20
2724;Total male and female, including unknown;Total age;120;2013 April;0;0
2725;Total male and female, including unknown;Total age;120;2013 May;5;5
2726;Total male and female, including unknown;Total age;120;2013 June;5;0
2727;Total male and female, including unknown;Total age;120;2013 2nd Quarter;10;5
2728;Total male and female, including unknown;Total age;120;2013 July;0;0
2729;Total male and female, including unknown;Total age;120;2013 August;5;0
2730;Total male and female, including unknown;Total age;120;2013 September;5;0
2731;Total male and female, including unknown;Total age;120;2013 3rd Quarter;10;5
2732;Total male and female, including unknown;Total age;120;2013 October;5;5
2733;Total male and female, including unknown;Total age;120;2013 November;5;0
2734;Total male and female, including unknown;Total age;120;2013 December;5;5
2735;Total male and female, including unknown;Total age;120;2013 4th Quarter;10;10
2736;Total male and female, including unknown;Total age;120;2013;50;40
2737;Total male and female, including unknown;Total age;120;2014 January;5;5
2738;Total male and female, including unknown;Total age;120;2014 February;0;0
2739;Total male and female, including unknown;Total age;120;2014 March;0;0
2740;Total male and female, including unknown;Total age;120;2014 1st Quarter;10;5
2741;Total male and female, including unknown;Total age;120;2014 April;0;0
2742;Total male and female, including unknown;Total age;120;2014 May;0;0
2743;Total male and female, including unknown;Total age;120;2014 June;5;5
2744;Total male and female, including unknown;Total age;120;2014 2nd Quarter;10;5
2745;Total male and female, including unknown;Total age;120;2014 July;0;0
2746;Total male and female, including unknown;Total age;120;2014 August;5;0
2747;Total male and female, including unknown;Total age;120;2014 September;5;5
2748;Total male and female, including unknown;Total age;120;2014 3rd Quarter;10;5
2749;Total male and female, including unknown;Total age;120;2014 October;0;0
2750;Total male and female, including unknown;Total age;120;2014 November;5;0
2751;Total male and female, including unknown;Total age;120;2014 December;0;0
2752;Total male and female, including unknown;Total age;120;2014 4th Quarter;5;5
2753;Total male and female, including unknown;Total age;120;2014;30;20
2754;Total male and female, including unknown;Total age;120;2015 January;5;0
2755;Total male and female, including unknown;Total age;120;2015 February;5;0
2756;Total male and female, including unknown;Total age;120;2015 March;5;5
2757;Total male and female, including unknown;Total age;120;2015 1st Quarter;10;5
2758;Total male and female, including unknown;Total age;120;2015 April;5;0
2759;Total male and female, including unknown;Total age;120;2015 May;5;0
2760;Total male and female, including unknown;Total age;120;2015 June;5;0
2761;Total male and female, including unknown;Total age;120;2015 2nd Quarter;10;5
2762;Total male and female, including unknown;Total age;120;2015 July;5;0
2763;Total male and female, including unknown;Total age;120;2015 August;0;0
2764;Total male and female, including unknown;Total age;120;2015 September;0;0
2765;Total male and female, including unknown;Total age;120;2015 3rd Quarter;5;5
2766;Total male and female, including unknown;Total age;120;2015 October;0;0
2767;Total male and female, including unknown;Total age;120;2015 November;0;0
2768;Total male and female, including unknown;Total age;120;2015 December;0;0
2769;Total male and female, including unknown;Total age;120;2015 4th Quarter;5;0
2770;Total male and female, including unknown;Total age;120;2015;30;15
2771;Total male and female, including unknown;Total age;120;2016 January;5;5
2772;Total male and female, including unknown;Total age;122;2007 January;0;0
2773;Total male and female, including unknown;Total age;122;2007 February;0;0
2774;Total male and female, including unknown;Total age;122;2007 March;5;0
2775;Total male and female, including unknown;Total age;122;2007 1st Quarter;5;5
2776;Total male and female, including unknown;Total age;122;2007 April;5;5
2777;Total male and female, including unknown;Total age;122;2007 May;5;5
2778;Total male and female, including unknown;Total age;122;2007 June;5;5
2779;Total male and female, including unknown;Total age;122;2007 2nd Quarter;15;15
2780;Total male and female, including unknown;Total age;122;2007 July;10;10
2781;Total male and female, including unknown;Total age;122;2007 August;5;5
2782;Total male and female, including unknown;Total age;122;2007 September;5;5
2783;Total male and female, including unknown;Total age;122;2007 3rd Quarter;20;20
2784;Total male and female, including unknown;Total age;122;2007 October;0;0
2785;Total male and female, including unknown;Total age;122;2007 November;5;5
2786;Total male and female, including unknown;Total age;122;2007 December;0;0
2787;Total male and female, including unknown;Total age;122;2007 4th Quarter;5;5
2788;Total male and female, including unknown;Total age;122;2007;45;40
2789;Total male and female, including unknown;Total age;122;2008 January;0;0
2790;Total male and female, including unknown;Total age;122;2008 February;10;10
2791;Total male and female, including unknown;Total age;122;2008 March;10;10
2792;Total male and female, including unknown;Total age;122;2008 1st Quarter;20;15
2793;Total male and female, including unknown;Total age;122;2008 April;10;5
2794;Total male and female, including unknown;Total age;122;2008 May;5;5
2795;Total male and female, including unknown;Total age;122;2008 June;5;5
2796;Total male and female, including unknown;Total age;122;2008 2nd Quarter;20;15
2797;Total male and female, including unknown;Total age;122;2008 July;5;5
2798;Total male and female, including unknown;Total age;122;2008 August;5;5
2799;Total male and female, including unknown;Total age;122;2008 September;5;5
2800;Total male and female, including unknown;Total age;122;2008 3rd Quarter;10;10
2801;Total male and female, including unknown;Total age;122;2008 October;5;0
2802;Total male and female, including unknown;Total age;122;2008 November;0;0
2803;Total male and female, including unknown;Total age;122;2008 December;5;0
2804;Total male and female, including unknown;Total age;122;2008 4th Quarter;5;5
2805;Total male and female, including unknown;Total age;122;2008;55;45
2806;Total male and female, including unknown;Total age;122;2009 January;0;0
2807;Total male and female, including unknown;Total age;122;2009 February;5;5
2808;Total male and female, including unknown;Total age;122;2009 March;0;0
2809;Total male and female, including unknown;Total age;122;2009 1st Quarter;10;5
2810;Total male and female, including unknown;Total age;122;2009 April;5;5
2811;Total male and female, including unknown;Total age;122;2009 May;0;0
2812;Total male and female, including unknown;Total age;122;2009 June;5;5
2813;Total male and female, including unknown;Total age;122;2009 2nd Quarter;10;5
2814;Total male and female, including unknown;Total age;122;2009 July;0;0
2815;Total male and female, including unknown;Total age;122;2009 August;5;5
2816;Total male and female, including unknown;Total age;122;2009 September;5;0
2817;Total male and female, including unknown;Total age;122;2009 3rd Quarter;10;5
2818;Total male and female, including unknown;Total age;122;2009 October;5;0
2819;Total male and female, including unknown;Total age;122;2009 November;0;0
2820;Total male and female, including unknown;Total age;122;2009 December;5;5
2821;Total male and female, including unknown;Total age;122;2009 4th Quarter;10;10
2822;Total male and female, including unknown;Total age;122;2009;35;25
2823;Total male and female, including unknown;Total age;122;2010 January;0;0
2824;Total male and female, including unknown;Total age;122;2010 February;5;5
2825;Total male and female, including unknown;Total age;122;2010 March;5;5
2826;Total male and female, including unknown;Total age;122;2010 1st Quarter;10;5
2827;Total male and female, including unknown;Total age;122;2010 April;5;5
2828;Total male and female, including unknown;Total age;122;2010 May;5;5
2829;Total male and female, including unknown;Total age;122;2010 June;5;5
2830;Total male and female, including unknown;Total age;122;2010 2nd Quarter;20;15
2831;Total male and female, including unknown;Total age;122;2010 July;15;10
2832;Total male and female, including unknown;Total age;122;2010 August;0;0
2833;Total male and female, including unknown;Total age;122;2010 September;0;0
2834;Total male and female, including unknown;Total age;122;2010 3rd Quarter;15;15
2835;Total male and female, including unknown;Total age;122;2010 October;5;5
2836;Total male and female, including unknown;Total age;122;2010 November;5;5
2837;Total male and female, including unknown;Total age;122;2010 December;0;0
2838;Total male and female, including unknown;Total age;122;2010 4th Quarter;10;5
2839;Total male and female, including unknown;Total age;122;2010;50;45
2840;Total male and female, including unknown;Total age;122;2011 January;0;0
2841;Total male and female, including unknown;Total age;122;2011 February;0;0
2842;Total male and female, including unknown;Total age;122;2011 March;0;0
2843;Total male and female, including unknown;Total age;122;2011 1st Quarter;5;0
2844;Total male and female, including unknown;Total age;122;2011 April;0;0
2845;Total male and female, including unknown;Total age;122;2011 May;0;0
2846;Total male and female, including unknown;Total age;122;2011 June;0;0
2847;Total male and female, including unknown;Total age;122;2011 2nd Quarter;5;0
2848;Total male and female, including unknown;Total age;122;2011 July;5;0
2849;Total male and female, including unknown;Total age;122;2011 August;0;0
2850;Total male and female, including unknown;Total age;122;2011 September;0;0
2851;Total male and female, including unknown;Total age;122;2011 3rd Quarter;5;5
2852;Total male and female, including unknown;Total age;122;2011 October;5;5
2853;Total male and female, including unknown;Total age;122;2011 November;5;5
2854;Total male and female, including unknown;Total age;122;2011 December;0;0
2855;Total male and female, including unknown;Total age;122;2011 4th Quarter;10;5
2856;Total male and female, including unknown;Total age;122;2011;20;15
2857;Total male and female, including unknown;Total age;122;2012 January;5;5
2858;Total male and female, including unknown;Total age;122;2012 February;10;10
2859;Total male and female, including unknown;Total age;122;2012 March;0;0
2860;Total male and female, including unknown;Total age;122;2012 1st Quarter;15;15
2861;Total male and female, including unknown;Total age;122;2012 April;5;5
2862;Total male and female, including unknown;Total age;122;2012 May;5;5
2863;Total male and female, including unknown;Total age;122;2012 June;5;5
2864;Total male and female, including unknown;Total age;122;2012 2nd Quarter;15;10
2865;Total male and female, including unknown;Total age;122;2012 July;0;0
2866;Total male and female, including unknown;Total age;122;2012 August;0;0
2867;Total male and female, including unknown;Total age;122;2012 September;0;0
2868;Total male and female, including unknown;Total age;122;2012 3rd Quarter;5;0
2869;Total male and female, including unknown;Total age;122;2012 October;5;0
2870;Total male and female, including unknown;Total age;122;2012 November;0;0
2871;Total male and female, including unknown;Total age;122;2012 December;5;5
2872;Total male and female, including unknown;Total age;122;2012 4th Quarter;10;10
2873;Total male and female, including unknown;Total age;122;2012;45;35
2874;Total male and female, including unknown;Total age;122;2013 January;5;5
2875;Total male and female, including unknown;Total age;122;2013 February;5;0
2876;Total male and female, including unknown;Total age;122;2013 March;0;0
2877;Total male and female, including unknown;Total age;122;2013 1st Quarter;10;5
2878;Total male and female, including unknown;Total age;122;2013 April;0;0
2879;Total male and female, including unknown;Total age;122;2013 May;0;0
2880;Total male and female, including unknown;Total age;122;2013 June;0;0
2881;Total male and female, including unknown;Total age;122;2013 2nd Quarter;5;5
2882;Total male and female, including unknown;Total age;122;2013 July;0;0
2883;Total male and female, including unknown;Total age;122;2013 August;0;0
2884;Total male and female, including unknown;Total age;122;2013 September;0;0
2885;Total male and female, including unknown;Total age;122;2013 3rd Quarter;5;5
2886;Total male and female, including unknown;Total age;122;2013 October;0;0
2887;Total male and female, including unknown;Total age;122;2013 November;0;0
2888;Total male and female, including unknown;Total age;122;2013 December;5;0
2889;Total male and female, including unknown;Total age;122;2013 4th Quarter;5;5
2890;Total male and female, including unknown;Total age;122;2013;25;15
2891;Total male and female, including unknown;Total age;122;2014 January;5;5
2892;Total male and female, including unknown;Total age;122;2014 February;5;0
2893;Total male and female, including unknown;Total age;122;2014 March;5;5
2894;Total male and female, including unknown;Total age;122;2014 1st Quarter;10;10
2895;Total male and female, including unknown;Total age;122;2014 April;5;5
2896;Total male and female, including unknown;Total age;122;2014 May;5;5
2897;Total male and female, including unknown;Total age;122;2014 June;5;5
2898;Total male and female, including unknown;Total age;122;2014 2nd Quarter;15;15
2899;Total male and female, including unknown;Total age;122;2014 July;0;0
2900;Total male and female, including unknown;Total age;122;2014 August;5;5
2901;Total male and female, including unknown;Total age;122;2014 September;0;0
2902;Total male and female, including unknown;Total age;122;2014 3rd Quarter;5;5
2903;Total male and female, including unknown;Total age;122;2014 October;5;0
2904;Total male and female, including unknown;Total age;122;2014 November;5;5
2905;Total male and female, including unknown;Total age;122;2014 December;0;0
2906;Total male and female, including unknown;Total age;122;2014 4th Quarter;10;10
2907;Total male and female, including unknown;Total age;122;2014;40;35
2908;Total male and female, including unknown;Total age;122;2015 January;5;5
2909;Total male and female, including unknown;Total age;122;2015 February;0;0
2910;Total male and female, including unknown;Total age;122;2015 March;0;0
2911;Total male and female, including unknown;Total age;122;2015 1st Quarter;10;10
2912;Total male and female, including unknown;Total age;122;2015 April;5;5
2913;Total male and female, including unknown;Total age;122;2015 May;0;0
2914;Total male and female, including unknown;Total age;122;2015 June;5;5
2915;Total male and female, including unknown;Total age;122;2015 2nd Quarter;10;10
2916;Total male and female, including unknown;Total age;122;2015 July;0;0
2917;Total male and female, including unknown;Total age;122;2015 August;5;5
2918;Total male and female, including unknown;Total age;122;2015 September;5;0
2919;Total male and female, including unknown;Total age;122;2015 3rd Quarter;10;5
2920;Total male and female, including unknown;Total age;122;2015 October;0;0
2921;Total male and female, including unknown;Total age;122;2015 November;0;0
2922;Total male and female, including unknown;Total age;122;2015 December;5;5
2923;Total male and female, including unknown;Total age;122;2015 4th Quarter;5;5
2924;Total male and female, including unknown;Total age;122;2015;30;25
2925;Total male and female, including unknown;Total age;122;2016 January;0;0
2926;Total male and female, including unknown;Total age;87;2007 January;0;0
2927;Total male and female, including unknown;Total age;87;2007 February;0;0
2928;Total male and female, including unknown;Total age;87;2007 March;0;0
2929;Total male and female, including unknown;Total age;87;2007 1st Quarter;0;0
2930;Total male and female, including unknown;Total age;87;2007 April;0;0
2931;Total male and female, including unknown;Total age;87;2007 May;0;0
2932;Total male and female, including unknown;Total age;87;2007 June;0;0
2933;Total male and female, including unknown;Total age;87;2007 2nd Quarter;0;0
2934;Total male and female, including unknown;Total age;87;2007 July;0;0
2935;Total male and female, including unknown;Total age;87;2007 August;0;0
2936;Total male and female, including unknown;Total age;87;2007 September;0;0
2937;Total male and female, including unknown;Total age;87;2007 3rd Quarter;0;0
2938;Total male and female, including unknown;Total age;87;2007 October;0;0
2939;Total male and female, including unknown;Total age;87;2007 November;0;0
2940;Total male and female, including unknown;Total age;87;2007 December;0;0
2941;Total male and female, including unknown;Total age;87;2007 4th Quarter;0;0
2942;Total male and female, including unknown;Total age;87;2007;0;0
2943;Total male and female, including unknown;Total age;87;2008 January;0;0
2944;Total male and female, including unknown;Total age;87;2008 February;0;0
2945;Total male and female, including unknown;Total age;87;2008 March;0;0
2946;Total male and female, including unknown;Total age;87;2008 1st Quarter;0;0
2947;Total male and female, including unknown;Total age;87;2008 April;0;0
2948;Total male and female, including unknown;Total age;87;2008 May;0;0
2949;Total male and female, including unknown;Total age;87;2008 June;0;0
2950;Total male and female, including unknown;Total age;87;2008 2nd Quarter;0;0
2951;Total male and female, including unknown;Total age;87;2008 July;0;0
2952;Total male and female, including unknown;Total age;87;2008 August;0;0
2953;Total male and female, including unknown;Total age;87;2008 September;0;0
2954;Total male and female, including unknown;Total age;87;2008 3rd Quarter;0;0
2955;Total male and female, including unknown;Total age;87;2008 October;0;0
2956;Total male and female, including unknown;Total age;87;2008 November;0;0
2957;Total male and female, including unknown;Total age;87;2008 December;0;0
2958;Total male and female, including unknown;Total age;87;2008 4th Quarter;0;0
2959;Total male and female, including unknown;Total age;87;2008;0;0
2960;Total male and female, including unknown;Total age;87;2009 January;5;5
2961;Total male and female, including unknown;Total age;87;2009 February;5;5
2962;Total male and female, including unknown;Total age;87;2009 March;0;0
2963;Total male and female, including unknown;Total age;87;2009 1st Quarter;10;10
2964;Total male and female, including unknown;Total age;87;2009 April;0;0
2965;Total male and female, including unknown;Total age;87;2009 May;5;5
2966;Total male and female, including unknown;Total age;87;2009 June;0;0
2967;Total male and female, including unknown;Total age;87;2009 2nd Quarter;5;5
2968;Total male and female, including unknown;Total age;87;2009 July;10;0
2969;Total male and female, including unknown;Total age;87;2009 August;0;0
2970;Total male and female, including unknown;Total age;87;2009 September;10;5
2971;Total male and female, including unknown;Total age;87;2009 3rd Quarter;20;10
2972;Total male and female, including unknown;Total age;87;2009 October;0;0
2973;Total male and female, including unknown;Total age;87;2009 November;5;5
2974;Total male and female, including unknown;Total age;87;2009 December;0;0
2975;Total male and female, including unknown;Total age;87;2009 4th Quarter;10;10
2976;Total male and female, including unknown;Total age;87;2009;45;35
2977;Total male and female, including unknown;Total age;87;2010 January;0;0
2978;Total male and female, including unknown;Total age;87;2010 February;0;0
2979;Total male and female, including unknown;Total age;87;2010 March;15;15
2980;Total male and female, including unknown;Total age;87;2010 1st Quarter;20;20
2981;Total male and female, including unknown;Total age;87;2010 April;0;0
2982;Total male and female, including unknown;Total age;87;2010 May;0;0
2983;Total male and female, including unknown;Total age;87;2010 June;0;0
2984;Total male and female, including unknown;Total age;87;2010 2nd Quarter;0;0
2985;Total male and female, including unknown;Total age;87;2010 July;5;5
2986;Total male and female, including unknown;Total age;87;2010 August;0;0
2987;Total male and female, including unknown;Total age;87;2010 September;5;5
2988;Total male and female, including unknown;Total age;87;2010 3rd Quarter;10;10
2989;Total male and female, including unknown;Total age;87;2010 October;5;5
2990;Total male and female, including unknown;Total age;87;2010 November;15;15
2991;Total male and female, including unknown;Total age;87;2010 December;10;5
2992;Total male and female, including unknown;Total age;87;2010 4th Quarter;30;25
2993;Total male and female, including unknown;Total age;87;2010;60;55
2994;Total male and female, including unknown;Total age;87;2011 January;0;0
2995;Total male and female, including unknown;Total age;87;2011 February;10;10
2996;Total male and female, including unknown;Total age;87;2011 March;5;5
2997;Total male and female, including unknown;Total age;87;2011 1st Quarter;15;15
2998;Total male and female, including unknown;Total age;87;2011 April;0;0
2999;Total male and female, including unknown;Total age;87;2011 May;0;0
3000;Total male and female, including unknown;Total age;87;2011 June;5;5
3001;Total male and female, including unknown;Total age;87;2011 2nd Quarter;5;5
3002;Total male and female, including unknown;Total age;87;2011 July;5;5
3003;Total male and female, including unknown;Total age;87;2011 August;0;0
3004;Total male and female, including unknown;Total age;87;2011 September;0;0
3005;Total male and female, including unknown;Total age;87;2011 3rd Quarter;5;5
3006;Total male and female, including unknown;Total age;87;2011 October;0;0
3007;Total male and female, including unknown;Total age;87;2011 November;0;0
3008;Total male and female, including unknown;Total age;87;2011 December;0;0
3009;Total male and female, including unknown;Total age;87;2011 4th Quarter;5;5
3010;Total male and female, including unknown;Total age;87;2011;30;25
3011;Total male and female, including unknown;Total age;87;2012 January;0;0
3012;Total male and female, including unknown;Total age;87;2012 February;0;0
3013;Total male and female, including unknown;Total age;87;2012 March;0;0
3014;Total male and female, including unknown;Total age;87;2012 1st Quarter;0;0
3015;Total male and female, including unknown;Total age;87;2012 April;0;0
3016;Total male and female, including unknown;Total age;87;2012 May;0;0
3017;Total male and female, including unknown;Total age;87;2012 June;5;5
3018;Total male and female, including unknown;Total age;87;2012 2nd Quarter;0;0
3019;Total male and female, including unknown;Total age;87;2012 July;0;0
3020;Total male and female, including unknown;Total age;87;2012 August;0;0
3021;Total male and female, including unknown;Total age;87;2012 September;5;0
3022;Total male and female, including unknown;Total age;87;2012 3rd Quarter;5;5
3023;Total male and female, including unknown;Total age;87;2012 October;0;0
3024;Total male and female, including unknown;Total age;87;2012 November;15;15
3025;Total male and female, including unknown;Total age;87;2012 December;10;10
3026;Total male and female, including unknown;Total age;87;2012 4th Quarter;25;25
3027;Total male and female, including unknown;Total age;87;2012;40;30
3028;Total male and female, including unknown;Total age;87;2013 January;0;0
3029;Total male and female, including unknown;Total age;87;2013 February;0;0
3030;Total male and female, including unknown;Total age;87;2013 March;5;5
3031;Total male and female, including unknown;Total age;87;2013 1st Quarter;5;5
3032;Total male and female, including unknown;Total age;87;2013 April;0;0
3033;Total male and female, including unknown;Total age;87;2013 May;0;0
3034;Total male and female, including unknown;Total age;87;2013 June;5;5
3035;Total male and female, including unknown;Total age;87;2013 2nd Quarter;5;5
3036;Total male and female, including unknown;Total age;87;2013 July;20;20
3037;Total male and female, including unknown;Total age;87;2013 August;0;0
3038;Total male and female, including unknown;Total age;87;2013 September;15;15
3039;Total male and female, including unknown;Total age;87;2013 3rd Quarter;35;35
3040;Total male and female, including unknown;Total age;87;2013 October;5;5
3041;Total male and female, including unknown;Total age;87;2013 November;0;0
3042;Total male and female, including unknown;Total age;87;2013 December;0;0
3043;Total male and female, including unknown;Total age;87;2013 4th Quarter;5;5
3044;Total male and female, including unknown;Total age;87;2013;50;50
3045;Total male and female, including unknown;Total age;87;2014 January;5;5
3046;Total male and female, including unknown;Total age;87;2014 February;5;5
3047;Total male and female, including unknown;Total age;87;2014 March;5;5
3048;Total male and female, including unknown;Total age;87;2014 1st Quarter;20;20
3049;Total male and female, including unknown;Total age;87;2014 April;0;0
3050;Total male and female, including unknown;Total age;87;2014 May;5;5
3051;Total male and female, including unknown;Total age;87;2014 June;0;0
3052;Total male and female, including unknown;Total age;87;2014 2nd Quarter;5;5
3053;Total male and female, including unknown;Total age;87;2014 July;10;10
3054;Total male and female, including unknown;Total age;87;2014 August;5;5
3055;Total male and female, including unknown;Total age;87;2014 September;5;5
3056;Total male and female, including unknown;Total age;87;2014 3rd Quarter;15;15
3057;Total male and female, including unknown;Total age;87;2014 October;5;5
3058;Total male and female, including unknown;Total age;87;2014 November;10;10
3059;Total male and female, including unknown;Total age;87;2014 December;5;5
3060;Total male and female, including unknown;Total age;87;2014 4th Quarter;20;20
3061;Total male and female, including unknown;Total age;87;2014;60;60
3062;Total male and female, including unknown;Total age;87;2015 January;5;5
3063;Total male and female, including unknown;Total age;87;2015 February;20;20
3064;Total male and female, including unknown;Total age;87;2015 March;5;5
3065;Total male and female, including unknown;Total age;87;2015 1st Quarter;35;35
3066;Total male and female, including unknown;Total age;87;2015 April;20;20
3067;Total male and female, including unknown;Total age;87;2015 May;65;65
3068;Total male and female, including unknown;Total age;87;2015 June;160;160
3069;Total male and female, including unknown;Total age;87;2015 2nd Quarter;245;245
3070;Total male and female, including unknown;Total age;87;2015 July;110;110
3071;Total male and female, including unknown;Total age;87;2015 August;105;105
3072;Total male and female, including unknown;Total age;87;2015 September;55;50
3073;Total male and female, including unknown;Total age;87;2015 3rd Quarter;270;270
3074;Total male and female, including unknown;Total age;87;2015 October;60;60
3075;Total male and female, including unknown;Total age;87;2015 November;30;30
3076;Total male and female, including unknown;Total age;87;2015 December;50;50
3077;Total male and female, including unknown;Total age;87;2015 4th Quarter;140;135
3078;Total male and female, including unknown;Total age;87;2015;690;685
3079;Total male and female, including unknown;Total age;87;2016 January;60;60
3080;Total male and female, including unknown;Total age;127;2007 January;10;5
3081;Total male and female, including unknown;Total age;127;2007 February;5;0
3082;Total male and female, including unknown;Total age;127;2007 March;0;0
3083;Total male and female, including unknown;Total age;127;2007 1st Quarter;15;5
3084;Total male and female, including unknown;Total age;127;2007 April;5;0
3085;Total male and female, including unknown;Total age;127;2007 May;0;0
3086;Total male and female, including unknown;Total age;127;2007 June;5;5
3087;Total male and female, including unknown;Total age;127;2007 2nd Quarter;15;5
3088;Total male and female, including unknown;Total age;127;2007 July;5;5
3089;Total male and female, including unknown;Total age;127;2007 August;0;0
3090;Total male and female, including unknown;Total age;127;2007 September;0;0
3091;Total male and female, including unknown;Total age;127;2007 3rd Quarter;5;5
3092;Total male and female, including unknown;Total age;127;2007 October;5;5
3093;Total male and female, including unknown;Total age;127;2007 November;5;5
3094;Total male and female, including unknown;Total age;127;2007 December;0;0
3095;Total male and female, including unknown;Total age;127;2007 4th Quarter;10;10
3096;Total male and female, including unknown;Total age;127;2007;45;20
3097;Total male and female, including unknown;Total age;127;2008 January;0;0
3098;Total male and female, including unknown;Total age;127;2008 February;0;0
3099;Total male and female, including unknown;Total age;127;2008 March;5;5
3100;Total male and female, including unknown;Total age;127;2008 1st Quarter;10;5
3101;Total male and female, including unknown;Total age;127;2008 April;5;0
3102;Total male and female, including unknown;Total age;127;2008 May;0;0
3103;Total male and female, including unknown;Total age;127;2008 June;5;5
3104;Total male and female, including unknown;Total age;127;2008 2nd Quarter;10;10
3105;Total male and female, including unknown;Total age;127;2008 July;10;5
3106;Total male and female, including unknown;Total age;127;2008 August;10;10
3107;Total male and female, including unknown;Total age;127;2008 September;5;5
3108;Total male and female, including unknown;Total age;127;2008 3rd Quarter;25;15
3109;Total male and female, including unknown;Total age;127;2008 October;15;15
3110;Total male and female, including unknown;Total age;127;2008 November;5;5
3111;Total male and female, including unknown;Total age;127;2008 December;15;15
3112;Total male and female, including unknown;Total age;127;2008 4th Quarter;35;35
3113;Total male and female, including unknown;Total age;127;2008;80;65
3114;Total male and female, including unknown;Total age;127;2009 January;5;5
3115;Total male and female, including unknown;Total age;127;2009 February;5;5
3116;Total male and female, including unknown;Total age;127;2009 March;0;0
3117;Total male and female, including unknown;Total age;127;2009 1st Quarter;10;10
3118;Total male and female, including unknown;Total age;127;2009 April;5;5
3119;Total male and female, including unknown;Total age;127;2009 May;10;10
3120;Total male and female, including unknown;Total age;127;2009 June;10;5
3121;Total male and female, including unknown;Total age;127;2009 2nd Quarter;25;20
3122;Total male and female, including unknown;Total age;127;2009 July;20;20
3123;Total male and female, including unknown;Total age;127;2009 August;15;10
3124;Total male and female, including unknown;Total age;127;2009 September;0;0
3125;Total male and female, including unknown;Total age;127;2009 3rd Quarter;35;30
3126;Total male and female, including unknown;Total age;127;2009 October;10;10
3127;Total male and female, including unknown;Total age;127;2009 November;20;20
3128;Total male and female, including unknown;Total age;127;2009 December;15;15
3129;Total male and female, including unknown;Total age;127;2009 4th Quarter;45;40
3130;Total male and female, including unknown;Total age;127;2009;115;100
3131;Total male and female, including unknown;Total age;127;2010 January;15;15
3132;Total male and female, including unknown;Total age;127;2010 February;10;10
3133;Total male and female, including unknown;Total age;127;2010 March;25;20
