ID;WijkenEnGemeenten;BewoondeHuizen_1;OnbewoondeWoonhuizen_2;WoonhuizenInAanbouw_3;OverigeOnbewoondeGebouwen_4;PermanentAanwezig_5;TijdelijkAanwezig_6;PermanentAanwezig_7;TijdelijkAanwezig_8;Mannen_9;Vrouwen_10;TotaleBevolking_11;Mannen_12;Vrouwen_13;Pagina_14
2291;K, dorp Ureterp, Huizen;39;1;0;0;0;0;0;0;82;85;167;3;10;FR033
2292;K, dorp Duurswoude, Huizen;21;0;0;0;0;0;0;0;44;40;84;1;0;FR033
2293;K, dorp geh. Bakkeveen, Huizen;56;1;0;2;0;0;0;0;127;111;238;2;1;FR033
2294;K, dorp Wijnjeterp, Huizen;9;0;0;0;0;0;0;0;23;22;45;0;0;FR033
2295;K, dorp Lippenhuizen, Huizen;88;3;0;3;0;0;0;0;190;191;381;9;6;FR033
2296;K, dorp Gorredijk, Huizen;349;11;0;12;0;0;0;0;671;765;1436;28;21;FR034
2297;K, dorp Gorredijk, Schepen;0;0;0;0;14;0;0;0;32;22;54;0;0;FR034
2298;K, dorp Gorredijk, Tijd. aanw. schepen;0;0;0;0;0;4;0;0;0;0;0;13;9;FR034
2299;K, dorp Gorredijk, Tijd. aanw. woonw.;0;0;0;0;0;0;0;3;0;0;0;7;7;FR034
2300;K, dorp Kortezwaag, Huizen;3;0;0;0;0;0;0;0;1;4;5;0;1;FR034
2301;K, gehucht Oosterend, Huizen;79;7;0;0;0;0;0;0;160;146;306;6;1;FR034
2302;Onbekend;0;0;0;0;0;0;0;0;1;0;1;0;0;FR035
2303;Algemeen totaal;694;25;0;26;23;12;0;0;1405;1411;2816;99;76;FR036
2304;B, Totaal;220;2;0;2;1;3;0;0;450;410;860;29;19;FR036
2305;B, Deersum, Huizen;47;0;0;0;0;0;0;0;48;52;100;2;2;FR036
2306;B, Irnsum, Huizen;45;2;0;1;0;0;0;0;103;86;189;4;2;FR036
2307;B, Poppingawier, Huizen;28;0;0;0;0;0;0;0;66;57;123;5;1;FR036
2308;B, Rauwerd, Huizen;62;0;0;0;0;0;0;0;154;144;298;6;6;FR036
2309;B, Sijbrandaburen, Huizen;5;0;0;0;0;0;0;0;12;9;21;0;0;FR036
2310;B, Terzool, Huizen;33;0;0;1;0;0;0;0;66;62;128;2;0;FR036
2311;B, Terzool, Schepen;0;0;0;0;1;0;0;0;1;0;1;0;0;FR036
2312;B, Terzool, Tijd. aanw. schepen;0;0;0;0;0;3;0;0;0;0;0;10;8;FR036
2313;K, Totaal;474;23;0;24;22;9;0;0;954;1001;1955;70;57;FR036
2314;K, dorp Deersum, Huizen;18;3;0;3;0;0;0;0;99;100;199;5;4;FR035
2315;K, dorp Deersum, Schepen;0;0;0;0;2;0;0;0;2;4;6;1;1;FR035
2316;K, Irnsum, Huizen;193;11;0;10;0;0;0;0;335;349;684;15;13;FR035
2317;K, Irnsum, Schepen;0;0;0;0;3;0;0;0;6;6;12;0;0;FR035
2318;K, Irnsum, Tijd. aanw. schepen;0;0;0;0;0;5;0;0;0;0;0;13;12;FR035
2319;K, Poppingawier, Huizen;58;3;0;3;0;0;0;0;105;99;204;4;3;FR036
2320;K, Poppingawier, Schepen;0;0;0;0;6;0;0;0;13;10;23;0;0;FR036
2321;K, Rauwerd, Huizen;107;6;0;3;0;0;0;0;166;195;361;12;5;FR036
2322;K, Rauwerd, Schepen;0;0;0;0;5;0;0;0;12;7;19;0;0;FR036
2323;K, Rauwerd, Tijd. aanw. schepen;0;0;0;0;0;3;0;0;0;0;0;6;4;FR036
2324;K, Sijbrandaburen, Huizen;50;0;0;2;0;0;0;0;90;96;186;7;6;FR036
2325;K, Sijbrandaburen, Schepen;0;0;0;0;3;0;0;0;6;7;13;0;1;FR036
2326;K, Sijbrandaburen, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;2;3;FR036
2327;K, Terzool, Huizen;48;0;0;3;0;0;0;0;114;122;236;5;5;FR036
2328;K, Terzool, Schepen;0;0;0;0;3;0;0;0;6;6;12;0;0;FR036
2329;Onbekend;0;0;0;0;0;0;0;0;1;0;1;0;0;FR036
2330;Algemeen totaal;191;24;0;39;0;0;0;0;332;368;700;4;3;FR036
2331;B, Totaal;17;2;0;19;0;0;0;0;49;35;84;0;0;FR036
2332;B, B, (duinen), Huizen;8;2;0;12;0;0;0;0;21;13;34;0;0;FR036
2333;B, B, (polder), Huizen;9;0;0;7;0;0;0;0;28;22;50;0;0;FR036
2334;K, Totaal;174;22;0;20;0;0;0;0;283;333;616;4;3;FR036
2335;K, A, Dorp, Huizen;163;20;0;19;0;0;0;0;246;298;544;4;3;FR036
2336;K, Zevenhuizen, Huizen;6;0;0;0;0;0;0;0;16;15;31;0;0;FR036
2337;K, Vierhuizen, Huizen;5;2;0;1;0;0;0;0;21;20;41;0;0;FR036
2338;Algemeen totaal;144;5;0;25;13;3;0;0;430;417;847;14;11;FR039
2339;B, Totaal;7;0;0;0;7;0;0;0;35;33;68;0;1;FR039
2340;B, Huizen;7;0;0;0;0;0;0;0;17;20;37;0;1;FR039
2341;B, Schepen;0;0;0;0;7;0;0;0;18;13;31;0;0;FR039
2342;K, Totaal;137;5;0;25;6;3;0;0;395;384;779;14;10;FR039
2343;K, Kazerne Kon. Marechaussee;1;0;0;0;0;0;0;0;7;7;14;0;0;FR039
2344;K, Overige huizen;136;5;0;25;0;0;0;0;375;364;739;8;5;FR039
2345;K, Schepen;0;0;0;0;6;0;0;0;13;13;26;0;0;FR039
2346;K, Tijdelijke aanwezige schepen;0;0;0;0;0;3;0;0;0;0;0;6;5;FR039
2347;Algemeen totaal;2343;36;2;79;61;21;0;0;5546;5201;10747;170;157;FR040
2348;B, Totaal;1585;20;0;31;49;14;0;0;4019;3637;7656;87;82;FR040
2349;B, A, Dorp Dragten, Huizen;56;1;0;0;0;0;0;0;173;151;324;3;3;FR040
2350;B, B, Dorp Dragten, Huizen;77;0;0;0;0;0;0;0;180;177;357;1;4;FR040
2351;B, D, Dorp Dragten, Huizen;68;1;0;3;0;0;0;0;141;129;270;2;2;FR040
2352;B, E, Dorp Dragten, Kaz. Kon. Marechaus.;1;0;0;0;0;0;0;0;6;2;8;0;0;FR040
2353;B, E, Dorp Dragten, Overige huizen;66;3;0;3;0;0;0;0;193;146;339;3;4;FR040
2354;B, F, Dorp Dragten, Huizen;56;0;0;0;0;0;0;0;141;110;251;0;2;FR040
2355;B, G, Dorp Dragten, Huizen;174;2;0;4;0;0;0;0;445;433;878;3;2;FR040
2356;B, H, Dorp Dragten, Huizen;168;1;0;3;0;0;0;0;441;390;831;3;2;FR040
2357;B, I, Dorp Dragten, Huizen;72;0;0;1;0;0;0;0;163;145;308;2;0;FR040
2358;B, K, Dorp Dragten, Huizen;81;0;0;1;0;0;0;0;175;161;336;2;1;FR040
2359;B, K, Dorp Dragten, Schepen;0;0;0;0;29;0;0;0;60;57;117;3;3;FR040
2360;B, K, Dorp Dragten, Tijd. aanw. sch.;0;0;0;0;0;1;0;0;0;0;0;2;1;FR040
2361;B, A, Dorp Opeinde, Huizen;64;0;0;1;0;0;0;0;147;151;298;2;2;FR040
2362;B, B, Dorp Opeinde, Huizen;76;1;0;4;0;0;0;0;174;160;334;1;2;FR040
2363;B, C, Dorp Opeinde, Huizen;56;0;0;2;0;0;0;0;126;123;249;3;2;FR040
2364;B, C, Dorp Opeinde, Schepen;0;0;0;0;6;0;0;0;17;11;28;0;1;FR040
2365;B, C, Dorp Opeinde, Tijd. aanw. schepen;0;0;0;0;0;4;0;0;0;0;0;11;9;FR040
2366;B, A, Dorp Nijega, Huizen;47;0;0;0;0;0;0;0;120;114;234;4;2;FR040
2367;B, B, Dorp Nijega, Huizen;118;1;0;3;0;0;0;0;285;262;547;1;2;FR040
2368;B, B, Dorp Nijega, Schepen;0;0;0;0;2;0;0;0;3;1;4;0;0;FR040
2369;B, A, Dorp Oudega, Huizen;17;0;0;0;0;0;0;0;57;48;105;0;0;FR040
2370;B, B, Dorp Oudega, Huizen;45;1;0;2;0;0;0;0;140;124;264;5;2;FR040
2371;B, C, Dorp Oudega, Huizen;37;1;0;0;0;0;0;0;100;73;173;0;0;FR040
2372;B, C, Dorp Oudega, Schepen;0;0;0;0;5;0;0;0;7;5;12;0;0;FR040
2373;B, A, Dorp Boornbergum, Huizen;148;5;0;2;0;0;0;0;316;294;610;10;7;FR040
2374;B, B, Dorp Boornbergum, Huizen;81;2;0;1;0;0;0;0;200;166;366;4;2;FR040
2375;B, C, Dorp Boornbergum, Huizen;21;0;0;0;0;0;0;0;71;73;144;1;4;FR040
2376;B, C, Dorp Boornbergum, Schepen;0;0;0;0;7;0;0;0;15;20;35;1;2;FR040
2377;B, C, Dorp Boornbergum, Tijd. aanw. sch.;0;0;0;0;0;9;0;0;0;0;0;19;21;FR040
2378;B, Dorp Kortehemmen, Huizen;56;1;0;1;0;0;0;0;123;111;234;1;0;FR040
2379;K, Totaal;758;16;2;48;12;7;0;0;1527;1563;3090;83;75;FR039
2380;K, A, Dorp Dragten, Huizen;73;2;0;12;0;0;0;0;138;163;301;9;5;FR039
2381;K, B, Dorp Dragten, Huizen;103;1;0;6;0;0;0;0;187;227;414;15;6;FR039
2382;K, C, Dorp Dragten, Arm- en Weeshuis;1;3;0;7;0;0;0;0;31;29;60;1;0;FR039
2383;K, C, Dorp Dragten, Overige huizen;123;0;0;0;0;0;0;0;235;259;494;16;19;FR039
2384;K, D, Dorp Dragten, Huizen;21;0;0;2;0;0;0;0;48;30;78;0;1;FR039
2385;K, E, Dorp Dragten, Huizen;90;4;2;5;0;0;0;0;161;176;337;13;19;FR039
2386;K, L, Dorp Dragten, Huizen;106;0;0;4;0;0;0;0;202;193;395;9;6;FR039
2387;K, M, Dorp Dragten, Huizen;112;4;0;6;0;0;0;0;219;237;456;9;11;FR039
2388;K, M, Dorp Dragten, Schepen;0;0;0;0;10;0;0;0;26;12;38;0;0;FR039
2389;K, M, Dorp Dragten, Tijd. aanw. sch.;0;0;0;0;0;6;0;0;0;0;0;9;7;FR039
2390;K, C, Dorp Opeinde, Huizen;26;0;0;1;0;0;0;0;69;46;115;1;0;FR039
2391;K, C, Dorp Opeinde, Schepen;0;0;0;0;2;0;0;0;3;2;5;0;0;FR039
2392;K, C, Dorp Opeinde, Tijd. aanw. sch.;0;0;0;0;0;1;0;0;0;0;0;1;0;FR039
2393;K, A, Dorp Oudega, Huizen;88;2;0;4;0;0;0;0;173;157;330;0;0;FR039
2394;K, B, Dorp Oudega, Huizen;15;0;0;1;0;0;0;0;35;32;67;0;1;FR039
2395;Onbekend;0;0;0;0;0;0;0;0;0;1;1;0;0;FR040
2396;Algemeen totaal;2428;41;2;286;124;53;1;0;5736;6339;12075;328;275;FR041
2397;B, Totaal;135;6;2;65;65;11;0;0;504;451;955;21;20;FR041
2398;B, 14, Huizen;2;1;0;8;0;0;0;0;8;10;18;0;0;FR041
2399;B, 15, Huizen;16;0;0;0;0;0;0;0;27;24;51;0;0;FR041
2400;B, 16, Huizen;18;4;0;41;0;0;0;0;53;55;108;1;1;FR041
2401;B, 17, Huizen;59;0;0;0;0;0;0;0;157;131;288;0;2;FR041
2402;B, 18, Huizen;23;1;2;16;0;0;0;0;51;56;107;0;2;FR041
2403;B, 19, Huizen;1;0;0;0;0;0;0;0;2;3;5;0;0;FR041
2404;B, 20, Huizen;16;0;0;0;0;0;0;0;37;25;62;0;0;FR041
2405;B, 20, Schepen;0;0;0;0;65;0;0;0;169;147;316;0;0;FR041
2406;B, 20, Tijd. aanw. schepen;0;0;0;0;0;11;0;0;0;0;0;20;15;FR041
2407;K, Totaal;2293;35;0;221;59;42;1;0;5228;5882;11110;307;255;FR041
2408;K, 1, Huizen;101;5;0;11;0;0;0;0;236;257;493;10;10;FR040
2409;K, 2, Huizen;94;3;0;14;0;0;0;0;199;247;446;13;8;FR040
2410;K, 3, Huizen;128;2;0;19;0;0;0;0;272;320;592;6;5;FR040
2411;K, 4, Huizen;94;1;0;14;0;0;0;0;227;256;483;9;14;FR040
2412;K, 5, Strafgevangenis;1;0;0;0;0;0;0;0;1;3;4;13;0;FR040
2413;K, 5, Old Burger Weeshuis;1;0;0;0;0;0;0;0;22;26;48;2;0;FR041
2414;K, 5, Overige huizen;86;1;0;7;0;0;0;0;185;268;453;15;7;FR041
2415;K, 6, Huizen;29;0;0;2;0;0;0;0;72;97;169;3;1;FR041
2416;K, 7, Huizen;101;1;0;20;0;0;0;0;187;263;450;13;16;FR041
2417;K, 8, Huizen;154;1;0;13;0;0;0;0;287;373;660;9;7;FR041
2418;K, 9, R.K. Wees- en Armhuis;1;0;0;0;0;0;0;0;7;29;36;0;0;FR041
2419;K, 9, Armenhuis Burgerl. Gem.;1;0;0;0;0;0;0;0;35;20;55;1;2;FR041
2420;K, 9, Overige huizen;80;2;0;17;0;0;0;0;213;219;432;10;6;FR041
2421;K, 10, Huizen;49;4;0;3;0;0;0;0;112;136;248;8;10;FR041
2422;K, 11, Huizen;85;2;0;20;0;0;0;0;183;265;448;7;10;FR041
2423;K, 12, Huizen;38;3;0;13;0;0;0;0;65;110;175;7;7;FR041
2424;K, 13, Huizen;41;0;0;9;0;0;0;0;80;98;178;3;3;FR041
2425;K, 14, Huizen;119;0;0;0;0;0;0;0;259;293;552;9;5;FR041
2426;K, 15, Huizen;143;7;0;15;0;0;0;0;333;339;672;6;4;FR041
2427;K, 16, Huizen;239;0;0;0;0;0;0;0;545;553;1098;20;24;FR041
2428;K, 17, Huizen;256;2;0;14;0;0;0;0;575;568;1143;13;10;FR041
2429;K, 18, Huizen;76;0;0;0;0;0;0;0;161;185;346;7;5;FR041
2430;K, 19, Huizen;175;0;0;10;0;0;0;0;389;402;791;11;4;FR041
2431;K, 20, Huizen;201;1;0;20;0;0;0;0;438;443;881;16;17;FR041
2432;K, 20, Woonwagen;0;0;0;0;0;0;1;0;7;2;9;0;0;FR041
2433;K, 20, Schepen;0;0;0;0;59;0;0;0;138;110;248;4;1;FR041
2434;K, 20, Tijd. aanw. schepen;0;0;0;0;0;42;0;0;0;0;0;92;79;FR041
2435;Onbekend;0;0;0;0;0;0;0;0;4;6;10;0;0;FR041
2436;Algemeen totaal;719;17;0;63;0;3;0;0;1900;2029;3929;34;26;NH055
2437;B, Totaal;304;7;0;6;0;3;0;0;733;737;1470;19;10;NH055
2438;B, A, Westerschelling, Huizen;4;0;0;0;0;0;0;0;10;8;18;0;0;NH054
2439;B, A, Westerschelling, Tijd. aanw. sch.;0;0;0;0;0;3;0;0;0;0;0;8;3;NH054
2440;B, B, Hee, Huizen;6;0;0;0;0;0;0;0;25;14;39;0;0;NH054
2441;B, B, Kooi, Huizen;1;0;0;0;0;0;0;0;5;1;6;0;0;NH054
2442;B, B, Stortum, Huizen;2;0;0;0;0;0;0;0;4;2;6;0;0;NH054
2443;B, B, Kaart, Huizen;4;0;0;0;0;0;0;0;13;20;33;1;2;NH054
2444;B, B, Kinnum, Huizen;36;1;0;1;0;0;0;0;88;94;182;0;0;NH054
2445;B, B, Surijp, Huizen;12;0;0;0;0;0;0;0;30;28;58;0;0;NH054
2446;B, B, Midsland, Huizen;12;0;0;0;0;0;0;0;34;32;66;1;0;NH055
2447;B, B, Landerum, Huizen;27;0;0;0;0;0;0;0;66;76;142;0;0;NH055
2448;B, B, Formerum, Huizen;36;0;0;2;0;0;0;0;65;72;137;1;1;NH055
2449;B, C, Formerum, Huizen;30;1;0;0;0;0;0;0;67;70;137;0;0;NH055
2450;B, C, Lies, Huizen;50;2;0;0;0;0;0;0;116;121;237;3;2;NH055
2451;B, C, Hoorn, Huizen;47;3;0;3;0;0;0;0;101;105;206;4;2;NH055
2452;B, C, Oosterend, Huizen;37;0;0;0;0;0;0;0;109;94;203;1;0;NH055
2453;K, Totaal;486;10;0;57;0;0;0;0;1166;1292;2458;15;16;NH054
2454;K, A, Westerschelling, Huizen;392;6;0;49;0;0;0;0;966;1052;2018;12;15;NH054
2455;K, B, Midsland, Huizen;94;4;0;8;0;0;0;0;200;240;440;3;1;NH054
2456;Onbekend;0;0;0;0;0;0;0;0;1;0;1;0;0;NH055
2457;Algemeen totaal;3208;19;2;106;117;32;0;0;7400;7052;14452;229;200;FR043
2458;B, Totaal;2270;13;2;49;117;32;0;0;5585;5172;10757;166;140;FR043
2459;B, dorp Wijns, Huizen;15;0;0;3;0;0;0;0;49;49;98;0;2;FR042
2460;B, dorp Wijns, Schepen;0;0;0;0;1;0;0;0;2;3;5;0;0;FR042
2461;B, dorp Wijns, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;3;2;FR042
2462;B, dorp Oudkerk, Huizen;50;0;0;5;0;0;0;0;100;78;178;2;1;FR042
2463;B, dorp Oudkerk, Schepen;0;0;0;0;5;0;0;0;15;12;27;0;0;FR042
2464;B, dorp Oudkerk, Tijd. aanw. schepen;0;0;0;0;0;3;0;0;0;0;0;5;4;FR042
2465;B, dorp Oenkerk, Huizen;209;2;0;8;0;0;0;0;369;323;692;7;2;FR042
2466;B, dorp Oenkerk, Schepen;0;0;0;0;10;0;0;0;16;20;36;0;0;FR042
2467;B, dorp Oenkerk, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;3;3;FR042
2468;B, dorp Giekerk, Huizen;163;1;0;7;0;0;0;0;359;342;701;12;4;FR042
2469;B, dorp Giekerk, Schepen;0;0;0;0;4;0;0;0;13;13;26;0;0;FR042
2470;B, dorp Giekerk, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;4;1;FR043
2471;"B, dorp Rijperkerk, Sticht. ""Toutenburg""";2;0;0;0;0;0;0;0;16;22;38;0;0;FR043
2472;B, dorp Rijperkerk, Overige huizen;110;1;0;0;0;0;0;0;225;223;448;2;2;FR043
2473;B, dorp Rijperkerk, Schepen;0;0;0;0;1;0;0;0;1;0;1;0;0;FR043
2474;B, dorp Rijperkerk, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;1;1;FR043
2475;B, dorp Tietjerk, Huizen;133;1;0;0;0;0;0;0;315;268;583;3;5;FR043
2476;B, dorp Tietjerk, Schepen;0;0;0;0;3;0;0;0;5;5;10;0;0;FR043
2477;B, dorp Tietjerk, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;5;5;FR043
2478;B, dorp Suawoude, Huizen;67;0;0;1;0;0;0;0;167;148;315;0;1;FR043
2479;B, dorp Suawoude, Schepen;0;0;0;0;5;0;0;0;6;10;16;0;0;FR043
2480;B, dorp Suawoude, Tijd. aanw. schepen;0;0;0;0;0;4;0;0;0;0;0;13;7;FR043
2481;B, dorp Hardegarijp, Huizen;190;0;0;1;0;0;0;0;493;450;943;12;9;FR043
2482;B, dorp Hardegarijp, Schepen;0;0;0;0;8;0;0;0;21;13;34;0;0;FR043
2483;B, dorp Hardegarijp, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;3;1;FR043
2484;B, dorp Bergum, Armhuis;1;0;0;0;0;0;0;0;29;13;42;0;0;FR043
2485;B, dorp Bergum, Overige huizen;641;7;1;14;0;0;0;0;1432;1383;2815;35;32;FR043
2486;B, dorp Bergum, Schepen;0;0;0;0;40;0;0;0;108;85;193;0;1;FR043
2487;B, dorp Bergum, Tijd. aanw. schepen;0;0;0;0;0;11;0;0;0;0;0;21;19;FR043
2488;B, dorp Eestrum, Huizen;98;0;0;1;0;0;0;0;171;156;327;2;2;FR043
2489;B, dorp Eestrum, Schepen;0;0;0;0;1;0;0;0;3;4;7;0;0;FR043
2490;B, dorp Oostermeer, Huizen;175;1;1;4;0;0;0;0;436;399;835;10;11;FR043
2491;B, dorp Oostermeer, Schepen;0;0;0;0;18;0;0;0;57;42;99;1;2;FR043
2492;B, dorp Oostermeer, Tijd. aanw. schepen;0;0;0;0;0;3;0;0;0;0;0;5;1;FR043
2493;B, dorp Suameer, Huizen;215;0;0;2;0;0;0;0;550;527;1077;3;6;FR043
2494;B, dorp Garijp, Huizen;188;0;0;1;0;0;0;0;533;502;1035;6;7;FR043
2495;B, dorp Garijp, Schepen;0;0;0;0;8;0;0;0;23;16;39;0;0;FR043
2496;B, dorp Garijp, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;3;4;FR043
2497;B, dorp Eernewoude, Huizen;13;0;0;2;0;0;0;0;40;43;83;0;0;FR043
2498;B, dorp Eernewoude, Schepen;0;0;0;0;13;0;0;0;31;23;54;0;1;FR043
2499;B, dorp Eernewoude, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;5;4;FR043
2500;K, Totaal;938;6;0;57;0;0;0;0;1809;1878;3687;63;60;FR042
2501;K, dorp Wijns, Huizen;28;0;0;3;0;0;0;0;40;36;76;2;0;FR042
2502;K, dorp Oudkerk, Huizen;102;0;0;6;0;0;0;0;226;217;443;3;7;FR042
2503;K, dorp Oenkerk, Huizen;56;1;0;5;0;0;0;0;197;195;392;7;6;FR042
2504;K, dorp Rijperkerk, Huizen;64;0;0;3;0;0;0;0;108;105;213;0;2;FR042
2505;K, dorp Tietjerk, Huizen;31;0;0;3;0;0;0;0;85;83;168;3;3;FR042
2506;K, dorp Suawoude, Huizen;31;0;0;3;0;0;0;0;53;58;111;3;5;FR042
2507;K, dorp Hardegarijk, Huizen;95;1;0;3;0;0;0;0;105;117;222;5;8;FR042
2508;K, dorp Bergum, Huizen;158;0;0;9;0;0;0;0;288;328;616;18;13;FR042
2509;K, dorp Eestrum, Huizen;55;1;0;3;0;0;0;0;171;169;340;4;4;FR042
2510;K, dorp Oostermeer, Armhuis;1;0;0;0;0;0;0;0;1;5;6;0;0;FR042
2511;K, dorp Oostermeer, Overige huizen;110;0;0;4;0;0;0;0;191;199;390;13;11;FR042
2512;K, dorp Suameer, Huizen;40;1;0;2;0;0;0;0;77;74;151;0;0;FR042
2513;K, dorp Garijp, Huizen;119;1;0;8;0;0;0;0;183;214;397;4;0;FR042
2514;K, dorp Eernewoude, Huizen;48;1;0;5;0;0;0;0;84;78;162;1;1;FR042
2515;Onbekend;0;0;0;0;0;0;0;0;6;2;8;0;0;FR043
2516;Algemeen totaal;1079;31;0;143;87;24;0;0;2526;2529;5055;133;119;FR044
2517;B, Totaal;228;4;0;11;87;24;0;0;836;720;1556;72;55;FR044
2518;B, Dorp Oldeboorn, Huizen;74;1;0;3;0;0;0;0;185;177;362;3;4;FR044
2519;B, Dorp Oldeboorn, Schepen;0;0;0;0;35;0;0;0;75;63;138;0;0;FR044
2520;B, Dorp Oldeboorn, Tijd. aanw. schepen;0;0;0;0;0;5;0;0;0;0;0;13;6;FR044
2521;B, Dorp Akkrum, Huizen;51;1;0;3;0;0;0;0;149;114;263;3;3;FR044
2522;B, Dorp Akkrum, Schepen;0;0;0;0;17;0;0;0;41;47;88;0;0;FR044
2523;B, Dorp Akkrum, Tijd. aanw. schepen;0;0;0;0;0;7;0;0;0;0;0;20;17;FR044
2524;B, Dorp Nes, Huizen;21;0;0;0;0;0;0;0;85;68;153;1;1;FR044
2525;B, Dorp Nes, Schepen;0;0;0;0;1;0;0;0;2;1;3;0;0;FR044
2526;B, Dorp Terhorne, Huizen;9;0;0;0;0;0;0;0;30;24;54;1;0;FR044
2527;B, Dorp Terhorne, Schepen;0;0;0;0;29;0;0;0;75;55;130;0;0;FR044
2528;B, Dorp Terhorne, Tijd. aanw. schepen;0;0;0;0;0;10;0;0;0;0;0;24;19;FR044
2529;B, Dorp Terkaple, Huizen;33;2;0;2;0;0;0;0;85;69;154;4;3;FR044
2530;B, Dorp Terkaple, Schepen;0;0;0;0;2;0;0;0;2;3;5;0;0;FR044
2531;B, Dorp Terkaple, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;1;1;FR044
2532;B, Dorp Akmarijp, Huizen;40;0;0;3;0;0;0;0;99;93;192;1;0;FR044
2533;B, Dorp Akmarijp, Schepen;0;0;0;0;3;0;0;0;8;6;14;0;0;FR044
2534;B, Dorp Akmarijp, Tijd. aanw. schepen;0;0;0;0;0;1;0;0;0;0;0;1;1;FR044
2535;K, Totaal;851;27;0;132;0;0;0;0;1689;1809;3498;61;64;FR043
2536;K, Dorp Oldeboorn, Huizen;349;16;0;51;0;0;0;0;676;772;1448;22;21;FR043
2537;K, Dorp Akkrum, Huizen;360;3;0;72;0;0;0;0;735;763;1498;33;35;FR043
2538;K, Dorp Nes, Huizen;10;0;0;0;0;0;0;0;20;23;43;0;1;FR043
2539;K, Dorp Terhorne, Huizen;132;8;0;9;0;0;0;0;258;251;509;6;7;FR043
2540;Onbekend;0;0;0;0;0;0;0;0;1;0;1;0;0;FR044
2541;Algemeen totaal;163;8;0;58;0;0;0;0;349;374;723;9;2;NH060
2542;B, Totaal;8;2;0;14;0;0;0;0;19;15;34;1;0;NH060
2543;B, B, Huizen;6;0;0;6;0;0;0;0;17;11;28;1;0;NH060
2544;B, C, Huizen;2;2;0;8;0;0;0;0;2;4;6;0;0;NH060
2545;K, Totaal;155;6;0;44;0;0;0;0;330;359;689;8;2;NH060
2546;K, A, Wees- en Armhuis;1;0;0;0;0;0;0;0;3;3;6;0;0;NH060
2547;K, A, Overige huizen;154;6;0;44;0;0;0;0;327;356;683;8;2;NH060
2548;Algemeen totaal;1394;36;0;48;39;6;0;0;3695;3893;7588;98;73;FR045
2549;B, Totaal;529;14;0;18;0;0;0;0;1042;1012;2054;23;24;FR045
2550;B, Dorp Holwerd, Huizen;47;2;0;3;0;0;0;0;168;175;343;5;3;FR045
2551;B, Dorp Ternaard, Huizen;99;2;0;2;0;0;0;0;175;176;351;2;2;FR045
2552;B, Dorp Wierum, Huizen;23;0;0;0;0;0;0;0;56;44;100;0;2;FR045
2553;B, Dorp Nes, Huizen;164;5;0;3;0;0;0;0;119;125;244;5;5;FR045
2554;B, Dorp Hantumhuizen, Huizen;26;0;0;1;0;0;0;0;76;58;134;2;2;FR045
2555;B, Dorp Hantum, Huizen;33;0;0;0;0;0;0;0;81;75;156;2;5;FR045
2556;B, Dorp Bornwird, Huizen;20;0;0;3;0;0;0;0;42;42;84;1;0;FR045
2557;B, Dorp Foudgum, Huizen;26;1;0;1;0;0;0;0;76;70;146;0;1;FR045
2558;B, Dorp Hantumeruitburen, Huizen;20;2;0;0;0;0;0;0;63;42;105;0;0;FR045
2559;B, Dorp Hiaure, Huizen;18;2;0;3;0;0;0;0;45;49;94;0;1;FR045
2560;B, Dorp Brantgum, Huizen;13;0;0;0;0;0;0;0;46;51;97;2;0;FR045
2561;B, Dorp Waaxens, Huizen;11;0;0;1;0;0;0;0;26;31;57;3;0;FR045
2562;B, Dorp Raard, Huizen;18;0;0;1;0;0;0;0;43;54;97;1;2;FR045
2563;B, Dorp Betterwird, Huizen;11;0;0;0;0;0;0;0;26;20;46;0;1;FR045
2564;K, Totaal;865;22;0;30;39;6;0;0;2653;2881;5534;75;49;FR045
2565;K, Dorp Holwerd, Armhuis;1;0;0;0;0;0;0;0;20;18;38;1;0;FR044
2566;K, Dorp Holwerd, Overige huizen;301;13;0;7;0;0;0;0;773;830;1603;22;14;FR044
2567;K, Dorp Holwerd, Schepen;0;0;0;0;8;0;0;0;16;15;31;0;1;FR044
2568;K, Dorp Holwerd, Tijd. aanw. schip;0;0;0;0;0;2;0;0;0;0;0;5;2;FR044
2569;K, Dorp Ternaard, Huizen;137;2;0;4;0;0;0;0;378;411;789;19;10;FR044
2570;K, Dorp Ternaard, Schepen;0;0;0;0;5;0;0;0;13;5;18;0;0;FR044
2571;K, Dorp Wierum, Huizen;114;2;0;3;0;0;0;0;338;378;716;2;6;FR044
2572;K, Dorp Wierum, Schepen;0;0;0;0;9;0;0;0;20;21;41;0;0;FR044
2573;K, Dorp Nes, Huizen;91;3;0;2;0;0;0;0;533;627;1160;9;1;FR044
