ID;StarRating;Regions;Periods;BusinessRelatedOvernightStays_1
625;1 star accommodations;Nederland;2021 May;10
626;1 star accommodations;Nederland;2021 June;10
627;1 star accommodations;Nederland;2021 2nd quarter;20
628;1 star accommodations;Nederland;2021 July;10
629;1 star accommodations;Nederland;2021 August;10
630;1 star accommodations;Nederland;2021 September;10
631;1 star accommodations;Nederland;2021 3rd quarter;20
632;1 star accommodations;Nederland;2021 October;10
633;1 star accommodations;Nederland;2021 November;10
634;1 star accommodations;Nederland;2021 December;0
635;1 star accommodations;Nederland;2021 4th quarter;20
636;1 star accommodations;Nederland;2021;70
637;1 star accommodations;Nederland;2022 January;0
638;1 star accommodations;Nederland;2022 February;10
639;1 star accommodations;Nederland;2022 March;10
640;1 star accommodations;Nederland;2022 1th quarter;10
641;1 star accommodations;Nederland;2022 April;10
642;1 star accommodations;Nederland;2022 May;10
643;1 star accommodations;Nederland;2022 June;0
644;1 star accommodations;Nederland;2022 2nd quarter;20
645;1 star accommodations;Nederland;2022 July;0
646;1 star accommodations;Nederland;2022 August;10
647;1 star accommodations;Nederland;2022 September;10
648;1 star accommodations;Nederland;2022 3rd quarter;20
649;1 star accommodations;Nederland;2022 October;10
650;1 star accommodations;Nederland;2022 November;10
651;1 star accommodations;Nederland;2022 December;0
652;1 star accommodations;Nederland;2022 4th quarter;20
653;1 star accommodations;Nederland;2022;70
654;1 star accommodations;Nederland;2023 January;0
655;1 star accommodations;Nederland;2023 February;10
656;1 star accommodations;Nederland;2023 March;10
657;1 star accommodations;Nederland;2023 1st quarter;20
658;1 star accommodations;Nederland;2023 April;10
659;1 star accommodations;Nederland;2023 May;10
660;1 star accommodations;Nederland;2023 June;10
661;1 star accommodations;Nederland;2023 2nd quarter;30
662;1 star accommodations;Nederland;2023 July;10
663;1 star accommodations;Nederland;2023 August;10
664;1 star accommodations;Nederland;2023 September;10
665;1 star accommodations;Nederland;2023 3rd quarter;30
666;1 star accommodations;Nederland;2023 October;10
667;1 star accommodations;Nederland;2023 November;10
668;1 star accommodations;Nederland;2023 December;10
669;1 star accommodations;Nederland;2023 4th quarter;30
670;1 star accommodations;Nederland;2023;110
671;1 star accommodations;Nederland;2024 January;10
672;1 star accommodations;Nederland;2024 February;10
673;1 star accommodations;Nederland;2024 March;10
674;1 star accommodations;Nederland;2024 1st quarter;20
675;1 star accommodations;Nederland;2024 April;10
676;1 star accommodations;Nederland;2024 May;10
677;1 star accommodations;Nederland;2024 June;10
678;1 star accommodations;Nederland;2024 2nd quarter;30
679;1 star accommodations;Nederland;2024 July;10
680;1 star accommodations;Nederland;2024 August;10
681;1 star accommodations;Nederland;2024 September;10
682;1 star accommodations;Nederland;2024 3rd quarter;20
683;1 star accommodations;Nederland;2024 October;10
684;1 star accommodations;Nederland;2024 November;10
685;1 star accommodations;Nederland;2024 December;10
686;1 star accommodations;Nederland;2024 4th quarter;20
687;1 star accommodations;Nederland;2024;90
688;1 star accommodations;Nederland;2025 January;10
689;1 star accommodations;Nederland;2025 February;10
690;1 star accommodations;Amsterdam;2017 January;0
691;1 star accommodations;Amsterdam;2017 February;0
692;1 star accommodations;Amsterdam;2017 March;0
693;1 star accommodations;Amsterdam;2017 1st quarter;10
694;1 star accommodations;Amsterdam;2017 April;10
695;1 star accommodations;Amsterdam;2017 May;0
696;1 star accommodations;Amsterdam;2017 June;0
697;1 star accommodations;Amsterdam;2017 2nd quarter;10
698;1 star accommodations;Amsterdam;2017 July;0
699;1 star accommodations;Amsterdam;2017 August;0
700;1 star accommodations;Amsterdam;2017 September;0
701;1 star accommodations;Amsterdam;2017 3rd quarter;10
702;1 star accommodations;Amsterdam;2017 October;0
703;1 star accommodations;Amsterdam;2017 November;0
704;1 star accommodations;Amsterdam;2017 December;0
705;1 star accommodations;Amsterdam;2017 4th quarter;10
706;1 star accommodations;Amsterdam;2017;30
707;1 star accommodations;Amsterdam;2018 January;10
708;1 star accommodations;Amsterdam;2018 February;10
709;1 star accommodations;Amsterdam;2018 March;10
710;1 star accommodations;Amsterdam;2018 1st quarter;20
711;1 star accommodations;Amsterdam;2018 April;10
712;1 star accommodations;Amsterdam;2018 May;10
713;1 star accommodations;Amsterdam;2018 June;10
714;1 star accommodations;Amsterdam;2018 2nd quarter;20
715;1 star accommodations;Amsterdam;2018 July;10
716;1 star accommodations;Amsterdam;2018 August;10
717;1 star accommodations;Amsterdam;2018 September;10
718;1 star accommodations;Amsterdam;2018 3rd quarter;30
719;1 star accommodations;Amsterdam;2018 October;10
720;1 star accommodations;Amsterdam;2018 November;10
721;1 star accommodations;Amsterdam;2018 December;10
722;1 star accommodations;Amsterdam;2018 4th quarter;20
723;1 star accommodations;Amsterdam;2018;90
724;1 star accommodations;Amsterdam;2019 January;0
725;1 star accommodations;Amsterdam;2019 February;10
726;1 star accommodations;Amsterdam;2019 March;10
727;1 star accommodations;Amsterdam;2019 1st quarter;10
728;1 star accommodations;Amsterdam;2019 April;10
729;1 star accommodations;Amsterdam;2019 May;10
730;1 star accommodations;Amsterdam;2019 June;10
731;1 star accommodations;Amsterdam;2019 2nd quarter;20
732;1 star accommodations;Amsterdam;2019 July;10
733;1 star accommodations;Amsterdam;2019 August;10
734;1 star accommodations;Amsterdam;2019 September;10
735;1 star accommodations;Amsterdam;2019 3rd quarter;20
736;1 star accommodations;Amsterdam;2019 October;10
737;1 star accommodations;Amsterdam;2019 November;0
738;1 star accommodations;Amsterdam;2019 December;10
739;1 star accommodations;Amsterdam;2019 4th quarter;20
740;1 star accommodations;Amsterdam;2019;70
741;1 star accommodations;Amsterdam;2020 January;0
742;1 star accommodations;Amsterdam;2020 February;10
743;1 star accommodations;Amsterdam;2020 March;0
744;1 star accommodations;Amsterdam;2020 1st quarter;10
745;1 star accommodations;Amsterdam;2020 April;0
746;1 star accommodations;Amsterdam;2020 May;0
747;1 star accommodations;Amsterdam;2020 June;0
748;1 star accommodations;Amsterdam;2020 2nd quarter;0
749;1 star accommodations;Amsterdam;2020 July;0
750;1 star accommodations;Amsterdam;2020 August;0
751;1 star accommodations;Amsterdam;2020 September;0
752;1 star accommodations;Amsterdam;2020 3rd quarter;0
753;1 star accommodations;Amsterdam;2020 October;0
754;1 star accommodations;Amsterdam;2020 November;0
755;1 star accommodations;Amsterdam;2020 December;0
756;1 star accommodations;Amsterdam;2020 4th quarter;0
757;1 star accommodations;Amsterdam;2020;20
758;1 star accommodations;Amsterdam;2021 January;0
759;1 star accommodations;Amsterdam;2021 February;0
760;1 star accommodations;Amsterdam;2021 March;0
761;1 star accommodations;Amsterdam;2021 1th quarter;0
762;1 star accommodations;Amsterdam;2021 April;0
763;1 star accommodations;Amsterdam;2021 May;0
764;1 star accommodations;Amsterdam;2021 June;0
765;1 star accommodations;Amsterdam;2021 2nd quarter;0
766;1 star accommodations;Amsterdam;2021 July;0
767;1 star accommodations;Amsterdam;2021 August;0
768;1 star accommodations;Amsterdam;2021 September;0
769;1 star accommodations;Amsterdam;2021 3rd quarter;0
770;1 star accommodations;Amsterdam;2021 October;0
771;1 star accommodations;Amsterdam;2021 November;0
772;1 star accommodations;Amsterdam;2021 December;0
773;1 star accommodations;Amsterdam;2021 4th quarter;0
774;1 star accommodations;Amsterdam;2021;10
775;1 star accommodations;Amsterdam;2022 January;0
776;1 star accommodations;Amsterdam;2022 February;0
777;1 star accommodations;Amsterdam;2022 March;0
778;1 star accommodations;Amsterdam;2022 1th quarter;10
779;1 star accommodations;Amsterdam;2022 April;0
780;1 star accommodations;Amsterdam;2022 May;0
781;1 star accommodations;Amsterdam;2022 June;0
782;1 star accommodations;Amsterdam;2022 2nd quarter;10
783;1 star accommodations;Amsterdam;2022 July;0
784;1 star accommodations;Amsterdam;2022 August;0
785;1 star accommodations;Amsterdam;2022 September;0
786;1 star accommodations;Amsterdam;2022 3rd quarter;10
787;1 star accommodations;Amsterdam;2022 October;0
788;1 star accommodations;Amsterdam;2022 November;0
789;1 star accommodations;Amsterdam;2022 December;0
790;1 star accommodations;Amsterdam;2022 4th quarter;10
791;1 star accommodations;Amsterdam;2022;20
792;1 star accommodations;Amsterdam;2023 January;0
793;1 star accommodations;Amsterdam;2023 February;0
794;1 star accommodations;Amsterdam;2023 March;0
795;1 star accommodations;Amsterdam;2023 1st quarter;10
796;1 star accommodations;Amsterdam;2023 April;0
797;1 star accommodations;Amsterdam;2023 May;0
798;1 star accommodations;Amsterdam;2023 June;0
799;1 star accommodations;Amsterdam;2023 2nd quarter;0
800;1 star accommodations;Amsterdam;2023 July;0
801;1 star accommodations;Amsterdam;2023 August;0
802;1 star accommodations;Amsterdam;2023 September;0
803;1 star accommodations;Amsterdam;2023 3rd quarter;10
804;1 star accommodations;Amsterdam;2023 October;10
805;1 star accommodations;Amsterdam;2023 November;0
806;1 star accommodations;Amsterdam;2023 December;0
807;1 star accommodations;Amsterdam;2023 4th quarter;10
808;1 star accommodations;Amsterdam;2023;30
809;1 star accommodations;Amsterdam;2024 January;0
810;1 star accommodations;Amsterdam;2024 February;0
811;1 star accommodations;Amsterdam;2024 March;0
812;1 star accommodations;Amsterdam;2024 1st quarter;0
813;1 star accommodations;Amsterdam;2024 April;0
814;1 star accommodations;Amsterdam;2024 May;0
815;1 star accommodations;Amsterdam;2024 June;0
816;1 star accommodations;Amsterdam;2024 2nd quarter;10
817;1 star accommodations;Amsterdam;2024 July;0
818;1 star accommodations;Amsterdam;2024 August;0
819;1 star accommodations;Amsterdam;2024 September;0
820;1 star accommodations;Amsterdam;2024 3rd quarter;10
821;1 star accommodations;Amsterdam;2024 October;0
822;1 star accommodations;Amsterdam;2024 November;0
823;1 star accommodations;Amsterdam;2024 December;0
824;1 star accommodations;Amsterdam;2024 4th quarter;10
825;1 star accommodations;Amsterdam;2024;30
826;1 star accommodations;Amsterdam;2025 January;0
827;1 star accommodations;Amsterdam;2025 February;0
828;2 star accommodations;Nederland;2017 January;30
829;2 star accommodations;Nederland;2017 February;30
830;2 star accommodations;Nederland;2017 March;40
831;2 star accommodations;Nederland;2017 1st quarter;110
832;2 star accommodations;Nederland;2017 April;50
833;2 star accommodations;Nederland;2017 May;50
834;2 star accommodations;Nederland;2017 June;50
835;2 star accommodations;Nederland;2017 2nd quarter;150
836;2 star accommodations;Nederland;2017 July;40
837;2 star accommodations;Nederland;2017 August;40
838;2 star accommodations;Nederland;2017 September;40
839;2 star accommodations;Nederland;2017 3rd quarter;130
840;2 star accommodations;Nederland;2017 October;40
841;2 star accommodations;Nederland;2017 November;40
842;2 star accommodations;Nederland;2017 December;30
843;2 star accommodations;Nederland;2017 4th quarter;110
844;2 star accommodations;Nederland;2017;500
845;2 star accommodations;Nederland;2018 January;30
846;2 star accommodations;Nederland;2018 February;40
847;2 star accommodations;Nederland;2018 March;40
848;2 star accommodations;Nederland;2018 1st quarter;110
849;2 star accommodations;Nederland;2018 April;40
850;2 star accommodations;Nederland;2018 May;50
851;2 star accommodations;Nederland;2018 June;50
852;2 star accommodations;Nederland;2018 2nd quarter;140
853;2 star accommodations;Nederland;2018 July;60
854;2 star accommodations;Nederland;2018 August;40
855;2 star accommodations;Nederland;2018 September;60
856;2 star accommodations;Nederland;2018 3rd quarter;150
857;2 star accommodations;Nederland;2018 October;60
858;2 star accommodations;Nederland;2018 November;50
859;2 star accommodations;Nederland;2018 December;30
860;2 star accommodations;Nederland;2018 4th quarter;140
861;2 star accommodations;Nederland;2018;550
862;2 star accommodations;Nederland;2019 January;40
863;2 star accommodations;Nederland;2019 February;30
864;2 star accommodations;Nederland;2019 March;50
865;2 star accommodations;Nederland;2019 1st quarter;110
866;2 star accommodations;Nederland;2019 April;50
867;2 star accommodations;Nederland;2019 May;60
868;2 star accommodations;Nederland;2019 June;50
869;2 star accommodations;Nederland;2019 2nd quarter;170
870;2 star accommodations;Nederland;2019 July;50
871;2 star accommodations;Nederland;2019 August;60
872;2 star accommodations;Nederland;2019 September;60
873;2 star accommodations;Nederland;2019 3rd quarter;170
874;2 star accommodations;Nederland;2019 October;70
875;2 star accommodations;Nederland;2019 November;40
876;2 star accommodations;Nederland;2019 December;30
877;2 star accommodations;Nederland;2019 4th quarter;140
878;2 star accommodations;Nederland;2019;600
879;2 star accommodations;Nederland;2020 January;40
880;2 star accommodations;Nederland;2020 February;50
881;2 star accommodations;Nederland;2020 March;20
882;2 star accommodations;Nederland;2020 1st quarter;110
883;2 star accommodations;Nederland;2020 April;20
884;2 star accommodations;Nederland;2020 May;10
885;2 star accommodations;Nederland;2020 June;20
886;2 star accommodations;Nederland;2020 2nd quarter;50
887;2 star accommodations;Nederland;2020 July;30
888;2 star accommodations;Nederland;2020 August;20
889;2 star accommodations;Nederland;2020 September;30
890;2 star accommodations;Nederland;2020 3rd quarter;80
891;2 star accommodations;Nederland;2020 October;20
892;2 star accommodations;Nederland;2020 November;10
893;2 star accommodations;Nederland;2020 December;10
894;2 star accommodations;Nederland;2020 4th quarter;40
895;2 star accommodations;Nederland;2020;280
896;2 star accommodations;Nederland;2021 January;10
897;2 star accommodations;Nederland;2021 February;10
898;2 star accommodations;Nederland;2021 March;10
899;2 star accommodations;Nederland;2021 1th quarter;30
900;2 star accommodations;Nederland;2021 April;10
901;2 star accommodations;Nederland;2021 May;10
902;2 star accommodations;Nederland;2021 June;20
903;2 star accommodations;Nederland;2021 2nd quarter;40
904;2 star accommodations;Nederland;2021 July;20
905;2 star accommodations;Nederland;2021 August;30
906;2 star accommodations;Nederland;2021 September;30
907;2 star accommodations;Nederland;2021 3rd quarter;90
908;2 star accommodations;Nederland;2021 October;40
909;2 star accommodations;Nederland;2021 November;30
910;2 star accommodations;Nederland;2021 December;10
911;2 star accommodations;Nederland;2021 4th quarter;80
912;2 star accommodations;Nederland;2021;250
913;2 star accommodations;Nederland;2022 January;10
914;2 star accommodations;Nederland;2022 February;20
915;2 star accommodations;Nederland;2022 March;20
916;2 star accommodations;Nederland;2022 1th quarter;40
917;2 star accommodations;Nederland;2022 April;40
918;2 star accommodations;Nederland;2022 May;30
919;2 star accommodations;Nederland;2022 June;40
920;2 star accommodations;Nederland;2022 2nd quarter;110
921;2 star accommodations;Nederland;2022 July;20
922;2 star accommodations;Nederland;2022 August;20
923;2 star accommodations;Nederland;2022 September;30
924;2 star accommodations;Nederland;2022 3rd quarter;80
925;2 star accommodations;Nederland;2022 October;40
926;2 star accommodations;Nederland;2022 November;30
927;2 star accommodations;Nederland;2022 December;20
928;2 star accommodations;Nederland;2022 4th quarter;90
929;2 star accommodations;Nederland;2022;320
930;2 star accommodations;Nederland;2023 January;20
931;2 star accommodations;Nederland;2023 February;20
932;2 star accommodations;Nederland;2023 March;20
933;2 star accommodations;Nederland;2023 1st quarter;70
934;2 star accommodations;Nederland;2023 April;30
935;2 star accommodations;Nederland;2023 May;30
936;2 star accommodations;Nederland;2023 June;30
937;2 star accommodations;Nederland;2023 2nd quarter;90
938;2 star accommodations;Nederland;2023 July;30
939;2 star accommodations;Nederland;2023 August;30
940;2 star accommodations;Nederland;2023 September;30
941;2 star accommodations;Nederland;2023 3rd quarter;90
942;2 star accommodations;Nederland;2023 October;40
943;2 star accommodations;Nederland;2023 November;30
944;2 star accommodations;Nederland;2023 December;20
945;2 star accommodations;Nederland;2023 4th quarter;90
946;2 star accommodations;Nederland;2023;330
947;2 star accommodations;Nederland;2024 January;20
948;2 star accommodations;Nederland;2024 February;20
949;2 star accommodations;Nederland;2024 March;40
950;2 star accommodations;Nederland;2024 1st quarter;80
951;2 star accommodations;Nederland;2024 April;40
952;2 star accommodations;Nederland;2024 May;30
953;2 star accommodations;Nederland;2024 June;50
954;2 star accommodations;Nederland;2024 2nd quarter;120
955;2 star accommodations;Nederland;2024 July;30
956;2 star accommodations;Nederland;2024 August;30
957;2 star accommodations;Nederland;2024 September;30
958;2 star accommodations;Nederland;2024 3rd quarter;90
959;2 star accommodations;Nederland;2024 October;30
960;2 star accommodations;Nederland;2024 November;40
961;2 star accommodations;Nederland;2024 December;30
962;2 star accommodations;Nederland;2024 4th quarter;100
963;2 star accommodations;Nederland;2024;390
964;2 star accommodations;Nederland;2025 January;20
965;2 star accommodations;Nederland;2025 February;20
966;2 star accommodations;Amsterdam;2017 January;10
967;2 star accommodations;Amsterdam;2017 February;10
968;2 star accommodations;Amsterdam;2017 March;10
969;2 star accommodations;Amsterdam;2017 1st quarter;20
970;2 star accommodations;Amsterdam;2017 April;10
971;2 star accommodations;Amsterdam;2017 May;10
972;2 star accommodations;Amsterdam;2017 June;10
973;2 star accommodations;Amsterdam;2017 2nd quarter;30
974;2 star accommodations;Amsterdam;2017 July;10
975;2 star accommodations;Amsterdam;2017 August;10
976;2 star accommodations;Amsterdam;2017 September;10
977;2 star accommodations;Amsterdam;2017 3rd quarter;20
978;2 star accommodations;Amsterdam;2017 October;10
979;2 star accommodations;Amsterdam;2017 November;10
980;2 star accommodations;Amsterdam;2017 December;10
981;2 star accommodations;Amsterdam;2017 4th quarter;20
982;2 star accommodations;Amsterdam;2017;90
983;2 star accommodations;Amsterdam;2018 January;10
984;2 star accommodations;Amsterdam;2018 February;10
985;2 star accommodations;Amsterdam;2018 March;0
986;2 star accommodations;Amsterdam;2018 1st quarter;20
987;2 star accommodations;Amsterdam;2018 April;10
988;2 star accommodations;Amsterdam;2018 May;10
989;2 star accommodations;Amsterdam;2018 June;10
990;2 star accommodations;Amsterdam;2018 2nd quarter;30
991;2 star accommodations;Amsterdam;2018 July;20
992;2 star accommodations;Amsterdam;2018 August;10
993;2 star accommodations;Amsterdam;2018 September;10
994;2 star accommodations;Amsterdam;2018 3rd quarter;40
995;2 star accommodations;Amsterdam;2018 October;10
996;2 star accommodations;Amsterdam;2018 November;10
997;2 star accommodations;Amsterdam;2018 December;10
998;2 star accommodations;Amsterdam;2018 4th quarter;30
999;2 star accommodations;Amsterdam;2018;130
1000;2 star accommodations;Amsterdam;2019 January;20
1001;2 star accommodations;Amsterdam;2019 February;10
1002;2 star accommodations;Amsterdam;2019 March;10
1003;2 star accommodations;Amsterdam;2019 1st quarter;30
1004;2 star accommodations;Amsterdam;2019 April;10
1005;2 star accommodations;Amsterdam;2019 May;20
1006;2 star accommodations;Amsterdam;2019 June;10
1007;2 star accommodations;Amsterdam;2019 2nd quarter;50
1008;2 star accommodations;Amsterdam;2019 July;10
1009;2 star accommodations;Amsterdam;2019 August;20
1010;2 star accommodations;Amsterdam;2019 September;20
1011;2 star accommodations;Amsterdam;2019 3rd quarter;50
1012;2 star accommodations;Amsterdam;2019 October;20
1013;2 star accommodations;Amsterdam;2019 November;10
1014;2 star accommodations;Amsterdam;2019 December;10
1015;2 star accommodations;Amsterdam;2019 4th quarter;30
1016;2 star accommodations;Amsterdam;2019;160
1017;2 star accommodations;Amsterdam;2020 January;10
1018;2 star accommodations;Amsterdam;2020 February;10
1019;2 star accommodations;Amsterdam;2020 March;0
1020;2 star accommodations;Amsterdam;2020 1st quarter;20
1021;2 star accommodations;Amsterdam;2020 April;0
1022;2 star accommodations;Amsterdam;2020 May;0
1023;2 star accommodations;Amsterdam;2020 June;0
1024;2 star accommodations;Amsterdam;2020 2nd quarter;0
1025;2 star accommodations;Amsterdam;2020 July;10
1026;2 star accommodations;Amsterdam;2020 August;0
1027;2 star accommodations;Amsterdam;2020 September;0
1028;2 star accommodations;Amsterdam;2020 3rd quarter;10
1029;2 star accommodations;Amsterdam;2020 October;0
1030;2 star accommodations;Amsterdam;2020 November;0
1031;2 star accommodations;Amsterdam;2020 December;0
1032;2 star accommodations;Amsterdam;2020 4th quarter;0
1033;2 star accommodations;Amsterdam;2020;40
1034;2 star accommodations;Amsterdam;2021 January;0
1035;2 star accommodations;Amsterdam;2021 February;0
1036;2 star accommodations;Amsterdam;2021 March;0
1037;2 star accommodations;Amsterdam;2021 1th quarter;10
1038;2 star accommodations;Amsterdam;2021 April;0
1039;2 star accommodations;Amsterdam;2021 May;0
1040;2 star accommodations;Amsterdam;2021 June;0
1041;2 star accommodations;Amsterdam;2021 2nd quarter;10
1042;2 star accommodations;Amsterdam;2021 July;10
1043;2 star accommodations;Amsterdam;2021 August;10
1044;2 star accommodations;Amsterdam;2021 September;10
1045;2 star accommodations;Amsterdam;2021 3rd quarter;20
1046;2 star accommodations;Amsterdam;2021 October;10
1047;2 star accommodations;Amsterdam;2021 November;10
1048;2 star accommodations;Amsterdam;2021 December;0
1049;2 star accommodations;Amsterdam;2021 4th quarter;20
1050;2 star accommodations;Amsterdam;2021;60
1051;2 star accommodations;Amsterdam;2022 January;0
1052;2 star accommodations;Amsterdam;2022 February;0
1053;2 star accommodations;Amsterdam;2022 March;0
1054;2 star accommodations;Amsterdam;2022 1th quarter;10
1055;2 star accommodations;Amsterdam;2022 April;0
1056;2 star accommodations;Amsterdam;2022 May;0
1057;2 star accommodations;Amsterdam;2022 June;0
1058;2 star accommodations;Amsterdam;2022 2nd quarter;10
1059;2 star accommodations;Amsterdam;2022 July;0
1060;2 star accommodations;Amsterdam;2022 August;0
1061;2 star accommodations;Amsterdam;2022 September;0
1062;2 star accommodations;Amsterdam;2022 3rd quarter;10
1063;2 star accommodations;Amsterdam;2022 October;0
1064;2 star accommodations;Amsterdam;2022 November;0
1065;2 star accommodations;Amsterdam;2022 December;0
1066;2 star accommodations;Amsterdam;2022 4th quarter;10
1067;2 star accommodations;Amsterdam;2022;40
1068;2 star accommodations;Amsterdam;2023 January;0
1069;2 star accommodations;Amsterdam;2023 February;0
1070;2 star accommodations;Amsterdam;2023 March;0
1071;2 star accommodations;Amsterdam;2023 1st quarter;10
1072;2 star accommodations;Amsterdam;2023 April;0
1073;2 star accommodations;Amsterdam;2023 May;0
1074;2 star accommodations;Amsterdam;2023 June;0
1075;2 star accommodations;Amsterdam;2023 2nd quarter;10
1076;2 star accommodations;Amsterdam;2023 July;0
1077;2 star accommodations;Amsterdam;2023 August;0
1078;2 star accommodations;Amsterdam;2023 September;0
1079;2 star accommodations;Amsterdam;2023 3rd quarter;10
1080;2 star accommodations;Amsterdam;2023 October;0
1081;2 star accommodations;Amsterdam;2023 November;0
1082;2 star accommodations;Amsterdam;2023 December;0
1083;2 star accommodations;Amsterdam;2023 4th quarter;10
1084;2 star accommodations;Amsterdam;2023;40
1085;2 star accommodations;Amsterdam;2024 January;0
1086;2 star accommodations;Amsterdam;2024 February;10
1087;2 star accommodations;Amsterdam;2024 March;10
1088;2 star accommodations;Amsterdam;2024 1st quarter;20
1089;2 star accommodations;Amsterdam;2024 April;10
1090;2 star accommodations;Amsterdam;2024 May;0
1091;2 star accommodations;Amsterdam;2024 June;10
1092;2 star accommodations;Amsterdam;2024 2nd quarter;20
1093;2 star accommodations;Amsterdam;2024 July;10
1094;2 star accommodations;Amsterdam;2024 August;0
1095;2 star accommodations;Amsterdam;2024 September;10
1096;2 star accommodations;Amsterdam;2024 3rd quarter;10
1097;2 star accommodations;Amsterdam;2024 October;10
1098;2 star accommodations;Amsterdam;2024 November;0
1099;2 star accommodations;Amsterdam;2024 December;0
1100;2 star accommodations;Amsterdam;2024 4th quarter;20
1101;2 star accommodations;Amsterdam;2024;60
1102;2 star accommodations;Amsterdam;2025 January;0
1103;2 star accommodations;Amsterdam;2025 February;0
1104;3 star accommodations;Nederland;2017 January;340
1105;3 star accommodations;Nederland;2017 February;360
1106;3 star accommodations;Nederland;2017 March;400
1107;3 star accommodations;Nederland;2017 1st quarter;1100
1108;3 star accommodations;Nederland;2017 April;500
1109;3 star accommodations;Nederland;2017 May;480
1110;3 star accommodations;Nederland;2017 June;490
1111;3 star accommodations;Nederland;2017 2nd quarter;1470
1112;3 star accommodations;Nederland;2017 July;450
1113;3 star accommodations;Nederland;2017 August;480
1114;3 star accommodations;Nederland;2017 September;540
1115;3 star accommodations;Nederland;2017 3rd quarter;1460
1116;3 star accommodations;Nederland;2017 October;510
1117;3 star accommodations;Nederland;2017 November;440
1118;3 star accommodations;Nederland;2017 December;350
1119;3 star accommodations;Nederland;2017 4th quarter;1300
1120;3 star accommodations;Nederland;2017;5320
1121;3 star accommodations;Nederland;2018 January;370
1122;3 star accommodations;Nederland;2018 February;360
1123;3 star accommodations;Nederland;2018 March;460
1124;3 star accommodations;Nederland;2018 1st quarter;1190
1125;3 star accommodations;Nederland;2018 April;500
1126;3 star accommodations;Nederland;2018 May;550
1127;3 star accommodations;Nederland;2018 June;520
1128;3 star accommodations;Nederland;2018 2nd quarter;1570
1129;3 star accommodations;Nederland;2018 July;460
1130;3 star accommodations;Nederland;2018 August;470
1131;3 star accommodations;Nederland;2018 September;540
1132;3 star accommodations;Nederland;2018 3rd quarter;1470
1133;3 star accommodations;Nederland;2018 October;520
1134;3 star accommodations;Nederland;2018 November;440
1135;3 star accommodations;Nederland;2018 December;330
1136;3 star accommodations;Nederland;2018 4th quarter;1300
1137;3 star accommodations;Nederland;2018;5520
1138;3 star accommodations;Nederland;2019 January;410
1139;3 star accommodations;Nederland;2019 February;390
1140;3 star accommodations;Nederland;2019 March;490
1141;3 star accommodations;Nederland;2019 1st quarter;1290
1142;3 star accommodations;Nederland;2019 April;570
1143;3 star accommodations;Nederland;2019 May;590
1144;3 star accommodations;Nederland;2019 June;570
1145;3 star accommodations;Nederland;2019 2nd quarter;1730
1146;3 star accommodations;Nederland;2019 July;510
1147;3 star accommodations;Nederland;2019 August;490
1148;3 star accommodations;Nederland;2019 September;580
1149;3 star accommodations;Nederland;2019 3rd quarter;1580
1150;3 star accommodations;Nederland;2019 October;610
1151;3 star accommodations;Nederland;2019 November;490
1152;3 star accommodations;Nederland;2019 December;370
1153;3 star accommodations;Nederland;2019 4th quarter;1480
1154;3 star accommodations;Nederland;2019;6080
1155;3 star accommodations;Nederland;2020 January;370
1156;3 star accommodations;Nederland;2020 February;390
1157;3 star accommodations;Nederland;2020 March;200
1158;3 star accommodations;Nederland;2020 1st quarter;950
1159;3 star accommodations;Nederland;2020 April;80
1160;3 star accommodations;Nederland;2020 May;80
1161;3 star accommodations;Nederland;2020 June;130
1162;3 star accommodations;Nederland;2020 2nd quarter;290
1163;3 star accommodations;Nederland;2020 July;170
1164;3 star accommodations;Nederland;2020 August;180
1165;3 star accommodations;Nederland;2020 September;190
1166;3 star accommodations;Nederland;2020 3rd quarter;540
1167;3 star accommodations;Nederland;2020 October;140
1168;3 star accommodations;Nederland;2020 November;110
1169;3 star accommodations;Nederland;2020 December;90
1170;3 star accommodations;Nederland;2020 4th quarter;340
1171;3 star accommodations;Nederland;2020;2130
1172;3 star accommodations;Nederland;2021 January;80
1173;3 star accommodations;Nederland;2021 February;100
1174;3 star accommodations;Nederland;2021 March;120
1175;3 star accommodations;Nederland;2021 1th quarter;300
1176;3 star accommodations;Nederland;2021 April;130
1177;3 star accommodations;Nederland;2021 May;180
1178;3 star accommodations;Nederland;2021 June;220
1179;3 star accommodations;Nederland;2021 2nd quarter;530
1180;3 star accommodations;Nederland;2021 July;230
1181;3 star accommodations;Nederland;2021 August;240
1182;3 star accommodations;Nederland;2021 September;300
1183;3 star accommodations;Nederland;2021 3rd quarter;770
1184;3 star accommodations;Nederland;2021 October;360
1185;3 star accommodations;Nederland;2021 November;280
1186;3 star accommodations;Nederland;2021 December;140
1187;3 star accommodations;Nederland;2021 4th quarter;780
1188;3 star accommodations;Nederland;2021;2380
1189;3 star accommodations;Nederland;2022 January;130
1190;3 star accommodations;Nederland;2022 February;190
1191;3 star accommodations;Nederland;2022 March;290
1192;3 star accommodations;Nederland;2022 1th quarter;620
1193;3 star accommodations;Nederland;2022 April;350
1194;3 star accommodations;Nederland;2022 May;390
1195;3 star accommodations;Nederland;2022 June;410
1196;3 star accommodations;Nederland;2022 2nd quarter;1150
1197;3 star accommodations;Nederland;2022 July;350
1198;3 star accommodations;Nederland;2022 August;330
1199;3 star accommodations;Nederland;2022 September;410
