ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
226;8000;2008 May;3.3;2.0;114.0;4.8;136.0;;
227;8000;2008 June;-1.5;0.7;111.7;-0.1;132.5;;
228;8000;2008 2nd quarter;1.6;1.6;112.1;3.0;133.6;;
229;8000;2008 July;1.6;0.1;111.3;3.1;131.5;;
230;8000;2008 August;-0.1;0.7;109.9;1.4;130.6;;
231;8000;2008 September;0.0;0.3;109.5;1.4;130.6;;
232;8000;2008 3rd quarter;0.5;0.3;110.2;2.0;130.9;;
233;8000;2008 October;1.3;-0.1;114.5;1.5;135.0;;
234;8000;2008 November;-1.5;-0.4;110.3;-1.8;130.3;;
235;8000;2008 December;0.4;0.3;115.4;0.3;136.1;;
236;8000;2008 4th quarter;0.1;-0.1;113.4;0.0;133.8;;
237;8000;2008;1.1;0.9;111.7;2.0;132.7;100.0;277388.0
238;8000;2009 January;0.9;0.1;113.3;1.0;133.8;;
239;8000;2009 February;-3.8;-1.9;104.8;-3.8;125.1;;
240;8000;2009 March;-3.1;-2.5;108.6;-3.2;130.3;;
241;8000;2009 1st quarter;-2.0;-1.5;108.9;-2.0;129.8;;
242;8000;2009 April;-2.8;-3.0;107.4;-3.7;127.4;;
243;8000;2009 May;-4.4;-3.1;108.9;-5.6;128.4;;
244;8000;2009 June;-2.4;-2.6;109.1;-3.7;127.7;;
245;8000;2009 2nd quarter;-3.2;-2.9;108.5;-4.3;127.8;;
246;8000;2009 July;-0.8;-1.7;110.3;-2.4;128.3;;
247;8000;2009 August;-3.8;-3.0;105.7;-5.1;123.8;;
248;8000;2009 September;-2.0;-2.4;107.4;-3.4;126.2;;
249;8000;2009 3rd quarter;-2.2;-2.4;107.8;-3.6;126.1;;
250;8000;2009 October;-2.0;-2.0;112.2;-2.0;132.2;;
251;8000;2009 November;-3.1;-2.2;106.9;-3.0;126.4;;
252;8000;2009 December;0.0;-0.6;115.5;0.0;136.1;;
253;8000;2009 4th quarter;-1.7;-1.6;111.5;-1.7;131.6;;
254;8000;2009;-2.3;-2.1;109.2;-2.9;128.8;100.0;269329.0
255;8000;2010 January;-1.9;-0.6;111.1;-1.5;131.9;;
256;8000;2010 February;-1.3;-1.1;103.4;-0.5;124.5;;
257;8000;2010 March;1.1;0.3;109.8;2.4;133.4;;
258;8000;2010 1st quarter;-0.7;-0.4;108.1;0.1;129.9;;
259;8000;2010 April;0.9;0.5;108.4;2.6;130.6;;
260;8000;2010 May;0.0;0.9;108.9;1.7;130.5;;
261;8000;2010 June;1.9;1.3;111.1;3.4;131.9;;
