ID;Geslacht;Onderwijssoort;Vooropleiding;Opleidingsfase;Perioden;Eerstejaarsstudenten_1
1421;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2018/'19;0.0
1422;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2019/'20;0.0
1423;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2020/'21;0.0
1424;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2021/'22;0.0
1425;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2022/'23;0.0
1426;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2023/'24;0.0
1427;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2024/'25;0.0
1428;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2011/'12;2570.0
1429;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2012/'13;2390.0
1430;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2013/'14;2320.0
1431;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2014/'15;1900.0
1432;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2015/'16;1550.0
1433;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2016/'17;1490.0
1434;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2017/'18;1400.0
1435;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2018/'19;1470.0
1436;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2019/'20;1530.0
1437;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2020/'21;1610.0
1438;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2021/'22;1520.0
1439;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2022/'23;1700.0
1440;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2023/'24;1840.0
1441;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Opleidingsfase totaal;2024/'25;1880.0
1442;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2011/'12;2570.0
1443;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2012/'13;2390.0
1444;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2013/'14;2320.0
1445;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2014/'15;1900.0
1446;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2015/'16;1550.0
1447;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2016/'17;1480.0
1448;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2017/'18;1400.0
1449;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2018/'19;1470.0
1450;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2019/'20;1530.0
1451;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2020/'21;1610.0
1452;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2021/'22;1520.0
1453;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2022/'23;1700.0
1454;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2023/'24;1840.0
1455;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2024/'25;1880.0
1456;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2011/'12;0.0
1457;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2012/'13;0.0
1458;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2013/'14;0.0
1459;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2014/'15;0.0
1460;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2015/'16;0.0
1461;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2016/'17;0.0
1462;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2017/'18;0.0
1463;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2018/'19;0.0
1464;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2019/'20;0.0
1465;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2020/'21;0.0
1466;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2021/'22;0.0
1467;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2022/'23;0.0
1468;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2023/'24;0.0
1469;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma economie en maatschappij;Master- en vervolgopleidingen;2024/'25;0.0
1470;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2011/'12;1730.0
1471;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2012/'13;1560.0
1472;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2013/'14;1740.0
1473;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2014/'15;1440.0
1474;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2015/'16;1330.0
1475;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2016/'17;1270.0
1476;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2017/'18;1360.0
1477;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2018/'19;1440.0
1478;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2019/'20;1560.0
1479;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2020/'21;1750.0
1480;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2021/'22;1640.0
1481;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2022/'23;1720.0
1482;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2023/'24;1960.0
1483;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Opleidingsfase totaal;2024/'25;1870.0
1484;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2011/'12;1730.0
1485;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2012/'13;1560.0
1486;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2013/'14;1740.0
1487;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2014/'15;1440.0
1488;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2015/'16;1330.0
1489;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2016/'17;1270.0
1490;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2017/'18;1360.0
1491;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2018/'19;1440.0
1492;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2019/'20;1550.0
1493;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2020/'21;1750.0
1494;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2021/'22;1640.0
1495;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2022/'23;1720.0
1496;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2023/'24;1960.0
1497;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Bachelor- en doctoraalopleidingen;2024/'25;1860.0
1498;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2011/'12;0.0
1499;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2012/'13;0.0
1500;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2013/'14;0.0
1501;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2014/'15;0.0
1502;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2015/'16;10.0
1503;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2016/'17;0.0
1504;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2017/'18;0.0
1505;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2018/'19;0.0
1506;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2019/'20;0.0
1507;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2020/'21;0.0
1508;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2021/'22;0.0
1509;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2022/'23;0.0
1510;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2023/'24;0.0
1511;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en gezondheid;Master- en vervolgopleidingen;2024/'25;10.0
1512;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2011/'12;910.0
1513;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2012/'13;800.0
1514;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2013/'14;840.0
1515;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2014/'15;740.0
1516;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2015/'16;620.0
1517;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2016/'17;590.0
1518;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2017/'18;670.0
1519;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2018/'19;700.0
1520;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2019/'20;750.0
1521;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2020/'21;710.0
1522;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2021/'22;700.0
1523;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2022/'23;730.0
1524;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2023/'24;830.0
1525;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Opleidingsfase totaal;2024/'25;740.0
1526;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2011/'12;910.0
1527;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2012/'13;800.0
1528;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2013/'14;840.0
1529;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2014/'15;740.0
1530;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2015/'16;620.0
1531;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2016/'17;590.0
1532;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2017/'18;670.0
1533;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2018/'19;700.0
1534;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2019/'20;750.0
1535;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2020/'21;710.0
1536;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2021/'22;700.0
1537;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2022/'23;730.0
1538;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2023/'24;830.0
1539;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Bachelor- en doctoraalopleidingen;2024/'25;740.0
1540;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2011/'12;0.0
1541;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2012/'13;0.0
1542;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2013/'14;0.0
1543;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2014/'15;0.0
1544;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2015/'16;0.0
1545;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2016/'17;0.0
1546;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2017/'18;0.0
1547;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2018/'19;0.0
1548;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2019/'20;0.0
1549;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2020/'21;0.0
1550;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2021/'22;0.0
1551;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2022/'23;0.0
1552;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2023/'24;0.0
1553;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma natuur en techniek;Master- en vervolgopleidingen;2024/'25;0.0
1554;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2011/'12;760.0
1555;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2012/'13;920.0
1556;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2013/'14;1060.0
1557;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2014/'15;1050.0
1558;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2015/'16;960.0
1559;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2016/'17;900.0
1560;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2017/'18;920.0
1561;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2018/'19;980.0
1562;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2019/'20;980.0
1563;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2020/'21;1070.0
1564;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2021/'22;980.0
1565;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2022/'23;990.0
1566;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2023/'24;1150.0
1567;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Opleidingsfase totaal;2024/'25;1100.0
1568;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2011/'12;760.0
1569;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2012/'13;920.0
1570;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2013/'14;1060.0
1571;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2014/'15;1050.0
1572;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2015/'16;960.0
1573;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2016/'17;900.0
1574;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2017/'18;920.0
1575;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2018/'19;980.0
1576;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2019/'20;970.0
1577;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2020/'21;1070.0
1578;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2021/'22;980.0
1579;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2022/'23;990.0
1580;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2023/'24;1150.0
1581;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Bachelor- en doctoraalopleidingen;2024/'25;1100.0
1582;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2011/'12;0.0
1583;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2012/'13;0.0
1584;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2013/'14;0.0
1585;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2014/'15;0.0
1586;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2015/'16;0.0
1587;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2016/'17;0.0
1588;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2017/'18;0.0
1589;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2018/'19;0.0
1590;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2019/'20;0.0
1591;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2020/'21;0.0
1592;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2021/'22;0.0
1593;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2022/'23;0.0
1594;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2023/'24;0.0
1595;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie maatschappij;Master- en vervolgopleidingen;2024/'25;0.0
1596;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2011/'12;1370.0
1597;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2012/'13;1620.0
1598;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2013/'14;1750.0
1599;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2014/'15;1470.0
1600;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2015/'16;1450.0
1601;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2016/'17;1540.0
1602;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2017/'18;1660.0
1603;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2018/'19;1760.0
1604;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2019/'20;1890.0
1605;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2020/'21;2030.0
1606;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2021/'22;1870.0
1607;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2022/'23;2000.0
1608;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2023/'24;1950.0
1609;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Opleidingsfase totaal;2024/'25;1700.0
1610;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Vwo-diploma combinatie natuur;Bachelor- en doctoraalopleidingen;2011/'12;1370.0
