ID;Landen;Perioden;KapitaalgoederenvoorraadTotaal_1;ICTKapitaalgoederenvoorraad_2;InvesteringsquoteBedrijvensector_3;ICTInvesteringenTotaal_4;ITApparatuur_5;Communicatiemiddelen_6;Software_7;GeinvesteerdDurfkapitaalTotaal_8;GeinvesteerdDurfkapitaalVroegeFase_9;GeinvesteerdDurfkapitaalVervolgfase_10;DBIInkomend_11;DBIUitgaand_12;DBISaldoUitgaandInkomend_13;DBIInkomendVoorraad_14;DBIUitgaandVoorraad_15;DBISaldoUitgaandInkomendVoorraad_16
196;Ierland;2010;;;5.0;;;;;0.02;0.01;0.01;20.7;10.8;-9.9;119.6;168.8;49.2
197;Ierland;2011;;;5.3;;;;;0.03;0.02;0.01;5.3;;;115.7;144.3;28.5
198;Italië;1990;280.0;2.47;;12.1;28.6;42.2;29.3;0.02;0.0;0.02;0.6;0.7;0.1;5.3;5.3;0.0
199;Italië;1991;283.0;2.59;;12.2;27.2;43.1;29.7;0.04;0.01;0.03;0.2;0.6;0.4;5.1;5.9;0.7
200;Italië;1992;288.0;2.72;;12.5;25.3;42.6;32.1;0.04;0.01;0.04;0.3;0.5;0.2;3.9;5.5;1.6
201;Italië;1993;293.0;2.78;;12.9;19.1;46.0;34.9;0.02;0.0;0.02;0.4;0.7;0.3;5.3;7.9;2.6
202;Italië;1994;290.0;2.89;;13.5;21.4;44.6;34.0;0.02;0.0;0.02;0.2;0.5;0.3;5.7;8.5;2.8
203;Italië;1995;287.0;3.02;;13.0;21.7;43.7;34.6;0.03;0.01;0.02;0.4;0.5;0.1;5.8;9.4;3.6
204;Italië;1996;290.0;3.22;;13.6;21.5;42.2;36.3;0.04;0.01;0.03;0.3;0.5;0.2;5.9;9.3;3.4
205;Italië;1997;290.0;3.52;;14.8;21.3;45.5;33.1;0.04;0.01;0.03;0.4;1.0;0.6;7.1;11.6;4.5
206;Italië;1998;291.0;3.87;;14.1;22.7;41.6;35.7;0.06;0.01;0.04;0.3;1.3;1.0;8.9;14.5;5.6
207;Italië;1999;292.0;4.28;;13.8;23.3;38.7;38.0;0.06;0.01;0.04;0.6;0.6;0.0;9.0;15.1;6.1
208;Italië;2000;290.0;4.87;;14.6;26.0;38.6;35.4;0.13;0.05;0.09;1.2;1.1;-0.1;11.0;16.3;5.4
209;Italië;2001;292.0;5.36;;13.6;24.9;35.7;39.4;0.09;0.02;0.07;1.3;1.9;0.6;10.1;16.2;6.1
210;Italië;2002;297.0;5.67;;12.3;24.9;32.7;42.4;0.08;0.01;0.08;1.2;1.4;0.2;10.7;15.9;5.2
211;Italië;2003;304.0;5.78;;11.6;23.2;33.0;43.8;0.06;0.0;0.05;1.1;0.6;-0.5;11.9;15.8;3.8
212;Italië;2004;308.0;6.0;;11.4;25.3;34.7;40.0;0.04;0.0;0.04;1.0;1.1;0.1;12.7;16.2;3.4
213;Italië;2005;313.0;6.04;;11.6;25.6;34.7;39.8;0.05;0.0;0.04;1.1;2.3;1.2;12.5;16.4;3.9
214;Italië;2006;;;;10.9;26.3;31.5;42.3;0.08;0.0;0.08;2.1;2.2;0.2;15.7;20.2;4.5
215;Italië;2007;;;;10.6;;;;0.03;0.0;0.03;1.9;4.3;2.4;17.7;19.6;1.9
216;Italië;2008;;;;10.7;;;;0.05;0.0;0.05;;2.9;;14.2;19.2;5.0
217;Italië;2009;;;;;;;;0.05;0.0;0.04;1.0;1.0;0.1;17.3;23.0;5.8
218;Italië;2010;;;;;;;;0.03;0.0;0.02;0.4;1.6;1.1;16.1;23.7;7.6
219;Italië;2011;;;;;;;;0.01;0.0;0.01;1.3;2.2;0.8;15.1;23.3;8.2
220;Japan;1990;190.0;3.83;17.9;8.9;49.0;22.4;28.6;;;;0.1;1.6;1.6;0.3;6.5;6.2
221;Japan;1991;193.0;4.0;18.1;9.5;43.8;20.9;35.2;;;;0.0;0.9;0.9;0.3;6.6;6.2
222;Japan;1992;202.0;4.09;16.6;9.6;44.7;18.6;36.7;;;;0.1;0.4;0.4;0.4;6.4;6.0
223;Japan;1993;211.0;4.16;15.0;9.6;46.5;20.5;33.1;;;;0.0;0.3;0.3;0.4;5.9;5.5
224;Japan;1994;215.0;4.2;14.0;9.6;45.4;22.9;31.7;;;;0.0;0.4;0.4;0.4;5.7;5.3
225;Japan;1995;217.0;4.43;14.2;10.8;45.9;24.7;29.4;;;;0.0;0.4;0.4;0.6;4.5;3.8
226;Japan;1996;217.0;4.95;14.0;12.6;46.6;27.4;26.0;;;;0.0;0.5;0.5;0.6;5.5;4.9
227;Japan;1997;220.0;5.39;15.0;12.1;46.7;25.4;27.9;;;;0.1;0.6;0.5;0.6;6.3;5.7
228;Japan;1998;230.0;5.66;14.3;12.0;43.6;23.3;33.1;;;;0.1;0.6;0.5;0.7;6.9;6.2
229;Japan;1999;235.0;5.95;13.7;13.0;42.3;21.4;36.2;;;;0.3;0.5;0.2;1.0;5.6;4.6
230;Japan;2000;234.0;6.26;14.3;15.0;39.4;19.5;41.1;;;;0.2;0.7;0.5;1.1;5.9;4.8
231;Japan;2001;240.0;6.66;14.5;15.1;37.7;14.7;47.6;;;;0.2;0.9;0.8;1.2;7.2;6.0
232;Japan;2002;245.0;6.86;13.7;14.8;34.3;13.2;52.5;;;;0.2;0.8;0.6;2.0;7.6;5.7
233;Japan;2003;244.0;7.13;14.1;14.8;33.8;13.8;52.5;;;;0.1;0.7;0.6;2.1;7.8;5.7
