ID;Sex;Age;Nationality;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
2527;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2016;3
2528;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2017;2
2529;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2018;3
2530;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2019;8
2531;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2020;8
2532;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2021;7
2533;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2022;8
2534;Total male and female;0 to 4 years;Dominican (from Republic);St. Eustatius;2023;13
2535;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2011;3
2536;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2012;0
2537;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2013;0
2538;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2014;1
2539;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2015;1
2540;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2016;4
2541;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2017;2
2542;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2018;3
2543;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2019;2
2544;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2020;2
2545;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2021;2
2546;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2022;3
2547;Total male and female;0 to 4 years;Dominican (from Republic);Saba;2023;5
2548;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2011;1188
2549;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2012;1203
2550;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2013;1224
2551;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2014;1274
2552;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2015;1240
2553;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2016;1210
2554;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2017;1190
2555;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2018;1169
2556;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2019;1160
2557;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2020;1153
2558;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2021;1254
2559;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2022;1281
2560;Total male and female;0 to 4 years;Dutch;Caribbean Netherlands;2023;1298
2561;Total male and female;0 to 4 years;Dutch;Bonaire;2011;920
2562;Total male and female;0 to 4 years;Dutch;Bonaire;2012;941
2563;Total male and female;0 to 4 years;Dutch;Bonaire;2013;974
2564;Total male and female;0 to 4 years;Dutch;Bonaire;2014;1010
2565;Total male and female;0 to 4 years;Dutch;Bonaire;2015;997
2566;Total male and female;0 to 4 years;Dutch;Bonaire;2016;976
2567;Total male and female;0 to 4 years;Dutch;Bonaire;2017;951
2568;Total male and female;0 to 4 years;Dutch;Bonaire;2018;931
2569;Total male and female;0 to 4 years;Dutch;Bonaire;2019;926
2570;Total male and female;0 to 4 years;Dutch;Bonaire;2020;927
2571;Total male and female;0 to 4 years;Dutch;Bonaire;2021;1015
2572;Total male and female;0 to 4 years;Dutch;Bonaire;2022;1051
2573;Total male and female;0 to 4 years;Dutch;Bonaire;2023;1073
2574;Total male and female;0 to 4 years;Dutch;St. Eustatius;2011;191
2575;Total male and female;0 to 4 years;Dutch;St. Eustatius;2012;193
2576;Total male and female;0 to 4 years;Dutch;St. Eustatius;2013;174
2577;Total male and female;0 to 4 years;Dutch;St. Eustatius;2014;191
2578;Total male and female;0 to 4 years;Dutch;St. Eustatius;2015;173
2579;Total male and female;0 to 4 years;Dutch;St. Eustatius;2016;161
2580;Total male and female;0 to 4 years;Dutch;St. Eustatius;2017;162
2581;Total male and female;0 to 4 years;Dutch;St. Eustatius;2018;160
2582;Total male and female;0 to 4 years;Dutch;St. Eustatius;2019;151
2583;Total male and female;0 to 4 years;Dutch;St. Eustatius;2020;146
2584;Total male and female;0 to 4 years;Dutch;St. Eustatius;2021;167
2585;Total male and female;0 to 4 years;Dutch;St. Eustatius;2022;168
2586;Total male and female;0 to 4 years;Dutch;St. Eustatius;2023;169
2587;Total male and female;0 to 4 years;Dutch;Saba;2011;77
2588;Total male and female;0 to 4 years;Dutch;Saba;2012;69
2589;Total male and female;0 to 4 years;Dutch;Saba;2013;76
2590;Total male and female;0 to 4 years;Dutch;Saba;2014;73
2591;Total male and female;0 to 4 years;Dutch;Saba;2015;70
2592;Total male and female;0 to 4 years;Dutch;Saba;2016;73
2593;Total male and female;0 to 4 years;Dutch;Saba;2017;77
2594;Total male and female;0 to 4 years;Dutch;Saba;2018;78
2595;Total male and female;0 to 4 years;Dutch;Saba;2019;83
2596;Total male and female;0 to 4 years;Dutch;Saba;2020;80
2597;Total male and female;0 to 4 years;Dutch;Saba;2021;72
2598;Total male and female;0 to 4 years;Dutch;Saba;2022;62
2599;Total male and female;0 to 4 years;Dutch;Saba;2023;56
2600;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2011;0
2601;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2012;0
2602;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2013;0
2603;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2014;1
2604;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2015;1
2605;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2016;1
2606;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2017;2
2607;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2018;3
2608;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2019;2
2609;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2020;2
2610;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2021;3
2611;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2022;4
2612;Total male and female;0 to 4 years;Ecuadorian;Caribbean Netherlands;2023;6
2613;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2011;0
2614;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2012;0
2615;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2013;0
2616;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2014;1
2617;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2015;1
2618;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2016;1
2619;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2017;2
2620;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2018;3
2621;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2019;2
2622;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2020;2
2623;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2021;3
2624;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2022;4
2625;Total male and female;0 to 4 years;Ecuadorian;Bonaire;2023;6
2626;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2011;0
2627;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2012;0
2628;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2013;0
2629;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2014;0
2630;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2015;0
2631;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2016;0
2632;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2017;0
2633;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2018;0
2634;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2019;0
2635;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2020;0
2636;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2021;0
2637;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2022;0
2638;Total male and female;0 to 4 years;Ecuadorian;St. Eustatius;2023;0
2639;Total male and female;0 to 4 years;Ecuadorian;Saba;2011;0
2640;Total male and female;0 to 4 years;Ecuadorian;Saba;2012;0
2641;Total male and female;0 to 4 years;Ecuadorian;Saba;2013;0
2642;Total male and female;0 to 4 years;Ecuadorian;Saba;2014;0
2643;Total male and female;0 to 4 years;Ecuadorian;Saba;2015;0
2644;Total male and female;0 to 4 years;Ecuadorian;Saba;2016;0
2645;Total male and female;0 to 4 years;Ecuadorian;Saba;2017;0
2646;Total male and female;0 to 4 years;Ecuadorian;Saba;2018;0
2647;Total male and female;0 to 4 years;Ecuadorian;Saba;2019;0
2648;Total male and female;0 to 4 years;Ecuadorian;Saba;2020;0
2649;Total male and female;0 to 4 years;Ecuadorian;Saba;2021;0
2650;Total male and female;0 to 4 years;Ecuadorian;Saba;2022;0
2651;Total male and female;0 to 4 years;Ecuadorian;Saba;2023;0
2652;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2011;0
2653;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2012;0
2654;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2013;0
2655;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2014;2
2656;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2015;2
2657;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2016;3
2658;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2017;3
2659;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2018;3
2660;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2019;2
2661;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2020;2
2662;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2021;4
2663;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2022;5
2664;Total male and female;0 to 4 years;Guyanese;Caribbean Netherlands;2023;7
2665;Total male and female;0 to 4 years;Guyanese;Bonaire;2011;0
2666;Total male and female;0 to 4 years;Guyanese;Bonaire;2012;0
2667;Total male and female;0 to 4 years;Guyanese;Bonaire;2013;0
2668;Total male and female;0 to 4 years;Guyanese;Bonaire;2014;0
2669;Total male and female;0 to 4 years;Guyanese;Bonaire;2015;0
2670;Total male and female;0 to 4 years;Guyanese;Bonaire;2016;0
2671;Total male and female;0 to 4 years;Guyanese;Bonaire;2017;0
2672;Total male and female;0 to 4 years;Guyanese;Bonaire;2018;0
2673;Total male and female;0 to 4 years;Guyanese;Bonaire;2019;0
2674;Total male and female;0 to 4 years;Guyanese;Bonaire;2020;0
2675;Total male and female;0 to 4 years;Guyanese;Bonaire;2021;1
2676;Total male and female;0 to 4 years;Guyanese;Bonaire;2022;0
2677;Total male and female;0 to 4 years;Guyanese;Bonaire;2023;0
2678;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2011;0
2679;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2012;0
2680;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2013;0
2681;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2014;2
2682;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2015;2
2683;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2016;3
2684;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2017;3
2685;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2018;3
2686;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2019;2
2687;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2020;2
2688;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2021;3
2689;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2022;4
2690;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2023;6
2691;Total male and female;0 to 4 years;Guyanese;Saba;2011;0
2692;Total male and female;0 to 4 years;Guyanese;Saba;2012;0
2693;Total male and female;0 to 4 years;Guyanese;Saba;2013;0
2694;Total male and female;0 to 4 years;Guyanese;Saba;2014;0
2695;Total male and female;0 to 4 years;Guyanese;Saba;2015;0
2696;Total male and female;0 to 4 years;Guyanese;Saba;2016;0
2697;Total male and female;0 to 4 years;Guyanese;Saba;2017;0
2698;Total male and female;0 to 4 years;Guyanese;Saba;2018;0
2699;Total male and female;0 to 4 years;Guyanese;Saba;2019;0
2700;Total male and female;0 to 4 years;Guyanese;Saba;2020;0
2701;Total male and female;0 to 4 years;Guyanese;Saba;2021;0
2702;Total male and female;0 to 4 years;Guyanese;Saba;2022;1
2703;Total male and female;0 to 4 years;Guyanese;Saba;2023;1
2704;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2011;3
2705;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2012;2
2706;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2013;1
2707;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2014;0
2708;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2015;0
2709;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2016;0
2710;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2017;2
2711;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2018;3
2712;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2019;6
2713;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2020;6
2714;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2021;8
2715;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2022;8
2716;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2023;10
2717;Total male and female;0 to 4 years;Haitian;Bonaire;2011;1
2718;Total male and female;0 to 4 years;Haitian;Bonaire;2012;1
2719;Total male and female;0 to 4 years;Haitian;Bonaire;2013;0
2720;Total male and female;0 to 4 years;Haitian;Bonaire;2014;0
2721;Total male and female;0 to 4 years;Haitian;Bonaire;2015;0
2722;Total male and female;0 to 4 years;Haitian;Bonaire;2016;0
2723;Total male and female;0 to 4 years;Haitian;Bonaire;2017;2
2724;Total male and female;0 to 4 years;Haitian;Bonaire;2018;3
2725;Total male and female;0 to 4 years;Haitian;Bonaire;2019;6
2726;Total male and female;0 to 4 years;Haitian;Bonaire;2020;5
2727;Total male and female;0 to 4 years;Haitian;Bonaire;2021;6
2728;Total male and female;0 to 4 years;Haitian;Bonaire;2022;6
2729;Total male and female;0 to 4 years;Haitian;Bonaire;2023;8
2730;Total male and female;0 to 4 years;Haitian;St. Eustatius;2011;0
2731;Total male and female;0 to 4 years;Haitian;St. Eustatius;2012;0
2732;Total male and female;0 to 4 years;Haitian;St. Eustatius;2013;0
2733;Total male and female;0 to 4 years;Haitian;St. Eustatius;2014;0
2734;Total male and female;0 to 4 years;Haitian;St. Eustatius;2015;0
2735;Total male and female;0 to 4 years;Haitian;St. Eustatius;2016;0
2736;Total male and female;0 to 4 years;Haitian;St. Eustatius;2017;0
2737;Total male and female;0 to 4 years;Haitian;St. Eustatius;2018;0
2738;Total male and female;0 to 4 years;Haitian;St. Eustatius;2019;0
2739;Total male and female;0 to 4 years;Haitian;St. Eustatius;2020;0
2740;Total male and female;0 to 4 years;Haitian;St. Eustatius;2021;1
2741;Total male and female;0 to 4 years;Haitian;St. Eustatius;2022;1
2742;Total male and female;0 to 4 years;Haitian;St. Eustatius;2023;1
2743;Total male and female;0 to 4 years;Haitian;Saba;2011;2
2744;Total male and female;0 to 4 years;Haitian;Saba;2012;1
2745;Total male and female;0 to 4 years;Haitian;Saba;2013;1
2746;Total male and female;0 to 4 years;Haitian;Saba;2014;0
2747;Total male and female;0 to 4 years;Haitian;Saba;2015;0
2748;Total male and female;0 to 4 years;Haitian;Saba;2016;0
2749;Total male and female;0 to 4 years;Haitian;Saba;2017;0
2750;Total male and female;0 to 4 years;Haitian;Saba;2018;0
2751;Total male and female;0 to 4 years;Haitian;Saba;2019;0
2752;Total male and female;0 to 4 years;Haitian;Saba;2020;1
2753;Total male and female;0 to 4 years;Haitian;Saba;2021;1
2754;Total male and female;0 to 4 years;Haitian;Saba;2022;1
2755;Total male and female;0 to 4 years;Haitian;Saba;2023;1
2756;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2011;0
2757;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2012;0
2758;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2013;1
2759;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2014;2
2760;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2015;2
2761;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2016;3
2762;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2017;2
2763;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2018;3
2764;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2019;3
2765;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2020;3
2766;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2021;3
2767;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2022;3
2768;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2023;1
2769;Total male and female;0 to 4 years;Jamaican;Bonaire;2011;0
2770;Total male and female;0 to 4 years;Jamaican;Bonaire;2012;0
2771;Total male and female;0 to 4 years;Jamaican;Bonaire;2013;1
2772;Total male and female;0 to 4 years;Jamaican;Bonaire;2014;2
2773;Total male and female;0 to 4 years;Jamaican;Bonaire;2015;1
2774;Total male and female;0 to 4 years;Jamaican;Bonaire;2016;2
2775;Total male and female;0 to 4 years;Jamaican;Bonaire;2017;2
2776;Total male and female;0 to 4 years;Jamaican;Bonaire;2018;3
2777;Total male and female;0 to 4 years;Jamaican;Bonaire;2019;3
2778;Total male and female;0 to 4 years;Jamaican;Bonaire;2020;3
2779;Total male and female;0 to 4 years;Jamaican;Bonaire;2021;3
2780;Total male and female;0 to 4 years;Jamaican;Bonaire;2022;3
2781;Total male and female;0 to 4 years;Jamaican;Bonaire;2023;1
2782;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2011;0
2783;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2012;0
2784;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2013;0
2785;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2014;0
2786;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2015;1
2787;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2016;1
2788;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2017;0
2789;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2018;0
2790;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2019;0
2791;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2020;0
2792;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2021;0
2793;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2022;0
2794;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2023;0
2795;Total male and female;0 to 4 years;Jamaican;Saba;2011;0
2796;Total male and female;0 to 4 years;Jamaican;Saba;2012;0
2797;Total male and female;0 to 4 years;Jamaican;Saba;2013;0
2798;Total male and female;0 to 4 years;Jamaican;Saba;2014;0
2799;Total male and female;0 to 4 years;Jamaican;Saba;2015;0
2800;Total male and female;0 to 4 years;Jamaican;Saba;2016;0
2801;Total male and female;0 to 4 years;Jamaican;Saba;2017;0
2802;Total male and female;0 to 4 years;Jamaican;Saba;2018;0
2803;Total male and female;0 to 4 years;Jamaican;Saba;2019;0
2804;Total male and female;0 to 4 years;Jamaican;Saba;2020;0
2805;Total male and female;0 to 4 years;Jamaican;Saba;2021;0
2806;Total male and female;0 to 4 years;Jamaican;Saba;2022;0
2807;Total male and female;0 to 4 years;Jamaican;Saba;2023;0
2808;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2011;3
2809;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2012;2
2810;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2013;2
2811;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2014;1
2812;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2015;4
2813;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2016;4
2814;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2017;8
2815;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2018;9
2816;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2019;9
2817;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2020;11
2818;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2021;14
2819;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2022;13
2820;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2023;15
2821;Total male and female;0 to 4 years;Peruvian;Bonaire;2011;3
2822;Total male and female;0 to 4 years;Peruvian;Bonaire;2012;2
2823;Total male and female;0 to 4 years;Peruvian;Bonaire;2013;2
2824;Total male and female;0 to 4 years;Peruvian;Bonaire;2014;1
2825;Total male and female;0 to 4 years;Peruvian;Bonaire;2015;4
2826;Total male and female;0 to 4 years;Peruvian;Bonaire;2016;4
2827;Total male and female;0 to 4 years;Peruvian;Bonaire;2017;8
2828;Total male and female;0 to 4 years;Peruvian;Bonaire;2018;9
2829;Total male and female;0 to 4 years;Peruvian;Bonaire;2019;9
2830;Total male and female;0 to 4 years;Peruvian;Bonaire;2020;11
2831;Total male and female;0 to 4 years;Peruvian;Bonaire;2021;14
2832;Total male and female;0 to 4 years;Peruvian;Bonaire;2022;13
2833;Total male and female;0 to 4 years;Peruvian;Bonaire;2023;15
2834;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2011;0
2835;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2012;0
2836;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2013;0
2837;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2014;0
2838;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2015;0
2839;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2016;0
2840;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2017;0
2841;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2018;0
2842;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2019;0
2843;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2020;0
2844;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2021;0
2845;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2022;0
2846;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2023;0
2847;Total male and female;0 to 4 years;Peruvian;Saba;2011;0
2848;Total male and female;0 to 4 years;Peruvian;Saba;2012;0
2849;Total male and female;0 to 4 years;Peruvian;Saba;2013;0
2850;Total male and female;0 to 4 years;Peruvian;Saba;2014;0
2851;Total male and female;0 to 4 years;Peruvian;Saba;2015;0
2852;Total male and female;0 to 4 years;Peruvian;Saba;2016;0
2853;Total male and female;0 to 4 years;Peruvian;Saba;2017;0
2854;Total male and female;0 to 4 years;Peruvian;Saba;2018;0
2855;Total male and female;0 to 4 years;Peruvian;Saba;2019;0
2856;Total male and female;0 to 4 years;Peruvian;Saba;2020;0
2857;Total male and female;0 to 4 years;Peruvian;Saba;2021;0
2858;Total male and female;0 to 4 years;Peruvian;Saba;2022;0
2859;Total male and female;0 to 4 years;Peruvian;Saba;2023;0
2860;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2011;2
2861;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2012;1
2862;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2013;2
2863;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2014;2
2864;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2015;2
2865;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2016;5
2866;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2017;5
2867;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2018;4
2868;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2019;2
2869;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2020;1
2870;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2021;1
2871;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2022;2
2872;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2023;4
2873;Total male and female;0 to 4 years;Surinamese;Bonaire;2011;2
2874;Total male and female;0 to 4 years;Surinamese;Bonaire;2012;0
2875;Total male and female;0 to 4 years;Surinamese;Bonaire;2013;1
2876;Total male and female;0 to 4 years;Surinamese;Bonaire;2014;2
2877;Total male and female;0 to 4 years;Surinamese;Bonaire;2015;2
2878;Total male and female;0 to 4 years;Surinamese;Bonaire;2016;5
2879;Total male and female;0 to 4 years;Surinamese;Bonaire;2017;4
2880;Total male and female;0 to 4 years;Surinamese;Bonaire;2018;4
2881;Total male and female;0 to 4 years;Surinamese;Bonaire;2019;2
2882;Total male and female;0 to 4 years;Surinamese;Bonaire;2020;1
2883;Total male and female;0 to 4 years;Surinamese;Bonaire;2021;1
2884;Total male and female;0 to 4 years;Surinamese;Bonaire;2022;1
2885;Total male and female;0 to 4 years;Surinamese;Bonaire;2023;3
2886;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2011;0
2887;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2012;1
2888;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2013;1
2889;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2014;0
2890;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2015;0
2891;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2016;0
2892;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2017;1
2893;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2018;0
2894;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2019;0
2895;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2020;0
2896;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2021;0
2897;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2022;1
2898;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2023;1
2899;Total male and female;0 to 4 years;Surinamese;Saba;2011;0
2900;Total male and female;0 to 4 years;Surinamese;Saba;2012;0
2901;Total male and female;0 to 4 years;Surinamese;Saba;2013;0
2902;Total male and female;0 to 4 years;Surinamese;Saba;2014;0
2903;Total male and female;0 to 4 years;Surinamese;Saba;2015;0
2904;Total male and female;0 to 4 years;Surinamese;Saba;2016;0
2905;Total male and female;0 to 4 years;Surinamese;Saba;2017;0
2906;Total male and female;0 to 4 years;Surinamese;Saba;2018;0
2907;Total male and female;0 to 4 years;Surinamese;Saba;2019;0
2908;Total male and female;0 to 4 years;Surinamese;Saba;2020;0
2909;Total male and female;0 to 4 years;Surinamese;Saba;2021;0
2910;Total male and female;0 to 4 years;Surinamese;Saba;2022;0
2911;Total male and female;0 to 4 years;Surinamese;Saba;2023;0
2912;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2011;0
2913;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2012;0
2914;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2013;0
2915;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2014;0
2916;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2015;0
2917;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2016;0
