ID;EnergySourcesTechniques;Periods;GrossProductionWithNormalisation_1;GrossProductionOfElectricity_2;NetProductionOfElectricity_3;GrossProductionWithNormalisation_4;GrossProductionOfElectricity_5;NetProductionOfElectricity_6;InstallationsInstalledEndOfYear_7;ElectricalCapacityEndOfYear_8
307;Co-firing of biomass in electr. plants;2017;530.0;530.0;503.0;0.44;0.44;0.43;;
308;Co-firing of biomass in electr. plants;2018;654.0;654.0;608.0;0.54;0.54;0.51;;
309;Co-firing of biomass in electr. plants;2019;1865.0;1865.0;1730.0;1.53;1.53;1.46;;
310;Co-firing of biomass in electr. plants;2020;4762.0;4762.0;4407.0;3.94;3.95;3.76;;
311;Co-firing of biomass in electr. plants;2021;6770.0;6770.0;6311.0;5.53;5.53;5.34;;
312;Co-firing of biomass in electr. plants;2022;5541.0;5541.0;5155.0;4.72;4.72;4.56;;
313;Co-firing of biomass in electr. plants;2023;3775.0;3776.0;3518.0;3.26;3.26;3.14;;
314;Co-firing of biomass in electr. plants;2024;;3294.0;3093.0;;2.77;2.67;;
315;Biomass boilers companies, CHP;1990;34.0;34.0;33.0;0.04;0.04;0.04;;
316;Biomass boilers companies, CHP;1991;34.0;34.0;32.0;0.04;0.04;0.04;;
317;Biomass boilers companies, CHP;1992;30.0;30.0;29.0;0.04;0.04;0.03;;
318;Biomass boilers companies, CHP;1993;25.0;25.0;24.0;0.03;0.03;0.03;;
319;Biomass boilers companies, CHP;1994;31.0;31.0;29.0;0.03;0.03;0.03;;
320;Biomass boilers companies, CHP;1995;36.0;36.0;35.0;0.04;0.04;0.04;;
321;Biomass boilers companies, CHP;1996;30.0;30.0;29.0;0.03;0.03;0.03;;
322;Biomass boilers companies, CHP;1997;31.0;31.0;29.0;0.03;0.03;0.03;;
323;Biomass boilers companies, CHP;1998;27.0;27.0;25.0;0.03;0.03;0.03;;
324;Biomass boilers companies, CHP;1999;66.0;66.0;62.0;0.06;0.06;0.06;;
325;Biomass boilers companies, CHP;2000;234.0;234.0;216.0;0.22;0.22;0.21;4.0;
326;Biomass boilers companies, CHP;2001;239.0;239.0;221.0;0.22;0.22;0.21;5.0;
327;Biomass boilers companies, CHP;2002;233.0;233.0;216.0;0.21;0.21;0.2;4.0;
328;Biomass boilers companies, CHP;2003;223.0;223.0;205.0;0.2;0.2;0.19;5.0;
329;Biomass boilers companies, CHP;2004;235.0;235.0;217.0;0.2;0.2;0.19;5.0;
330;Biomass boilers companies, CHP;2005;253.0;253.0;235.0;0.21;0.21;0.21;5.0;
331;Biomass boilers companies, CHP;2006;256.0;256.0;236.0;0.21;0.21;0.2;6.0;
332;Biomass boilers companies, CHP;2007;279.0;279.0;254.0;0.23;0.23;0.21;13.0;
333;Biomass boilers companies, CHP;2008;741.0;741.0;664.0;0.6;0.6;0.56;17.0;
334;Biomass boilers companies, CHP;2009;1009.0;1009.0;895.0;0.85;0.85;0.79;17.0;
335;Biomass boilers companies, CHP;2010;1015.0;1015.0;894.0;0.83;0.83;0.76;18.0;
336;Biomass boilers companies, CHP;2011;794.0;806.0;705.0;0.65;0.66;0.59;18.0;
337;Biomass boilers companies, CHP;2012;1007.0;1007.0;885.0;0.84;0.84;0.76;18.0;
338;Biomass boilers companies, CHP;2013;1084.0;1084.0;961.0;0.9;0.9;0.83;20.0;
339;Biomass boilers companies, CHP;2014;1166.0;1166.0;1021.0;0.99;0.99;0.9;18.0;
340;Biomass boilers companies, CHP;2015;1388.0;1388.0;1219.0;1.16;1.16;1.07;19.0;
341;Biomass boilers companies, CHP;2016;1465.0;1465.0;1281.0;1.22;1.22;1.11;18.0;
342;Biomass boilers companies, CHP;2017;1242.0;1242.0;1050.0;1.03;1.03;0.9;19.0;
343;Biomass boilers companies, CHP;2018;849.0;849.0;692.0;0.7;0.7;0.58;21.0;
344;Biomass boilers companies, CHP;2019;972.0;972.0;814.0;0.8;0.8;0.69;;
345;Biomass boilers companies, CHP;2020;1022.0;1022.0;870.0;0.85;0.85;0.74;;
346;Biomass boilers companies, CHP;2021;580.0;1071.0;886.0;0.47;0.88;0.75;;
347;Biomass boilers companies, CHP;2022;209.0;1214.0;1011.0;0.18;1.03;0.89;;
348;Biomass boilers companies, CHP;2023;1030.0;1150.0;971.0;0.89;0.99;0.87;;
349;Biomass boilers companies, CHP;2024;;1029.0;858.0;;0.86;0.74;;
350;Total biogas;1990;94.0;91.0;88.0;0.12;0.11;0.11;;19.0
351;Total biogas;1991;125.0;120.0;116.0;0.15;0.14;0.14;;21.0
352;Total biogas;1992;144.0;129.0;125.0;0.17;0.15;0.15;;22.0
353;Total biogas;1993;194.0;180.0;175.0;0.22;0.21;0.21;;35.0
354;Total biogas;1994;238.0;225.0;219.0;0.26;0.25;0.25;;45.0
355;Total biogas;1995;266.0;254.0;247.0;0.29;0.27;0.28;;51.0
356;Total biogas;1996;283.0;272.0;264.0;0.29;0.28;0.29;;55.0
357;Total biogas;1997;279.0;267.0;259.0;0.28;0.27;0.27;;52.0
358;Total biogas;1998;271.0;257.0;249.0;0.26;0.25;0.25;;54.0
359;Total biogas;1999;294.0;276.0;268.0;0.28;0.26;0.26;;56.0
360;Total biogas;2000;305.0;286.0;277.0;0.28;0.26;0.26;;59.0
361;Total biogas;2001;328.0;310.0;301.0;0.3;0.28;0.28;;61.0
362;Total biogas;2002;348.0;333.0;323.0;0.31;0.3;0.3;;66.0
363;Total biogas;2003;339.0;327.0;317.0;0.3;0.29;0.29;;65.0
364;Total biogas;2004;310.0;293.0;284.0;0.26;0.25;0.25;;59.0
365;Total biogas;2005;312.0;295.0;286.0;0.26;0.25;0.25;;68.0
366;Total biogas;2006;379.0;361.0;351.0;0.32;0.3;0.3;;89.0
367;Total biogas;2007;529.0;511.0;496.0;0.43;0.42;0.42;;124.0
368;Total biogas;2008;751.0;733.0;711.0;0.61;0.59;0.6;;167.0
369;Total biogas;2009;934.0;916.0;888.0;0.79;0.77;0.78;;186.0
370;Total biogas;2010;1044.0;1028.0;997.0;0.86;0.84;0.85;;200.0
371;Total biogas;2011;1045.0;1036.0;1005.0;0.85;0.84;0.85;;217.0
372;Total biogas;2012;1031.0;1009.0;979.0;0.86;0.84;0.84;;219.0
373;Total biogas;2013;1028.0;980.0;951.0;0.86;0.82;0.82;;230.0
374;Total biogas;2014;1077.0;1005.0;976.0;0.91;0.85;0.86;;237.0
375;Total biogas;2015;1130.0;1036.0;1005.0;0.95;0.87;0.88;;239.0
376;Total biogas;2016;1098.0;993.0;961.0;0.91;0.83;0.83;;221.0
377;Total biogas;2017;1053.0;923.0;896.0;0.87;0.76;0.77;;221.0
378;Total biogas;2018;1026.0;887.0;860.0;0.84;0.73;0.72;;229.0
379;Total biogas;2019;1092.0;895.0;865.0;0.89;0.73;0.73;;203.0
380;Total biogas;2020;1143.0;870.0;843.0;0.95;0.72;0.72;;205.0
381;Total biogas;2021;756.0;868.0;842.0;0.62;0.71;0.71;;180.0
382;Total biogas;2022;390.0;840.0;815.0;0.33;0.72;0.72;;179.0
383;Total biogas;2023;368.0;699.0;678.0;0.32;0.6;0.61;;184.0
384;Total biogas;2024;;691.0;670.0;;0.58;0.58;;
385;Biogas from landfills;1990;19.0;17.0;16.0;0.02;0.02;0.02;;4.0
386;Biogas from landfills;1991;34.0;29.0;28.0;0.04;0.03;0.03;;6.0
387;Biogas from landfills;1992;47.0;32.0;31.0;0.06;0.04;0.04;;7.0
388;Biogas from landfills;1993;92.0;78.0;76.0;0.11;0.09;0.09;;17.0
389;Biogas from landfills;1994;136.0;124.0;120.0;0.15;0.14;0.14;;27.0
390;Biogas from landfills;1995;153.0;142.0;138.0;0.17;0.15;0.15;;31.0
391;Biogas from landfills;1996;171.0;160.0;155.0;0.18;0.17;0.17;;35.0
392;Biogas from landfills;1997;157.0;145.0;141.0;0.16;0.15;0.15;;32.0
393;Biogas from landfills;1998;163.0;149.0;145.0;0.16;0.14;0.15;;33.0
394;Biogas from landfills;1999;171.0;153.0;149.0;0.16;0.15;0.15;;34.0
395;Biogas from landfills;2000;177.0;158.0;153.0;0.16;0.15;0.15;;35.0
396;Biogas from landfills;2001;182.0;165.0;160.0;0.16;0.15;0.15;;37.0
397;Biogas from landfills;2002;197.0;181.0;176.0;0.18;0.16;0.16;;40.0
398;Biogas from landfills;2003;183.0;171.0;166.0;0.16;0.15;0.15;;38.0
399;Biogas from landfills;2004;155.0;138.0;134.0;0.13;0.12;0.12;;32.0
400;Biogas from landfills;2005;148.0;131.0;127.0;0.13;0.11;0.11;;31.0
401;Biogas from landfills;2006;144.0;127.0;123.0;0.12;0.11;0.11;;32.0
402;Biogas from landfills;2007;132.0;114.0;111.0;0.11;0.09;0.09;;30.0
403;Biogas from landfills;2008;126.0;109.0;106.0;0.1;0.09;0.09;;31.0
404;Biogas from landfills;2009;118.0;100.0;97.0;0.1;0.08;0.08;;29.0
405;Biogas from landfills;2010;109.0;93.0;90.0;0.09;0.08;0.08;;28.0
406;Biogas from landfills;2011;87.0;82.0;79.0;0.07;0.07;0.07;;27.0
407;Biogas from landfills;2012;74.0;68.0;66.0;0.06;0.06;0.06;;23.0
408;Biogas from landfills;2013;60.0;55.0;53.0;0.05;0.05;0.05;;24.0
409;Biogas from landfills;2014;55.0;46.0;46.0;0.05;0.04;0.04;;20.0
410;Biogas from landfills;2015;50.0;43.0;42.0;0.04;0.04;0.04;;20.0
411;Biogas from landfills;2016;40.0;34.0;33.0;0.03;0.03;0.03;;21.0
412;Biogas from landfills;2017;36.0;30.0;29.0;0.03;0.02;0.02;;21.0
413;Biogas from landfills;2018;29.0;23.0;21.0;0.02;0.02;0.02;;19.0
414;Biogas from landfills;2019;28.0;21.0;17.0;0.02;0.02;0.01;;20.0
415;Biogas from landfills;2020;21.0;14.0;12.0;0.02;0.01;0.01;;19.0
416;Biogas from landfills;2021;19.0;13.0;13.0;0.02;0.01;0.01;;12.0
417;Biogas from landfills;2022;20.0;14.0;13.0;0.02;0.01;0.01;;10.0
418;Biogas from landfills;2023;22.0;16.0;16.0;0.02;0.01;0.01;;10.0
419;Biogas from landfills;2024;;16.0;16.0;;0.01;0.01;;
420;Biogas from sewage water purification;1990;71.0;71.0;68.0;0.09;0.09;0.09;;14.0
421;Biogas from sewage water purification;1991;87.0;87.0;84.0;0.1;0.1;0.1;;13.0
422;Biogas from sewage water purification;1992;92.0;92.0;89.0;0.11;0.11;0.11;;13.0
423;Biogas from sewage water purification;1993;95.0;95.0;92.0;0.11;0.11;0.11;;16.0
424;Biogas from sewage water purification;1994;98.0;98.0;96.0;0.11;0.11;0.11;;17.0
425;Biogas from sewage water purification;1995;106.0;106.0;103.0;0.11;0.11;0.12;;17.0
426;Biogas from sewage water purification;1996;102.0;102.0;99.0;0.11;0.11;0.11;;17.0
427;Biogas from sewage water purification;1997;113.0;113.0;110.0;0.11;0.11;0.11;;17.0
428;Biogas from sewage water purification;1998;98.0;98.0;95.0;0.1;0.1;0.1;;18.0
429;Biogas from sewage water purification;1999;109.0;109.0;106.0;0.1;0.1;0.1;;19.0
430;Biogas from sewage water purification;2000;111.0;111.0;107.0;0.1;0.1;0.1;;19.0
431;Biogas from sewage water purification;2001;129.0;129.0;125.0;0.12;0.12;0.12;;20.0
432;Biogas from sewage water purification;2002;130.0;130.0;126.0;0.12;0.12;0.12;;20.0
433;Biogas from sewage water purification;2003;129.0;129.0;125.0;0.11;0.11;0.11;;20.0
434;Biogas from sewage water purification;2004;133.0;133.0;129.0;0.11;0.11;0.11;;22.0
435;Biogas from sewage water purification;2005;123.0;123.0;120.0;0.1;0.1;0.1;;23.0
436;Biogas from sewage water purification;2006;132.0;132.0;128.0;0.11;0.11;0.11;;28.0
437;Biogas from sewage water purification;2007;143.0;143.0;139.0;0.12;0.12;0.12;;34.0
438;Biogas from sewage water purification;2008;150.0;150.0;145.0;0.12;0.12;0.12;;34.0
439;Biogas from sewage water purification;2009;151.0;151.0;146.0;0.13;0.13;0.13;;34.0
440;Biogas from sewage water purification;2010;164.0;164.0;159.0;0.13;0.13;0.13;;36.0
441;Biogas from sewage water purification;2011;173.0;173.0;168.0;0.14;0.14;0.14;;37.0
442;Biogas from sewage water purification;2012;185.0;185.0;179.0;0.15;0.15;0.15;;40.0
443;Biogas from sewage water purification;2013;194.0;194.0;188.0;0.16;0.16;0.16;;41.0
444;Biogas from sewage water purification;2014;201.0;201.0;195.0;0.17;0.17;0.17;;44.0
445;Biogas from sewage water purification;2015;206.0;206.0;200.0;0.17;0.17;0.18;;43.0
446;Biogas from sewage water purification;2016;208.0;208.0;200.0;0.17;0.17;0.17;;38.0
447;Biogas from sewage water purification;2017;196.0;196.0;190.0;0.16;0.16;0.16;;38.0
448;Biogas from sewage water purification;2018;198.0;195.0;189.0;0.16;0.16;0.16;;44.0
449;Biogas from sewage water purification;2019;207.0;202.0;196.0;0.17;0.17;0.17;;41.0
450;Biogas from sewage water purification;2020;218.0;205.0;199.0;0.18;0.17;0.17;;42.0
451;Biogas from sewage water purification;2021;200.0;180.0;174.0;0.16;0.15;0.15;;39.0
452;Biogas from sewage water purification;2022;184.0;163.0;158.0;0.16;0.14;0.14;;41.0
453;Biogas from sewage water purification;2023;184.0;157.0;152.0;0.16;0.14;0.14;;41.0
454;Biogas from sewage water purification;2024;;157.0;152.0;;0.13;0.13;;
455;Biogas, co-digestion of manure;1990;;;;;;;;
456;Biogas, co-digestion of manure;1991;;;;;;;;
457;Biogas, co-digestion of manure;1992;;;;;;;;
458;Biogas, co-digestion of manure;1993;;;;;;;;
459;Biogas, co-digestion of manure;1994;;;;;;;;
460;Biogas, co-digestion of manure;1995;;;;;;;;
461;Biogas, co-digestion of manure;1996;;;;;;;;
462;Biogas, co-digestion of manure;1997;;;;;;;;
463;Biogas, co-digestion of manure;1998;;;;;;;;
464;Biogas, co-digestion of manure;1999;;;;;;;;
465;Biogas, co-digestion of manure;2000;;;;;;;;
466;Biogas, co-digestion of manure;2001;;;;;;;;
467;Biogas, co-digestion of manure;2002;;;;;;;;
468;Biogas, co-digestion of manure;2003;;;;;;;;
469;Biogas, co-digestion of manure;2004;;;;;;;;
470;Biogas, co-digestion of manure;2005;9.0;9.0;9.0;0.01;0.01;0.01;17.0;5.0
471;Biogas, co-digestion of manure;2006;59.0;59.0;57.0;0.05;0.05;0.05;34.0;18.0
472;Biogas, co-digestion of manure;2007;187.0;187.0;181.0;0.15;0.15;0.15;52.0;43.0
473;Biogas, co-digestion of manure;2008;370.0;370.0;359.0;0.3;0.3;0.3;74.0;76.0
474;Biogas, co-digestion of manure;2009;528.0;528.0;512.0;0.45;0.45;0.45;85.0;94.0
475;Biogas, co-digestion of manure;2010;575.0;575.0;557.0;0.47;0.47;0.47;92.0;98.0
476;Biogas, co-digestion of manure;2011;562.0;562.0;545.0;0.46;0.46;0.46;98.0;113.0
477;Biogas, co-digestion of manure;2012;550.0;550.0;534.0;0.46;0.46;0.46;95.0;117.0
478;Biogas, co-digestion of manure;2013;525.0;525.0;510.0;0.44;0.44;0.44;95.0;121.0
479;Biogas, co-digestion of manure;2014;525.0;525.0;509.0;0.44;0.44;0.45;101.0;131.0
480;Biogas, co-digestion of manure;2015;553.0;553.0;537.0;0.46;0.46;0.47;97.0;133.0
481;Biogas, co-digestion of manure;2016;524.0;524.0;508.0;0.44;0.44;0.44;95.0;119.0
482;Biogas, co-digestion of manure;2017;509.0;509.0;494.0;0.42;0.42;0.42;95.0;119.0
483;Biogas, co-digestion of manure;2018;520.0;493.0;479.0;0.43;0.4;0.4;91.0;123.0
484;Biogas, co-digestion of manure;2019;541.0;471.0;457.0;0.44;0.39;0.39;95.0;100.0
485;Biogas, co-digestion of manure;2020;565.0;447.0;434.0;0.47;0.37;0.37;95.0;104.0
486;Biogas, co-digestion of manure;2021;327.0;457.0;443.0;0.27;0.37;0.38;142.0;93.0
487;Biogas, co-digestion of manure;2022;77.0;447.0;434.0;0.07;0.38;0.38;142.0;97.0
488;Biogas, co-digestion of manure;2023;56.0;323.0;314.0;0.05;0.28;0.28;142.0;101.0
489;Biogas, co-digestion of manure;2024;;323.0;314.0;;0.27;0.27;;
490;Other biogas;1990;4.0;4.0;4.0;0.01;0.01;0.01;;1.0
491;Other biogas;1991;4.0;4.0;4.0;0.0;0.0;0.0;;1.0
492;Other biogas;1992;5.0;5.0;5.0;0.01;0.01;0.01;;1.0
493;Other biogas;1993;7.0;7.0;7.0;0.01;0.01;0.01;;2.0
494;Other biogas;1994;3.0;3.0;3.0;0.0;0.0;0.0;;1.0
495;Other biogas;1995;7.0;7.0;7.0;0.01;0.01;0.01;;2.0
496;Other biogas;1996;10.0;10.0;9.0;0.01;0.01;0.01;;2.0
497;Other biogas;1997;8.0;8.0;8.0;0.01;0.01;0.01;;2.0
498;Other biogas;1998;10.0;10.0;10.0;0.01;0.01;0.01;;2.0
499;Other biogas;1999;14.0;14.0;13.0;0.01;0.01;0.01;;3.0
500;Other biogas;2000;17.0;17.0;16.0;0.02;0.02;0.02;;4.0
501;Other biogas;2001;17.0;17.0;16.0;0.01;0.01;0.02;;4.0
502;Other biogas;2002;22.0;22.0;21.0;0.02;0.02;0.02;;5.0
503;Other biogas;2003;28.0;28.0;27.0;0.02;0.02;0.02;;7.0
504;Other biogas;2004;22.0;22.0;21.0;0.02;0.02;0.02;;6.0
505;Other biogas;2005;32.0;32.0;31.0;0.03;0.03;0.03;;8.0
506;Other biogas;2006;44.0;44.0;42.0;0.04;0.04;0.04;;11.0
507;Other biogas;2007;67.0;67.0;65.0;0.05;0.05;0.05;;17.0
508;Other biogas;2008;104.0;104.0;101.0;0.08;0.08;0.08;;26.0
509;Other biogas;2009;137.0;137.0;133.0;0.12;0.12;0.12;;29.0
510;Other biogas;2010;196.0;196.0;190.0;0.16;0.16;0.16;;38.0
511;Other biogas;2011;223.0;219.0;212.0;0.18;0.18;0.18;;40.0
512;Other biogas;2012;221.0;206.0;200.0;0.18;0.17;0.17;;40.0
513;Other biogas;2013;248.0;206.0;200.0;0.21;0.17;0.17;;43.0
514;Other biogas;2014;296.0;233.0;226.0;0.25;0.2;0.2;;43.0
515;Other biogas;2015;320.0;233.0;226.0;0.27;0.2;0.2;;43.0
516;Other biogas;2016;326.0;227.0;219.0;0.27;0.19;0.19;;43.0
517;Other biogas;2017;312.0;189.0;183.0;0.26;0.16;0.16;;43.0
518;Other biogas;2018;279.0;175.0;170.0;0.23;0.14;0.14;;41.0
519;Other biogas;2019;317.0;201.0;195.0;0.26;0.16;0.16;;42.0
520;Other biogas;2020;340.0;204.0;198.0;0.28;0.17;0.17;;40.0
521;Other biogas;2021;209.0;218.0;212.0;0.17;0.18;0.18;;37.0
522;Other biogas;2022;108.0;216.0;209.0;0.09;0.18;0.18;;31.0
523;Other biogas;2023;106.0;203.0;197.0;0.09;0.18;0.18;;33.0
524;Other biogas;2024;;195.0;189.0;;0.16;0.16;;
