ID;Landen;SITC;Perioden;TotaleInvoerwaarde_1;TotaleUitvoerwaarde_2
162;Totaal landen;0 Voeding en levende dieren;2017 juni;3379.0;5243.0
163;Totaal landen;0 Voeding en levende dieren;2017 juli;3124.0;4940.0
164;Totaal landen;0 Voeding en levende dieren;2017 augustus;3245.0;5198.0
165;Totaal landen;0 Voeding en levende dieren;2017 september;3041.0;5123.0
166;Totaal landen;0 Voeding en levende dieren;2017 oktober;3336.0;5295.0
167;Totaal landen;0 Voeding en levende dieren;2017 november;3368.0;5414.0
168;Totaal landen;0 Voeding en levende dieren;2017 december;3113.0;4893.0
169;Totaal landen;0 Voeding en levende dieren;2017;39071.0;61201.0
170;Totaal landen;0 Voeding en levende dieren;2018 januari;3400.0;5060.0
171;Totaal landen;0 Voeding en levende dieren;2018 februari;3084.0;4714.0
172;Totaal landen;0 Voeding en levende dieren;2018 maart;3490.0;5386.0
173;Totaal landen;0 Voeding en levende dieren;2018 april;3367.0;5033.0
174;Totaal landen;0 Voeding en levende dieren;2018 mei;3494.0;5432.0
175;Totaal landen;0 Voeding en levende dieren;2018 juni;3339.0;5144.0
176;Totaal landen;0 Voeding en levende dieren;2018 juli;3231.0;5086.0
177;Totaal landen;0 Voeding en levende dieren;2018 augustus;3140.0;5178.0
178;Totaal landen;0 Voeding en levende dieren;2018 september;3051.0;4993.0
179;Totaal landen;0 Voeding en levende dieren;2018 oktober;3609.0;5575.0
180;Totaal landen;0 Voeding en levende dieren;2018 november;3400.0;5452.0
181;Totaal landen;0 Voeding en levende dieren;2018 december;3299.0;4920.0
182;Totaal landen;0 Voeding en levende dieren;2018 ;39904.0;61973.0
183;Totaal landen;0 Voeding en levende dieren;2019 januari;3660.0;5218.0
184;Totaal landen;0 Voeding en levende dieren;2019 februari;3282.0;5043.0
185;Totaal landen;0 Voeding en levende dieren;2019 maart;3471.0;5449.0
186;Totaal landen;0 Voeding en levende dieren;2019 april;3613.0;5604.0
187;Totaal landen;0 Voeding en levende dieren;2019 mei;3671.0;5734.0
188;Totaal landen;0 Voeding en levende dieren;2019 juni;3219.0;5115.0
189;Totaal landen;0 Voeding en levende dieren;2019 juli;3505.0;5586.0
190;Totaal landen;0 Voeding en levende dieren;2019 augustus;3158.0;5233.0
191;Totaal landen;0 Voeding en levende dieren;2019 september;3277.0;5258.0
192;Totaal landen;0 Voeding en levende dieren;2019 oktober;3640.0;5898.0
193;Totaal landen;0 Voeding en levende dieren;2019 november;3473.0;5519.0
194;Totaal landen;0 Voeding en levende dieren;2019 december;3446.0;5324.0
195;Totaal landen;0 Voeding en levende dieren;2019;41415.0;64980.0
196;Totaal landen;0 Voeding en levende dieren;2020 januari;3640.0;5629.0
197;Totaal landen;0 Voeding en levende dieren;2020 februari;3305.0;5269.0
198;Totaal landen;0 Voeding en levende dieren;2020 maart;3768.0;5852.0
199;Totaal landen;0 Voeding en levende dieren;2020 april;3497.0;5309.0
200;Totaal landen;0 Voeding en levende dieren;2020 mei;3266.0;5158.0
201;Totaal landen;0 Voeding en levende dieren;2020 juni;3353.0;5213.0
202;Totaal landen;0 Voeding en levende dieren;2020 juli;3391.0;5425.0
203;Totaal landen;0 Voeding en levende dieren;2020 augustus;3020.0;4984.0
204;Totaal landen;0 Voeding en levende dieren;2020 september;3366.0;5580.0
205;Totaal landen;0 Voeding en levende dieren;2020 oktober;3476.0;5620.0
206;Totaal landen;0 Voeding en levende dieren;2020 november;3391.0;5260.0
207;Totaal landen;0 Voeding en levende dieren;2020 december;3514.0;5392.0
208;Totaal landen;0 Voeding en levende dieren;2020;40986.0;64690.0
209;Totaal landen;0 Voeding en levende dieren;2021 januari;3339.0;5035.0
210;Totaal landen;0 Voeding en levende dieren;2021 februari;3271.0;5097.0
211;Totaal landen;0 Voeding en levende dieren;2021 maart;3900.0;6163.0
212;Totaal landen;0 Voeding en levende dieren;2021 april;3655.0;5813.0
213;Totaal landen;0 Voeding en levende dieren;2021 mei;3533.0;5623.0
214;Totaal landen;0 Voeding en levende dieren;2021 juni;3694.0;5939.0
215;Totaal landen;0 Voeding en levende dieren;2021 juli;3575.0;5781.0
216;Totaal landen;0 Voeding en levende dieren;2021 augustus;3422.0;5583.0
217;Totaal landen;0 Voeding en levende dieren;2021 september;3658.0;5912.0
218;Totaal landen;0 Voeding en levende dieren;2021 oktober;3551.0;5752.0
219;Totaal landen;0 Voeding en levende dieren;2021 november;3986.0;6198.0
220;Totaal landen;0 Voeding en levende dieren;2021 december;4134.0;6131.0
221;Totaal landen;0 Voeding en levende dieren;2021;43718.0;69028.0
222;Totaal landen;0 Voeding en levende dieren;2022 januari;3876.0;5713.0
223;Totaal landen;0 Voeding en levende dieren;2022 februari;3742.0;5723.0
224;Totaal landen;0 Voeding en levende dieren;2022 maart;4680.0;6881.0
225;Totaal landen;0 Voeding en levende dieren;2022 april;4294.0;6687.0
226;Totaal landen;0 Voeding en levende dieren;2022 mei;4514.0;6900.0
227;Totaal landen;0 Voeding en levende dieren;2022 juni;4509.0;6840.0
228;Totaal landen;0 Voeding en levende dieren;2022 juli;4281.0;6694.0
229;Totaal landen;0 Voeding en levende dieren;2022 augustus;4387.0;7009.0
230;Totaal landen;0 Voeding en levende dieren;2022 september;4409.0;7335.0
231;Totaal landen;0 Voeding en levende dieren;2022 oktober;4590.0;7244.0
232;Totaal landen;0 Voeding en levende dieren;2022 november;4742.0;7570.0
233;Totaal landen;0 Voeding en levende dieren;2022 december;4450.0;7098.0
