ID;EconomicActivitiesNaceRev2;Periods;CompensationOfEmployees_1;WagesAndSalaries_2;EmployersSocialContributions_3;CompensationOfEmployeesPerFte_4;WagesPerFte_5;CompensationPerHoursWorked_6;WagesPerHoursWorked_7;FullTimeEquivalentFte_8;HoursWorked_9;HoursPaid_10;HoursAgreed_11;PaidExtraHours_12;TotalMaleAndFemale_13;Male_14;Female_15;TotalMaleAndFemale_16;Male_17;Female_18;TotalMaleAndFemale_19;Male_20;Female_21
1251;30 Manufacture of other transport;1988;470.0;364.0;106.0;24.8;19.2;14.8;11.5;19;32;33;32;1;20;18;1;;;;;;
1252;30 Manufacture of other transport;1989;475.0;375.0;100.0;24.5;19.4;14.7;11.6;19;32;34;33;1;20;19;1;;;;;;
1253;30 Manufacture of other transport;1990;519.0;452.0;67.0;25.6;22.3;15.2;13.2;20;34;35;35;1;21;20;1;;;;;;
1254;30 Manufacture of other transport;1991;555.0;485.0;70.0;27.4;23.9;16.3;14.2;20;34;35;35;1;21;20;2;;;;;;
1255;30 Manufacture of other transport;1992;607.0;531.0;76.0;29.8;26.1;17.6;15.4;20;35;35;35;1;21;19;2;;;;;;
1256;30 Manufacture of other transport;1993;581.0;513.0;68.0;33.5;29.6;20.5;18.1;17;28;30;30;0;18;17;1;;;;;;
1257;30 Manufacture of other transport;1994;561.0;500.0;61.0;33.7;30.1;20.3;18.1;17;28;29;29;0;17;16;1;;;;;;
1258;30 Manufacture of other transport;1995;602.0;534.0;68.0;32.6;28.9;18.9;16.8;18;32;32;32;1;19;17;2;;;;;;
1259;30 Manufacture of other transport;1996;559.0;495.0;64.0;32.3;28.6;18.7;16.6;17;30;30;30;1;18;17;2;;;;;;
1260;30 Manufacture of other transport;1997;550.0;488.0;62.0;31.4;27.9;18.4;16.3;18;30;31;30;1;18;17;2;;;;;;
1261;30 Manufacture of other transport;1998;614.0;507.0;107.0;33.6;27.8;19.6;16.2;18;31;32;31;1;19;17;2;;;;;;
1262;30 Manufacture of other transport;1999;644.0;530.0;114.0;34.6;28.5;20.3;16.7;19;32;33;32;1;19;17;2;;;;;;
1263;30 Manufacture of other transport;2000;673.0;552.0;121.0;36.3;29.8;21.2;17.4;19;32;32;32;1;20;18;2;;;;;;
1264;30 Manufacture of other transport;2001;729.0;597.0;132.0;40.0;32.7;23.2;19.0;18;31;32;31;1;19;17;2;16.0;15.0;1.0;3.0;2.0;1.0
1265;30 Manufacture of other transport;2002;766.0;621.0;145.0;42.3;34.2;24.7;20.0;18;31;32;31;1;19;17;2;16.0;15.0;1.0;3.0;2.0;1.0
1266;30 Manufacture of other transport;2003;757.0;611.0;146.0;44.0;35.6;25.7;20.8;17;29;30;30;1;18;16;2;15.0;14.0;1.0;3.0;2.0;1.0
1267;30 Manufacture of other transport;2004;748.0;601.0;147.0;45.9;36.8;27.0;21.7;16;28;29;28;1;18;16;2;14.0;14.0;1.0;3.0;2.0;1.0
1268;30 Manufacture of other transport;2005;710.0;574.0;136.0;46.8;37.8;27.7;22.4;15;26;27;26;1;16;15;2;13.0;13.0;1.0;3.0;2.0;1.0
1269;30 Manufacture of other transport;2006;717.0;576.0;141.0;48.1;38.7;28.5;22.9;15;25;26;26;1;16;14;2;13.0;12.0;1.0;3.0;2.0;1.0
1270;30 Manufacture of other transport;2007;780.0;628.0;152.0;50.1;40.4;29.6;23.8;16;26;27;27;1;17;15;2;14.0;13.0;1.0;3.0;2.0;1.0
1271;30 Manufacture of other transport;2008;857.0;689.0;168.0;53.1;42.7;31.1;25.0;16;28;28;28;1;18;15;3;13.0;12.0;1.0;4.0;3.0;2.0
1272;30 Manufacture of other transport;2009;965.0;778.0;187.0;55.6;44.8;32.5;26.2;17;30;31;30;1;19;16;3;14.0;13.0;1.0;5.0;3.0;2.0
1273;30 Manufacture of other transport;2010;1022.0;822.0;200.0;56.7;45.6;33.4;26.8;18;31;31;31;1;20;17;3;15.0;14.0;1.0;5.0;3.0;2.0
1274;30 Manufacture of other transport;2011;1081.0;870.0;211.0;59.4;47.9;35.0;28.2;18;31;32;31;1;20;17;3;15.0;14.0;1.0;5.0;3.0;2.0
1275;30 Manufacture of other transport;2012;1131.0;902.0;229.0;61.2;48.8;36.0;28.7;18;31;32;32;1;20;17;3;15.0;14.0;1.0;5.0;3.0;2.0
1276;"31-32 Manufacture of furniture; other";1969;;;;;;;;138;259;278;272;6;145;125;20;;;;;;
1277;"31-32 Manufacture of furniture; other";1970;;;;;;;;140;256;275;269;6;147;126;21;;;;;;
1278;"31-32 Manufacture of furniture; other";1971;;;;;;;;139;250;269;263;6;146;125;22;;;;;;
1279;"31-32 Manufacture of furniture; other";1972;;;;;;;;137;246;265;259;6;144;122;22;;;;;;
1280;"31-32 Manufacture of furniture; other";1973;;;;;;;;138;245;263;257;7;146;122;23;;;;;;
1281;"31-32 Manufacture of furniture; other";1974;;;;;;;;140;240;260;255;6;148;123;25;;;;;;
1282;"31-32 Manufacture of furniture; other";1975;;;;;;;;138;230;252;247;5;146;121;25;;;;;;
1283;"31-32 Manufacture of furniture; other";1976;;;;;;;;137;228;249;245;5;146;120;26;;;;;;
1284;"31-32 Manufacture of furniture; other";1977;;;;;;;;138;232;250;245;4;147;121;26;;;;;;
1285;"31-32 Manufacture of furniture; other";1978;;;;;;;;140;227;252;247;4;149;122;27;;;;;;
1286;"31-32 Manufacture of furniture; other";1979;;;;;;;;140;226;250;245;5;149;121;27;;;;;;
1287;"31-32 Manufacture of furniture; other";1980;;;;;;;;141;226;251;247;4;150;122;28;;;;;;
1288;"31-32 Manufacture of furniture; other";1981;;;;;;;;138;225;245;242;3;148;119;28;;;;;;
1289;"31-32 Manufacture of furniture; other";1982;;;;;;;;133;217;236;233;3;143;115;28;;;;;;
1290;"31-32 Manufacture of furniture; other";1983;;;;;;;;128;208;224;221;3;138;111;27;;;;;;
1291;"31-32 Manufacture of furniture; other";1984;;;;;;;;126;206;218;215;3;136;109;27;;;;;;
1292;"31-32 Manufacture of furniture; other";1985;;;;;;;;125;200;211;208;3;135;108;26;;;;;;
1293;"31-32 Manufacture of furniture; other";1986;;;;;;;;125;199;210;207;3;134;108;26;;;;;;
1294;"31-32 Manufacture of furniture; other";1987;2271.0;1809.0;462.0;18.3;14.6;11.5;9.2;124;197;208;205;3;134;108;26;;;;;;
1295;"31-32 Manufacture of furniture; other";1988;2339.0;1877.0;462.0;18.7;15.0;11.8;9.5;125;198;208;205;3;136;109;27;;;;;;
1296;"31-32 Manufacture of furniture; other";1989;2289.0;1852.0;437.0;18.1;14.6;11.4;9.3;127;200;211;208;3;138;112;26;;;;;;
1297;"31-32 Manufacture of furniture; other";1990;2497.0;2188.0;309.0;19.0;16.6;11.9;10.5;132;209;220;216;4;143;116;27;;;;;;
1298;"31-32 Manufacture of furniture; other";1991;2662.0;2323.0;339.0;19.9;17.4;12.5;10.9;134;212;224;220;4;146;117;29;;;;;;
1299;"31-32 Manufacture of furniture; other";1992;2837.0;2459.0;378.0;21.3;18.4;13.2;11.5;133;214;224;221;3;144;114;30;;;;;;
1300;"31-32 Manufacture of furniture; other";1993;2925.0;2549.0;376.0;21.9;19.1;13.9;12.1;133;210;224;221;3;145;115;30;;;;;;
1301;"31-32 Manufacture of furniture; other";1994;2955.0;2582.0;373.0;22.6;19.7;14.1;12.3;131;210;220;217;3;143;114;29;;;;;;
1302;"31-32 Manufacture of furniture; other";1995;3023.0;2602.0;421.0;22.9;19.7;14.3;12.3;132;211;223;219;4;144;114;31;;;;;;
1303;"31-32 Manufacture of furniture; other";1996;3056.0;2628.0;428.0;23.0;19.8;14.2;12.3;133;215;226;223;3;145;114;31;;;;;;
1304;"31-32 Manufacture of furniture; other";1997;3179.0;2742.0;437.0;23.6;20.3;14.8;12.7;135;215;228;224;4;147;115;32;;;;;;
1305;"31-32 Manufacture of furniture; other";1998;3360.0;2745.0;615.0;24.5;20.0;15.4;12.6;137;218;230;226;4;150;116;34;;;;;;
1306;"31-32 Manufacture of furniture; other";1999;3464.0;2828.0;636.0;24.9;20.3;15.8;12.9;139;219;231;227;4;152;116;36;;;;;;
1307;"31-32 Manufacture of furniture; other";2000;3616.0;2952.0;664.0;25.8;21.1;16.3;13.3;140;221;234;230;4;155;118;37;;;;;;
1308;"31-32 Manufacture of furniture; other";2001;3832.0;3110.0;722.0;27.3;22.1;17.4;14.1;141;221;237;235;2;155;116;39;114.0;94.0;19.0;42.0;22.0;20.0
1309;"31-32 Manufacture of furniture; other";2002;3960.0;3186.0;774.0;28.3;22.8;18.0;14.5;140;220;236;234;2;155;115;40;111.0;93.0;19.0;43.0;22.0;21.0
1310;"31-32 Manufacture of furniture; other";2003;4092.0;3295.0;797.0;29.5;23.7;18.8;15.1;139;218;234;232;1;154;114;40;109.0;91.0;18.0;45.0;23.0;22.0
1311;"31-32 Manufacture of furniture; other";2004;4171.0;3347.0;824.0;30.2;24.3;19.0;15.3;138;219;232;230;1;154;113;40;107.0;89.0;18.0;47.0;24.0;22.0
1312;"31-32 Manufacture of furniture; other";2005;4144.0;3312.0;832.0;30.7;24.5;19.5;15.6;135;213;227;226;1;152;112;39;104.0;87.0;17.0;48.0;25.0;23.0
1313;"31-32 Manufacture of furniture; other";2006;4244.0;3385.0;859.0;31.5;25.1;19.8;15.8;135;214;226;225;1;151;111;40;103.0;86.0;17.0;48.0;25.0;23.0
1314;"31-32 Manufacture of furniture; other";2007;4305.0;3439.0;866.0;31.8;25.4;20.1;16.0;135;215;227;225;1;151;110;41;102.0;85.0;17.0;49.0;25.0;24.0
1315;"31-32 Manufacture of furniture; other";2008;4453.0;3548.0;905.0;32.6;26.0;20.5;16.3;137;218;229;228;1;153;111;43;102.0;85.0;18.0;51.0;26.0;25.0
1316;"31-32 Manufacture of furniture; other";2009;4542.0;3581.0;961.0;33.4;26.4;20.9;16.5;136;217;229;228;1;153;109;45;99.0;82.0;18.0;54.0;27.0;27.0
1317;"31-32 Manufacture of furniture; other";2010;4590.0;3580.0;1010.0;34.1;26.6;21.3;16.6;135;215;227;226;1;152;107;45;98.0;80.0;17.0;55.0;27.0;28.0
1318;"31-32 Manufacture of furniture; other";2011;4479.0;3516.0;963.0;34.0;26.7;21.2;16.7;132;211;222;221;1;149;104;45;95.0;78.0;17.0;54.0;26.0;28.0
1319;"31-32 Manufacture of furniture; other";2012;4348.0;3427.0;921.0;33.7;26.6;21.0;16.6;129;207;218;217;1;146;102;45;93.0;76.0;17.0;53.0;26.0;28.0
1320;31-33 Other manufacturing and repair;1969;1073.0;922.0;151.0;6.0;5.1;3.1;2.7;180;342;367;358;8;188;165;23;;;;;;
1321;31-33 Other manufacturing and repair;1970;1200.0;1031.0;169.0;6.6;5.7;3.5;3.0;182;338;362;354;8;190;166;24;;;;;;
1322;31-33 Other manufacturing and repair;1971;1350.0;1154.0;196.0;7.5;6.4;4.1;3.5;181;331;354;346;8;189;165;24;;;;;;
1323;31-33 Other manufacturing and repair;1972;1472.0;1255.0;217.0;8.3;7.1;4.5;3.9;178;325;348;340;8;186;161;25;;;;;;
1324;31-33 Other manufacturing and repair;1973;1692.0;1424.0;268.0;9.4;8.0;5.2;4.4;179;323;345;336;9;188;162;26;;;;;;
1325;31-33 Other manufacturing and repair;1974;1870.0;1554.0;316.0;10.3;8.6;5.9;4.9;182;316;341;334;8;191;163;28;;;;;;
1326;31-33 Other manufacturing and repair;1975;1943.0;1610.0;333.0;10.8;9.0;6.5;5.4;179;300;329;323;6;188;160;28;;;;;;
1327;31-33 Other manufacturing and repair;1976;2046.0;1679.0;367.0;11.6;9.5;6.9;5.6;177;297;324;318;7;186;158;29;;;;;;
1328;31-33 Other manufacturing and repair;1977;2111.0;1732.0;379.0;11.9;9.8;7.1;5.8;177;299;322;317;6;187;158;29;;;;;;
1329;31-33 Other manufacturing and repair;1978;2208.0;1809.0;399.0;12.4;10.2;7.6;6.2;177;292;322;316;6;188;158;30;;;;;;
1330;31-33 Other manufacturing and repair;1979;2296.0;1874.0;422.0;13.0;10.6;7.9;6.5;177;290;319;312;6;187;157;30;;;;;;
1331;31-33 Other manufacturing and repair;1980;2374.0;1931.0;443.0;13.4;10.9;8.2;6.7;177;289;318;313;5;188;156;32;;;;;;
1332;31-33 Other manufacturing and repair;1981;2392.0;1957.0;435.0;13.8;11.3;8.4;6.8;173;286;311;306;5;185;153;31;;;;;;
1333;31-33 Other manufacturing and repair;1982;2453.0;2020.0;433.0;14.7;12.1;8.9;7.3;167;275;298;294;4;178;147;31;;;;;;
1334;31-33 Other manufacturing and repair;1983;2499.0;2062.0;437.0;15.6;12.9;9.5;7.8;160;264;283;279;4;171;141;30;;;;;;
1335;31-33 Other manufacturing and repair;1984;2555.0;2109.0;446.0;16.2;13.4;9.8;8.1;157;260;275;271;4;168;139;30;;;;;;
1336;31-33 Other manufacturing and repair;1985;2643.0;2180.0;463.0;16.9;13.9;10.4;8.6;156;254;267;262;4;167;138;29;;;;;;
1337;31-33 Other manufacturing and repair;1986;2799.0;2309.0;490.0;17.9;14.7;11.0;9.1;157;254;267;263;4;168;138;29;;;;;;
1338;31-33 Other manufacturing and repair;1987;3056.0;2416.0;640.0;19.5;15.4;12.1;9.6;157;252;266;261;4;168;138;30;;;;;;
1339;31-33 Other manufacturing and repair;1988;3128.0;2495.0;633.0;20.0;15.9;12.4;9.9;157;252;265;260;4;169;139;30;;;;;;
1340;31-33 Other manufacturing and repair;1989;3097.0;2493.0;604.0;19.5;15.7;12.2;9.8;159;254;267;263;4;172;142;29;;;;;;
1341;31-33 Other manufacturing and repair;1990;3381.0;2959.0;422.0;20.5;17.9;12.7;11.1;165;266;279;274;5;178;148;30;;;;;;
1342;31-33 Other manufacturing and repair;1991;3605.0;3148.0;457.0;21.5;18.8;13.3;11.6;168;271;284;279;5;182;149;33;;;;;;
1343;31-33 Other manufacturing and repair;1992;3852.0;3345.0;507.0;23.1;20.0;14.1;12.3;167;273;284;279;5;179;146;33;;;;;;
1344;31-33 Other manufacturing and repair;1993;3918.0;3422.0;496.0;23.8;20.8;14.9;13.0;164;263;279;275;5;178;145;33;;;;;;
1345;31-33 Other manufacturing and repair;1994;3927.0;3444.0;483.0;24.5;21.4;15.1;13.2;161;261;273;268;5;174;141;33;;;;;;
1346;31-33 Other manufacturing and repair;1995;4068.0;3524.0;544.0;25.0;21.7;15.4;13.4;163;264;277;272;5;176;142;34;;;;;;
1347;31-33 Other manufacturing and repair;1996;4062.0;3510.0;552.0;24.9;21.5;15.2;13.1;163;267;280;275;5;177;143;34;;;;;;
1348;31-33 Other manufacturing and repair;1997;4203.0;3644.0;559.0;25.3;22.0;15.6;13.6;166;269;283;277;6;180;144;35;;;;;;
1349;31-33 Other manufacturing and repair;1998;4485.0;3667.0;818.0;26.5;21.7;16.4;13.4;169;273;287;281;6;183;146;38;;;;;;
1350;31-33 Other manufacturing and repair;1999;4638.0;3792.0;846.0;27.1;22.1;16.9;13.8;171;275;288;283;6;186;146;40;;;;;;
1351;31-33 Other manufacturing and repair;2000;4846.0;3959.0;887.0;28.1;23.0;17.5;14.3;172;277;290;285;5;190;148;42;;;;;;
1352;31-33 Other manufacturing and repair;2001;5145.0;4183.0;962.0;29.7;24.2;18.6;15.1;173;277;294;291;3;190;147;44;143.0;121.0;22.0;48.0;26.0;22.0
1353;31-33 Other manufacturing and repair;2002;5320.0;4283.0;1037.0;30.9;24.9;19.3;15.5;172;276;292;290;3;189;145;44;140.0;119.0;21.0;49.0;26.0;23.0
1354;31-33 Other manufacturing and repair;2003;5459.0;4396.0;1063.0;32.1;25.9;20.1;16.2;170;271;289;286;3;187;143;44;137.0;116.0;20.0;51.0;27.0;24.0
1355;31-33 Other manufacturing and repair;2004;5561.0;4454.0;1107.0;33.1;26.5;20.5;16.4;168;271;285;282;2;186;142;44;134.0;114.0;20.0;53.0;28.0;25.0
1356;31-33 Other manufacturing and repair;2005;5532.0;4425.0;1107.0;33.5;26.8;20.9;16.7;165;264;280;277;2;184;140;43;130.0;112.0;18.0;54.0;29.0;25.0
1357;31-33 Other manufacturing and repair;2006;5673.0;4528.0;1145.0;34.5;27.5;21.4;17.1;164;265;279;276;2;184;139;45;129.0;110.0;19.0;54.0;29.0;26.0
1358;31-33 Other manufacturing and repair;2007;5839.0;4669.0;1170.0;35.1;28.1;21.8;17.4;166;268;281;279;2;185;139;45;129.0;110.0;19.0;55.0;29.0;26.0
1359;31-33 Other manufacturing and repair;2008;6061.0;4837.0;1224.0;36.1;28.8;22.3;17.8;168;272;284;282;2;188;140;48;129.0;109.0;20.0;60.0;31.0;29.0
1360;31-33 Other manufacturing and repair;2009;6144.0;4852.0;1292.0;36.7;29.0;22.7;17.9;167;271;284;283;2;187;138;50;126.0;106.0;20.0;62.0;32.0;30.0
1361;31-33 Other manufacturing and repair;2010;6194.0;4856.0;1338.0;37.5;29.4;23.1;18.1;165;268;281;279;2;186;136;50;124.0;105.0;19.0;62.0;31.0;31.0
1362;31-33 Other manufacturing and repair;2011;6067.0;4779.0;1288.0;37.5;29.6;23.1;18.2;162;263;275;273;2;182;132;50;121.0;102.0;19.0;61.0;30.0;31.0
1363;31-33 Other manufacturing and repair;2012;5996.0;4725.0;1271.0;37.8;29.8;23.2;18.3;159;258;270;268;2;179;129;50;119.0;100.0;19.0;60.0;29.0;31.0
1364;33 Repair and installation of machinery;1969;;;;;;;;42;83;88;86;2;43;40;3;;;;;;
1365;33 Repair and installation of machinery;1970;;;;;;;;42;82;87;85;2;43;41;3;;;;;;
1366;33 Repair and installation of machinery;1971;;;;;;;;42;81;86;84;2;43;41;3;;;;;;
1367;33 Repair and installation of machinery;1972;;;;;;;;41;79;83;81;2;42;39;3;;;;;;
1368;33 Repair and installation of machinery;1973;;;;;;;;41;78;82;80;2;42;39;3;;;;;;
1369;33 Repair and installation of machinery;1974;;;;;;;;42;76;81;79;2;43;40;3;;;;;;
1370;33 Repair and installation of machinery;1975;;;;;;;;41;71;77;76;2;42;39;3;;;;;;
1371;33 Repair and installation of machinery;1976;;;;;;;;39;69;75;73;2;41;38;3;;;;;;
1372;33 Repair and installation of machinery;1977;;;;;;;;39;67;73;71;2;40;37;3;;;;;;
1373;33 Repair and installation of machinery;1978;;;;;;;;38;65;70;69;2;39;36;3;;;;;;
1374;33 Repair and installation of machinery;1979;;;;;;;;37;64;69;67;2;38;35;3;;;;;;
1375;33 Repair and installation of machinery;1980;;;;;;;;36;63;67;66;1;38;35;3;;;;;;
1376;33 Repair and installation of machinery;1981;;;;;;;;35;61;65;64;1;37;34;3;;;;;;
1377;33 Repair and installation of machinery;1982;;;;;;;;34;58;62;61;1;35;32;3;;;;;;
1378;33 Repair and installation of machinery;1983;;;;;;;;32;56;59;58;1;33;31;3;;;;;;
1379;33 Repair and installation of machinery;1984;;;;;;;;31;54;57;56;1;32;29;3;;;;;;
1380;33 Repair and installation of machinery;1985;;;;;;;;31;54;56;55;1;33;30;3;;;;;;
1381;33 Repair and installation of machinery;1986;;;;;;;;32;55;57;56;1;34;31;3;;;;;;
1382;33 Repair and installation of machinery;1987;785.0;607.0;178.0;24.3;18.8;14.1;10.9;32;56;58;56;1;34;31;3;;;;;;
1383;33 Repair and installation of machinery;1988;789.0;618.0;171.0;24.9;19.5;14.5;11.4;32;54;56;55;1;33;30;3;;;;;;
1384;33 Repair and installation of machinery;1989;808.0;641.0;167.0;25.3;20.1;14.9;11.8;32;54;57;55;1;34;31;3;;;;;;
1385;33 Repair and installation of machinery;1990;884.0;771.0;113.0;26.5;23.1;15.4;13.4;33;57;59;58;1;35;32;3;;;;;;
1386;33 Repair and installation of machinery;1991;943.0;825.0;118.0;27.8;24.3;16.2;14.2;34;58;60;59;1;36;32;4;;;;;;
1387;33 Repair and installation of machinery;1992;1015.0;886.0;129.0;30.2;26.4;17.4;15.2;34;58;60;58;1;35;32;4;;;;;;
1388;33 Repair and installation of machinery;1993;993.0;873.0;120.0;32.0;28.2;19.0;16.7;31;52;55;54;1;33;29;3;;;;;;
1389;33 Repair and installation of machinery;1994;972.0;862.0;110.0;32.8;29.1;19.2;17.0;30;51;52;51;1;31;28;3;;;;;;
1390;33 Repair and installation of machinery;1995;1045.0;922.0;123.0;34.3;30.3;19.7;17.4;30;53;54;53;1;32;29;3;;;;;;
1391;33 Repair and installation of machinery;1996;1006.0;882.0;124.0;33.1;29.1;19.1;16.8;30;53;54;52;1;32;29;3;;;;;;
1392;33 Repair and installation of machinery;1997;1024.0;902.0;122.0;33.0;29.0;19.1;16.9;31;54;55;53;2;33;29;4;;;;;;
1393;33 Repair and installation of machinery;1998;1125.0;922.0;203.0;35.2;28.9;20.4;16.8;32;55;57;55;2;34;30;4;;;;;;
1394;33 Repair and installation of machinery;1999;1174.0;964.0;210.0;36.3;29.8;21.1;17.3;32;56;57;55;2;34;30;4;;;;;;
1395;33 Repair and installation of machinery;2000;1230.0;1007.0;223.0;38.2;31.3;22.2;18.2;32;55;57;55;2;35;30;4;;;;;;
1396;33 Repair and installation of machinery;2001;1313.0;1073.0;240.0;40.4;33.0;23.4;19.1;33;56;57;56;1;35;30;5;29.0;27.0;2.0;6.0;4.0;2.0
1397;33 Repair and installation of machinery;2002;1360.0;1097.0;263.0;42.3;34.1;24.6;19.8;32;55;56;55;1;35;30;5;29.0;26.0;2.0;6.0;4.0;2.0
1398;33 Repair and installation of machinery;2003;1367.0;1101.0;266.0;44.1;35.5;25.4;20.5;31;54;55;53;1;33;29;4;27.0;26.0;2.0;6.0;4.0;2.0
1399;33 Repair and installation of machinery;2004;1390.0;1107.0;283.0;46.1;36.7;26.7;21.3;30;52;53;52;1;33;28;4;26.0;25.0;2.0;6.0;4.0;2.0
1400;33 Repair and installation of machinery;2005;1388.0;1113.0;275.0;46.5;37.3;27.0;21.7;30;51;53;52;1;32;28;4;26.0;24.0;2.0;6.0;4.0;2.0
1401;33 Repair and installation of machinery;2006;1429.0;1143.0;286.0;47.9;38.3;27.9;22.3;30;51;53;51;1;32;28;4;26.0;24.0;2.0;6.0;4.0;2.0
1402;33 Repair and installation of machinery;2007;1534.0;1230.0;304.0;49.7;39.9;28.8;23.1;31;53;54;53;1;33;29;4;27.0;25.0;2.0;6.0;4.0;3.0
1403;33 Repair and installation of machinery;2008;1608.0;1289.0;319.0;51.2;41.1;29.7;23.8;31;54;55;54;1;35;29;6;26.0;24.0;2.0;8.0;5.0;4.0
1404;33 Repair and installation of machinery;2009;1602.0;1271.0;331.0;51.2;40.6;30.0;23.8;31;53;55;55;1;34;29;5;26.0;24.0;2.0;8.0;5.0;3.0
1405;33 Repair and installation of machinery;2010;1604.0;1276.0;328.0;52.3;41.6;30.3;24.1;31;53;54;53;1;33;28;5;27.0;24.0;2.0;7.0;4.0;3.0
1406;33 Repair and installation of machinery;2011;1588.0;1263.0;325.0;53.1;42.2;30.8;24.5;30;52;53;52;1;33;27;5;26.0;24.0;2.0;7.0;4.0;3.0
1407;33 Repair and installation of machinery;2012;1648.0;1298.0;350.0;55.3;43.6;32.0;25.2;30;51;53;52;1;32;27;5;26.0;24.0;2.0;7.0;4.0;3.0
1408;D Electricity and gas supply;1969;309.0;254.0;55.0;10.4;8.6;5.5;4.5;30;56;60;60;1;30;28;2;;;;;;
1409;D Electricity and gas supply;1970;356.0;292.0;64.0;12.0;9.9;6.4;5.2;30;56;60;60;0;30;28;2;;;;;;
1410;D Electricity and gas supply;1971;405.0;331.0;74.0;13.7;11.2;7.3;6.0;30;55;59;59;0;30;28;2;;;;;;
1411;D Electricity and gas supply;1972;463.0;377.0;86.0;15.3;12.5;8.3;6.7;30;56;60;60;0;31;29;2;;;;;;
1412;D Electricity and gas supply;1973;506.0;406.0;100.0;16.3;13.1;8.8;7.1;31;57;61;61;1;32;30;2;;;;;;
1413;D Electricity and gas supply;1974;589.0;471.0;118.0;19.0;15.2;10.5;8.4;31;56;60;60;1;32;30;2;;;;;;
1414;D Electricity and gas supply;1975;724.0;579.0;145.0;23.4;18.7;13.3;10.6;31;55;59;59;0;32;30;2;;;;;;
1415;D Electricity and gas supply;1976;812.0;648.0;164.0;26.2;20.9;14.8;11.8;31;55;59;59;0;32;30;2;;;;;;
1416;D Electricity and gas supply;1977;897.0;718.0;179.0;29.0;23.2;16.3;13.1;31;55;59;59;0;32;30;2;;;;;;
1417;D Electricity and gas supply;1978;952.0;762.0;190.0;30.7;24.6;17.4;13.9;31;55;59;58;0;32;30;2;;;;;;
1418;D Electricity and gas supply;1979;1070.0;853.0;217.0;33.8;26.9;19.1;15.2;32;56;60;59;0;32;30;2;;;;;;
1419;D Electricity and gas supply;1980;1165.0;927.0;238.0;36.0;28.7;20.3;16.2;32;57;61;61;0;33;31;2;;;;;;
1420;D Electricity and gas supply;1981;1293.0;1031.0;262.0;39.1;31.2;22.1;17.6;33;58;62;62;0;34;31;2;;;;;;
1421;D Electricity and gas supply;1982;1264.0;1010.0;254.0;39.1;31.2;22.2;17.7;32;57;61;60;0;33;31;2;;;;;;
1422;D Electricity and gas supply;1983;1222.0;968.0;254.0;37.8;29.9;21.7;17.2;32;56;60;60;0;33;30;3;;;;;;
1423;D Electricity and gas supply;1984;1162.0;922.0;240.0;36.8;29.2;21.3;16.9;32;55;58;58;0;32;30;3;;;;;;
1424;D Electricity and gas supply;1985;1213.0;965.0;248.0;38.4;30.6;22.3;17.7;32;55;58;58;0;32;30;3;;;;;;
1425;D Electricity and gas supply;1986;1143.0;908.0;235.0;36.2;28.8;21.3;16.9;32;54;57;56;0;32;29;3;;;;;;
1426;D Electricity and gas supply;1987;1231.0;930.0;301.0;38.2;28.8;22.4;17.0;32;55;58;58;0;33;30;3;;;;;;
1427;D Electricity and gas supply;1988;1274.0;967.0;307.0;39.3;29.9;23.1;17.5;32;55;58;58;0;33;29;4;;;;;;
1428;D Electricity and gas supply;1989;1260.0;988.0;272.0;38.9;30.5;23.0;18.1;32;55;58;57;1;33;29;4;;;;;;
1429;D Electricity and gas supply;1990;1372.0;1194.0;178.0;42.6;37.1;24.9;21.7;32;55;58;57;1;32;29;4;;;;;;
1430;D Electricity and gas supply;1991;1264.0;1095.0;169.0;39.9;34.5;23.0;20.0;32;55;57;57;1;32;29;4;;;;;;
1431;D Electricity and gas supply;1992;1330.0;1153.0;177.0;41.9;36.3;24.1;20.9;32;55;57;56;1;32;29;4;;;;;;
1432;D Electricity and gas supply;1993;1370.0;1200.0;170.0;43.7;38.3;25.3;22.2;31;54;57;56;1;32;28;4;;;;;;
1433;D Electricity and gas supply;1994;1299.0;1143.0;156.0;42.6;37.5;24.4;21.5;30;53;55;54;1;31;27;4;;;;;;
1434;D Electricity and gas supply;1995;1316.0;1139.0;177.0;44.8;38.8;25.2;21.8;29;52;53;52;1;30;26;4;;;;;;
1435;D Electricity and gas supply;1996;1258.0;1081.0;177.0;44.8;38.5;25.5;21.9;28;49;50;49;1;29;24;4;;;;;;
1436;D Electricity and gas supply;1997;1281.0;1099.0;182.0;47.1;40.4;27.3;23.4;27;47;47;47;1;28;24;4;;;;;;
1437;D Electricity and gas supply;1998;1305.0;1064.0;241.0;48.5;39.5;28.2;23.0;27;46;47;46;1;28;23;4;;;;;;
1438;D Electricity and gas supply;1999;1313.0;1072.0;241.0;50.2;41.0;29.2;23.9;26;45;45;45;1;27;23;4;;;;;;
1439;D Electricity and gas supply;2000;1312.0;1063.0;249.0;52.1;42.2;30.3;24.6;25;43;44;43;1;26;22;4;;;;;;
1440;D Electricity and gas supply;2001;1332.0;1081.0;251.0;53.8;43.6;31.7;25.8;25;42;42;42;1;25;21;4;22.0;20.0;2.0;4.0;1.0;2.0
1441;D Electricity and gas supply;2002;1420.0;1136.0;284.0;57.3;45.8;33.8;27.0;25;42;42;42;1;26;22;4;23.0;21.0;2.0;3.0;1.0;2.0
