ID;Bedrijfsgrootte;RegioS;Perioden;BoomteeltEnVastePlantenTotaal_1;GewassenTotaal_2;BosEnHaagplantsoen_3;LaanEnParkbomenTotaal_4;Onderstammen_5;Spillen_6;Opzetters_7;Rozenstruiken_8;Sierconiferen_9;SierheestersEnKlimplantenTotaal_10;Buxus_11;Ericaceae_12;TrekEnBesheester_13;OverigeSierheestersEnKlimplanten_14;VastePlanten_15;VruchtbomenTotaal_16;Moerbomen_17;Onderstammen_18;OverigeVruchtbomen_19;TeeltwijzeTotaal_20;TeeltInDeVolleGrond_21;TeeltInPottenEnContainers_22;OnderGlasTotaal_23;Vermeerdering_24;VolledigeTeeltOnderGlas_25;BoomteeltEnVastePlantenTotaal_26;GewassenTotaal_27;BosEnHaagplantsoen_28;LaanEnParkbomenTotaal_29;Onderstammen_30;Spillen_31;Opzetters_32;Rozenstruiken_33;Sierconiferen_34;SierheestersEnKlimplantenTotaal_35;Buxus_36;Ericaceae_37;TrekEnBesheester_38;OverigeSierheestersEnKlimplanten_39;VastePlanten_40;VruchtbomenTotaal_41;Moerbomen_42;Onderstammen_43;OverigeVruchtbomen_44;TeeltwijzeTotaal_45;TeeltInDeVolleGrond_46;TeeltInPottenEnContainers_47;OnderGlasTotaal_48;Vermeerdering_49;VolledigeTeeltOnderGlas_50
56;Alle bedrijfsgroottes;Groningen (PV);2006;229;227;81;33;1.0;2.0;31.0;37;20;20;6.0;0.0;2.0;11.0;24;12;4.0;4.0;4.0;227;223;4;2;1;2;62;60;17;7;2.0;3.0;5.0;14;21;25;10.0;0.0;1.0;20.0;16;4;1.0;1.0;2.0;60;57;16;14;11;5
57;Alle bedrijfsgroottes;Groningen (PV);2007;209;209;77;23;6.0;15.0;2.0;33;27;25;5.0;0.0;0.0;20.0;11;12;4.0;3.0;5.0;209;206;3;1;0;0;59;58;17;7;1.0;3.0;4.0;12;20;17;7.0;0.0;0.0;16.0;12;5;1.0;1.0;3.0;58;56;14;13;11;3
58;Alle bedrijfsgroottes;Groningen (PV);2008;233;233;74;34;0.0;2.0;33.0;43;29;28;8.0;0.0;1.0;18.0;11;13;3.0;5.0;5.0;233;229;4;1;0;1;60;59;19;7;0.0;3.0;6.0;11;13;20;9.0;3.0;1.0;14.0;14;5;2.0;2.0;2.0;59;56;14;9;5;5
59;Alle bedrijfsgroottes;Groningen (PV);2009;248;247;77;32;1.0;1.0;31.0;38;55;19;2.0;0.0;5.0;12.0;9;16;2.0;9.0;4.0;247;243;4;1;0;1;60;58;18;5;1.0;1.0;4.0;12;13;20;8.0;2.0;3.0;13.0;11;8;1.0;5.0;3.0;58;54;13;9;6;5
60;Alle bedrijfsgroottes;Friesland (PV);2000;131;129;6;12;;;;2;64;21;;;;;24;0;;;;129;113;16;2;1;1;65;61;13;10;;;;6;27;28;;;;;24;6;;;;61;52;22;14;11;9
61;Alle bedrijfsgroottes;Friesland (PV);2001;142;140;5;11;;;;1;85;22;;;;;15;0;;;;140;127;13;2;1;1;62;56;13;10;;;;5;27;32;;;;;18;5;;;;56;50;15;17;12;8
62;Alle bedrijfsgroottes;Friesland (PV);2002;141;138;7;12;;;;1;81;24;;;;;13;0;;;;138;127;11;3;1;1;53;51;13;11;;;;3;26;27;;;;;16;5;;;;51;44;17;13;11;5
63;Alle bedrijfsgroottes;Friesland (PV);2003;166;164;7;12;;;;1;97;33;;;;;13;0;;;;164;152;11;3;1;1;59;56;14;10;;;;3;27;34;;;;;15;7;;;;56;49;19;15;12;11
64;Alle bedrijfsgroottes;Friesland (PV);2004;156;153;7;12;;;;1;90;34;;;;;9;0;;;;153;144;9;3;1;1;55;53;15;10;;;;3;25;32;;;;;12;7;;;;53;47;19;15;11;12
65;Alle bedrijfsgroottes;Friesland (PV);2005;146;143;13;12;;;;1;67;38;;;;;11;0;;;;143;134;9;3;2;1;52;50;16;9;;;;2;19;31;;;;;13;7;;;;50;45;17;16;14;9
66;Alle bedrijfsgroottes;Friesland (PV);2006;137;132;10;14;9.0;3.0;2.0;0;31;23;2.0;0.0;2.0;19.0;54;0;0.0;0.0;0.0;132;123;9;5;1;3;51;48;11;7;4.0;3.0;3.0;0;17;23;7.0;1.0;3.0;21.0;17;2;0.0;0.0;2.0;48;41;15;18;14;12
