ID;Households;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24;MixedIncomeNet_25;TotalCompensationOfEmployees_26;TotalPropertyIncome_27;TotalPropertyIncome_28;PrimaryIncomeNet_29;PrimaryIncomeNet_30;TotalSocialBenefits_31;TotalOtherCurrentTransfers_32;TotalCurrentTaxesOnIncomeAndWealth_33;TotalSocialContributions_34;TotalOtherCurrentTransfers_35;DisposableIncomeNet_36
250;Households, total;Noord-Brabant;2005;5704.0;36982.0;7908.0;2911.0;47684.0;47684.0;12450.0;2873.0;5427.0;18793.0;3600.0;35187.0;2367.0;15348.0;3282.0;1208.0;19790.0;19790.0;5167.0;1192.0;2252.0;7799.0;1494.0;14603.0;;;;;;;;;;;;
251;Households, total;Noord-Brabant;2006;6297.0;38799.0;8405.0;3839.0;49661.0;49661.0;13074.0;2369.0;5950.0;19664.0;3121.0;36370.0;2611.0;16089.0;3485.0;1592.0;20593.0;20593.0;5421.0;982.0;2467.0;8154.0;1294.0;15081.0;;;;;;;;;;;;
252;Households, total;Noord-Brabant;2007;7239.0;40189.0;9691.0;4823.0;52296.0;52296.0;12481.0;2380.0;6605.0;20231.0;3191.0;37132.0;2992.0;16611.0;4005.0;1994.0;21615.0;21615.0;5159.0;984.0;2730.0;8362.0;1319.0;15347.0;6809.0;37802.0;9115.0;4537.0;49189.0;49189.0;11740.0;2239.0;6213.0;19029.0;3001.0;34926.0
253;Households, total;Noord-Brabant;2008;7204.0;41786.0;9834.0;5218.0;53606.0;53606.0;12992.0;2561.0;6804.0;20354.0;3356.0;38644.0;2959.0;17164.0;4039.0;2143.0;22019.0;22019.0;5336.0;1052.0;2795.0;8361.0;1379.0;15873.0;6677.0;38729.0;9115.0;4837.0;49684.0;49684.0;12041.0;2374.0;6306.0;18865.0;3111.0;35817.0
254;Households, total;Noord-Brabant;2009;5639.0;42155.0;6506.0;2986.0;51314.0;51314.0;13602.0;3767.0;7810.0;18854.0;3767.0;37300.0;2307.0;17247.0;2662.0;1222.0;20995.0;20995.0;5565.0;1541.0;3196.0;7714.0;1541.0;15261.0;5170.0;38653.0;5966.0;2738.0;47052.0;47052.0;12472.0;3454.0;7162.0;17288.0;3454.0;34202.0
255;Households, total;Limburg;1995;1882.0;10481.0;2558.0;840.0;14080.0;14080.0;4843.0;738.0;1766.0;5894.0;843.0;11159.0;1663.0;9259.0;2259.0;742.0;12440.0;12440.0;4279.0;652.0;1560.0;5207.0;745.0;9859.0;;;;;;;;;;;;
256;Households, total;Limburg;1996;2287.0;10505.0;2694.0;835.0;14650.0;14650.0;4924.0;779.0;1748.0;6005.0;932.0;11667.0;2015.0;9256.0;2373.0;736.0;12907.0;12907.0;4338.0;686.0;1540.0;5291.0;821.0;10280.0;;;;;;;;;;;;
257;Households, total;Limburg;1997;2424.0;11025.0;2935.0;935.0;15448.0;15448.0;5028.0;854.0;1590.0;6362.0;1011.0;12367.0;2132.0;9696.0;2581.0;822.0;13586.0;13586.0;4422.0;751.0;1398.0;5595.0;889.0;10876.0;;;;;;;;;;;;
258;Households, total;Limburg;1998;2470.0;11900.0;3015.0;1058.0;16328.0;16328.0;4956.0;960.0;1662.0;6671.0;1090.0;12820.0;2170.0;10451.0;2648.0;929.0;14340.0;14340.0;4353.0;843.0;1460.0;5859.0;957.0;11259.0;;;;;;;;;;;;
259;Households, total;Limburg;1999;2572.0;12638.0;3293.0;1212.0;17292.0;17292.0;5167.0;1048.0;1499.0;7197.0;1192.0;13617.0;2256.0;11084.0;2888.0;1063.0;15165.0;15165.0;4531.0;919.0;1315.0;6312.0;1045.0;11942.0;;;;;;;;;;;;
260;Households, total;Limburg;2000;2468.0;13872.0;3368.0;1451.0;18257.0;18257.0;5300.0;1109.0;1607.0;7486.0;1267.0;14306.0;2162.0;12147.0;2949.0;1270.0;15988.0;15988.0;4641.0;971.0;1407.0;6555.0;1110.0;12528.0;;;;;;;;;;;;
261;Households, total;Limburg;2001;2687.0;14639.0;3359.0;1452.0;19233.0;19233.0;5715.0;1652.0;1868.0;7309.0;1373.0;16051.0;2351.0;12808.0;2938.0;1271.0;16827.0;16827.0;5000.0;1445.0;1634.0;6394.0;1201.0;14043.0;;;;;;;;;;;;
262;Households, total;Limburg;2002;2267.0;15206.0;3076.0;1332.0;19218.0;19218.0;5987.0;1637.0;2146.0;7462.0;1560.0;15675.0;1984.0;13305.0;2692.0;1165.0;16816.0;16816.0;5238.0;1433.0;1878.0;6529.0;1365.0;13715.0;;;;;;;;;;;;
263;Households, total;Limburg;2003;2234.0;15477.0;2949.0;1182.0;19479.0;19479.0;6188.0;1851.0;2043.0;7915.0;1664.0;15896.0;1959.0;13569.0;2585.0;1036.0;17078.0;17078.0;5425.0;1623.0;1791.0;6939.0;1459.0;13937.0;;;;;;;;;;;;
264;Households, total;Limburg;2004;2093.0;15382.0;2668.0;1161.0;18982.0;18982.0;6270.0;2510.0;1822.0;8053.0;1714.0;16173.0;1854.0;13629.0;2364.0;1028.0;16819.0;16819.0;5556.0;2224.0;1614.0;7136.0;1519.0;14330.0;;;;;;;;;;;;
265;Households, total;Limburg;2005;2226.0;15323.0;2844.0;1202.0;19191.0;19191.0;6439.0;2497.0;2073.0;8024.0;1728.0;16302.0;1976.0;13605.0;2525.0;1067.0;17039.0;17039.0;5717.0;2217.0;1841.0;7124.0;1534.0;14474.0;;;;;;;;;;;;
266;Households, total;Limburg;2006;2427.0;15869.0;3216.0;1586.0;19926.0;19926.0;7089.0;2751.0;2262.0;8392.0;1473.0;17639.0;2163.0;14144.0;2867.0;1414.0;17760.0;17760.0;6318.0;2452.0;2016.0;7479.0;1313.0;15721.0;;;;;;;;;;;;
267;Households, total;Limburg;2007;2754.0;16390.0;3544.0;1950.0;20739.0;20739.0;6421.0;2803.0;2489.0;8510.0;1523.0;17440.0;2461.0;14643.0;3167.0;1742.0;18528.0;18528.0;5737.0;2504.0;2224.0;7603.0;1361.0;15581.0;5404.0;32154.0;6953.0;3826.0;40684.0;40684.0;12597.0;5499.0;4883.0;16696.0;2989.0;34213.0
268;Households, total;Limburg;2008;2696.0;17087.0;3524.0;2054.0;21254.0;21254.0;5746.0;2783.0;2516.0;8735.0;1561.0;16970.0;2402.0;15221.0;3140.0;1830.0;18932.0;18932.0;5118.0;2479.0;2241.0;7781.0;1391.0;15117.0;5205.0;32990.0;6805.0;3966.0;41034.0;41034.0;11094.0;5373.0;4858.0;16865.0;3014.0;32764.0
269;Households, total;Limburg;2009;2110.0;17242.0;2435.0;1189.0;20599.0;20599.0;5979.0;1785.0;2906.0;8066.0;1785.0;17348.0;1880.0;15358.0;2169.0;1059.0;18348.0;18348.0;5326.0;1590.0;2589.0;7185.0;1590.0;15452.0;4047.0;33067.0;4670.0;2280.0;39505.0;39505.0;11467.0;3423.0;5574.0;15470.0;3423.0;33270.0
270;Households, total;Agglomeration of Utrecht;1995;711.0;5881.0;1541.0;419.0;7713.0;7713.0;;;;;;5685.0;1368.0;11320.0;2966.0;807.0;14848.0;14848.0;4266.0;711.0;1986.0;6078.0;817.0;10944.0;;;;;;;;;;;;
271;Households, total;Agglomeration of Utrecht;1996;740.0;6247.0;1531.0;394.0;8124.0;8124.0;2296.0;385.0;1082.0;3288.0;455.0;5980.0;1413.0;11932.0;2924.0;752.0;15517.0;15517.0;4384.0;736.0;2066.0;6281.0;869.0;11422.0;;;;;;;;;;;;
272;Households, total;Agglomeration of Utrecht;1997;971.0;6669.0;1784.0;484.0;8940.0;8940.0;2234.0;420.0;1069.0;3463.0;491.0;6571.0;1854.0;12734.0;3407.0;925.0;17071.0;17071.0;4267.0;801.0;2041.0;6613.0;937.0;12547.0;;;;;;;;;;;;
273;Households, total;Agglomeration of Utrecht;1998;992.0;7455.0;1967.0;534.0;9880.0;9880.0;2310.0;489.0;1163.0;3814.0;552.0;7151.0;1836.0;13800.0;3642.0;989.0;18289.0;18289.0;4276.0;905.0;2152.0;7060.0;1021.0;13236.0;;;;;;;;;;;;
274;Households, total;Agglomeration of Utrecht;1999;983.0;8023.0;2056.0;628.0;10433.0;10433.0;2361.0;525.0;1338.0;4072.0;593.0;7315.0;1831.0;14954.0;3832.0;1171.0;19446.0;19446.0;4400.0;978.0;2494.0;7590.0;1105.0;13635.0;;;;;;;;;;;;
275;Households, total;Agglomeration of Utrecht;2000;953.0;8656.0;1974.0;753.0;10830.0;10830.0;2486.0;561.0;1442.0;4312.0;637.0;7487.0;1766.0;16046.0;3659.0;1395.0;20076.0;20076.0;4609.0;1040.0;2673.0;7993.0;1181.0;13879.0;;;;;;;;;;;;
276;Households, total;Agglomeration of Utrecht;2001;989.0;9330.0;2027.0;739.0;11606.0;11606.0;2599.0;559.0;1442.0;4322.0;693.0;8308.0;1826.0;17229.0;3743.0;1365.0;21432.0;21432.0;4799.0;1033.0;2662.0;7981.0;1279.0;15342.0;;;;;;;;;;;;
277;Households, total;Agglomeration of Utrecht;2002;1092.0;10372.0;1937.0;822.0;12580.0;12580.0;2947.0;697.0;1707.0;4911.0;810.0;8796.0;1908.0;18118.0;3383.0;1435.0;21973.0;21973.0;5148.0;1218.0;2982.0;8578.0;1414.0;15364.0;;;;;;;;;;;;
278;Households, total;Agglomeration of Utrecht;2003;1025.0;10715.0;1844.0;697.0;12887.0;12887.0;2949.0;812.0;1714.0;5133.0;879.0;8922.0;1767.0;18461.0;3177.0;1201.0;22204.0;22204.0;5081.0;1398.0;2952.0;8844.0;1515.0;15372.0;;;;;;;;;;;;
279;Households, total;Agglomeration of Utrecht;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;Households, total;Agglomeration of Utrecht;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;Households, total;Agglomeration of Utrecht;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;Households, total;Agglomeration of Utrecht;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;Households, total;Agglomeration of Utrecht;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;Households, total;Agglomeration of Utrecht;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;Households, total;Agglomeration of Amsterdam;1995;1596.0;11748.0;2973.0;724.0;15592.0;15592.0;4950.0;842.0;2190.0;6370.0;956.0;11869.0;1432.0;10540.0;2667.0;650.0;13989.0;13989.0;4441.0;755.0;1965.0;5714.0;857.0;10648.0;;;;;;;;;;;;
286;Households, total;Agglomeration of Amsterdam;1996;1669.0;12480.0;2932.0;661.0;16420.0;16420.0;5124.0;884.0;2256.0;6692.0;1030.0;12449.0;1497.0;11195.0;2631.0;593.0;14730.0;14730.0;4597.0;793.0;2024.0;6004.0;924.0;11168.0;;;;;;;;;;;;
287;Households, total;Agglomeration of Amsterdam;1997;1884.0;13472.0;3281.0;772.0;17865.0;17865.0;5100.0;960.0;2120.0;7152.0;1114.0;13539.0;1682.0;12030.0;2930.0;689.0;15952.0;15952.0;4554.0;858.0;1893.0;6386.0;995.0;12089.0;;;;;;;;;;;;
288;Households, total;Agglomeration of Amsterdam;1998;2012.0;14840.0;3509.0;900.0;19461.0;19461.0;5177.0;1085.0;2264.0;7760.0;1208.0;14491.0;1756.0;12953.0;3063.0;785.0;16986.0;16986.0;4518.0;947.0;1976.0;6773.0;1054.0;12647.0;;;;;;;;;;;;
289;Households, total;Agglomeration of Amsterdam;1999;2200.0;16202.0;3617.0;1081.0;20938.0;20938.0;5370.0;1182.0;2785.0;8413.0;1328.0;14965.0;1913.0;14089.0;3145.0;940.0;18207.0;18207.0;4670.0;1028.0;2422.0;7316.0;1155.0;13013.0;;;;;;;;;;;;
290;Households, total;Agglomeration of Amsterdam;2000;2405.0;17811.0;3753.0;1388.0;22580.0;22580.0;5543.0;1270.0;3129.0;9002.0;1434.0;15830.0;2081.0;15411.0;3247.0;1201.0;19537.0;19537.0;4796.0;1099.0;2707.0;7789.0;1240.0;13696.0;;;;;;;;;;;;
291;Households, total;Agglomeration of Amsterdam;2001;2449.0;19142.0;4081.0;1347.0;24325.0;24325.0;5626.0;1271.0;2979.0;8943.0;1563.0;17738.0;2105.0;16454.0;3508.0;1158.0;20910.0;20910.0;4836.0;1093.0;2560.0;7687.0;1343.0;15247.0;;;;;;;;;;;;
292;Households, total;Agglomeration of Amsterdam;2002;2618.0;19953.0;4055.0;1361.0;25265.0;25265.0;6214.0;1458.0;3210.0;9649.0;1783.0;18296.0;2234.0;17031.0;3461.0;1162.0;21565.0;21565.0;5304.0;1244.0;2740.0;8236.0;1522.0;15616.0;;;;;;;;;;;;
293;Households, total;Agglomeration of Amsterdam;2003;2475.0;20066.0;3649.0;1195.0;24995.0;24995.0;6127.0;1604.0;3247.0;9779.0;1937.0;17763.0;2101.0;17031.0;3097.0;1014.0;21214.0;21214.0;5201.0;1362.0;2756.0;8300.0;1644.0;15077.0;;;;;;;;;;;;
294;Households, total;Agglomeration of Amsterdam;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Households, total;Agglomeration of Amsterdam;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Households, total;Agglomeration of Amsterdam;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;Households, total;Agglomeration of Amsterdam;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;Households, total;Agglomeration of Amsterdam;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;Households, total;Agglomeration of Amsterdam;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;Households, total;Agglomeration of 's-Gravenhage;1995;1047.0;7520.0;2256.0;561.0;10262.0;10262.0;3497.0;508.0;1569.0;4264.0;567.0;7867.0;1507.0;10828.0;3248.0;807.0;14775.0;14775.0;5036.0;732.0;2259.0;6140.0;817.0;11327.0;;;;;;;;;;;;
301;Households, total;Agglomeration of 's-Gravenhage;1996;1096.0;7739.0;2295.0;512.0;10618.0;10618.0;3491.0;532.0;1628.0;4280.0;615.0;8118.0;1576.0;11131.0;3301.0;736.0;15272.0;15272.0;5021.0;765.0;2341.0;6156.0;885.0;11676.0;;;;;;;;;;;;
302;Households, total;Agglomeration of 's-Gravenhage;1997;1145.0;8115.0;2305.0;544.0;11021.0;11021.0;3529.0;574.0;1542.0;4496.0;661.0;8425.0;1635.0;11589.0;3292.0;777.0;15740.0;15740.0;5040.0;819.0;2202.0;6421.0;944.0;12032.0;;;;;;;;;;;;
303;Households, total;Agglomeration of 's-Gravenhage;1998;1248.0;8736.0;2475.0;595.0;11865.0;11865.0;3535.0;637.0;1633.0;4716.0;718.0;8970.0;1770.0;12385.0;3509.0;843.0;16820.0;16820.0;5012.0;903.0;2315.0;6686.0;1018.0;12716.0;;;;;;;;;;;;
304;Households, total;Agglomeration of 's-Gravenhage;1999;1299.0;9530.0;2293.0;726.0;12396.0;12396.0;3697.0;695.0;1858.0;5142.0;785.0;9003.0;1829.0;13425.0;3230.0;1022.0;17462.0;17462.0;5208.0;979.0;2617.0;7243.0;1106.0;12682.0;;;;;;;;;;;;
305;Households, total;Agglomeration of 's-Gravenhage;2000;1166.0;10325.0;2615.0;821.0;13285.0;13285.0;3833.0;744.0;1948.0;5365.0;844.0;9704.0;1628.0;14413.0;3650.0;1146.0;18544.0;18544.0;5350.0;1038.0;2719.0;7489.0;1178.0;13546.0;;;;;;;;;;;;
306;Households, total;Agglomeration of 's-Gravenhage;2001;1319.0;11382.0;2683.0;864.0;14521.0;14521.0;4019.0;880.0;1943.0;5525.0;931.0;11021.0;1862.0;16067.0;3788.0;1220.0;20497.0;20497.0;5673.0;1242.0;2743.0;7799.0;1314.0;15557.0;;;;;;;;;;;;
307;Households, total;Agglomeration of 's-Gravenhage;2002;1513.0;12186.0;2736.0;931.0;15504.0;15504.0;4258.0;1139.0;2169.0;5952.0;1132.0;11648.0;2094.0;16863.0;3786.0;1288.0;21454.0;21454.0;5893.0;1577.0;3002.0;8236.0;1567.0;16119.0;;;;;;;;;;;;
308;Households, total;Agglomeration of 's-Gravenhage;2003;1421.0;12485.0;2612.0;845.0;15672.0;15672.0;4427.0;1089.0;2192.0;6287.0;1230.0;11479.0;1961.0;17231.0;3605.0;1166.0;21630.0;21630.0;6109.0;1503.0;3025.0;8677.0;1698.0;15843.0;;;;;;;;;;;;
309;Households, total;Agglomeration of 's-Gravenhage;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;Households, total;Agglomeration of 's-Gravenhage;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;Households, total;Agglomeration of 's-Gravenhage;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;Households, total;Agglomeration of 's-Gravenhage;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;Households, total;Agglomeration of 's-Gravenhage;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;Households, total;Agglomeration of 's-Gravenhage;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;Households, total;Rijnmond;1995;1352.0;11189.0;2640.0;718.0;14464.0;14464.0;5068.0;788.0;1962.0;6315.0;904.0;11139.0;1190.0;9842.0;2322.0;631.0;12723.0;12723.0;4458.0;693.0;1726.0;5555.0;795.0;9798.0;;;;;;;;;;;;
316;Households, total;Rijnmond;1996;1375.0;11543.0;2658.0;670.0;14906.0;14906.0;5131.0;819.0;1854.0;6415.0;969.0;11619.0;1210.0;10157.0;2339.0;589.0;13117.0;13117.0;4515.0;721.0;1631.0;5645.0;853.0;10225.0;;;;;;;;;;;;
317;Households, total;Rijnmond;1997;1647.0;12001.0;2821.0;770.0;15699.0;15699.0;5194.0;894.0;1757.0;6676.0;1042.0;12312.0;1444.0;10519.0;2473.0;675.0;13761.0;13761.0;4552.0;783.0;1540.0;5851.0;913.0;10792.0;;;;;;;;;;;;
318;Households, total;Rijnmond;1998;1805.0;12992.0;3032.0;880.0;16948.0;16948.0;5248.0;1020.0;1828.0;7113.0;1161.0;13114.0;1558.0;11215.0;2617.0;760.0;14631.0;14631.0;4530.0;880.0;1578.0;6140.0;1002.0;11321.0;;;;;;;;;;;;
319;Households, total;Rijnmond;1999;1904.0;13620.0;3153.0;1028.0;17649.0;17649.0;5381.0;1104.0;1853.0;7545.0;1250.0;13486.0;1651.0;11806.0;2733.0;891.0;15298.0;15298.0;4664.0;957.0;1606.0;6540.0;1083.0;11690.0;;;;;;;;;;;;
320;Households, total;Rijnmond;2000;1970.0;14788.0;3089.0;1249.0;18597.0;18597.0;5581.0;1188.0;1957.0;7984.0;1351.0;14075.0;1694.0;12718.0;2656.0;1074.0;15994.0;15994.0;4800.0;1022.0;1683.0;6866.0;1162.0;12105.0;;;;;;;;;;;;
321;Households, total;Rijnmond;2001;1863.0;16263.0;3459.0;1260.0;20325.0;20325.0;5780.0;1199.0;2186.0;7987.0;1479.0;15652.0;1571.0;13715.0;2917.0;1063.0;17141.0;17141.0;4875.0;1011.0;1844.0;6736.0;1247.0;13200.0;;;;;;;;;;;;
322;Households, total;Rijnmond;2002;1967.0;17210.0;2950.0;1226.0;20901.0;20901.0;5987.0;1380.0;2425.0;8276.0;1694.0;15874.0;1663.0;14556.0;2495.0;1037.0;17678.0;17678.0;5064.0;1167.0;2051.0;7000.0;1433.0;13426.0;;;;;;;;;;;;
323;Households, total;Rijnmond;2003;1896.0;17685.0;3054.0;1116.0;21519.0;21519.0;6147.0;1489.0;2475.0;8837.0;1860.0;15984.0;1604.0;14961.0;2583.0;944.0;18204.0;18204.0;5200.0;1259.0;2093.0;7475.0;1573.0;13521.0;;;;;;;;;;;;
324;Households, total;Rijnmond;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;Households, total;Rijnmond;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;Households, total;Rijnmond;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;Households, total;Rijnmond;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;Households, total;Rijnmond;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;Households, total;Rijnmond;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;Wages and salaries, total;Netherlands;1995;8162.0;146131.0;21583.0;7804.0;168072.0;168072.0;17838.0;;17373.0;67139.0;;100269.0;852.0;15246.0;2252.0;814.0;17535.0;17535.0;1861.0;;1813.0;7005.0;;10461.0;2285.0;40908.0;6042.0;2185.0;47051.0;47051.0;4994.0;;4863.0;18795.0;;28070.0
331;Wages and salaries, total;Netherlands;1996;8529.0;150667.0;22027.0;7664.0;173560.0;173560.0;18940.0;;16844.0;67643.0;;106794.0;878.0;15516.0;2268.0;789.0;17873.0;17873.0;1950.0;;1735.0;6966.0;;10998.0;2328.0;41130.0;6013.0;2092.0;47379.0;47379.0;5170.0;;4598.0;18465.0;;29153.0
332;Wages and salaries, total;Netherlands;1997;9563.0;159481.0;23210.0;8921.0;183333.0;183333.0;18638.0;;15677.0;71648.0;;113368.0;973.0;16231.0;2362.0;908.0;18659.0;18659.0;1897.0;;1595.0;7292.0;;11538.0;2551.0;42539.0;6191.0;2380.0;48901.0;48901.0;4971.0;;4181.0;19111.0;;30239.0
333;Wages and salaries, total;Netherlands;1998;9741.0;171782.0;25256.0;9837.0;196942.0;196942.0;19353.0;;16536.0;76837.0;;121853.0;988.0;17422.0;2561.0;998.0;19973.0;19973.0;1963.0;;1677.0;7793.0;;12358.0;2528.0;44589.0;6556.0;2553.0;51120.0;51120.0;5023.0;;4292.0;19944.0;;31629.0
334;Wages and salaries, total;Netherlands;1999;10230.0;183626.0;27565.0;11880.0;209541.0;209541.0;20215.0;;21296.0;82915.0;;124274.0;1014.0;18203.0;2733.0;1178.0;20772.0;20772.0;2004.0;;2111.0;8219.0;;12319.0;2614.0;46915.0;7043.0;3035.0;53537.0;53537.0;5165.0;;5441.0;21184.0;;31751.0
335;Wages and salaries, total;Netherlands;2000;11205.0;197517.0;29520.0;14605.0;223636.0;223636.0;20071.0;;23134.0;88080.0;;131113.0;1098.0;19352.0;2892.0;1431.0;21911.0;21911.0;1966.0;;2267.0;8630.0;;12846.0;2821.0;49729.0;7432.0;3677.0;56305.0;56305.0;5053.0;;5824.0;22176.0;;33011.0
336;Wages and salaries, total;Netherlands;2001;11572.0;212303.0;31390.0;14227.0;241037.0;241037.0;20996.0;;23742.0;90096.0;;146012.0;1126.0;20664.0;3055.0;1385.0;23461.0;23461.0;2044.0;;2311.0;8769.0;;14212.0;2902.0;53241.0;7872.0;3568.0;60447.0;60447.0;5265.0;;5954.0;22594.0;;36616.0
337;Wages and salaries, total;Netherlands;2002;10287.0;222699.0;27908.0;14346.0;246548.0;246548.0;22482.0;;26391.0;96174.0;;143697.0;995.0;21551.0;2701.0;1388.0;23859.0;23859.0;2176.0;;2554.0;9307.0;;13906.0;2558.0;55380.0;6940.0;3567.0;61311.0;61311.0;5591.0;;6563.0;23916.0;;35734.0
338;Wages and salaries, total;Netherlands;2003;8602.0;228309.0;26624.0;12395.0;251139.0;251139.0;23081.0;;25541.0;101034.0;;144881.0;839.0;22263.0;2596.0;1209.0;24489.0;24489.0;2251.0;;2491.0;9852.0;;14127.0;2158.0;57264.0;6678.0;3109.0;62991.0;62991.0;5789.0;;6406.0;25341.0;;36339.0
339;Wages and salaries, total;Netherlands;2004;9875.0;240627.0;20118.0;13079.0;257542.0;257542.0;23902.0;;24348.0;108113.0;;145299.0;940.0;22869.0;1913.0;1245.0;24477.0;24477.0;2276.0;;2315.0;10279.0;;13808.0;2455.0;59691.0;4993.0;3251.0;63888.0;63888.0;5941.0;;6042.0;26830.0;;36041.0
340;Wages and salaries, total;Netherlands;2005;9752.0;243612.0;21847.0;13272.0;261940.0;261940.0;24096.0;;27673.0;108956.0;;145323.0;935.0;23315.0;2092.0;1273.0;25070.0;25070.0;2311.0;;2650.0;10432.0;;13908.0;2426.0;60480.0;5426.0;3302.0;65030.0;65030.0;5994.0;;6873.0;27059.0;;36076.0
341;Wages and salaries, total;Netherlands;2006;11816.0;254392.0;23452.0;17929.0;271731.0;271731.0;23841.0;;32269.0;112348.0;;146600.0;1119.0;24045.0;2218.0;1698.0;25684.0;25684.0;2258.0;;3051.0;10623.0;;13855.0;2896.0;62216.0;5738.0;4394.0;66456.0;66456.0;5843.0;;7895.0;27487.0;;35850.0
342;Wages and salaries, total;Netherlands;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;Wages and salaries, total;Netherlands;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;Wages and salaries, total;Netherlands;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;Wages and salaries, total;Extra-regio;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;Wages and salaries, total;Extra-regio;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;Wages and salaries, total;Extra-regio;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;Wages and salaries, total;Extra-regio;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;Wages and salaries, total;Extra-regio;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350;Wages and salaries, total;Extra-regio;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;Wages and salaries, total;Extra-regio;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;Wages and salaries, total;Extra-regio;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;Wages and salaries, total;Extra-regio;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;Wages and salaries, total;Extra-regio;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;Wages and salaries, total;Extra-regio;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;Wages and salaries, total;Extra-regio;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;Wages and salaries, total;Extra-regio;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;Wages and salaries, total;Extra-regio;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;Wages and salaries, total;Extra-regio;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Wages and salaries, total;North-Netherlands;1995;743.0;12981.0;1820.0;697.0;14846.0;14846.0;1767.0;;1389.0;6042.0;;9074.0;779.0;13614.0;1909.0;731.0;15571.0;15571.0;1853.0;;1457.0;6337.0;;9517.0;2123.0;37113.0;5204.0;1993.0;42447.0;42447.0;5051.0;;3971.0;17274.0;;25944.0
