ID;ParticipatieEnVertrouwen;Persoonskenmerken;Perioden;NietZoGelukkig_1;Gelukkig_2;NietZoTevredenMetHetLeven_3;TevredenMetHetLeven_4
808;234;Totaal persoonskenmerken;2010 nieuwe methode;17.0;83.0;15.0;85.0
809;234;Totaal persoonskenmerken;2012;16.0;84.0;16.0;84.0
810;234;Geslacht: mannen;2003;;;;
811;234;Geslacht: mannen;2004;;;;
812;234;Geslacht: mannen;2005;;;;
813;234;Geslacht: mannen;2006;;;;
814;234;Geslacht: mannen;2007;;;;
815;234;Geslacht: mannen;2008;;;;
816;234;Geslacht: mannen;2009;11.0;89.0;13.0;87.0
817;234;Geslacht: mannen;2010 oude methode;11.0;89.0;13.0;87.0
818;234;Geslacht: mannen;2010 nieuwe methode;16.0;84.0;15.0;85.0
819;234;Geslacht: mannen;2012;17.0;83.0;16.0;84.0
820;234;Geslacht: vrouwen;2003;;;;
821;234;Geslacht: vrouwen;2004;;;;
822;234;Geslacht: vrouwen;2005;;;;
823;234;Geslacht: vrouwen;2006;;;;
824;234;Geslacht: vrouwen;2007;;;;
825;234;Geslacht: vrouwen;2008;;;;
826;234;Geslacht: vrouwen;2009;14.0;86.0;14.0;86.0
827;234;Geslacht: vrouwen;2010 oude methode;16.0;84.0;16.0;84.0
828;234;Geslacht: vrouwen;2010 nieuwe methode;19.0;81.0;16.0;84.0
829;234;Geslacht: vrouwen;2012;16.0;84.0;16.0;84.0
830;234;Leeftijd: 18 tot 35 jaar;2003;;;;
831;234;Leeftijd: 18 tot 35 jaar;2004;;;;
832;234;Leeftijd: 18 tot 35 jaar;2005;;;;
833;234;Leeftijd: 18 tot 35 jaar;2006;;;;
834;234;Leeftijd: 18 tot 35 jaar;2007;;;;
835;234;Leeftijd: 18 tot 35 jaar;2008;;;;
836;234;Leeftijd: 18 tot 35 jaar;2009;9.0;91.0;11.0;89.0
837;234;Leeftijd: 18 tot 35 jaar;2010 oude methode;9.0;91.0;11.0;89.0
838;234;Leeftijd: 18 tot 35 jaar;2010 nieuwe methode;13.0;87.0;13.0;87.0
839;234;Leeftijd: 18 tot 35 jaar;2012;12.0;88.0;13.0;87.0
840;234;Leeftijd: 35 tot 50 jaar;2003;;;;
841;234;Leeftijd: 35 tot 50 jaar;2004;;;;
842;234;Leeftijd: 35 tot 50 jaar;2005;;;;
843;234;Leeftijd: 35 tot 50 jaar;2006;;;;
844;234;Leeftijd: 35 tot 50 jaar;2007;;;;
845;234;Leeftijd: 35 tot 50 jaar;2008;;;;
846;234;Leeftijd: 35 tot 50 jaar;2009;12.0;88.0;15.0;85.0
847;234;Leeftijd: 35 tot 50 jaar;2010 oude methode;20.0;80.0;14.0;86.0
848;234;Leeftijd: 35 tot 50 jaar;2010 nieuwe methode;17.0;83.0;16.0;84.0
849;234;Leeftijd: 35 tot 50 jaar;2012;15.0;85.0;16.0;84.0
850;234;Leeftijd: 50 tot 65 jaar;2003;;;;
851;234;Leeftijd: 50 tot 65 jaar;2004;;;;
852;234;Leeftijd: 50 tot 65 jaar;2005;;;;
