ID;Taxpayers;Periods;TotalEnvironmentalTaxesAndFees_1;TotalEnvironmentalTaxRevenues_2;TotalEnvironmentalTaxesOnProducts_3;WasteTax_4;FuelTax_5;TaxOnElectricityAndGasUse_6;TapWaterAndGroundwaterTaxes_7;TaxOnPackaging_8;FlightTax_9;TotalMobilityTax_10;ExciseDuties_11;TaxOnPassengerCarsAndMotorcycles_12;MotorVehicleTax_13;ManureSurplusTax_14;TotalEnvironmentalFeesRevenues_15;WasteCollectionFee_16;NoiseTaxCivilAviation_17;FeesOnGroundwaterAndRefuseDumps_18;SewerageCharges_19;FeesOnWaterPollution_20
384;20 Manufacture of chemicals;2007;186.0;153.0;92.0;3.0;0.0;86.0;3.0;;;61.0;56.0;2.0;3.0;;33.0;11.0;;0.0;11.0;11.0
385;20 Manufacture of chemicals;2008;316.0;283.0;131.0;2.0;0.0;113.0;4.0;12.0;0.0;152.0;147.0;2.0;3.0;;33.0;11.0;;0.0;11.0;11.0
386;20 Manufacture of chemicals;2009;336.0;304.0;138.0;2.0;0.0;112.0;4.0;20.0;0.0;166.0;158.0;1.0;7.0;;32.0;11.0;;0.0;12.0;9.0
387;20 Manufacture of chemicals;2010;351.0;321.0;117.0;2.0;0.0;101.0;6.0;8.0;;204.0;196.0;1.0;7.0;;30.0;11.0;;0.0;9.0;10.0
388;20 Manufacture of chemicals;2011;360.0;331.0;112.0;0.0;0.0;100.0;4.0;8.0;;219.0;211.0;1.0;7.0;;29.0;9.0;;0.0;10.0;10.0
389;20 Manufacture of chemicals;2012;377.0;346.0;109.0;0.0;0.0;99.0;2.0;8.0;;238.0;229.0;1.0;8.0;;31.0;9.0;;0.0;12.0;10.0
390;21 Manufacture of pharmaceuticals;1987;10.0;1.0;0.0;;0.0;;;;;1.0;1.0;0.0;0.0;;9.0;3.0;;0.0;0.0;5.0
391;21 Manufacture of pharmaceuticals;1988;8.0;0.0;0.0;;0.0;;;;;0.0;0.0;0.0;0.0;;8.0;2.0;;0.0;0.0;5.0
392;21 Manufacture of pharmaceuticals;1989;9.0;1.0;0.0;;0.0;;;;;1.0;0.0;0.0;1.0;;8.0;2.0;;0.0;0.0;5.0
393;21 Manufacture of pharmaceuticals;1990;9.0;1.0;0.0;;0.0;;;;;1.0;0.0;0.0;1.0;;8.0;2.0;;0.0;0.0;5.0
394;21 Manufacture of pharmaceuticals;1991;9.0;2.0;0.0;;0.0;;;;;2.0;1.0;0.0;1.0;;7.0;2.0;;0.0;0.0;5.0
395;21 Manufacture of pharmaceuticals;1992;10.0;2.0;0.0;;0.0;;;;;2.0;1.0;0.0;1.0;;7.0;2.0;;0.0;0.0;5.0
396;21 Manufacture of pharmaceuticals;1993;13.0;3.0;0.0;;0.0;;;;;3.0;1.0;0.0;2.0;;10.0;4.0;;0.0;1.0;5.0
397;21 Manufacture of pharmaceuticals;1994;12.0;4.0;1.0;;1.0;;;;;2.0;1.0;0.0;1.0;;8.0;4.0;;0.0;0.0;4.0
398;21 Manufacture of pharmaceuticals;1995;10.0;2.0;1.0;0.0;0.0;;1.0;;;1.0;0.0;0.0;1.0;;8.0;3.0;;0.0;0.0;5.0
399;21 Manufacture of pharmaceuticals;1996;11.0;4.0;2.0;0.0;1.0;1.0;0.0;;;1.0;0.0;0.0;1.0;;8.0;2.0;;0.0;0.0;5.0
400;21 Manufacture of pharmaceuticals;1997;12.0;5.0;4.0;0.0;2.0;2.0;1.0;;;0.0;0.0;0.0;0.0;;8.0;2.0;;0.0;0.0;5.0
401;21 Manufacture of pharmaceuticals;1998;11.0;4.0;3.0;0.0;1.0;2.0;0.0;;;0.0;0.0;0.0;0.0;;7.0;2.0;;0.0;0.0;5.0
402;21 Manufacture of pharmaceuticals;1999;17.0;8.0;7.0;0.0;2.0;5.0;0.0;;;0.0;0.0;0.0;0.0;;10.0;2.0;;1.0;0.0;6.0
403;21 Manufacture of pharmaceuticals;2000;19.0;9.0;8.0;1.0;2.0;4.0;1.0;;;1.0;0.0;1.0;0.0;;10.0;2.0;;2.0;0.0;5.0
404;21 Manufacture of pharmaceuticals;2001;10.0;6.0;6.0;1.0;1.0;3.0;1.0;;;1.0;0.0;1.0;0.0;;4.0;2.0;;2.0;0.0;0.0
405;21 Manufacture of pharmaceuticals;2002;12.0;7.0;6.0;2.0;1.0;2.0;1.0;;;0.0;0.0;0.0;0.0;;5.0;2.0;;3.0;0.0;0.0
406;21 Manufacture of pharmaceuticals;2003;9.0;3.0;3.0;0.0;1.0;1.0;1.0;;;0.0;0.0;0.0;0.0;;6.0;3.0;;2.0;1.0;0.0
407;21 Manufacture of pharmaceuticals;2004;9.0;3.0;3.0;0.0;0.0;2.0;1.0;;;0.0;0.0;0.0;0.0;;6.0;3.0;;0.0;1.0;2.0
408;21 Manufacture of pharmaceuticals;2005;12.0;6.0;6.0;1.0;0.0;4.0;1.0;;;0.0;0.0;0.0;0.0;;6.0;3.0;;1.0;1.0;1.0
409;21 Manufacture of pharmaceuticals;2006;17.0;11.0;9.0;1.0;0.0;6.0;2.0;;;2.0;1.0;0.0;1.0;;6.0;3.0;;0.0;2.0;1.0
410;21 Manufacture of pharmaceuticals;2007;14.0;9.0;7.0;0.0;0.0;5.0;2.0;;;2.0;0.0;1.0;1.0;;5.0;2.0;;0.0;2.0;1.0
411;21 Manufacture of pharmaceuticals;2008;17.0;12.0;10.0;0.0;0.0;5.0;1.0;3.0;1.0;2.0;1.0;0.0;1.0;;5.0;2.0;;0.0;2.0;1.0
412;21 Manufacture of pharmaceuticals;2009;22.0;17.0;14.0;0.0;0.0;6.0;1.0;7.0;0.0;3.0;1.0;0.0;2.0;;5.0;2.0;;0.0;2.0;1.0
413;21 Manufacture of pharmaceuticals;2010;22.0;17.0;14.0;0.0;0.0;5.0;1.0;8.0;;3.0;1.0;0.0;2.0;;5.0;2.0;;0.0;2.0;1.0
414;21 Manufacture of pharmaceuticals;2011;25.0;19.0;16.0;0.0;0.0;6.0;2.0;8.0;;3.0;1.0;0.0;2.0;;6.0;3.0;;0.0;2.0;1.0
415;21 Manufacture of pharmaceuticals;2012;22.0;16.0;13.0;0.0;0.0;5.0;0.0;8.0;;3.0;1.0;0.0;2.0;;7.0;3.0;;0.0;3.0;1.0
416;22-23 Man. plastics and constructionprod;1987;24.0;10.0;0.0;;0.0;;;;;10.0;4.0;2.0;4.0;;14.0;12.0;;0.0;0.0;2.0
417;22-23 Man. plastics and constructionprod;1988;15.0;11.0;0.0;;0.0;;;;;11.0;5.0;2.0;4.0;;4.0;3.0;;0.0;0.0;1.0
418;22-23 Man. plastics and constructionprod;1989;17.0;10.0;1.0;;1.0;;;;;9.0;3.0;2.0;4.0;;7.0;5.0;;0.0;1.0;1.0
419;22-23 Man. plastics and constructionprod;1990;20.0;13.0;3.0;;3.0;;;;;10.0;4.0;2.0;4.0;;7.0;5.0;;0.0;1.0;1.0
420;22-23 Man. plastics and constructionprod;1991;24.0;15.0;4.0;;4.0;;;;;11.0;5.0;2.0;4.0;;9.0;7.0;;0.0;1.0;1.0
421;22-23 Man. plastics and constructionprod;1992;28.0;20.0;7.0;;7.0;;;;;13.0;6.0;3.0;4.0;;8.0;6.0;;0.0;1.0;1.0
422;22-23 Man. plastics and constructionprod;1993;31.0;19.0;4.0;;4.0;;;;;14.0;8.0;2.0;4.0;;12.0;10.0;;0.0;1.0;1.0
423;22-23 Man. plastics and constructionprod;1994;33.0;23.0;3.0;;3.0;;;;;20.0;12.0;3.0;5.0;;10.0;8.0;;0.0;1.0;1.0
424;22-23 Man. plastics and constructionprod;1995;33.0;26.0;8.0;2.0;5.0;;1.0;;;18.0;11.0;3.0;4.0;;7.0;5.0;;0.0;1.0;1.0
425;22-23 Man. plastics and constructionprod;1996;42.0;34.0;17.0;1.0;7.0;8.0;1.0;;;17.0;10.0;4.0;3.0;;8.0;6.0;;0.0;1.0;1.0
426;22-23 Man. plastics and constructionprod;1997;42.0;36.0;19.0;0.0;5.0;13.0;1.0;;;17.0;10.0;4.0;3.0;;6.0;4.0;;0.0;1.0;1.0
427;22-23 Man. plastics and constructionprod;1998;46.0;40.0;19.0;0.0;5.0;13.0;1.0;;;21.0;12.0;5.0;4.0;;6.0;4.0;;0.0;1.0;1.0
428;22-23 Man. plastics and constructionprod;1999;52.0;44.0;27.0;1.0;5.0;21.0;0.0;;;17.0;8.0;6.0;3.0;;8.0;5.0;;0.0;1.0;2.0
429;22-23 Man. plastics and constructionprod;2000;50.0;42.0;25.0;1.0;5.0;18.0;1.0;;;17.0;9.0;6.0;2.0;;8.0;5.0;;0.0;1.0;2.0
430;22-23 Man. plastics and constructionprod;2001;55.0;46.0;28.0;2.0;6.0;20.0;0.0;;;18.0;10.0;6.0;2.0;;9.0;5.0;;1.0;1.0;2.0
431;22-23 Man. plastics and constructionprod;2002;52.0;39.0;21.0;1.0;5.0;14.0;1.0;;;18.0;11.0;5.0;2.0;;13.0;5.0;;1.0;2.0;5.0
432;22-23 Man. plastics and constructionprod;2003;59.0;44.0;20.0;1.0;5.0;12.0;2.0;;;24.0;15.0;5.0;4.0;;15.0;7.0;;0.0;4.0;4.0
433;22-23 Man. plastics and constructionprod;2004;59.0;46.0;24.0;0.0;1.0;21.0;2.0;;;22.0;13.0;6.0;3.0;;13.0;6.0;;0.0;3.0;4.0
434;22-23 Man. plastics and constructionprod;2005;80.0;65.0;42.0;1.0;0.0;39.0;2.0;;;23.0;13.0;6.0;4.0;;15.0;6.0;;1.0;5.0;3.0
435;22-23 Man. plastics and constructionprod;2006;97.0;81.0;54.0;1.0;0.0;51.0;2.0;;;27.0;16.0;7.0;4.0;;16.0;7.0;;0.0;6.0;3.0
436;22-23 Man. plastics and constructionprod;2007;80.0;64.0;36.0;1.0;0.0;34.0;1.0;;;28.0;18.0;7.0;3.0;;16.0;8.0;;0.0;5.0;3.0
437;22-23 Man. plastics and constructionprod;2008;99.0;83.0;58.0;0.0;0.0;48.0;1.0;9.0;0.0;25.0;16.0;6.0;3.0;;16.0;8.0;;0.0;5.0;3.0
438;22-23 Man. plastics and constructionprod;2009;97.0;81.0;62.0;0.0;0.0;44.0;1.0;17.0;0.0;19.0;14.0;4.0;1.0;;16.0;8.0;;0.0;5.0;3.0
439;22-23 Man. plastics and constructionprod;2010;87.0;71.0;47.0;0.0;0.0;38.0;0.0;9.0;;24.0;19.0;4.0;1.0;;16.0;8.0;;0.0;5.0;3.0
440;22-23 Man. plastics and constructionprod;2011;87.0;74.0;51.0;0.0;0.0;41.0;1.0;9.0;;23.0;18.0;4.0;1.0;;13.0;5.0;;0.0;5.0;3.0
441;22-23 Man. plastics and constructionprod;2012;80.0;66.0;46.0;0.0;0.0;36.0;1.0;9.0;;20.0;16.0;3.0;1.0;;15.0;5.0;;0.0;6.0;3.0
442;22 Manufacture rubber, plastic products;1987;7.0;3.0;0.0;;0.0;;;;;3.0;2.0;0.0;1.0;;4.0;4.0;;0.0;0.0;0.0
443;22 Manufacture rubber, plastic products;1988;5.0;4.0;0.0;;0.0;;;;;4.0;3.0;0.0;1.0;;1.0;1.0;;0.0;0.0;0.0
444;22 Manufacture rubber, plastic products;1989;4.0;2.0;0.0;;0.0;;;;;2.0;1.0;0.0;1.0;;2.0;2.0;;0.0;0.0;0.0
445;22 Manufacture rubber, plastic products;1990;7.0;5.0;0.0;;0.0;;;;;5.0;3.0;1.0;1.0;;2.0;2.0;;0.0;0.0;0.0
446;22 Manufacture rubber, plastic products;1991;8.0;6.0;1.0;;1.0;;;;;5.0;3.0;1.0;1.0;;2.0;2.0;;0.0;0.0;0.0
447;22 Manufacture rubber, plastic products;1992;7.0;5.0;0.0;;0.0;;;;;5.0;3.0;1.0;1.0;;2.0;2.0;;0.0;0.0;0.0
448;22 Manufacture rubber, plastic products;1993;9.0;6.0;0.0;;0.0;;;;;6.0;4.0;1.0;1.0;;3.0;3.0;;0.0;0.0;0.0
449;22 Manufacture rubber, plastic products;1994;11.0;9.0;0.0;;0.0;;;;;9.0;6.0;1.0;2.0;;2.0;2.0;;0.0;0.0;0.0
450;22 Manufacture rubber, plastic products;1995;10.0;9.0;2.0;1.0;0.0;;1.0;;;7.0;5.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
451;22 Manufacture rubber, plastic products;1996;12.0;11.0;5.0;1.0;1.0;3.0;0.0;;;6.0;4.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
452;22 Manufacture rubber, plastic products;1997;13.0;12.0;6.0;0.0;0.0;6.0;0.0;;;6.0;4.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
453;22 Manufacture rubber, plastic products;1998;16.0;15.0;7.0;0.0;1.0;6.0;0.0;;;7.0;5.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
454;22 Manufacture rubber, plastic products;1999;16.0;15.0;10.0;1.0;0.0;9.0;0.0;;;5.0;3.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
455;22 Manufacture rubber, plastic products;2000;19.0;18.0;11.0;1.0;1.0;8.0;1.0;;;7.0;4.0;2.0;1.0;;1.0;1.0;;0.0;0.0;0.0
456;22 Manufacture rubber, plastic products;2001;20.0;18.0;11.0;0.0;1.0;10.0;0.0;;;7.0;4.0;2.0;1.0;;2.0;1.0;;1.0;0.0;0.0
457;22 Manufacture rubber, plastic products;2002;18.0;14.0;9.0;1.0;1.0;7.0;0.0;;;6.0;4.0;2.0;0.0;;4.0;1.0;;1.0;1.0;1.0
458;22 Manufacture rubber, plastic products;2003;18.0;15.0;7.0;0.0;1.0;5.0;1.0;;;8.0;5.0;2.0;1.0;;3.0;1.0;;0.0;1.0;1.0
459;22 Manufacture rubber, plastic products;2004;20.0;17.0;11.0;0.0;1.0;9.0;1.0;;;6.0;4.0;2.0;0.0;;3.0;1.0;;0.0;1.0;1.0
460;22 Manufacture rubber, plastic products;2005;30.0;25.0;18.0;1.0;0.0;16.0;1.0;;;7.0;4.0;2.0;1.0;;5.0;1.0;;1.0;2.0;1.0
461;22 Manufacture rubber, plastic products;2006;37.0;31.0;23.0;0.0;0.0;22.0;1.0;;;8.0;5.0;2.0;1.0;;6.0;2.0;;0.0;3.0;1.0
462;22 Manufacture rubber, plastic products;2007;28.0;23.0;13.0;0.0;0.0;13.0;0.0;;;10.0;7.0;2.0;1.0;;5.0;2.0;;0.0;2.0;1.0
463;22 Manufacture rubber, plastic products;2008;33.0;28.0;20.0;0.0;0.0;16.0;0.0;4.0;0.0;8.0;5.0;2.0;1.0;;5.0;2.0;;0.0;2.0;1.0
464;22 Manufacture rubber, plastic products;2009;37.0;32.0;25.0;0.0;0.0;16.0;1.0;8.0;0.0;7.0;5.0;1.0;1.0;;5.0;2.0;;0.0;2.0;1.0
465;22 Manufacture rubber, plastic products;2010;38.0;33.0;25.0;0.0;0.0;16.0;0.0;9.0;;8.0;6.0;1.0;1.0;;5.0;2.0;;0.0;2.0;1.0
466;22 Manufacture rubber, plastic products;2011;36.0;32.0;24.0;0.0;0.0;15.0;0.0;9.0;;8.0;6.0;1.0;1.0;;4.0;1.0;;0.0;2.0;1.0
467;22 Manufacture rubber, plastic products;2012;36.0;32.0;25.0;0.0;0.0;15.0;1.0;9.0;;7.0;5.0;1.0;1.0;;5.0;1.0;;0.0;3.0;1.0
468;23 Manufacture of building materials;1987;16.0;6.0;0.0;;0.0;;;;;6.0;2.0;1.0;3.0;;10.0;8.0;;0.0;0.0;2.0
469;23 Manufacture of building materials;1988;9.0;6.0;0.0;;0.0;;;;;6.0;2.0;1.0;3.0;;3.0;2.0;;0.0;0.0;1.0
470;23 Manufacture of building materials;1989;13.0;8.0;1.0;;1.0;;;;;6.0;2.0;1.0;3.0;;5.0;3.0;;0.0;1.0;1.0
471;23 Manufacture of building materials;1990;13.0;8.0;3.0;;3.0;;;;;5.0;1.0;1.0;3.0;;5.0;3.0;;0.0;1.0;1.0
472;23 Manufacture of building materials;1991;16.0;9.0;3.0;;3.0;;;;;7.0;2.0;2.0;3.0;;7.0;5.0;;0.0;1.0;1.0
473;23 Manufacture of building materials;1992;21.0;15.0;7.0;;7.0;;;;;8.0;3.0;2.0;3.0;;6.0;4.0;;0.0;1.0;1.0
474;23 Manufacture of building materials;1993;22.0;13.0;4.0;;4.0;;;;;9.0;4.0;2.0;3.0;;9.0;7.0;;0.0;1.0;1.0
475;23 Manufacture of building materials;1994;22.0;14.0;3.0;;3.0;;;;;11.0;6.0;2.0;3.0;;8.0;6.0;;0.0;1.0;1.0
476;23 Manufacture of building materials;1995;23.0;17.0;6.0;1.0;5.0;;0.0;;;11.0;6.0;2.0;3.0;;6.0;4.0;;0.0;1.0;1.0
477;23 Manufacture of building materials;1996;29.0;22.0;12.0;0.0;6.0;5.0;1.0;;;11.0;6.0;3.0;2.0;;7.0;5.0;;0.0;1.0;1.0
478;23 Manufacture of building materials;1997;29.0;24.0;13.0;0.0;5.0;7.0;1.0;;;11.0;6.0;3.0;2.0;;5.0;3.0;;0.0;1.0;1.0
479;23 Manufacture of building materials;1998;30.0;25.0;12.0;0.0;4.0;7.0;1.0;;;14.0;7.0;4.0;3.0;;5.0;3.0;;0.0;1.0;1.0
480;23 Manufacture of building materials;1999;36.0;29.0;17.0;0.0;5.0;12.0;0.0;;;11.0;5.0;4.0;2.0;;7.0;4.0;;0.0;1.0;2.0
481;23 Manufacture of building materials;2000;31.0;24.0;14.0;0.0;4.0;10.0;0.0;;;10.0;5.0;4.0;1.0;;7.0;4.0;;0.0;1.0;2.0
482;23 Manufacture of building materials;2001;36.0;29.0;17.0;2.0;5.0;10.0;0.0;;;12.0;6.0;5.0;1.0;;7.0;4.0;;0.0;1.0;2.0
483;23 Manufacture of building materials;2002;34.0;25.0;12.0;0.0;4.0;7.0;1.0;;;12.0;7.0;3.0;2.0;;9.0;4.0;;0.0;1.0;4.0
484;23 Manufacture of building materials;2003;42.0;30.0;13.0;1.0;4.0;7.0;1.0;;;17.0;10.0;4.0;3.0;;12.0;6.0;;0.0;3.0;3.0
485;23 Manufacture of building materials;2004;39.0;29.0;13.0;0.0;0.0;12.0;1.0;;;16.0;9.0;4.0;3.0;;10.0;5.0;;0.0;2.0;3.0
486;23 Manufacture of building materials;2005;50.0;40.0;24.0;0.0;0.0;23.0;1.0;;;16.0;9.0;4.0;3.0;;10.0;5.0;;0.0;3.0;2.0
487;23 Manufacture of building materials;2006;60.0;50.0;31.0;1.0;0.0;29.0;1.0;;;19.0;11.0;5.0;3.0;;10.0;5.0;;0.0;3.0;2.0
488;23 Manufacture of building materials;2007;52.0;41.0;23.0;1.0;0.0;21.0;1.0;;;18.0;11.0;5.0;2.0;;11.0;6.0;;0.0;3.0;2.0
489;23 Manufacture of building materials;2008;66.0;55.0;38.0;0.0;0.0;32.0;1.0;5.0;0.0;17.0;11.0;4.0;2.0;;11.0;6.0;;0.0;3.0;2.0
490;23 Manufacture of building materials;2009;60.0;49.0;37.0;0.0;0.0;28.0;0.0;9.0;0.0;12.0;9.0;3.0;0.0;;11.0;6.0;;0.0;3.0;2.0
491;23 Manufacture of building materials;2010;49.0;38.0;22.0;0.0;0.0;22.0;0.0;0.0;;16.0;13.0;3.0;0.0;;11.0;6.0;;0.0;3.0;2.0
492;23 Manufacture of building materials;2011;51.0;42.0;27.0;0.0;0.0;26.0;1.0;0.0;;15.0;12.0;3.0;0.0;;9.0;4.0;;0.0;3.0;2.0
493;23 Manufacture of building materials;2012;44.0;34.0;21.0;0.0;0.0;21.0;0.0;0.0;;13.0;11.0;2.0;0.0;;10.0;4.0;;0.0;4.0;2.0
494;24-25 Man. of basic metals and -products;1987;31.0;15.0;0.0;;0.0;;;;;15.0;7.0;2.0;6.0;;16.0;12.0;;0.0;0.0;4.0
495;24-25 Man. of basic metals and -products;1988;29.0;16.0;4.0;;4.0;;;;;12.0;6.0;2.0;4.0;;13.0;8.0;;0.0;0.0;5.0
496;24-25 Man. of basic metals and -products;1989;37.0;25.0;10.0;;10.0;;;;;15.0;6.0;2.0;7.0;;12.0;7.0;;0.0;0.0;5.0
497;24-25 Man. of basic metals and -products;1990;47.0;32.0;14.0;;14.0;;;;;18.0;8.0;3.0;7.0;;15.0;10.0;;0.0;0.0;5.0
498;24-25 Man. of basic metals and -products;1991;59.0;40.0;21.0;;21.0;;;;;19.0;9.0;3.0;7.0;;19.0;12.0;;0.0;1.0;6.0
499;24-25 Man. of basic metals and -products;1992;71.0;52.0;31.0;;31.0;;;;;20.0;11.0;3.0;6.0;;20.0;13.0;;0.0;1.0;6.0
500;24-25 Man. of basic metals and -products;1993;71.0;51.0;28.0;;28.0;;;;;22.0;13.0;3.0;6.0;;21.0;14.0;;0.0;1.0;6.0
501;24-25 Man. of basic metals and -products;1994;66.0;47.0;25.0;;25.0;;;;;22.0;12.0;4.0;6.0;;19.0;12.0;;0.0;1.0;6.0
502;24-25 Man. of basic metals and -products;1995;66.0;49.0;26.0;0.0;25.0;;1.0;;;23.0;12.0;5.0;6.0;;18.0;11.0;;0.0;1.0;6.0
503;24-25 Man. of basic metals and -products;1996;71.0;56.0;38.0;2.0;26.0;9.0;1.0;;;18.0;7.0;5.0;6.0;;15.0;8.0;;0.0;1.0;6.0
504;24-25 Man. of basic metals and -products;1997;77.0;67.0;54.0;1.0;34.0;18.0;2.0;;;13.0;7.0;6.0;0.0;;10.0;3.0;;0.0;1.0;6.0
505;24-25 Man. of basic metals and -products;1998;84.0;74.0;57.0;3.0;34.0;19.0;2.0;;;16.0;8.0;6.0;2.0;;10.0;3.0;;0.0;1.0;6.0
506;24-25 Man. of basic metals and -products;1999;96.0;82.0;61.0;2.0;28.0;30.0;1.0;;;21.0;11.0;8.0;2.0;;14.0;6.0;;0.0;1.0;7.0
507;24-25 Man. of basic metals and -products;2000;96.0;83.0;61.0;3.0;26.0;29.0;3.0;;;22.0;12.0;8.0;2.0;;13.0;6.0;;0.0;1.0;6.0
508;24-25 Man. of basic metals and -products;2001;100.0;87.0;64.0;2.0;27.0;32.0;3.0;;;24.0;13.0;9.0;2.0;;13.0;6.0;;0.0;2.0;5.0
509;24-25 Man. of basic metals and -products;2002;73.0;61.0;38.0;1.0;8.0;25.0;4.0;;;23.0;13.0;7.0;3.0;;12.0;5.0;;0.0;3.0;4.0
510;24-25 Man. of basic metals and -products;2003;76.0;57.0;33.0;2.0;7.0;21.0;3.0;;;24.0;14.0;7.0;3.0;;19.0;8.0;;0.0;6.0;5.0
511;24-25 Man. of basic metals and -products;2004;88.0;69.0;42.0;0.0;2.0;36.0;4.0;;;27.0;15.0;7.0;5.0;;19.0;8.0;;0.0;5.0;6.0
512;24-25 Man. of basic metals and -products;2005;123.0;104.0;77.0;1.0;3.0;69.0;4.0;;;27.0;14.0;8.0;5.0;;19.0;9.0;;0.0;4.0;6.0
513;24-25 Man. of basic metals and -products;2006;131.0;110.0;83.0;0.0;2.0;78.0;3.0;;;27.0;13.0;9.0;5.0;;21.0;9.0;;0.0;5.0;7.0
514;24-25 Man. of basic metals and -products;2007;104.0;84.0;52.0;0.0;0.0;48.0;4.0;;;32.0;16.0;9.0;7.0;;20.0;10.0;;0.0;6.0;4.0
515;24-25 Man. of basic metals and -products;2008;138.0;118.0;86.0;0.0;6.0;75.0;3.0;2.0;0.0;32.0;17.0;8.0;7.0;;20.0;10.0;;0.0;6.0;4.0
516;24-25 Man. of basic metals and -products;2009;121.0;102.0;68.0;0.0;0.0;61.0;3.0;4.0;0.0;34.0;17.0;5.0;12.0;;19.0;10.0;;0.0;5.0;4.0
517;24-25 Man. of basic metals and -products;2010;146.0;125.0;90.0;0.0;0.0;72.0;5.0;13.0;;35.0;17.0;5.0;13.0;;21.0;10.0;;0.0;6.0;5.0
518;24-25 Man. of basic metals and -products;2011;147.0;126.0;89.0;0.0;0.0;73.0;3.0;13.0;;37.0;19.0;5.0;13.0;;22.0;10.0;;0.0;6.0;5.0
519;24-25 Man. of basic metals and -products;2012;141.0;118.0;84.0;0.0;0.0;70.0;2.0;12.0;;34.0;17.0;4.0;13.0;;23.0;10.0;;0.0;8.0;5.0
520;24 Manufacture of basic metals;1987;11.0;3.0;0.0;;0.0;;;;;3.0;1.0;0.0;2.0;;8.0;5.0;;0.0;0.0;3.0
521;24 Manufacture of basic metals;1988;12.0;6.0;4.0;;4.0;;;;;2.0;0.0;0.0;2.0;;6.0;3.0;;0.0;0.0;3.0
522;24 Manufacture of basic metals;1989;21.0;14.0;10.0;;10.0;;;;;4.0;1.0;0.0;3.0;;7.0;4.0;;0.0;0.0;3.0
523;24 Manufacture of basic metals;1990;24.0;16.0;13.0;;13.0;;;;;3.0;0.0;0.0;3.0;;8.0;5.0;;0.0;0.0;3.0
524;24 Manufacture of basic metals;1991;34.0;25.0;21.0;;21.0;;;;;4.0;1.0;0.0;3.0;;9.0;6.0;;0.0;0.0;3.0
525;24 Manufacture of basic metals;1992;43.0;34.0;30.0;;30.0;;;;;4.0;2.0;0.0;2.0;;9.0;6.0;;0.0;0.0;3.0
526;24 Manufacture of basic metals;1993;43.0;32.0;27.0;;27.0;;;;;5.0;3.0;0.0;2.0;;11.0;8.0;;0.0;0.0;3.0
527;24 Manufacture of basic metals;1994;36.0;27.0;24.0;;24.0;;;;;3.0;1.0;0.0;2.0;;9.0;6.0;;0.0;0.0;3.0
528;24 Manufacture of basic metals;1995;37.0;29.0;25.0;0.0;24.0;;1.0;;;4.0;2.0;0.0;2.0;;8.0;5.0;;0.0;0.0;3.0
529;24 Manufacture of basic metals;1996;44.0;36.0;34.0;1.0;26.0;6.0;1.0;;;2.0;0.0;0.0;2.0;;8.0;5.0;;0.0;0.0;3.0
530;24 Manufacture of basic metals;1997;52.0;47.0;46.0;0.0;34.0;11.0;1.0;;;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
531;24 Manufacture of basic metals;1998;53.0;48.0;47.0;1.0;33.0;12.0;1.0;;;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
532;24 Manufacture of basic metals;1999;59.0;51.0;49.0;0.0;28.0;20.0;1.0;;;1.0;1.0;0.0;0.0;;8.0;4.0;;0.0;0.0;4.0
533;24 Manufacture of basic metals;2000;58.0;51.0;49.0;1.0;26.0;20.0;2.0;;;2.0;1.0;1.0;0.0;;7.0;4.0;;0.0;0.0;3.0
534;24 Manufacture of basic metals;2001;59.0;52.0;49.0;0.0;25.0;22.0;2.0;;;3.0;2.0;1.0;0.0;;7.0;4.0;;0.0;1.0;2.0
535;24 Manufacture of basic metals;2002;34.0;29.0;26.0;1.0;6.0;16.0;3.0;;;3.0;2.0;1.0;0.0;;5.0;2.0;;0.0;2.0;1.0
536;24 Manufacture of basic metals;2003;34.0;24.0;21.0;0.0;5.0;14.0;2.0;;;3.0;2.0;1.0;0.0;;10.0;5.0;;0.0;3.0;2.0
537;24 Manufacture of basic metals;2004;41.0;30.0;28.0;0.0;2.0;24.0;2.0;;;2.0;1.0;1.0;0.0;;11.0;5.0;;0.0;3.0;3.0
538;24 Manufacture of basic metals;2005;63.0;52.0;51.0;1.0;3.0;45.0;2.0;;;1.0;0.0;1.0;0.0;;11.0;6.0;;0.0;2.0;3.0
539;24 Manufacture of basic metals;2006;71.0;57.0;56.0;0.0;2.0;51.0;3.0;;;1.0;0.0;1.0;0.0;;14.0;6.0;;0.0;3.0;5.0
540;24 Manufacture of basic metals;2007;42.0;33.0;31.0;0.0;0.0;29.0;2.0;;;2.0;1.0;1.0;0.0;;9.0;5.0;;0.0;3.0;1.0
541;24 Manufacture of basic metals;2008;64.0;55.0;52.0;0.0;6.0;44.0;2.0;0.0;0.0;3.0;2.0;1.0;0.0;;9.0;5.0;;0.0;3.0;1.0
