ID;AirportsCaribbeanNetherlands;Periods;AircraftMovements_1;TotalPassengerTransport_2;PassengerArrivals_3;PassengerDepartures_4
411;Flamingo Airport (Bonaire);2023 1st quarter;3470;123570;60540;63030
412;Flamingo Airport (Bonaire);2023 April;1250;38850;19740;19100
413;Flamingo Airport (Bonaire);2023 May;1240;36560;16480;20090
414;Flamingo Airport (Bonaire);2023 June;1140;32410;15670;16740
415;Flamingo Airport (Bonaire);2023 2nd quarter;3630;107820;51890;55930
416;Flamingo Airport (Bonaire);2023 July;1250;38710;19130;19580
417;Flamingo Airport (Bonaire);2023 August;1200;34120;17120;17000
418;Flamingo Airport (Bonaire);2023 September;1110;31760;16030;15730
419;Flamingo Airport (Bonaire);2023 3rd quarter;3570;104590;52280;52310
420;Flamingo Airport (Bonaire);2023 October;1200;35110;17560;17550
421;Flamingo Airport (Bonaire);2023 November;1160;34960;17810;17160
422;Flamingo Airport (Bonaire);2023 December;1200;41410;20080;21330
423;Flamingo Airport (Bonaire);2023 4th quarter;3560;111480;55440;56040
424;Flamingo Airport (Bonaire);2023;14230;447460;220150;227310
425;Flamingo Airport (Bonaire);2024 January;1180;42950;22390;20560
426;Flamingo Airport (Bonaire);2024 February;1230;43610;20980;22630
427;Flamingo Airport (Bonaire);2024 March;1180;44200;21900;22300
428;Flamingo Airport (Bonaire);2024 1st quarter;3580;130760;65270;65480
429;Flamingo Airport (Bonaire);2024 April;1120;39760;20490;19270
430;Flamingo Airport (Bonaire);2025 May;1080;37620;16900;20710
431;Flamingo Airport (Bonaire);2024 June;1010;33120;16290;16830
432;Flamingo Airport (Bonaire);2024 2nd quarter;3220;110500;53690;56810
433;Flamingo Airport (Bonaire);2024 July;1180;37800;18710;19090
434;Flamingo Airport (Bonaire);2024 August;1160;37630;19350;18280
435;Flamingo Airport (Bonaire);2024 September;1010;29370;15630;13750
436;Flamingo Airport (Bonaire);2024 3rd quarter;3350;104800;53680;51120
437;Flamingo Airport (Bonaire);2024 October;1260;36580;18560;18020
438;Flamingo Airport (Bonaire);2024 November;1240;39890;20620;19270
439;Flamingo Airport (Bonaire);2024 December;1260;44900;23170;21730
440;Flamingo Airport (Bonaire);2024 4th quarter;3750;121370;62340;59020
441;Flamingo Airport (Bonaire);2024;13900;467420;234990;232430
442;F.D. Roosevelt Airport (St. Eustatius);2012 January;510;3830;2130;1700
443;F.D. Roosevelt Airport (St. Eustatius);2012 February;440;3460;1700;1760
444;F.D. Roosevelt Airport (St. Eustatius);2012 March;500;4140;2180;1960
445;F.D. Roosevelt Airport (St. Eustatius);2012 1st quarter;1450;11430;6010;5420
446;F.D. Roosevelt Airport (St. Eustatius);2012 April;470;4000;1840;2160
447;F.D. Roosevelt Airport (St. Eustatius);2012 May;490;3920;2060;1860
448;F.D. Roosevelt Airport (St. Eustatius);2012 June;450;4020;1970;2060
449;F.D. Roosevelt Airport (St. Eustatius);2012 2nd quarter;1400;11950;5860;6080
450;F.D. Roosevelt Airport (St. Eustatius);2012 July;450;4600;2310;2290
451;F.D. Roosevelt Airport (St. Eustatius);2012 August;450;4010;1900;2110
452;F.D. Roosevelt Airport (St. Eustatius);2012 September;320;2630;1330;1300
453;F.D. Roosevelt Airport (St. Eustatius);2012 3rd quarter;1220;11240;5540;5700
454;F.D. Roosevelt Airport (St. Eustatius);2012 October;440;3900;2020;1880
455;F.D. Roosevelt Airport (St. Eustatius);2012 November;460;3960;1920;2040
456;F.D. Roosevelt Airport (St. Eustatius);2012 December;540;4000;1840;2160
457;F.D. Roosevelt Airport (St. Eustatius);2012 4th quarter;1450;11860;5780;6080
458;F.D. Roosevelt Airport (St. Eustatius);2012;5520;46470;23190;23280
459;F.D. Roosevelt Airport (St. Eustatius);2013 January;560;3690;2050;1650
460;F.D. Roosevelt Airport (St. Eustatius);2013 February;420;3390;1640;1750
461;F.D. Roosevelt Airport (St. Eustatius);2013 March;480;3500;1780;1730
462;F.D. Roosevelt Airport (St. Eustatius);2013 1st quarter;1460;10580;5460;5130
463;F.D. Roosevelt Airport (St. Eustatius);2013 April;460;3680;1710;1970
464;F.D. Roosevelt Airport (St. Eustatius);2013 May;450;3540;1870;1670
465;F.D. Roosevelt Airport (St. Eustatius);2013 June;460;3670;1870;1790
466;F.D. Roosevelt Airport (St. Eustatius);2013 2nd quarter;1370;10880;5460;5430
467;F.D. Roosevelt Airport (St. Eustatius);2013 July;500;4030;2030;1990
468;F.D. Roosevelt Airport (St. Eustatius);2013 August;520;3880;1870;2010
469;F.D. Roosevelt Airport (St. Eustatius);2013 September;400;3130;1510;1620
470;F.D. Roosevelt Airport (St. Eustatius);2013 3rd quarter;1410;11030;5410;5620
471;F.D. Roosevelt Airport (St. Eustatius);2013 October;430;3380;1710;1670
472;F.D. Roosevelt Airport (St. Eustatius);2013 November;480;3620;1840;1790
473;F.D. Roosevelt Airport (St. Eustatius);2013 December;530;3720;1770;1950
474;F.D. Roosevelt Airport (St. Eustatius);2013 4th quarter;1440;10720;5310;5410
475;F.D. Roosevelt Airport (St. Eustatius);2013;5680;43220;21630;21590
476;F.D. Roosevelt Airport (St. Eustatius);2014 January;470;3430;1770;1660
477;F.D. Roosevelt Airport (St. Eustatius);2014 February;430;3070;1530;1540
478;F.D. Roosevelt Airport (St. Eustatius);2014 March;470;3610;1890;1720
479;F.D. Roosevelt Airport (St. Eustatius);2014 1st quarter;1380;10110;5180;4930
480;F.D. Roosevelt Airport (St. Eustatius);2014 April;500;3530;1710;1820
481;F.D. Roosevelt Airport (St. Eustatius);2014 May;500;3680;1860;1820
482;F.D. Roosevelt Airport (St. Eustatius);2014 June;470;3780;1860;1930
483;F.D. Roosevelt Airport (St. Eustatius);2014 2nd quarter;1470;10990;5430;5560
484;F.D. Roosevelt Airport (St. Eustatius);2014 July;490;4080;2100;1980
485;F.D. Roosevelt Airport (St. Eustatius);2014 August;460;3810;1810;2000
486;F.D. Roosevelt Airport (St. Eustatius);2014 September;450;2900;1490;1410
487;F.D. Roosevelt Airport (St. Eustatius);2014 3rd quarter;1400;10790;5390;5400
488;F.D. Roosevelt Airport (St. Eustatius);2014 October;460;3670;1830;1850
489;F.D. Roosevelt Airport (St. Eustatius);2014 November;470;3370;1660;1710
490;F.D. Roosevelt Airport (St. Eustatius);2014 December;610;3640;1720;1910
491;F.D. Roosevelt Airport (St. Eustatius);2014 4th quarter;1540;10680;5210;5460
492;F.D. Roosevelt Airport (St. Eustatius);2014;5780;42570;21220;21350
493;F.D. Roosevelt Airport (St. Eustatius);2015 January;520;3400;1810;1580
494;F.D. Roosevelt Airport (St. Eustatius);2015 February;450;3130;1540;1590
495;F.D. Roosevelt Airport (St. Eustatius);2015 March;480;3590;1800;1790
496;F.D. Roosevelt Airport (St. Eustatius);2015 1st quarter;1460;10110;5150;4960
497;F.D. Roosevelt Airport (St. Eustatius);2015 April;510;3370;1630;1740
498;F.D. Roosevelt Airport (St. Eustatius);2015 May;450;3390;1780;1610
499;F.D. Roosevelt Airport (St. Eustatius);2015 June;420;3460;1770;1690
500;F.D. Roosevelt Airport (St. Eustatius);2015 2nd quarter;1380;10220;5170;5050
501;F.D. Roosevelt Airport (St. Eustatius);2015 July;470;3760;1870;1890
502;F.D. Roosevelt Airport (St. Eustatius);2015 August;420;3090;1530;1560
503;F.D. Roosevelt Airport (St. Eustatius);2015 September;370;2930;1450;1480
504;F.D. Roosevelt Airport (St. Eustatius);2015 3rd quarter;1250;9780;4850;4930
505;F.D. Roosevelt Airport (St. Eustatius);2015 October;440;3540;1770;1760
506;F.D. Roosevelt Airport (St. Eustatius);2015 November;430;3530;1730;1800
507;F.D. Roosevelt Airport (St. Eustatius);2015 December;480;3450;1580;1880
508;F.D. Roosevelt Airport (St. Eustatius);2015 4th quarter;1350;10520;5080;5440
509;F.D. Roosevelt Airport (St. Eustatius);2015;5440;40630;20260;20380
510;F.D. Roosevelt Airport (St. Eustatius);2016 January;460;3370;1800;1570
511;F.D. Roosevelt Airport (St. Eustatius);2016 February;430;3320;1670;1650
512;F.D. Roosevelt Airport (St. Eustatius);2016 March;490;3550;1750;1800
513;F.D. Roosevelt Airport (St. Eustatius);2016 1st quarter;1380;10240;5220;5020
514;F.D. Roosevelt Airport (St. Eustatius);2016 April;440;3400;1580;1830
515;F.D. Roosevelt Airport (St. Eustatius);2016 May;470;3260;1700;1560
516;F.D. Roosevelt Airport (St. Eustatius);2016 June;450;3280;1660;1620
517;F.D. Roosevelt Airport (St. Eustatius);2016 2nd quarter;1360;9940;4940;5010
518;F.D. Roosevelt Airport (St. Eustatius);2016 July;510;4020;1970;2050
519;F.D. Roosevelt Airport (St. Eustatius);2016 August;520;3990;1980;2010
520;F.D. Roosevelt Airport (St. Eustatius);2016 September;480;3060;1510;1560
521;F.D. Roosevelt Airport (St. Eustatius);2016 3rd quarter;1510;11070;5460;5610
522;F.D. Roosevelt Airport (St. Eustatius);2016 October;500;3650;1830;1820
523;F.D. Roosevelt Airport (St. Eustatius);2016 November;490;3780;1920;1860
524;F.D. Roosevelt Airport (St. Eustatius);2016 December;530;3720;1760;1960
525;F.D. Roosevelt Airport (St. Eustatius);2016 4th quarter;1520;11150;5510;5640
526;F.D. Roosevelt Airport (St. Eustatius);2016;5760;42390;21120;21270
527;F.D. Roosevelt Airport (St. Eustatius);2017 January;500;3450;1800;1660
528;F.D. Roosevelt Airport (St. Eustatius);2017 February;490;3250;1610;1640
529;F.D. Roosevelt Airport (St. Eustatius);2017 March;480;3700;1880;1820
530;F.D. Roosevelt Airport (St. Eustatius);2017 1st quarter;1470;10400;5280;5120
531;F.D. Roosevelt Airport (St. Eustatius);2017 April;570;3620;1750;1860
532;F.D. Roosevelt Airport (St. Eustatius);2017 May;470;3340;1740;1600
533;F.D. Roosevelt Airport (St. Eustatius);2017 June;470;3510;1720;1780
534;F.D. Roosevelt Airport (St. Eustatius);2017 2nd quarter;1520;10460;5220;5240
535;F.D. Roosevelt Airport (St. Eustatius);2017 July;500;4070;2090;1980
536;F.D. Roosevelt Airport (St. Eustatius);2017 August;470;3680;1790;1890
537;F.D. Roosevelt Airport (St. Eustatius);2017 September;400;1030;590;440
538;F.D. Roosevelt Airport (St. Eustatius);2017 3rd quarter;1370;8780;4470;4320
539;F.D. Roosevelt Airport (St. Eustatius);2017 October;620;1870;960;910
540;F.D. Roosevelt Airport (St. Eustatius);2017 November;560;2980;1540;1440
541;F.D. Roosevelt Airport (St. Eustatius);2017 December;630;3340;1570;1770
542;F.D. Roosevelt Airport (St. Eustatius);2017 4th quarter;1820;8190;4080;4110
543;F.D. Roosevelt Airport (St. Eustatius);2017;6180;37830;19040;18790
544;F.D. Roosevelt Airport (St. Eustatius);2018 January;590;3310;1840;1460
545;F.D. Roosevelt Airport (St. Eustatius);2018 February;520;3120;1530;1590
546;F.D. Roosevelt Airport (St. Eustatius);2018 March;670;3700;1880;1830
547;F.D. Roosevelt Airport (St. Eustatius);2018 1st quarter;1780;10130;5250;4880
548;F.D. Roosevelt Airport (St. Eustatius);2018 April;600;3760;1840;1920
549;F.D. Roosevelt Airport (St. Eustatius);2018 May;540;3640;1860;1780
550;F.D. Roosevelt Airport (St. Eustatius);2018 June;550;3820;1900;1920
551;F.D. Roosevelt Airport (St. Eustatius);2018 2nd quarter;1680;11220;5600;5620
552;F.D. Roosevelt Airport (St. Eustatius);2018 July;650;4030;2010;2010
553;F.D. Roosevelt Airport (St. Eustatius);2018 August;580;3740;1800;1940
554;F.D. Roosevelt Airport (St. Eustatius);2018 September;480;2600;1320;1280
555;F.D. Roosevelt Airport (St. Eustatius);2018 3rd quarter;1700;10370;5140;5230
556;F.D. Roosevelt Airport (St. Eustatius);2018 October;560;3380;1700;1690
557;F.D. Roosevelt Airport (St. Eustatius);2018 November;570;3600;1790;1810
558;F.D. Roosevelt Airport (St. Eustatius);2018 December;540;3490;1620;1870
559;F.D. Roosevelt Airport (St. Eustatius);2018 4th quarter;1660;10470;5110;5360
560;F.D. Roosevelt Airport (St. Eustatius);2018;6830;42180;21100;21080
561;F.D. Roosevelt Airport (St. Eustatius);2019 January;580;3380;1840;1540
562;F.D. Roosevelt Airport (St. Eustatius);2019 February;490;3090;1540;1540
563;F.D. Roosevelt Airport (St. Eustatius);2019 March;500;3450;1770;1670
564;F.D. Roosevelt Airport (St. Eustatius);2019 1st quarter;1570;9910;5150;4760
565;F.D. Roosevelt Airport (St. Eustatius);2019 April;510;3470;1700;1780
566;F.D. Roosevelt Airport (St. Eustatius);2019 May;550;3710;1850;1850
567;F.D. Roosevelt Airport (St. Eustatius);2019 June;490;3410;1750;1660
568;F.D. Roosevelt Airport (St. Eustatius);2019 2nd quarter;1550;10590;5300;5290
569;F.D. Roosevelt Airport (St. Eustatius);2019 July;610;4150;2060;2100
570;F.D. Roosevelt Airport (St. Eustatius);2019 August;530;3700;1820;1880
571;F.D. Roosevelt Airport (St. Eustatius);2019 September;490;3140;1580;1560
572;F.D. Roosevelt Airport (St. Eustatius);2019 3rd quarter;1630;10990;5450;5540
573;F.D. Roosevelt Airport (St. Eustatius);2019 October;560;3560;1780;1780
574;F.D. Roosevelt Airport (St. Eustatius);2019 November;540;3810;1930;1890
575;F.D. Roosevelt Airport (St. Eustatius);2019 December;530;3260;1500;1760
576;F.D. Roosevelt Airport (St. Eustatius);2019 4th quarter;1630;10630;5210;5420
577;F.D. Roosevelt Airport (St. Eustatius);2019;6380;42120;21110;21010
578;F.D. Roosevelt Airport (St. Eustatius);2020 January;530;3690;1970;1720
579;F.D. Roosevelt Airport (St. Eustatius);2020 February;480;3350;1640;1720
580;F.D. Roosevelt Airport (St. Eustatius);2020 March;330;1900;930;970
581;F.D. Roosevelt Airport (St. Eustatius);2020 1st quarter;1350;8940;4540;4400
582;F.D. Roosevelt Airport (St. Eustatius);2020 April;70;50;20;20
583;F.D. Roosevelt Airport (St. Eustatius);2020 May;90;130;50;80
584;F.D. Roosevelt Airport (St. Eustatius);2020 June;140;270;150;120
585;F.D. Roosevelt Airport (St. Eustatius);2020 2nd quarter;300;440;220;230
586;F.D. Roosevelt Airport (St. Eustatius);2020 July;260;820;400;420
587;F.D. Roosevelt Airport (St. Eustatius);2020 August;220;640;320;320
588;F.D. Roosevelt Airport (St. Eustatius);2020 September;170;470;250;220
589;F.D. Roosevelt Airport (St. Eustatius);2020 3rd quarter;650;1930;970;960
590;F.D. Roosevelt Airport (St. Eustatius);2020 October;170;360;180;170
591;F.D. Roosevelt Airport (St. Eustatius);2020 November;210;630;340;290
592;F.D. Roosevelt Airport (St. Eustatius);2020 December;280;880;420;460
593;F.D. Roosevelt Airport (St. Eustatius);2020 4th quarter;670;1870;940;920
594;F.D. Roosevelt Airport (St. Eustatius);2020;2970;13190;6670;6520
595;F.D. Roosevelt Airport (St. Eustatius);2021 January;250;840;490;350
596;F.D. Roosevelt Airport (St. Eustatius);2021 February;290;790;390;390
597;F.D. Roosevelt Airport (St. Eustatius);2021 March;290;800;410;390
598;F.D. Roosevelt Airport (St. Eustatius);2021 1st quarter;830;2420;1290;1130
599;F.D. Roosevelt Airport (St. Eustatius);2021 April;320;1090;520;570
600;F.D. Roosevelt Airport (St. Eustatius);2021 May;350;1180;560;610
601;F.D. Roosevelt Airport (St. Eustatius);2021 June;400;1410;730;680
602;F.D. Roosevelt Airport (St. Eustatius);2021 2nd quarter;1060;3680;1820;1860
603;F.D. Roosevelt Airport (St. Eustatius);2021 July;410;1590;770;810
604;F.D. Roosevelt Airport (St. Eustatius);2021 August;360;1550;760;790
605;F.D. Roosevelt Airport (St. Eustatius);2021 September;310;1070;520;550
606;F.D. Roosevelt Airport (St. Eustatius);2021 3rd quarter;1080;4200;2050;2150
607;F.D. Roosevelt Airport (St. Eustatius);2021 October;350;1340;700;640
608;F.D. Roosevelt Airport (St. Eustatius);2021 November;440;1690;840;860
609;F.D. Roosevelt Airport (St. Eustatius);2021 December;430;1920;940;980
610;F.D. Roosevelt Airport (St. Eustatius);2021 4th quarter;1220;4950;2470;2480
611;F.D. Roosevelt Airport (St. Eustatius);2021;4190;15250;7630;7620
612;F.D. Roosevelt Airport (St. Eustatius);2022 January;390;1180;650;520
613;F.D. Roosevelt Airport (St. Eustatius);2022 February;350;1180;600;580
614;F.D. Roosevelt Airport (St. Eustatius);2022 March;390;1630;830;810
615;F.D. Roosevelt Airport (St. Eustatius);2022 1st quarter;1130;3990;2080;1910
616;F.D. Roosevelt Airport (St. Eustatius);2022 April;390;1660;790;870
617;F.D. Roosevelt Airport (St. Eustatius);2022 May;410;1760;840;920
618;F.D. Roosevelt Airport (St. Eustatius);2022 June;430;2140;1050;1100
619;F.D. Roosevelt Airport (St. Eustatius);2022 2nd quarter;1230;5560;2670;2890
620;F.D. Roosevelt Airport (St. Eustatius);2022 July;400;2160;1100;1060
621;F.D. Roosevelt Airport (St. Eustatius);2022 August;430;2260;1100;1150
622;F.D. Roosevelt Airport (St. Eustatius);2022 September;370;1870;910;960
623;F.D. Roosevelt Airport (St. Eustatius);2022 3rd quarter;1200;6280;3110;3180
624;F.D. Roosevelt Airport (St. Eustatius);2022 October;380;2030;1020;1010
625;F.D. Roosevelt Airport (St. Eustatius);2022 November;430;2580;1330;1240
626;F.D. Roosevelt Airport (St. Eustatius);2022 December;370;2300;1100;1200
627;F.D. Roosevelt Airport (St. Eustatius);2022 4th quarter;1170;6910;3460;3450
628;F.D. Roosevelt Airport (St. Eustatius);2022;4730;22740;11310;11430
629;F.D. Roosevelt Airport (St. Eustatius);2023 January;440;2480;1290;1190
630;F.D. Roosevelt Airport (St. Eustatius);2023 February;420;2440;1230;1210
631;F.D. Roosevelt Airport (St. Eustatius);2023 March;460;2720;1370;1350
632;F.D. Roosevelt Airport (St. Eustatius);2023 1st quarter;1320;7630;3880;3750
633;F.D. Roosevelt Airport (St. Eustatius);2023 April;410;2570;1190;1380
634;F.D. Roosevelt Airport (St. Eustatius);2023 May;440;2490;1270;1210
635;F.D. Roosevelt Airport (St. Eustatius);2023 June;380;2480;1200;1280
636;F.D. Roosevelt Airport (St. Eustatius);2023 2nd quarter;1230;7540;3670;3880
637;F.D. Roosevelt Airport (St. Eustatius);2023 July;490;3090;1480;1610
638;F.D. Roosevelt Airport (St. Eustatius);2023 August;380;2700;1300;1400
639;F.D. Roosevelt Airport (St. Eustatius);2023 September;390;2460;1230;1230
640;F.D. Roosevelt Airport (St. Eustatius);2023 3rd quarter;1260;8250;4010;4240
641;F.D. Roosevelt Airport (St. Eustatius);2023 October;400;2490;1240;1260
642;F.D. Roosevelt Airport (St. Eustatius);2023 November;430;3010;1510;1500
643;F.D. Roosevelt Airport (St. Eustatius);2023 December;380;2810;1300;1510
644;F.D. Roosevelt Airport (St. Eustatius);2023 4th quarter;1210;8310;4050;4270
645;F.D. Roosevelt Airport (St. Eustatius);2023;5020;31730;15600;16130
646;F.D. Roosevelt Airport (St. Eustatius);2024 January;370;2530;1350;1180
647;F.D. Roosevelt Airport (St. Eustatius);2024 February;400;2970;1450;1510
648;F.D. Roosevelt Airport (St. Eustatius);2024 March;390;2830;1410;1420
649;F.D. Roosevelt Airport (St. Eustatius);2024 1st quarter;1170;8330;4210;4120
650;F.D. Roosevelt Airport (St. Eustatius);2024 April;450;3160;1490;1670
651;F.D. Roosevelt Airport (St. Eustatius);2025 May;430;3150;1580;1560
652;F.D. Roosevelt Airport (St. Eustatius);2024 June;400;3010;1450;1570
653;F.D. Roosevelt Airport (St. Eustatius);2024 2nd quarter;1280;9320;4520;4800
654;F.D. Roosevelt Airport (St. Eustatius);2024 July;400;3290;1600;1680
655;F.D. Roosevelt Airport (St. Eustatius);2024 August;410;3030;1440;1590
656;F.D. Roosevelt Airport (St. Eustatius);2024 September;380;2800;1390;1410
657;F.D. Roosevelt Airport (St. Eustatius);2024 3rd quarter;1200;9120;4440;4690
658;F.D. Roosevelt Airport (St. Eustatius);2024 October;430;3230;1600;1630
659;F.D. Roosevelt Airport (St. Eustatius);2024 November;430;3470;1710;1760
660;F.D. Roosevelt Airport (St. Eustatius);2024 December;410;3270;1510;1760
661;F.D. Roosevelt Airport (St. Eustatius);2024 4th quarter;1270;9970;4820;5150
662;F.D. Roosevelt Airport (St. Eustatius);2024;4930;36740;17980;18760
663;Juancho E. Yrausquin Airport (Saba);2012 January;230;2410;1340;1070
664;Juancho E. Yrausquin Airport (Saba);2012 February;240;2420;1200;1230
665;Juancho E. Yrausquin Airport (Saba);2012 March;250;2870;1420;1440
666;Juancho E. Yrausquin Airport (Saba);2012 1st quarter;720;7700;3960;3740
667;Juancho E. Yrausquin Airport (Saba);2012 April;260;2590;1110;1480
668;Juancho E. Yrausquin Airport (Saba);2012 May;280;2530;1370;1160
669;Juancho E. Yrausquin Airport (Saba);2012 June;240;2280;1160;1120
670;Juancho E. Yrausquin Airport (Saba);2012 2nd quarter;780;7400;3640;3770
671;Juancho E. Yrausquin Airport (Saba);2012 July;240;2520;1240;1280
672;Juancho E. Yrausquin Airport (Saba);2012 August;260;2310;1060;1250
673;Juancho E. Yrausquin Airport (Saba);2012 September;250;2040;1100;940
674;Juancho E. Yrausquin Airport (Saba);2012 3rd quarter;750;6870;3400;3470
675;Juancho E. Yrausquin Airport (Saba);2012 October;210;1980;920;1070
676;Juancho E. Yrausquin Airport (Saba);2012 November;250;2370;1160;1220
677;Juancho E. Yrausquin Airport (Saba);2012 December;280;2840;1220;1620
678;Juancho E. Yrausquin Airport (Saba);2012 4th quarter;730;7190;3290;3900
679;Juancho E. Yrausquin Airport (Saba);2012;2980;29160;14280;14880
680;Juancho E. Yrausquin Airport (Saba);2013 January;300;3060;1700;1350
681;Juancho E. Yrausquin Airport (Saba);2013 February;230;2620;1320;1300
682;Juancho E. Yrausquin Airport (Saba);2013 March;260;2830;1400;1430
683;Juancho E. Yrausquin Airport (Saba);2013 1st quarter;790;8510;4430;4080
684;Juancho E. Yrausquin Airport (Saba);2013 April;280;2930;1330;1600
685;Juancho E. Yrausquin Airport (Saba);2013 May;270;2480;1360;1120
686;Juancho E. Yrausquin Airport (Saba);2013 June;260;2460;1210;1250
687;Juancho E. Yrausquin Airport (Saba);2013 2nd quarter;800;7870;3900;3970
688;Juancho E. Yrausquin Airport (Saba);2013 July;270;2720;1300;1420
689;Juancho E. Yrausquin Airport (Saba);2013 August;300;2930;1290;1640
690;Juancho E. Yrausquin Airport (Saba);2013 September;240;1860;1020;840
691;Juancho E. Yrausquin Airport (Saba);2013 3rd quarter;810;7510;3610;3900
692;Juancho E. Yrausquin Airport (Saba);2013 October;240;2050;1040;1020
693;Juancho E. Yrausquin Airport (Saba);2013 November;230;1990;960;1020
694;Juancho E. Yrausquin Airport (Saba);2013 December;300;2990;1290;1700
695;Juancho E. Yrausquin Airport (Saba);2013 4th quarter;770;7030;3290;3740
696;Juancho E. Yrausquin Airport (Saba);2013;3170;30920;15230;15690
697;Juancho E. Yrausquin Airport (Saba);2014 January;280;2930;1610;1320
698;Juancho E. Yrausquin Airport (Saba);2014 February;230;2460;1200;1250
699;Juancho E. Yrausquin Airport (Saba);2014 March;250;2860;1390;1480
700;Juancho E. Yrausquin Airport (Saba);2014 1st quarter;760;8250;4200;4050
701;Juancho E. Yrausquin Airport (Saba);2014 April;270;2870;1280;1590
702;Juancho E. Yrausquin Airport (Saba);2014 May;290;2720;1440;1280
703;Juancho E. Yrausquin Airport (Saba);2014 June;240;2440;1210;1230
704;Juancho E. Yrausquin Airport (Saba);2014 2nd quarter;800;8030;3940;4100
705;Juancho E. Yrausquin Airport (Saba);2014 July;250;2590;1300;1290
706;Juancho E. Yrausquin Airport (Saba);2014 August;260;2820;1260;1560
707;Juancho E. Yrausquin Airport (Saba);2014 September;250;2130;1130;1000
708;Juancho E. Yrausquin Airport (Saba);2014 3rd quarter;760;7540;3690;3840
709;Juancho E. Yrausquin Airport (Saba);2014 October;250;2360;1190;1170
710;Juancho E. Yrausquin Airport (Saba);2014 November;250;2750;1320;1430
711;Juancho E. Yrausquin Airport (Saba);2014 December;290;3490;1520;1970
712;Juancho E. Yrausquin Airport (Saba);2014 4th quarter;800;8600;4030;4570
713;Juancho E. Yrausquin Airport (Saba);2014;3110;32420;15860;16560
714;Juancho E. Yrausquin Airport (Saba);2015 January;310;3110;1730;1380
715;Juancho E. Yrausquin Airport (Saba);2015 February;230;2530;1250;1290
716;Juancho E. Yrausquin Airport (Saba);2015 March;260;2930;1470;1460
717;Juancho E. Yrausquin Airport (Saba);2015 1st quarter;800;8580;4450;4130
718;Juancho E. Yrausquin Airport (Saba);2015 April;280;2910;1230;1680
719;Juancho E. Yrausquin Airport (Saba);2015 May;280;2770;1460;1310
720;Juancho E. Yrausquin Airport (Saba);2015 June;250;2340;1100;1240
721;Juancho E. Yrausquin Airport (Saba);2015 2nd quarter;810;8010;3790;4230
722;Juancho E. Yrausquin Airport (Saba);2015 July;230;2380;1240;1140
723;Juancho E. Yrausquin Airport (Saba);2015 August;220;2520;1070;1440
724;Juancho E. Yrausquin Airport (Saba);2015 September;210;1790;890;890
725;Juancho E. Yrausquin Airport (Saba);2015 3rd quarter;660;6680;3210;3470
726;Juancho E. Yrausquin Airport (Saba);2015 October;260;2030;980;1050
727;Juancho E. Yrausquin Airport (Saba);2015 November;260;2120;1110;1010
728;Juancho E. Yrausquin Airport (Saba);2015 December;300;2880;1270;1600
729;Juancho E. Yrausquin Airport (Saba);2015 4th quarter;830;7020;3360;3660
730;Juancho E. Yrausquin Airport (Saba);2015;3090;30290;14800;15490
731;Juancho E. Yrausquin Airport (Saba);2016 January;270;2710;1520;1190
732;Juancho E. Yrausquin Airport (Saba);2016 February;240;2440;1220;1220
733;Juancho E. Yrausquin Airport (Saba);2016 March;240;2440;1150;1290
734;Juancho E. Yrausquin Airport (Saba);2016 1st quarter;750;7580;3880;3700
735;Juancho E. Yrausquin Airport (Saba);2016 April;290;2960;1340;1620
736;Juancho E. Yrausquin Airport (Saba);2016 May;250;2440;1280;1160
737;Juancho E. Yrausquin Airport (Saba);2016 June;240;2270;1110;1160
738;Juancho E. Yrausquin Airport (Saba);2016 2nd quarter;770;7660;3720;3940
739;Juancho E. Yrausquin Airport (Saba);2016 July;250;2670;1270;1400
740;Juancho E. Yrausquin Airport (Saba);2016 August;280;2880;1350;1530
741;Juancho E. Yrausquin Airport (Saba);2016 September;260;1780;870;910
742;Juancho E. Yrausquin Airport (Saba);2016 3rd quarter;790;7330;3490;3840
743;Juancho E. Yrausquin Airport (Saba);2016 October;230;2300;1160;1140
744;Juancho E. Yrausquin Airport (Saba);2016 November;230;2480;1220;1250
745;Juancho E. Yrausquin Airport (Saba);2016 December;290;3140;1390;1760
746;Juancho E. Yrausquin Airport (Saba);2016 4th quarter;750;7920;3760;4150
747;Juancho E. Yrausquin Airport (Saba);2016;3070;30480;14850;15640
748;Juancho E. Yrausquin Airport (Saba);2017 January;250;2700;1410;1280
749;Juancho E. Yrausquin Airport (Saba);2017 February;220;2350;1170;1180
750;Juancho E. Yrausquin Airport (Saba);2017 March;260;2940;1420;1520
751;Juancho E. Yrausquin Airport (Saba);2017 1st quarter;730;7990;4010;3980
752;Juancho E. Yrausquin Airport (Saba);2017 April;270;2750;1190;1560
753;Juancho E. Yrausquin Airport (Saba);2017 May;210;2390;1260;1130
754;Juancho E. Yrausquin Airport (Saba);2017 June;200;2440;1220;1220
755;Juancho E. Yrausquin Airport (Saba);2017 2nd quarter;680;7580;3680;3910
756;Juancho E. Yrausquin Airport (Saba);2017 July;210;2580;1290;1290
757;Juancho E. Yrausquin Airport (Saba);2017 August;240;2750;1180;1570
758;Juancho E. Yrausquin Airport (Saba);2017 September;90;570;350;220
759;Juancho E. Yrausquin Airport (Saba);2017 3rd quarter;530;5900;2820;3080
760;Juancho E. Yrausquin Airport (Saba);2017 October;180;860;440;420
