ID;RegioS;Perioden;RijksmonumentenTotaal_1;OpenbareGebouwen_2;Verdedigingswerken_3;KerkelijkeGebouwen_4;ObjectInDelenVanKerkelijkeGebouwen_5;GebouwenWoonhuizen_6;DelenVanGebouwenWoonhuizen_7;LiefdadigeInstellingen_8;AgrarischeGebouwen_9;Molens_10;WegEnWaterwerken_11;HorecaInstellingen_12;Kastelen_13;LosseObjectenNietEerderGenoemd_14
334;Eindhoven;2014;151;15;0;23;0;87;0;0;6;3;3;0;1;13
335;Eindhoven;2015;150;15;0;23;0;87;0;0;6;3;2;0;1;13
336;Elburg;2013;329;10;8;8;0;241;0;2;34;2;2;0;4;18
337;Elburg;2014;329;10;8;8;0;241;0;2;34;2;2;0;4;18
338;Elburg;2015;328;10;8;8;0;241;0;2;34;1;2;0;4;18
339;Emmen;2013;93;4;1;16;0;16;0;0;49;5;0;0;0;2
340;Emmen;2014;93;4;1;16;0;16;0;0;49;5;0;0;0;2
341;Emmen;2015;92;4;1;16;0;16;0;0;48;5;0;0;0;2
342;Enkhuizen;2013;366;5;14;11;2;300;2;4;5;0;11;0;1;11
343;Enkhuizen;2014;363;5;14;11;2;297;2;4;5;0;11;0;1;11
344;Enkhuizen;2015;363;5;14;11;2;297;2;4;5;0;11;0;1;11
345;Enschede;2013;150;6;0;8;0;34;0;0;43;2;0;0;10;47
346;Enschede;2014;149;6;0;8;0;33;0;0;43;2;0;0;10;47
347;Enschede;2015;149;6;0;8;0;34;0;0;43;2;0;0;10;46
348;Epe;2013;52;1;0;7;0;5;0;0;29;3;0;0;1;6
349;Epe;2014;53;1;0;7;0;5;0;0;29;3;0;0;1;7
350;Epe;2015;53;1;0;7;0;5;0;0;29;3;0;0;1;7
351;Ermelo;2013;75;3;1;3;0;22;0;0;19;1;0;0;5;21
352;Ermelo;2014;75;3;1;3;0;22;0;0;19;1;0;0;5;21
353;Ermelo;2015;75;3;1;3;0;22;0;0;19;1;0;0;5;21
354;Etten-Leur;2013;77;3;0;8;0;26;0;1;30;3;0;0;0;6
355;Etten-Leur;2014;77;3;0;8;0;26;0;1;30;3;0;0;0;6
356;Etten-Leur;2015;77;3;0;8;0;26;0;1;30;3;0;0;0;6
357;Ferwerderadiel;2013;80;1;0;11;2;31;1;0;19;10;0;1;1;3
358;Ferwerderadiel;2014;80;1;0;11;2;31;1;0;19;10;0;1;1;3
359;Ferwerderadiel;2015;79;1;0;11;2;31;1;0;18;10;0;1;1;3
360;Franekeradeel;2013;280;7;1;21;0;192;0;5;34;6;4;0;2;8
361;Franekeradeel;2014;280;7;1;21;0;192;0;5;34;6;4;0;2;8
362;Franekeradeel;2015;280;7;1;21;0;192;0;5;34;6;4;0;2;8
363;De Friese Meren;2013;249;10;2;30;16;123;0;0;35;11;10;4;1;7
364;De Friese Meren;2014;249;10;2;30;16;123;0;0;35;11;10;4;1;7
365;De Friese Meren;2015;246;10;2;30;16;123;0;0;32;11;10;4;1;7
366;Geertruidenberg;2013;120;8;4;8;0;80;0;3;10;1;0;1;0;5
367;Geertruidenberg;2014;120;8;4;8;0;80;0;3;10;1;0;1;0;5
368;Geertruidenberg;2015;120;8;4;8;0;80;0;3;10;1;0;1;0;5
369;Geldermalsen;2013;132;2;4;25;0;25;2;0;43;4;7;0;3;17
370;Geldermalsen;2014;148;5;18;25;0;25;2;0;43;4;6;0;3;17
371;Geldermalsen;2015;147;5;18;25;0;25;2;0;42;4;6;0;3;17
372;Geldrop-Mierlo;2013;42;4;0;8;0;17;1;0;3;3;0;0;1;5
373;Geldrop-Mierlo;2014;42;4;0;8;0;17;1;0;3;3;0;0;1;5
374;Geldrop-Mierlo;2015;42;4;0;8;0;17;1;0;3;3;0;0;1;5
375;Gemert-Bakel;2013;62;3;0;20;0;13;0;0;8;4;0;0;1;13
376;Gemert-Bakel;2014;62;3;0;20;0;13;0;0;8;4;0;0;1;13
377;Gemert-Bakel;2015;62;3;0;20;0;13;0;0;8;4;0;0;1;13
378;Gennep;2013;26;2;3;7;1;3;0;0;3;3;0;0;1;3
379;Gennep;2014;25;2;3;7;0;3;0;0;3;3;0;0;1;3
380;Gennep;2015;25;2;3;7;0;3;0;0;3;3;0;0;1;3
381;Giessenlanden;2013;63;0;0;9;0;4;0;0;42;6;0;0;1;1
382;Giessenlanden;2014;63;0;0;9;0;4;0;0;42;6;0;0;1;1
383;Giessenlanden;2015;63;0;0;9;0;4;0;0;42;6;0;0;1;1
384;Gilze en Rijen;2013;95;61;0;5;0;19;0;0;2;0;0;1;1;6
385;Gilze en Rijen;2014;95;61;0;5;0;19;0;0;2;0;0;1;1;6
386;Gilze en Rijen;2015;95;61;0;5;0;19;1;0;1;0;0;1;1;6
387;Goeree-Overflakkee;2013;355;6;7;23;0;269;0;1;24;12;6;0;0;7
388;Goeree-Overflakkee;2014;355;6;7;23;0;269;0;1;24;12;6;0;0;7
389;Goeree-Overflakkee;2015;355;6;7;23;0;269;0;1;24;12;6;0;0;7
390;Goes;2013;240;9;1;17;0;161;0;4;21;5;8;1;4;9
391;Goes;2014;239;9;1;17;0;160;0;4;21;5;8;1;4;9
392;Goes;2015;237;9;1;17;0;160;0;4;21;5;6;1;4;9
393;Goirle;2013;40;0;0;8;0;22;0;0;4;3;0;0;1;2
394;Goirle;2014;40;0;0;8;0;22;0;0;4;3;0;0;1;2
395;Goirle;2015;40;0;0;8;0;22;0;0;4;3;0;0;1;2
396;Gorinchem;2013;217;7;24;8;0;151;0;3;0;4;7;0;0;13
397;Gorinchem;2014;218;7;25;8;0;151;0;3;0;4;7;0;0;13
398;Gorinchem;2015;218;7;25;8;0;151;0;3;0;4;7;0;0;13
399;Gouda;2013;355;10;0;15;1;277;0;11;9;4;16;2;0;10
400;Gouda;2014;355;10;0;15;1;277;0;11;9;4;16;2;0;10
401;Gouda;2015;355;10;0;15;1;277;0;11;9;4;16;2;0;10
402;Grave;2013;162;9;14;21;0;108;0;1;0;1;3;0;0;5
403;Grave;2014;162;9;14;21;0;108;0;1;0;1;3;0;0;5
404;Grave;2015;162;9;15;21;0;108;0;1;0;1;2;0;0;5
405;'s-Gravenhage (gemeente);2013;1163;46;0;31;0;979;3;25;3;3;8;4;10;51
406;'s-Gravenhage (gemeente);2014;1166;48;0;32;0;978;3;25;3;3;8;4;10;52
407;'s-Gravenhage (gemeente);2015;1164;48;0;33;0;975;3;25;3;3;8;4;10;52
408;Groesbeek;2013;98;16;0;23;0;35;0;0;12;2;0;0;5;5
409;Groesbeek;2014;98;16;0;23;0;35;0;0;12;2;0;0;5;5
410;Groesbeek;2015;98;16;0;23;0;35;0;0;12;2;0;0;5;5
411;Groningen (gemeente);2013;653;27;2;23;1;529;5;21;15;5;6;7;1;11
412;Groningen (gemeente);2014;653;26;2;23;1;511;5;21;15;5;6;7;1;30
413;Groningen (gemeente);2015;654;26;3;23;1;509;5;21;15;5;5;7;1;33
414;Grootegast;2013;22;0;0;6;0;4;0;0;8;2;1;0;0;1
415;Grootegast;2014;22;0;0;6;0;4;0;0;8;2;1;0;0;1
416;Grootegast;2015;22;0;0;6;0;4;0;0;8;2;1;0;0;1
417;Gulpen-Wittem;2013;284;0;0;18;1;63;0;0;162;8;0;0;9;23
418;Gulpen-Wittem;2014;284;0;0;18;1;63;0;0;162;8;0;0;9;23
419;Gulpen-Wittem;2015;284;0;0;18;1;63;0;0;162;8;0;0;9;23
420;Haaksbergen;2013;59;1;1;8;0;12;0;0;23;2;0;0;1;11
421;Haaksbergen;2014;59;1;1;8;0;12;0;0;23;2;0;0;1;11
422;Haaksbergen;2015;59;1;1;8;0;12;0;0;23;2;0;0;1;11
423;Haaren;2013;66;4;0;13;0;14;0;1;14;0;0;1;4;15
424;Haaren;2014;66;4;0;13;0;14;0;1;14;0;0;1;4;15
425;Haaren;2015;66;4;0;13;0;14;0;1;14;0;0;1;4;15
426;Haarlem;2013;1179;24;4;31;11;1007;2;24;1;5;11;1;13;45
427;Haarlem;2014;1179;24;3;31;11;1007;2;24;1;5;11;1;13;46
428;Haarlem;2015;1180;25;3;32;11;1007;2;23;1;5;11;1;13;46
429;Haarlemmerliede en Spaarnwoude;2013;16;3;0;1;0;4;0;0;3;1;2;0;0;2
430;Haarlemmerliede en Spaarnwoude;2014;16;3;0;1;0;4;0;0;3;1;2;0;0;2
431;Haarlemmerliede en Spaarnwoude;2015;16;3;0;1;0;4;0;0;3;1;2;0;0;2
432;Haarlemmermeer;2013;20;3;0;2;0;2;0;0;8;1;3;0;0;1
433;Haarlemmermeer;2014;20;3;0;2;0;2;0;0;8;1;3;0;0;1
434;Haarlemmermeer;2015;20;3;0;2;0;2;0;0;8;1;3;0;0;1
435;Halderberge;2013;67;7;1;15;0;31;0;0;4;2;0;0;0;7
436;Halderberge;2014;67;7;1;15;0;31;0;0;4;2;0;0;0;7
437;Halderberge;2015;67;7;1;15;0;31;0;0;4;2;0;0;0;7
438;Hardenberg;2013;90;2;5;8;1;25;0;0;33;8;1;0;0;7
439;Hardenberg;2014;91;2;5;8;1;25;0;0;33;8;1;0;0;8
440;Hardenberg;2015;91;2;5;8;1;25;0;0;33;8;1;0;0;8
441;Harderwijk;2013;108;3;6;7;1;74;1;0;12;1;0;0;1;2
442;Harderwijk;2014;108;3;6;7;1;74;1;0;12;1;0;0;1;2
443;Harderwijk;2015;108;3;6;7;1;74;1;0;12;1;0;0;1;2
444;Hardinxveld-Giessendam;2013;11;0;0;1;0;2;0;0;5;1;0;0;0;2
445;Hardinxveld-Giessendam;2014;11;0;0;1;0;2;0;0;5;1;0;0;0;2
446;Hardinxveld-Giessendam;2015;11;0;0;1;0;2;0;0;5;1;0;0;0;2
447;Haren;2013;114;4;0;3;0;51;2;0;30;5;4;1;2;12
448;Haren;2014;114;4;0;3;0;51;2;0;30;5;4;1;2;12
449;Haren;2015;114;4;0;3;0;51;2;0;30;5;4;1;2;12
450;Harlingen;2013;529;6;1;6;0;491;2;0;1;0;10;0;1;11
451;Harlingen;2014;529;6;1;6;0;491;2;0;1;0;10;0;1;11
452;Harlingen;2015;529;6;1;6;0;491;2;0;1;0;10;0;1;11
453;Hattem;2013;106;2;7;3;1;68;0;2;4;3;1;0;5;10
454;Hattem;2014;105;1;6;3;1;60;0;2;4;3;1;0;4;20
455;Hattem;2015;105;1;6;3;1;60;0;2;4;3;1;0;4;20
456;Heemskerk;2013;19;1;0;3;0;6;0;0;1;0;0;0;2;6
457;Heemskerk;2014;19;1;0;3;0;6;0;0;1;0;0;0;2;6
458;Heemskerk;2015;19;1;0;3;0;6;0;0;1;0;0;0;2;6
459;Heemstede;2013;111;2;0;3;1;45;0;0;3;2;1;2;11;41
460;Heemstede;2014;110;2;0;3;1;45;0;0;3;2;1;2;11;40
461;Heemstede;2015;110;2;0;3;1;45;0;0;3;2;1;2;11;40
462;Heerde;2013;62;0;0;5;0;16;0;0;23;4;4;0;2;8
463;Heerde;2014;62;0;0;5;0;16;0;0;23;4;4;0;2;8
464;Heerde;2015;60;0;0;5;0;16;0;0;21;4;4;0;2;8
465;Heerenveen;2013;157;1;0;22;3;56;0;1;19;3;3;0;9;40
466;Heerenveen;2014;155;1;0;22;3;55;0;1;18;3;3;0;9;40
467;Heerenveen;2015;158;1;0;22;3;55;0;1;21;3;3;0;9;40
468;Heerhugowaard;2013;7;0;0;0;1;0;0;0;4;1;0;0;0;1
469;Heerhugowaard;2014;7;0;0;0;1;0;0;0;4;1;0;0;0;1
470;Heerhugowaard;2015;7;0;0;0;1;0;0;0;4;1;0;0;0;1
471;Heerlen;2013;148;11;2;20;1;72;0;0;27;4;0;2;4;5
472;Heerlen;2014;148;11;2;20;1;72;0;0;27;4;0;2;4;5
473;Heerlen;2015;148;11;2;20;1;72;0;0;27;4;0;2;4;5
474;Heeze-Leende;2013;42;0;0;6;0;12;0;0;12;1;0;0;3;8
475;Heeze-Leende;2014;42;0;0;6;0;12;0;0;12;1;0;0;3;8
476;Heeze-Leende;2015;42;0;0;6;0;12;0;0;12;1;0;0;3;8
477;Heiloo;2013;45;3;0;7;1;16;0;0;8;1;0;0;1;8
478;Heiloo;2014;45;3;0;7;1;15;0;0;8;1;1;0;1;8
479;Heiloo;2015;45;3;0;7;1;15;0;0;8;1;1;0;1;8
480;Den Helder;2013;44;8;9;3;0;16;0;0;0;0;6;0;0;2
481;Den Helder;2014;44;8;9;3;0;16;0;0;0;0;6;0;0;2
482;Den Helder;2015;44;8;9;3;0;16;0;0;0;0;6;0;0;2
483;Hellendoorn;2013;27;0;0;2;1;12;0;0;7;2;0;0;2;1
484;Hellendoorn;2014;27;0;0;2;1;12;0;0;7;2;0;0;2;1
485;Hellendoorn;2015;27;0;0;2;1;12;0;0;7;2;0;0;2;1
486;Hellevoetsluis;2013;53;6;24;5;0;8;0;0;2;2;4;0;0;2
487;Hellevoetsluis;2014;45;6;16;5;0;8;0;0;2;2;4;0;0;2
488;Hellevoetsluis;2015;44;6;15;5;0;8;0;0;2;2;4;0;0;2
489;Helmond;2013;74;6;0;15;0;33;0;0;1;0;0;1;1;17
490;Helmond;2014;74;6;0;15;0;33;0;0;1;0;0;1;1;17
491;Helmond;2015;74;6;0;15;0;33;0;0;1;0;0;1;1;17
492;Hendrik-Ido-Ambacht;2013;9;0;0;1;0;2;0;0;5;0;0;0;0;1
493;Hendrik-Ido-Ambacht;2014;9;0;0;1;0;2;0;0;5;0;0;0;0;1
494;Hendrik-Ido-Ambacht;2015;9;0;0;1;0;2;0;0;5;0;0;0;0;1
495;Hengelo (O.);2013;74;5;0;3;0;42;0;0;14;1;5;1;0;3
496;Hengelo (O.);2014;74;5;0;3;0;42;0;0;14;1;5;1;0;3
497;Hengelo (O.);2015;77;6;0;4;0;42;0;0;14;1;6;1;0;3
498;'s-Hertogenbosch;2013;540;26;5;29;0;410;0;12;8;1;10;0;0;39
499;'s-Hertogenbosch;2014;539;26;4;29;0;410;0;12;8;1;10;0;0;39
500;'s-Hertogenbosch;2015;539;26;5;29;0;408;0;12;8;1;10;0;0;40
501;Heumen;2013;29;0;0;8;0;3;1;0;11;3;1;0;0;2
502;Heumen;2014;29;0;0;8;0;3;1;0;11;3;1;0;0;2
503;Heumen;2015;29;0;0;8;0;3;1;0;11;3;1;0;0;2
504;Heusden;2013;184;3;3;11;1;123;0;0;14;2;9;0;2;16
505;Heusden;2014;184;3;3;11;1;123;0;0;14;2;9;0;2;16
506;Heusden;2015;183;3;3;11;1;123;0;0;14;2;9;0;1;16
507;Hillegom;2013;7;1;0;1;0;3;0;0;1;0;0;0;0;1
508;Hillegom;2014;7;1;0;1;0;3;0;0;1;0;0;0;0;1
509;Hillegom;2015;7;1;0;1;0;3;0;0;1;0;0;0;0;1
510;Hilvarenbeek;2013;64;0;0;7;0;30;0;0;16;1;4;0;2;4
511;Hilvarenbeek;2014;64;0;0;7;0;30;0;0;16;1;4;0;2;4
512;Hilvarenbeek;2015;64;0;0;7;0;30;0;0;16;1;4;0;2;4
513;Hilversum;2013;216;24;6;11;0;136;0;0;7;0;2;3;3;24
514;Hilversum;2014;212;24;3;11;0;136;0;0;7;0;2;3;3;23
515;Hilversum;2015;209;24;1;11;0;136;0;0;7;0;1;3;3;23
516;Hof van Twente;2013;366;2;0;11;0;80;0;0;75;4;4;1;11;178
517;Hof van Twente;2014;366;2;0;11;0;80;0;0;75;4;4;1;11;178
518;Hof van Twente;2015;366;2;0;11;0;79;0;0;75;5;4;1;11;178
519;Hollands Kroon;2013;125;4;13;18;0;46;0;0;21;7;8;2;1;5
520;Hollands Kroon;2014;125;4;13;18;0;46;0;0;21;7;8;2;1;5
521;Hollands Kroon;2015;125;4;13;18;0;46;0;0;21;7;8;2;1;5
522;Hoogeveen;2013;27;3;0;5;0;12;0;0;6;1;0;0;0;0
523;Hoogeveen;2014;27;3;0;5;0;12;0;0;6;1;0;0;0;0
524;Hoogeveen;2015;27;3;0;5;0;12;0;0;6;1;0;0;0;0
525;Hoogezand-Sappemeer;2013;62;1;0;8;1;17;1;0;9;2;5;0;2;16
526;Hoogezand-Sappemeer;2014;62;1;0;8;1;17;1;0;9;2;5;0;2;16
527;Hoogezand-Sappemeer;2015;62;1;0;8;1;18;1;0;9;2;4;0;2;16
528;Hoorn;2013;378;9;4;13;0;318;1;8;5;0;9;1;0;10
529;Hoorn;2014;378;9;4;13;0;318;1;8;5;0;9;1;0;10
530;Hoorn;2015;378;9;4;13;0;318;1;8;5;0;9;1;0;10
531;Horst aan de Maas;2013;84;2;5;23;0;28;0;0;9;2;4;2;6;3
532;Horst aan de Maas;2014;84;2;5;23;0;28;0;0;9;2;4;2;6;3
533;Horst aan de Maas;2015;84;2;5;23;0;28;0;0;9;2;4;2;6;3
534;Houten;2013;118;9;26;6;0;18;0;0;30;0;1;2;3;23
535;Houten;2014;125;2;42;6;0;17;0;0;30;0;0;2;3;23
536;Houten;2015;131;2;48;6;0;17;0;0;30;0;0;2;3;23
537;Huizen;2013;39;0;0;1;0;17;2;0;10;0;0;0;2;7
538;Huizen;2014;38;0;0;1;0;17;2;0;10;0;0;0;2;6
539;Huizen;2015;38;0;0;1;0;17;2;0;10;0;0;0;2;6
540;Hulst;2013;103;5;12;19;0;46;0;1;6;3;1;0;1;9
541;Hulst;2014;103;5;12;19;0;46;0;1;6;3;1;0;1;9
542;Hulst;2015;103;5;12;19;0;46;0;1;6;3;1;0;1;9
543;IJsselstein;2013;66;2;2;3;0;42;0;0;13;1;1;1;1;0
544;IJsselstein;2014;66;2;2;3;0;42;0;0;13;1;1;1;1;0
545;IJsselstein;2015;66;2;2;3;0;42;0;0;13;1;1;1;1;0
546;Kaag en Braassem;2013;60;2;0;10;2;3;0;0;21;21;0;0;0;1
547;Kaag en Braassem;2014;60;2;0;10;2;3;0;0;21;21;0;0;0;1
548;Kaag en Braassem;2015;60;2;0;10;2;3;0;0;21;21;0;0;0;1
549;Kampen;2013;529;17;80;17;0;384;0;5;10;2;7;0;0;7
550;Kampen;2014;528;17;80;17;0;383;0;5;10;2;7;0;0;7
551;Kampen;2015;528;17;80;17;0;383;0;5;10;2;7;0;0;7
552;Kapelle;2013;46;0;0;7;0;19;0;0;14;3;0;0;0;3
553;Kapelle;2014;46;0;0;7;0;19;0;0;14;3;0;0;0;3
554;Kapelle;2015;46;0;0;7;0;19;0;0;14;3;0;0;0;3
555;Katwijk;2013;53;3;12;6;0;19;0;1;5;1;2;0;1;3
556;Katwijk;2014;53;3;12;6;0;19;0;1;5;1;2;0;1;3
557;Katwijk;2015;53;3;12;6;0;19;0;1;5;1;2;0;1;3
558;Kerkrade;2013;80;2;0;13;0;46;0;0;13;1;2;0;1;2
559;Kerkrade;2014;80;2;0;13;0;46;0;0;13;1;2;0;1;2
560;Kerkrade;2015;80;2;0;13;0;46;0;0;13;1;2;0;1;2
561;Koggenland;2013;38;1;0;8;3;3;0;0;12;5;0;0;0;6
562;Koggenland;2014;38;1;0;8;3;3;0;0;12;5;0;0;0;6
563;Koggenland;2015;37;1;0;8;3;3;0;0;11;5;0;0;0;6
564;Kollumerland en Nieuwkruisland;2013;87;5;0;9;0;24;0;1;17;5;2;2;2;20
565;Kollumerland en Nieuwkruisland;2014;87;5;0;9;0;24;0;1;17;5;2;2;2;20
566;Kollumerland en Nieuwkruisland;2015;87;5;0;9;0;24;0;1;17;5;2;2;2;20
567;Korendijk;2013;46;1;0;3;0;14;0;0;17;4;4;0;0;3
568;Korendijk;2014;46;1;0;3;0;14;0;0;17;4;4;0;0;3
569;Korendijk;2015;46;1;0;3;0;14;0;0;17;4;4;0;0;3
570;Krimpen aan den IJssel;2013;14;0;0;2;0;5;0;0;6;0;1;0;0;0
571;Krimpen aan den IJssel;2014;14;0;0;2;0;5;0;0;6;0;1;0;0;0
572;Krimpen aan den IJssel;2015;14;0;0;2;0;5;0;0;6;0;1;0;0;0
573;Krimpenerwaard;2013;334;7;8;17;5;166;0;2;78;6;16;1;0;28
574;Krimpenerwaard;2014;334;7;8;17;5;166;0;2;78;6;16;1;0;28
575;Krimpenerwaard;2015;333;7;9;17;5;166;0;2;78;6;14;1;0;28
576;Laarbeek;2013;65;3;0;16;1;18;1;0;10;2;0;1;2;11
577;Laarbeek;2014;65;3;0;16;1;18;1;0;10;2;0;1;2;11
578;Laarbeek;2015;65;3;0;16;1;18;1;0;10;2;0;1;2;11
579;Landerd;2013;22;1;0;7;1;6;0;0;1;5;0;0;0;1
580;Landerd;2014;22;1;0;7;1;6;0;0;1;5;0;0;0;1
581;Landerd;2015;22;1;0;7;1;6;0;0;1;5;0;0;0;1
582;Landgraaf;2013;173;3;0;10;0;122;0;0;30;1;0;1;3;3
583;Landgraaf;2014;173;3;0;10;0;122;0;0;30;1;0;1;3;3
584;Landgraaf;2015;173;3;0;10;0;122;0;0;30;1;0;1;3;3
585;Landsmeer;2013;7;0;0;1;0;5;0;0;0;1;0;0;0;0
586;Landsmeer;2014;7;0;0;1;0;5;0;0;0;1;0;0;0;0
587;Landsmeer;2015;7;0;0;1;0;5;0;0;0;1;0;0;0;0
588;Langedijk;2013;10;1;0;5;0;2;0;0;0;2;0;0;0;0
589;Langedijk;2014;10;1;0;5;0;2;0;0;0;2;0;0;0;0
590;Langedijk;2015;10;1;0;5;0;2;0;0;0;2;0;0;0;0
591;Lansingerland;2013;16;1;0;2;0;2;0;0;4;3;2;0;0;2
592;Lansingerland;2014;16;1;0;2;0;2;0;0;4;3;2;0;0;2
593;Lansingerland;2015;16;1;0;2;0;2;0;0;4;3;2;0;0;2
594;Laren (NH.);2013;88;7;0;6;0;44;0;0;18;1;0;1;1;10
595;Laren (NH.);2014;88;7;0;6;0;44;0;0;18;1;0;1;1;10
596;Laren (NH.);2015;88;7;0;6;0;44;0;0;18;1;0;1;1;10
597;Leek;2013;17;0;0;4;1;1;0;0;4;1;1;1;1;3
598;Leek;2014;17;0;0;4;1;1;0;0;4;1;1;1;1;3
599;Leek;2015;17;0;0;4;1;1;0;0;4;1;1;1;1;3
600;Leerdam;2013;55;1;3;7;1;21;0;1;16;2;0;0;0;3
601;Leerdam;2014;56;1;4;7;1;21;0;1;16;2;0;0;0;3
602;Leerdam;2015;58;1;6;7;1;21;0;1;16;2;0;0;0;3
603;Leeuwarden;2013;723;35;4;39;2;563;0;10;22;14;15;2;0;17
604;Leeuwarden;2014;718;33;4;40;2;559;0;10;22;14;15;2;0;17
605;Leeuwarden;2015;718;33;4;40;2;559;0;10;22;14;15;2;0;17
606;Leeuwarderadeel;2013;45;0;0;6;0;10;0;0;7;4;1;0;2;15
607;Leeuwarderadeel;2014;45;0;0;6;0;10;0;0;7;4;1;0;2;15
608;Leeuwarderadeel;2015;45;0;0;6;0;10;0;0;7;4;1;0;2;15
609;Leiden;2013;1240;51;3;24;1;1036;11;41;8;8;28;1;1;27
610;Leiden;2014;1240;51;4;24;1;1034;11;41;8;8;27;1;1;29
611;Leiden;2015;1240;51;4;24;1;1034;11;41;8;8;27;1;1;29
612;Leiderdorp;2013;30;0;0;2;0;3;0;0;17;4;0;0;0;4
613;Leiderdorp;2014;30;0;0;2;0;3;0;0;17;4;0;0;0;4
614;Leiderdorp;2015;30;0;0;2;0;3;0;0;17;4;0;0;0;4
615;Leidschendam-Voorburg;2013;120;5;0;10;0;49;0;0;11;5;13;0;9;18
616;Leidschendam-Voorburg;2014;120;5;0;10;0;49;0;0;11;5;13;0;9;18
617;Leidschendam-Voorburg;2015;119;5;0;10;0;49;0;0;11;5;12;0;9;18
618;Lelystad;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
619;Lelystad;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
620;Lelystad;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0
621;Leudal;2013;106;3;0;24;2;31;0;0;18;11;1;0;7;9
622;Leudal;2014;106;3;0;24;2;31;0;0;18;11;1;0;7;9
623;Leudal;2015;106;3;0;24;2;31;0;0;18;11;1;0;7;9
624;Leusden;2013;94;4;33;4;0;16;0;0;11;0;0;0;4;22
625;Leusden;2014;94;4;33;4;0;16;0;0;11;0;0;0;4;22
626;Leusden;2015;93;4;33;4;0;16;0;0;11;0;0;0;4;21
627;Lingewaal;2013;55;4;13;7;1;10;0;0;13;2;1;0;1;3
628;Lingewaal;2014;73;7;28;7;1;10;0;0;13;2;1;0;1;3
629;Lingewaal;2015;91;7;46;7;1;10;0;0;13;2;1;0;1;3
630;Lingewaard;2013;35;0;2;6;0;10;0;0;10;0;0;0;4;3
631;Lingewaard;2014;35;0;2;6;0;10;0;0;10;0;0;0;4;3
632;Lingewaard;2015;35;0;2;6;0;10;0;0;10;0;0;0;4;3
633;Lisse;2013;35;0;1;6;0;10;0;0;7;3;0;0;1;7
634;Lisse;2014;34;0;1;6;0;10;0;0;7;3;0;0;1;6
635;Lisse;2015;34;0;1;6;0;10;0;0;7;3;0;0;1;6
636;Littenseradiel;2013;145;2;0;28;0;44;0;0;33;20;3;0;0;15
637;Littenseradiel;2014;145;2;0;28;0;44;0;0;33;20;3;0;0;15
638;Littenseradiel;2015;145;2;0;28;0;44;0;0;33;20;3;0;0;15
639;Lochem;2013;193;2;1;6;1;66;0;0;37;4;3;0;17;56
640;Lochem;2014;193;2;1;6;1;66;0;0;37;4;3;0;17;56
641;Lochem;2015;193;2;1;6;1;66;0;0;37;4;3;0;17;56
642;Loon op Zand;2013;25;0;0;13;0;3;0;0;0;2;0;0;1;6
643;Loon op Zand;2014;25;0;0;13;0;3;0;0;0;2;0;0;1;6
644;Loon op Zand;2015;25;0;0;13;0;3;0;0;0;2;0;0;1;6
645;Lopik;2013;125;3;0;10;0;9;1;0;80;1;5;0;2;14
646;Lopik;2014;125;3;0;10;0;9;1;0;80;1;5;0;2;14
647;Lopik;2015;125;3;0;10;0;9;1;0;80;1;5;0;2;14
648;Loppersum;2013;128;3;0;21;1;39;0;1;29;8;3;3;2;18
649;Loppersum;2014;128;3;0;21;1;39;0;1;29;8;3;3;2;18
650;Loppersum;2015;128;3;0;21;1;39;0;1;29;8;3;3;2;18
651;Losser;2013;71;1;0;2;0;21;1;0;19;0;0;0;2;25
652;Losser;2014;71;1;0;2;0;21;1;0;19;0;0;0;2;25
653;Losser;2015;71;1;0;2;0;21;1;0;19;0;0;0;2;25
654;Maasdriel;2013;53;0;1;8;1;11;0;0;15;3;1;0;4;9
655;Maasdriel;2014;53;0;1;8;1;11;0;0;15;3;1;0;4;9
656;Maasdriel;2015;53;0;1;8;1;11;0;0;15;3;1;0;4;9
657;Maasgouw;2013;195;3;3;23;0;108;0;0;32;5;2;0;5;14
658;Maasgouw;2014;195;3;1;25;0;108;0;0;32;5;2;0;5;14
659;Maasgouw;2015;195;3;1;25;0;108;0;0;32;5;2;0;5;14
660;Maassluis;2013;41;2;0;2;0;26;0;0;4;2;4;0;0;1
661;Maassluis;2014;41;2;0;2;0;26;0;0;4;2;4;0;0;1
662;Maassluis;2015;41;2;0;2;0;26;0;0;4;2;4;0;0;1
663;Maastricht;2013;1678;38;36;54;1;1401;3;11;36;11;9;9;18;51
664;Maastricht;2014;1676;38;36;54;1;1396;3;11;36;11;9;9;18;54
665;Maastricht;2015;1675;38;36;54;1;1392;3;11;36;11;9;9;18;57
666;De Marne;2013;167;2;0;25;1;55;0;0;41;5;15;1;1;21
667;De Marne;2014;167;2;0;25;1;55;0;0;41;5;15;1;1;21
668;De Marne;2015;167;2;0;25;1;55;0;0;41;5;15;1;1;21
669;Marum;2013;27;1;0;4;1;2;0;0;12;1;0;0;2;4
670;Marum;2014;27;1;0;4;1;2;0;0;12;1;0;0;2;4
671;Marum;2015;27;1;0;4;1;2;0;0;12;1;0;0;2;4
672;Medemblik;2013;199;8;0;34;0;75;0;1;64;6;2;1;1;7
673;Medemblik;2014;199;8;0;34;0;75;0;1;64;6;2;1;1;7
