ID;CPI;Periods;IndexFiguresTo1DecimalPlace_1;IndexFiguresIntegers_2;WeightingCoefficients_3
3113;01162  Dried fruit and nuts;1997 July;;98.0;160
3114;01162  Dried fruit and nuts;1997 August;;97.0;160
3115;01162  Dried fruit and nuts;1997 September;;97.0;160
3116;01162  Dried fruit and nuts;1997 October;;98.0;160
3117;01162  Dried fruit and nuts;1997 November;;98.0;160
3118;01162  Dried fruit and nuts;1997 December;;98.0;160
3119;01162  Dried fruit and nuts;1997;;98.0;160
3120;01162  Dried fruit and nuts;1998 January;;97.0;160
3121;01162  Dried fruit and nuts;1998 February;;98.0;160
3122;01162  Dried fruit and nuts;1998 March;;98.0;160
3123;01162  Dried fruit and nuts;1998 April;;99.0;160
3124;01162  Dried fruit and nuts;1998 May;;98.0;160
3125;01162  Dried fruit and nuts;1998 June;;99.0;160
3126;01162  Dried fruit and nuts;1998 July;;98.0;160
3127;01162  Dried fruit and nuts;1998 August;;98.0;160
3128;01162  Dried fruit and nuts;1998 September;;96.0;160
3129;01162  Dried fruit and nuts;1998 October;;98.0;160
3130;01162  Dried fruit and nuts;1998 November;;98.0;160
3131;01162  Dried fruit and nuts;1998 December;;98.0;160
3132;01162  Dried fruit and nuts;1998;;98.0;160
3133;01162  Dried fruit and nuts;1999 January;;98.0;160
3134;01162  Dried fruit and nuts;1999 February;;97.0;160
3135;01162  Dried fruit and nuts;1999 March;;97.0;160
3136;01162  Dried fruit and nuts;1999 April;;97.0;160
3137;01162  Dried fruit and nuts;1999 May;;98.0;160
3138;01162  Dried fruit and nuts;1999 June;;99.0;160
3139;01162  Dried fruit and nuts;1999 July;;100.0;160
3140;01162  Dried fruit and nuts;1999 August;;101.0;160
3141;01162  Dried fruit and nuts;1999 September;;101.0;160
3142;01162  Dried fruit and nuts;1999 October;;102.0;160
3143;01162  Dried fruit and nuts;1999 November;;101.0;160
3144;01162  Dried fruit and nuts;1999 December;;101.0;160
3145;01162  Dried fruit and nuts;1999;;99.0;160
3146;01162  Dried fruit and nuts;2000 January;;102.0;160
3147;01162  Dried fruit and nuts;2000 February;;103.0;160
3148;01162  Dried fruit and nuts;2000 March;;103.0;160
3149;01162  Dried fruit and nuts;2000 April;;104.0;160
3150;01162  Dried fruit and nuts;2000 May;;103.0;160
3151;01162  Dried fruit and nuts;2000 June;;105.0;160
3152;01162  Dried fruit and nuts;2000 July;;106.0;160
3153;01162  Dried fruit and nuts;2000 August;;105.0;160
3154;01162  Dried fruit and nuts;2000 September;;105.0;160
3155;01162  Dried fruit and nuts;2000 October;;105.0;160
3156;01162  Dried fruit and nuts;2000 November;;106.0;160
3157;01162  Dried fruit and nuts;2000 December;;110.0;160
3158;01162  Dried fruit and nuts;2000;;105.0;160
3159;01162  Dried fruit and nuts;2001 January;;111.0;160
3160;01162  Dried fruit and nuts;2001 February;;112.0;160
3161;01162  Dried fruit and nuts;2001 March;;112.0;160
3162;01162  Dried fruit and nuts;2001 April;;112.0;160
3163;01162  Dried fruit and nuts;2001 May;;114.0;160
3164;01162  Dried fruit and nuts;2001 June;;114.0;160
3165;01162  Dried fruit and nuts;2001 July;;115.0;160
3166;01162  Dried fruit and nuts;2001 August;;115.0;160
3167;01162  Dried fruit and nuts;2001 September;;114.0;160
3168;01162  Dried fruit and nuts;2001 October;;115.0;160
3169;01162  Dried fruit and nuts;2001 November;;114.0;160
3170;01162  Dried fruit and nuts;2001 December;;114.0;160
3171;01162  Dried fruit and nuts;2001;;114.0;160
3172;01162  Dried fruit and nuts;2002 January;;114.0;160
3173;01162  Dried fruit and nuts;2002 February;;114.0;160
3174;01162  Dried fruit and nuts;2002 March;;114.0;160
3175;01162  Dried fruit and nuts;2002 April;;114.0;160
3176;01162  Dried fruit and nuts;2002 May;;113.0;160
3177;01162  Dried fruit and nuts;2002 June;;113.0;160
3178;01162  Dried fruit and nuts;2002 July;;113.0;160
3179;01162  Dried fruit and nuts;2002 August;;113.0;160
3180;01162  Dried fruit and nuts;2002 September;;114.0;160
3181;01162  Dried fruit and nuts;2002 October;;114.0;160
3182;01162  Dried fruit and nuts;2002 November;;114.0;160
3183;01162  Dried fruit and nuts;2002 December;;114.0;160
3184;01162  Dried fruit and nuts;2002;;114.0;160
3185;01163  Fruit in syrup and fruit puree;1996 January;;105.0;78
3186;01163  Fruit in syrup and fruit puree;1996 February;;104.0;78
3187;01163  Fruit in syrup and fruit puree;1996 March;;105.0;78
3188;01163  Fruit in syrup and fruit puree;1996 April;;104.0;78
3189;01163  Fruit in syrup and fruit puree;1996 May;;105.0;78
3190;01163  Fruit in syrup and fruit puree;1996 June;;108.0;78
3191;01163  Fruit in syrup and fruit puree;1996 July;;108.0;78
3192;01163  Fruit in syrup and fruit puree;1996 August;;109.0;78
3193;01163  Fruit in syrup and fruit puree;1996 September;;108.0;78
3194;01163  Fruit in syrup and fruit puree;1996 October;;111.0;78
3195;01163  Fruit in syrup and fruit puree;1996 November;;112.0;78
3196;01163  Fruit in syrup and fruit puree;1996 December;;111.0;78
3197;01163  Fruit in syrup and fruit puree;1996;;108.0;78
3198;01163  Fruit in syrup and fruit puree;1997 January;;112.0;78
3199;01163  Fruit in syrup and fruit puree;1997 February;;112.0;78
3200;01163  Fruit in syrup and fruit puree;1997 March;;112.0;78
3201;01163  Fruit in syrup and fruit puree;1997 April;;113.0;78
3202;01163  Fruit in syrup and fruit puree;1997 May;;114.0;78
3203;01163  Fruit in syrup and fruit puree;1997 June;;114.0;78
3204;01163  Fruit in syrup and fruit puree;1997 July;;113.0;78
3205;01163  Fruit in syrup and fruit puree;1997 August;;115.0;78
3206;01163  Fruit in syrup and fruit puree;1997 September;;115.0;78
3207;01163  Fruit in syrup and fruit puree;1997 October;;114.0;78
3208;01163  Fruit in syrup and fruit puree;1997 November;;118.0;78
3209;01163  Fruit in syrup and fruit puree;1997 December;;118.0;78
3210;01163  Fruit in syrup and fruit puree;1997;;114.0;78
3211;01163  Fruit in syrup and fruit puree;1998 January;;118.0;78
3212;01163  Fruit in syrup and fruit puree;1998 February;;120.0;78
3213;01163  Fruit in syrup and fruit puree;1998 March;;120.0;78
3214;01163  Fruit in syrup and fruit puree;1998 April;;119.0;78
3215;01163  Fruit in syrup and fruit puree;1998 May;;118.0;78
3216;01163  Fruit in syrup and fruit puree;1998 June;;117.0;78
3217;01163  Fruit in syrup and fruit puree;1998 July;;117.0;78
3218;01163  Fruit in syrup and fruit puree;1998 August;;116.0;78
3219;01163  Fruit in syrup and fruit puree;1998 September;;116.0;78
3220;01163  Fruit in syrup and fruit puree;1998 October;;116.0;78
3221;01163  Fruit in syrup and fruit puree;1998 November;;117.0;78
3222;01163  Fruit in syrup and fruit puree;1998 December;;117.0;78
3223;01163  Fruit in syrup and fruit puree;1998;;118.0;78
3224;01163  Fruit in syrup and fruit puree;1999 January;;119.0;78
3225;01163  Fruit in syrup and fruit puree;1999 February;;120.0;78
3226;01163  Fruit in syrup and fruit puree;1999 March;;121.0;78
3227;01163  Fruit in syrup and fruit puree;1999 April;;120.0;78
3228;01163  Fruit in syrup and fruit puree;1999 May;;120.0;78
3229;01163  Fruit in syrup and fruit puree;1999 June;;120.0;78
3230;01163  Fruit in syrup and fruit puree;1999 July;;122.0;78
3231;01163  Fruit in syrup and fruit puree;1999 August;;123.0;78
3232;01163  Fruit in syrup and fruit puree;1999 September;;123.0;78
3233;01163  Fruit in syrup and fruit puree;1999 October;;123.0;78
3234;01163  Fruit in syrup and fruit puree;1999 November;;123.0;78
3235;01163  Fruit in syrup and fruit puree;1999 December;;123.0;78
3236;01163  Fruit in syrup and fruit puree;1999;;121.0;78
3237;01163  Fruit in syrup and fruit puree;2000 January;;123.0;78
3238;01163  Fruit in syrup and fruit puree;2000 February;;121.0;78
3239;01163  Fruit in syrup and fruit puree;2000 March;;120.0;78
3240;01163  Fruit in syrup and fruit puree;2000 April;;121.0;78
3241;01163  Fruit in syrup and fruit puree;2000 May;;121.0;78
3242;01163  Fruit in syrup and fruit puree;2000 June;;121.0;78
3243;01163  Fruit in syrup and fruit puree;2000 July;;121.0;78
3244;01163  Fruit in syrup and fruit puree;2000 August;;121.0;78
3245;01163  Fruit in syrup and fruit puree;2000 September;;120.0;78
3246;01163  Fruit in syrup and fruit puree;2000 October;;121.0;78
3247;01163  Fruit in syrup and fruit puree;2000 November;;122.0;78
3248;01163  Fruit in syrup and fruit puree;2000 December;;121.0;78
3249;01163  Fruit in syrup and fruit puree;2000;;121.0;78
3250;01163  Fruit in syrup and fruit puree;2001 January;;122.0;78
3251;01163  Fruit in syrup and fruit puree;2001 February;;122.0;78
3252;01163  Fruit in syrup and fruit puree;2001 March;;123.0;78
3253;01163  Fruit in syrup and fruit puree;2001 April;;124.0;78
3254;01163  Fruit in syrup and fruit puree;2001 May;;125.0;78
3255;01163  Fruit in syrup and fruit puree;2001 June;;125.0;78
3256;01163  Fruit in syrup and fruit puree;2001 July;;129.0;78
3257;01163  Fruit in syrup and fruit puree;2001 August;;129.0;78
3258;01163  Fruit in syrup and fruit puree;2001 September;;127.0;78
3259;01163  Fruit in syrup and fruit puree;2001 October;;126.0;78
3260;01163  Fruit in syrup and fruit puree;2001 November;;126.0;78
3261;01163  Fruit in syrup and fruit puree;2001 December;;129.0;78
3262;01163  Fruit in syrup and fruit puree;2001;;126.0;78
3263;01163  Fruit in syrup and fruit puree;2002 January;;130.0;78
3264;01163  Fruit in syrup and fruit puree;2002 February;;130.0;78
3265;01163  Fruit in syrup and fruit puree;2002 March;;129.0;78
3266;01163  Fruit in syrup and fruit puree;2002 April;;130.0;78
3267;01163  Fruit in syrup and fruit puree;2002 May;;129.0;78
3268;01163  Fruit in syrup and fruit puree;2002 June;;131.0;78
3269;01163  Fruit in syrup and fruit puree;2002 July;;132.0;78
3270;01163  Fruit in syrup and fruit puree;2002 August;;132.0;78
3271;01163  Fruit in syrup and fruit puree;2002 September;;132.0;78
3272;01163  Fruit in syrup and fruit puree;2002 October;;132.0;78
3273;01163  Fruit in syrup and fruit puree;2002 November;;130.0;78
3274;01163  Fruit in syrup and fruit puree;2002 December;;129.0;78
3275;01163  Fruit in syrup and fruit puree;2002;;131.0;78
3276;0117   Vegetables,potatoes,other tubers;1996 January;104.9;;1446
3277;0117   Vegetables,potatoes,other tubers;1996 February;108.8;;1446
3278;0117   Vegetables,potatoes,other tubers;1996 March;120.0;;1446
3279;0117   Vegetables,potatoes,other tubers;1996 April;115.3;;1446
3280;0117   Vegetables,potatoes,other tubers;1996 May;99.2;;1446
3281;0117   Vegetables,potatoes,other tubers;1996 June;91.6;;1446
3282;0117   Vegetables,potatoes,other tubers;1996 July;96.7;;1446
3283;0117   Vegetables,potatoes,other tubers;1996 August;84.0;;1446
3284;0117   Vegetables,potatoes,other tubers;1996 September;85.1;;1446
3285;0117   Vegetables,potatoes,other tubers;1996 October;86.6;;1446
3286;0117   Vegetables,potatoes,other tubers;1996 November;88.5;;1446
3287;0117   Vegetables,potatoes,other tubers;1996 December;96.5;;1446
3288;0117   Vegetables,potatoes,other tubers;1996;98.1;;1446
3289;0117   Vegetables,potatoes,other tubers;1997 January;116.7;;1446
3290;0117   Vegetables,potatoes,other tubers;1997 February;105.6;;1446
3291;0117   Vegetables,potatoes,other tubers;1997 March;99.7;;1446
3292;0117   Vegetables,potatoes,other tubers;1997 April;97.0;;1446
3293;0117   Vegetables,potatoes,other tubers;1997 May;98.4;;1446
3294;0117   Vegetables,potatoes,other tubers;1997 June;92.5;;1446
3295;0117   Vegetables,potatoes,other tubers;1997 July;92.9;;1446
3296;0117   Vegetables,potatoes,other tubers;1997 August;87.2;;1446
3297;0117   Vegetables,potatoes,other tubers;1997 September;94.0;;1446
3298;0117   Vegetables,potatoes,other tubers;1997 October;93.4;;1446
3299;0117   Vegetables,potatoes,other tubers;1997 November;100.4;;1446
3300;0117   Vegetables,potatoes,other tubers;1997 December;97.8;;1446
3301;0117   Vegetables,potatoes,other tubers;1997;98.0;;1446
3302;0117   Vegetables,potatoes,other tubers;1998 January;101.3;;1446
3303;0117   Vegetables,potatoes,other tubers;1998 February;100.5;;1446
3304;0117   Vegetables,potatoes,other tubers;1998 March;103.6;;1446
3305;0117   Vegetables,potatoes,other tubers;1998 April;105.0;;1446
3306;0117   Vegetables,potatoes,other tubers;1998 May;105.9;;1446
3307;0117   Vegetables,potatoes,other tubers;1998 June;101.6;;1446
3308;0117   Vegetables,potatoes,other tubers;1998 July;100.4;;1446
3309;0117   Vegetables,potatoes,other tubers;1998 August;95.0;;1446
3310;0117   Vegetables,potatoes,other tubers;1998 September;99.4;;1446
3311;0117   Vegetables,potatoes,other tubers;1998 October;103.0;;1446
3312;0117   Vegetables,potatoes,other tubers;1998 November;112.4;;1446
3313;0117   Vegetables,potatoes,other tubers;1998 December;119.3;;1446
3314;0117   Vegetables,potatoes,other tubers;1998;103.9;;1446
3315;0117   Vegetables,potatoes,other tubers;1999 January;124.1;;1446
3316;0117   Vegetables,potatoes,other tubers;1999 February;122.8;;1446
3317;0117   Vegetables,potatoes,other tubers;1999 March;125.5;;1446
3318;0117   Vegetables,potatoes,other tubers;1999 April;119.9;;1446
3319;0117   Vegetables,potatoes,other tubers;1999 May;118.8;;1446
3320;0117   Vegetables,potatoes,other tubers;1999 June;110.8;;1446
3321;0117   Vegetables,potatoes,other tubers;1999 July;100.9;;1446
3322;0117   Vegetables,potatoes,other tubers;1999 August;98.8;;1446
3323;0117   Vegetables,potatoes,other tubers;1999 September;96.6;;1446
3324;0117   Vegetables,potatoes,other tubers;1999 October;99.3;;1446
3325;0117   Vegetables,potatoes,other tubers;1999 November;105.6;;1446
3326;0117   Vegetables,potatoes,other tubers;1999 December;105.9;;1446
3327;0117   Vegetables,potatoes,other tubers;1999;110.7;;1446
3328;0117   Vegetables,potatoes,other tubers;2000 January;106.9;;1446
3329;0117   Vegetables,potatoes,other tubers;2000 February;103.6;;1446
3330;0117   Vegetables,potatoes,other tubers;2000 March;106.1;;1446
3331;0117   Vegetables,potatoes,other tubers;2000 April;110.1;;1446
3332;0117   Vegetables,potatoes,other tubers;2000 May;108.9;;1446
3333;0117   Vegetables,potatoes,other tubers;2000 June;109.0;;1446
3334;0117   Vegetables,potatoes,other tubers;2000 July;105.6;;1446
3335;0117   Vegetables,potatoes,other tubers;2000 August;103.4;;1446
3336;0117   Vegetables,potatoes,other tubers;2000 September;99.8;;1446
3337;0117   Vegetables,potatoes,other tubers;2000 October;105.9;;1446
3338;0117   Vegetables,potatoes,other tubers;2000 November;108.5;;1446
3339;0117   Vegetables,potatoes,other tubers;2000 December;109.8;;1446
3340;0117   Vegetables,potatoes,other tubers;2000;106.5;;1446
3341;0117   Vegetables,potatoes,other tubers;2001 January;113.3;;1446
3342;0117   Vegetables,potatoes,other tubers;2001 February;111.1;;1446
3343;0117   Vegetables,potatoes,other tubers;2001 March;120.5;;1446
3344;0117   Vegetables,potatoes,other tubers;2001 April;121.8;;1446
3345;0117   Vegetables,potatoes,other tubers;2001 May;126.3;;1446
3346;0117   Vegetables,potatoes,other tubers;2001 June;119.3;;1446
3347;0117   Vegetables,potatoes,other tubers;2001 July;112.5;;1446
3348;0117   Vegetables,potatoes,other tubers;2001 August;109.4;;1446
3349;0117   Vegetables,potatoes,other tubers;2001 September;113.0;;1446
3350;0117   Vegetables,potatoes,other tubers;2001 October;116.9;;1446
3351;0117   Vegetables,potatoes,other tubers;2001 November;117.1;;1446
3352;0117   Vegetables,potatoes,other tubers;2001 December;121.7;;1446
3353;0117   Vegetables,potatoes,other tubers;2001;116.9;;1446
3354;0117   Vegetables,potatoes,other tubers;2002 January;140.0;;1446
3355;0117   Vegetables,potatoes,other tubers;2002 February;132.7;;1446
3356;0117   Vegetables,potatoes,other tubers;2002 March;134.5;;1446
3357;0117   Vegetables,potatoes,other tubers;2002 April;126.7;;1446
3358;0117   Vegetables,potatoes,other tubers;2002 May;126.4;;1446
3359;0117   Vegetables,potatoes,other tubers;2002 June;118.4;;1446
3360;0117   Vegetables,potatoes,other tubers;2002 July;123.2;;1446
3361;0117   Vegetables,potatoes,other tubers;2002 August;111.3;;1446
3362;0117   Vegetables,potatoes,other tubers;2002 September;121.0;;1446
3363;0117   Vegetables,potatoes,other tubers;2002 October;113.3;;1446
3364;0117   Vegetables,potatoes,other tubers;2002 November;112.6;;1446
3365;0117   Vegetables,potatoes,other tubers;2002 December;116.1;;1446
3366;0117   Vegetables,potatoes,other tubers;2002;123.0;;1446
3367;01171  Fresh vegetables;1996 January;;115.0;770
3368;01171  Fresh vegetables;1996 February;;123.0;770
3369;01171  Fresh vegetables;1996 March;;145.0;770
3370;01171  Fresh vegetables;1996 April;;135.0;770
3371;01171  Fresh vegetables;1996 May;;106.0;770
3372;01171  Fresh vegetables;1996 June;;92.0;770
3373;01171  Fresh vegetables;1996 July;;99.0;770
3374;01171  Fresh vegetables;1996 August;;78.0;770
3375;01171  Fresh vegetables;1996 September;;81.0;770
3376;01171  Fresh vegetables;1996 October;;86.0;770
3377;01171  Fresh vegetables;1996 November;;89.0;770
3378;01171  Fresh vegetables;1996 December;;104.0;770
3379;01171  Fresh vegetables;1996;;105.0;770
3380;01171  Fresh vegetables;1997 January;;142.0;770
3381;01171  Fresh vegetables;1997 February;;122.0;770
3382;01171  Fresh vegetables;1997 March;;110.0;770
3383;01171  Fresh vegetables;1997 April;;106.0;770
3384;01171  Fresh vegetables;1997 May;;108.0;770
3385;01171  Fresh vegetables;1997 June;;94.0;770
3386;01171  Fresh vegetables;1997 July;;93.0;770
3387;01171  Fresh vegetables;1997 August;;83.0;770
3388;01171  Fresh vegetables;1997 September;;96.0;770
3389;01171  Fresh vegetables;1997 October;;96.0;770
3390;01171  Fresh vegetables;1997 November;;110.0;770
3391;01171  Fresh vegetables;1997 December;;105.0;770
3392;01171  Fresh vegetables;1997;;105.0;770
3393;01171  Fresh vegetables;1998 January;;110.0;770
3394;01171  Fresh vegetables;1998 February;;107.0;770
3395;01171  Fresh vegetables;1998 March;;113.0;770
3396;01171  Fresh vegetables;1998 April;;115.0;770
3397;01171  Fresh vegetables;1998 May;;116.0;770
3398;01171  Fresh vegetables;1998 June;;105.0;770
3399;01171  Fresh vegetables;1998 July;;101.0;770
3400;01171  Fresh vegetables;1998 August;;90.0;770
3401;01171  Fresh vegetables;1998 September;;99.0;770
3402;01171  Fresh vegetables;1998 October;;106.0;770
3403;01171  Fresh vegetables;1998 November;;116.0;770
3404;01171  Fresh vegetables;1998 December;;125.0;770
3405;01171  Fresh vegetables;1998;;108.0;770
3406;01171  Fresh vegetables;1999 January;;131.0;770
3407;01171  Fresh vegetables;1999 February;;129.0;770
3408;01171  Fresh vegetables;1999 March;;133.0;770
3409;01171  Fresh vegetables;1999 April;;123.0;770
3410;01171  Fresh vegetables;1999 May;;121.0;770
3411;01171  Fresh vegetables;1999 June;;106.0;770
3412;01171  Fresh vegetables;1999 July;;95.0;770
3413;01171  Fresh vegetables;1999 August;;97.0;770
3414;01171  Fresh vegetables;1999 September;;95.0;770
3415;01171  Fresh vegetables;1999 October;;102.0;770
3416;01171  Fresh vegetables;1999 November;;114.0;770
3417;01171  Fresh vegetables;1999 December;;114.0;770
3418;01171  Fresh vegetables;1999;;113.0;770
3419;01171  Fresh vegetables;2000 January;;117.0;770
3420;01171  Fresh vegetables;2000 February;;112.0;770
3421;01171  Fresh vegetables;2000 March;;117.0;770
3422;01171  Fresh vegetables;2000 April;;126.0;770
3423;01171  Fresh vegetables;2000 May;;121.0;770
3424;01171  Fresh vegetables;2000 June;;120.0;770
3425;01171  Fresh vegetables;2000 July;;109.0;770
3426;01171  Fresh vegetables;2000 August;;107.0;770
3427;01171  Fresh vegetables;2000 September;;101.0;770
3428;01171  Fresh vegetables;2000 October;;111.0;770
3429;01171  Fresh vegetables;2000 November;;117.0;770
3430;01171  Fresh vegetables;2000 December;;120.0;770
3431;01171  Fresh vegetables;2000;;115.0;770
3432;01171  Fresh vegetables;2001 January;;125.0;770
3433;01171  Fresh vegetables;2001 February;;120.0;770
3434;01171  Fresh vegetables;2001 March;;138.0;770
3435;01171  Fresh vegetables;2001 April;;139.0;770
3436;01171  Fresh vegetables;2001 May;;147.0;770
3437;01171  Fresh vegetables;2001 June;;128.0;770
3438;01171  Fresh vegetables;2001 July;;102.0;770
3439;01171  Fresh vegetables;2001 August;;104.0;770
3440;01171  Fresh vegetables;2001 September;;113.0;770
3441;01171  Fresh vegetables;2001 October;;118.0;770
3442;01171  Fresh vegetables;2001 November;;118.0;770
3443;01171  Fresh vegetables;2001 December;;128.0;770
3444;01171  Fresh vegetables;2001;;123.0;770
3445;01171  Fresh vegetables;2002 January;;161.0;770
3446;01171  Fresh vegetables;2002 February;;147.0;770
3447;01171  Fresh vegetables;2002 March;;149.0;770
3448;01171  Fresh vegetables;2002 April;;135.0;770
3449;01171  Fresh vegetables;2002 May;;133.0;770
3450;01171  Fresh vegetables;2002 June;;114.0;770
3451;01171  Fresh vegetables;2002 July;;121.0;770
3452;01171  Fresh vegetables;2002 August;;107.0;770
3453;01171  Fresh vegetables;2002 September;;124.0;770
3454;01171  Fresh vegetables;2002 October;;116.0;770
3455;01171  Fresh vegetables;2002 November;;115.0;770
3456;01171  Fresh vegetables;2002 December;;119.0;770
3457;01171  Fresh vegetables;2002;;128.0;770
3458;01172  Deepfreeze and other vegetables;1996 January;;99.0;248
3459;01172  Deepfreeze and other vegetables;1996 February;;98.0;248
3460;01172  Deepfreeze and other vegetables;1996 March;;99.0;248
3461;01172  Deepfreeze and other vegetables;1996 April;;99.0;248
3462;01172  Deepfreeze and other vegetables;1996 May;;99.0;248
3463;01172  Deepfreeze and other vegetables;1996 June;;99.0;248
3464;01172  Deepfreeze and other vegetables;1996 July;;99.0;248
3465;01172  Deepfreeze and other vegetables;1996 August;;99.0;248
3466;01172  Deepfreeze and other vegetables;1996 September;;99.0;248
3467;01172  Deepfreeze and other vegetables;1996 October;;100.0;248
3468;01172  Deepfreeze and other vegetables;1996 November;;100.0;248
3469;01172  Deepfreeze and other vegetables;1996 December;;100.0;248
3470;01172  Deepfreeze and other vegetables;1996;;99.0;248
3471;01172  Deepfreeze and other vegetables;1997 January;;100.0;248
3472;01172  Deepfreeze and other vegetables;1997 February;;100.0;248
3473;01172  Deepfreeze and other vegetables;1997 March;;100.0;248
3474;01172  Deepfreeze and other vegetables;1997 April;;100.0;248
3475;01172  Deepfreeze and other vegetables;1997 May;;100.0;248
3476;01172  Deepfreeze and other vegetables;1997 June;;101.0;248
3477;01172  Deepfreeze and other vegetables;1997 July;;101.0;248
3478;01172  Deepfreeze and other vegetables;1997 August;;101.0;248
3479;01172  Deepfreeze and other vegetables;1997 September;;101.0;248
3480;01172  Deepfreeze and other vegetables;1997 October;;100.0;248
3481;01172  Deepfreeze and other vegetables;1997 November;;99.0;248
3482;01172  Deepfreeze and other vegetables;1997 December;;100.0;248
3483;01172  Deepfreeze and other vegetables;1997;;100.0;248
3484;01172  Deepfreeze and other vegetables;1998 January;;99.0;248
3485;01172  Deepfreeze and other vegetables;1998 February;;100.0;248
3486;01172  Deepfreeze and other vegetables;1998 March;;101.0;248
3487;01172  Deepfreeze and other vegetables;1998 April;;102.0;248
3488;01172  Deepfreeze and other vegetables;1998 May;;101.0;248
3489;01172  Deepfreeze and other vegetables;1998 June;;101.0;248
3490;01172  Deepfreeze and other vegetables;1998 July;;100.0;248
3491;01172  Deepfreeze and other vegetables;1998 August;;100.0;248
3492;01172  Deepfreeze and other vegetables;1998 September;;99.0;248
3493;01172  Deepfreeze and other vegetables;1998 October;;99.0;248
3494;01172  Deepfreeze and other vegetables;1998 November;;100.0;248
3495;01172  Deepfreeze and other vegetables;1998 December;;100.0;248
3496;01172  Deepfreeze and other vegetables;1998;;100.0;248
3497;01172  Deepfreeze and other vegetables;1999 January;;100.0;248
3498;01172  Deepfreeze and other vegetables;1999 February;;100.0;248
3499;01172  Deepfreeze and other vegetables;1999 March;;101.0;248
3500;01172  Deepfreeze and other vegetables;1999 April;;101.0;248
3501;01172  Deepfreeze and other vegetables;1999 May;;102.0;248
3502;01172  Deepfreeze and other vegetables;1999 June;;102.0;248
3503;01172  Deepfreeze and other vegetables;1999 July;;101.0;248
3504;01172  Deepfreeze and other vegetables;1999 August;;101.0;248
3505;01172  Deepfreeze and other vegetables;1999 September;;101.0;248
3506;01172  Deepfreeze and other vegetables;1999 October;;101.0;248
3507;01172  Deepfreeze and other vegetables;1999 November;;101.0;248
3508;01172  Deepfreeze and other vegetables;1999 December;;100.0;248
3509;01172  Deepfreeze and other vegetables;1999;;101.0;248
3510;01172  Deepfreeze and other vegetables;2000 January;;100.0;248
3511;01172  Deepfreeze and other vegetables;2000 February;;100.0;248
3512;01172  Deepfreeze and other vegetables;2000 March;;100.0;248
3513;01172  Deepfreeze and other vegetables;2000 April;;100.0;248
3514;01172  Deepfreeze and other vegetables;2000 May;;101.0;248
3515;01172  Deepfreeze and other vegetables;2000 June;;101.0;248
3516;01172  Deepfreeze and other vegetables;2000 July;;101.0;248
3517;01172  Deepfreeze and other vegetables;2000 August;;101.0;248
3518;01172  Deepfreeze and other vegetables;2000 September;;104.0;248
3519;01172  Deepfreeze and other vegetables;2000 October;;106.0;248
3520;01172  Deepfreeze and other vegetables;2000 November;;106.0;248
3521;01172  Deepfreeze and other vegetables;2000 December;;106.0;248
3522;01172  Deepfreeze and other vegetables;2000;;102.0;248
3523;01172  Deepfreeze and other vegetables;2001 January;;109.0;248
3524;01172  Deepfreeze and other vegetables;2001 February;;109.0;248
3525;01172  Deepfreeze and other vegetables;2001 March;;109.0;248
3526;01172  Deepfreeze and other vegetables;2001 April;;110.0;248
3527;01172  Deepfreeze and other vegetables;2001 May;;110.0;248
3528;01172  Deepfreeze and other vegetables;2001 June;;111.0;248
3529;01172  Deepfreeze and other vegetables;2001 July;;110.0;248
3530;01172  Deepfreeze and other vegetables;2001 August;;110.0;248
3531;01172  Deepfreeze and other vegetables;2001 September;;111.0;248
3532;01172  Deepfreeze and other vegetables;2001 October;;110.0;248
3533;01172  Deepfreeze and other vegetables;2001 November;;111.0;248
3534;01172  Deepfreeze and other vegetables;2001 December;;111.0;248
3535;01172  Deepfreeze and other vegetables;2001;;110.0;248
3536;01172  Deepfreeze and other vegetables;2002 January;;111.0;248
3537;01172  Deepfreeze and other vegetables;2002 February;;112.0;248
3538;01172  Deepfreeze and other vegetables;2002 March;;112.0;248
3539;01172  Deepfreeze and other vegetables;2002 April;;112.0;248
3540;01172  Deepfreeze and other vegetables;2002 May;;112.0;248
3541;01172  Deepfreeze and other vegetables;2002 June;;112.0;248
3542;01172  Deepfreeze and other vegetables;2002 July;;113.0;248
3543;01172  Deepfreeze and other vegetables;2002 August;;113.0;248
3544;01172  Deepfreeze and other vegetables;2002 September;;113.0;248
3545;01172  Deepfreeze and other vegetables;2002 October;;113.0;248
3546;01172  Deepfreeze and other vegetables;2002 November;;113.0;248
3547;01172  Deepfreeze and other vegetables;2002 December;;113.0;248
3548;01172  Deepfreeze and other vegetables;2002;;112.0;248
3549;01175  Potatoes;1996 January;;79.0;204
3550;01175  Potatoes;1996 February;;77.0;204
3551;01175  Potatoes;1996 March;;76.0;204
3552;01175  Potatoes;1996 April;;78.0;204
3553;01175  Potatoes;1996 May;;75.0;204
3554;01175  Potatoes;1996 June;;79.0;204
3555;01175  Potatoes;1996 July;;85.0;204
3556;01175  Potatoes;1996 August;;74.0;204
3557;01175  Potatoes;1996 September;;70.0;204
3558;01175  Potatoes;1996 October;;61.0;204
3559;01175  Potatoes;1996 November;;61.0;204
3560;01175  Potatoes;1996 December;;61.0;204
3561;01175  Potatoes;1996;;73.0;204
3562;01175  Potatoes;1997 January;;63.0;204
3563;01175  Potatoes;1997 February;;62.0;204
