ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
368;Rotterdam (SG);Totaal particulier huishouden;527.5;28.4
369;Rotterdam (SG);Eenpersoonshuishouden;198.7;17.8
370;Rotterdam (SG);Meerpers. huishouden met minderj. kind.;139.5;34.3
371;Rotterdam (SG);Meerpers. huishouden z. minderj. kind.;189.2;35.0
372;Dordrecht (SG);Totaal particulier huishouden;117.9;30.5
373;Dordrecht (SG);Eenpersoonshuishouden;35.8;17.8
374;Dordrecht (SG);Meerpers. huishouden met minderj. kind.;34.7;36.5
375;Dordrecht (SG);Meerpers. huishouden z. minderj. kind.;47.4;35.6
376;Breda (SG);Totaal particulier huishouden;126.0;30.9
377;Breda (SG);Eenpersoonshuishouden;38.5;18.4
378;Breda (SG);Meerpers. huishouden met minderj. kind.;34.7;37.5
379;Breda (SG);Meerpers. huishouden z. minderj. kind.;52.7;35.7
380;Tilburg (SG);Totaal particulier huishouden;116.1;29.9
381;Tilburg (SG);Eenpersoonshuishouden;36.3;17.9
382;Tilburg (SG);Meerpers. huishouden met minderj. kind.;32.3;35.8
383;Tilburg (SG);Meerpers. huishouden z. minderj. kind.;47.5;35.1
384;'s-Hertogenbosch (SG);Totaal particulier huishouden;77.6;31.4
385;'s-Hertogenbosch (SG);Eenpersoonshuishouden;25.5;19.0
386;'s-Hertogenbosch (SG);Meerpers. huishouden met minderj. kind.;21.5;37.8
387;'s-Hertogenbosch (SG);Meerpers. huishouden z. minderj. kind.;30.6;37.3
388;Eindhoven (SG);Totaal particulier huishouden;167.5;30.2
389;Eindhoven (SG);Eenpersoonshuishouden;56.1;18.7
390;Eindhoven (SG);Meerpers. huishouden met minderj. kind.;43.2;36.5
391;Eindhoven (SG);Meerpers. huishouden z. minderj. kind.;68.2;35.8
392;Geleen/Sittard (SG);Totaal particulier huishouden;65.5;29.8
393;Geleen/Sittard (SG);Eenpersoonshuishouden;18.7;17.4
394;Geleen/Sittard (SG);Meerpers. huishouden met minderj. kind.;17.8;35.7
395;Geleen/Sittard (SG);Meerpers. huishouden z. minderj. kind.;29.0;34.0
396;Heerlen (SG);Totaal particulier huishouden;115.9;27.5
397;Heerlen (SG);Eenpersoonshuishouden;37.5;16.9
398;Heerlen (SG);Meerpers. huishouden met minderj. kind.;29.2;33.5
399;Heerlen (SG);Meerpers. huishouden z. minderj. kind.;49.2;31.9
400;Maastricht (SG);Totaal particulier huishouden;77.7;28.9
401;Maastricht (SG);Eenpersoonshuishouden;26.3;17.6
402;Maastricht (SG);Meerpers. huishouden met minderj. kind.;19.4;36.1
403;Maastricht (SG);Meerpers. huishouden z. minderj. kind.;32.0;33.9
404;Appingedam;Totaal particulier huishouden;5.6;26.6
405;Appingedam;Eenpersoonshuishouden;1.8;16.8
406;Appingedam;Meerpers. huishouden met minderj. kind.;1.3;31.7
407;Appingedam;Meerpers. huishouden z. minderj. kind.;2.5;30.9
408;Bedum;Totaal particulier huishouden;4.1;30.0
409;Bedum;Eenpersoonshuishouden;1.0;17.9
410;Bedum;Meerpers. huishouden met minderj. kind.;1.3;36.5
411;Bedum;Meerpers. huishouden z. minderj. kind.;1.8;32.1
412;Bellingwedde;Totaal particulier huishouden;4.1;26.8
413;Bellingwedde;Eenpersoonshuishouden;1.0;14.9
414;Bellingwedde;Meerpers. huishouden met minderj. kind.;1.1;32.8
415;Bellingwedde;Meerpers. huishouden z. minderj. kind.;2.0;29.9
416;Ten Boer;Totaal particulier huishouden;2.7;30.1
417;Ten Boer;Eenpersoonshuishouden;0.6;17.6
418;Ten Boer;Meerpers. huishouden met minderj. kind.;1.0;33.6
419;Ten Boer;Meerpers. huishouden z. minderj. kind.;1.1;34.2
420;Delfzijl;Totaal particulier huishouden;12.2;27.0
421;Delfzijl;Eenpersoonshuishouden;3.7;16.7
422;Delfzijl;Meerpers. huishouden met minderj. kind.;3.3;31.8
423;Delfzijl;Meerpers. huishouden z. minderj. kind.;5.3;31.3
424;Groningen (gemeente);Totaal particulier huishouden;78.5;25.0
425;Groningen (gemeente);Eenpersoonshuishouden;38.6;17.4
426;Groningen (gemeente);Meerpers. huishouden met minderj. kind.;14.9;32.7
427;Groningen (gemeente);Meerpers. huishouden z. minderj. kind.;25.1;32.2
428;Grootegast;Totaal particulier huishouden;4.5;28.6
429;Grootegast;Eenpersoonshuishouden;1.0;15.6
430;Grootegast;Meerpers. huishouden met minderj. kind.;1.6;33.3
431;Grootegast;Meerpers. huishouden z. minderj. kind.;1.9;31.3
432;Haren;Totaal particulier huishouden;8.1;36.3
433;Haren;Eenpersoonshuishouden;2.6;23.6
434;Haren;Meerpers. huishouden met minderj. kind.;2.1;42.4
435;Haren;Meerpers. huishouden z. minderj. kind.;3.3;42.2
436;Hoogezand-Sappemeer;Totaal particulier huishouden;14.2;26.5
437;Hoogezand-Sappemeer;Eenpersoonshuishouden;4.4;16.2
438;Hoogezand-Sappemeer;Meerpers. huishouden met minderj. kind.;3.8;32.2
439;Hoogezand-Sappemeer;Meerpers. huishouden z. minderj. kind.;6.1;30.5
440;Leek;Totaal particulier huishouden;7.4;30.1
441;Leek;Eenpersoonshuishouden;1.8;16.8
442;Leek;Meerpers. huishouden met minderj. kind.;2.3;36.2
443;Leek;Meerpers. huishouden z. minderj. kind.;3.3;32.9
444;Loppersum;Totaal particulier huishouden;4.4;28.5
445;Loppersum;Eenpersoonshuishouden;1.2;16.9
446;Loppersum;Meerpers. huishouden met minderj. kind.;1.4;34.0
447;Loppersum;Meerpers. huishouden z. minderj. kind.;1.8;32.3
448;Marum;Totaal particulier huishouden;3.9;29.9
449;Marum;Eenpersoonshuishouden;0.9;18.0
450;Marum;Meerpers. huishouden met minderj. kind.;1.3;35.0
451;Marum;Meerpers. huishouden z. minderj. kind.;1.7;32.1
452;Almere;Totaal particulier huishouden;64.2;31.4
453;Almere;Eenpersoonshuishouden;16.9;18.6
454;Almere;Meerpers. huishouden met minderj. kind.;25.6;35.5
455;Almere;Meerpers. huishouden z. minderj. kind.;21.7;36.4
456;Stadskanaal;Totaal particulier huishouden;14.3;26.1
457;Stadskanaal;Eenpersoonshuishouden;4.2;15.7
458;Stadskanaal;Meerpers. huishouden met minderj. kind.;3.8;32.6
459;Stadskanaal;Meerpers. huishouden z. minderj. kind.;6.3;29.1
460;Scheemda;Totaal particulier huishouden;5.9;27.8
461;Scheemda;Eenpersoonshuishouden;1.5;16.2
462;Scheemda;Meerpers. huishouden met minderj. kind.;1.7;33.9
463;Scheemda;Meerpers. huishouden z. minderj. kind.;2.6;30.7
464;Slochteren;Totaal particulier huishouden;5.9;30.7
465;Slochteren;Eenpersoonshuishouden;1.4;17.0
466;Slochteren;Meerpers. huishouden met minderj. kind.;1.8;36.8
467;Slochteren;Meerpers. huishouden z. minderj. kind.;2.7;33.7
468;Veendam;Totaal particulier huishouden;11.9;27.5
469;Veendam;Eenpersoonshuishouden;3.3;16.3
470;Veendam;Meerpers. huishouden met minderj. kind.;3.3;33.0
471;Veendam;Meerpers. huishouden z. minderj. kind.;5.3;31.0
472;Vlagtwedde;Totaal particulier huishouden;7.0;25.9
473;Vlagtwedde;Eenpersoonshuishouden;1.9;15.3
474;Vlagtwedde;Meerpers. huishouden met minderj. kind.;1.8;31.0
475;Vlagtwedde;Meerpers. huishouden z. minderj. kind.;3.3;29.1
476;Zeewolde;Totaal particulier huishouden;6.9;33.0
477;Zeewolde;Eenpersoonshuishouden;1.4;19.8
478;Zeewolde;Meerpers. huishouden met minderj. kind.;3.0;38.1
479;Zeewolde;Meerpers. huishouden z. minderj. kind.;2.5;34.2
480;SkarsterlÔn;Totaal particulier huishouden;10.7;29.8
481;SkarsterlÔn;Eenpersoonshuishouden;2.7;17.6
482;SkarsterlÔn;Meerpers. huishouden met minderj. kind.;3.2;34.8
483;SkarsterlÔn;Meerpers. huishouden z. minderj. kind.;4.7;33.2
484;Winschoten;Totaal particulier huishouden;8.6;24.9
485;Winschoten;Eenpersoonshuishouden;3.3;15.3
486;Winschoten;Meerpers. huishouden met minderj. kind.;1.8;32.6
487;Winschoten;Meerpers. huishouden z. minderj. kind.;3.4;30.1
488;Winsum;Totaal particulier huishouden;5.5;30.0
489;Winsum;Eenpersoonshuishouden;1.4;17.4
490;Winsum;Meerpers. huishouden met minderj. kind.;1.8;35.3
491;Winsum;Meerpers. huishouden z. minderj. kind.;2.3;33.7
492;Boarnsterhim;Totaal particulier huishouden;7.8;29.1
493;Boarnsterhim;Eenpersoonshuishouden;2.2;17.1
494;Boarnsterhim;Meerpers. huishouden met minderj. kind.;2.3;35.3
495;Boarnsterhim;Meerpers. huishouden z. minderj. kind.;3.3;32.8
496;Zuidhorn;Totaal particulier huishouden;6.8;30.6
497;Zuidhorn;Eenpersoonshuishouden;1.7;17.9
498;Zuidhorn;Meerpers. huishouden met minderj. kind.;2.3;35.8
499;Zuidhorn;Meerpers. huishouden z. minderj. kind.;2.8;34.0
500;Dongeradeel;Totaal particulier huishouden;9.8;27.0
501;Dongeradeel;Eenpersoonshuishouden;2.8;16.3
502;Dongeradeel;Meerpers. huishouden met minderj. kind.;3.0;32.0
503;Dongeradeel;Meerpers. huishouden z. minderj. kind.;4.1;30.7
504;Achtkarspelen;Totaal particulier huishouden;11.0;27.5
505;Achtkarspelen;Eenpersoonshuishouden;2.8;15.3
506;Achtkarspelen;Meerpers. huishouden met minderj. kind.;3.4;33.0
507;Achtkarspelen;Meerpers. huishouden z. minderj. kind.;4.8;30.5
508;Ameland;Totaal particulier huishouden;1.5;28.6
509;Ameland;Eenpersoonshuishouden;0.5;18.0
510;Ameland;Meerpers. huishouden met minderj. kind.;0.4;35.1
511;Ameland;Meerpers. huishouden z. minderj. kind.;0.6;33.1
512;het Bildt;Totaal particulier huishouden;4.3;26.9
513;het Bildt;Eenpersoonshuishouden;1.2;15.5
514;het Bildt;Meerpers. huishouden met minderj. kind.;1.3;32.3
515;het Bildt;Meerpers. huishouden z. minderj. kind.;1.8;30.8
516;Bolsward;Totaal particulier huishouden;4.0;26.9
517;Bolsward;Eenpersoonshuishouden;1.3;16.7
518;Bolsward;Meerpers. huishouden met minderj. kind.;1.0;33.4
519;Bolsward;Meerpers. huishouden z. minderj. kind.;1.6;31.3
520;Dantumadeel;Totaal particulier huishouden;7.4;27.7
521;Dantumadeel;Eenpersoonshuishouden;1.8;15.5
522;Dantumadeel;Meerpers. huishouden met minderj. kind.;2.3;33.3
523;Dantumadeel;Meerpers. huishouden z. minderj. kind.;3.3;30.5
524;Franekeradeel;Totaal particulier huishouden;8.7;27.0
525;Franekeradeel;Eenpersoonshuishouden;2.9;16.1
526;Franekeradeel;Meerpers. huishouden met minderj. kind.;2.5;33.4
527;Franekeradeel;Meerpers. huishouden z. minderj. kind.;3.3;31.6
528;Harlingen;Totaal particulier huishouden;6.6;27.2
529;Harlingen;Eenpersoonshuishouden;2.2;16.2
530;Harlingen;Meerpers. huishouden met minderj. kind.;1.8;33.2
531;Harlingen;Meerpers. huishouden z. minderj. kind.;2.7;32.1
532;Heerenveen;Totaal particulier huishouden;18.2;28.3
533;Heerenveen;Eenpersoonshuishouden;6.0;17.2
534;Heerenveen;Meerpers. huishouden met minderj. kind.;4.6;34.6
535;Heerenveen;Meerpers. huishouden z. minderj. kind.;7.6;33.2
536;Kollumerland en Nieuwkruisland;Totaal particulier huishouden;5.1;28.1
537;Kollumerland en Nieuwkruisland;Eenpersoonshuishouden;1.3;16.5
538;Kollumerland en Nieuwkruisland;Meerpers. huishouden met minderj. kind.;1.6;32.2
539;Kollumerland en Nieuwkruisland;Meerpers. huishouden z. minderj. kind.;2.3;31.8
540;Leeuwarden;Totaal particulier huishouden;40.7;25.5
541;Leeuwarden;Eenpersoonshuishouden;17.6;16.9
542;Leeuwarden;Meerpers. huishouden met minderj. kind.;9.1;32.2
543;Leeuwarden;Meerpers. huishouden z. minderj. kind.;14.1;31.8
544;Leeuwarderadeel;Totaal particulier huishouden;4.0;31.2
545;Leeuwarderadeel;Eenpersoonshuishouden;0.8;20.0
546;Leeuwarderadeel;Meerpers. huishouden met minderj. kind.;1.4;35.6
547;Leeuwarderadeel;Meerpers. huishouden z. minderj. kind.;1.8;32.8
548;Lemsterland;Totaal particulier huishouden;5.4;29.1
549;Lemsterland;Eenpersoonshuishouden;1.4;16.6
550;Lemsterland;Meerpers. huishouden met minderj. kind.;1.6;34.2
551;Lemsterland;Meerpers. huishouden z. minderj. kind.;2.4;33.2
552;Menaldumadeel;Totaal particulier huishouden;5.6;30.0
553;Menaldumadeel;Eenpersoonshuishouden;1.4;16.9
554;Menaldumadeel;Meerpers. huishouden met minderj. kind.;1.7;35.6
555;Menaldumadeel;Meerpers. huishouden z. minderj. kind.;2.4;33.6
556;Ooststellingwerf;Totaal particulier huishouden;10.8;27.7
557;Ooststellingwerf;Eenpersoonshuishouden;2.9;16.1
558;Ooststellingwerf;Meerpers. huishouden met minderj. kind.;3.1;32.9
559;Ooststellingwerf;Meerpers. huishouden z. minderj. kind.;4.8;31.3
560;Opsterland;Totaal particulier huishouden;11.5;28.9
561;Opsterland;Eenpersoonshuishouden;3.1;17.4
562;Opsterland;Meerpers. huishouden met minderj. kind.;3.5;34.7
563;Opsterland;Meerpers. huishouden z. minderj. kind.;4.9;32.1
564;Schiermonnikoog;Totaal particulier huishouden;0.5;28.6
565;Schiermonnikoog;Eenpersoonshuishouden;0.2;24.3
566;Schiermonnikoog;Meerpers. huishouden met minderj. kind.;0.1;31.7
567;Schiermonnikoog;Meerpers. huishouden z. minderj. kind.;0.2;32.4
568;Smallingerland;Totaal particulier huishouden;22.3;27.8
569;Smallingerland;Eenpersoonshuishouden;6.9;16.6
570;Smallingerland;Meerpers. huishouden met minderj. kind.;6.3;33.6
571;Smallingerland;Meerpers. huishouden z. minderj. kind.;9.1;32.2
572;Sneek;Totaal particulier huishouden;14.2;26.9
573;Sneek;Eenpersoonshuishouden;4.8;16.8
574;Sneek;Meerpers. huishouden met minderj. kind.;3.8;32.9
575;Sneek;Meerpers. huishouden z. minderj. kind.;5.5;31.7
576;Terschelling;Totaal particulier huishouden;1.9;30.0
577;Terschelling;Eenpersoonshuishouden;0.7;18.7
578;Terschelling;Meerpers. huishouden met minderj. kind.;0.5;38.0
579;Terschelling;Meerpers. huishouden z. minderj. kind.;0.8;35.9
580;Vlieland;Totaal particulier huishouden;0.5;28.7
581;Vlieland;Eenpersoonshuishouden;0.2;18.6
582;Vlieland;Meerpers. huishouden met minderj. kind.;0.1;37.4
583;Vlieland;Meerpers. huishouden z. minderj. kind.;0.2;33.8
584;Weststellingwerf;Totaal particulier huishouden;10.8;27.6
585;Weststellingwerf;Eenpersoonshuishouden;3.1;15.9
586;Weststellingwerf;Meerpers. huishouden met minderj. kind.;2.8;32.8
587;Weststellingwerf;Meerpers. huishouden z. minderj. kind.;4.9;31.8
588;Nijefurd;Totaal particulier huishouden;4.5;27.3
589;Nijefurd;Eenpersoonshuishouden;1.4;15.9
590;Nijefurd;Meerpers. huishouden met minderj. kind.;1.2;32.5
591;Nijefurd;Meerpers. huishouden z. minderj. kind.;2.0;32.2
592;Assen;Totaal particulier huishouden;25.7;28.3
593;Assen;Eenpersoonshuishouden;8.4;17.4
594;Assen;Meerpers. huishouden met minderj. kind.;7.4;34.1
595;Assen;Meerpers. huishouden z. minderj. kind.;9.9;33.4
596;Coevorden;Totaal particulier huishouden;14.6;28.3
597;Coevorden;Eenpersoonshuishouden;3.7;16.8
598;Coevorden;Meerpers. huishouden met minderj. kind.;4.3;32.5
599;Coevorden;Meerpers. huishouden z. minderj. kind.;6.6;32.1
600;Emmen;Totaal particulier huishouden;44.5;27.4
601;Emmen;Eenpersoonshuishouden;12.2;16.3
602;Emmen;Meerpers. huishouden met minderj. kind.;12.7;32.5
603;Emmen;Meerpers. huishouden z. minderj. kind.;19.6;30.9
604;Hoogeveen;Totaal particulier huishouden;21.5;28.3
605;Hoogeveen;Eenpersoonshuishouden;6.0;17.2
606;Hoogeveen;Meerpers. huishouden met minderj. kind.;6.2;33.3
607;Hoogeveen;Meerpers. huishouden z. minderj. kind.;9.3;32.1
608;Meppel;Totaal particulier huishouden;12.7;29.2
609;Meppel;Eenpersoonshuishouden;3.9;17.8
610;Meppel;Meerpers. huishouden met minderj. kind.;3.6;35.2
611;Meppel;Meerpers. huishouden z. minderj. kind.;5.2;33.6
612;Littenseradiel;Totaal particulier huishouden;4.1;30.7
613;Littenseradiel;Eenpersoonshuishouden;1.0;17.8
614;Littenseradiel;Meerpers. huishouden met minderj. kind.;1.4;36.4
615;Littenseradiel;Meerpers. huishouden z. minderj. kind.;1.7;33.7
616;Almelo;Totaal particulier huishouden;29.5;27.5
617;Almelo;Eenpersoonshuishouden;9.1;17.0
618;Almelo;Meerpers. huishouden met minderj. kind.;8.5;32.4
619;Almelo;Meerpers. huishouden z. minderj. kind.;11.9;32.1
620;Bathmen;Totaal particulier huishouden;2.1;35.1
621;Bathmen;Eenpersoonshuishouden;0.4;21.5
622;Bathmen;Meerpers. huishouden met minderj. kind.;0.6;39.0
623;Bathmen;Meerpers. huishouden z. minderj. kind.;1.0;38.5
624;Borne;Totaal particulier huishouden;7.9;32.5
625;Borne;Eenpersoonshuishouden;1.8;18.3
626;Borne;Meerpers. huishouden met minderj. kind.;2.6;37.5
627;Borne;Meerpers. huishouden z. minderj. kind.;3.4;36.2
628;Dalfsen;Totaal particulier huishouden;9.5;32.8
629;Dalfsen;Eenpersoonshuishouden;2.0;18.4
630;Dalfsen;Meerpers. huishouden met minderj. kind.;3.2;38.2
631;Dalfsen;Meerpers. huishouden z. minderj. kind.;4.3;35.6
632;Deventer;Totaal particulier huishouden;36.5;28.1
633;Deventer;Eenpersoonshuishouden;12.5;17.4
634;Deventer;Meerpers. huishouden met minderj. kind.;10.1;34.0
635;Deventer;Meerpers. huishouden z. minderj. kind.;13.9;33.3
636;Enschede;Totaal particulier huishouden;63.2;26.2
637;Enschede;Eenpersoonshuishouden;22.7;16.7
638;Enschede;Meerpers. huishouden met minderj. kind.;16.5;32.2
639;Enschede;Meerpers. huishouden z. minderj. kind.;24.0;31.0
640;Haaksbergen;Totaal particulier huishouden;9.1;31.8
641;Haaksbergen;Eenpersoonshuishouden;2.0;17.0
642;Haaksbergen;Meerpers. huishouden met minderj. kind.;2.8;37.4
643;Haaksbergen;Meerpers. huishouden z. minderj. kind.;4.3;34.9
644;Hardenberg;Totaal particulier huishouden;20.9;30.4
645;Hardenberg;Eenpersoonshuishouden;4.6;17.3
646;Hardenberg;Meerpers. huishouden met minderj. kind.;7.2;35.0
647;Hardenberg;Meerpers. huishouden z. minderj. kind.;9.1;33.4
648;Hellendoorn;Totaal particulier huishouden;13.5;31.2
649;Hellendoorn;Eenpersoonshuishouden;3.0;17.5
650;Hellendoorn;Meerpers. huishouden met minderj. kind.;4.3;35.9
651;Hellendoorn;Meerpers. huishouden z. minderj. kind.;6.2;34.6
652;Hengelo (O.);Totaal particulier huishouden;34.6;28.6
653;Hengelo (O.);Eenpersoonshuishouden;11.5;17.6
654;Hengelo (O.);Meerpers. huishouden met minderj. kind.;9.4;35.4
655;Hengelo (O.);Meerpers. huishouden z. minderj. kind.;13.7;33.2
656;Kampen;Totaal particulier huishouden;18.7;28.6
657;Kampen;Eenpersoonshuishouden;5.3;16.5
658;Kampen;Meerpers. huishouden met minderj. kind.;6.0;34.1
659;Kampen;Meerpers. huishouden z. minderj. kind.;7.3;32.8
660;Losser;Totaal particulier huishouden;8.3;30.9
661;Losser;Eenpersoonshuishouden;1.7;16.3
662;Losser;Meerpers. huishouden met minderj. kind.;2.7;35.4
663;Losser;Meerpers. huishouden z. minderj. kind.;3.9;34.3
664;Noordoostpolder;Totaal particulier huishouden;17.4;29.3
665;Noordoostpolder;Eenpersoonshuishouden;4.6;17.3
666;Noordoostpolder;Meerpers. huishouden met minderj. kind.;5.7;34.4
667;Noordoostpolder;Meerpers. huishouden z. minderj. kind.;7.1;33.0
668;Oldenzaal;Totaal particulier huishouden;12.7;30.2
669;Oldenzaal;Eenpersoonshuishouden;3.5;18.1
670;Oldenzaal;Meerpers. huishouden met minderj. kind.;3.5;36.3
671;Oldenzaal;Meerpers. huishouden z. minderj. kind.;5.6;34.0
672;Ommen;Totaal particulier huishouden;6.4;31.0
673;Ommen;Eenpersoonshuishouden;1.7;17.7
674;Ommen;Meerpers. huishouden met minderj. kind.;2.0;35.3
675;Ommen;Meerpers. huishouden z. minderj. kind.;2.7;36.2
676;Raalte;Totaal particulier huishouden;13.8;30.7
677;Raalte;Eenpersoonshuishouden;3.2;17.1
678;Raalte;Meerpers. huishouden met minderj. kind.;4.5;35.6
679;Raalte;Meerpers. huishouden z. minderj. kind.;6.0;34.3
680;Rijssen;Totaal particulier huishouden;12.5;32.6
681;Rijssen;Eenpersoonshuishouden;2.7;18.5
682;Rijssen;Meerpers. huishouden met minderj. kind.;4.4;36.9
683;Rijssen;Meerpers. huishouden z. minderj. kind.;5.3;36.2
684;Staphorst;Totaal particulier huishouden;4.8;33.8
685;Staphorst;Eenpersoonshuishouden;0.9;16.8
686;Staphorst;Meerpers. huishouden met minderj. kind.;2.0;38.2
687;Staphorst;Meerpers. huishouden z. minderj. kind.;2.0;36.8
688;Tubbergen;Totaal particulier huishouden;6.7;34.2
689;Tubbergen;Eenpersoonshuishouden;1.2;17.6
690;Tubbergen;Meerpers. huishouden met minderj. kind.;2.6;37.7
691;Tubbergen;Meerpers. huishouden z. minderj. kind.;2.9;37.7
692;Urk;Totaal particulier huishouden;4.5;33.0
693;Urk;Eenpersoonshuishouden;0.8;16.2
694;Urk;Meerpers. huishouden met minderj. kind.;2.5;37.4
695;Urk;Meerpers. huishouden z. minderj. kind.;1.3;34.4
696;Wierden;Totaal particulier huishouden;8.3;34.0
697;Wierden;Eenpersoonshuishouden;1.6;21.7
698;Wierden;Meerpers. huishouden met minderj. kind.;2.9;38.6
699;Wierden;Meerpers. huishouden z. minderj. kind.;3.8;35.6
700;Zwolle;Totaal particulier huishouden;46.9;29.1
701;Zwolle;Eenpersoonshuishouden;17.0;18.0
702;Zwolle;Meerpers. huishouden met minderj. kind.;12.6;36.3
703;Zwolle;Meerpers. huishouden z. minderj. kind.;17.3;34.8
704;Rijnwaarden;Totaal particulier huishouden;4.3;29.6
705;Rijnwaarden;Eenpersoonshuishouden;0.9;16.3
706;Rijnwaarden;Meerpers. huishouden met minderj. kind.;1.3;33.4
707;Rijnwaarden;Meerpers. huishouden z. minderj. kind.;2.1;32.7
708;Aalten;Totaal particulier huishouden;7.1;29.9
709;Aalten;Eenpersoonshuishouden;1.9;17.7
710;Aalten;Meerpers. huishouden met minderj. kind.;2.2;36.5
711;Aalten;Meerpers. huishouden z. minderj. kind.;3.1;32.7
712;Angerlo;Totaal particulier huishouden;1.9;32.3
713;Angerlo;Eenpersoonshuishouden;0.4;17.0
714;Angerlo;Meerpers. huishouden met minderj. kind.;0.6;38.4
715;Angerlo;Meerpers. huishouden z. minderj. kind.;0.9;35.3
716;Apeldoorn;Totaal particulier huishouden;64.6;30.7
717;Apeldoorn;Eenpersoonshuishouden;20.5;18.5
718;Apeldoorn;Meerpers. huishouden met minderj. kind.;17.8;36.9
719;Apeldoorn;Meerpers. huishouden z. minderj. kind.;26.3;36.0
720;Arnhem;Totaal particulier huishouden;64.3;26.6
721;Arnhem;Eenpersoonshuishouden;27.2;17.4
722;Arnhem;Meerpers. huishouden met minderj. kind.;14.9;32.9
723;Arnhem;Meerpers. huishouden z. minderj. kind.;22.2;33.7
724;Barneveld;Totaal particulier huishouden;16.5;33.8
725;Barneveld;Eenpersoonshuishouden;3.5;18.4
726;Barneveld;Meerpers. huishouden met minderj. kind.;6.2;39.2
727;Barneveld;Meerpers. huishouden z. minderj. kind.;6.8;36.8
728;Bergh;Totaal particulier huishouden;7.2;30.4
729;Bergh;Eenpersoonshuishouden;1.6;17.4
730;Bergh;Meerpers. huishouden met minderj. kind.;2.2;36.8
731;Bergh;Meerpers. huishouden z. minderj. kind.;3.3;32.6
732;Beuningen;Totaal particulier huishouden;9.5;33.4
733;Beuningen;Eenpersoonshuishouden;2.1;18.3
734;Beuningen;Meerpers. huishouden met minderj. kind.;3.4;38.4
735;Beuningen;Meerpers. huishouden z. minderj. kind.;4.0;37.0
736;Borculo;Totaal particulier huishouden;4.0;29.5
737;Borculo;Eenpersoonshuishouden;0.9;16.8
738;Borculo;Meerpers. huishouden met minderj. kind.;1.2;34.3
739;Borculo;Meerpers. huishouden z. minderj. kind.;1.9;32.8
740;Brummen;Totaal particulier huishouden;8.4;32.7
741;Brummen;Eenpersoonshuishouden;1.9;17.3
742;Brummen;Meerpers. huishouden met minderj. kind.;2.5;37.3
743;Brummen;Meerpers. huishouden z. minderj. kind.;3.9;37.4
744;Buren;Totaal particulier huishouden;9.7;34.0
745;Buren;Eenpersoonshuishouden;2.2;17.9
746;Buren;Meerpers. huishouden met minderj. kind.;3.2;39.8
747;Buren;Meerpers. huishouden z. minderj. kind.;4.3;37.7
748;Culemborg;Totaal particulier huishouden;10.3;33.1
749;Culemborg;Eenpersoonshuishouden;2.8;18.2
750;Culemborg;Meerpers. huishouden met minderj. kind.;3.5;39.8
751;Culemborg;Meerpers. huishouden z. minderj. kind.;4.0;37.8
752;Didam;Totaal particulier huishouden;6.3;32.3
753;Didam;Eenpersoonshuishouden;1.3;17.4
754;Didam;Meerpers. huishouden met minderj. kind.;2.0;37.0
755;Didam;Meerpers. huishouden z. minderj. kind.;3.0;35.5
756;Dinxperlo;Totaal particulier huishouden;3.4;30.4
757;Dinxperlo;Eenpersoonshuishouden;0.8;16.5
758;Dinxperlo;Meerpers. huishouden met minderj. kind.;1.0;35.9
759;Dinxperlo;Meerpers. huishouden z. minderj. kind.;1.6;34.2
760;Doesburg;Totaal particulier huishouden;4.7;28.8
761;Doesburg;Eenpersoonshuishouden;1.3;18.9
762;Doesburg;Meerpers. huishouden met minderj. kind.;1.4;34.1
763;Doesburg;Meerpers. huishouden z. minderj. kind.;1.9;31.4
764;Doetinchem;Totaal particulier huishouden;20.3;29.5
765;Doetinchem;Eenpersoonshuishouden;6.0;17.5
766;Doetinchem;Meerpers. huishouden met minderj. kind.;5.8;35.5
767;Doetinchem;Meerpers. huishouden z. minderj. kind.;8.5;33.8
768;Druten;Totaal particulier huishouden;6.7;32.1
769;Druten;Eenpersoonshuishouden;1.6;17.1
770;Druten;Meerpers. huishouden met minderj. kind.;2.2;37.9
771;Druten;Meerpers. huishouden z. minderj. kind.;2.9;35.7
772;Duiven;Totaal particulier huishouden;9.7;32.4
773;Duiven;Eenpersoonshuishouden;2.0;17.7
774;Duiven;Meerpers. huishouden met minderj. kind.;3.8;37.2
775;Duiven;Meerpers. huishouden z. minderj. kind.;4.0;35.1
776;Ede;Totaal particulier huishouden;39.5;32.4
777;Ede;Eenpersoonshuishouden;11.1;18.9
778;Ede;Meerpers. huishouden met minderj. kind.;12.7;38.7
779;Ede;Meerpers. huishouden z. minderj. kind.;15.7;36.8
780;Eibergen;Totaal particulier huishouden;6.2;30.1
781;Eibergen;Eenpersoonshuishouden;1.5;15.7
782;Eibergen;Meerpers. huishouden met minderj. kind.;1.9;36.0
783;Eibergen;Meerpers. huishouden z. minderj. kind.;2.8;33.8
784;Elburg;Totaal particulier huishouden;7.7;32.1
785;Elburg;Eenpersoonshuishouden;1.7;17.4
786;Elburg;Meerpers. huishouden met minderj. kind.;2.8;36.8
787;Elburg;Meerpers. huishouden z. minderj. kind.;3.3;35.6
788;Epe;Totaal particulier huishouden;12.9;31.7
789;Epe;Eenpersoonshuishouden;3.3;17.5
790;Epe;Meerpers. huishouden met minderj. kind.;3.8;36.9
