ID;BedrijfstakkenBranchesSBI2008;Perioden;NajaarsenqueteJaarT1_1;VoorjaarsenqueteJaarT_2;NajaarsenqueteJaarT_3;NajaarsenqueteJaarT1_4;NajaarsenqueteJaarT_5;NajaarsenqueteJaarT1_6;NajaarsenqueteJaarT_7;NajaarsenqueteJaarT1_8;NajaarsenqueteJaarT_9;NajaarsenqueteJaarT1_10;NajaarsenqueteJaarT_11
233;22-23 Kunststof- en bouwmateriaalindustr;2015;;;;;;;;;;;
234;22-23 Kunststof- en bouwmateriaalindustr;2016;;;;;;;;;;;
235;22-23 Kunststof- en bouwmateriaalindustr;2017;;;;;;;;;;;
236;22-23 Kunststof- en bouwmateriaalindustr;2018;;;;;;;;;;;
237;22-23 Kunststof- en bouwmateriaalindustr;2019;;;;;;;;;;;
238;22-23 Kunststof- en bouwmateriaalindustr;2020;;;;;;;;;;;
239;22-23 Kunststof- en bouwmateriaalindustr;2021;;;;;;;;;;;
240;22 Rubber- en kunststofproductindustrie;2010;;;10.0;;24.0;;58.0;;14.0;;4.0
241;22 Rubber- en kunststofproductindustrie;2011;-22.0;58.0;44.0;34.0;37.0;35.0;36.0;26.0;21.0;5.0;6.0
242;22 Rubber- en kunststofproductindustrie;2012;9.0;-21.0;-27.0;32.0;39.0;41.0;33.0;21.0;22.0;6.0;7.0
243;22 Rubber- en kunststofproductindustrie;2013;18.0;9.0;17.0;36.0;29.0;40.0;39.0;16.0;25.0;7.0;7.0
244;22 Rubber- en kunststofproductindustrie;2014;-3.0;-1.0;2.0;32.0;36.0;31.0;34.0;30.0;22.0;7.0;8.0
245;22 Rubber- en kunststofproductindustrie;2015;3.0;11.0;10.0;34.0;31.0;41.0;43.0;19.0;21.0;6.0;5.0
246;22 Rubber- en kunststofproductindustrie;2016;31.0;34.0;15.0;31.0;27.0;46.0;45.0;18.0;21.0;5.0;7.0
247;22 Rubber- en kunststofproductindustrie;2017;19.0;30.0;33.0;29.0;31.0;49.0;48.0;16.0;15.0;6.0;6.0
248;22 Rubber- en kunststofproductindustrie;2018;30.0;26.0;;27.0;29.0;47.0;47.0;20.0;17.0;6.0;7.0
249;22 Rubber- en kunststofproductindustrie;2019;26.0;20.0;20.0;26.0;31.0;49.0;50.0;19.0;14.0;6.0;5.0
250;22 Rubber- en kunststofproductindustrie;2020;19.0;40.0;29.0;35.0;25.0;48.0;54.0;12.0;12.0;5.0;9.0
251;22 Rubber- en kunststofproductindustrie;2021;-1.0;-2.0;;28.0;;45.0;;14.0;;12.0;
252;23 Bouwmaterialenindustrie;2010;;;-22.0;;55.0;;23.0;;15.0;;6.0
253;23 Bouwmaterialenindustrie;2011;13.0;5.0;-4.0;66.0;54.0;11.0;25.0;18.0;14.0;6.0;7.0
254;23 Bouwmaterialenindustrie;2012;-4.0;9.0;-19.0;58.0;54.0;18.0;25.0;18.0;13.0;6.0;8.0
255;23 Bouwmaterialenindustrie;2013;-11.0;10.0;10.0;54.0;55.0;23.0;18.0;13.0;17.0;10.0;10.0
256;23 Bouwmaterialenindustrie;2014;11.0;-3.0;-8.0;43.0;55.0;30.0;22.0;18.0;16.0;9.0;6.0
257;23 Bouwmaterialenindustrie;2015;0.0;-6.0;-2.0;57.0;54.0;10.0;21.0;24.0;19.0;9.0;6.0
258;23 Bouwmaterialenindustrie;2016;-1.0;-6.0;-4.0;58.0;52.0;21.0;22.0;13.0;19.0;8.0;7.0
259;23 Bouwmaterialenindustrie;2017;36.0;45.0;41.0;56.0;57.0;18.0;21.0;19.0;15.0;7.0;7.0
260;23 Bouwmaterialenindustrie;2018;5.0;-7.0;5.0;48.0;64.0;25.0;16.0;19.0;12.0;8.0;8.0
261;23 Bouwmaterialenindustrie;2019;87.0;42.0;41.0;45.0;49.0;39.0;27.0;9.0;17.0;7.0;8.0
262;23 Bouwmaterialenindustrie;2020;1.0;4.0;-10.0;54.0;58.0;26.0;19.0;13.0;15.0;7.0;8.0
263;23 Bouwmaterialenindustrie;2021;2.0;-15.0;;54.0;;24.0;;15.0;;7.0;
264;24-25 Basismetaal, metaalprod.-industrie;2010;;;-54.0;;51.0;;25.0;;17.0;;7.0
265;24-25 Basismetaal, metaalprod.-industrie;2011;-3.0;21.0;9.0;52.0;41.0;26.0;36.0;15.0;19.0;7.0;4.0
266;24-25 Basismetaal, metaalprod.-industrie;2012;-10.0;11.0;10.0;43.0;40.0;33.0;38.0;17.0;16.0;7.0;5.0
267;24-25 Basismetaal, metaalprod.-industrie;2013;-4.0;-3.0;-9.0;37.0;40.0;35.0;37.0;24.0;16.0;5.0;7.0
268;24-25 Basismetaal, metaalprod.-industrie;2014;4.0;-8.0;19.0;47.0;37.0;31.0;42.0;16.0;15.0;6.0;6.0
269;24-25 Basismetaal, metaalprod.-industrie;2015;-4.0;-18.0;7.0;35.0;40.0;40.0;34.0;19.0;17.0;6.0;9.0
270;24-25 Basismetaal, metaalprod.-industrie;2016;15.0;-6.0;34.0;34.0;34.0;46.0;49.0;14.0;12.0;6.0;5.0
271;24-25 Basismetaal, metaalprod.-industrie;2017;4.0;-7.0;12.0;37.0;36.0;40.0;34.0;16.0;23.0;7.0;7.0
272;24-25 Basismetaal, metaalprod.-industrie;2018;-13.0;-6.0;13.0;39.0;38.0;30.0;33.0;21.0;17.0;10.0;12.0
273;24-25 Basismetaal, metaalprod.-industrie;2019;0.0;-10.0;-3.0;36.0;34.0;34.0;45.0;17.0;10.0;13.0;10.0
274;24-25 Basismetaal, metaalprod.-industrie;2020;-8.0;-21.0;-17.0;42.0;46.0;33.0;31.0;14.0;13.0;11.0;10.0
275;24-25 Basismetaal, metaalprod.-industrie;2021;-7.0;-4.0;;46.0;;27.0;;16.0;;11.0;
276;24 Basismetaalindustrie;2010;;;-66.0;;63.0;;14.0;;13.0;;10.0
277;24 Basismetaalindustrie;2011;9.0;99.0;2.0;64.0;52.0;15.0;23.0;12.0;21.0;8.0;5.0
278;24 Basismetaalindustrie;2012;-6.0;32.0;19.0;56.0;46.0;20.0;33.0;17.0;14.0;7.0;7.0
279;24 Basismetaalindustrie;2013;-15.0;-8.0;-43.0;44.0;38.0;31.0;38.0;16.0;14.0;8.0;9.0
280;24 Basismetaalindustrie;2014;1.0;-22.0;13.0;52.0;44.0;29.0;36.0;11.0;9.0;8.0;12.0
281;24 Basismetaalindustrie;2015;7.0;-15.0;11.0;42.0;51.0;35.0;27.0;9.0;13.0;13.0;9.0
282;24 Basismetaalindustrie;2016;0.0;-24.0;58.0;37.0;39.0;41.0;44.0;12.0;11.0;10.0;6.0
283;24 Basismetaalindustrie;2017;7.0;28.0;57.0;42.0;40.0;38.0;16.0;14.0;36.0;6.0;8.0
284;24 Basismetaalindustrie;2018;-29.0;-31.0;15.0;41.0;38.0;15.0;22.0;28.0;19.0;16.0;21.0
285;24 Basismetaalindustrie;2019;-2.0;1.0;2.0;38.0;38.0;20.0;35.0;20.0;6.0;22.0;20.0
286;24 Basismetaalindustrie;2020;12.0;-2.0;1.0;50.0;66.0;24.0;6.0;6.0;12.0;19.0;16.0
287;24 Basismetaalindustrie;2021;7.0;69.0;;61.0;;10.0;;12.0;;17.0;
288;25 Metaalproductenindustrie;2010;;;-42.0;;44.0;;31.0;;20.0;;5.0
289;25 Metaalproductenindustrie;2011;-10.0;-6.0;13.0;43.0;37.0;34.0;41.0;17.0;18.0;5.0;4.0
290;25 Metaalproductenindustrie;2012;-12.0;6.0;8.0;38.0;38.0;38.0;40.0;17.0;17.0;7.0;5.0
291;25 Metaalproductenindustrie;2013;0.0;-1.0;8.0;34.0;40.0;36.0;37.0;26.0;17.0;4.0;6.0
292;25 Metaalproductenindustrie;2014;5.0;-3.0;21.0;46.0;35.0;31.0;44.0;18.0;17.0;5.0;4.0
293;25 Metaalproductenindustrie;2015;-6.0;-19.0;5.0;34.0;32.0;41.0;39.0;22.0;20.0;4.0;10.0
294;25 Metaalproductenindustrie;2016;23.0;1.0;21.0;33.0;31.0;47.0;52.0;15.0;12.0;5.0;5.0
295;25 Metaalproductenindustrie;2017;3.0;-12.0;-7.0;33.0;36.0;42.0;45.0;17.0;13.0;8.0;6.0
296;25 Metaalproductenindustrie;2018;-2.0;3.0;11.0;39.0;39.0;37.0;39.0;17.0;15.0;7.0;7.0
297;25 Metaalproductenindustrie;2019;2.0;-17.0;-5.0;34.0;32.0;44.0;51.0;15.0;12.0;7.0;5.0
298;25 Metaalproductenindustrie;2020;-19.0;-27.0;-24.0;36.0;35.0;39.0;45.0;19.0;14.0;6.0;6.0
299;25 Metaalproductenindustrie;2021;-15.0;-18.0;;36.0;;38.0;;19.0;;7.0;
300;26-28 Elektrotechn. en machine-industrie;2010;;;-7.0;;22.0;;41.0;;12.0;;25.0
301;26-28 Elektrotechn. en machine-industrie;2011;17.0;21.0;57.0;26.0;29.0;42.0;38.0;14.0;15.0;18.0;19.0
302;26-28 Elektrotechn. en machine-industrie;2012;-15.0;-15.0;-14.0;33.0;26.0;36.0;44.0;15.0;13.0;15.0;18.0
303;26-28 Elektrotechn. en machine-industrie;2013;3.0;3.0;-36.0;26.0;36.0;44.0;28.0;13.0;16.0;17.0;21.0
304;26-28 Elektrotechn. en machine-industrie;2014;-7.0;39.0;26.0;35.0;41.0;28.0;39.0;21.0;15.0;17.0;6.0
305;26-28 Elektrotechn. en machine-industrie;2015;8.0;54.0;6.0;33.0;33.0;42.0;44.0;20.0;16.0;5.0;6.0
306;26-28 Elektrotechn. en machine-industrie;2016;3.0;-21.0;4.0;40.0;36.0;38.0;37.0;17.0;19.0;5.0;8.0
307;26-28 Elektrotechn. en machine-industrie;2017;12.0;8.0;6.0;36.0;31.0;42.0;41.0;16.0;22.0;7.0;6.0
308;26-28 Elektrotechn. en machine-industrie;2018;32.0;36.0;47.0;32.0;28.0;40.0;42.0;21.0;22.0;7.0;8.0
309;26-28 Elektrotechn. en machine-industrie;2019;7.0;32.0;43.0;29.0;29.0;41.0;54.0;22.0;10.0;8.0;7.0
310;26-28 Elektrotechn. en machine-industrie;2020;1.0;1.0;-13.0;26.0;27.0;57.0;49.0;12.0;16.0;5.0;8.0
311;26-28 Elektrotechn. en machine-industrie;2021;6.0;8.0;;27.0;;46.0;;20.0;;7.0;
312;26 Elektrotechnische industrie;2010;;;-40.0;;38.0;;25.0;;14.0;;23.0
313;26 Elektrotechnische industrie;2011;15.0;15.0;68.0;45.0;38.0;24.0;32.0;15.0;12.0;17.0;18.0
314;26 Elektrotechnische industrie;2012;-5.0;10.0;-6.0;30.0;36.0;47.0;38.0;11.0;12.0;12.0;14.0
315;26 Elektrotechnische industrie;2013;7.0;39.0;76.0;37.0;43.0;32.0;21.0;13.0;14.0;18.0;22.0
316;26 Elektrotechnische industrie;2014;-34.0;20.0;-15.0;33.0;61.0;26.0;24.0;29.0;11.0;12.0;4.0
317;26 Elektrotechnische industrie;2015;-5.0;33.0;-3.0;38.0;29.0;40.0;56.0;18.0;9.0;4.0;5.0
318;26 Elektrotechnische industrie;2016;-24.0;-23.0;3.0;36.0;34.0;42.0;47.0;16.0;13.0;6.0;6.0
319;26 Elektrotechnische industrie;2017;8.0;-17.0;40.0;33.0;42.0;47.0;36.0;13.0;17.0;7.0;5.0
320;26 Elektrotechnische industrie;2018;15.0;17.0;29.0;36.0;30.0;39.0;54.0;22.0;10.0;3.0;6.0
321;26 Elektrotechnische industrie;2019;3.0;20.0;25.0;30.0;36.0;53.0;48.0;12.0;13.0;5.0;3.0
322;26 Elektrotechnische industrie;2020;12.0;17.0;21.0;34.0;25.0;50.0;38.0;11.0;17.0;4.0;20.0
323;26 Elektrotechnische industrie;2021;-3.0;33.0;;31.0;;33.0;;19.0;;17.0;
324;27 Elektrische apparatenindustrie;2010;;;-8.0;;19.0;;26.0;;7.0;;48.0
325;27 Elektrische apparatenindustrie;2011;0.0;53.0;14.0;28.0;16.0;21.0;21.0;10.0;12.0;42.0;51.0
326;27 Elektrische apparatenindustrie;2012;13.0;11.0;1.0;21.0;17.0;24.0;19.0;11.0;11.0;45.0;53.0
327;27 Elektrische apparatenindustrie;2013;2.0;-3.0;-29.0;21.0;20.0;21.0;15.0;8.0;9.0;50.0;56.0
328;27 Elektrische apparatenindustrie;2014;-4.0;-3.0;66.0;19.0;47.0;16.0;23.0;8.0;22.0;56.0;8.0
329;27 Elektrische apparatenindustrie;2015;49.0;-2.0;17.0;37.0;45.0;38.0;34.0;21.0;13.0;3.0;8.0
330;27 Elektrische apparatenindustrie;2016;-2.0;25.0;29.0;47.0;31.0;28.0;42.0;17.0;22.0;8.0;6.0
331;27 Elektrische apparatenindustrie;2017;-9.0;5.0;29.0;30.0;37.0;46.0;34.0;18.0;19.0;5.0;10.0
332;27 Elektrische apparatenindustrie;2018;24.0;1.0;0.0;32.0;32.0;51.0;43.0;11.0;15.0;6.0;10.0
333;27 Elektrische apparatenindustrie;2019;17.0;15.0;35.0;26.0;43.0;49.0;27.0;16.0;15.0;9.0;15.0
334;27 Elektrische apparatenindustrie;2020;50.0;-21.0;-12.0;28.0;32.0;38.0;42.0;28.0;16.0;6.0;10.0
335;27 Elektrische apparatenindustrie;2021;19.0;-14.0;;31.0;;46.0;;14.0;;10.0;
336;28 Machine-industrie;2010;;;0.0;;21.0;;47.0;;12.0;;21.0
337;28 Machine-industrie;2011;22.0;17.0;63.0;23.0;29.0;49.0;40.0;14.0;16.0;14.0;15.0
338;28 Machine-industrie;2012;-20.0;-20.0;-17.0;36.0;25.0;37.0;49.0;17.0;13.0;11.0;13.0
339;28 Machine-industrie;2013;3.0;-1.0;-54.0;26.0;37.0;49.0;37.0;14.0;19.0;12.0;7.0
340;28 Machine-industrie;2014;6.0;49.0;36.0;40.0;34.0;32.0;45.0;22.0;15.0;6.0;6.0
341;28 Machine-industrie;2015;6.0;67.0;7.0;32.0;31.0;43.0;43.0;20.0;20.0;5.0;6.0
342;28 Machine-industrie;2016;14.0;-28.0;-2.0;39.0;39.0;39.0;31.0;17.0;20.0;5.0;10.0
343;28 Machine-industrie;2017;21.0;13.0;-3.0;38.0;28.0;38.0;43.0;17.0;23.0;7.0;6.0
344;28 Machine-industrie;2018;37.0;49.0;63.0;31.0;27.0;40.0;40.0;22.0;25.0;7.0;8.0
345;28 Machine-industrie;2019;7.0;38.0;46.0;29.0;27.0;39.0;57.0;24.0;9.0;8.0;6.0
346;28 Machine-industrie;2020;-4.0;2.0;-18.0;25.0;27.0;60.0;53.0;9.0;16.0;5.0;5.0
347;28 Machine-industrie;2021;6.0;9.0;;25.0;;48.0;;22.0;;5.0;
348;29-30 Transportmiddelenindustrie;2010;;;-24.0;;36.0;;33.0;;20.0;;11.0
349;29-30 Transportmiddelenindustrie;2011;83.0;111.0;46.0;21.0;17.0;31.0;24.0;37.0;55.0;11.0;4.0
350;29-30 Transportmiddelenindustrie;2012;-2.0;-5.0;32.0;17.0;14.0;67.0;23.0;11.0;58.0;4.0;4.0
351;29-30 Transportmiddelenindustrie;2013;-5.0;7.0;87.0;12.0;33.0;29.0;31.0;54.0;32.0;5.0;5.0
352;29-30 Transportmiddelenindustrie;2014;-31.0;-12.0;-29.0;34.0;33.0;35.0;32.0;26.0;28.0;5.0;6.0
353;29-30 Transportmiddelenindustrie;2015;16.0;22.0;22.0;33.0;31.0;25.0;41.0;35.0;25.0;7.0;3.0
354;29-30 Transportmiddelenindustrie;2016;2.0;9.0;-3.0;27.0;25.0;40.0;47.0;30.0;20.0;3.0;8.0
355;29-30 Transportmiddelenindustrie;2017;23.0;54.0;74.0;22.0;18.0;56.0;58.0;16.0;18.0;6.0;6.0
356;29-30 Transportmiddelenindustrie;2018;-21.0;-2.0;-20.0;22.0;25.0;45.0;42.0;27.0;30.0;6.0;3.0
357;29-30 Transportmiddelenindustrie;2019;0.0;18.0;6.0;26.0;32.0;34.0;37.0;36.0;24.0;4.0;7.0
358;29-30 Transportmiddelenindustrie;2020;-4.0;1.0;-28.0;31.0;31.0;38.0;39.0;22.0;23.0;8.0;7.0
359;29-30 Transportmiddelenindustrie;2021;38.0;89.0;;27.0;;34.0;;33.0;;5.0;
360;29 Auto- en aanhangwagenindustrie;2010;;;-31.0;;25.0;;36.0;;26.0;;13.0
361;29 Auto- en aanhangwagenindustrie;2011;;;;12.0;9.0;33.0;20.0;50.0;66.0;6.0;5.0
362;29 Auto- en aanhangwagenindustrie;2012;;-7.0;31.0;11.0;9.0;73.0;22.0;10.0;65.0;5.0;4.0
363;29 Auto- en aanhangwagenindustrie;2013;-3.0;26.0;99.0;8.0;27.0;29.0;28.0;58.0;40.0;5.0;6.0
364;29 Auto- en aanhangwagenindustrie;2014;-39.0;-21.0;-40.0;27.0;26.0;35.0;34.0;33.0;33.0;5.0;6.0
365;29 Auto- en aanhangwagenindustrie;2015;20.0;32.0;29.0;24.0;22.0;23.0;48.0;46.0;28.0;8.0;3.0
366;29 Auto- en aanhangwagenindustrie;2016;7.0;4.0;-5.0;16.0;24.0;43.0;45.0;37.0;24.0;4.0;8.0
367;29 Auto- en aanhangwagenindustrie;2017;25.0;73.0;98.0;21.0;16.0;55.0;59.0;18.0;19.0;5.0;6.0
368;29 Auto- en aanhangwagenindustrie;2018;-28.0;-5.0;-37.0;17.0;29.0;46.0;36.0;30.0;31.0;7.0;4.0
369;29 Auto- en aanhangwagenindustrie;2019;4.0;8.0;-10.0;25.0;26.0;31.0;34.0;39.0;32.0;5.0;7.0
370;29 Auto- en aanhangwagenindustrie;2020;1.0;31.0;24.0;30.0;31.0;37.0;34.0;25.0;28.0;8.0;7.0
371;29 Auto- en aanhangwagenindustrie;2021;69.0;124.0;;24.0;;34.0;;36.0;;5.0;
372;30 Overige transportmiddelenindustrie;2010;;;-15.0;;45.0;;31.0;;14.0;;10.0
373;30 Overige transportmiddelenindustrie;2011;;;;39.0;48.0;27.0;39.0;12.0;11.0;23.0;2.0
374;30 Overige transportmiddelenindustrie;2012;;4.0;41.0;45.0;48.0;39.0;33.0;14.0;14.0;2.0;4.0
375;30 Overige transportmiddelenindustrie;2013;-22.0;-12.0;64.0;52.0;47.0;29.0;36.0;14.0;12.0;4.0;4.0
376;30 Overige transportmiddelenindustrie;2014;-14.0;19.0;12.0;47.0;55.0;33.0;27.0;14.0;13.0;5.0;4.0
377;30 Overige transportmiddelenindustrie;2015;9.0;-4.0;7.0;52.0;59.0;31.0;22.0;11.0;15.0;5.0;4.0
378;30 Overige transportmiddelenindustrie;2016;-10.0;24.0;4.0;59.0;28.0;29.0;51.0;10.0;11.0;2.0;9.0
379;30 Overige transportmiddelenindustrie;2017;19.0;11.0;14.0;23.0;27.0;58.0;54.0;12.0;14.0;7.0;5.0
380;30 Overige transportmiddelenindustrie;2018;12.0;14.0;34.0;37.0;19.0;38.0;49.0;20.0;30.0;5.0;2.0
381;30 Overige transportmiddelenindustrie;2019;-6.0;42.0;40.0;27.0;39.0;38.0;41.0;32.0;13.0;3.0;6.0
382;30 Overige transportmiddelenindustrie;2020;-12.0;-27.0;-58.0;34.0;31.0;40.0;48.0;18.0;15.0;9.0;6.0
383;30 Overige transportmiddelenindustrie;2021;-14.0;27.0;;37.0;;36.0;;22.0;;5.0;
384;31-33 Overige industrie en reparatie;2010;;;-13.0;;57.0;;27.0;;12.0;;4.0
385;31-33 Overige industrie en reparatie;2011;6.0;-1.0;;62.0;;21.0;;14.0;;3.0;
386;31-33 Overige industrie en reparatie;2012;;;;;;;;;;;
387;31-33 Overige industrie en reparatie;2013;;;;;;;;;;;
388;31-33 Overige industrie en reparatie;2014;;;;;;;;;;;
389;31-33 Overige industrie en reparatie;2015;;;8.0;;74.0;;17.0;;6.0;;3.0
390;31-33 Overige industrie en reparatie;2016;16.0;0.0;-6.0;65.0;76.0;22.0;14.0;9.0;7.0;4.0;3.0
391;31-33 Overige industrie en reparatie;2017;5.0;-3.0;7.0;74.0;76.0;17.0;15.0;6.0;7.0;3.0;2.0
392;31-33 Overige industrie en reparatie;2018;-7.0;-6.0;16.0;74.0;47.0;16.0;34.0;7.0;13.0;3.0;6.0
393;31-33 Overige industrie en reparatie;2019;-4.0;-2.0;4.0;45.0;40.0;34.0;32.0;15.0;18.0;6.0;10.0
394;31-33 Overige industrie en reparatie;2020;-5.0;-43.0;-44.0;39.0;40.0;27.0;33.0;14.0;14.0;20.0;13.0
395;31-33 Overige industrie en reparatie;2021;2.0;-2.0;;43.0;;24.0;;19.0;;14.0;
396;22, 31-32 Overige industrie;2010;;;-21.0;;48.0;;34.0;;14.0;;4.0
397;22, 31-32 Overige industrie;2011;1.0;2.0;18.0;57.0;50.0;25.0;33.0;14.0;11.0;4.0;6.0
398;22, 31-32 Overige industrie;2012;0.0;3.0;2.0;65.0;54.0;20.0;27.0;11.0;15.0;4.0;4.0
399;22, 31-32 Overige industrie;2013;9.0;21.0;2.0;52.0;50.0;20.0;29.0;19.0;16.0;9.0;4.0
400;22, 31-32 Overige industrie;2014;21.0;-9.0;14.0;49.0;51.0;31.0;37.0;17.0;9.0;3.0;3.0
401;22, 31-32 Overige industrie;2015;-11.0;4.0;;45.0;;34.0;;18.0;;4.0;
402;22, 31-32 Overige industrie;2016;;;;;;;;;;;
403;22, 31-32 Overige industrie;2017;;;;;;;;;;;
404;22, 31-32 Overige industrie;2018;;;;;;;;;;;
405;22, 31-32 Overige industrie;2019;;;;;;;;;;;
406;22, 31-32 Overige industrie;2020;;;;;;;;;;;
407;22, 31-32 Overige industrie;2021;;;;;;;;;;;
408;31 Meubelindustrie;2010;;;-54.0;;46.0;;37.0;;13.0;;4.0
409;31 Meubelindustrie;2011;11.0;6.0;20.0;42.0;36.0;33.0;37.0;16.0;12.0;9.0;15.0
410;31 Meubelindustrie;2012;5.0;4.0;18.0;49.0;39.0;28.0;32.0;15.0;19.0;8.0;9.0
411;31 Meubelindustrie;2013;-14.0;13.0;45.0;37.0;42.0;10.0;34.0;45.0;17.0;7.0;6.0
412;31 Meubelindustrie;2014;45.0;-26.0;5.0;42.0;32.0;35.0;55.0;20.0;10.0;3.0;3.0
413;31 Meubelindustrie;2015;-19.0;18.0;-10.0;46.0;39.0;26.0;47.0;26.0;7.0;2.0;8.0
414;31 Meubelindustrie;2016;3.0;7.0;21.0;48.0;40.0;30.0;31.0;13.0;17.0;8.0;13.0
415;31 Meubelindustrie;2017;1.0;20.0;;38.0;28.0;31.0;46.0;18.0;21.0;13.0;5.0
416;31 Meubelindustrie;2018;9.0;-15.0;48.0;38.0;42.0;39.0;36.0;15.0;18.0;8.0;4.0
417;31 Meubelindustrie;2019;-24.0;10.0;25.0;49.0;40.0;28.0;41.0;17.0;12.0;6.0;7.0
418;31 Meubelindustrie;2020;-24.0;-6.0;-12.0;41.0;34.0;31.0;42.0;20.0;12.0;8.0;12.0
419;31 Meubelindustrie;2021;-12.0;9.0;;44.0;;34.0;;14.0;;8.0;
420;32 Overige industrie;2010;;;-6.0;;49.0;;34.0;;14.0;;3.0
421;32 Overige industrie;2011;-1.0;0.0;17.0;61.0;54.0;23.0;32.0;13.0;11.0;2.0;3.0
422;32 Overige industrie;2012;-2.0;2.0;-4.0;71.0;60.0;17.0;25.0;9.0;13.0;2.0;2.0
423;32 Overige industrie;2013;19.0;24.0;-13.0;57.0;56.0;23.0;26.0;11.0;15.0;9.0;3.0
424;32 Overige industrie;2014;7.0;1.0;25.0;56.0;64.0;27.0;23.0;15.0;9.0;3.0;3.0
425;32 Overige industrie;2015;-4.0;-3.0;33.0;44.0;67.0;40.0;18.0;11.0;11.0;5.0;4.0
426;32 Overige industrie;2016;21.0;-5.0;-11.0;55.0;61.0;25.0;22.0;13.0;12.0;7.0;5.0
427;32 Overige industrie;2017;-18.0;19.0;9.0;53.0;50.0;29.0;26.0;15.0;20.0;2.0;4.0
428;32 Overige industrie;2018;5.0;24.0;6.0;46.0;53.0;29.0;24.0;20.0;14.0;5.0;9.0
429;32 Overige industrie;2019;11.0;60.0;81.0;47.0;37.0;27.0;30.0;18.0;23.0;8.0;10.0
430;32 Overige industrie;2020;0.0;-13.0;50.0;30.0;40.0;24.0;35.0;12.0;10.0;34.0;15.0
431;32 Overige industrie;2021;-20.0;156.0;;38.0;;23.0;;14.0;;25.0;
432;33 Reparatie en installatie van machines;2010;;;5.0;;72.0;;15.0;;9.0;;4.0
433;33 Reparatie en installatie van machines;2011;13.0;-2.0;-13.0;69.0;82.0;15.0;10.0;14.0;7.0;3.0;0.0
434;33 Reparatie en installatie van machines;2012;10.0;45.0;17.0;85.0;89.0;9.0;6.0;5.0;4.0;1.0;1.0
435;33 Reparatie en installatie van machines;2013;2.0;12.0;24.0;90.0;82.0;6.0;12.0;4.0;4.0;1.0;1.0
436;33 Reparatie en installatie van machines;2014;19.0;16.0;-3.0;83.0;76.0;13.0;7.0;3.0;16.0;1.0;1.0
437;33 Reparatie en installatie van machines;2015;32.0;1.0;4.0;71.0;81.0;11.0;12.0;17.0;4.0;1.0;2.0
438;33 Reparatie en installatie van machines;2016;16.0;0.0;-8.0;72.0;86.0;20.0;10.0;6.0;3.0;2.0;1.0
439;33 Reparatie en installatie van machines;2017;11.0;-10.0;;84.0;91.0;13.0;7.0;2.0;2.0;1.0;0.0
440;33 Reparatie en installatie van machines;2018;-12.0;-10.0;7.0;88.0;47.0;9.0;40.0;2.0;9.0;1.0;4.0
441;33 Reparatie en installatie van machines;2019;-2.0;-39.0;-42.0;42.0;44.0;44.0;29.0;10.0;16.0;4.0;11.0
442;33 Reparatie en installatie van machines;2020;4.0;-56.0;-73.0;51.0;44.0;30.0;25.0;14.0;21.0;5.0;10.0
443;33 Reparatie en installatie van machines;2021;39.0;-45.0;;47.0;;20.0;;26.0;;7.0;
444;24-30, 33 Metalektro;2010;;;-29.0;;35.0;;34.0;;14.0;;17.0
445;24-30, 33 Metalektro;2011;16.0;24.0;32.0;35.0;35.0;35.0;32.0;17.0;22.0;13.0;11.0
446;24-30, 33 Metalektro;2012;-9.0;-1.0;2.0;39.0;34.0;38.0;33.0;13.0;23.0;10.0;10.0
447;24-30, 33 Metalektro;2013;-1.0;3.0;-8.0;34.0;45.0;34.0;28.0;23.0;17.0;9.0;10.0
448;24-30, 33 Metalektro;2014;-4.0;14.0;8.0;50.0;48.0;26.0;31.0;16.0;17.0;8.0;4.0
449;24-30, 33 Metalektro;2015;10.0;25.0;9.0;43.0;43.0;32.0;35.0;21.0;16.0;4.0;6.0
450;24-30, 33 Metalektro;2016;9.0;-12.0;11.0;41.0;42.0;38.0;39.0;16.0;14.0;5.0;6.0
451;24-30, 33 Metalektro;2017;10.0;5.0;15.0;42.0;42.0;38.0;35.0;14.0;18.0;6.0;5.0
452;24-30, 33 Metalektro;2018;1.0;9.0;21.0;41.0;33.0;33.0;38.0;19.0;20.0;7.0;9.0
453;24-30, 33 Metalektro;2019;3.0;9.0;14.0;32.0;32.0;38.0;49.0;21.0;12.0;9.0;8.0
454;24-30, 33 Metalektro;2020;-3.0;-15.0;-25.0;33.0;35.0;46.0;40.0;13.0;16.0;8.0;8.0
455;24-30, 33 Metalektro;2021;6.0;5.0;;34.0;;36.0;;21.0;;8.0;
