ID;HerkomstBestemming;Perioden;CO2_1;N2O_2;CH4_3;BroeikasgasEquivalent_4;NOx_5;SO2_6;NH3_7;ZuurEquivalent_8;CFK12Equivalent_9;CO_10;NMVOS_11;PM10_12;FijnStofEquivalent_13
186;C Industrie;2008;44888.0;3.5;16.5;47340.0;43.3;40.2;2.0;2.3;0.0;155.5;45.7;8.8;8.8
187;C Industrie;2009;41037.0;3.7;16.0;43505.0;36.4;28.0;1.8;1.8;0.0;120.0;40.9;8.0;8.0
188;C Industrie;2010;44063.0;3.3;17.0;46709.0;37.9;24.9;1.7;1.7;0.0;128.6;42.8;7.9;7.9
189;C Industrie;2011;42408.0;3.7;16.8;44891.0;37.6;25.3;1.9;1.7;0.0;116.6;42.7;7.8;7.8
190;C Industrie;2012;42412.0;3.7;16.9;44886.0;35.9;24.3;1.6;1.6;0.0;109.2;42.4;7.2;7.2
191;C Industrie;2013;41514.0;4.2;16.1;44150.0;33.6;19.9;1.6;1.5;0.0;109.1;39.3;7.1;7.1
192;10-12 Voedings-, genotmiddelenindustrie;1990;4298.0;0.0;0.6;4315.0;8.7;1.9;0.2;0.3;286.7;6.9;8.1;4.6;4.6
193;10-12 Voedings-, genotmiddelenindustrie;1991;4066.0;0.0;0.6;4083.0;6.7;1.1;0.3;0.2;253.0;7.1;8.0;4.1;4.1
194;10-12 Voedings-, genotmiddelenindustrie;1992;4418.0;0.0;0.7;4437.0;7.8;1.3;0.3;0.2;219.3;7.3;7.9;3.6;3.6
195;10-12 Voedings-, genotmiddelenindustrie;1993;4377.0;0.0;0.7;4396.0;7.7;1.6;0.3;0.2;185.6;7.6;7.7;3.0;3.0
196;10-12 Voedings-, genotmiddelenindustrie;1994;4285.0;0.0;0.7;4304.0;6.8;0.9;0.4;0.2;151.8;7.8;7.6;2.5;2.5
197;10-12 Voedings-, genotmiddelenindustrie;1995;4303.0;0.0;0.8;4349.0;6.4;1.2;0.3;0.2;118.1;8.0;7.6;2.5;2.5
198;10-12 Voedings-, genotmiddelenindustrie;1996;4606.0;0.0;0.8;4659.0;6.4;0.9;0.3;0.2;89.1;8.5;6.5;2.2;2.2
199;10-12 Voedings-, genotmiddelenindustrie;1997;4402.0;0.0;0.8;4458.0;4.3;0.4;0.2;0.1;60.1;4.5;6.1;2.0;2.0
200;10-12 Voedings-, genotmiddelenindustrie;1998;4520.0;0.0;0.9;4578.0;4.3;0.6;0.3;0.1;31.0;4.6;6.9;1.9;1.9
201;10-12 Voedings-, genotmiddelenindustrie;1999;4821.0;0.0;1.0;4866.0;4.6;0.5;0.3;0.1;2.0;5.2;6.3;2.1;2.1
202;10-12 Voedings-, genotmiddelenindustrie;2000;4561.0;0.0;0.9;4742.0;4.4;0.5;0.2;0.1;1.7;4.1;6.9;2.1;2.1
203;10-12 Voedings-, genotmiddelenindustrie;2001;4369.0;0.0;0.9;4604.0;4.2;1.1;0.4;0.1;1.1;5.0;6.3;2.0;2.0
204;10-12 Voedings-, genotmiddelenindustrie;2002;4473.0;0.0;1.0;4758.0;4.1;0.8;0.4;0.1;0.5;5.0;5.6;2.1;2.1
205;10-12 Voedings-, genotmiddelenindustrie;2003;4332.0;0.0;1.0;4671.0;3.3;0.4;0.5;0.1;0.1;3.7;5.5;2.0;2.0
206;10-12 Voedings-, genotmiddelenindustrie;2004;4262.0;0.0;0.9;4652.0;4.0;0.5;0.5;0.1;0.0;5.5;5.7;2.0;2.0
207;10-12 Voedings-, genotmiddelenindustrie;2005;4140.0;0.0;0.9;4580.0;4.0;0.4;0.4;0.1;0.0;5.7;6.1;2.1;2.1
208;10-12 Voedings-, genotmiddelenindustrie;2006;3974.0;0.0;0.9;4459.0;4.0;0.6;0.3;0.1;0.0;4.5;5.8;2.0;2.0
209;10-12 Voedings-, genotmiddelenindustrie;2007;4044.0;0.0;0.8;4572.0;3.9;0.5;0.3;0.1;0.0;4.8;6.3;2.0;2.0
210;10-12 Voedings-, genotmiddelenindustrie;2008;3825.0;0.0;0.8;4389.0;3.7;0.7;0.4;0.1;0.0;4.6;6.1;2.0;2.0
211;10-12 Voedings-, genotmiddelenindustrie;2009;3494.0;0.0;0.8;4081.0;3.3;0.5;0.4;0.1;0.0;4.5;5.8;1.9;1.9
212;10-12 Voedings-, genotmiddelenindustrie;2010;3706.0;0.0;0.8;4305.0;3.3;0.5;0.5;0.1;0.0;4.4;5.9;1.9;1.9
213;10-12 Voedings-, genotmiddelenindustrie;2011;3631.0;0.0;0.8;4241.0;3.2;0.4;0.5;0.1;0.0;4.6;6.1;1.9;1.9
214;10-12 Voedings-, genotmiddelenindustrie;2012;3676.0;0.0;0.7;4297.0;3.1;0.5;0.4;0.1;0.0;4.0;5.5;1.9;1.9
215;10-12 Voedings-, genotmiddelenindustrie;2013;3603.0;0.0;0.7;4237.0;3.0;0.4;0.4;0.1;0.0;4.0;4.7;1.9;1.9
216;13-15 Textiel-, kleding-, lederindustrie;1990;304.0;0.0;0.0;305.0;0.8;0.8;0.0;0.0;0.0;0.4;2.6;0.3;0.3
217;13-15 Textiel-, kleding-, lederindustrie;1991;287.0;0.0;0.0;288.0;0.7;0.4;0.0;0.0;0.0;0.4;2.2;0.3;0.3
218;13-15 Textiel-, kleding-, lederindustrie;1992;312.0;0.0;0.0;313.0;0.5;0.2;0.0;0.0;0.0;0.3;1.8;0.2;0.2
219;13-15 Textiel-, kleding-, lederindustrie;1993;309.0;0.0;0.0;310.0;0.5;0.1;0.0;0.0;0.0;0.3;1.5;0.2;0.2
220;13-15 Textiel-, kleding-, lederindustrie;1994;303.0;0.0;0.0;304.0;0.5;0.0;0.0;0.0;0.0;0.3;1.1;0.2;0.2
221;13-15 Textiel-, kleding-, lederindustrie;1995;405.0;0.0;0.0;406.0;0.5;0.0;0.0;0.0;0.0;0.3;0.8;0.1;0.1
222;13-15 Textiel-, kleding-, lederindustrie;1996;414.0;0.0;0.0;415.0;0.5;0.0;0.0;0.0;0.0;0.3;0.9;0.0;0.0
223;13-15 Textiel-, kleding-, lederindustrie;1997;414.0;0.0;0.0;415.0;0.5;0.0;0.0;0.0;0.0;0.2;0.6;0.0;0.0
224;13-15 Textiel-, kleding-, lederindustrie;1998;430.0;0.0;0.0;431.0;0.4;0.0;0.0;0.0;0.0;0.2;0.6;0.0;0.0
225;13-15 Textiel-, kleding-, lederindustrie;1999;349.0;0.0;0.0;350.0;0.4;0.0;0.0;0.0;0.0;0.2;0.6;0.0;0.0
226;13-15 Textiel-, kleding-, lederindustrie;2000;387.0;0.0;0.0;388.0;0.4;0.0;0.0;0.0;0.0;0.2;0.6;0.1;0.1
227;13-15 Textiel-, kleding-, lederindustrie;2001;314.0;0.0;0.0;315.0;0.3;0.0;0.0;0.0;0.0;0.2;0.6;0.1;0.1
228;13-15 Textiel-, kleding-, lederindustrie;2002;304.0;0.0;0.0;305.0;0.3;0.0;0.0;0.0;0.0;0.1;0.6;0.1;0.1
229;13-15 Textiel-, kleding-, lederindustrie;2003;304.0;0.0;0.0;305.0;0.3;0.0;0.0;0.0;0.0;0.1;0.5;0.1;0.1
230;13-15 Textiel-, kleding-, lederindustrie;2004;267.0;0.0;0.0;268.0;0.3;0.0;0.0;0.0;0.0;0.1;0.5;0.1;0.1
231;13-15 Textiel-, kleding-, lederindustrie;2005;227.0;0.0;0.0;228.0;0.3;0.0;0.0;0.0;0.0;0.1;0.6;0.1;0.1
232;13-15 Textiel-, kleding-, lederindustrie;2006;200.0;0.0;0.0;200.0;0.2;0.0;0.0;0.0;0.0;0.1;0.6;0.1;0.1
233;13-15 Textiel-, kleding-, lederindustrie;2007;208.0;0.0;0.0;209.0;0.2;0.0;0.0;0.0;0.0;0.1;0.6;0.1;0.1
234;13-15 Textiel-, kleding-, lederindustrie;2008;203.0;0.0;0.0;204.0;0.2;0.0;0.0;0.0;0.0;0.1;0.6;0.1;0.1
235;13-15 Textiel-, kleding-, lederindustrie;2009;191.0;0.0;0.0;192.0;0.2;0.0;0.0;0.0;0.0;0.1;0.4;0.1;0.1
236;13-15 Textiel-, kleding-, lederindustrie;2010;211.0;0.0;0.0;212.0;0.2;0.0;0.0;0.0;0.0;0.1;0.5;0.1;0.1
237;13-15 Textiel-, kleding-, lederindustrie;2011;181.0;0.0;0.0;182.0;0.2;0.0;0.0;0.0;0.0;0.1;0.5;0.1;0.1
238;13-15 Textiel-, kleding-, lederindustrie;2012;191.0;0.0;0.0;192.0;0.2;0.0;0.0;0.0;0.0;0.1;0.5;0.1;0.1
239;13-15 Textiel-, kleding-, lederindustrie;2013;187.0;0.0;0.0;187.0;0.2;0.0;0.0;0.0;0.0;0.1;0.5;0.1;0.1
240;16-18 Hout-, papier-, grafische industr.;1990;1905.0;0.0;0.2;1912.0;3.5;0.3;0.1;0.1;50.1;1.6;21.0;0.9;0.9
241;16-18 Hout-, papier-, grafische industr.;1991;1889.0;0.0;0.2;1896.0;3.9;0.3;0.1;0.1;40.1;1.7;20.2;0.9;0.9
242;16-18 Hout-, papier-, grafische industr.;1992;1870.0;0.0;0.2;1878.0;3.4;0.1;0.1;0.1;30.1;1.9;19.4;0.9;0.9
243;16-18 Hout-, papier-, grafische industr.;1993;1874.0;0.0;0.2;1881.0;3.4;0.2;0.1;0.1;20.1;2.0;18.5;0.9;0.9
244;16-18 Hout-, papier-, grafische industr.;1994;1858.0;0.0;0.2;1866.0;3.1;0.1;0.1;0.1;10.0;2.1;17.7;0.9;0.9
245;16-18 Hout-, papier-, grafische industr.;1995;1605.0;0.0;0.2;1612.0;3.1;0.1;0.1;0.1;0.0;2.2;17.0;0.9;0.9
246;16-18 Hout-, papier-, grafische industr.;1996;1742.0;0.0;0.2;1750.0;2.5;0.1;0.0;0.1;0.0;2.0;14.8;0.0;0.0
247;16-18 Hout-, papier-, grafische industr.;1997;1774.0;0.0;0.2;1782.0;2.5;0.1;0.1;0.1;0.0;1.7;14.6;0.0;0.0
248;16-18 Hout-, papier-, grafische industr.;1998;1759.0;0.0;0.2;1767.0;2.2;0.1;0.1;0.1;0.0;2.2;16.5;0.0;0.0
249;16-18 Hout-, papier-, grafische industr.;1999;1792.0;0.0;0.2;1800.0;1.6;0.1;0.0;0.0;0.0;1.4;14.5;0.0;0.0
250;16-18 Hout-, papier-, grafische industr.;2000;1842.0;0.0;0.2;1849.0;2.6;0.1;0.1;0.1;0.0;1.9;14.1;0.8;0.8
251;16-18 Hout-, papier-, grafische industr.;2001;1695.0;0.0;0.2;1702.0;2.3;0.0;0.1;0.1;0.0;1.8;10.8;0.8;0.8
252;16-18 Hout-, papier-, grafische industr.;2002;1726.0;0.0;0.2;1733.0;2.4;0.1;0.0;0.1;0.1;2.7;10.8;0.8;0.8
253;16-18 Hout-, papier-, grafische industr.;2003;1686.0;0.0;0.2;1694.0;2.5;0.1;0.0;0.1;0.0;2.6;8.4;0.7;0.7
254;16-18 Hout-, papier-, grafische industr.;2004;1674.0;0.0;0.2;1681.0;2.4;0.1;0.0;0.1;0.0;2.7;7.7;0.7;0.7
255;16-18 Hout-, papier-, grafische industr.;2005;1911.0;0.0;0.2;1919.0;2.3;0.1;0.0;0.1;0.0;2.5;7.6;0.7;0.7
256;16-18 Hout-, papier-, grafische industr.;2006;1832.0;0.0;0.2;1839.0;2.2;0.0;0.0;0.1;0.0;2.0;6.9;0.6;0.6
257;16-18 Hout-, papier-, grafische industr.;2007;1601.0;0.0;0.2;1609.0;2.1;0.0;0.0;0.0;0.0;1.9;6.6;0.6;0.6
258;16-18 Hout-, papier-, grafische industr.;2008;1416.0;0.0;0.2;1424.0;1.9;0.0;0.0;0.0;0.0;1.8;6.2;0.6;0.6
259;16-18 Hout-, papier-, grafische industr.;2009;1310.0;0.0;0.2;1318.0;1.6;0.0;0.0;0.0;0.0;1.8;5.7;0.5;0.5
260;16-18 Hout-, papier-, grafische industr.;2010;1401.0;0.0;0.2;1409.0;1.7;0.0;0.0;0.0;0.0;1.8;5.4;0.5;0.5
261;16-18 Hout-, papier-, grafische industr.;2011;1313.0;0.0;0.2;1320.0;1.6;0.0;0.0;0.0;0.0;1.7;5.3;0.5;0.5
262;16-18 Hout-, papier-, grafische industr.;2012;1306.0;0.0;0.2;1313.0;1.6;0.0;0.0;0.0;0.0;1.8;4.8;0.5;0.5
263;16-18 Hout-, papier-, grafische industr.;2013;1223.0;0.0;0.2;1230.0;1.5;0.0;0.0;0.0;0.0;1.8;4.7;0.5;0.5
264;16 Houtindustrie;1990;114.0;0.0;0.0;116.0;0.3;0.0;0.0;0.0;0.0;0.2;4.2;0.5;0.5
265;16 Houtindustrie;1991;114.0;0.0;0.0;116.0;0.2;0.0;0.0;0.0;0.0;0.2;3.9;0.5;0.5
266;16 Houtindustrie;1992;120.0;0.0;0.0;122.0;0.2;0.0;0.0;0.0;0.0;0.2;3.6;0.5;0.5
267;16 Houtindustrie;1993;127.0;0.0;0.0;129.0;0.2;0.0;0.0;0.0;0.0;0.3;3.3;0.5;0.5
268;16 Houtindustrie;1994;133.0;0.0;0.0;135.0;0.2;0.0;0.0;0.0;0.0;0.3;3.1;0.4;0.4
269;16 Houtindustrie;1995;179.0;0.0;0.0;182.0;0.2;0.0;0.0;0.0;0.0;0.3;2.8;0.4;0.4
270;16 Houtindustrie;1996;190.0;0.0;0.0;193.0;0.2;0.0;0.0;0.0;0.0;0.1;2.2;0.0;0.0
271;16 Houtindustrie;1997;192.0;0.0;0.0;195.0;0.2;0.0;0.0;0.0;0.0;0.1;2.2;0.0;0.0
272;16 Houtindustrie;1998;194.0;0.0;0.0;197.0;0.2;0.0;0.0;0.0;0.0;0.5;4.1;0.0;0.0
273;16 Houtindustrie;1999;205.0;0.0;0.0;207.0;0.3;0.0;0.0;0.0;0.0;0.6;3.1;0.0;0.0
274;16 Houtindustrie;2000;237.0;0.0;0.0;240.0;0.2;0.0;0.0;0.0;0.0;0.2;3.0;0.4;0.4
275;16 Houtindustrie;2001;182.0;0.0;0.0;184.0;0.2;0.0;0.0;0.0;0.0;0.2;3.1;0.4;0.4
276;16 Houtindustrie;2002;184.0;0.0;0.0;186.0;0.1;0.0;0.0;0.0;0.0;0.1;3.1;0.4;0.4
277;16 Houtindustrie;2003;183.0;0.0;0.0;185.0;0.1;0.0;0.0;0.0;0.0;0.1;2.8;0.3;0.3
278;16 Houtindustrie;2004;170.0;0.0;0.0;172.0;0.3;0.0;0.0;0.0;0.0;0.1;2.1;0.3;0.3
279;16 Houtindustrie;2005;177.0;0.0;0.0;179.0;0.3;0.0;0.0;0.0;0.0;0.1;1.9;0.3;0.3
280;16 Houtindustrie;2006;173.0;0.0;0.0;175.0;0.3;0.0;0.0;0.0;0.0;0.1;1.9;0.3;0.3
281;16 Houtindustrie;2007;169.0;0.0;0.0;172.0;0.3;0.0;0.0;0.0;0.0;0.2;1.8;0.2;0.2
282;16 Houtindustrie;2008;170.0;0.0;0.0;172.0;0.3;0.0;0.0;0.0;0.0;0.1;1.8;0.2;0.2
283;16 Houtindustrie;2009;177.0;0.0;0.0;180.0;0.2;0.0;0.0;0.0;0.0;0.2;1.7;0.2;0.2
284;16 Houtindustrie;2010;170.0;0.0;0.0;172.0;0.2;0.0;0.0;0.0;0.0;0.2;1.6;0.2;0.2
285;16 Houtindustrie;2011;171.0;0.0;0.0;173.0;0.2;0.0;0.0;0.0;0.0;0.2;1.6;0.2;0.2
286;16 Houtindustrie;2012;168.0;0.0;0.0;170.0;0.2;0.0;0.0;0.0;0.0;0.1;1.5;0.2;0.2
287;16 Houtindustrie;2013;159.0;0.0;0.0;162.0;0.2;0.0;0.0;0.0;0.0;0.1;1.5;0.2;0.2
288;17 Papierindustrie;1990;1568.0;0.0;0.2;1572.0;3.0;0.2;0.1;0.1;0.0;1.1;3.8;0.4;0.4
289;17 Papierindustrie;1991;1555.0;0.0;0.2;1559.0;3.3;0.2;0.1;0.1;0.0;1.2;3.2;0.4;0.4
290;17 Papierindustrie;1992;1531.0;0.0;0.2;1536.0;2.8;0.1;0.1;0.1;0.0;1.3;2.7;0.4;0.4
291;17 Papierindustrie;1993;1529.0;0.0;0.2;1534.0;2.8;0.2;0.1;0.1;0.0;1.4;2.1;0.4;0.4
292;17 Papierindustrie;1994;1510.0;0.0;0.2;1514.0;2.5;0.1;0.1;0.1;0.0;1.5;1.5;0.4;0.4
293;17 Papierindustrie;1995;1245.0;0.0;0.2;1249.0;2.5;0.1;0.1;0.1;0.0;1.6;1.0;0.4;0.4
294;17 Papierindustrie;1996;1348.0;0.0;0.2;1352.0;1.9;0.0;0.0;0.0;0.0;1.5;0.2;0.0;0.0
295;17 Papierindustrie;1997;1382.0;0.0;0.2;1387.0;2.0;0.1;0.1;0.1;0.0;1.3;0.2;0.0;0.0
296;17 Papierindustrie;1998;1354.0;0.0;0.2;1358.0;1.7;0.0;0.1;0.0;0.0;1.4;0.1;0.0;0.0
297;17 Papierindustrie;1999;1368.0;0.0;0.2;1372.0;1.0;0.0;0.0;0.0;0.0;0.5;0.2;0.0;0.0
298;17 Papierindustrie;2000;1388.0;0.0;0.2;1393.0;2.1;0.1;0.1;0.1;0.0;1.4;0.4;0.4;0.4
299;17 Papierindustrie;2001;1297.0;0.0;0.2;1301.0;1.8;0.0;0.1;0.0;0.0;1.3;0.2;0.4;0.4
300;17 Papierindustrie;2002;1343.0;0.0;0.2;1347.0;1.9;0.1;0.0;0.0;0.1;2.2;0.5;0.4;0.4
301;17 Papierindustrie;2003;1306.0;0.0;0.2;1310.0;2.1;0.1;0.0;0.0;0.0;2.1;0.3;0.4;0.4
302;17 Papierindustrie;2004;1287.0;0.0;0.2;1291.0;1.9;0.1;0.0;0.0;0.0;2.2;0.2;0.4;0.4
303;17 Papierindustrie;2005;1535.0;0.0;0.2;1540.0;1.8;0.0;0.0;0.0;0.0;2.3;0.3;0.3;0.3
304;17 Papierindustrie;2006;1495.0;0.0;0.2;1499.0;1.7;0.0;0.0;0.0;0.0;1.7;0.5;0.3;0.3
305;17 Papierindustrie;2007;1268.0;0.0;0.2;1272.0;1.6;0.0;0.0;0.0;0.0;1.7;0.7;0.3;0.3
306;17 Papierindustrie;2008;1069.0;0.0;0.1;1073.0;1.4;0.0;0.0;0.0;0.0;1.5;0.5;0.3;0.3
307;17 Papierindustrie;2009;1028.0;0.0;0.1;1032.0;1.2;0.0;0.0;0.0;0.0;1.6;0.4;0.3;0.3
308;17 Papierindustrie;2010;1124.0;0.0;0.1;1128.0;1.3;0.0;0.0;0.0;0.0;1.6;0.5;0.3;0.3
309;17 Papierindustrie;2011;1047.0;0.0;0.2;1052.0;1.3;0.0;0.0;0.0;0.0;1.5;0.5;0.3;0.3
310;17 Papierindustrie;2012;1041.0;0.0;0.2;1046.0;1.3;0.0;0.0;0.0;0.0;1.5;0.4;0.3;0.3
311;17 Papierindustrie;2013;978.0;0.0;0.2;982.0;1.2;0.0;0.0;0.0;0.0;1.5;0.4;0.3;0.3
312;18 Grafische industrie;1990;223.0;0.0;0.0;224.0;0.3;0.0;0.0;0.0;50.1;0.3;13.1;0.0;0.0
313;18 Grafische industrie;1991;220.0;0.0;0.0;221.0;0.3;0.0;0.0;0.0;40.1;0.3;13.1;0.0;0.0
314;18 Grafische industrie;1992;218.0;0.0;0.0;219.0;0.4;0.0;0.0;0.0;30.1;0.3;13.1;0.0;0.0
315;18 Grafische industrie;1993;218.0;0.0;0.0;219.0;0.4;0.0;0.0;0.0;20.1;0.3;13.1;0.0;0.0
316;18 Grafische industrie;1994;216.0;0.0;0.0;217.0;0.4;0.0;0.0;0.0;10.0;0.3;13.1;0.0;0.0
317;18 Grafische industrie;1995;181.0;0.0;0.0;182.0;0.4;0.0;0.0;0.0;0.0;0.3;13.1;0.0;0.0
318;18 Grafische industrie;1996;204.0;0.0;0.0;205.0;0.4;0.0;0.0;0.0;0.0;0.3;12.3;0.0;0.0
319;18 Grafische industrie;1997;200.0;0.0;0.0;200.0;0.4;0.0;0.0;0.0;0.0;0.3;12.2;0.0;0.0
320;18 Grafische industrie;1998;211.0;0.0;0.0;212.0;0.4;0.0;0.0;0.0;0.0;0.3;12.3;0.0;0.0
321;18 Grafische industrie;1999;219.0;0.0;0.0;220.0;0.4;0.0;0.0;0.0;0.0;0.3;11.1;0.0;0.0
322;18 Grafische industrie;2000;216.0;0.0;0.0;217.0;0.3;0.0;0.0;0.0;0.0;0.3;10.7;0.0;0.0
323;18 Grafische industrie;2001;216.0;0.0;0.0;216.0;0.3;0.0;0.0;0.0;0.0;0.2;7.5;0.0;0.0
324;18 Grafische industrie;2002;200.0;0.0;0.0;200.0;0.3;0.0;0.0;0.0;0.0;0.4;7.2;0.0;0.0
325;18 Grafische industrie;2003;198.0;0.0;0.0;199.0;0.3;0.0;0.0;0.0;0.0;0.4;5.4;0.0;0.0
326;18 Grafische industrie;2004;216.0;0.0;0.0;217.0;0.3;0.0;0.0;0.0;0.0;0.4;5.4;0.0;0.0
327;18 Grafische industrie;2005;198.0;0.0;0.0;199.0;0.3;0.0;0.0;0.0;0.0;0.1;5.3;0.0;0.0
328;18 Grafische industrie;2006;164.0;0.0;0.0;165.0;0.2;0.0;0.0;0.0;0.0;0.1;4.6;0.0;0.0
329;18 Grafische industrie;2007;164.0;0.0;0.0;165.0;0.2;0.0;0.0;0.0;0.0;0.1;4.2;0.0;0.0
330;18 Grafische industrie;2008;177.0;0.0;0.0;178.0;0.2;0.0;0.0;0.0;0.0;0.1;3.9;0.0;0.0
331;18 Grafische industrie;2009;105.0;0.0;0.0;106.0;0.1;0.0;0.0;0.0;0.0;0.1;3.7;0.0;0.0
332;18 Grafische industrie;2010;107.0;0.0;0.0;108.0;0.1;0.0;0.0;0.0;0.0;0.1;3.4;0.0;0.0
333;18 Grafische industrie;2011;94.0;0.0;0.0;95.0;0.1;0.0;0.0;0.0;0.0;0.1;3.2;0.0;0.0
334;18 Grafische industrie;2012;96.0;0.0;0.0;97.0;0.1;0.0;0.0;0.0;0.0;0.1;2.9;0.0;0.0
335;18 Grafische industrie;2013;85.0;0.0;0.0;86.0;0.1;0.0;0.0;0.0;0.0;0.1;2.9;0.0;0.0
336;19 Aardolie-industrie;1990;11042.0;0.0;1.1;11072.0;18.9;67.2;0.0;2.5;0.0;4.9;15.9;6.5;6.5
337;19 Aardolie-industrie;1991;11065.0;0.0;1.1;11096.0;19.5;59.2;0.0;2.3;0.0;4.3;15.2;6.1;6.1
338;19 Aardolie-industrie;1992;10415.0;0.0;1.1;10444.0;17.4;59.5;0.0;2.2;0.0;3.8;14.5;5.8;5.8
339;19 Aardolie-industrie;1993;11493.0;0.0;1.2;11533.0;17.1;63.3;0.0;2.4;0.0;3.3;13.8;5.5;5.5
340;19 Aardolie-industrie;1994;11321.0;0.0;1.2;11360.0;16.7;58.9;0.0;2.2;0.0;2.8;13.1;5.1;5.1
341;19 Aardolie-industrie;1995;11701.0;0.1;1.0;11739.0;17.1;61.2;0.0;2.3;0.0;2.2;12.4;4.8;4.8
342;19 Aardolie-industrie;1996;11634.0;0.1;1.0;11672.0;16.6;55.1;0.0;2.1;0.0;2.5;13.8;5.3;5.3
343;19 Aardolie-industrie;1997;11992.0;0.0;1.0;12029.0;15.7;52.6;0.0;2.0;0.0;2.6;12.6;4.9;4.9
344;19 Aardolie-industrie;1998;12462.0;0.0;1.0;12498.0;12.4;49.6;0.0;1.8;0.0;2.1;9.8;3.4;3.4
345;19 Aardolie-industrie;1999;11594.0;0.0;0.9;11626.0;11.6;46.3;0.0;1.7;0.0;2.8;10.7;3.4;3.4
346;19 Aardolie-industrie;2000;12117.0;0.0;0.9;12148.0;10.4;33.2;0.0;1.3;0.0;2.8;14.9;3.3;3.3
347;19 Aardolie-industrie;2001;12641.0;0.0;0.9;12671.0;10.2;34.8;0.0;1.3;0.0;2.1;8.9;2.9;2.9
348;19 Aardolie-industrie;2002;11711.0;0.0;0.9;11740.0;9.9;30.4;0.0;1.2;0.0;4.5;8.1;2.4;2.4
349;19 Aardolie-industrie;2003;12328.0;0.0;0.9;12358.0;9.8;29.5;0.0;1.1;0.0;4.0;8.1;2.8;2.8
350;19 Aardolie-industrie;2004;12184.0;0.0;0.9;12216.0;9.4;32.3;0.0;1.2;0.0;3.6;7.9;2.0;2.0
351;19 Aardolie-industrie;2005;12311.0;0.0;0.9;12341.0;9.2;32.2;0.0;1.2;0.0;4.8;12.3;1.6;1.6
352;19 Aardolie-industrie;2006;11615.0;0.0;0.8;11643.0;10.1;32.4;0.0;1.2;0.0;5.2;9.8;1.7;1.7
353;19 Aardolie-industrie;2007;11678.0;0.0;1.0;11711.0;9.3;29.9;0.0;1.1;0.0;4.0;8.1;1.5;1.5
354;19 Aardolie-industrie;2008;11816.0;0.0;0.8;11845.0;8.6;25.7;0.0;1.0;0.0;5.3;7.7;1.4;1.4
355;19 Aardolie-industrie;2009;10783.0;0.0;1.3;10818.0;6.2;17.9;0.0;0.7;0.0;5.7;6.8;0.5;0.5
356;19 Aardolie-industrie;2010;10628.0;0.0;1.0;10657.0;5.6;12.7;0.0;0.5;0.0;6.3;7.1;0.3;0.3
357;19 Aardolie-industrie;2011;10801.0;0.0;1.5;10841.0;5.8;12.5;0.0;0.5;0.0;7.3;5.9;0.3;0.3
358;19 Aardolie-industrie;2012;10498.0;0.0;1.3;10535.0;5.3;13.9;0.0;0.6;0.0;5.9;6.3;0.2;0.2
359;19 Aardolie-industrie;2013;10287.0;0.0;0.9;10315.0;5.5;10.2;0.0;0.4;0.0;5.9;6.5;0.2;0.2
360;20-21 Chemie en farmaceutische industrie;1990;20995.0;22.9;13.7;32827.0;39.0;20.0;3.3;1.7;1576.7;24.1;34.5;4.4;4.4
361;20-21 Chemie en farmaceutische industrie;1991;20827.0;22.9;13.6;32109.0;37.1;13.5;3.5;1.4;1311.6;26.3;31.5;4.2;4.2
362;20-21 Chemie en farmaceutische industrie;1992;20492.0;23.1;13.6;32260.0;32.2;14.7;3.6;1.4;1046.5;28.5;28.5;4.0;4.0
363;20-21 Chemie en farmaceutische industrie;1993;19401.0;24.7;13.5;32047.0;29.2;12.5;3.1;1.2;781.4;30.7;25.5;3.8;3.8
364;20-21 Chemie en farmaceutische industrie;1994;18550.0;24.2;13.5;31840.0;30.0;12.6;3.4;1.2;516.3;32.9;22.5;3.6;3.6
365;20-21 Chemie en farmaceutische industrie;1995;16907.0;22.9;13.4;30051.0;28.3;11.5;3.1;1.2;251.2;34.8;19.7;3.6;3.6
366;20-21 Chemie en farmaceutische industrie;1996;16313.0;22.9;13.4;30690.0;28.2;11.5;2.8;1.1;191.6;41.0;19.5;1.7;1.7
367;20-21 Chemie en farmaceutische industrie;1997;16063.0;22.7;13.4;30941.0;24.3;10.7;2.5;1.0;132.0;40.0;17.2;1.8;1.8
368;20-21 Chemie en farmaceutische industrie;1998;15977.0;22.7;13.2;31315.0;19.9;6.5;2.4;0.8;70.6;35.5;15.8;2.3;2.3
369;20-21 Chemie en farmaceutische industrie;1999;15741.0;21.6;13.2;27294.0;17.7;4.0;2.0;0.6;50.0;37.8;15.0;1.9;1.9
370;20-21 Chemie en farmaceutische industrie;2000;15506.0;22.1;13.4;25466.0;15.3;3.1;1.8;0.5;40.0;26.6;13.6;1.6;1.6
371;20-21 Chemie en farmaceutische industrie;2001;14896.0;20.0;13.3;22028.0;14.2;4.2;1.8;0.5;25.9;27.5;12.1;1.2;1.2
372;20-21 Chemie en farmaceutische industrie;2002;15285.0;19.1;13.8;22294.0;14.2;4.1;1.5;0.5;10.6;24.8;11.2;1.6;1.6
373;20-21 Chemie en farmaceutische industrie;2003;15749.0;19.4;14.1;22554.0;15.4;3.6;1.6;0.5;0.0;21.4;10.7;1.3;1.3
374;20-21 Chemie en farmaceutische industrie;2004;15584.0;21.1;13.4;22850.0;15.5;4.3;2.1;0.6;0.0;24.5;11.1;1.4;1.4
