ID;RegioS;Perioden;AfgslotenHypotheken_1;HypothekenTotaalBedrag_2;HypothekenGemiddeldBedrag_3;AfgeslotenPartWoningHypotheken_4;PartWoningHypothekenTotaalBedrag_5;PartWoningHypothekenGemiddeldBedrag_6;AfgeslotenHypothekenAndereObjecten_7;AndereObjectenHypothekenTotaalBedrag_8;AndereObjectHypothekenGemiddBedrag_9
595;Binnenmaas;1999;986.0;131.6;133.0;946.0;112.7;119.0;40.0;19.0;474.0
596;Binnenmaas;2000;643.0;79.8;124.0;622.0;72.2;116.0;21.0;7.5;359.0
597;Binnenmaas;2001;643.0;97.9;152.0;610.0;84.3;138.0;33.0;13.5;411.0
598;Binnenmaas;2002;633.0;113.3;179.0;607.0;94.5;156.0;26.0;18.7;720.0
599;Binnenmaas;2003;;;;788.0;158.6;201.0;;;
600;Bladel;1999;901.0;137.8;153.0;802.0;85.0;106.0;99.0;52.9;534.0
601;Bladel;2000;709.0;131.2;185.0;603.0;83.7;139.0;106.0;47.5;448.0
602;Bladel;2001;596.0;120.0;201.0;522.0;83.9;161.0;74.0;36.1;488.0
603;Bladel;2002;623.0;136.4;219.0;533.0;96.8;182.0;90.0;39.6;440.0
604;Bladel;2003;;;;540.0;95.6;177.0;;;
605;Blaricum;1999;446.0;139.6;313.0;426.0;125.9;296.0;20.0;13.7;686.0
606;Blaricum;2000;352.0;137.8;391.0;337.0;127.1;377.0;15.0;10.7;715.0
607;Blaricum;2001;338.0;126.1;373.0;319.0;117.4;368.0;19.0;8.7;458.0
608;Blaricum;2002;338.0;138.9;411.0;319.0;133.1;417.0;19.0;5.8;305.0
609;Blaricum;2003;;;;319.0;123.2;386.0;;;
