ID;Geslacht;Leeftijdsklassen;Perioden;TotaleInstroom_1;WWInstroomMetHerkomstBedrijfsleven_2;WWInstroomMetOverigeHerkomst_3;TotaleUitstroom_4;WWUitstroomMetRedenWerkhervatting_5;WWUitstroomMetOverigeRedenen_6
573;Mannen en vrouwen;25 tot 35 jaar;2006 februari;9290;8530;760;9350;5040;4320
574;Mannen en vrouwen;25 tot 35 jaar;2006 maart;9820;8860;950;11130;6060;5070
575;Mannen en vrouwen;25 tot 35 jaar;2006 april;6670;5950;730;9480;5680;3800
576;Mannen en vrouwen;25 tot 35 jaar;2006 mei;6800;6120;690;9330;5330;4000
577;Mannen en vrouwen;25 tot 35 jaar;2006 juni;6870;6200;670;9360;4830;4530
578;Mannen en vrouwen;25 tot 35 jaar;2006 juli;5260;4750;510;7670;3670;4000
579;Mannen en vrouwen;25 tot 35 jaar;2006 augustus;6450;5820;630;8020;4040;3980
580;Mannen en vrouwen;25 tot 35 jaar;2006 september;5670;5120;550;7450;4220;3230
581;Mannen en vrouwen;25 tot 35 jaar;2006 oktober;5900;5330;570;7230;4130;3100
582;Mannen en vrouwen;25 tot 35 jaar;2006 november;7240;6480;760;7860;4280;3580
583;Mannen en vrouwen;25 tot 35 jaar;2006 december;5200;4700;490;5400;2840;2560
584;Mannen en vrouwen;25 tot 35 jaar;2006 jaarcijfer;83230;75360;7870;101620;54480;47140
585;Mannen en vrouwen;25 tot 35 jaar;2007 januari;6860;6280;580;5990;3060;2930
586;Mannen en vrouwen;25 tot 35 jaar;2007 februari;6730;6100;630;6750;3830;2920
587;Mannen en vrouwen;25 tot 35 jaar;2007 maart;7220;6560;660;8690;5030;3670
588;Mannen en vrouwen;25 tot 35 jaar;2007 april;4800;4410;400;6890;4030;2860
589;Mannen en vrouwen;25 tot 35 jaar;2007 mei;5070;4610;460;6790;3730;3060
590;Mannen en vrouwen;25 tot 35 jaar;2007 juni;4250;3830;410;5210;2750;2460
591;Mannen en vrouwen;25 tot 35 jaar;2007 juli;4430;4020;420;5070;2620;2450
592;Mannen en vrouwen;25 tot 35 jaar;2007 augustus;5300;4880;420;5450;2960;2490
593;Mannen en vrouwen;25 tot 35 jaar;2007 september;4260;3890;360;5350;3230;2120
594;Mannen en vrouwen;25 tot 35 jaar;2007 oktober;5090;4700;390;5110;2940;2170
595;Mannen en vrouwen;25 tot 35 jaar;2007 november;6400;5890;510;5880;3070;2810
596;Mannen en vrouwen;25 tot 35 jaar;2007 december;4680;4310;370;4050;2070;1980
597;Mannen en vrouwen;25 tot 35 jaar;2007 jaarcijfer;65090;59480;5610;71240;39310;31930
598;Mannen en vrouwen;25 tot 35 jaar;2008 januari;7330;6770;560;5480;2970;2520
599;Mannen en vrouwen;25 tot 35 jaar;2008 februari;5090;4660;430;5180;2960;2220
600;Mannen en vrouwen;25 tot 35 jaar;2008 maart;4380;4010;370;5140;3080;2060
601;Mannen en vrouwen;25 tot 35 jaar;2008 april;4800;4460;340;5480;3150;2330
602;Mannen en vrouwen;25 tot 35 jaar;2008 mei;4570;4160;410;5140;2890;2250
603;Mannen en vrouwen;25 tot 35 jaar;2008 juni;3920;3470;450;4310;2470;1840
604;Mannen en vrouwen;25 tot 35 jaar;2008 juli;4940;4550;390;4920;2420;2510
605;Mannen en vrouwen;25 tot 35 jaar;2008 augustus;4370;4030;340;4100;2370;1730
606;Mannen en vrouwen;25 tot 35 jaar;2008 september;4350;3940;410;4620;2770;1840
607;Mannen en vrouwen;25 tot 35 jaar;2008 oktober;5850;5320;540;5250;3060;2190
608;Mannen en vrouwen;25 tot 35 jaar;2008 november;5390;4970;420;4230;2380;1850
609;Mannen en vrouwen;25 tot 35 jaar;2008 december;6470;6060;410;3980;2000;1980
610;Mannen en vrouwen;25 tot 35 jaar;2008 jaarcijfer;61460;56390;5070;57820;32530;25290
611;Mannen en vrouwen;25 tot 35 jaar;2009 januari;8810;8250;560;5200;2800;2400
612;Mannen en vrouwen;25 tot 35 jaar;2009 februari;8650;8090;560;5680;3080;2600
613;Mannen en vrouwen;25 tot 35 jaar;2009 maart;8830;8340;490;6240;3220;3020
614;Mannen en vrouwen;25 tot 35 jaar;2009 april;10460;9870;580;7610;3940;3670
615;Mannen en vrouwen;25 tot 35 jaar;2009 mei;8590;8170;420;6560;3440;3120
616;Mannen en vrouwen;25 tot 35 jaar;2009 juni;9750;9330;420;6930;3740;3190
617;Mannen en vrouwen;25 tot 35 jaar;2009 juli;11330;10800;530;8380;4020;4370
618;Mannen en vrouwen;25 tot 35 jaar;2009 augustus;9480;9110;370;7430;3840;3590
619;Mannen en vrouwen;25 tot 35 jaar;2009 september;10090;9580;510;9000;4920;4090
620;Mannen en vrouwen;25 tot 35 jaar;2009 oktober;12020;11340;690;10090;5680;4410
621;Mannen en vrouwen;25 tot 35 jaar;2009 november;10320;9800;520;8510;4230;4280
622;Mannen en vrouwen;25 tot 35 jaar;2009 december;11680;11110;580;8850;3730;5130
623;Mannen en vrouwen;25 tot 35 jaar;2009 jaarcijfer;120020;113780;6230;90470;46620;43840
624;Mannen en vrouwen;25 tot 35 jaar;2010 januari;13340;12670;670;10120;4750;5370
625;Mannen en vrouwen;25 tot 35 jaar;2010 februari;11150;10530;630;9910;5020;4890
626;Mannen en vrouwen;25 tot 35 jaar;2010 maart;11650;10770;880;14770;8080;6690
627;Mannen en vrouwen;25 tot 35 jaar;2010 april;8540;7880;660;10850;5890;4950
628;Mannen en vrouwen;25 tot 35 jaar;2010 mei;6710;6180;520;9300;4480;4820
629;Mannen en vrouwen;25 tot 35 jaar;2010 juni;9150;8410;740;11680;5820;5860
630;Mannen en vrouwen;25 tot 35 jaar;2010 juli;7940;7320;620;8610;3940;4670
631;Mannen en vrouwen;25 tot 35 jaar;2010 augustus;8650;8040;600;8900;4560;4340
632;Mannen en vrouwen;25 tot 35 jaar;2010 september;10040;9160;880;11870;6550;5320
633;Mannen en vrouwen;25 tot 35 jaar;2010 oktober;8610;7870;740;9540;4840;4700
634;Mannen en vrouwen;25 tot 35 jaar;2010 november;8770;8070;700;8020;4190;3830
635;Mannen en vrouwen;25 tot 35 jaar;2010 december;11520;10710;820;8820;3850;4970
636;Mannen en vrouwen;25 tot 35 jaar;2010 jaarcijfer;116070;107610;8460;122380;61970;60410
637;Mannen en vrouwen;25 tot 35 jaar;2011 januari;13380;12440;940;9840;5310;4530
638;Mannen en vrouwen;25 tot 35 jaar;2011 februari;9420;8600;810;9830;5380;4450
639;Mannen en vrouwen;25 tot 35 jaar;2011 maart;10920;10110;810;12600;7080;5510
640;Mannen en vrouwen;25 tot 35 jaar;2011 april;8180;7570;610;10060;5470;4590
641;Mannen en vrouwen;25 tot 35 jaar;2011 mei;7950;7320;630;9170;5010;4170
642;Mannen en vrouwen;25 tot 35 jaar;2011 juni;8580;7930;660;9240;4630;4610
643;Mannen en vrouwen;25 tot 35 jaar;2011 juli;8540;8280;260;7990;3760;4230
644;Mannen en vrouwen;25 tot 35 jaar;2011 augustus;9360;9090;270;8170;4430;3740
645;Mannen en vrouwen;25 tot 35 jaar;2011 september;10330;9950;380;11140;6270;4860
646;Mannen en vrouwen;25 tot 35 jaar;2011 oktober;9070;8780;290;8490;4310;4180
647;Mannen en vrouwen;25 tot 35 jaar;2011 november;9800;9520;290;8080;3960;4120
648;Mannen en vrouwen;25 tot 35 jaar;2011 december;12220;11900;330;8730;3860;4870
649;Mannen en vrouwen;25 tot 35 jaar;2011 jaarcijfer;117750;111490;6270;113320;59460;53860
650;Mannen en vrouwen;25 tot 35 jaar;2012 januari;15710;15440;280;9910;5220;4700
651;Mannen en vrouwen;25 tot 35 jaar;2012 februari;11580;11290;290;9620;4740;4880
652;Mannen en vrouwen;25 tot 35 jaar;2012 maart;13000;12630;380;13740;7670;6080
653;Mannen en vrouwen;25 tot 35 jaar;2012 april;10120;9860;270;11400;6050;5350
654;Mannen en vrouwen;25 tot 35 jaar;2012 mei;10560;10270;290;11140;5580;5570
655;Mannen en vrouwen;25 tot 35 jaar;2012 juni;9120;8820;300;9650;4760;4890
656;Mannen en vrouwen;25 tot 35 jaar;2012 juli;10820;10510;310;8970;3990;4980
657;Mannen en vrouwen;25 tot 35 jaar;2012 augustus;13520;13160;360;11680;5970;5710
658;Mannen en vrouwen;25 tot 35 jaar;2012 september;10740;10450;290;10730;5660;5080
659;Mannen en vrouwen;25 tot 35 jaar;2012 oktober;11720;11410;310;10290;5040;5250
660;Mannen en vrouwen;25 tot 35 jaar;2012 november;14870;14520;350;11920;5660;6260
661;Mannen en vrouwen;25 tot 35 jaar;2012 december;13430;13130;300;8590;3360;5230
662;Mannen en vrouwen;25 tot 35 jaar;2012 jaarcijfer;145200;141490;3700;127650;63670;63980
663;Mannen en vrouwen;25 tot 35 jaar;2013 januari   ;21150;20760;390;13800;6540;7260
664;Mannen en vrouwen;25 tot 35 jaar;2013 februari  ;13870;13520;350;12170;5920;6250
665;Mannen en vrouwen;25 tot 35 jaar;2013 maart     ;14100;13750;350;13650;6910;6750
666;Mannen en vrouwen;25 tot 35 jaar;2013 april;13160;12820;330;13880;7060;6820
667;Mannen en vrouwen;25 tot 35 jaar;2013 mei;13100;12790;310;14480;7110;7370
668;Mannen en vrouwen;25 tot 35 jaar;2013 juni;12140;11850;300;12170;5710;6450
669;Mannen en vrouwen;25 tot 35 jaar;2013 juli;14800;14410;390;11580;4920;6660
670;Mannen en vrouwen;25 tot 35 jaar;2013 augustus;16160;15700;460;15480;7810;7670
671;Mannen en vrouwen;25 tot 35 jaar;2013 september;13310;12950;360;13590;7020;6570
672;Mannen en vrouwen;25 tot 35 jaar;2013 oktober;17160;16710;450;15710;7550;8160
673;Mannen en vrouwen;25 tot 35 jaar;2013 november;14770;14430;350;12640;5820;6820
674;Mannen en vrouwen;25 tot 35 jaar;2013 december;15630;15260;370;10930;4060;6870
675;Mannen en vrouwen;25 tot 35 jaar;2013 jaarcijfer;179340;174930;4410;160080;76430;83650
676;Mannen en vrouwen;25 tot 35 jaar;2014 januari;23140;22680;460;17690;8550;9130
677;Mannen en vrouwen;25 tot 35 jaar;2014 februari;14230;13800;420;15320;7120;8200
678;Mannen en vrouwen;25 tot 35 jaar;2014 maart;13450;13040;410;16220;7910;8310
679;Mannen en vrouwen;25 tot 35 jaar;2014 april;11960;11600;370;16080;8060;8020
680;Mannen en vrouwen;25 tot 35 jaar;2014 mei;14150;13670;480;17320;8640;8680
681;Mannen en vrouwen;25 tot 35 jaar;2014 juni;11420;11050;370;13340;6240;7090
682;Mannen en vrouwen;25 tot 35 jaar;2014 juli;17480;16950;530;15550;6770;8790
683;Mannen en vrouwen;25 tot 35 jaar;2014 augustus;12660;12230;430;14620;7760;6870
684;Mannen en vrouwen;25 tot 35 jaar;2014 september;11900;11510;390;14970;8040;6930
685;Mannen en vrouwen;25 tot 35 jaar;2014 oktober;16170;15610;560;16260;7770;8480
686;Mannen en vrouwen;25 tot 35 jaar;2014 november;14540;14090;450;12730;5980;6750
687;Mannen en vrouwen;25 tot 35 jaar;2014 december;16160;15760;410;11420;4570;6850
688;Mannen en vrouwen;25 tot 35 jaar;2014 jaarcijfer;177260;171980;5280;181510;87410;94110
689;Mannen en vrouwen;25 tot 35 jaar;2015 januari;21790;21330;460;17060;8640;8420
690;Mannen en vrouwen;25 tot 35 jaar;2015 februari;13590;13230;360;14650;7260;7390
691;Mannen en vrouwen;25 tot 35 jaar;2015 maart;13050;12690;370;16230;8440;7790
692;Mannen en vrouwen;25 tot 35 jaar;2015 april;13360;12990;370;18330;9520;8820
693;Mannen en vrouwen;25 tot 35 jaar;2015 mei;9900;9600;310;13070;6390;6680
694;Mannen en vrouwen;25 tot 35 jaar;2015 juni;11050;10710;340;12910;6370;6540
695;Mannen en vrouwen;25 tot 35 jaar;2015 juli;17710;17280;430;13870;6090;7790
696;Mannen en vrouwen;25 tot 35 jaar;2015 augustus;11930;11570;360;11180;4830;6350
697;Mannen en vrouwen;25 tot 35 jaar;2015 september;10670;10350;320;10770;4240;6530
698;Mannen en vrouwen;25 tot 35 jaar;2015 oktober;14360;13960;400;12040;4310;7730
699;Mannen en vrouwen;25 tot 35 jaar;2015 november;12580;12280;310;9830;3440;6380
700;Mannen en vrouwen;25 tot 35 jaar;2015 december;17250;16880;370;12230;3780;8450
701;Mannen en vrouwen;25 tot 35 jaar;2015 jaarcijfer;167240;162860;4390;162170;73310;88860
702;Mannen en vrouwen;35 tot 45 jaar;1998 januari;12960;12220;750;9320;5510;3810
703;Mannen en vrouwen;35 tot 45 jaar;1998 februari;9750;8990;770;8830;6220;2600
704;Mannen en vrouwen;35 tot 45 jaar;1998 maart;7420;6790;630;10170;7320;2850
705;Mannen en vrouwen;35 tot 45 jaar;1998 april;7630;6740;890;13290;9970;3320
706;Mannen en vrouwen;35 tot 45 jaar;1998 mei;6100;5380;720;9200;6280;2920
707;Mannen en vrouwen;35 tot 45 jaar;1998 juni;6340;5620;720;8250;5460;2790
708;Mannen en vrouwen;35 tot 45 jaar;1998 juli;7130;6360;770;8050;4860;3200
709;Mannen en vrouwen;35 tot 45 jaar;1998 augustus;7420;6900;530;7310;5060;2250
710;Mannen en vrouwen;35 tot 45 jaar;1998 september;5840;5240;600;7790;5420;2370
711;Mannen en vrouwen;35 tot 45 jaar;1998 oktober;7210;6390;820;9330;6100;3230
712;Mannen en vrouwen;35 tot 45 jaar;1998 november;9160;8480;690;7070;4160;2910
713;Mannen en vrouwen;35 tot 45 jaar;1998 december;9420;8760;660;6540;3440;3100
714;Mannen en vrouwen;35 tot 45 jaar;1998 jaarcijfer;96400;87860;8540;105140;69790;35350
715;Mannen en vrouwen;35 tot 45 jaar;1999 januari;9240;8560;680;7900;4800;3100
716;Mannen en vrouwen;35 tot 45 jaar;1999 februari;7060;6440;620;7940;5480;2470
717;Mannen en vrouwen;35 tot 45 jaar;1999 maart;7560;6650;910;11650;8440;3200
718;Mannen en vrouwen;35 tot 45 jaar;1999 april;5000;4380;620;8980;6470;2510
719;Mannen en vrouwen;35 tot 45 jaar;1999 mei;4430;3840;590;6740;4050;2690
720;Mannen en vrouwen;35 tot 45 jaar;1999 juni;4940;4300;640;7100;4250;2850
721;Mannen en vrouwen;35 tot 45 jaar;1999 juli;5340;4700;640;5470;2980;2500
722;Mannen en vrouwen;35 tot 45 jaar;1999 augustus;4350;3890;460;4880;2890;2000
723;Mannen en vrouwen;35 tot 45 jaar;1999 september;5760;5100;670;7780;5100;2680
724;Mannen en vrouwen;35 tot 45 jaar;1999 oktober;4980;4300;680;6340;3990;2350
725;Mannen en vrouwen;35 tot 45 jaar;1999 november;6140;5480;670;5880;3450;2440
726;Mannen en vrouwen;35 tot 45 jaar;1999 december;6020;5450;570;5610;3000;2610
727;Mannen en vrouwen;35 tot 45 jaar;1999 jaarcijfer;70830;63090;7740;86270;54890;31380
728;Mannen en vrouwen;35 tot 45 jaar;2000 januari;8530;7870;660;5950;3660;2300
729;Mannen en vrouwen;35 tot 45 jaar;2000 februari;6470;5870;600;6710;4510;2200
730;Mannen en vrouwen;35 tot 45 jaar;2000 maart;6150;5420;730;8870;6310;2560
731;Mannen en vrouwen;35 tot 45 jaar;2000 april;4310;3670;630;7210;4830;2380
732;Mannen en vrouwen;35 tot 45 jaar;2000 mei;4360;3720;630;6180;3910;2280
733;Mannen en vrouwen;35 tot 45 jaar;2000 juni;4330;3620;710;5890;3270;2620
734;Mannen en vrouwen;35 tot 45 jaar;2000 juli;4940;4170;770;4920;2500;2420
735;Mannen en vrouwen;35 tot 45 jaar;2000 augustus;4670;4060;620;4970;2860;2110
736;Mannen en vrouwen;35 tot 45 jaar;2000 september;4120;3530;590;5630;3670;1950
737;Mannen en vrouwen;35 tot 45 jaar;2000 oktober;4570;3880;690;5500;3290;2210
738;Mannen en vrouwen;35 tot 45 jaar;2000 november;6310;5440;870;5700;3370;2330
739;Mannen en vrouwen;35 tot 45 jaar;2000 december;4420;3880;540;4020;2170;1850
740;Mannen en vrouwen;35 tot 45 jaar;2000 jaarcijfer;63170;55120;8040;71540;44340;27200
741;Mannen en vrouwen;35 tot 45 jaar;2001 januari;5880;5260;630;4760;2770;1990
742;Mannen en vrouwen;35 tot 45 jaar;2001 februari;5510;4880;630;5260;3350;1900
743;Mannen en vrouwen;35 tot 45 jaar;2001 maart;6250;5310;940;8300;5330;2980
744;Mannen en vrouwen;35 tot 45 jaar;2001 april;4430;3700;730;6260;4120;2130
745;Mannen en vrouwen;35 tot 45 jaar;2001 mei;4670;3890;770;5780;3490;2280
746;Mannen en vrouwen;35 tot 45 jaar;2001 juni;4040;3390;650;4380;2390;2000
747;Mannen en vrouwen;35 tot 45 jaar;2001 juli;4300;3510;790;4450;2310;2140
748;Mannen en vrouwen;35 tot 45 jaar;2001 augustus;4210;3630;580;4270;2440;1840
749;Mannen en vrouwen;35 tot 45 jaar;2001 september;4080;3420;660;5240;3210;2030
750;Mannen en vrouwen;35 tot 45 jaar;2001 oktober;4760;4020;740;5120;3060;2060
751;Mannen en vrouwen;35 tot 45 jaar;2001 november;6420;5520;900;5490;3050;2450
752;Mannen en vrouwen;35 tot 45 jaar;2001 december;4210;3680;530;4120;1900;2220
753;Mannen en vrouwen;35 tot 45 jaar;2001 jaarcijfer;58770;50210;8560;63420;37410;26010
754;Mannen en vrouwen;35 tot 45 jaar;2002 januari;8090;7250;840;5410;2900;2510
755;Mannen en vrouwen;35 tot 45 jaar;2002 februari;6190;5510;680;5240;3140;2100
756;Mannen en vrouwen;35 tot 45 jaar;2002 maart;6220;5420;800;6680;4400;2290
757;Mannen en vrouwen;35 tot 45 jaar;2002 april;6140;5380;760;6570;4450;2120
758;Mannen en vrouwen;35 tot 45 jaar;2002 mei;6830;5960;870;6840;4280;2560
759;Mannen en vrouwen;35 tot 45 jaar;2002 juni;6160;5400;760;5650;3390;2260
760;Mannen en vrouwen;35 tot 45 jaar;2002 juli;5560;4850;710;5230;2940;2290
761;Mannen en vrouwen;35 tot 45 jaar;2002 augustus;6620;5790;830;5440;3080;2360
762;Mannen en vrouwen;35 tot 45 jaar;2002 september;6560;5790;770;6330;4050;2290
763;Mannen en vrouwen;35 tot 45 jaar;2002 oktober;7570;6600;970;7190;4350;2840
764;Mannen en vrouwen;35 tot 45 jaar;2002 november;7570;6670;910;5420;3090;2330
765;Mannen en vrouwen;35 tot 45 jaar;2002 december;6190;5510;680;4630;2510;2120
766;Mannen en vrouwen;35 tot 45 jaar;2002 jaarcijfer;79700;70120;9580;70640;42570;28070
767;Mannen en vrouwen;35 tot 45 jaar;2003 januari;10590;9400;1200;6110;3340;2770
768;Mannen en vrouwen;35 tot 45 jaar;2003 februari;8920;7930;990;6470;3890;2590
769;Mannen en vrouwen;35 tot 45 jaar;2003 maart;8270;7280;990;7430;4820;2610
770;Mannen en vrouwen;35 tot 45 jaar;2003 april;7950;6920;1030;7200;4680;2520
771;Mannen en vrouwen;35 tot 45 jaar;2003 mei;9010;7870;1140;8230;5030;3200
772;Mannen en vrouwen;35 tot 45 jaar;2003 juni;7460;6550;910;6140;3580;2560
773;Mannen en vrouwen;35 tot 45 jaar;2003 juli;9370;8080;1290;7140;3880;3260
774;Mannen en vrouwen;35 tot 45 jaar;2003 augustus;6960;6120;840;5540;3160;2390
775;Mannen en vrouwen;35 tot 45 jaar;2003 september;8060;7160;910;7600;4750;2850
776;Mannen en vrouwen;35 tot 45 jaar;2003 oktober;9510;8410;1100;8440;5100;3340
777;Mannen en vrouwen;35 tot 45 jaar;2003 november;8400;7180;1220;6390;3690;2700
778;Mannen en vrouwen;35 tot 45 jaar;2003 december;7920;6720;1200;5670;3070;2600
779;Mannen en vrouwen;35 tot 45 jaar;2003 jaarcijfer;102410;89620;12790;82360;48980;33380
780;Mannen en vrouwen;35 tot 45 jaar;2004 januari;10290;9050;1250;7100;4050;3050
781;Mannen en vrouwen;35 tot 45 jaar;2004 februari;9360;8160;1200;7600;4630;2960
782;Mannen en vrouwen;35 tot 45 jaar;2004 maart;8710;7500;1210;8440;5360;3080
783;Mannen en vrouwen;35 tot 45 jaar;2004 april;9380;8180;1200;9810;6390;3420
784;Mannen en vrouwen;35 tot 45 jaar;2004 mei;6850;5860;990;7300;4660;2630
785;Mannen en vrouwen;35 tot 45 jaar;2004 juni;7690;6530;1160;6880;4210;2680
786;Mannen en vrouwen;35 tot 45 jaar;2004 juli;8900;7620;1280;9450;5130;4320
787;Mannen en vrouwen;35 tot 45 jaar;2004 augustus;6540;5590;950;6710;3670;3040
788;Mannen en vrouwen;35 tot 45 jaar;2004 september;7800;6690;1110;8310;5220;3090
789;Mannen en vrouwen;35 tot 45 jaar;2004 oktober;9620;8290;1340;10100;6320;3780
790;Mannen en vrouwen;35 tot 45 jaar;2004 november;8620;7420;1200;7780;4650;3140
791;Mannen en vrouwen;35 tot 45 jaar;2004 december;9970;8630;1340;7460;4240;3220
792;Mannen en vrouwen;35 tot 45 jaar;2004 jaarcijfer;103720;89500;14220;96920;58520;38410
793;Mannen en vrouwen;35 tot 45 jaar;2005 januari;10520;9320;1200;7070;4210;2860
794;Mannen en vrouwen;35 tot 45 jaar;2005 februari;10030;8890;1140;8310;5060;3250
795;Mannen en vrouwen;35 tot 45 jaar;2005 maart;9730;8550;1180;10200;6240;3960
796;Mannen en vrouwen;35 tot 45 jaar;2005 april;8910;7750;1160;10380;6710;3670
797;Mannen en vrouwen;35 tot 45 jaar;2005 mei;6990;6020;980;9870;5520;4350
798;Mannen en vrouwen;35 tot 45 jaar;2005 juni;9210;7860;1350;10070;6030;4040
799;Mannen en vrouwen;35 tot 45 jaar;2005 juli;6780;5890;890;8240;4640;3600
800;Mannen en vrouwen;35 tot 45 jaar;2005 augustus;6870;5990;880;7390;4060;3340
801;Mannen en vrouwen;35 tot 45 jaar;2005 september;9330;8160;1170;11020;6880;4150
802;Mannen en vrouwen;35 tot 45 jaar;2005 oktober;7370;6350;1020;9550;5720;3830
803;Mannen en vrouwen;35 tot 45 jaar;2005 november;7580;6540;1040;8360;4770;3600
804;Mannen en vrouwen;35 tot 45 jaar;2005 december;8610;7560;1050;8540;4560;3990
805;Mannen en vrouwen;35 tot 45 jaar;2005 jaarcijfer;101930;88880;13060;109010;64370;44640
806;Mannen en vrouwen;35 tot 45 jaar;2006 januari;8320;7310;1010;9340;5020;4330
807;Mannen en vrouwen;35 tot 45 jaar;2006 februari;9470;8330;1140;9160;5410;3750
808;Mannen en vrouwen;35 tot 45 jaar;2006 maart;10080;8640;1440;11490;6630;4860
809;Mannen en vrouwen;35 tot 45 jaar;2006 april;6950;5840;1110;10280;6420;3860
810;Mannen en vrouwen;35 tot 45 jaar;2006 mei;6920;5890;1030;9590;5700;3890
811;Mannen en vrouwen;35 tot 45 jaar;2006 juni;7520;6340;1170;10100;5450;4650
812;Mannen en vrouwen;35 tot 45 jaar;2006 juli;6030;5150;880;8360;4150;4210
813;Mannen en vrouwen;35 tot 45 jaar;2006 augustus;7340;6310;1040;9350;4890;4460
814;Mannen en vrouwen;35 tot 45 jaar;2006 september;6240;5390;850;9390;5710;3680
815;Mannen en vrouwen;35 tot 45 jaar;2006 oktober;6610;5690;920;9200;5350;3850
816;Mannen en vrouwen;35 tot 45 jaar;2006 november;8120;6900;1220;9770;5260;4500
817;Mannen en vrouwen;35 tot 45 jaar;2006 december;6000;5220;780;6800;3460;3340
818;Mannen en vrouwen;35 tot 45 jaar;2006 jaarcijfer;89570;76990;12580;112820;63440;49380
819;Mannen en vrouwen;35 tot 45 jaar;2007 januari;8000;7070;930;7890;3970;3920
820;Mannen en vrouwen;35 tot 45 jaar;2007 februari;7420;6450;970;8700;4830;3880
821;Mannen en vrouwen;35 tot 45 jaar;2007 maart;7790;6670;1120;10820;6050;4770
822;Mannen en vrouwen;35 tot 45 jaar;2007 april;5430;4690;740;8730;5130;3600
823;Mannen en vrouwen;35 tot 45 jaar;2007 mei;6070;5190;880;8500;4670;3830
824;Mannen en vrouwen;35 tot 45 jaar;2007 juni;5260;4470;790;6580;3620;2960
825;Mannen en vrouwen;35 tot 45 jaar;2007 juli;5430;4700;730;6110;3250;2860
826;Mannen en vrouwen;35 tot 45 jaar;2007 augustus;6420;5610;800;7010;3870;3140
827;Mannen en vrouwen;35 tot 45 jaar;2007 september;5550;4790;760;7290;4610;2680
828;Mannen en vrouwen;35 tot 45 jaar;2007 oktober;6140;5380;760;6800;4010;2790
829;Mannen en vrouwen;35 tot 45 jaar;2007 november;7600;6690;910;7740;4230;3520
830;Mannen en vrouwen;35 tot 45 jaar;2007 december;5430;4910;520;5030;2660;2360
831;Mannen en vrouwen;35 tot 45 jaar;2007 jaarcijfer;76530;66620;9910;91200;50900;40300
832;Mannen en vrouwen;35 tot 45 jaar;2008 januari;8680;7940;740;7250;3970;3280
833;Mannen en vrouwen;35 tot 45 jaar;2008 februari;5690;5030;660;6680;4070;2610
834;Mannen en vrouwen;35 tot 45 jaar;2008 maart;5180;4590;590;6570;3940;2630
835;Mannen en vrouwen;35 tot 45 jaar;2008 april;5560;4990;570;7000;4250;2750
836;Mannen en vrouwen;35 tot 45 jaar;2008 mei;5340;4680;660;6350;3680;2680
837;Mannen en vrouwen;35 tot 45 jaar;2008 juni;4790;4190;600;5540;3370;2180
838;Mannen en vrouwen;35 tot 45 jaar;2008 juli;6080;5450;630;6080;3180;2900
839;Mannen en vrouwen;35 tot 45 jaar;2008 augustus;4960;4510;450;5170;3110;2050
840;Mannen en vrouwen;35 tot 45 jaar;2008 september;5290;4700;590;6220;4010;2210
841;Mannen en vrouwen;35 tot 45 jaar;2008 oktober;6870;6120;750;6530;3900;2630
842;Mannen en vrouwen;35 tot 45 jaar;2008 november;6220;5670;550;4920;2890;2030
843;Mannen en vrouwen;35 tot 45 jaar;2008 december;7050;6480;560;4600;2370;2230
844;Mannen en vrouwen;35 tot 45 jaar;2008 jaarcijfer;71700;64340;7360;72910;42740;30170
845;Mannen en vrouwen;35 tot 45 jaar;2009 januari;9800;9130;660;5870;3220;2650
846;Mannen en vrouwen;35 tot 45 jaar;2009 februari;8580;7960;620;6040;3390;2650
847;Mannen en vrouwen;35 tot 45 jaar;2009 maart;8850;8230;620;6360;3460;2900
848;Mannen en vrouwen;35 tot 45 jaar;2009 april;10530;9920;610;7600;4160;3440
849;Mannen en vrouwen;35 tot 45 jaar;2009 mei;8390;7910;480;6110;3360;2750
850;Mannen en vrouwen;35 tot 45 jaar;2009 juni;10000;9550;440;6410;3610;2800
851;Mannen en vrouwen;35 tot 45 jaar;2009 juli;11130;10560;570;7380;3720;3660
852;Mannen en vrouwen;35 tot 45 jaar;2009 augustus;9000;8570;430;6330;3560;2780
853;Mannen en vrouwen;35 tot 45 jaar;2009 september;9870;9340;530;7920;4860;3050
854;Mannen en vrouwen;35 tot 45 jaar;2009 oktober;11670;10970;700;8790;5520;3280
855;Mannen en vrouwen;35 tot 45 jaar;2009 november;9870;9300;570;7250;4220;3020
856;Mannen en vrouwen;35 tot 45 jaar;2009 december;10940;10340;590;7440;3730;3710
857;Mannen en vrouwen;35 tot 45 jaar;2009 jaarcijfer;118620;111780;6830;83480;46800;36680
858;Mannen en vrouwen;35 tot 45 jaar;2010 januari;12530;11900;630;8830;5050;3790
859;Mannen en vrouwen;35 tot 45 jaar;2010 februari;10240;9680;560;8190;4800;3390
860;Mannen en vrouwen;35 tot 45 jaar;2010 maart;10910;10030;890;12470;7780;4690
861;Mannen en vrouwen;35 tot 45 jaar;2010 april;8050;7310;740;9710;6080;3630
862;Mannen en vrouwen;35 tot 45 jaar;2010 mei;6800;6250;550;8260;4790;3470
863;Mannen en vrouwen;35 tot 45 jaar;2010 juni;9220;8330;890;10760;6330;4430
864;Mannen en vrouwen;35 tot 45 jaar;2010 juli;7880;7220;660;8010;4140;3870
