ID;TypeKapitaalgoed;BedrijfstakkenSBI2008EnSectoren;Perioden;KapitaalgoederenvoorraadEindbalans_1;VolumeIndexcijfers2010100_2;KapitaalgoederenvoorraadBeginbalans_3;Herwaardering_4;InvestInVasteActivaProdEnInvoer_5;Afschrijvingen_6;HandelEnOverigeMutaties_7;StatistischVerschil_8;KapitaalgoederenvoorraadEindbalans_9
113;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;1998;19085.0;109.5;18805.0;79.0;1578.0;1394.0;0.0;16.0;19085.0
114;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;1999;19509.0;108.9;19085.0;134.0;1731.0;1436.0;0.0;-5.0;19509.0
115;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2000;20232.0;108.0;19509.0;481.0;1782.0;1511.0;0.0;-28.0;20232.0
116;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2001;20834.0;98.4;20232.0;428.0;1764.0;1578.0;0.0;-13.0;20834.0
117;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2002;21614.0;99.3;20834.0;585.0;1894.0;1647.0;0.0;-52.0;21614.0
118;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2003;21839.0;99.9;21614.0;100.0;1827.0;1674.0;0.0;-28.0;21839.0
119;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2004;22179.0;100.1;21839.0;288.0;1798.0;1707.0;0.0;-38.0;22179.0
120;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2005;22710.0;101.0;22179.0;332.0;1976.0;1746.0;0.0;-31.0;22710.0
121;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2006;22989.0;100.5;22710.0;404.0;1702.0;1783.0;0.0;-44.0;22989.0
122;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2007;23500.0;100.8;22989.0;442.0;1950.0;1821.0;0.0;-59.0;23500.0
123;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2008;24238.0;101.2;23500.0;625.0;2018.0;1876.0;0.0;-30.0;24238.0
124;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2009;24649.0;100.6;24238.0;578.0;1814.0;1920.0;0.0;-60.0;24649.0
125;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2010;24917.0;100.0;24649.0;409.0;1800.0;1942.0;0.0;0.0;24917.0
126;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2011;24776.0;99.0;24917.0;99.0;1706.0;1945.0;0.0;0.0;24776.0
127;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2012;25111.0;99.0;24776.0;343.0;1960.0;1969.0;0.0;0.0;25111.0
128;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2013;25456.0;99.9;25111.0;110.0;2230.0;1995.0;0.0;0.0;25456.0
129;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2014;25994.0;101.8;25456.0;65.0;2510.0;2036.0;0.0;0.0;25994.0
130;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2015;26702.0;103.7;25994.0;216.0;2600.0;2108.0;0.0;0.0;26702.0
131;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;2016;27303.0;105.5;26702.0;;;;;;27303.0
132;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;1995;2561.0;171.7;2584.0;22.0;127.0;173.0;0.0;1.0;2561.0
133;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;1996;2520.0;164.9;2561.0;6.0;123.0;171.0;0.0;0.0;2520.0
134;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;1997;2488.0;160.1;2520.0;14.0;123.0;169.0;0.0;1.0;2488.0
135;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;1998;2479.0;156.1;2488.0;12.0;148.0;170.0;0.0;1.0;2479.0
136;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;1999;2489.0;152.5;2479.0;17.0;165.0;173.0;0.0;1.0;2489.0
137;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2000;2518.0;147.5;2489.0;59.0;148.0;179.0;0.0;1.0;2518.0
138;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2001;2517.0;132.3;2518.0;50.0;132.0;183.0;0.0;0.0;2517.0
139;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2002;2522.0;128.9;2517.0;71.0;119.0;187.0;0.0;2.0;2522.0
140;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2003;2445.0;124.9;2522.0;1.0;106.0;185.0;0.0;1.0;2445.0
141;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2004;2408.0;121.5;2445.0;30.0;115.0;184.0;0.0;1.0;2408.0
142;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2005;2374.0;118.1;2408.0;34.0;115.0;183.0;0.0;0.0;2374.0
143;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2006;2332.0;113.9;2374.0;44.0;96.0;182.0;0.0;0.0;2332.0
144;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2007;2323.0;111.2;2332.0;48.0;123.0;182.0;0.0;1.0;2323.0
145;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2008;2354.0;109.7;2323.0;63.0;153.0;185.0;0.0;0.0;2354.0
146;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2009;2301.0;104.7;2354.0;58.0;73.0;186.0;0.0;1.0;2301.0
147;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2010;2270.0;100.0;2301.0;75.0;78.0;184.0;0.0;0.0;2270.0
148;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2011;2172.0;95.7;2270.0;0.0;80.0;178.0;0.0;0.0;2172.0
149;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2012;2103.0;91.7;2172.0;23.0;81.0;174.0;0.0;0.0;2103.0
150;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2013;2041.0;88.4;2103.0;14.0;94.0;169.0;0.0;0.0;2041.0
151;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2014;1987.0;86.0;2041.0;2.0;108.0;165.0;0.0;0.0;1987.0
152;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2015;1948.0;83.6;1987.0;15.0;110.0;164.0;0.0;0.0;1948.0
153;Totaal kapitaalgoederen;13-15 Textiel-, kleding-, lederindustrie;2016;1906.0;81.5;1948.0;;;;;;1906.0
154;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;1995;11009.0;126.2;10695.0;51.0;911.0;681.0;0.0;33.0;11009.0
155;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;1996;11265.0;126.1;11009.0;-15.0;953.0;696.0;0.0;15.0;11265.0
156;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;1997;11570.0;127.3;11265.0;30.0;1030.0;718.0;0.0;-37.0;11570.0
157;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;1998;12056.0;129.8;11570.0;16.0;1205.0;753.0;0.0;18.0;12056.0
158;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;1999;12350.0;129.3;12056.0;39.0;1035.0;790.0;0.0;9.0;12350.0
159;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2000;12743.0;127.6;12350.0;241.0;970.0;830.0;0.0;12.0;12743.0
160;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2001;13020.0;114.3;12743.0;178.0;943.0;855.0;0.0;11.0;13020.0
161;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2002;13390.0;114.6;13020.0;328.0;909.0;881.0;0.0;15.0;13390.0
162;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2003;13149.0;112.6;13390.0;-9.0;639.0;877.0;0.0;6.0;13149.0
163;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2004;13205.0;111.7;13149.0;160.0;770.0;879.0;0.0;5.0;13205.0
164;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2005;13374.0;111.5;13205.0;194.0;858.0;892.0;0.0;8.0;13374.0
165;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2006;13391.0;109.8;13374.0;233.0;682.0;907.0;0.0;9.0;13391.0
166;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2007;13476.0;108.4;13391.0;251.0;746.0;921.0;0.0;9.0;13476.0
167;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2008;13644.0;106.8;13476.0;371.0;727.0;938.0;0.0;8.0;13644.0
168;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2009;13538.0;103.8;13644.0;294.0;539.0;944.0;0.0;6.0;13538.0
169;Totaal kapitaalgoederen;16-18 Hout-, papier-, grafische industr.;2010;13276.0;100.0;13538.0;240.0;437.0;938.0;0.0;0.0;13276.0
