ID;Geslacht;Leerweg;OpleidingsrichtingEnSector;Herkomstgroepering;Regiokenmerken;Perioden;TotaalDeelnemers_1;EntreeopleidingNiveau1_2;BasisberoepsopleidingNiveau2_3;VakopleidingNiveau3_4;MiddenkaderopleidingNiveau4a_5;SpecialistenopleidingNiveau4b_6;KorteOpleiding_7;LangeOpleiding_8;PrimaireOpleiding_9;VoortgezetteOpleiding_10
81;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1990/'91;;;;;;;;;;
82;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1991/'92;;;;;;;;;;
83;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1992/'93;;;;;;;;;;
84;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1993/'94;;;;;;;;;;
85;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1994/'95;;;;;;;;;;
86;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1995/'96;;;;;;;;;;
87;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1996/'97;;;;;;;;;;
88;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1997/'98;;;;;;;;;;
89;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1998/'99;;;;;;;;;;
90;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);1999/'00;;;;;;;;;;
91;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2000/'01;;;;;;;;;;
92;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2001/'02;;;;;;;;;;
93;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2002/'03;;;;;;;;;;
94;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2003/'04;;;;;;;;;;
95;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2004/'05;;;;;;;;;;
96;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2005/'06;213726.0;11587.0;57755.0;57426.0;83840.0;3118.0;;;;
97;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2006/'07;220316.0;10842.0;59246.0;59010.0;88174.0;3044.0;;;;
98;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2007/'08;227538.0;10151.0;62124.0;60579.0;91846.0;2838.0;;;;
99;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2008/'09;227677.0;9741.0;62269.0;60145.0;93172.0;2350.0;;;;
100;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2009/'10;230859.0;10108.0;60550.0;62752.0;95428.0;2021.0;;;;
