ID;Deelgebieden;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
398;4221 Civieltechnische werken en bouw.;2020 juli;117.2;4.6
399;4221 Civieltechnische werken en bouw.;2020 oktober;118.1;5.0
400;4221 Civieltechnische werken en bouw.;2021 januari;119.0;2.3
401;4221 Civieltechnische werken en bouw.;2021 april;123.4;5.9
402;4221 Civieltechnische werken en bouw.;2021 juli;125.4;6.9
403;4221 Civieltechnische werken en bouw.;2021 oktober;121.3;2.7
404;4221 Civieltechnische werken en bouw.;2022 januari;128.4;8.0
405;4221 Civieltechnische werken en bouw.;2022 april;137.7;11.6
406;4221 Civieltechnische werken en bouw.;2022 juli;136.6;8.9
407;4221 Civieltechnische werken en bouw.;2022 oktober;145.4;19.9
408;4221 Civieltechnische werken en bouw.;2023 januari;143.0;11.4
409;4221 Civieltechnische werken en bouw.;2023 april;146.7;6.5
410;4221 Civieltechnische werken en bouw.;2023 juli;151.7;11.1
411;4221 Civieltechnische werken en bouw.;2023 oktober;151.3;4.0
412;4221 Civieltechnische werken en bouw.;2024 januari;153.0;7.0
413;4221 Civieltechnische werken en bouw.;2024 april;153.8;4.9
414;4221 Civieltechnische werken en bouw.;2024 juli;157.5;3.8
415;4221 Civieltechnische werken en bouw.;2024 oktober;157.4;4.0
416;4291 Waterbouwkundige werken en bouw.;2012 januari;100.1;
417;4291 Waterbouwkundige werken en bouw.;2012 april;101.8;
418;4291 Waterbouwkundige werken en bouw.;2012 juli;104.4;
419;4291 Waterbouwkundige werken en bouw.;2012 oktober;105.2;
420;4291 Waterbouwkundige werken en bouw.;2013 januari;104.8;4.8
421;4291 Waterbouwkundige werken en bouw.;2013 april;104.2;2.4
422;4291 Waterbouwkundige werken en bouw.;2013 juli;103.5;-0.9
423;4291 Waterbouwkundige werken en bouw.;2013 oktober;104.0;-1.1
424;4291 Waterbouwkundige werken en bouw.;2014 januari;104.4;-0.4
425;4291 Waterbouwkundige werken en bouw.;2014 april;103.8;-0.4
426;4291 Waterbouwkundige werken en bouw.;2014 juli;103.9;0.4
427;4291 Waterbouwkundige werken en bouw.;2014 oktober;104.0;0.0
428;4291 Waterbouwkundige werken en bouw.;2015 januari;99.6;-4.6
429;4291 Waterbouwkundige werken en bouw.;2015 april;100.3;-3.4
430;4291 Waterbouwkundige werken en bouw.;2015 juli;101.4;-2.5
431;4291 Waterbouwkundige werken en bouw.;2015 oktober;99.3;-4.6
432;4291 Waterbouwkundige werken en bouw.;2016 januari;96.5;-3.1
433;4291 Waterbouwkundige werken en bouw.;2016 april;98.0;-2.3
434;4291 Waterbouwkundige werken en bouw.;2016 juli;100.5;-0.8
435;4291 Waterbouwkundige werken en bouw.;2016 oktober;100.2;1.0
436;4291 Waterbouwkundige werken en bouw.;2017 januari;100.6;4.3
437;4291 Waterbouwkundige werken en bouw.;2017 april;101.8;3.9
438;4291 Waterbouwkundige werken en bouw.;2017 juli;101.3;0.8
439;4291 Waterbouwkundige werken en bouw.;2017 oktober;102.4;2.2
440;4291 Waterbouwkundige werken en bouw.;2018 januari;104.1;3.4
441;4291 Waterbouwkundige werken en bouw.;2018 april;104.5;2.6
442;4291 Waterbouwkundige werken en bouw.;2018 juli;107.5;6.0
443;4291 Waterbouwkundige werken en bouw.;2018 oktober;109.5;7.0
444;4291 Waterbouwkundige werken en bouw.;2019 januari;108.0;3.8
445;4291 Waterbouwkundige werken en bouw.;2019 april;109.8;5.1
446;4291 Waterbouwkundige werken en bouw.;2019 juli;111.0;3.3
447;4291 Waterbouwkundige werken en bouw.;2019 oktober;110.7;1.1
448;4291 Waterbouwkundige werken en bouw.;2020 januari;113.5;5.1
449;4291 Waterbouwkundige werken en bouw.;2020 april;111.2;1.3
450;4291 Waterbouwkundige werken en bouw.;2020 juli;113.2;2.0
451;4291 Waterbouwkundige werken en bouw.;2020 oktober;112.7;1.8
452;4291 Waterbouwkundige werken en bouw.;2021 januari;114.9;1.2
453;4291 Waterbouwkundige werken en bouw.;2021 april;116.5;4.7
454;4291 Waterbouwkundige werken en bouw.;2021 juli;118.1;4.2
455;4291 Waterbouwkundige werken en bouw.;2021 oktober;119.5;6.1
456;4291 Waterbouwkundige werken en bouw.;2022 januari;125.6;9.3
457;4291 Waterbouwkundige werken en bouw.;2022 april;136.2;16.9
458;4291 Waterbouwkundige werken en bouw.;2022 juli;138.2;17.1
459;4291 Waterbouwkundige werken en bouw.;2022 oktober;137.4;15.0
460;4291 Waterbouwkundige werken en bouw.;2023 januari;137.7;9.7
461;4291 Waterbouwkundige werken en bouw.;2023 april;140.9;3.5
462;4291 Waterbouwkundige werken en bouw.;2023 juli;144.9;4.8
463;4291 Waterbouwkundige werken en bouw.;2023 oktober;148.3;7.9
464;4291 Waterbouwkundige werken en bouw.;2024 januari;151.2;9.8
465;4291 Waterbouwkundige werken en bouw.;2024 april;152.2;8.0
466;4291 Waterbouwkundige werken en bouw.;2024 juli;153.9;6.2
467;4291 Waterbouwkundige werken en bouw.;2024 oktober;153.3;3.4
468;4312 Bouwrijp maken van terreinen;2012 januari;98.3;
469;4312 Bouwrijp maken van terreinen;2012 april;99.3;
470;4312 Bouwrijp maken van terreinen;2012 juli;102.9;
471;4312 Bouwrijp maken van terreinen;2012 oktober;103.4;
472;4312 Bouwrijp maken van terreinen;2013 januari;104.2;5.9
473;4312 Bouwrijp maken van terreinen;2013 april;103.0;3.6
474;4312 Bouwrijp maken van terreinen;2013 juli;103.5;0.6
475;4312 Bouwrijp maken van terreinen;2013 oktober;103.3;-0.1
476;4312 Bouwrijp maken van terreinen;2014 januari;103.5;-0.6
477;4312 Bouwrijp maken van terreinen;2014 april;103.2;0.2
478;4312 Bouwrijp maken van terreinen;2014 juli;103.2;-0.3
479;4312 Bouwrijp maken van terreinen;2014 oktober;103.0;-0.3
480;4312 Bouwrijp maken van terreinen;2015 januari;99.6;-3.8
481;4312 Bouwrijp maken van terreinen;2015 april;100.2;-2.9
482;4312 Bouwrijp maken van terreinen;2015 juli;100.8;-2.3
483;4312 Bouwrijp maken van terreinen;2015 oktober;99.7;-3.2
484;4312 Bouwrijp maken van terreinen;2016 januari;96.2;-3.4
485;4312 Bouwrijp maken van terreinen;2016 april;98.4;-1.7
486;4312 Bouwrijp maken van terreinen;2016 juli;100.1;-0.7
487;4312 Bouwrijp maken van terreinen;2016 oktober;99.9;0.2
488;4312 Bouwrijp maken van terreinen;2017 januari;100.1;4.0
489;4312 Bouwrijp maken van terreinen;2017 april;100.9;2.5
490;4312 Bouwrijp maken van terreinen;2017 juli;100.3;0.2
491;4312 Bouwrijp maken van terreinen;2017 oktober;101.1;1.3
492;4312 Bouwrijp maken van terreinen;2018 januari;103.3;3.2
493;4312 Bouwrijp maken van terreinen;2018 april;103.4;2.5
494;4312 Bouwrijp maken van terreinen;2018 juli;105.3;5.0
495;4312 Bouwrijp maken van terreinen;2018 oktober;107.5;6.2
496;4312 Bouwrijp maken van terreinen;2019 januari;105.4;2.0
497;4312 Bouwrijp maken van terreinen;2019 april;107.1;3.6
498;4312 Bouwrijp maken van terreinen;2019 juli;107.6;2.2
499;4312 Bouwrijp maken van terreinen;2019 oktober;108.3;0.8
500;4312 Bouwrijp maken van terreinen;2020 januari;110.4;4.8
501;4312 Bouwrijp maken van terreinen;2020 april;108.0;0.9
502;4312 Bouwrijp maken van terreinen;2020 juli;108.6;0.9
503;4312 Bouwrijp maken van terreinen;2020 oktober;107.9;-0.4
504;4312 Bouwrijp maken van terreinen;2021 januari;110.5;0.0
505;4312 Bouwrijp maken van terreinen;2021 april;111.1;2.9
506;4312 Bouwrijp maken van terreinen;2021 juli;113.2;4.3
507;4312 Bouwrijp maken van terreinen;2021 oktober;115.5;7.1
508;4312 Bouwrijp maken van terreinen;2022 januari;121.5;10.0
509;4312 Bouwrijp maken van terreinen;2022 april;132.0;18.8
510;4312 Bouwrijp maken van terreinen;2022 juli;136.4;20.5
511;4312 Bouwrijp maken van terreinen;2022 oktober;138.7;20.0
512;4312 Bouwrijp maken van terreinen;2023 januari;134.9;11.1
513;4312 Bouwrijp maken van terreinen;2023 april;134.4;1.8
514;4312 Bouwrijp maken van terreinen;2023 juli;137.4;0.7
515;4312 Bouwrijp maken van terreinen;2023 oktober;142.2;2.6
516;4312 Bouwrijp maken van terreinen;2024 januari;145.3;7.6
517;4312 Bouwrijp maken van terreinen;2024 april;146.9;9.4
518;4312 Bouwrijp maken van terreinen;2024 juli;147.2;7.1
519;4312 Bouwrijp maken van terreinen;2024 oktober;146.0;2.6
520;4321 Elektrische installatie;2012 januari;99.3;
521;4321 Elektrische installatie;2012 april;99.8;
522;4321 Elektrische installatie;2012 juli;100.5;
523;4321 Elektrische installatie;2012 oktober;99.9;
524;4321 Elektrische installatie;2013 januari;99.6;0.3
525;4321 Elektrische installatie;2013 april;100.7;0.9
526;4321 Elektrische installatie;2013 juli;99.3;-1.3
527;4321 Elektrische installatie;2013 oktober;98.6;-1.3
528;4321 Elektrische installatie;2014 januari;98.9;-0.8
529;4321 Elektrische installatie;2014 april;98.3;-2.4
530;4321 Elektrische installatie;2014 juli;98.8;-0.4
531;4321 Elektrische installatie;2014 oktober;99.5;0.9
532;4321 Elektrische installatie;2015 januari;100.1;1.2
533;4321 Elektrische installatie;2015 april;101.4;3.2
534;4321 Elektrische installatie;2015 juli;100.0;1.1
535;4321 Elektrische installatie;2015 oktober;99.0;-0.5
536;4321 Elektrische installatie;2016 januari;99.1;-1.0
537;4321 Elektrische installatie;2016 april;98.5;-2.9
538;4321 Elektrische installatie;2016 juli;99.4;-0.6
539;4321 Elektrische installatie;2016 oktober;101.0;2.0
540;4321 Elektrische installatie;2017 januari;103.5;4.4
541;4321 Elektrische installatie;2017 april;104.1;5.7
542;4321 Elektrische installatie;2017 juli;103.7;4.4
543;4321 Elektrische installatie;2017 oktober;103.9;2.9
544;4321 Elektrische installatie;2018 januari;103.8;0.3
545;4321 Elektrische installatie;2018 april;103.5;-0.6
546;4321 Elektrische installatie;2018 juli;104.2;0.5
547;4321 Elektrische installatie;2018 oktober;104.3;0.3
548;4321 Elektrische installatie;2019 januari;104.4;0.6
549;4321 Elektrische installatie;2019 april;104.6;1.0
550;4321 Elektrische installatie;2019 juli;105.1;0.9
551;4321 Elektrische installatie;2019 oktober;105.0;0.7
552;4321 Elektrische installatie;2020 januari;105.7;1.3
553;4321 Elektrische installatie;2020 april;104.9;0.4
554;4321 Elektrische installatie;2020 juli;104.9;-0.2
555;4321 Elektrische installatie;2020 oktober;104.0;-0.9
556;4321 Elektrische installatie;2021 januari;105.1;-0.6
557;4321 Elektrische installatie;2021 april;107.3;2.2
558;4321 Elektrische installatie;2021 juli;111.2;6.1
559;4321 Elektrische installatie;2021 oktober;115.0;10.5
560;4321 Elektrische installatie;2022 januari;117.9;12.1
561;4321 Elektrische installatie;2022 april;124.6;16.1
562;4321 Elektrische installatie;2022 juli;127.5;14.6
563;4321 Elektrische installatie;2022 oktober;126.2;9.7
564;4321 Elektrische installatie;2023 januari;124.4;5.5
565;4321 Elektrische installatie;2023 april;123.3;-1.0
566;4321 Elektrische installatie;2023 juli;120.3;-5.7
567;4321 Elektrische installatie;2023 oktober;119.7;-5.1
568;4321 Elektrische installatie;2024 januari;121.0;-2.7
569;4321 Elektrische installatie;2024 april;121.7;-1.3
570;4321 Elektrische installatie;2024 juli;123.1;2.3
571;4321 Elektrische installatie;2024 oktober;122.0;1.9
