ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonen_2;NettoOmzet_3;BrutoWinst_4;TotaalBedrijfslasten_5;Inkoopwaarde_6;Personeelskosten_7;OverigeBedrijfslasten_8;Bedrijfsresultaat_9;ResultaatVoorBelasting_10
230;5244.3 Verlichtingsartikelen;1999;0.3;1.5;0.1;41.9;91.2;58.1;12.9;20.2;8.9;7.5
231;5244.4 Woninginrichting alg. assortiment;1993;1.0;6.4;0.8;37.2;91.8;62.8;14.7;14.3;8.5;7.3
232;5244.4 Woninginrichting alg. assortiment;1994;1.1;6.9;0.8;37.1;92.7;62.9;14.8;15.0;7.7;6.4
233;5244.4 Woninginrichting alg. assortiment;1995;1.1;7.4;0.8;37.2;93.0;62.8;14.7;15.5;7.5;6.4
234;5244.4 Woninginrichting alg. assortiment;1996;1.1;7.8;0.9;37.5;92.8;62.5;14.6;15.7;7.5;6.2
235;5244.4 Woninginrichting alg. assortiment;1997;1.2;8.7;1.0;37.5;93.3;62.5;14.9;15.9;7.2;6.3
236;5244.4 Woninginrichting alg. assortiment;1998;1.3;9.5;1.0;38.0;93.5;62.0;15.3;16.2;7.0;6.1
237;5244.4 Woninginrichting alg. assortiment;1999;1.3;10.0;1.1;37.5;95.5;62.5;16.1;16.9;4.9;4.4
238;5249.7 Vloerbedekking;1993;0.3;2.3;0.2;43.5;95.5;56.5;19.9;19.1;4.7;3.5
239;5249.7 Vloerbedekking;1994;0.3;2.4;0.2;44.0;96.9;56.0;21.7;19.2;3.3;1.8
240;5249.7 Vloerbedekking;1995;0.5;3.5;0.3;43.7;96.6;56.3;21.1;19.2;3.9;3.1
241;5249.7 Vloerbedekking;1996;0.5;3.4;0.3;43.8;95.5;56.2;19.9;19.4;5.1;4.1
242;5249.7 Vloerbedekking;1997;0.5;3.3;0.4;42.6;95.5;57.4;18.5;19.6;4.9;6.1
243;5249.7 Vloerbedekking;1998;0.5;3.4;0.4;42.8;94.9;57.2;18.3;19.4;5.2;6.1
244;5249.7 Vloerbedekking;1999;0.5;3.5;0.4;43.0;94.7;57.0;18.4;19.3;5.6;6.3
245;5244.5/7 G.P.A., huish. art.,speelgoed;1993;2.5;22.9;1.7;33.9;93.0;66.1;12.8;14.1;7.7;7.4
246;5244.5/7 G.P.A., huish. art.,speelgoed;1994;2.6;23.1;1.8;34.4;93.9;65.6;13.3;15.0;6.7;7.2
247;5244.5/7 G.P.A., huish. art.,speelgoed;1995;2.7;23.9;1.8;34.7;93.5;65.3;13.0;15.2;7.5;6.6
248;5244.5/7 G.P.A., huish. art.,speelgoed;1996;2.6;24.2;1.9;34.5;93.8;65.5;12.8;15.5;7.1;6.2
249;5244.5/7 G.P.A., huish. art.,speelgoed;1997;2.5;24.4;2.0;33.8;94.4;66.2;12.8;15.4;6.8;5.9
250;5244.5/7 G.P.A., huish. art.,speelgoed;1998;2.3;23.5;2.0;34.2;93.8;65.8;12.9;15.1;7.4;6.9
251;5244.5/7 G.P.A., huish. art.,speelgoed;1999;2.1;24.0;2.0;34.5;93.4;65.5;12.8;15.1;7.7;7.2
252;5244.5/6 Glas-, porcelein en aardewerk;1993;1.0;4.0;0.2;39.8;87.7;60.2;10.4;17.1;12.8;10.3
253;5244.5/6 Glas-, porcelein en aardewerk;1994;1.1;4.0;0.2;41.2;90.3;58.8;11.9;19.6;10.2;7.4
254;5244.5/6 Glas-, porcelein en aardewerk;1995;1.2;4.1;0.2;39.1;90.6;60.9;11.3;18.4;10.7;8.6
255;5244.5/6 Glas-, porcelein en aardewerk;1996;1.0;3.8;0.2;39.7;90.5;60.3;11.4;18.8;10.7;8.6
256;5244.5/6 Glas-, porcelein en aardewerk;1997;0.9;3.4;0.2;39.3;92.3;60.7;11.9;19.7;8.7;6.9
257;5244.5/6 Glas-, porcelein en aardewerk;1998;0.7;2.8;0.2;39.6;92.3;60.4;12.3;19.6;8.9;8.8
258;5244.5/6 Glas-, porcelein en aardewerk;1999;0.7;2.9;0.2;40.2;91.4;59.8;11.9;19.7;9.6;10.0
259;5244.7 Huishoudelijke art. alg. ass.;1993;0.8;14.4;1.1;33.1;93.6;66.9;13.6;13.1;7.1;7.8
260;5244.7 Huishoudelijke art. alg. ass.;1994;0.8;14.6;1.1;33.8;93.8;66.2;14.0;13.6;7.0;9.2
261;5244.7 Huishoudelijke art. alg. ass.;1995;0.8;15.0;1.2;34.3;93.3;65.7;13.7;13.9;7.5;7.0
262;5244.7 Huishoudelijke art. alg. ass.;1996;0.9;15.6;1.2;33.8;93.8;66.2;13.4;14.2;7.0;6.4
263;5244.7 Huishoudelijke art. alg. ass.;1997;1.0;15.9;1.3;33.1;94.6;66.9;13.5;14.2;6.4;5.8
264;5244.7 Huishoudelijke art. alg. ass.;1998;0.9;15.6;1.3;33.8;93.9;66.2;13.5;14.2;7.1;6.6
265;5244.7 Huishoudelijke art. alg. ass.;1999;0.9;15.8;1.3;34.1;94.0;65.9;13.7;14.4;7.1;6.4
266;5249.5 Speelgoed;1993;0.6;4.6;0.4;32.6;94.0;67.4;11.8;14.8;6.6;4.9
267;5249.5 Speelgoed;1994;0.7;4.5;0.4;32.3;95.9;67.7;12.3;15.9;4.6;2.9
268;5249.5 Speelgoed;1995;0.7;4.8;0.4;33.2;95.6;66.8;11.9;16.9;5.5;4.1
269;5249.5 Speelgoed;1996;0.7;4.8;0.4;33.7;95.5;66.3;11.7;17.5;5.3;4.1
270;5249.5 Speelgoed;1997;0.6;5.1;0.5;32.8;94.7;67.2;10.9;16.6;6.8;5.8
271;5249.5 Speelgoed;1998;0.7;5.1;0.5;33.1;93.9;66.9;11.3;15.7;7.6;7.0
272;5249.5 Speelgoed;1999;0.6;5.3;0.5;33.4;92.9;66.6;10.7;15.6;8.6;8.2
273;5245   Duurzame huishoudelijke artikelen;1993;3.9;20.6;2.8;25.8;96.1;74.2;10.5;11.4;4.2;3.2
274;5245   Duurzame huishoudelijke artikelen;1994;3.8;20.6;2.9;25.8;96.1;74.2;10.5;11.4;4.1;3.3
275;5245   Duurzame huishoudelijke artikelen;1995;3.6;20.6;2.9;25.8;96.1;74.2;10.6;11.3;4.4;3.8
276;5245   Duurzame huishoudelijke artikelen;1996;3.9;21.7;3.0;26.0;96.3;74.0;10.6;11.7;4.2;3.6
277;5245   Duurzame huishoudelijke artikelen;1997;3.7;21.5;3.2;24.9;96.3;75.1;9.8;11.4;4.2;3.4
278;5245   Duurzame huishoudelijke artikelen;1998;3.8;24.0;3.7;24.9;96.1;75.1;9.8;11.2;4.4;3.8
279;5245   Duurzame huishoudelijke artikelen;1999;3.8;25.3;4.0;25.4;95.8;74.6;9.8;11.4;4.7;4.4
280;5245.1/3 Consumenten electronica;1993;3.0;17.6;2.5;24.8;96.4;75.2;10.3;10.9;3.9;2.9
281;5245.1/3 Consumenten electronica;1994;3.0;17.5;2.6;24.7;96.5;75.3;10.2;11.0;3.7;3.0
282;5245.1/3 Consumenten electronica;1995;2.8;17.4;2.6;24.6;96.5;75.4;10.3;10.8;3.9;3.4
283;5245.1/3 Consumenten electronica;1996;2.6;17.0;2.5;25.6;96.6;74.4;10.7;11.5;3.9;3.4
284;5245.1/3 Consumenten electronica;1997;2.4;16.8;2.5;25.4;96.5;74.6;10.3;11.6;3.7;3.2
285;5245.1/3 Consumenten electronica;1998;2.4;18.5;2.9;25.0;96.6;75.0;10.2;11.4;4.1;3.5
286;5245.1/3 Consumenten electronica;1999;2.3;19.2;3.1;25.2;96.3;74.8;10.0;11.5;4.2;4.0
287;5245.3 Geluidsdragers;1993;0.6;2.5;0.2;30.0;93.6;70.0;8.8;14.8;6.4;3.3
288;5245.3 Geluidsdragers;1994;0.6;2.6;0.3;29.8;94.4;70.2;9.2;15.0;5.8;5.1
289;5245.3 Geluidsdragers;1995;0.7;3.0;0.3;28.9;94.2;71.1;9.0;14.1;6.3;5.0
290;5245.3 Geluidsdragers;1996;0.7;3.2;0.3;29.8;93.7;70.2;8.8;14.7;6.5;5.5
291;5245.3 Geluidsdragers;1997;0.7;3.4;0.4;29.2;95.0;70.8;9.1;15.1;5.1;4.0
292;5245.3 Geluidsdragers;1998;0.7;3.7;0.4;29.8;95.4;70.2;9.2;16.0;4.9;4.3
293;5245.3 Geluidsdragers;1999;0.6;4.0;0.4;30.4;94.8;69.6;8.8;16.4;5.5;5.6
294;5249.4 Computers;1993;0.2;0.9;0.1;16.0;100.6;84.0;6.7;9.9;-0.5;-1.9
295;5249.4 Computers;1994;0.2;0.8;0.2;15.6;99.4;84.4;5.5;9.5;0.6;0.2
296;5249.4 Computers;1995;0.2;1.0;0.2;15.5;97.9;84.5;5.7;7.7;2.2;1.9
297;5249.4 Computers;1996;0.3;1.3;0.2;17.4;97.4;82.6;6.5;8.3;2.6;2.0
298;5249.4 Computers;1997;0.4;1.7;0.4;14.8;96.7;85.2;4.8;6.7;3.4;3.0
299;5249.4 Computers;1998;0.5;2.0;0.5;16.5;96.7;83.5;5.6;7.6;3.4;2.9
300;5249.4 Computers;1999;0.5;2.2;0.5;16.9;96.4;83.1;6.0;7.3;3.7;3.3
301;5245.7 Muziekinstrumenten;1993;0.5;1.7;0.2;31.1;94.8;68.9;11.5;14.4;5.6;4.1
302;5245.7 Muziekinstrumenten;1994;0.5;1.5;0.2;33.1;93.8;66.9;11.9;15.0;6.6;4.9
303;5245.7 Muziekinstrumenten;1995;0.4;1.5;0.2;33.6;92.2;66.4;11.5;14.3;8.7;6.8
304;5245.7 Muziekinstrumenten;1996;0.4;1.6;0.2;33.0;93.7;67.0;11.7;15.2;6.7;5.2
305;5245.7 Muziekinstrumenten;1997;0.4;1.3;0.1;33.4;94.2;66.6;12.5;15.1;6.3;4.9
306;5245.7 Muziekinstrumenten;1998;0.4;1.3;0.1;35.4;93.8;64.6;13.3;15.9;6.7;5.6
307;5245.7 Muziekinstrumenten;1999;0.4;1.3;0.1;36.0;92.8;64.0;13.7;15.1;7.9;6.6
308;5245.8 Naai- en breimachines;1993;0.3;0.9;0.0;40.2;90.5;59.8;13.0;17.7;10.5;7.9
309;5245.8 Naai- en breimachines;1994;0.3;1.0;0.0;42.0;91.2;58.0;13.5;19.7;10.0;7.8
310;5245.8 Naai- en breimachines;1995;0.3;0.9;0.0;41.3;90.7;58.7;13.5;18.5;10.5;8.2
311;5245.8 Naai- en breimachines;1996;0.3;0.9;0.0;41.5;90.1;58.5;13.3;18.3;10.8;9.7
312;5245.8 Naai- en breimachines;1997;0.3;0.8;0.0;42.6;89.1;57.4;13.2;18.5;11.9;8.1
313;5245.8 Naai- en breimachines;1998;0.2;0.7;0.0;41.3;86.3;58.7;10.4;17.2;14.9;15.3
314;5245.8 Naai- en breimachines;1999;0.2;0.7;0.0;41.8;84.8;58.2;9.6;17.0;15.8;13.9
315;5248.1 Fotografische artikelen;1993;;;;;;;;;;
316;5248.1 Fotografische artikelen;1994;0.9;4.5;0.4;41.3;93.5;58.7;15.4;19.4;7.1;5.3
317;5248.1 Fotografische artikelen;1995;0.9;4.4;0.4;40.3;93.5;59.7;15.5;18.3;7.2;5.6
318;5248.1 Fotografische artikelen;1996;0.9;4.2;0.4;40.3;92.5;59.7;14.7;18.1;8.0;6.7
319;5248.1 Fotografische artikelen;1997;0.9;4.2;0.4;40.9;92.1;59.1;15.1;17.9;8.4;7.0
320;5248.1 Fotografische artikelen;1998;0.8;4.1;0.4;39.9;91.6;60.1;14.4;17.1;8.9;7.7
321;5248.1 Fotografische artikelen;1999;0.8;4.2;0.4;38.2;92.8;61.8;14.4;16.6;7.6;7.1
322;5246   Doe-het-zelf artikelen;1993;3.6;21.9;2.6;34.2;91.7;65.8;12.4;13.5;8.6;7.3
323;5246   Doe-het-zelf artikelen;1994;3.7;23.6;2.9;34.2;92.0;65.8;12.5;13.7;8.4;7.5
324;5246   Doe-het-zelf artikelen;1995;3.7;25.2;3.0;34.1;92.4;65.9;12.5;14.0;8.0;7.3
325;5246   Doe-het-zelf artikelen;1996;3.8;27.1;3.3;34.4;92.9;65.6;12.7;14.6;7.7;7.1
326;5246   Doe-het-zelf artikelen;1997;3.8;30.6;3.7;34.1;93.2;65.9;12.6;14.7;7.3;6.6
327;5246   Doe-het-zelf artikelen;1998;3.9;34.2;4.1;33.8;93.7;66.2;12.8;14.7;6.8;6.2
328;5246   Doe-het-zelf artikelen;1999;4.0;34.7;4.3;34.7;93.0;65.3;13.0;14.7;7.6;7.1
329;5246.1 IJzerwaren en gereedschappen;1993;0.7;2.8;0.2;36.4;90.5;63.6;15.0;11.9;10.1;8.2
330;5246.1 IJzerwaren en gereedschappen;1994;0.8;3.0;0.3;36.7;90.4;63.3;14.9;12.2;10.0;8.9
331;5246.1 IJzerwaren en gereedschappen;1995;0.8;3.1;0.3;36.6;91.7;63.4;15.3;13.0;9.1;8.2
332;5246.1 IJzerwaren en gereedschappen;1996;0.7;3.1;0.3;36.6;91.6;63.4;15.4;12.8;8.9;7.6
333;5246.1 IJzerwaren en gereedschappen;1997;0.7;3.0;0.3;36.9;91.5;63.1;15.4;13.0;9.3;8.1
334;5246.1 IJzerwaren en gereedschappen;1998;0.7;2.7;0.3;36.2;90.5;63.8;14.2;12.5;9.9;8.4
335;5246.1 IJzerwaren en gereedschappen;1999;0.6;2.7;0.3;37.6;88.8;62.4;13.7;12.7;11.5;10.3
336;5246.2 Verf, verfwaren en behang;1993;0.6;2.0;0.2;40.7;89.1;59.3;13.2;16.6;11.2;9.9
337;5246.2 Verf, verfwaren en behang;1994;0.7;2.3;0.2;39.5;90.6;60.5;12.9;17.2;9.7;8.3
338;5246.2 Verf, verfwaren en behang;1995;0.7;2.3;0.2;39.7;89.7;60.3;12.5;16.9;11.0;9.5
339;5246.2 Verf, verfwaren en behang;1996;0.7;2.3;0.2;39.4;90.1;60.6;13.0;16.5;10.5;9.2
340;5246.2 Verf, verfwaren en behang;1997;0.7;2.5;0.2;40.0;89.6;60.0;12.2;17.4;10.7;8.9
341;5246.2 Verf, verfwaren en behang;1998;0.7;2.4;0.2;40.6;90.9;59.4;12.6;18.9;9.4;7.9
342;5246.2 Verf, verfwaren en behang;1999;0.7;2.5;0.2;41.8;89.9;58.2;13.0;18.7;10.5;10.5
343;5246.5 Keukens;1993;;;;;;;;;;
344;5246.5 Keukens;1994;;;;;;;;;;
345;5246.5 Keukens;1995;0.4;3.6;0.5;34.6;93.5;65.4;13.7;14.4;7.0;6.6
346;5246.5 Keukens;1996;0.5;3.9;0.6;34.6;94.6;65.4;13.7;15.5;6.6;6.3
347;5246.5 Keukens;1997;0.5;4.6;0.7;34.2;94.9;65.8;13.7;15.4;6.2;6.1
348;5246.5 Keukens;1998;0.5;5.3;0.9;34.7;94.1;65.3;13.6;15.2;6.5;6.4
349;5246.5 Keukens;1999;0.5;5.7;1.0;35.6;92.7;64.4;13.6;14.7;7.9;7.9
350;5246.3+8 Hout en Bouwmaterialen alg.ass.;1993;1.3;12.2;1.5;32.6;92.3;67.4;11.7;13.2;8.0;6.6
351;5246.3+8 Hout en Bouwmaterialen alg.ass.;1994;1.4;12.8;1.6;33.0;91.8;67.0;11.7;13.1;8.6;7.8
352;5246.3+8 Hout en Bouwmaterialen alg.ass.;1995;1.4;14.0;1.8;32.5;92.9;67.5;11.5;13.9;7.5;6.8
353;5246.3+8 Hout en Bouwmaterialen alg.ass.;1996;1.4;15.2;1.9;33.2;93.3;66.8;11.9;14.6;7.3;6.7
354;5246.3+8 Hout en Bouwmaterialen alg.ass.;1997;1.3;17.5;2.1;32.6;93.8;67.4;11.9;14.5;6.7;6.0
355;5246.3+8 Hout en Bouwmaterialen alg.ass.;1998;1.3;20.2;2.3;31.9;94.6;68.1;12.1;14.4;6.0;5.4
356;5246.3+8 Hout en Bouwmaterialen alg.ass.;1999;1.4;20.2;2.4;32.7;94.2;67.3;12.4;14.5;6.5;6.0
357;5232/3 Drog-en med.art,parfums,cosmetica;1993;;;;;;;;;;
358;5232/3 Drog-en med.art,parfums,cosmetica;1994;2.1;19.2;1.6;33.7;92.1;66.3;13.1;12.7;8.8;8.2
359;5232/3 Drog-en med.art,parfums,cosmetica;1995;2.1;20.0;1.7;33.3;92.3;66.7;13.0;12.6;8.6;8.1
360;5232/3 Drog-en med.art,parfums,cosmetica;1996;2.1;21.0;1.9;32.6;93.4;67.4;12.8;13.2;7.5;6.7
361;5232/3 Drog-en med.art,parfums,cosmetica;1997;2.1;21.9;2.0;33.0;92.8;67.0;11.9;13.9;8.0;7.1
362;5232/3 Drog-en med.art,parfums,cosmetica;1998;2.1;24.0;2.2;32.9;93.6;67.1;12.2;14.3;7.5;7.0
363;5232/3 Drog-en med.art,parfums,cosmetica;1999;2.0;24.2;2.5;33.1;93.5;66.9;12.2;14.4;7.9;7.1
364;5232.1 Drogisterij artikelen;1993;;;;;;;;;;
365;5232.1 Drogisterij artikelen;1994;1.7;16.1;1.3;32.2;92.2;67.8;12.2;12.2;8.8;8.2
366;5232.1 Drogisterij artikelen;1995;1.7;17.0;1.4;31.9;92.3;68.1;12.2;12.0;8.5;8.0
367;5232.1 Drogisterij artikelen;1996;1.7;17.7;1.5;30.9;93.7;69.1;12.0;12.6;7.2;6.3
368;5232.1 Drogisterij artikelen;1997;1.7;18.3;1.6;31.4;92.9;68.6;11.0;13.3;7.8;6.8
369;5232.1 Drogisterij artikelen;1998;1.7;20.0;1.9;31.6;93.3;68.4;11.3;13.6;7.3;6.7
370;5232.1 Drogisterij artikelen;1999;1.6;20.1;2.0;31.7;93.4;68.3;11.4;13.7;7.8;7.0
371;5232.2 Medische en orthopedische art.;1993;;;;;;;;;;
372;5232.2 Medische en orthopedische art.;1994;0.1;0.8;0.1;42.4;94.1;57.6;21.9;14.6;6.9;8.0
373;5232.2 Medische en orthopedische art.;1995;0.1;0.9;0.1;42.4;90.9;57.6;20.1;13.2;9.3;10.1
374;5232.2 Medische en orthopedische art.;1996;0.1;1.0;0.1;43.7;89.9;56.3;19.6;14.0;10.3;10.2
375;5232.2 Medische en orthopedische art.;1997;0.1;1.3;0.1;41.7;91.5;58.3;17.9;15.3;9.0;9.3
376;5232.2 Medische en orthopedische art.;1998;0.1;1.4;0.1;40.6;91.8;59.4;18.3;14.1;9.2;9.7
377;5232.2 Medische en orthopedische art.;1999;0.1;1.3;0.2;39.7;93.2;60.3;17.2;15.7;8.2;8.2
378;5233   Parfums en cosmetica;1993;;;;;;;;;;
379;5233   Parfums en cosmetica;1994;0.3;2.3;0.2;39.9;91.9;60.1;15.7;16.1;9.9;8.9
380;5233   Parfums en cosmetica;1995;0.3;2.1;0.2;39.5;93.1;60.5;15.6;17.0;8.9;8.1
381;5233   Parfums en cosmetica;1996;0.3;2.3;0.2;39.5;94.3;60.5;15.4;18.4;8.1;7.4
382;5233   Parfums en cosmetica;1997;0.3;2.3;0.2;39.9;93.7;60.1;15.2;18.4;9.1;8.5
383;5233   Parfums en cosmetica;1998;0.3;2.6;0.2;38.4;95.5;61.6;14.6;19.3;7.4;7.3
384;5233   Parfums en cosmetica;1999;0.2;2.7;0.3;40.4;94.8;59.6;15.4;19.8;8.0;7.5
385;5248.2 Optische artikelen;1993;;;;;;;;;;
386;5248.2 Optische artikelen;1994;1.3;7.0;0.6;61.0;90.9;39.0;26.1;25.8;10.4;8.9
387;5248.2 Optische artikelen;1995;1.2;7.0;0.5;60.8;90.4;39.2;25.4;25.8;11.1;9.9
388;5248.2 Optische artikelen;1996;1.2;7.3;0.6;62.0;89.1;38.0;24.8;26.3;12.5;11.0
389;5248.2 Optische artikelen;1997;1.2;7.2;0.6;62.9;88.1;37.1;24.6;26.4;13.4;12.1
390;5248.2 Optische artikelen;1998;1.1;7.5;0.6;62.5;87.9;37.5;24.6;25.8;13.5;12.5
391;5248.2 Optische artikelen;1999;1.2;7.8;0.7;62.0;87.5;38.0;24.0;25.5;14.0;13.2
392;5248.3 Juweliers artikelen en uurwerken;1993;;;;;;;;;;
393;5248.3 Juweliers artikelen en uurwerken;1994;1.6;7.6;0.6;45.4;87.8;54.6;14.9;18.3;12.7;9.4
394;5248.3 Juweliers artikelen en uurwerken;1995;1.5;7.4;0.6;45.8;88.1;54.2;15.4;18.5;12.5;10.0
395;5248.3 Juweliers artikelen en uurwerken;1996;1.5;7.8;0.6;46.6;87.9;53.4;15.1;19.4;12.5;10.2
396;5248.3 Juweliers artikelen en uurwerken;1997;1.5;8.1;0.6;45.4;88.7;54.6;14.6;19.5;12.1;10.3
397;5248.3 Juweliers artikelen en uurwerken;1998;1.5;8.4;0.7;45.3;88.1;54.7;14.5;18.9;12.4;10.6
398;5248.3 Juweliers artikelen en uurwerken;1999;1.4;8.4;0.7;45.1;88.1;54.9;14.4;18.8;12.4;11.1
399;5249.1 Bloemen en planten;1993;;;;;;;;;;
400;5249.1 Bloemen en planten;1994;3.9;15.6;0.8;43.1;88.1;56.9;13.2;18.0;12.3;11.6
401;5249.1 Bloemen en planten;1995;3.9;15.7;0.7;44.0;87.6;56.0;13.6;18.0;12.8;11.8
402;5249.1 Bloemen en planten;1996;4.0;15.3;0.8;43.4;88.0;56.6;12.7;18.7;12.4;11.5
403;5249.1 Bloemen en planten;1997;3.9;15.4;0.8;43.3;89.0;56.7;13.1;19.2;11.2;10.4
404;5249.1 Bloemen en planten;1998;3.9;15.4;0.8;43.4;87.4;56.6;12.5;18.3;12.7;12.0
405;5249.1 Bloemen en planten;1999;3.8;16.7;0.9;44.0;88.0;56.0;13.6;18.4;12.3;11.5
406;5249.2 Tuincentra;1993;;;;;;;;;;
407;5249.2 Tuincentra;1994;0.5;3.8;0.3;40.2;92.4;59.8;16.3;16.3;8.0;6.5
408;5249.2 Tuincentra;1995;0.5;4.7;0.4;39.6;91.6;60.4;16.0;15.2;9.0;7.5
409;5249.2 Tuincentra;1996;0.6;5.7;0.4;39.3;92.6;60.7;15.9;16.0;8.3;7.5
410;5249.2 Tuincentra;1997;0.6;6.7;0.5;39.9;92.4;60.1;16.0;16.3;8.1;6.9
411;5249.2 Tuincentra;1998;0.6;7.1;0.5;39.7;93.6;60.3;17.1;16.2;6.6;5.6
412;5249.2 Tuincentra;1999;0.6;7.8;0.6;40.3;93.8;59.7;17.0;17.1;6.5;5.3
413;5249.3 Dieren en dierbenodigdheden;1993;;;;;;;;;;
414;5249.3 Dieren en dierbenodigdheden;1994;1.5;3.9;0.3;32.4;90.1;67.6;7.7;14.8;11.2;10.1
415;5249.3 Dieren en dierbenodigdheden;1995;1.5;4.1;0.3;32.6;89.1;67.4;7.4;14.3;11.8;10.9
416;5249.3 Dieren en dierbenodigdheden;1996;1.5;4.2;0.3;32.9;89.4;67.1;6.9;15.4;11.6;10.3
417;5249.3 Dieren en dierbenodigdheden;1997;1.5;4.6;0.3;34.1;89.0;65.9;7.3;15.8;11.7;10.5
418;5249.3 Dieren en dierbenodigdheden;1998;1.5;4.6;0.3;34.8;89.1;65.2;7.5;16.4;11.4;10.4
419;5249.3 Dieren en dierbenodigdheden;1999;1.5;4.8;0.3;36.1;89.0;63.9;7.9;17.2;11.1;10.0
420;5247   Boeken,tijdschr,kantoor/schoolben;1993;;;;;;;;;;
421;5247   Boeken,tijdschr,kantoor/schoolben;1994;2.0;11.5;1.1;29.5;94.5;70.5;12.0;12.0;5.9;4.5
422;5247   Boeken,tijdschr,kantoor/schoolben;1995;2.0;11.9;1.2;29.7;94.6;70.3;12.1;12.2;6.0;5.4
423;5247   Boeken,tijdschr,kantoor/schoolben;1996;2.0;12.8;1.3;29.4;94.4;70.6;11.8;12.0;5.9;5.0
424;5247   Boeken,tijdschr,kantoor/schoolben;1997;2.0;13.2;1.3;30.0;94.2;70.0;11.9;12.3;6.1;5.3
425;5247   Boeken,tijdschr,kantoor/schoolben;1998;2.0;13.8;1.4;30.0;95.1;70.0;12.1;13.0;5.5;4.9
426;5247   Boeken,tijdschr,kantoor/schoolben;1999;1.9;13.4;1.4;30.0;94.9;70.0;11.7;13.2;5.4;4.9
427;5247.1 Boeken, tijdschriften en kranten;1993;;;;;;;;;;
428;5247.1 Boeken, tijdschriften en kranten;1994;;;;;;;;;;
429;5247.1 Boeken, tijdschriften en kranten;1995;1.1;7.3;0.8;28.7;95.2;71.3;11.9;12.0;5.5;5.3
430;5247.1 Boeken, tijdschriften en kranten;1996;1.1;7.4;0.8;28.1;95.0;71.9;11.4;11.7;5.5;4.9
431;5247.1 Boeken, tijdschriften en kranten;1997;1.1;7.6;0.8;29.1;94.7;70.9;11.8;12.0;5.8;5.2
432;5247.1 Boeken, tijdschriften en kranten;1998;1.1;8.0;0.9;29.1;95.6;70.9;11.9;12.8;5.2;4.8
433;5247.1 Boeken, tijdschriften en kranten;1999;1.0;7.5;0.8;29.7;95.2;70.3;11.7;13.2;5.1;4.8
434;5247.2 Kantoor- en schoolben. en alg.ass;1993;;;;;;;;;;
435;5247.2 Kantoor- en schoolben. en alg.ass;1994;0.8;4.5;0.4;31.3;93.3;68.7;12.1;12.5;7.0;5.5
436;5247.2 Kantoor- en schoolben. en alg.ass;1995;0.8;4.6;0.4;31.5;93.5;68.5;12.4;12.6;6.9;5.5
437;5247.2 Kantoor- en schoolben. en alg.ass;1996;0.9;5.4;0.5;31.8;93.5;68.2;12.6;12.7;6.8;5.2
438;5247.2 Kantoor- en schoolben. en alg.ass;1997;0.9;5.6;0.5;31.6;93.6;68.4;12.3;12.9;6.7;5.4
439;5247.2 Kantoor- en schoolben. en alg.ass;1998;0.9;5.8;0.5;31.7;94.2;68.3;12.5;13.4;6.0;5.0
440;5247.2 Kantoor- en schoolben. en alg.ass;1999;0.9;6.0;0.5;30.4;94.4;69.6;11.7;13.1;6.0;5.1
441;5248.5 Fietsen;1993;;;;;;;;;;
442;5248.5 Fietsen;1994;2.6;7.2;0.7;31.9;87.4;68.1;8.4;10.9;13.3;11.5
443;5248.5 Fietsen;1995;2.6;7.2;0.7;31.3;87.8;68.7;8.3;10.8;13.0;11.6
444;5248.5 Fietsen;1996;2.6;7.3;0.7;31.5;88.1;68.5;8.5;11.1;12.4;11.0
445;5248.5 Fietsen;1997;2.3;7.4;0.8;31.3;88.1;68.7;8.4;11.0;12.5;11.3
446;5248.5 Fietsen;1998;2.3;7.5;0.8;31.2;87.9;68.8;8.2;10.9;12.6;11.5
447;5248.5 Fietsen;1999;2.2;7.4;0.8;32.9;87.6;67.1;8.8;11.7;13.0;11.8
448;5248.6/8 Sport- en kampeerartikelen;1993;;;;;;;;;;
449;5248.6/8 Sport- en kampeerartikelen;1994;1.4;7.0;0.6;35.9;92.3;64.1;12.0;16.2;8.1;5.7
450;5248.6/8 Sport- en kampeerartikelen;1995;1.4;7.3;0.7;35.9;91.4;64.1;11.7;15.6;8.9;7.1
451;5248.6/8 Sport- en kampeerartikelen;1996;1.5;7.3;0.7;36.8;90.7;63.2;11.5;16.0;9.7;8.0
452;5248.6/8 Sport- en kampeerartikelen;1997;1.6;8.6;0.8;36.5;91.0;63.5;11.5;16.0;9.4;8.1
453;5248.6/8 Sport- en kampeerartikelen;1998;1.6;9.4;0.9;36.0;91.3;64.0;11.2;16.1;9.0;7.6
454;5248.6/8 Sport- en kampeerartikelen;1999;1.6;9.9;1.0;35.5;92.4;64.5;11.0;16.9;8.0;6.8
455;526    Detailhandel niet in winkel, tot.;1993;;;;;;;;;;
456;526    Detailhandel niet in winkel, tot.;1994;;;;;;;;;;
457;526    Detailhandel niet in winkel, tot.;1995;;;;;;;;;;
458;526    Detailhandel niet in winkel, tot.;1996;15.6;33.8;2.9;35.1;89.3;64.9;6.8;17.6;12.2;11.4
459;526    Detailhandel niet in winkel, tot.;1997;15.3;36.2;3.0;35.4;89.7;64.6;7.3;17.8;11.9;11.3
460;526    Detailhandel niet in winkel, tot.;1998;14.6;36.2;2.9;36.2;90.7;63.8;7.7;19.2;11.2;10.4
