ID;Landbouwdieren;Perioden;Veestapel_1
423;Overige geiten, 7 mnd - 1 jaar;2019 december;4
424;Overige geiten, 7 mnd - 1 jaar;2020 april;2
425;Overige geiten, 7 mnd - 1 jaar;2020 december;4
426;Overige geiten, 7 mnd - 1 jaar;2021 april;1
427;Overige geiten, 7 mnd - 1 jaar;2021 december;2
428;Overige geiten, 7 mnd - 1 jaar;2022 april;2
429;Overige geiten, 7 mnd - 1 jaar;2022 december;2
430;Overige geiten, 7 mnd - 1 jaar;2023 april;1
431;Overige geiten, 7 mnd - 1 jaar;2023 december;2
432;Overige geiten, 7 mnd - 1 jaar;2024 april;1
433;Overige geiten, 7 mnd - 1 jaar;2024 december;2
434;Overige geiten, 1 jaar of ouder;2018 april;9
435;Overige geiten, 1 jaar of ouder;2018 december;9
436;Overige geiten, 1 jaar of ouder;2019 april;13
437;Overige geiten, 1 jaar of ouder;2019 december;13
438;Overige geiten, 1 jaar of ouder;2020 april;12
439;Overige geiten, 1 jaar of ouder;2020 december;12
440;Overige geiten, 1 jaar of ouder;2021 april;11
441;Overige geiten, 1 jaar of ouder;2021 december;11
442;Overige geiten, 1 jaar of ouder;2022 april;12
443;Overige geiten, 1 jaar of ouder;2022 december;11
444;Overige geiten, 1 jaar of ouder;2023 april;12
445;Overige geiten, 1 jaar of ouder;2023 december;11
446;Overige geiten, 1 jaar of ouder;2024 april;11
447;Overige geiten, 1 jaar of ouder;2024 december;11
448;Bokken, >= 7 maanden;2018 april;9
449;Bokken, >= 7 maanden;2018 december;10
450;Bokken, >= 7 maanden;2019 april;10
451;Bokken, >= 7 maanden;2019 december;11
452;Bokken, >= 7 maanden;2020 april;10
453;Bokken, >= 7 maanden;2020 december;11
454;Bokken, >= 7 maanden;2021 april;10
455;Bokken, >= 7 maanden;2021 december;11
456;Bokken, >= 7 maanden;2022 april;10
457;Bokken, >= 7 maanden;2022 december;11
458;Bokken, >= 7 maanden;2023 april;10
459;Bokken, >= 7 maanden;2023 december;11
460;Bokken, >= 7 maanden;2024 april;10
461;Bokken, >= 7 maanden;2024 december;11
462;Kippen (totaal);2018 april;97792
463;Kippen (totaal);2018 december;94892
464;Kippen (totaal);2019 april;93963
465;Kippen (totaal);2019 december;92974
466;Kippen (totaal);2020 april;95153
467;Kippen (totaal);2020 december;87456
468;Kippen (totaal);2021 april;89508
469;Kippen (totaal);2021 december;89503
470;Kippen (totaal);2022 april;88372
471;Kippen (totaal);2022 december;83086
472;Kippen (totaal);2023 april;86274
473;Kippen (totaal);2023 december;82036
474;Kippen (totaal);2024 april;83285
475;Kippen (totaal);2024 december;82339
476;Leghennen (totaal);2018 april;45773
477;Leghennen (totaal);2018 december;43169
478;Leghennen (totaal);2019 april;42609
479;Leghennen (totaal);2019 december;41597
480;Leghennen (totaal);2020 april;42015
481;Leghennen (totaal);2020 december;42260
482;Leghennen (totaal);2021 april;42442
483;Leghennen (totaal);2021 december;41899
484;Leghennen (totaal);2022 april;41334
485;Leghennen (totaal);2022 december;40319
486;Leghennen (totaal);2023 april;41953
487;Leghennen (totaal);2023 december;39991
488;Leghennen (totaal);2024 april;39332
489;Leghennen (totaal);2024 december;37569
490;Leghennen, opfok;2018 april;11209
491;Leghennen, opfok;2018 december;10046
492;Leghennen, opfok;2019 april;9804
493;Leghennen, opfok;2019 december;9810
