ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
3253;13-15 Man. of textile-, leatherproducts;2014 January;1;1;0
3254;13-15 Man. of textile-, leatherproducts;2014 February;4;1;3
3255;13-15 Man. of textile-, leatherproducts;2014 March;1;0;1
3256;13-15 Man. of textile-, leatherproducts;2014 1st quarter;6;2;4
3257;13-15 Man. of textile-, leatherproducts;2014 April;1;0;1
3258;16+23 Man of wooden and buildingmaterial;1993 January;1;0;1
3259;16+23 Man of wooden and buildingmaterial;1993 February;3;1;2
3260;16+23 Man of wooden and buildingmaterial;1993 March;3;1;2
3261;16+23 Man of wooden and buildingmaterial;1993 1st quarter;7;2;5
3262;16+23 Man of wooden and buildingmaterial;1993 April;7;1;6
3263;16+23 Man of wooden and buildingmaterial;1993 May;4;0;4
3264;16+23 Man of wooden and buildingmaterial;1993 June;7;1;6
3265;16+23 Man of wooden and buildingmaterial;1993 2nd quarter;18;2;16
3266;16+23 Man of wooden and buildingmaterial;1993 July;4;2;2
3267;16+23 Man of wooden and buildingmaterial;1993 August;6;2;4
3268;16+23 Man of wooden and buildingmaterial;1993 September;4;0;4
3269;16+23 Man of wooden and buildingmaterial;1993 3rd quarter;14;4;10
3270;16+23 Man of wooden and buildingmaterial;1993 October;2;0;2
3271;16+23 Man of wooden and buildingmaterial;1993 November;3;2;1
3272;16+23 Man of wooden and buildingmaterial;1993 December;5;0;5
3273;16+23 Man of wooden and buildingmaterial;1993 4th quarter;10;2;8
3274;16+23 Man of wooden and buildingmaterial;1993;49;10;39
3275;16+23 Man of wooden and buildingmaterial;1994 January;1;1;0
3276;16+23 Man of wooden and buildingmaterial;1994 February;2;1;1
3277;16+23 Man of wooden and buildingmaterial;1994 March;6;2;4
3278;16+23 Man of wooden and buildingmaterial;1994 1st quarter;9;4;5
3279;16+23 Man of wooden and buildingmaterial;1994 April;3;1;2
3280;16+23 Man of wooden and buildingmaterial;1994 May;7;2;5
3281;16+23 Man of wooden and buildingmaterial;1994 June;5;1;4
3282;16+23 Man of wooden and buildingmaterial;1994 2nd quarter;15;4;11
3283;16+23 Man of wooden and buildingmaterial;1994 July;4;2;2
3284;16+23 Man of wooden and buildingmaterial;1994 August;4;1;3
3285;16+23 Man of wooden and buildingmaterial;1994 September;2;0;2
3286;16+23 Man of wooden and buildingmaterial;1994 3rd quarter;10;3;7
3287;16+23 Man of wooden and buildingmaterial;1994 October;3;1;2
3288;16+23 Man of wooden and buildingmaterial;1994 November;3;2;1
3289;16+23 Man of wooden and buildingmaterial;1994 December;3;1;2
3290;16+23 Man of wooden and buildingmaterial;1994 4th quarter;9;4;5
3291;16+23 Man of wooden and buildingmaterial;1994;43;15;28
3292;16+23 Man of wooden and buildingmaterial;1995 January;4;1;3
3293;16+23 Man of wooden and buildingmaterial;1995 February;5;3;2
3294;16+23 Man of wooden and buildingmaterial;1995 March;8;2;6
3295;16+23 Man of wooden and buildingmaterial;1995 1st quarter;17;6;11
3296;16+23 Man of wooden and buildingmaterial;1995 April;3;1;2
3297;16+23 Man of wooden and buildingmaterial;1995 May;2;0;2
3298;16+23 Man of wooden and buildingmaterial;1995 June;9;2;7
3299;16+23 Man of wooden and buildingmaterial;1995 2nd quarter;14;3;11
3300;16+23 Man of wooden and buildingmaterial;1995 July;4;1;3
3301;16+23 Man of wooden and buildingmaterial;1995 August;2;1;1
3302;16+23 Man of wooden and buildingmaterial;1995 September;5;0;5
3303;16+23 Man of wooden and buildingmaterial;1995 3rd quarter;11;2;9
3304;16+23 Man of wooden and buildingmaterial;1995 October;3;0;3
3305;16+23 Man of wooden and buildingmaterial;1995 November;3;0;3
3306;16+23 Man of wooden and buildingmaterial;1995 December;4;3;1
3307;16+23 Man of wooden and buildingmaterial;1995 4th quarter;10;3;7
3308;16+23 Man of wooden and buildingmaterial;1995;52;14;38
3309;16+23 Man of wooden and buildingmaterial;1996 January;5;2;3
3310;16+23 Man of wooden and buildingmaterial;1996 February;2;1;1
3311;16+23 Man of wooden and buildingmaterial;1996 March;3;1;2
3312;16+23 Man of wooden and buildingmaterial;1996 1st quarter;10;4;6
3313;16+23 Man of wooden and buildingmaterial;1996 April;1;0;1
3314;16+23 Man of wooden and buildingmaterial;1996 May;2;0;2
3315;16+23 Man of wooden and buildingmaterial;1996 June;1;0;1
3316;16+23 Man of wooden and buildingmaterial;1996 2nd quarter;4;0;4
3317;16+23 Man of wooden and buildingmaterial;1996 July;2;1;1
3318;16+23 Man of wooden and buildingmaterial;1996 August;5;1;4
3319;16+23 Man of wooden and buildingmaterial;1996 September;1;1;0
3320;16+23 Man of wooden and buildingmaterial;1996 3rd quarter;8;3;5
3321;16+23 Man of wooden and buildingmaterial;1996 October;1;0;1
3322;16+23 Man of wooden and buildingmaterial;1996 November;2;1;1
3323;16+23 Man of wooden and buildingmaterial;1996 December;2;0;2
3324;16+23 Man of wooden and buildingmaterial;1996 4th quarter;5;1;4
3325;16+23 Man of wooden and buildingmaterial;1996;27;8;19
3326;16+23 Man of wooden and buildingmaterial;1997 January;3;2;1
3327;16+23 Man of wooden and buildingmaterial;1997 February;5;1;4
3328;16+23 Man of wooden and buildingmaterial;1997 March;2;1;1
3329;16+23 Man of wooden and buildingmaterial;1997 1st quarter;10;4;6
3330;16+23 Man of wooden and buildingmaterial;1997 April;4;0;4
3331;16+23 Man of wooden and buildingmaterial;1997 May;4;0;4
3332;16+23 Man of wooden and buildingmaterial;1997 June;1;1;0
3333;16+23 Man of wooden and buildingmaterial;1997 2nd quarter;9;1;8
3334;16+23 Man of wooden and buildingmaterial;1997 July;3;1;2
3335;16+23 Man of wooden and buildingmaterial;1997 August;6;0;6
3336;16+23 Man of wooden and buildingmaterial;1997 September;3;0;3
3337;16+23 Man of wooden and buildingmaterial;1997 3rd quarter;12;1;11
3338;16+23 Man of wooden and buildingmaterial;1997 October;5;3;2
3339;16+23 Man of wooden and buildingmaterial;1997 November;3;2;1
3340;16+23 Man of wooden and buildingmaterial;1997 December;5;0;5
3341;16+23 Man of wooden and buildingmaterial;1997 4th quarter;13;5;8
3342;16+23 Man of wooden and buildingmaterial;1997;44;11;33
3343;16+23 Man of wooden and buildingmaterial;1998 January;3;2;1
3344;16+23 Man of wooden and buildingmaterial;1998 February;3;1;2
3345;16+23 Man of wooden and buildingmaterial;1998 March;2;1;1
3346;16+23 Man of wooden and buildingmaterial;1998 1st quarter;8;4;4
3347;16+23 Man of wooden and buildingmaterial;1998 April;1;1;0
3348;16+23 Man of wooden and buildingmaterial;1998 May;1;0;1
3349;16+23 Man of wooden and buildingmaterial;1998 June;2;1;1
3350;16+23 Man of wooden and buildingmaterial;1998 2nd quarter;4;2;2
3351;16+23 Man of wooden and buildingmaterial;1998 July;2;0;2
3352;16+23 Man of wooden and buildingmaterial;1998 August;1;0;1
3353;16+23 Man of wooden and buildingmaterial;1998 September;1;1;0
3354;16+23 Man of wooden and buildingmaterial;1998 3rd quarter;4;1;3
3355;16+23 Man of wooden and buildingmaterial;1998 October;1;0;1
3356;16+23 Man of wooden and buildingmaterial;1998 November;2;0;2
3357;16+23 Man of wooden and buildingmaterial;1998 December;3;0;3
3358;16+23 Man of wooden and buildingmaterial;1998 4th quarter;6;0;6
3359;16+23 Man of wooden and buildingmaterial;1998;22;7;15
3360;16+23 Man of wooden and buildingmaterial;1999 January;1;0;1
3361;16+23 Man of wooden and buildingmaterial;1999 February;9;2;7
3362;16+23 Man of wooden and buildingmaterial;1999 March;4;1;3
3363;16+23 Man of wooden and buildingmaterial;1999 1st quarter;14;3;11
3364;16+23 Man of wooden and buildingmaterial;1999 April;1;0;1
3365;16+23 Man of wooden and buildingmaterial;1999 May;1;0;1
3366;16+23 Man of wooden and buildingmaterial;1999 June;0;0;0
3367;16+23 Man of wooden and buildingmaterial;1999 2nd quarter;2;0;2
3368;16+23 Man of wooden and buildingmaterial;1999 July;2;0;2
3369;16+23 Man of wooden and buildingmaterial;1999 August;4;1;3
3370;16+23 Man of wooden and buildingmaterial;1999 September;2;1;1
3371;16+23 Man of wooden and buildingmaterial;1999 3rd quarter;8;2;6
3372;16+23 Man of wooden and buildingmaterial;1999 October;2;1;1
3373;16+23 Man of wooden and buildingmaterial;1999 November;0;0;0
3374;16+23 Man of wooden and buildingmaterial;1999 December;1;0;1
3375;16+23 Man of wooden and buildingmaterial;1999 4th quarter;3;1;2
3376;16+23 Man of wooden and buildingmaterial;1999;27;6;21
3377;16+23 Man of wooden and buildingmaterial;2000 January;0;0;0
3378;16+23 Man of wooden and buildingmaterial;2000 February;1;1;0
3379;16+23 Man of wooden and buildingmaterial;2000 March;4;0;4
3380;16+23 Man of wooden and buildingmaterial;2000 1st quarter;5;1;4
3381;16+23 Man of wooden and buildingmaterial;2000 April;3;1;2
3382;16+23 Man of wooden and buildingmaterial;2000 May;1;0;1
3383;16+23 Man of wooden and buildingmaterial;2000 June;1;0;1
3384;16+23 Man of wooden and buildingmaterial;2000 2nd quarter;5;1;4
3385;16+23 Man of wooden and buildingmaterial;2000 July;1;0;1
3386;16+23 Man of wooden and buildingmaterial;2000 August;1;0;1
3387;16+23 Man of wooden and buildingmaterial;2000 September;1;1;0
3388;16+23 Man of wooden and buildingmaterial;2000 3rd quarter;3;1;2
3389;16+23 Man of wooden and buildingmaterial;2000 October;4;1;3
3390;16+23 Man of wooden and buildingmaterial;2000 November;2;0;2
3391;16+23 Man of wooden and buildingmaterial;2000 December;0;0;0
3392;16+23 Man of wooden and buildingmaterial;2000 4th quarter;6;1;5
3393;16+23 Man of wooden and buildingmaterial;2000;19;4;15
3394;16+23 Man of wooden and buildingmaterial;2001 January;5;2;3
3395;16+23 Man of wooden and buildingmaterial;2001 February;5;0;5
3396;16+23 Man of wooden and buildingmaterial;2001 March;2;1;1
3397;16+23 Man of wooden and buildingmaterial;2001 1st quarter;12;3;9
3398;16+23 Man of wooden and buildingmaterial;2001 April;0;0;0
3399;16+23 Man of wooden and buildingmaterial;2001 May;3;0;3
3400;16+23 Man of wooden and buildingmaterial;2001 June;2;1;1
3401;16+23 Man of wooden and buildingmaterial;2001 2nd quarter;5;1;4
3402;16+23 Man of wooden and buildingmaterial;2001 July;7;0;7
3403;16+23 Man of wooden and buildingmaterial;2001 August;4;1;3
3404;16+23 Man of wooden and buildingmaterial;2001 September;1;0;1
3405;16+23 Man of wooden and buildingmaterial;2001 3rd quarter;12;1;11
3406;16+23 Man of wooden and buildingmaterial;2001 October;2;0;2
3407;16+23 Man of wooden and buildingmaterial;2001 November;2;0;2
3408;16+23 Man of wooden and buildingmaterial;2001 December;2;0;2
3409;16+23 Man of wooden and buildingmaterial;2001 4th quarter;6;0;6
3410;16+23 Man of wooden and buildingmaterial;2001;35;5;30
3411;16+23 Man of wooden and buildingmaterial;2002 January;5;0;5
3412;16+23 Man of wooden and buildingmaterial;2002 February;1;0;1
3413;16+23 Man of wooden and buildingmaterial;2002 March;4;3;1
3414;16+23 Man of wooden and buildingmaterial;2002 1st quarter;10;3;7
3415;16+23 Man of wooden and buildingmaterial;2002 April;3;1;2
3416;16+23 Man of wooden and buildingmaterial;2002 May;3;2;1
3417;16+23 Man of wooden and buildingmaterial;2002 June;2;0;2
3418;16+23 Man of wooden and buildingmaterial;2002 2nd quarter;8;3;5
3419;16+23 Man of wooden and buildingmaterial;2002 July;3;0;3
3420;16+23 Man of wooden and buildingmaterial;2002 August;1;0;1
3421;16+23 Man of wooden and buildingmaterial;2002 September;5;2;3
3422;16+23 Man of wooden and buildingmaterial;2002 3rd quarter;9;2;7
3423;16+23 Man of wooden and buildingmaterial;2002 October;4;1;3
3424;16+23 Man of wooden and buildingmaterial;2002 November;1;0;1
3425;16+23 Man of wooden and buildingmaterial;2002 December;3;1;2
3426;16+23 Man of wooden and buildingmaterial;2002 4th quarter;8;2;6
3427;16+23 Man of wooden and buildingmaterial;2002;35;10;25
3428;16+23 Man of wooden and buildingmaterial;2003 January;5;1;4
3429;16+23 Man of wooden and buildingmaterial;2003 February;4;0;4
3430;16+23 Man of wooden and buildingmaterial;2003 March;3;0;3
3431;16+23 Man of wooden and buildingmaterial;2003 1st quarter;12;1;11
3432;16+23 Man of wooden and buildingmaterial;2003 April;6;2;4
3433;16+23 Man of wooden and buildingmaterial;2003 May;2;0;2
3434;16+23 Man of wooden and buildingmaterial;2003 June;6;1;5
3435;16+23 Man of wooden and buildingmaterial;2003 2nd quarter;14;3;11
3436;16+23 Man of wooden and buildingmaterial;2003 July;3;0;3
3437;16+23 Man of wooden and buildingmaterial;2003 August;4;0;4
3438;16+23 Man of wooden and buildingmaterial;2003 September;4;1;3
3439;16+23 Man of wooden and buildingmaterial;2003 3rd quarter;11;1;10
3440;16+23 Man of wooden and buildingmaterial;2003 October;1;0;1
3441;16+23 Man of wooden and buildingmaterial;2003 November;11;3;8
3442;16+23 Man of wooden and buildingmaterial;2003 December;1;0;1
3443;16+23 Man of wooden and buildingmaterial;2003 4th quarter;13;3;10
3444;16+23 Man of wooden and buildingmaterial;2003;50;8;42
3445;16+23 Man of wooden and buildingmaterial;2004 January;4;2;2
3446;16+23 Man of wooden and buildingmaterial;2004 February;6;1;5
3447;16+23 Man of wooden and buildingmaterial;2004 March;8;0;8
3448;16+23 Man of wooden and buildingmaterial;2004 1st quarter;18;3;15
3449;16+23 Man of wooden and buildingmaterial;2004 April;2;0;2
3450;16+23 Man of wooden and buildingmaterial;2004 May;4;2;2
3451;16+23 Man of wooden and buildingmaterial;2004 June;1;0;1
3452;16+23 Man of wooden and buildingmaterial;2004 2nd quarter;7;2;5
3453;16+23 Man of wooden and buildingmaterial;2004 July;5;0;5
3454;16+23 Man of wooden and buildingmaterial;2004 August;7;2;5
3455;16+23 Man of wooden and buildingmaterial;2004 September;1;0;1
3456;16+23 Man of wooden and buildingmaterial;2004 3rd quarter;13;2;11
3457;16+23 Man of wooden and buildingmaterial;2004 October;2;0;2
3458;16+23 Man of wooden and buildingmaterial;2004 November;0;0;0
3459;16+23 Man of wooden and buildingmaterial;2004 December;1;0;1
3460;16+23 Man of wooden and buildingmaterial;2004 4th quarter;3;0;3
3461;16+23 Man of wooden and buildingmaterial;2004;41;7;34
3462;16+23 Man of wooden and buildingmaterial;2005 January;2;1;1
3463;16+23 Man of wooden and buildingmaterial;2005 February;3;0;3
3464;16+23 Man of wooden and buildingmaterial;2005 March;5;0;5
3465;16+23 Man of wooden and buildingmaterial;2005 1st quarter;10;1;9
3466;16+23 Man of wooden and buildingmaterial;2005 April;2;0;2
3467;16+23 Man of wooden and buildingmaterial;2005 May;3;0;3
3468;16+23 Man of wooden and buildingmaterial;2005 June;4;2;2
3469;16+23 Man of wooden and buildingmaterial;2005 2nd quarter;9;2;7
3470;16+23 Man of wooden and buildingmaterial;2005 July;7;0;7
3471;16+23 Man of wooden and buildingmaterial;2005 August;2;0;2
3472;16+23 Man of wooden and buildingmaterial;2005 September;3;0;3
3473;16+23 Man of wooden and buildingmaterial;2005 3rd quarter;12;0;12
3474;16+23 Man of wooden and buildingmaterial;2005 October;0;0;0
3475;16+23 Man of wooden and buildingmaterial;2005 November;3;1;2
3476;16+23 Man of wooden and buildingmaterial;2005 December;3;3;0
3477;16+23 Man of wooden and buildingmaterial;2005 4th quarter;6;4;2
3478;16+23 Man of wooden and buildingmaterial;2005;37;7;30
3479;16+23 Man of wooden and buildingmaterial;2006 January;3;0;3
3480;16+23 Man of wooden and buildingmaterial;2006 February;3;0;3
3481;16+23 Man of wooden and buildingmaterial;2006 March;5;1;4
3482;16+23 Man of wooden and buildingmaterial;2006 1st quarter;11;1;10
3483;16+23 Man of wooden and buildingmaterial;2006 April;3;0;3
3484;16+23 Man of wooden and buildingmaterial;2006 May;1;1;0
3485;16+23 Man of wooden and buildingmaterial;2006 June;3;0;3
3486;16+23 Man of wooden and buildingmaterial;2006 2nd quarter;7;1;6
3487;16+23 Man of wooden and buildingmaterial;2006 July;5;1;4
3488;16+23 Man of wooden and buildingmaterial;2006 August;5;0;5
3489;16+23 Man of wooden and buildingmaterial;2006 September;3;0;3
3490;16+23 Man of wooden and buildingmaterial;2006 3rd quarter;13;1;12
3491;16+23 Man of wooden and buildingmaterial;2006 October;6;1;5
3492;16+23 Man of wooden and buildingmaterial;2006 November;3;0;3
3493;16+23 Man of wooden and buildingmaterial;2006 December;2;1;1
3494;16+23 Man of wooden and buildingmaterial;2006 4th quarter;11;2;9
3495;16+23 Man of wooden and buildingmaterial;2006;42;5;37
3496;16+23 Man of wooden and buildingmaterial;2007 January;3;0;3
3497;16+23 Man of wooden and buildingmaterial;2007 February;4;0;4
3498;16+23 Man of wooden and buildingmaterial;2007 March;3;0;3
3499;16+23 Man of wooden and buildingmaterial;2007 1st quarter;10;0;10
3500;16+23 Man of wooden and buildingmaterial;2007 April;2;0;2
3501;16+23 Man of wooden and buildingmaterial;2007 May;8;1;7
3502;16+23 Man of wooden and buildingmaterial;2007 June;2;0;2
3503;16+23 Man of wooden and buildingmaterial;2007 2nd quarter;12;1;11
3504;16+23 Man of wooden and buildingmaterial;2007 July;2;0;2
3505;16+23 Man of wooden and buildingmaterial;2007 August;1;0;1
3506;16+23 Man of wooden and buildingmaterial;2007 September;2;0;2
3507;16+23 Man of wooden and buildingmaterial;2007 3rd quarter;5;0;5
3508;16+23 Man of wooden and buildingmaterial;2007 October;4;1;3
3509;16+23 Man of wooden and buildingmaterial;2007 November;2;1;1
3510;16+23 Man of wooden and buildingmaterial;2007 December;2;0;2
3511;16+23 Man of wooden and buildingmaterial;2007 4th quarter;8;2;6
3512;16+23 Man of wooden and buildingmaterial;2007;35;3;32
3513;16+23 Man of wooden and buildingmaterial;2008 January;5;1;4
3514;16+23 Man of wooden and buildingmaterial;2008 February;3;0;3
3515;16+23 Man of wooden and buildingmaterial;2008 March;1;0;1
3516;16+23 Man of wooden and buildingmaterial;2008 1st quarter;9;1;8
3517;16+23 Man of wooden and buildingmaterial;2008 April;1;0;1
3518;16+23 Man of wooden and buildingmaterial;2008 May;0;0;0
3519;16+23 Man of wooden and buildingmaterial;2008 June;2;0;2
3520;16+23 Man of wooden and buildingmaterial;2008 2nd quarter;3;0;3
3521;16+23 Man of wooden and buildingmaterial;2008 July;3;0;3
3522;16+23 Man of wooden and buildingmaterial;2008 August;1;0;1
3523;16+23 Man of wooden and buildingmaterial;2008 September;7;0;7
3524;16+23 Man of wooden and buildingmaterial;2008 3rd quarter;11;0;11
3525;16+23 Man of wooden and buildingmaterial;2008 October;2;0;2
3526;16+23 Man of wooden and buildingmaterial;2008 November;6;0;6
3527;16+23 Man of wooden and buildingmaterial;2008 December;1;1;0
3528;16+23 Man of wooden and buildingmaterial;2008 4th quarter;9;1;8
3529;16+23 Man of wooden and buildingmaterial;2008;32;2;30
3530;16+23 Man of wooden and buildingmaterial;2009 January;2;0;2
3531;16+23 Man of wooden and buildingmaterial;2009 February;5;1;4
3532;16+23 Man of wooden and buildingmaterial;2009 March;10;0;10
3533;16+23 Man of wooden and buildingmaterial;2009 1st quarter;17;1;16
3534;16+23 Man of wooden and buildingmaterial;2009 April;3;1;2
3535;16+23 Man of wooden and buildingmaterial;2009 May;1;0;1
3536;16+23 Man of wooden and buildingmaterial;2009 June;2;0;2
3537;16+23 Man of wooden and buildingmaterial;2009 2nd quarter;6;1;5
3538;16+23 Man of wooden and buildingmaterial;2009 July;5;0;5
3539;16+23 Man of wooden and buildingmaterial;2009 August;2;0;2
3540;16+23 Man of wooden and buildingmaterial;2009 September;6;0;6
3541;16+23 Man of wooden and buildingmaterial;2009 3rd quarter;13;0;13
3542;16+23 Man of wooden and buildingmaterial;2009 October;3;0;3
3543;16+23 Man of wooden and buildingmaterial;2009 November;4;0;4
3544;16+23 Man of wooden and buildingmaterial;2009 December;4;1;3
3545;16+23 Man of wooden and buildingmaterial;2009 4th quarter;11;1;10
3546;16+23 Man of wooden and buildingmaterial;2009;47;3;44
3547;16+23 Man of wooden and buildingmaterial;2010 January;4;1;3
3548;16+23 Man of wooden and buildingmaterial;2010 February;3;0;3
3549;16+23 Man of wooden and buildingmaterial;2010 March;7;0;7
3550;16+23 Man of wooden and buildingmaterial;2010 1st quarter;14;1;13
3551;16+23 Man of wooden and buildingmaterial;2010 April;4;0;4
3552;16+23 Man of wooden and buildingmaterial;2010 May;2;0;2
3553;16+23 Man of wooden and buildingmaterial;2010 June;5;0;5
3554;16+23 Man of wooden and buildingmaterial;2010 2nd quarter;11;0;11
3555;16+23 Man of wooden and buildingmaterial;2010 July;12;0;12
3556;16+23 Man of wooden and buildingmaterial;2010 August;4;0;4
3557;16+23 Man of wooden and buildingmaterial;2010 September;2;0;2
3558;16+23 Man of wooden and buildingmaterial;2010 3rd quarter;18;0;18
3559;16+23 Man of wooden and buildingmaterial;2010 October;10;2;8
3560;16+23 Man of wooden and buildingmaterial;2010 November;5;1;4
3561;16+23 Man of wooden and buildingmaterial;2010 December;7;1;6
3562;16+23 Man of wooden and buildingmaterial;2010 4th quarter;22;4;18
3563;16+23 Man of wooden and buildingmaterial;2010;65;5;60
3564;16+23 Man of wooden and buildingmaterial;2011 January;7;0;7
3565;16+23 Man of wooden and buildingmaterial;2011 February;6;0;6
3566;16+23 Man of wooden and buildingmaterial;2011 March;8;0;8
3567;16+23 Man of wooden and buildingmaterial;2011 1st quarter;21;0;21
3568;16+23 Man of wooden and buildingmaterial;2011 April;8;0;8
3569;16+23 Man of wooden and buildingmaterial;2011 May;6;2;4
3570;16+23 Man of wooden and buildingmaterial;2011 June;1;0;1
3571;16+23 Man of wooden and buildingmaterial;2011 2nd quarter;15;2;13
3572;16+23 Man of wooden and buildingmaterial;2011 July;2;0;2
3573;16+23 Man of wooden and buildingmaterial;2011 August;5;1;4
3574;16+23 Man of wooden and buildingmaterial;2011 September;13;1;12
3575;16+23 Man of wooden and buildingmaterial;2011 3rd quarter;20;2;18
3576;16+23 Man of wooden and buildingmaterial;2011 October;7;0;7
3577;16+23 Man of wooden and buildingmaterial;2011 November;3;1;2
3578;16+23 Man of wooden and buildingmaterial;2011 December;6;0;6
3579;16+23 Man of wooden and buildingmaterial;2011 4th quarter;16;1;15
3580;16+23 Man of wooden and buildingmaterial;2011;72;5;67
3581;16+23 Man of wooden and buildingmaterial;2012 January;16;1;15
3582;16+23 Man of wooden and buildingmaterial;2012 February;11;0;11
3583;16+23 Man of wooden and buildingmaterial;2012 March;4;0;4
3584;16+23 Man of wooden and buildingmaterial;2012 1st quarter;31;1;30
3585;16+23 Man of wooden and buildingmaterial;2012 April;11;0;11
3586;16+23 Man of wooden and buildingmaterial;2012 May;14;2;12
3587;16+23 Man of wooden and buildingmaterial;2012 June;5;0;5
3588;16+23 Man of wooden and buildingmaterial;2012 2nd quarter;30;2;28
3589;16+23 Man of wooden and buildingmaterial;2012 July ;3;0;3
3590;16+23 Man of wooden and buildingmaterial;2012 August;10;0;10
3591;16+23 Man of wooden and buildingmaterial;2012 September;5;0;5
3592;16+23 Man of wooden and buildingmaterial;2012 3rd quarter;18;0;18
3593;16+23 Man of wooden and buildingmaterial;2012 October;8;0;8
3594;16+23 Man of wooden and buildingmaterial;2012 November;5;1;4
3595;16+23 Man of wooden and buildingmaterial;2012 December;9;2;7
3596;16+23 Man of wooden and buildingmaterial;2012 4th quarter;22;3;19
3597;16+23 Man of wooden and buildingmaterial;2012;101;6;95
3598;16+23 Man of wooden and buildingmaterial;2013 January;5;1;4
3599;16+23 Man of wooden and buildingmaterial;2013 February;11;1;10
3600;16+23 Man of wooden and buildingmaterial;2013 March;12;0;12
3601;16+23 Man of wooden and buildingmaterial;2013 1st quarter;28;2;26
3602;16+23 Man of wooden and buildingmaterial;2013 April;18;0;18
3603;16+23 Man of wooden and buildingmaterial;2013 May;10;0;10
3604;16+23 Man of wooden and buildingmaterial;2013 June;13;0;13
3605;16+23 Man of wooden and buildingmaterial;2013 2nd quarter;41;0;41
3606;16+23 Man of wooden and buildingmaterial;2013 July;6;0;6
3607;16+23 Man of wooden and buildingmaterial;2013 August;10;0;10
3608;16+23 Man of wooden and buildingmaterial;2013 September;4;0;4
3609;16+23 Man of wooden and buildingmaterial;2013 3rd quarter;20;0;20
3610;16+23 Man of wooden and buildingmaterial;2013 October;5;0;5
3611;16+23 Man of wooden and buildingmaterial;2013 November;9;1;8
3612;16+23 Man of wooden and buildingmaterial;2013 December;6;1;5
3613;16+23 Man of wooden and buildingmaterial;2013 4th quarter;20;2;18
3614;16+23 Man of wooden and buildingmaterial;2013;109;4;105
3615;16+23 Man of wooden and buildingmaterial;2014 January;10;1;9
3616;16+23 Man of wooden and buildingmaterial;2014 February;16;0;16
3617;16+23 Man of wooden and buildingmaterial;2014 March;4;0;4
3618;16+23 Man of wooden and buildingmaterial;2014 1st quarter;30;1;29
3619;16+23 Man of wooden and buildingmaterial;2014 April;9;0;9
3620;17-18 Manufacture of paper and printing;1993 January;6;1;5
3621;17-18 Manufacture of paper and printing;1993 February;5;3;2
3622;17-18 Manufacture of paper and printing;1993 March;10;2;8
3623;17-18 Manufacture of paper and printing;1993 1st quarter;21;6;15
3624;17-18 Manufacture of paper and printing;1993 April;4;4;0
3625;17-18 Manufacture of paper and printing;1993 May;8;2;6
3626;17-18 Manufacture of paper and printing;1993 June;8;2;6
3627;17-18 Manufacture of paper and printing;1993 2nd quarter;20;8;12
3628;17-18 Manufacture of paper and printing;1993 July;9;5;4
3629;17-18 Manufacture of paper and printing;1993 August;7;1;6
3630;17-18 Manufacture of paper and printing;1993 September;8;2;6
3631;17-18 Manufacture of paper and printing;1993 3rd quarter;24;8;16
3632;17-18 Manufacture of paper and printing;1993 October;5;2;3
3633;17-18 Manufacture of paper and printing;1993 November;7;1;6
3634;17-18 Manufacture of paper and printing;1993 December;7;2;5
3635;17-18 Manufacture of paper and printing;1993 4th quarter;19;5;14
3636;17-18 Manufacture of paper and printing;1993;84;27;57
3637;17-18 Manufacture of paper and printing;1994 January;5;2;3
3638;17-18 Manufacture of paper and printing;1994 February;11;5;6
3639;17-18 Manufacture of paper and printing;1994 March;14;2;12
3640;17-18 Manufacture of paper and printing;1994 1st quarter;30;9;21
3641;17-18 Manufacture of paper and printing;1994 April;10;2;8
3642;17-18 Manufacture of paper and printing;1994 May;12;4;8
3643;17-18 Manufacture of paper and printing;1994 June;10;2;8
3644;17-18 Manufacture of paper and printing;1994 2nd quarter;32;8;24
3645;17-18 Manufacture of paper and printing;1994 July;6;1;5
3646;17-18 Manufacture of paper and printing;1994 August;9;1;8
3647;17-18 Manufacture of paper and printing;1994 September;11;2;9
3648;17-18 Manufacture of paper and printing;1994 3rd quarter;26;4;22
3649;17-18 Manufacture of paper and printing;1994 October;5;2;3
3650;17-18 Manufacture of paper and printing;1994 November;5;2;3
3651;17-18 Manufacture of paper and printing;1994 December;3;1;2
3652;17-18 Manufacture of paper and printing;1994 4th quarter;13;5;8
3653;17-18 Manufacture of paper and printing;1994;101;26;75
3654;17-18 Manufacture of paper and printing;1995 January;4;2;2
3655;17-18 Manufacture of paper and printing;1995 February;0;0;0
3656;17-18 Manufacture of paper and printing;1995 March;8;2;6
3657;17-18 Manufacture of paper and printing;1995 1st quarter;12;4;8
3658;17-18 Manufacture of paper and printing;1995 April;10;2;8
3659;17-18 Manufacture of paper and printing;1995 May;5;2;3
3660;17-18 Manufacture of paper and printing;1995 June;4;1;3
3661;17-18 Manufacture of paper and printing;1995 2nd quarter;19;5;14
3662;17-18 Manufacture of paper and printing;1995 July;3;0;3
3663;17-18 Manufacture of paper and printing;1995 August;6;2;4
3664;17-18 Manufacture of paper and printing;1995 September;5;3;2
3665;17-18 Manufacture of paper and printing;1995 3rd quarter;14;5;9
3666;17-18 Manufacture of paper and printing;1995 October;5;1;4
3667;17-18 Manufacture of paper and printing;1995 November;4;1;3
