ID;CommodityFlows;OriginDestinationLoadingUnloading;ContinentsAndCountryGroups;CommodityGroups;TransportModes;Containerization;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
1445;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2007;1682.0;1525.0;1840.0;9.0;0.0;;8533.0;7844.0;9222.0;8.0;0.0;
1446;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2008;2940.0;2469.0;3411.0;16.0;0.0;5.0;8008.0;7398.0;8617.0;8.0;0.0;9.0
1447;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2009;942.0;872.0;1011.0;7.0;0.0;1.0;7280.0;6672.0;7889.0;8.0;0.0;2.0
1448;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2010;1559.0;1436.0;1682.0;8.0;0.0;5.0;8420.0;8055.0;8784.0;4.0;0.0;5.0
1449;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2011;1524.0;1400.0;1648.0;8.0;0.0;9.0;10000.0;9071.0;10929.0;9.0;0.0;5.0
1450;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2012;3701.0;3451.0;3952.0;7.0;0.0;5.0;134856.0;90546.0;179166.0;33.0;0.0;5.0
1451;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2013;11093.0;9214.0;12973.0;17.0;0.0;5.0;162244.0;116793.0;207695.0;28.0;0.0;9.0
1452;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2014;12111.0;10173.0;14050.0;16.0;0.0;9.0;166235.0;121097.0;211374.0;27.0;0.0;9.0
1453;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2015;14512.0;12064.0;16960.0;17.0;0.0;5.0;223192.0;163284.0;283099.0;27.0;0.0;5.0
1454;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2016;27335.0;74.0;54596.0;100.0;0.0;9.0;365385.0;261676.0;469095.0;28.0;0.0;5.0
1455;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2017;42761.0;0.0;89637.0;;0.0;9.0;345911.0;254528.0;437294.0;26.0;0.0;9.0
1456;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2018;14445.0;6886.0;22004.0;52.0;0.0;1.0;81409.0;57128.0;105689.0;30.0;0.0;1.0
1457;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2019;5504.0;2288.0;8720.0;58.0;0.0;1.0;30016.0;17811.0;42220.0;41.0;0.0;1.0
1458;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2020;2903.0;2330.0;3477.0;20.0;0.0;1.0;19653.0;0.0;45966.0;;0.0;9.0
1459;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2021;4222.0;3531.0;4914.0;16.0;0.0;5.0;10952.0;9132.0;12773.0;17.0;0.0;9.0
1460;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2022;26933.0;23359.0;30507.0;13.0;0.0;5.0;68979.0;62949.0;75009.0;9.0;0.0;5.0
1461;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Containerized goods;2023;17520.0;15173.0;19867.0;13.0;0.0;1.0;40752.0;36293.0;45211.0;11.0;0.0;1.0
1462;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2007;221946.0;212817.0;231075.0;4.0;0.0;;999937.0;910684.0;1089189.0;9.0;0.0;
1463;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2008;279439.0;253579.0;305299.0;9.0;0.0;5.0;833998.0;800408.0;867587.0;4.0;0.0;1.0
1464;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2009;104340.0;100561.0;108118.0;4.0;0.0;1.0;529800.0;518190.0;541411.0;2.0;0.0;1.0
1465;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2010;169801.0;155724.0;183877.0;8.0;0.0;5.0;845390.0;792813.0;897967.0;6.0;0.0;5.0
1466;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2011;159876.0;149901.0;169851.0;6.0;0.0;9.0;903676.0;850262.0;957091.0;6.0;0.0;4.0
1467;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2012;358458.0;344554.0;372361.0;4.0;0.0;5.0;2042296.0;1863972.0;2220620.0;9.0;0.0;5.0
1468;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2013;368207.0;347145.0;389269.0;6.0;0.0;9.0;2056323.0;1827028.0;2285617.0;11.0;0.0;9.0
1469;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2014;469315.0;438814.0;499817.0;6.0;0.0;5.0;2481982.0;2273221.0;2690743.0;8.0;0.0;5.0
1470;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2015;619997.0;580526.0;659469.0;6.0;0.0;5.0;3010081.0;2742713.0;3277449.0;9.0;0.0;5.0
1471;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2016;779379.0;716522.0;842235.0;8.0;0.0;5.0;3834389.0;3423687.0;4245091.0;11.0;1.0;5.0
1472;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2017;646693.0;580791.0;712594.0;10.0;0.0;1.0;2702723.0;2474134.0;2931312.0;8.0;0.0;1.0
1473;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2018;599350.0;368728.0;829972.0;38.0;0.0;9.0;2061137.0;1924846.0;2197429.0;7.0;0.0;1.0
1474;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2019;590915.0;567394.0;614436.0;4.0;0.0;9.0;2110542.0;1997822.0;2223262.0;5.0;0.0;9.0
1475;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2020;434720.0;417619.0;451820.0;4.0;0.0;1.0;1515034.0;1416995.0;1613073.0;6.0;0.0;1.0
1476;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2021;490707.0;416806.0;564608.0;15.0;0.0;5.0;1161715.0;1020085.0;1303345.0;12.0;0.0;1.0
1477;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2022;849180.0;722950.0;975411.0;15.0;0.0;5.0;1989167.0;1750040.0;2228295.0;12.0;0.0;5.0
1478;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Total;Non-containerized goods;2023;465020.0;407408.0;522631.0;12.0;0.0;1.0;1526317.0;1314446.0;1738188.0;14.0;0.0;1.0
1479;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2007;135302.0;128236.0;142368.0;5.0;0.0;;640978.0;559869.0;722087.0;13.0;0.0;
1480;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2008;171447.0;148584.0;194310.0;13.0;0.0;5.0;476364.0;455525.0;497203.0;4.0;0.0;1.0
1481;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2009;32448.0;30351.0;34544.0;6.0;0.0;1.0;229529.0;221276.0;237782.0;4.0;0.0;1.0
1482;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2010;51094.0;44580.0;57608.0;13.0;0.0;5.0;293430.0;271138.0;315721.0;8.0;0.0;5.0
1483;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2011;49618.0;43664.0;55572.0;12.0;0.0;9.0;454485.0;422176.0;486794.0;7.0;0.0;5.0
1484;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2012;34617.0;31168.0;38066.0;10.0;0.0;1.0;1022735.0;882795.0;1162675.0;14.0;0.0;5.0
1485;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2013;194829.0;178804.0;210855.0;8.0;0.0;5.0;1670482.0;1440025.0;1900940.0;14.0;0.0;5.0
1486;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2014;192081.0;171928.0;212233.0;10.0;0.0;9.0;1641397.0;1434492.0;1848303.0;13.0;0.0;9.0
1487;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2015;227335.0;206795.0;247875.0;9.0;0.0;5.0;2104911.0;1837345.0;2372476.0;13.0;0.0;5.0
1488;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2016;366538.0;303879.0;429197.0;17.0;0.0;5.0;2859402.0;2440093.0;3278711.0;15.0;0.0;5.0
1489;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2017;353449.0;276794.0;430104.0;22.0;0.0;9.0;1771514.0;1540887.0;2002141.0;13.0;0.0;1.0
1490;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2018;117478.0;73754.0;161202.0;37.0;0.0;1.0;647738.0;515103.0;780373.0;20.0;0.0;1.0
1491;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2019;144467.0;123691.0;165242.0;14.0;0.0;9.0;525729.0;443321.0;608136.0;16.0;0.0;1.0
1492;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2020;55608.0;42705.0;68512.0;23.0;0.0;1.0;340229.0;295657.0;384800.0;13.0;0.0;1.0
1493;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2021;140314.0;116035.0;164593.0;17.0;0.0;5.0;370657.0;322584.0;418730.0;13.0;0.0;9.0
1494;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2022;429871.0;369999.0;489744.0;14.0;0.0;5.0;1143805.0;1018677.0;1268934.0;11.0;0.0;5.0
1495;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Total;2023;286336.0;250839.0;321832.0;12.0;0.0;1.0;761101.0;690233.0;831970.0;9.0;0.0;1.0
1496;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2007;1557.0;1400.0;1713.0;10.0;0.0;;8219.0;7531.0;8907.0;8.0;0.0;
1497;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2008;2836.0;2365.0;3307.0;17.0;0.0;5.0;7767.0;7158.0;8375.0;8.0;0.0;9.0
1498;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2009;866.0;797.0;935.0;8.0;0.0;1.0;7149.0;6541.0;7757.0;9.0;0.0;2.0
1499;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2010;1422.0;1300.0;1543.0;9.0;0.0;5.0;8054.0;7694.0;8415.0;4.0;0.0;5.0
1500;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2011;1378.0;1255.0;1500.0;9.0;0.0;9.0;9629.0;8702.0;10556.0;10.0;0.0;5.0
1501;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2012;3548.0;3300.0;3796.0;7.0;0.0;5.0;134415.0;90105.0;178725.0;33.0;0.0;5.0
1502;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2013;10974.0;9095.0;12854.0;17.0;0.0;5.0;161861.0;116410.0;207312.0;28.0;0.0;9.0
1503;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2014;12020.0;10082.0;13959.0;16.0;0.0;9.0;165849.0;120710.0;210987.0;27.0;0.0;9.0
1504;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2015;14389.0;11941.0;16837.0;17.0;0.0;5.0;222813.0;162906.0;282720.0;27.0;0.0;5.0
1505;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2016;27211.0;0.0;54472.0;;0.0;9.0;364978.0;261269.0;468687.0;28.0;0.0;5.0
1506;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2017;42659.0;0.0;89536.0;;0.0;9.0;345469.0;254086.0;436852.0;26.0;0.0;9.0
1507;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2018;14306.0;6747.0;21865.0;53.0;0.0;1.0;81308.0;57028.0;105588.0;30.0;0.0;1.0
1508;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2019;5504.0;2288.0;8720.0;58.0;0.0;1.0;30016.0;17811.0;42220.0;41.0;0.0;1.0
1509;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2020;2903.0;2330.0;3477.0;20.0;0.0;1.0;19653.0;0.0;45966.0;;0.0;9.0
1510;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2021;4222.0;3531.0;4914.0;16.0;0.0;5.0;10952.0;9132.0;12773.0;17.0;0.0;9.0
1511;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2022;26933.0;23359.0;30507.0;13.0;0.0;5.0;68979.0;62949.0;75009.0;9.0;0.0;5.0
1512;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Containerized goods;2023;17498.0;15152.0;19845.0;13.0;0.0;1.0;40692.0;36233.0;45151.0;11.0;0.0;1.0
1513;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2007;133745.0;126680.0;140809.0;5.0;0.0;;632759.0;551653.0;713865.0;13.0;0.0;
1514;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2008;168611.0;145753.0;191469.0;14.0;0.0;5.0;468597.0;447767.0;489428.0;4.0;0.0;1.0
1515;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2009;31582.0;29487.0;33677.0;7.0;0.0;1.0;222380.0;214149.0;230611.0;4.0;0.0;1.0
1516;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2010;49672.0;43159.0;56185.0;13.0;0.0;5.0;285375.0;263087.0;307664.0;8.0;0.0;5.0
1517;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2011;48241.0;42288.0;54193.0;12.0;0.0;9.0;444856.0;412560.0;477152.0;7.0;0.0;5.0
1518;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2012;31069.0;27629.0;34509.0;11.0;0.0;1.0;888320.0;755581.0;1021060.0;15.0;0.0;5.0
1519;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2013;183855.0;167941.0;199770.0;9.0;0.0;5.0;1508621.0;1282690.0;1734552.0;15.0;0.0;5.0
1520;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2014;180060.0;160001.0;200120.0;11.0;0.0;9.0;1475548.0;1273627.0;1677470.0;14.0;0.0;9.0
1521;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2015;212946.0;192553.0;233340.0;10.0;0.0;5.0;1882098.0;1621325.0;2142871.0;14.0;0.0;5.0
1522;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2016;339327.0;282908.0;395745.0;17.0;0.0;5.0;2494424.0;2088143.0;2900705.0;16.0;0.0;5.0
1523;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2017;310790.0;250139.0;371441.0;20.0;0.0;9.0;1426045.0;1214295.0;1637795.0;15.0;0.0;1.0
1524;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2018;103171.0;60106.0;146237.0;42.0;0.0;1.0;566430.0;436037.0;696824.0;23.0;0.0;1.0
1525;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2019;138963.0;118438.0;159488.0;15.0;0.0;9.0;495713.0;414214.0;577212.0;16.0;0.0;9.0
1526;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2020;52705.0;39814.0;65596.0;24.0;0.0;1.0;320576.0;284601.0;356552.0;11.0;0.0;1.0
1527;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2021;136091.0;111822.0;160360.0;18.0;0.0;5.0;359705.0;311666.0;407743.0;13.0;0.0;9.0
1528;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2022;402938.0;343172.0;462704.0;15.0;0.0;5.0;1074826.0;949843.0;1199809.0;12.0;0.0;5.0
1529;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Maritime transport;Non-containerized goods;2023;268837.0;233419.0;304256.0;13.0;0.0;1.0;720409.0;649681.0;791137.0;10.0;0.0;1.0
1530;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2007;57347.0;52113.0;62581.0;9.0;0.0;;226994.0;192738.0;261251.0;15.0;0.0;
1531;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2008;61668.0;49991.0;73344.0;19.0;0.0;9.0;258706.0;237139.0;280272.0;8.0;0.0;5.0
1532;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2009;49008.0;46083.0;51932.0;6.0;0.0;1.0;242363.0;234801.0;249926.0;3.0;0.0;2.0
1533;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2010;62736.0;54632.0;70840.0;13.0;0.0;5.0;258788.0;223153.0;294423.0;14.0;0.0;9.0
1534;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2011;41325.0;34652.0;47997.0;16.0;0.0;1.0;199660.0;173916.0;225404.0;13.0;0.0;1.0
1535;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2012;228315.0;215422.0;241207.0;6.0;0.0;5.0;576513.0;478098.0;674929.0;17.0;0.0;5.0
1536;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2013;84413.0;74844.0;93982.0;11.0;0.0;1.0;236033.0;206612.0;265453.0;12.0;0.0;1.0
1537;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2014;174164.0;157157.0;191171.0;10.0;0.0;5.0;668443.0;624600.0;712287.0;7.0;0.0;5.0
1538;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2015;225857.0;200436.0;251279.0;11.0;0.0;5.0;595272.0;551807.0;638738.0;7.0;0.0;1.0
1539;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2016;383768.0;359480.0;408055.0;6.0;0.0;5.0;1109069.0;1060435.0;1157703.0;4.0;0.0;5.0
1540;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2017;263626.0;242168.0;285084.0;8.0;0.0;1.0;964652.0;892462.0;1036843.0;7.0;0.0;1.0
1541;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2018;447011.0;220593.0;673428.0;51.0;0.0;5.0;1327703.0;1296133.0;1359273.0;2.0;0.0;5.0
1542;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2019;411391.0;400704.0;422079.0;3.0;0.0;9.0;1406358.0;1334777.0;1477939.0;5.0;0.0;4.0
1543;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2020;356920.0;346019.0;367820.0;3.0;0.0;1.0;1070220.0;995202.0;1145239.0;7.0;0.0;1.0
1544;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2021;327229.0;257854.0;396605.0;21.0;0.0;9.0;764518.0;631782.0;897253.0;17.0;0.0;1.0
1545;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2022;314841.0;214367.0;415314.0;32.0;0.0;9.0;676656.0;486433.0;866880.0;28.0;0.0;9.0
1546;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Total;2023;158265.0;113757.0;202773.0;28.0;0.0;1.0;749254.0;550692.0;947817.0;27.0;0.0;9.0
1547;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2007;126.0;109.0;142.0;13.0;0.0;;314.0;276.0;351.0;12.0;0.0;
1548;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2008;104.0;89.0;118.0;14.0;0.0;1.0;241.0;201.0;282.0;17.0;0.0;1.0
1549;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2009;76.0;64.0;88.0;16.0;0.0;1.0;131.0;107.0;156.0;19.0;0.0;1.0
1550;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2010;137.0;117.0;157.0;15.0;0.0;5.0;365.0;309.0;421.0;15.0;0.0;5.0
1551;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2011;146.0;125.0;167.0;15.0;0.0;9.0;371.0;306.0;436.0;17.0;0.0;9.0
1552;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2012;153.0;117.0;190.0;24.0;0.0;9.0;441.0;328.0;554.0;26.0;0.0;9.0
1553;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2013;119.0;97.0;141.0;18.0;0.0;1.0;382.0;308.0;456.0;19.0;0.0;9.0
1554;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2014;91.0;72.0;110.0;21.0;0.0;1.0;387.0;332.0;441.0;14.0;0.0;9.0
1555;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2015;124.0;96.0;151.0;22.0;0.0;5.0;379.0;325.0;432.0;14.0;0.0;9.0
1556;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2016;124.0;94.0;154.0;24.0;0.0;9.0;407.0;355.0;459.0;13.0;0.0;9.0
1557;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2017;102.0;80.0;123.0;21.0;0.0;1.0;442.0;376.0;508.0;15.0;0.0;9.0
1558;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2018;139.0;101.0;177.0;27.0;0.0;5.0;101.0;82.0;119.0;18.0;0.0;1.0
1559;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2019;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;
1560;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2020;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;
1561;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2021;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;
1562;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2022;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;
1563;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Containerized goods;2023;21.0;9.0;33.0;56.0;0.0;;60.0;34.0;86.0;43.0;0.0;
1564;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2007;57221.0;51988.0;62455.0;9.0;0.0;;226681.0;192425.0;260937.0;15.0;0.0;
1565;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2008;61564.0;49887.0;73240.0;19.0;0.0;9.0;258464.0;236898.0;280031.0;8.0;0.0;5.0
1566;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2009;48932.0;46008.0;51857.0;6.0;0.0;1.0;242232.0;234670.0;249795.0;3.0;0.0;2.0
1567;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2010;62599.0;54496.0;70703.0;13.0;0.0;5.0;258423.0;222788.0;294058.0;14.0;0.0;9.0
1568;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2011;41179.0;34506.0;47851.0;16.0;0.0;1.0;199289.0;173545.0;225032.0;13.0;0.0;1.0
1569;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2012;228161.0;215269.0;241054.0;6.0;0.0;5.0;576072.0;477657.0;674488.0;17.0;0.0;5.0
1570;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2013;84294.0;74725.0;93863.0;11.0;0.0;1.0;235650.0;206230.0;265071.0;12.0;0.0;1.0
1571;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2014;174074.0;157067.0;191081.0;10.0;0.0;5.0;668057.0;624214.0;711900.0;7.0;0.0;5.0
1572;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2015;225734.0;200312.0;251155.0;11.0;0.0;5.0;594894.0;551428.0;638359.0;7.0;0.0;1.0
1573;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2016;383644.0;359357.0;407931.0;6.0;0.0;5.0;1108662.0;1060028.0;1157296.0;4.0;0.0;5.0
1574;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2017;263524.0;242066.0;284983.0;8.0;0.0;1.0;964210.0;892020.0;1036400.0;7.0;0.0;1.0
1575;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2018;446872.0;220455.0;673289.0;51.0;0.0;5.0;1327602.0;1296032.0;1359173.0;2.0;0.0;5.0
1576;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2019;411391.0;400704.0;422079.0;3.0;0.0;9.0;1406358.0;1334777.0;1477939.0;5.0;0.0;4.0
1577;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2020;356920.0;346019.0;367820.0;3.0;0.0;1.0;1070220.0;995202.0;1145239.0;7.0;0.0;1.0
1578;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2021;327229.0;257854.0;396605.0;21.0;0.0;9.0;764518.0;631782.0;897253.0;17.0;0.0;1.0
1579;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2022;314841.0;214367.0;415314.0;32.0;0.0;9.0;676656.0;486433.0;866880.0;28.0;0.0;9.0
1580;"Inbound transport; total";Origin or destination;Total;04 Coke oven products;Inland shipping;Non-containerized goods;2023;158244.0;113736.0;202751.0;28.0;0.0;1.0;749194.0;550631.0;947757.0;27.0;0.0;9.0
