ID;Rijkswegen;Perioden;VerkeersintensiteitenRijkswegen_1
516;Rijksweg 4 (A4);2018 oktober;3389.0
517;Rijksweg 4 (A4);2018 november;3302.0
518;Rijksweg 4 (A4);2018 december;2903.0
519;Rijksweg 4 (A4);2018;3241.0
520;Rijksweg 5 (A5);2011 januari;1467.0
521;Rijksweg 5 (A5);2011 februari;1542.0
522;Rijksweg 5 (A5);2011 maart;1625.0
523;Rijksweg 5 (A5);2011 april;1611.0
524;Rijksweg 5 (A5);2011 mei;1637.0
525;Rijksweg 5 (A5);2011 juni;1619.0
526;Rijksweg 5 (A5);2011 juli;1510.0
527;Rijksweg 5 (A5);2011 augustus;1442.0
528;Rijksweg 5 (A5);2011 september;1610.0
529;Rijksweg 5 (A5);2011 oktober;1583.0
530;Rijksweg 5 (A5);2011 november;1585.0
531;Rijksweg 5 (A5);2011 december;1449.0
532;Rijksweg 5 (A5);2011;1556.0
