ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
61;Geslacht: vrouwen;Waarde;2013;55.7;30.2;62.1;69.4;32.1;70.3;32.1;41.1;36.6;38.6;36.2
62;Geslacht: vrouwen;Waarde;2014;54.3;30.1;63.5;68.0;31.0;70.2;34.5;41.4;40.2;39.0;38.1
63;Geslacht: vrouwen;Waarde;2015;56.4;31.8;67.0;69.4;29.1;70.4;34.5;42.6;39.8;39.0;37.9
64;Geslacht: vrouwen;Waarde;2016;57.1;31.5;66.3;71.3;29.6;70.6;36.9;41.6;38.3;37.3;37.2
65;Geslacht: vrouwen;Waarde;2017;59.6;33.2;66.8;73.0;29.8;76.4;42.5;45.8;44.1;39.0;45.7
66;Geslacht: vrouwen;Waarde;2018;60.1;31.0;65.8;73.7;34.8;77.4;42.9;46.9;45.1;39.9;48.5
67;Geslacht: vrouwen;Waarde;2019;59.8;29.4;68.9;72.9;33.4;76.3;39.6;44.5;44.9;36.5;48.3
68;Geslacht: vrouwen;Waarde;2020;60.4;32.0;72.4;76.8;35.9;78.7;52.9;49.1;49.1;39.8;50.5
69;Geslacht: vrouwen;Waarde;2021;64.1;30.3;72.7;79.8;43.2;80.5;42.1;45.5;50.8;38.8;56.4
70;Geslacht: vrouwen;Ondergrens 95%-interval;2012;54.3;30.6;56.6;65.7;29.0;67.3;33.7;42.9;44.5;43.0;39.6
71;Geslacht: vrouwen;Ondergrens 95%-interval;2013;54.1;28.7;60.5;67.8;30.6;68.8;30.6;39.5;35.0;36.9;34.6
72;Geslacht: vrouwen;Ondergrens 95%-interval;2014;52.7;28.6;61.9;66.5;29.4;68.7;32.9;39.7;38.6;37.4;36.4
73;Geslacht: vrouwen;Ondergrens 95%-interval;2015;54.8;30.2;65.4;67.8;27.6;68.9;32.9;40.9;38.2;37.3;36.3
74;Geslacht: vrouwen;Ondergrens 95%-interval;2016;55.4;29.9;64.7;69.7;28.1;69.1;35.2;39.9;36.7;35.6;35.5
75;Geslacht: vrouwen;Ondergrens 95%-interval;2017;58.0;31.5;65.2;71.5;28.3;75.0;40.9;44.1;42.4;37.3;44.0
76;Geslacht: vrouwen;Ondergrens 95%-interval;2018;58.5;29.4;64.2;72.2;33.2;76.1;41.3;45.3;43.5;38.3;46.8
77;Geslacht: vrouwen;Ondergrens 95%-interval;2019;58.2;27.8;67.3;71.3;31.8;74.9;38.0;42.7;43.3;34.9;46.5
78;Geslacht: vrouwen;Ondergrens 95%-interval;2020;58.8;30.4;70.8;75.4;34.3;77.3;51.3;47.3;47.3;38.0;48.7
