ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
131;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2018    ;196;196.0;;;;;196.0;161.0;13.0;;;;;175.0
132;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2019;195;195.0;;;;;195.0;162.0;17.0;;;;;180.0
133;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2020;210;210.0;;;;;210.0;175.0;20.0;;;;;195.0
134;"Overheid; totaal";Bodem, grond- en oppervlaktewater;2021;228;228.0;;;;;228.0;197.0;25.0;;;;;222.0
135;"Overheid; totaal";Geluid;2013    ;92;92.0;;;;;92.0;79.0;21.0;;;;;100.0
136;"Overheid; totaal";Geluid;2014    ;79;79.0;;;;;79.0;65.0;17.0;;;;;82.0
137;"Overheid; totaal";Geluid;2015    ;82;82.0;;;;;82.0;66.0;10.0;;;;;76.0
138;"Overheid; totaal";Geluid;2016    ;62;62.0;;;;;62.0;49.0;5.0;;;;;53.0
139;"Overheid; totaal";Geluid;2017    ;67;67.0;;;;;67.0;53.0;5.0;;;;;58.0
140;"Overheid; totaal";Geluid;2018    ;59;59.0;;;;;59.0;49.0;4.0;;;;;53.0
141;"Overheid; totaal";Geluid;2019;55;55.0;;;;;55.0;47.0;3.0;;;;;50.0
142;"Overheid; totaal";Geluid;2020;60;60.0;;;;;60.0;51.0;9.0;;;;;60.0
143;"Overheid; totaal";Geluid;2021;56;56.0;;;;;56.0;48.0;3.0;;;;;51.0
144;"Overheid; totaal";Natuur en landschap;2013    ;536;536.0;;;;;536.0;454.0;292.0;194.0;;;31.0;777.0
145;"Overheid; totaal";Natuur en landschap;2014    ;550;550.0;;;;;550.0;449.0;606.0;186.0;;;26.0;1081.0
146;"Overheid; totaal";Natuur en landschap;2015    ;512;512.0;;;;;512.0;421.0;1206.0;145.0;;;26.0;1654.0
147;"Overheid; totaal";Natuur en landschap;2016    ;716;716.0;;;;;716.0;534.0;271.0;134.0;;;30.0;835.0
148;"Overheid; totaal";Natuur en landschap;2017    ;828;828.0;;;;;828.0;591.0;101.0;108.0;;;28.0;720.0
149;"Overheid; totaal";Natuur en landschap;2018    ;913;913.0;;;;;913.0;658.0;119.0;175.0;;;32.0;808.0
150;"Overheid; totaal";Natuur en landschap;2019;949;949.0;;;;;949.0;683.0;186.0;160.0;;;33.0;903.0
