ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
243;4941 Goederenwegvervoer (geen verhuis-);2005 4e kwartaal;109.6;
244;4941 Goederenwegvervoer (geen verhuis-);2005;100.0;
245;4941 Goederenwegvervoer (geen verhuis-);2006 1e kwartaal;101.1;12.1
246;4941 Goederenwegvervoer (geen verhuis-);2006 2e kwartaal;113.3;12.2
247;4941 Goederenwegvervoer (geen verhuis-);2006 3e kwartaal;110.0;10.8
248;4941 Goederenwegvervoer (geen verhuis-);2006 4e kwartaal;119.9;9.4
249;4941 Goederenwegvervoer (geen verhuis-);2006;111.0;11.0
250;4941 Goederenwegvervoer (geen verhuis-);2007 1e kwartaal;111.5;10.4
251;4941 Goederenwegvervoer (geen verhuis-);2007 2e kwartaal;123.0;8.5
252;4941 Goederenwegvervoer (geen verhuis-);2007 3e kwartaal;119.1;8.3
253;4941 Goederenwegvervoer (geen verhuis-);2007 4e kwartaal;124.9;4.2
254;4941 Goederenwegvervoer (geen verhuis-);2007;119.6;7.7
255;4941 Goederenwegvervoer (geen verhuis-);2008 1e kwartaal;118.0;5.8
256;4941 Goederenwegvervoer (geen verhuis-);2008 2e kwartaal;129.2;5.1
257;4941 Goederenwegvervoer (geen verhuis-);2008 3e kwartaal;125.7;5.5
258;4941 Goederenwegvervoer (geen verhuis-);2008 4e kwartaal;125.4;0.4
259;4941 Goederenwegvervoer (geen verhuis-);2008;124.6;4.1
260;4941 Goederenwegvervoer (geen verhuis-);2009 1e kwartaal;104.7;-11.3
261;4941 Goederenwegvervoer (geen verhuis-);2009 2e kwartaal;112.4;-13.0
262;4941 Goederenwegvervoer (geen verhuis-);2009 3e kwartaal;108.6;-13.6
263;4941 Goederenwegvervoer (geen verhuis-);2009 4e kwartaal;114.2;-8.9
264;4941 Goederenwegvervoer (geen verhuis-);2009;110.0;-11.7
265;4941 Goederenwegvervoer (geen verhuis-);2010 1e kwartaal;101.0;-3.5
266;4941 Goederenwegvervoer (geen verhuis-);2010 2e kwartaal;115.2;2.4
267;4941 Goederenwegvervoer (geen verhuis-);2010 3e kwartaal;113.6;4.6
268;4941 Goederenwegvervoer (geen verhuis-);2010 4e kwartaal;123.4;8.0
269;4941 Goederenwegvervoer (geen verhuis-);2010;113.3;3.0
270;4941 Goederenwegvervoer (geen verhuis-);2011 1e kwartaal;112.7;11.5
271;4941 Goederenwegvervoer (geen verhuis-);2011 2e kwartaal;122.9;6.7
272;4941 Goederenwegvervoer (geen verhuis-);2011 3e kwartaal;118.3;4.1
273;4941 Goederenwegvervoer (geen verhuis-);2011 4e kwartaal;121.9;-1.2
274;4941 Goederenwegvervoer (geen verhuis-);2011;118.9;5.0
275;4941 Goederenwegvervoer (geen verhuis-);2012 1e kwartaal;114.4;1.5
276;4941 Goederenwegvervoer (geen verhuis-);2012 2e kwartaal;126.4;2.8
277;4941 Goederenwegvervoer (geen verhuis-);2012 3e kwartaal;121.7;2.9
278;4941 Goederenwegvervoer (geen verhuis-);2012 4e kwartaal;123.1;1.0
279;4941 Goederenwegvervoer (geen verhuis-);2012;121.4;2.1
280;4942 Verhuisvervoer;2005 1e kwartaal;;
281;4942 Verhuisvervoer;2005 2e kwartaal;;
282;4942 Verhuisvervoer;2005 3e kwartaal;;
283;4942 Verhuisvervoer;2005 4e kwartaal;;
284;4942 Verhuisvervoer;2005;;
285;4942 Verhuisvervoer;2006 1e kwartaal;;
286;4942 Verhuisvervoer;2006 2e kwartaal;;
287;4942 Verhuisvervoer;2006 3e kwartaal;;
288;4942 Verhuisvervoer;2006 4e kwartaal;;
289;4942 Verhuisvervoer;2006;;
290;4942 Verhuisvervoer;2007 1e kwartaal;;
291;4942 Verhuisvervoer;2007 2e kwartaal;;
292;4942 Verhuisvervoer;2007 3e kwartaal;;
293;4942 Verhuisvervoer;2007 4e kwartaal;;
294;4942 Verhuisvervoer;2007;;
295;4942 Verhuisvervoer;2008 1e kwartaal;118.0;
296;4942 Verhuisvervoer;2008 2e kwartaal;129.2;
297;4942 Verhuisvervoer;2008 3e kwartaal;125.7;
298;4942 Verhuisvervoer;2008 4e kwartaal;125.4;
299;4942 Verhuisvervoer;2008;124.6;
300;4942 Verhuisvervoer;2009 1e kwartaal;98.2;-16.8
301;4942 Verhuisvervoer;2009 2e kwartaal;99.0;-23.4
302;4942 Verhuisvervoer;2009 3e kwartaal;104.9;-16.5
303;4942 Verhuisvervoer;2009 4e kwartaal;100.2;-20.1
304;4942 Verhuisvervoer;2009;100.6;-19.3
305;4942 Verhuisvervoer;2010 1e kwartaal;83.1;-15.4
306;4942 Verhuisvervoer;2010 2e kwartaal;91.7;-7.4
307;4942 Verhuisvervoer;2010 3e kwartaal;101.1;-3.7
308;4942 Verhuisvervoer;2010 4e kwartaal;102.9;2.6
309;4942 Verhuisvervoer;2010;94.7;-5.9
310;4942 Verhuisvervoer;2011 1e kwartaal;87.0;4.7
311;4942 Verhuisvervoer;2011 2e kwartaal;91.2;-0.5
312;4942 Verhuisvervoer;2011 3e kwartaal;101.6;0.5
313;4942 Verhuisvervoer;2011 4e kwartaal;101.8;-1.1
314;4942 Verhuisvervoer;2011;95.4;0.7
315;4942 Verhuisvervoer;2012 1e kwartaal;88.5;1.7
316;4942 Verhuisvervoer;2012 2e kwartaal;90.3;-1.0
317;4942 Verhuisvervoer;2012 3e kwartaal;98.7;-2.9
318;4942 Verhuisvervoer;2012 4e kwartaal;96.0;-5.7
319;4942 Verhuisvervoer;2012;93.4;-2.1
320;50 Vervoer over water;2005 1e kwartaal;92.6;
321;50 Vervoer over water;2005 2e kwartaal;101.8;
322;50 Vervoer over water;2005 3e kwartaal;104.2;
323;50 Vervoer over water;2005 4e kwartaal;101.4;
324;50 Vervoer over water;2005;100.0;
325;50 Vervoer over water;2006 1e kwartaal;87.4;-5.6
326;50 Vervoer over water;2006 2e kwartaal;81.5;-19.9
327;50 Vervoer over water;2006 3e kwartaal;83.8;-19.5
328;50 Vervoer over water;2006 4e kwartaal;79.7;-21.5
329;50 Vervoer over water;2006;83.1;-16.9
330;50 Vervoer over water;2007 1e kwartaal;82.6;-5.5
331;50 Vervoer over water;2007 2e kwartaal;90.1;10.6
332;50 Vervoer over water;2007 3e kwartaal;95.3;13.7
333;50 Vervoer over water;2007 4e kwartaal;93.3;17.0
334;50 Vervoer over water;2007;90.3;8.7
335;50 Vervoer over water;2008 1e kwartaal;89.7;8.6
336;50 Vervoer over water;2008 2e kwartaal;94.1;4.4
337;50 Vervoer over water;2008 3e kwartaal;96.1;0.9
338;50 Vervoer over water;2008 4e kwartaal;97.8;4.8
339;50 Vervoer over water;2008;94.4;4.5
340;50 Vervoer over water;2009 1e kwartaal;77.7;-13.4
341;50 Vervoer over water;2009 2e kwartaal;75.8;-19.5
342;50 Vervoer over water;2009 3e kwartaal;75.8;-21.2
343;50 Vervoer over water;2009 4e kwartaal;73.1;-25.2
344;50 Vervoer over water;2009;75.6;-19.9
345;50 Vervoer over water;2010 1e kwartaal;68.0;-12.4
346;50 Vervoer over water;2010 2e kwartaal;72.7;-4.0
347;50 Vervoer over water;2010 3e kwartaal;74.2;-2.1
348;50 Vervoer over water;2010 4e kwartaal;72.2;-1.3
349;50 Vervoer over water;2010;71.8;-5.0
350;50 Vervoer over water;2011 1e kwartaal;66.5;-2.3
351;50 Vervoer over water;2011 2e kwartaal;75.3;3.6
352;50 Vervoer over water;2011 3e kwartaal;77.7;4.7
353;50 Vervoer over water;2011 4e kwartaal;77.6;7.5
354;50 Vervoer over water;2011;74.3;3.5
355;50 Vervoer over water;2012 1e kwartaal;74.0;11.4
356;50 Vervoer over water;2012 2e kwartaal;77.3;2.6
357;50 Vervoer over water;2012 3e kwartaal;78.6;1.2
358;50 Vervoer over water;2012 4e kwartaal;80.7;4.1
359;50 Vervoer over water;2012;77.7;4.6
360;501-502 Zee- en kustvaart;2005 1e kwartaal;94.5;
361;501-502 Zee- en kustvaart;2005 2e kwartaal;102.2;
362;501-502 Zee- en kustvaart;2005 3e kwartaal;103.7;
363;501-502 Zee- en kustvaart;2005 4e kwartaal;99.7;
364;501-502 Zee- en kustvaart;2005;100.0;
365;501-502 Zee- en kustvaart;2006 1e kwartaal;83.6;-11.5
366;501-502 Zee- en kustvaart;2006 2e kwartaal;73.9;-27.7
367;501-502 Zee- en kustvaart;2006 3e kwartaal;75.0;-27.7
368;501-502 Zee- en kustvaart;2006 4e kwartaal;71.2;-28.6
369;501-502 Zee- en kustvaart;2006;75.9;-24.1
370;501-502 Zee- en kustvaart;2007 1e kwartaal;77.1;-7.8
371;501-502 Zee- en kustvaart;2007 2e kwartaal;82.1;11.1
372;501-502 Zee- en kustvaart;2007 3e kwartaal;87.2;16.2
373;501-502 Zee- en kustvaart;2007 4e kwartaal;84.5;18.8
374;501-502 Zee- en kustvaart;2007;82.7;9.0
375;501-502 Zee- en kustvaart;2008 1e kwartaal;81.7;5.9
376;501-502 Zee- en kustvaart;2008 2e kwartaal;85.3;3.9
377;501-502 Zee- en kustvaart;2008 3e kwartaal;86.8;-0.4
378;501-502 Zee- en kustvaart;2008 4e kwartaal;89.4;5.8
379;501-502 Zee- en kustvaart;2008;85.8;3.7
380;501-502 Zee- en kustvaart;2009 1e kwartaal;72.7;-11.0
381;501-502 Zee- en kustvaart;2009 2e kwartaal;68.7;-19.4
382;501-502 Zee- en kustvaart;2009 3e kwartaal;67.1;-22.7
383;501-502 Zee- en kustvaart;2009 4e kwartaal;63.3;-29.2
384;501-502 Zee- en kustvaart;2009;67.9;-20.8
385;501-502 Zee- en kustvaart;2010 1e kwartaal;61.4;-15.5
386;501-502 Zee- en kustvaart;2010 2e kwartaal;64.1;-6.7
387;501-502 Zee- en kustvaart;2010 3e kwartaal;63.5;-5.4
388;501-502 Zee- en kustvaart;2010 4e kwartaal;61.4;-3.0
389;501-502 Zee- en kustvaart;2010;62.6;-7.9
390;501-502 Zee- en kustvaart;2011 1e kwartaal;56.5;-8.0
391;501-502 Zee- en kustvaart;2011 2e kwartaal;61.7;-3.7
392;501-502 Zee- en kustvaart;2011 3e kwartaal;66.4;4.6
393;501-502 Zee- en kustvaart;2011 4e kwartaal;65.5;6.7
394;501-502 Zee- en kustvaart;2011;62.5;-0.1
395;501-502 Zee- en kustvaart;2012 1e kwartaal;66.2;17.1
396;501-502 Zee- en kustvaart;2012 2e kwartaal;67.5;9.3
397;501-502 Zee- en kustvaart;2012 3e kwartaal;69.2;4.1
398;501-502 Zee- en kustvaart;2012 4e kwartaal;72.4;10.5
399;501-502 Zee- en kustvaart;2012;68.8;10.0
400;503-504 Binnenvaart;2005 1e kwartaal;85.1;
401;503-504 Binnenvaart;2005 2e kwartaal;100.2;
402;503-504 Binnenvaart;2005 3e kwartaal;106.1;
403;503-504 Binnenvaart;2005 4e kwartaal;108.6;
404;503-504 Binnenvaart;2005;100.0;
405;503-504 Binnenvaart;2006 1e kwartaal;102.4;20.4
406;503-504 Binnenvaart;2006 2e kwartaal;111.8;11.6
407;503-504 Binnenvaart;2006 3e kwartaal;119.2;12.4
408;503-504 Binnenvaart;2006 4e kwartaal;113.8;4.8
409;503-504 Binnenvaart;2006;111.8;11.8
410;503-504 Binnenvaart;2007 1e kwartaal;104.5;2.0
411;503-504 Binnenvaart;2007 2e kwartaal;122.2;9.3
412;503-504 Binnenvaart;2007 3e kwartaal;128.0;7.3
413;503-504 Binnenvaart;2007 4e kwartaal;128.3;12.7
414;503-504 Binnenvaart;2007;120.7;8.0
415;503-504 Binnenvaart;2008 1e kwartaal;121.9;16.6
416;503-504 Binnenvaart;2008 2e kwartaal;129.4;5.9
417;503-504 Binnenvaart;2008 3e kwartaal;133.5;4.3
