ID;Geslacht;Regiokenmerken;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
197;Totaal mannen en vrouwen;Zeeland (PV);2022/'23;26930.0;720.0;26210.0;3.0
198;Totaal mannen en vrouwen;Noord-Brabant (PV);2012/'13;196220.0;4360.0;191850.0;2.0
199;Totaal mannen en vrouwen;Noord-Brabant (PV);2013/'14;197480.0;4140.0;193340.0;2.0
200;Totaal mannen en vrouwen;Noord-Brabant (PV);2014/'15;198360.0;4090.0;194270.0;2.0
201;Totaal mannen en vrouwen;Noord-Brabant (PV);2015/'16;198670.0;3910.0;194770.0;2.0
202;Totaal mannen en vrouwen;Noord-Brabant (PV);2016/'17;198900.0;4030.0;194880.0;2.0
203;Totaal mannen en vrouwen;Noord-Brabant (PV);2017/'18;197350.0;4330.0;193020.0;2.0
204;Totaal mannen en vrouwen;Noord-Brabant (PV);2018/'19;194810.0;4310.0;190500.0;2.0
205;Totaal mannen en vrouwen;Noord-Brabant (PV);2019/'20;191680.0;3760.0;187920.0;2.0
206;Totaal mannen en vrouwen;Noord-Brabant (PV);2020/'21;188810.0;4040.0;184770.0;2.0
207;Totaal mannen en vrouwen;Noord-Brabant (PV);2021/'22;186500.0;4940.0;181570.0;3.0
208;Totaal mannen en vrouwen;Noord-Brabant (PV);2022/'23;184380.0;4940.0;179440.0;3.0
209;Totaal mannen en vrouwen;Limburg (PV);2012/'13;80470.0;1720.0;78750.0;2.0
210;Totaal mannen en vrouwen;Limburg (PV);2013/'14;80170.0;1600.0;78570.0;2.0
211;Totaal mannen en vrouwen;Limburg (PV);2014/'15;79600.0;1650.0;77950.0;2.0
212;Totaal mannen en vrouwen;Limburg (PV);2015/'16;78510.0;1630.0;76870.0;2.0
213;Totaal mannen en vrouwen;Limburg (PV);2016/'17;77440.0;1660.0;75790.0;2.0
214;Totaal mannen en vrouwen;Limburg (PV);2017/'18;75470.0;1680.0;73800.0;2.0
215;Totaal mannen en vrouwen;Limburg (PV);2018/'19;73400.0;1670.0;71730.0;2.0
216;Totaal mannen en vrouwen;Limburg (PV);2019/'20;71490.0;1420.0;70070.0;2.0
217;Totaal mannen en vrouwen;Limburg (PV);2020/'21;69290.0;1540.0;67750.0;2.0
218;Totaal mannen en vrouwen;Limburg (PV);2021/'22;67850.0;2020.0;65830.0;3.0
219;Totaal mannen en vrouwen;Limburg (PV);2022/'23;66420.0;1920.0;64510.0;3.0
220;Totaal mannen en vrouwen;Aa en Hunze;2012/'13;2150.0;20.0;2130.0;1.0
221;Totaal mannen en vrouwen;Aa en Hunze;2013/'14;2170.0;10.0;2160.0;1.0
222;Totaal mannen en vrouwen;Aa en Hunze;2014/'15;2200.0;20.0;2180.0;1.0
223;Totaal mannen en vrouwen;Aa en Hunze;2015/'16;2180.0;30.0;2160.0;1.0
224;Totaal mannen en vrouwen;Aa en Hunze;2016/'17;2190.0;20.0;2180.0;1.0
225;Totaal mannen en vrouwen;Aa en Hunze;2017/'18;2180.0;30.0;2160.0;1.0
226;Totaal mannen en vrouwen;Aa en Hunze;2018/'19;2130.0;30.0;2100.0;1.0
227;Totaal mannen en vrouwen;Aa en Hunze;2019/'20;2050.0;20.0;2030.0;1.0
228;Totaal mannen en vrouwen;Aa en Hunze;2020/'21;1980.0;40.0;1940.0;2.0
229;Totaal mannen en vrouwen;Aa en Hunze;2021/'22;1940.0;40.0;1900.0;2.0
230;Totaal mannen en vrouwen;Aa en Hunze;2022/'23;1900.0;40.0;1860.0;2.0
231;Totaal mannen en vrouwen;Aalburg;2012/'13;1270.0;30.0;1240.0;3.0
232;Totaal mannen en vrouwen;Aalburg;2013/'14;1260.0;20.0;1240.0;2.0
233;Totaal mannen en vrouwen;Aalburg;2014/'15;1310.0;20.0;1290.0;1.0
234;Totaal mannen en vrouwen;Aalburg;2015/'16;1300.0;20.0;1270.0;2.0
235;Totaal mannen en vrouwen;Aalburg;2016/'17;1310.0;10.0;1290.0;1.0
236;Totaal mannen en vrouwen;Aalburg;2017/'18;1250.0;20.0;1230.0;2.0
237;Totaal mannen en vrouwen;Aalburg;2018/'19;1230.0;20.0;1210.0;1.0
238;Totaal mannen en vrouwen;Aalburg;2019/'20;;;;
239;Totaal mannen en vrouwen;Aalburg;2020/'21;;;;
240;Totaal mannen en vrouwen;Aalburg;2021/'22;;;;
241;Totaal mannen en vrouwen;Aalburg;2022/'23;;;;
242;Totaal mannen en vrouwen;Aalsmeer;2012/'13;2380.0;50.0;2330.0;2.0
243;Totaal mannen en vrouwen;Aalsmeer;2013/'14;2470.0;50.0;2420.0;2.0
244;Totaal mannen en vrouwen;Aalsmeer;2014/'15;2540.0;50.0;2490.0;2.0
245;Totaal mannen en vrouwen;Aalsmeer;2015/'16;2620.0;40.0;2580.0;1.0
246;Totaal mannen en vrouwen;Aalsmeer;2016/'17;2700.0;50.0;2640.0;2.0
247;Totaal mannen en vrouwen;Aalsmeer;2017/'18;2740.0;50.0;2690.0;2.0
248;Totaal mannen en vrouwen;Aalsmeer;2018/'19;2740.0;50.0;2690.0;2.0
249;Totaal mannen en vrouwen;Aalsmeer;2019/'20;2830.0;50.0;2780.0;2.0
250;Totaal mannen en vrouwen;Aalsmeer;2020/'21;2880.0;40.0;2840.0;1.0
251;Totaal mannen en vrouwen;Aalsmeer;2021/'22;2870.0;70.0;2800.0;2.0
252;Totaal mannen en vrouwen;Aalsmeer;2022/'23;2830.0;90.0;2740.0;3.0
253;Totaal mannen en vrouwen;Aalten;2012/'13;2350.0;30.0;2320.0;1.0
254;Totaal mannen en vrouwen;Aalten;2013/'14;2370.0;30.0;2340.0;1.0
255;Totaal mannen en vrouwen;Aalten;2014/'15;2320.0;10.0;2310.0;1.0
256;Totaal mannen en vrouwen;Aalten;2015/'16;2310.0;20.0;2300.0;1.0
257;Totaal mannen en vrouwen;Aalten;2016/'17;2340.0;30.0;2310.0;1.0
258;Totaal mannen en vrouwen;Aalten;2017/'18;2310.0;30.0;2280.0;1.0
259;Totaal mannen en vrouwen;Aalten;2018/'19;2330.0;40.0;2290.0;2.0
260;Totaal mannen en vrouwen;Aalten;2019/'20;2330.0;30.0;2300.0;1.0
261;Totaal mannen en vrouwen;Aalten;2020/'21;2280.0;40.0;2250.0;2.0
262;Totaal mannen en vrouwen;Aalten;2021/'22;2260.0;40.0;2220.0;2.0
263;Totaal mannen en vrouwen;Aalten;2022/'23;2240.0;30.0;2210.0;1.0
264;Totaal mannen en vrouwen;Achtkarspelen;2012/'13;2450.0;40.0;2420.0;1.0
265;Totaal mannen en vrouwen;Achtkarspelen;2013/'14;2470.0;30.0;2440.0;1.0
266;Totaal mannen en vrouwen;Achtkarspelen;2014/'15;2500.0;40.0;2460.0;2.0
267;Totaal mannen en vrouwen;Achtkarspelen;2015/'16;2520.0;30.0;2490.0;1.0
