ID;SBI;Grootteklasse;NettoOmzetExclBTW_1;Brutowinst_2;OverigeBedrijfsopbrengsten_3;TotaleBedrijfsopbrengsten_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;TotaalOverigeBedrijfslasten_8;HuisvestingsEnInventariskosten_9;VerkoopEnAutokosten_10;AlgemeneKosten_11;Bedrijfsresultaat_12;FinancieelResultaat_13;BuitengewoonResultaat_14;ResultaatVoorBelasting_15;WerkzamePersonen_16;OmzetPerFullTimeWerkzamePersoon_17;LoonkostenPerFullTimeWerknemer_18;OpslagduurActiviteitDetailhandel_19;WinkelomzetPerM2_20;VerkoopVloeroppervlakte_21
186;5246.3+8 Hout en Bouwmaterialen alg.ass.;0 tot 10 werknemers;489.0;32.9;0.2;33.1;24.6;11.2;2.6;10.8;4.2;3.8;2.8;8.6;-1.1;0.0;7.5;5.0;129.0;22.0;117.0;1.0;4.0
187;5246.3+8 Hout en Bouwmaterialen alg.ass.;10 en meer werknemers;7965.0;32.7;0.8;33.5;27.6;12.8;2.4;12.4;5.4;5.2;1.8;5.9;-0.4;0.1;5.6;65.0;171.0;20.0;108.0;2.0;20.0
188;5246.3+8 Hout en Bouwmaterialen alg.ass.;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
189;5246.3+8 Hout en Bouwmaterialen alg.ass.;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
190;5232.1 Drogisterij artikelen;Alle bedrijven;1276.0;31.7;1.3;32.9;25.1;11.4;2.7;11.0;5.0;4.1;1.9;7.8;-0.8;0.0;7.0;13.0;145.0;19.0;93.0;4.0;1.6
191;5232.1 Drogisterij artikelen;0 tot 10 werknemers;460.0;33.9;0.4;34.2;23.3;9.3;2.9;11.0;4.7;3.6;2.7;11.0;-1.4;0.1;9.7;5.0;114.0;16.0;116.0;3.0;1.3
192;5232.1 Drogisterij artikelen;10 en meer werknemers;17414.0;30.5;1.7;32.3;26.0;12.5;2.5;11.0;5.2;4.4;1.5;6.2;-0.5;-0.1;5.6;156.0;170.0;20.0;80.0;5.0;2.0
193;5232.1 Drogisterij artikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
194;5232.1 Drogisterij artikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
195;5232.2 Medische en orthopedische art.;Alle bedrijven;1171.0;39.7;1.4;41.0;32.9;17.2;3.3;12.4;;;;8.2;-0.3;0.3;8.2;10.0;142.0;26.0;93.0;5.0;0.9
196;5232.2 Medische en orthopedische art.;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
197;5232.2 Medische en orthopedische art.;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
198;5232.2 Medische en orthopedische art.;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
199;5232.2 Medische en orthopedische art.;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
200;5233   Parfums en cosmetica;Alle bedrijven;1074.0;40.4;2.9;43.2;35.2;15.4;3.3;16.5;;;;8.0;-0.2;-0.4;7.5;12.0;130.0;21.0;97.0;7.0;1.0
201;5233   Parfums en cosmetica;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
202;5233   Parfums en cosmetica;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
203;5233   Parfums en cosmetica;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
204;5233   Parfums en cosmetica;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
205;5248.2 Optische artikelen;Alle bedrijven;597.0;62.0;1.4;63.4;49.5;24.0;5.6;19.9;7.5;6.9;5.5;14.0;-0.5;-0.3;13.2;7.0;100.0;28.0;123.0;4.0;0.9
206;5248.2 Optische artikelen;0 tot 10 werknemers;337.0;61.3;0.3;61.6;45.2;20.0;6.1;19.1;6.6;6.9;5.6;16.5;-0.1;-0.1;16.3;4.0;98.0;28.0;129.0;4.0;0.8
207;5248.2 Optische artikelen;10 en meer werknemers;5809.0;62.9;2.7;65.5;54.5;28.7;4.9;20.8;8.5;6.9;5.3;11.1;-1.0;-0.6;9.5;67.0;102.0;28.0;114.0;5.0;0.9
208;5248.2 Optische artikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
209;5248.2 Optische artikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
210;5248.3 Juweliers artikelen en uurwerken;Alle bedrijven;486.0;45.1;0.4;45.6;33.2;14.4;3.0;15.8;5.8;6.1;3.9;12.4;-1.5;0.2;11.1;6.0;112.0;24.0;318.0;4.0;0.9
211;5248.3 Juweliers artikelen en uurwerken;0 tot 10 werknemers;327.0;46.2;0.6;46.8;31.1;12.5;3.2;15.5;6.1;4.8;4.5;15.7;-1.8;0.1;14.0;4.0;97.0;22.0;318.0;4.0;0.8
212;5248.3 Juweliers artikelen en uurwerken;10 en meer werknemers;6553.0;43.0;0.2;43.2;37.1;18.0;2.7;16.5;5.2;8.6;2.6;6.1;-0.9;0.3;5.5;69.0;155.0;27.0;318.0;9.0;1.2
213;5248.3 Juweliers artikelen en uurwerken;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
214;5248.3 Juweliers artikelen en uurwerken;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
215;5249.1 Bloemen en planten;Alle bedrijven;236.0;44.0;0.2;44.2;32.0;13.6;3.0;15.4;6.8;5.0;3.6;12.3;-0.9;0.1;11.5;4.0;69.0;17.0;34.0;2.0;1.2
216;5249.1 Bloemen en planten;0 tot 10 werknemers;212.0;43.6;0.2;43.8;31.1;12.5;3.1;15.4;6.8;4.9;3.7;12.8;-1.0;0.1;11.9;4.0;68.0;17.0;33.0;2.0;1.1
217;5249.1 Bloemen en planten;10 en meer werknemers;1587.0;47.1;0.2;47.3;39.0;21.6;2.2;15.2;6.8;5.5;2.9;8.3;-0.6;0.4;8.1;28.0;79.0;18.0;43.0;2.0;1.7
218;5249.1 Bloemen en planten;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
219;5249.1 Bloemen en planten;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
220;5249.2 Tuincentra;Alle bedrijven;931.0;40.3;0.2;40.6;34.1;17.0;3.8;13.2;4.7;5.4;3.2;6.5;-1.2;0.0;5.3;13.0;101.0;20.0;92.0;1.0;17.3
221;5249.2 Tuincentra;0 tot 10 werknemers;318.0;41.6;0.2;41.8;31.2;14.0;4.1;13.1;3.9;5.3;3.9;10.6;-1.6;-0.1;8.9;5.0;80.0;19.0;106.0;1.0;6.8
222;5249.2 Tuincentra;10 en meer werknemers;3062.0;39.9;0.3;40.1;35.1;18.1;3.7;13.3;4.9;5.4;2.9;5.0;-1.0;0.0;4.0;39.0;112.0;20.0;88.0;1.0;51.6
223;5249.2 Tuincentra;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
224;5249.2 Tuincentra;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
225;5249.3 Dieren en dierbenodigdheden;Alle bedrijven;220.0;36.1;0.1;36.2;25.1;7.9;3.0;14.2;6.8;4.0;3.4;11.1;-1.3;0.2;10.0;3.0;86.0;17.0;113.0;1.0;1.4
226;5249.3 Dieren en dierbenodigdheden;0 tot 10 werknemers;208.0;35.8;0.1;35.9;24.5;7.3;3.0;14.2;6.7;4.1;3.5;11.5;-1.3;0.2;10.4;3.0;85.0;17.0;114.0;1.0;1.4
227;5249.3 Dieren en dierbenodigdheden;10 en meer werknemers;1324.0;39.5;0.5;40.0;33.9;17.0;2.7;14.2;8.5;3.0;2.6;6.1;-1.4;0.6;5.3;18.0;95.0;17.0;103.0;2.0;1.5
228;5249.3 Dieren en dierbenodigdheden;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
229;5249.3 Dieren en dierbenodigdheden;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
230;5247.1 Boeken, tijdschriften en kranten;Alle bedrijven;862.0;29.7;0.3;30.0;24.9;11.7;1.9;11.3;6.0;2.8;2.5;5.1;-0.4;0.1;4.8;8.0;148.0;21.0;82.0;3.0;1.6
231;5247.1 Boeken, tijdschriften en kranten;0 tot 10 werknemers;308.0;30.9;0.1;31.0;21.9;7.2;2.7;12.1;6.0;3.4;2.7;9.1;-1.0;0.0;8.1;4.0;110.0;14.0;96.0;2.0;1.3
232;5247.1 Boeken, tijdschriften en kranten;10 en meer werknemers;10302.0;29.2;0.4;29.5;26.4;14.1;1.5;10.9;6.0;2.5;2.4;3.1;-0.1;0.2;3.2;79.0;179.0;24.0;72.0;4.0;2.5
233;5247.1 Boeken, tijdschriften en kranten;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
234;5247.1 Boeken, tijdschriften en kranten;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
235;5248.5 Fietsen;Alle bedrijven;361.0;32.9;0.6;33.6;20.5;8.8;2.2;9.5;4.1;2.7;2.7;13.0;-1.2;-0.1;11.8;3.0;123.0;22.0;134.0;2.0;1.7
236;5248.5 Fietsen;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
237;5248.5 Fietsen;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
238;5248.5 Fietsen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
239;5248.5 Fietsen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
240;5248.6/8 Sport- en kampeerartikelen;Alle bedrijven;639.0;35.5;0.4;35.8;27.9;11.0;2.6;14.2;7.0;4.0;3.0;8.0;-1.3;0.1;6.8;6.0;142.0;20.0;146.0;2.0;2.6
241;5248.6/8 Sport- en kampeerartikelen;0 tot 10 werknemers;374.0;32.9;0.3;33.2;24.5;8.4;2.6;13.5;6.0;4.0;3.0;8.7;-2.1;0.0;6.6;4.0;139.0;20.0;162.0;2.0;1.9
242;5248.6/8 Sport- en kampeerartikelen;10 en meer werknemers;5820.0;38.7;0.4;39.1;32.1;14.4;2.7;15.0;8.0;4.0;3.0;7.1;-0.4;0.3;7.0;56.0;146.0;20.0;124.0;2.0;5.8
243;5248.6/8 Sport- en kampeerartikelen;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
244;5248.6/8 Sport- en kampeerartikelen;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
