ID;Mestsoorten;HoeveelheidMestEnMineralenInDeMest;Perioden;TotaalGetransporteerdMestaanbod_1;MestafvoerDoorLandbouwbedrijven_2;MestafvoerDoorMestverwerkers_3;MestaanvoerUitHetBuitenland_4;TotaalGetransporteerdeMestafzet_5;MestaanvoerDoorLandbouwbedrijven_6;MestaanvoerDoorMestverwerkers_7;MestafvoerNaarHetBuitenland_8;TotaalMesttransportsaldo_9;SaldoMesttransportMestverwerkers_10;SaldoMesttransportBuitenland_11;Balansverschil_12
60;Totaal dierlijke mest;Kali in getransporteerde mest;1994;131.7;130.2;0.6;0.9;131.8;113.0;4.4;14.4;17.2;3.8;13.5;-0.1
61;Totaal dierlijke mest;Kali in getransporteerde mest;1995;126.9;125.4;0.9;0.6;125.9;108.5;4.1;13.3;16.9;3.2;12.7;1.0
62;Totaal dierlijke mest;Kali in getransporteerde mest;1996;125.6;123.2;1.2;1.2;121.4;108.2;4.2;9.0;15.0;3.0;7.7;4.2
63;Totaal dierlijke mest;Kali in getransporteerde mest;1997;122.9;122.2;0.7;;122.0;111.1;3.7;7.2;11.1;3.0;7.2;0.9
64;Totaal dierlijke mest;Kali in getransporteerde mest;1998;104.8;102.0;2.5;0.3;100.1;86.5;6.9;6.7;15.5;4.5;6.4;4.7
65;Totaal dierlijke mest;Kali in getransporteerde mest;1999;118.0;114.5;2.8;0.6;117.7;101.2;7.5;9.0;13.3;4.7;8.4;0.3
66;Totaal dierlijke mest;Kali in getransporteerde mest;2000;102.4;98.8;2.4;1.1;99.0;81.8;6.9;10.3;17.0;4.5;9.2;3.4
67;Totaal dierlijke mest;Kali in getransporteerde mest;2001;109.4;106.7;2.3;0.4;107.8;88.3;7.2;12.3;18.3;4.9;11.8;1.6
68;Totaal dierlijke mest;Kali in getransporteerde mest;2002;103.3;99.1;2.1;2.1;105.0;84.4;6.9;13.8;14.7;4.7;11.7;-1.7
69;Totaal dierlijke mest;Kali in getransporteerde mest;2003;93.2;89.2;2.0;2.0;84.4;70.4;5.7;8.3;18.8;3.7;6.3;8.8
70;Totaal dierlijke mest;Kali in getransporteerde mest;2004;86.0;81.8;2.2;2.0;81.2;63.5;6.7;11.0;18.3;4.5;9.0;4.8
71;Totaal dierlijke mest;Kali in getransporteerde mest;2005;87.6;83.5;2.2;1.9;82.5;67.3;6.5;8.6;16.2;4.4;6.7;5.1
72;Totaal dierlijke mest;Kali in getransporteerde mest;2006;118.2;106.5;10.1;1.5;115.1;83.8;13.1;18.1;22.7;3.0;16.6;3.1
73;Totaal dierlijke mest;Kali in getransporteerde mest;2007;140.2;125.1;13.0;2.1;134.1;93.2;16.0;24.8;31.8;3.0;22.7;6.1
74;Totaal dierlijke mest;Kali in getransporteerde mest;2008;145.9;133.0;11.1;1.8;141.1;97.6;17.5;26.1;35.4;6.4;24.3;4.7
75;Totaal dierlijke mest;Kali in getransporteerde mest;2009;154.4;142.0;10.4;2.1;150.0;101.8;20.1;28.1;40.2;9.8;26.0;4.4
76;Totaal dierlijke mest;Kali in getransporteerde mest;2010;156.4;143.0;11.0;2.4;152.3;101.5;23.1;27.7;41.5;12.2;25.2;4.2
77;Totaal dierlijke mest;Kali in getransporteerde mest;2011;158.4;146.2;9.6;2.6;154.3;106.0;21.2;27.1;40.2;11.6;24.5;4.1
78;Totaal dierlijke mest;Kali in getransporteerde mest;2012;159.6;145.0;10.6;4.0;154.4;102.7;22.7;29.0;42.3;12.1;25.0;5.2
79;Totaal dierlijke mest;Kali in getransporteerde mest;2013;161.4;143.5;12.4;5.4;154.1;100.3;24.4;29.4;43.3;12.0;24.0;7.3
80;Dunne mest rundvee;Hoeveelheid getransporteerde mest;1994;3285.5;3274.5;0.0;11.0;3191.0;3100.7;37.6;52.7;173.7;37.6;41.7;94.5
81;Dunne mest rundvee;Hoeveelheid getransporteerde mest;1995;3544.2;3543.1;0.0;1.1;3423.3;3348.3;39.9;35.2;194.9;39.9;34.1;120.9
82;Dunne mest rundvee;Hoeveelheid getransporteerde mest;1996;3557.2;3556.6;0.0;0.6;3398.6;3340.0;45.4;13.2;216.6;45.4;12.5;158.6
83;Dunne mest rundvee;Hoeveelheid getransporteerde mest;1997;3947.3;3947.3;;;3860.4;3859.1;;1.3;88.2;;1.3;86.9
84;Dunne mest rundvee;Hoeveelheid getransporteerde mest;1998;2455.3;2439.3;0.0;16.0;2543.3;2364.3;165.3;13.7;75.0;165.3;-2.3;-88.0
85;Dunne mest rundvee;Hoeveelheid getransporteerde mest;1999;2475.1;2451.5;0.0;23.6;2670.5;2469.9;167.3;33.3;-18.4;167.3;9.7;-195.4
86;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2000;1736.2;1697.9;0.0;38.3;1753.4;1725.3;21.1;7.0;-27.4;21.1;-31.3;-17.2
