ID;Vakantiekenmerken;Marges;RegioS;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
307;Totaal vakanties;Ondergrens 95%-interval;Limburg (PV);2022;1449.0;9.9;1677.0;1.1;8936.0;5.9;;7215.0;4.8;;467.0;308.0;;
308;Totaal vakanties;Ondergrens 95%-interval;Limburg (PV);2023;1466.0;9.9;1715.0;1.1;8948.0;5.8;;7185.0;4.6;;482.0;311.0;;
309;Totaal vakanties;Ondergrens 95%-interval;Provincie onbekend (PV);2021;434.0;3.0;534.0;1.2;3222.0;6.9;;2666.0;5.6;;141.0;299.0;;
310;Totaal vakanties;Ondergrens 95%-interval;Provincie onbekend (PV);2022;68.0;0.5;74.0;1.0;391.0;4.6;;306.0;3.5;;17.0;221.0;;
311;Totaal vakanties;Ondergrens 95%-interval;Provincie onbekend (PV);2023;;;;;;;;;;;;;;
312;Totaal vakanties;Ondergrens 95%-interval;Oost-Groningen (CR);2021;76.0;0.5;84.0;0.9;452.0;5.0;;362.0;4.0;;20.0;217.0;;
313;Totaal vakanties;Ondergrens 95%-interval;Oost-Groningen (CR);2022;40.0;0.3;42.0;1.0;224.0;4.7;;177.0;3.7;;8.0;172.0;;
314;Totaal vakanties;Ondergrens 95%-interval;Oost-Groningen (CR);2023;41.0;0.3;48.0;0.9;212.0;3.8;;161.0;2.8;;10.0;185.0;;
315;Totaal vakanties;Ondergrens 95%-interval;Delfzijl en omgeving (CR);2021;;;;;;;;;;;;;;
316;Totaal vakanties;Ondergrens 95%-interval;Delfzijl en omgeving (CR);2022;;;;;;;;;;;;;;
317;Totaal vakanties;Ondergrens 95%-interval;Delfzijl en omgeving (CR);2023;;;;;;;;;;;;;;
318;Totaal vakanties;Ondergrens 95%-interval;Overig Groningen (CR);2021;237.0;1.7;276.0;1.1;1414.0;5.4;;1123.0;4.2;;61.0;226.0;;
319;Totaal vakanties;Ondergrens 95%-interval;Overig Groningen (CR);2022;217.0;1.5;242.0;1.0;979.0;4.1;;721.0;3.0;;45.0;185.0;;
320;Totaal vakanties;Ondergrens 95%-interval;Overig Groningen (CR);2023;229.0;1.6;249.0;1.0;927.0;3.5;;661.0;2.4;;47.0;174.0;;
321;Totaal vakanties;Ondergrens 95%-interval;Noord-Friesland (CR);2021;870.0;6.0;1059.0;1.2;6765.0;7.3;;5678.0;6.1;;375.0;408.0;;
322;Totaal vakanties;Ondergrens 95%-interval;Noord-Friesland (CR);2022;769.0;5.3;970.0;1.2;5920.0;7.3;;4920.0;6.0;;297.0;362.0;;
323;Totaal vakanties;Ondergrens 95%-interval;Noord-Friesland (CR);2023;731.0;5.0;902.0;1.2;5163.0;6.6;;4210.0;5.3;;294.0;371.0;;
324;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Friesland (CR);2021;267.0;1.9;342.0;1.2;2078.0;6.9;;1706.0;5.7;;80.0;268.0;;
