ID;Geslacht;Leeftijd;Perioden;TotaalSlachtoffersMoordEnDoodslag_1;SlachtoffersMoordEnDoodslagRelatief_2;OphangenVerwurgenOfVerstikken_3;SlaanOfSchoppen_4;Vuurwapen_5;SteekOfSlagwapen_6;OverigeOfOnbekendeWijze_7;WoningVanHetSlachtofferOfAnderen_8;LocatieVoorHandelEnDienstverlening_9;OpenbareWeg_10;OverigeOfOnbekendeLocatie_11
271;Mannen;40 tot 50 jaar;2014;28;22.4;;;;;;;;;
272;Mannen;40 tot 50 jaar;2015;17;13.9;;;;;;;;;
273;Mannen;40 tot 50 jaar;2016;13;11.8;;;;;;;;;
274;Mannen;40 tot 50 jaar;2017;23;19.8;;;;;;;;;
275;Mannen;40 tot 50 jaar;2018;12;10.5;;;;;;;;;
276;Mannen;50 tot 60 jaar;1996;21;24.0;0.0;2.0;8.0;10.0;1.0;6.0;3.0;3.0;9.0
277;Mannen;50 tot 60 jaar;1997;16;17.3;1.0;1.0;6.0;6.0;2.0;3.0;2.0;3.0;8.0
278;Mannen;50 tot 60 jaar;1998;12;12.4;0.0;1.0;3.0;8.0;0.0;5.0;1.0;4.0;2.0
279;Mannen;50 tot 60 jaar;1999;16;16.0;0.0;2.0;5.0;7.0;2.0;11.0;0.0;1.0;4.0
280;Mannen;50 tot 60 jaar;2000;15;14.5;2.0;0.0;4.0;5.0;4.0;8.0;3.0;2.0;2.0
281;Mannen;50 tot 60 jaar;2001;24;22.7;2.0;1.0;4.0;13.0;4.0;11.0;1.0;6.0;6.0
282;Mannen;50 tot 60 jaar;2002;22;20.3;0.0;3.0;10.0;8.0;1.0;14.0;1.0;6.0;1.0
283;Mannen;50 tot 60 jaar;2003;23;20.8;0.0;2.0;6.0;10.0;5.0;9.0;3.0;2.0;9.0
284;Mannen;50 tot 60 jaar;2004;25;22.3;1.0;3.0;8.0;11.0;2.0;8.0;2.0;10.0;5.0
285;Mannen;50 tot 60 jaar;2005;15;13.2;1.0;2.0;4.0;7.0;1.0;8.0;2.0;2.0;3.0
286;Mannen;50 tot 60 jaar;2006;11;9.7;0.0;0.0;3.0;4.0;4.0;7.0;1.0;0.0;3.0
