ID;SIC2008;Regions;Periods;InvestmentsInTangibleFixedAssets_1;Land_2;CorporateBuildings_3;NetworkInfrastructure_4;MeansOfTransport_5;ComputerHardwarePeripheralEquipment_6;MachineryAndInstallations_7;OtherTangibleFixedAssets_8
746;Business Economy, B-N, excl. K, incl. 95;Gelderland (PV);2020;5790.19;242.57;1751.57;912.36;862.18;252.13;1328.58;440.43
747;Business Economy, B-N, excl. K, incl. 95;Gelderland (PV);2021;6003.88;195.15;1718.89;876.92;1061.96;281.13;1327.22;542.22
748;Business Economy, B-N, excl. K, incl. 95;Gelderland (PV);2022;;;;;;;;
749;Business Economy, B-N, excl. K, incl. 95;Gelderland (PV);2023;;;;;;;;
750;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2009;3182.1;40.1;333.92;375.57;1018.5;173.74;517.86;722.41
751;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2010;3219.98;53.86;240.44;721.64;975.66;136.29;492.11;599.98
752;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2011;3440.97;35.69;308.94;398.63;1076.86;161.62;528.74;930.49
753;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2012;4080.06;56.7;942.49;420.85;1210.61;204.56;971.52;273.32
754;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2013;4192.09;80.44;981.7;683.03;1161.55;266.92;767.03;251.42
755;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2014;4903.32;75.24;853.27;817.9;1299.66;293.36;1339.59;224.3
756;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2015;4928.28;66.91;824.82;1253.21;1465.92;255.39;734.07;327.96
757;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2016;5496.98;90.15;1006.54;1224.78;1735.14;265.15;789.97;385.26
758;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2017;5285.22;76.77;922.51;490.5;2541.53;281.1;669.83;302.99
759;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2018;6121.77;151.78;1343.05;643.01;2748.96;218.48;714.91;301.58
760;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2019;6177.12;121.44;1444.83;513.04;2815.02;249.78;672.0;361.01
761;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2020;6211.95;139.5;1518.27;619.5;2505.48;271.22;771.32;386.37
762;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2021;6293.95;75.39;1089.38;763.95;2738.41;306.77;879.9;439.84
763;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2022;6973.23;230.91;1347.22;617.86;2795.28;341.85;1054.3;585.48
764;Business Economy, B-N, excl. K, incl. 95;Utrecht (PV);2023;;;;;;;;
765;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2009;7532.6;110.7;1343.69;386.13;1319.4;491.74;1961.82;1919.11
766;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2010;6984.64;72.27;776.56;451.47;1315.89;385.87;1848.29;2134.29
767;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2011;7694.49;51.08;808.93;414.55;1725.24;500.99;1754.95;2438.76
768;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2012;7335.55;102.51;2472.86;631.2;1493.24;573.31;1395.24;667.2
769;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2013;7576.06;103.17;2517.82;597.38;1433.59;550.72;1802.45;570.94
770;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2014;7658.86;115.67;2493.3;672.7;1825.46;536.22;1450.85;564.65
771;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2015;8564.16;115.72;2177.93;451.78;1904.64;1504.57;1828.0;581.51
772;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2016;9046.84;165.35;3056.86;412.12;2069.74;812.83;1821.37;708.56
773;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2017;11952.81;280.18;3693.83;852.81;3226.76;629.5;2430.48;839.25
774;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2018;10974.18;336.17;3508.49;566.92;2740.45;788.74;2238.22;795.19
775;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2019;12897.91;256.96;3604.83;1614.96;3995.41;723.37;1760.83;941.55
776;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2020;13773.99;215.14;4809.61;922.87;3346.45;1521.58;2065.19;892.48
777;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2021;13293.89;164.6;3827.79;885.76;3211.68;1839.19;2274.34;1089.82
778;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2022;16867.9;519.84;5040.39;741.91;3878.17;2180.77;3304.88;1201.17
779;Business Economy, B-N, excl. K, incl. 95;Noord-Holland (PV);2023;;;;;;;;
780;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2009;9084.89;211.53;1108.13;483.88;1829.86;354.89;2560.51;2536.09
781;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2010;9412.78;172.41;738.98;707.6;2006.25;309.49;3042.34;2435.71
782;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2011;10605.36;223.86;969.28;1316.84;2035.69;381.01;3329.32;2349.37
783;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2012;10661.27;305.48;2928.07;994.86;1682.23;494.54;3447.58;808.49
784;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2013;10048.23;317.94;2283.06;1460.12;2411.32;509.52;2350.93;715.34
785;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2014;12590.89;116.75;2359.75;1434.64;1792.47;435.2;5570.36;881.73
786;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2015;11202.41;214.88;2149.01;1728.35;2320.14;407.73;3526.72;855.57
787;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2016;10249.48;169.38;1951.07;1231.93;3032.34;490.83;2700.1;673.83
788;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2017;10558.52;211.26;2189.99;973.91;2847.37;450.67;3144.07;741.25
789;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2018;11511.46;391.19;2808.96;923.0;2541.77;505.82;3442.79;897.92
790;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2019;14919.93;254.67;3291.74;1587.74;4018.92;494.38;4247.07;1025.41
791;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2020;13174.64;298.93;4395.06;1312.53;2217.89;480.67;3469.52;999.31
792;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2021;12237.34;286.39;3211.86;1500.05;2363.05;524.66;3108.23;1242.31
793;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2022;16064.98;451.02;4731.7;1918.35;3585.34;558.78;3404.2;1414.72
794;Business Economy, B-N, excl. K, incl. 95;Zuid-Holland (PV);2023;;;;;;;;
795;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2009;1349.31;13.19;131.71;151.62;299.32;31.93;524.72;196.83
796;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2010;1106.86;13.17;93.82;156.27;302.07;19.61;369.54;152.38
797;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2011;1783.61;12.79;142.56;169.13;548.9;25.64;651.89;232.7
798;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2012;1252.26;18.55;293.65;129.06;266.56;44.97;440.2;59.28
799;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2013;1222.59;14.69;253.7;65.7;234.18;26.5;560.95;66.89
800;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2014;1027.93;23.27;221.39;77.55;97.77;30.59;521.08;56.27
801;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2015;1070.49;22.55;194.03;69.54;357.79;27.59;340.81;58.18
802;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2016;960.08;35.2;199.15;76.44;119.16;26.86;436.68;66.6
803;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2017;1020.39;32.51;247.74;24.12;133.71;33.14;480.07;69.11
804;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2018;1470.05;46.98;309.41;122.61;174.08;33.47;715.9;67.59
805;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2019;1427.06;27.14;442.86;147.25;174.33;72.47;451.32;111.7
806;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2020;1998.78;51.68;385.53;620.85;145.03;65.65;635.72;94.26
807;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2021;1322.04;28.87;254.29;206.48;156.68;54.74;489.85;131.07
808;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2022;1718.87;41.98;390.37;253.84;210.6;63.58;594.84;163.59
809;Business Economy, B-N, excl. K, incl. 95;Zeeland (PV);2023;;;;;;;;
810;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2009;6139.25;158.85;892.82;305.25;891.48;271.0;1882.25;1737.59
811;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2010;5225.16;108.29;628.33;424.47;736.33;244.46;1747.25;1336.02
812;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2011;7551.95;149.74;930.99;546.25;1755.11;277.7;2041.21;1850.94
813;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2012;6897.65;133.86;1890.67;536.28;1071.3;331.85;2458.57;475.11
814;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2013;6851.65;120.09;2330.24;507.92;1459.8;287.28;1756.92;389.38
815;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2014;5655.15;118.4;1475.35;417.09;1266.01;317.39;1624.86;436.04
816;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2015;6659.56;134.6;1739.05;356.37;1757.85;301.58;1885.75;484.35
817;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2016;6626.74;155.48;1511.8;441.48;1817.57;347.43;1840.72;512.26
818;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2017;7317.03;207.54;1958.63;403.71;1757.38;326.88;2067.02;595.86
819;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2018;8148.96;338.45;2365.84;404.69;1940.52;335.46;2205.34;558.66
820;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2019;9574.9;218.44;3089.62;406.87;2062.61;358.13;2651.61;787.62
821;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2020;8329.41;252.27;2411.64;483.64;1803.38;422.41;2344.91;610.69
822;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2021;9626.18;318.62;3150.16;421.37;1838.32;482.49;2549.78;864.93
823;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2022;10572.88;384.96;3421.35;594.63;2027.99;477.07;2696.04;970.27
824;Business Economy, B-N, excl. K, incl. 95;Noord-Brabant (PV);2023;;;;;;;;
825;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2009;2294.4;29.13;312.4;173.25;336.63;79.71;797.3;565.97
826;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2010;1938.98;31.65;207.6;265.78;154.56;63.56;697.3;518.53
827;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2011;2289.02;27.74;248.46;211.16;241.0;78.52;796.35;685.79
828;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2012;2939.44;45.98;697.87;302.68;366.74;127.66;1225.02;173.48
829;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2013;2368.3;52.46;739.69;357.74;249.31;96.85;718.73;153.51
830;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2014;2242.65;60.07;504.52;420.72;228.11;92.89;754.85;181.51
831;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2015;2365.99;52.11;519.83;342.86;314.53;97.35;871.7;167.61
832;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2016;2637.72;59.82;726.5;318.7;306.6;100.32;942.85;182.93
833;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2017;3033.23;86.57;778.95;320.57;326.52;110.11;1190.34;220.17
834;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2018;2896.83;99.3;781.57;298.33;319.8;122.0;1083.32;192.5
835;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2019;3180.45;92.73;830.22;254.29;341.68;133.39;1316.99;211.16
836;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2020;3106.14;83.96;983.48;236.18;278.55;143.01;1170.67;210.13
837;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2021;3207.54;66.86;882.33;240.64;341.96;138.02;1282.77;254.79
838;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2022;3544.39;115.81;922.2;317.87;346.95;165.24;1377.69;298.44
839;Business Economy, B-N, excl. K, incl. 95;Limburg (PV);2023;;;;;;;;
840;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2009;1321.46;1.07;8.27;684.08;12.42;4.69;592.59;18.34
841;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2010;;;;;;;;
842;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2011;;;;;;;;
843;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2012;;;;;;;;
844;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2013;;;;;;;;
845;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2014;;;;;;;;
846;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2015;;;;;;;;
847;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2016;;;;;;;;
848;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2017;;;;;;;;
849;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2018;110.9;6.22;16.23;2.86;17.83;5.62;55.66;6.48
850;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2019;147.31;6.77;16.04;40.0;24.74;8.91;38.12;12.74
851;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2020;234.13;0.0;0.05;3.56;0.29;0.01;230.15;0.08
852;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2021;487.6;0.0;0.0;0.99;0.0;0.0;486.6;0.0
853;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2022;4.23;0.0;0.0;0.0;0.0;0.0;4.22;0.0
854;Business Economy, B-N, excl. K, incl. 95;Unclassifiable (PV);2023;;;;;;;;
855;G+I Trade, hotels, restaurants, bars;The Netherlands;2009;5786.65;110.88;1605.74;74.88;874.13;387.79;1420.9;1312.34
856;G+I Trade, hotels, restaurants, bars;The Netherlands;2010;5182.02;131.21;1339.87;63.3;919.03;327.18;1080.48;1320.94
857;G+I Trade, hotels, restaurants, bars;The Netherlands;2011;6692.24;187.12;1752.26;86.62;1037.26;501.65;1511.8;1615.52
858;G+I Trade, hotels, restaurants, bars;The Netherlands;2012;5844.98;163.06;1604.24;33.13;960.38;510.36;1120.34;1453.46
859;G+I Trade, hotels, restaurants, bars;The Netherlands;2013;5849.2;174.09;1632.92;72.06;1015.13;461.96;1191.55;1301.5
860;G+I Trade, hotels, restaurants, bars;The Netherlands;2014;6093.84;229.31;1684.56;52.02;1089.73;485.47;1241.45;1311.3
861;G+I Trade, hotels, restaurants, bars;The Netherlands;2015;6752.5;288.61;1926.44;36.58;1196.22;519.49;1371.38;1413.78
862;G+I Trade, hotels, restaurants, bars;The Netherlands;2016;7117.15;251.82;2110.8;37.0;1295.59;525.91;1344.09;1551.94
863;G+I Trade, hotels, restaurants, bars;The Netherlands;2017;8182.15;269.46;2644.36;50.09;1459.95;505.15;1539.85;1713.28
864;G+I Trade, hotels, restaurants, bars;The Netherlands;2018;8155.43;337.29;2629.85;62.82;1450.18;562.44;1473.75;1639.1
865;G+I Trade, hotels, restaurants, bars;The Netherlands;2019;9029.63;285.99;2885.24;56.64;1643.82;555.73;1777.84;1824.38
866;G+I Trade, hotels, restaurants, bars;The Netherlands;2020;9424.57;293.78;3129.25;30.47;1641.87;639.06;1895.49;1793.75
867;G+I Trade, hotels, restaurants, bars;The Netherlands;2021;9985.19;246.66;3049.66;60.46;1809.77;700.86;2108.98;2007.86
868;G+I Trade, hotels, restaurants, bars;The Netherlands;2022;11358.14;326.88;3458.19;54.32;1926.83;714.03;2589.17;2287.65
869;G+I Trade, hotels, restaurants, bars;The Netherlands;2023;;;;;;;;
870;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2009;461.43;11.59;144.29;6.8;70.06;27.17;105.77;95.74
871;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2010;404.31;6.75;108.49;3.16;87.04;16.05;83.28;99.55
872;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2011;;;;;;;;
873;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2012;;;;;;;;
874;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2013;;;;;;;;
875;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2014;;;;;;;;
876;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2015;579.71;30.99;190.91;2.16;93.07;32.54;126.27;103.77
877;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2016;520.97;12.99;143.52;2.59;126.36;32.44;94.31;108.75
878;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2017;597.07;24.32;183.06;4.35;119.13;31.54;93.35;141.32
879;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2018;572.98;22.66;195.63;3.85;101.23;29.58;98.05;121.98
880;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2019;;;;;;;;
881;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2020;659.76;20.45;234.6;5.79;106.2;40.81;126.65;125.17
882;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2021;738.1;31.6;241.71;8.01;138.71;33.79;130.05;154.14
883;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2022;928.19;21.51;339.78;7.85;162.46;40.96;174.11;181.43
884;G+I Trade, hotels, restaurants, bars;Noord-Nederland (LD);2023;;;;;;;;
885;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2009;1260.26;28.3;386.36;15.91;215.8;74.34;289.05;250.5
886;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2010;991.66;33.73;285.77;8.08;174.47;58.38;188.71;242.52
887;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2011;1288.26;29.83;334.25;17.29;247.44;87.44;283.44;288.57
888;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2012;1215.97;38.54;334.43;9.99;236.86;89.94;229.46;276.76
889;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2013;1228.76;28.27;337.17;16.74;264.14;83.9;244.77;253.77
890;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2014;1296.46;50.93;327.17;14.85;272.59;105.55;254.94;270.42
891;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2015;1430.16;65.1;350.69;8.07;324.68;98.35;305.87;277.4
892;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2016;;;;;;;;
893;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2017;;;;;;;;
894;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2018;1723.75;60.23;490.14;10.56;413.58;93.02;352.02;304.2
895;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2019;1855.72;76.72;560.39;13.14;446.51;97.1;352.23;309.62
896;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2020;1995.88;78.08;600.84;7.97;557.1;94.58;328.17;328.95
897;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2021;2111.88;52.12;596.26;15.65;509.52;112.07;420.07;405.97
898;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2022;2465.21;95.92;714.55;13.69;572.29;123.0;471.14;474.39
899;G+I Trade, hotels, restaurants, bars;Oost-Nederland (LD);2023;;;;;;;;
900;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2009;2839.54;45.59;744.83;36.65;392.66;200.35;743.48;675.98
901;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2010;2701.22;75.85;677.79;23.95;494.18;187.37;553.47;688.6
902;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2011;3485.26;101.19;922.0;30.48;473.69;288.1;784.68;885.11
903;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2012;2844.77;74.08;770.13;12.62;432.59;275.94;537.12;742.28
904;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2013;2872.3;80.9;838.72;28.88;446.22;255.38;552.99;669.21
905;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2014;3062.09;108.42;881.81;23.28;522.45;250.25;610.13;665.75
906;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2015;3247.92;134.21;931.5;10.94;530.04;278.5;626.71;736.03
907;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2016;3592.99;116.2;1155.24;17.34;542.24;280.84;651.32;829.81
908;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2017;3973.39;117.89;1292.6;19.88;694.04;259.66;741.38;847.95
909;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2018;;;;;;;;
910;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2019;4690.98;127.38;1513.18;20.54;767.21;322.55;916.48;1023.64
911;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2020;4815.52;116.27;1606.38;10.89;689.16;338.57;1042.79;1011.03
912;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2021;5050.63;109.76;1556.09;27.43;842.23;363.27;1108.15;1043.26
913;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2022;5699.1;131.67;1732.87;24.43;860.51;383.8;1375.23;1190.07
914;G+I Trade, hotels, restaurants, bars;West-Nederland (LD);2023;;;;;;;;
915;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2009;1215.35;25.31;328.61;15.35;193.68;85.33;279.6;287.47
916;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2010;1084.8;14.88;267.82;28.11;163.32;65.38;255.01;290.27
917;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2011;;;;;;;;
918;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2012;;;;;;;;
919;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2013;1195.59;53.55;335.46;19.75;215.4;92.53;227.53;251.38
920;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2014;1204.52;54.18;355.88;9.33;203.36;96.19;223.81;261.76
921;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2015;;;;;;;;
922;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2016;1521.0;61.46;428.42;7.8;278.85;119.45;305.71;319.3
923;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2017;1903.19;73.64;644.19;12.54;306.95;117.57;353.42;394.88
924;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2018;1715.84;80.69;530.13;27.1;302.63;110.81;324.01;340.48
925;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2019;1902.25;60.15;626.65;11.02;326.53;107.79;392.49;377.61
926;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2020;1953.41;78.98;687.44;5.82;289.41;165.09;397.88;328.6
927;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2021;2084.59;53.18;655.6;9.37;319.31;191.72;450.72;404.49
928;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2022;2265.64;77.78;670.99;8.35;331.56;166.27;568.69;441.77
929;G+I Trade, hotels, restaurants, bars;Zuid-Nederland (LD);2023;;;;;;;;
930;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2009;10.07;0.08;1.65;0.17;1.93;0.58;3.0;2.65
931;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2010;0.03;0.0;0.01;0.0;0.01;0.0;0.01;0.01
932;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2011;;;;;;;;
933;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2012;;;;;;;;
934;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2013;;;;;;;;
935;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2014;;;;;;;;
936;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2015;;;;;;;;
937;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2016;;;;;;;;
938;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2017;;;;;;;;
939;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2018;;;;;;;;
940;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2019;44.08;6.63;12.06;3.24;0.1;0.02;14.53;7.49
941;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2020;;;;;;;;
942;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2021;;;;;;;;
943;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2022;;;;;;;;
944;G+I Trade, hotels, restaurants, bars;Unclassifiable (LD);2023;;;;;;;;
945;G+I Trade, hotels, restaurants, bars;Groningen (PV);2009;135.89;3.07;46.32;1.42;19.76;7.54;28.24;29.55
946;G+I Trade, hotels, restaurants, bars;Groningen (PV);2010;141.48;1.63;31.18;0.93;39.99;5.3;34.0;28.44
947;G+I Trade, hotels, restaurants, bars;Groningen (PV);2011;118.22;4.59;28.59;1.99;16.65;7.59;26.57;32.23
948;G+I Trade, hotels, restaurants, bars;Groningen (PV);2012;;;;;;;;
949;G+I Trade, hotels, restaurants, bars;Groningen (PV);2013;110.72;2.11;28.36;0.48;19.29;7.56;22.14;30.76
950;G+I Trade, hotels, restaurants, bars;Groningen (PV);2014;127.65;3.16;35.52;0.83;23.9;8.71;25.23;30.3
951;G+I Trade, hotels, restaurants, bars;Groningen (PV);2015;145.61;12.41;47.69;0.41;19.22;10.19;29.12;26.56
952;G+I Trade, hotels, restaurants, bars;Groningen (PV);2016;156.32;3.68;41.68;0.74;37.57;10.2;30.33;32.13
953;G+I Trade, hotels, restaurants, bars;Groningen (PV);2017;177.35;3.93;60.97;0.83;30.47;9.93;27.66;43.56
954;G+I Trade, hotels, restaurants, bars;Groningen (PV);2018;182.98;5.48;64.56;1.14;25.25;9.22;37.89;39.43
955;G+I Trade, hotels, restaurants, bars;Groningen (PV);2019;;;;;;;;
956;G+I Trade, hotels, restaurants, bars;Groningen (PV);2020;203.23;4.53;73.64;0.47;21.59;10.96;53.46;38.57
957;G+I Trade, hotels, restaurants, bars;Groningen (PV);2021;214.59;9.27;72.85;0.74;37.05;11.07;40.11;43.48
958;G+I Trade, hotels, restaurants, bars;Groningen (PV);2022;314.48;6.02;133.94;3.77;42.49;12.18;60.33;55.71
959;G+I Trade, hotels, restaurants, bars;Groningen (PV);2023;;;;;;;;
960;G+I Trade, hotels, restaurants, bars;Fryslân (PV);2009;181.07;5.27;58.49;2.78;29.91;9.71;39.14;35.76
961;G+I Trade, hotels, restaurants, bars;Fryslân (PV);2010;145.13;3.49;40.95;1.21;29.58;5.59;28.29;36.02
962;G+I Trade, hotels, restaurants, bars;Fryslân (PV);2011;174.81;2.09;52.94;2.28;33.21;8.46;33.07;42.77
