ID;GovernmentSectors;Periods;UnfilledVacancies_1;NewVacancies_2;FilledVacancies_3
479;Municipal government;2008 annual aver. /annual total;6.5;18.0;18.0
480;Municipal government;2009 1st quarter;5.8;4.0;4.7
481;Municipal government;2009 2nd quarter;5.3;3.9;4.4
482;Municipal government;2009 3rd quarter;4.2;2.6;3.5
483;Municipal government;2009 4th quarter;4.3;3.2;3.0
484;Municipal government;2009 annual aver. /annual total;5.2;14.0;16.0
485;Municipal government;2010 1st quarter;4.1;3.2;3.4
486;Municipal government;2010 2nd quarter;4.0;3.1;3.2
487;Municipal government;2010 3rd quarter;3.2;2.1;2.8
488;Municipal government;2010 4th quarter;3.2;2.3;2.3
489;Municipal government;2010 annual aver. /annual total;3.8;11.0;12.0
490;Municipal government;2011 1st quarter;3.1;2.4;2.5
491;Municipal government;2011 2nd quarter;3.1;2.4;2.4
492;Municipal government;2011 3rd quarter;2.5;2.0;2.5
493;Municipal government;2011 4th quarter;2.7;2.3;2.1
494;Municipal government;2011 annual aver. /annual total;2.9;9.0;9.0
495;Municipal government;2012 1st quarter;2.8;2.5;2.4
496;Municipal government;2012 2nd quarter;2.5;2.2;2.5
497;Municipal government;2012 3rd quarter;2.4;2.0;2.1
498;Municipal government;2012 4th quarter;2.5;2.1;2.1
499;Municipal government;2012 annual aver. /annual total;2.6;8.8;9.0
500;Municipal government;2013 1st quarter;2.6;2.3;2.1
501;Municipal government;2013 2nd quarter;2.3;2.1;2.4
502;Municipal government;2013 3rd quarter;2.3;2.0;2.1
503;Municipal government;2013 4th quarter;2.3;2.2;2.1
504;Municipal government;2013 annual aver. /annual total;2.4;8.6;9.1
505;Municipal government;2014 1st quarter;2.4;2.7;2.6
506;Municipal government;2014 2nd quarter;2.3;2.3;2.4
507;Municipal government;2014 3rd quarter;2.7;2.4;2.0
508;Municipal government;2014 4th quarter;2.8;2.9;2.8
509;Municipal government;2014 annual aver. /annual total;2.5;10.3;9.8
510;Municipal government;2015 1st quarter;2.9;3.3;3.2
511;Municipal government;2015 2nd quarter;3.2;3.5;3.2
512;Municipal government;2015 3rd quarter;2.9;2.8;3.1
513;Municipal government;2015 4th quarter;3.3;3.5;3.1
514;Municipal government;2015 annual aver. /annual total;3.0;13.1;12.6
515;Municipal government;2016 1st quarter;3.4;3.9;3.8
516;Municipal government;2016 2nd quarter;3.4;3.9;3.8
517;Municipal government;2016 3rd quarter;2.9;3.2;3.7
518;Municipal government;2016 4th quarter;3.6;4.4;3.6
519;Municipal government;2016 annual aver. /annual total;3.3;15.3;15.0
520;Municipal government;2017 1st quarter;3.7;4.7;4.6
521;Municipal government;2017 2nd quarter;3.9;4.9;4.8
522;Municipal government;2017 3rd quarter;3.5;4.0;4.3
523;Municipal government;2017 4th quarter;4.1;4.9;4.3
524;Municipal government;2017 annual aver. /annual total;3.7;18.5;18.0
525;Municipal government;2018 1st quarter;4.5;5.4;5.0
526;Municipal government;2018 2nd quarter;4.1;5.2;5.5
527;Municipal government;2018 3rd quarter;3.9;4.6;4.8
528;Municipal government;2018 4th quarter;4.6;6.5;5.8
529;Municipal government;2018 annual aver. /annual total;4.2;21.7;21.1
530;Municipal government;2019 1st quarter;4.8;6.2;6.1
531;Municipal government;2019 2nd quarter;4.6;5.5;5.7
532;Municipal government;2019 3rd quarter;4.3;5.1;5.5
533;Municipal government;2019 4th quarter;4.7;5.9;5.4
534;Municipal government;2019 annual aver. /annual total;4.6;22.7;22.7
535;Municipal government;2020 1st quarter;4.5;5.6;5.7
536;Municipal government;2020 2nd quarter;4.0;4.7;5.2
537;Municipal government;2020 3rd quarter;3.6;5.0;5.5
538;Municipal government;2020 4th quarter;4.3;5.8;5.2
539;Municipal government;2020 annual aver. /annual total;4.2;21.1;21.4
540;Municipal government;2021 1st quarter;4.9;6.6;6.0
541;Municipal government;2021 2nd quarter;4.8;7.3;7.3
542;Municipal government;2021 3rd quarter;5.0;6.7;6.5
543;Municipal government;2021 4th quarter;5.6;7.8;7.2
544;Municipal government;2021 annual aver. /annual total;4.9;28.4;27.0
545;Municipal government;2022 1st quarter;6.0;8.0;7.5
546;Municipal government;2022 2nd quarter;6.1;8.2;8.1
547;Municipal government;2022 3rd quarter;6.1;7.9;7.9
548;Municipal government;2022 4th quarter;7.1;9.6;8.7
549;Municipal government;2022 annual aver. /annual total;6.2;33.7;32.2
550;Municipal government;2023 1st quarter;6.9;9.1;9.3
551;Municipal government;2023 2nd quarter;6.9;8.4;8.5
552;Municipal government;2023 3rd quarter;7.0;8.1;8.0
553;Municipal government;2023 4th quarter;7.7;9.7;8.9
554;Municipal government;2023 annual aver. /annual total;7.1;35.3;34.6
555;Municipal government;2024 1st quarter;8.5;9.9;9.1
556;Municipal government;2024 2nd quarter;7.1;7.5;9.0
557;Municipal government;2024 3rd quarter;6.9;7.6;7.9
558;Municipal government;2024 4th quarter;7.7;9.0;8.2
559;Municipal government;2024 annual aver. /annual total;7.5;34.0;34.0
560;Education sector;1997 1st quarter;2.8;7.4;7.3
561;Education sector;1997 2nd quarter;3.3;7.0;6.5
562;Education sector;1997 3rd quarter;2.9;12.2;12.6
563;Education sector;1997 4th quarter;3.2;6.9;6.6
564;Education sector;1997 annual aver. /annual total;;34.0;33.0
565;Education sector;1998 1st quarter;3.3;8.5;8.4
566;Education sector;1998 2nd quarter;4.9;9.1;7.5
567;Education sector;1998 3rd quarter;4.3;15.1;15.8
568;Education sector;1998 4th quarter;4.9;8.6;8.0
569;Education sector;1998 annual aver. /annual total;4.1;41.0;40.0
570;Education sector;1999 1st quarter;4.1;9.4;10.1
571;Education sector;1999 2nd quarter;5.9;11.1;9.3
572;Education sector;1999 3rd quarter;4.9;14.1;15.2
573;Education sector;1999 4th quarter;6.1;8.7;7.5
574;Education sector;1999 annual aver. /annual total;5.1;43.0;42.0
575;Education sector;2000 1st quarter;5.8;9.6;9.9
576;Education sector;2000 2nd quarter;7.3;11.2;9.8
577;Education sector;2000 3rd quarter;5.8;15.7;17.2
578;Education sector;2000 4th quarter;6.1;10.4;10.1
579;Education sector;2000 annual aver. /annual total;6.3;47.0;47.0
580;Education sector;2001 1st quarter;5.5;9.9;10.5
581;Education sector;2001 2nd quarter;7.0;11.8;10.3
582;Education sector;2001 3rd quarter;5.8;13.9;15.1
583;Education sector;2001 4th quarter;6.3;9.7;9.3
584;Education sector;2001 annual aver. /annual total;6.1;45.0;45.0
585;Education sector;2002 1st quarter;5.2;9.4;10.5
586;Education sector;2002 2nd quarter;6.8;11.5;9.8
587;Education sector;2002 3rd quarter;4.8;13.9;15.9
588;Education sector;2002 4th quarter;5.3;7.3;6.8
589;Education sector;2002 annual aver. /annual total;5.7;42.0;43.0
590;Education sector;2003 1st quarter;3.7;5.8;7.4
591;Education sector;2003 2nd quarter;4.7;8.0;7.0
592;Education sector;2003 3rd quarter;3.7;10.2;11.1
593;Education sector;2003 4th quarter;3.4;6.1;6.4
594;Education sector;2003 annual aver. /annual total;4.1;30.0;32.0
595;Education sector;2004 1st quarter;3.7;5.4;5.1
596;Education sector;2004 2nd quarter;5.8;8.7;6.6
597;Education sector;2004 3rd quarter;4.0;8.0;9.8
598;Education sector;2004 4th quarter;3.9;5.8;5.9
599;Education sector;2004 annual aver. /annual total;4.3;28.0;27.0
600;Education sector;2005 1st quarter;3.6;5.6;5.9
601;Education sector;2005 2nd quarter;6.5;9.5;6.5
602;Education sector;2005 3rd quarter;5.6;9.7;10.7
603;Education sector;2005 4th quarter;5.5;6.7;6.9
604;Education sector;2005 annual aver. /annual total;5.1;32.0;30.0
605;Education sector;2006 1st quarter;5.2;6.7;7.0
606;Education sector;2006 2nd quarter;5.9;9.0;8.2
607;Education sector;2006 3rd quarter;4.7;9.5;10.7
608;Education sector;2006 4th quarter;5.9;9.3;8.2
609;Education sector;2006 annual aver. /annual total;5.4;35.0;34.0
610;Education sector;2007 1st quarter;6.0;9.7;9.5
611;Education sector;2007 2nd quarter;7.8;12.3;10.5
612;Education sector;2007 3rd quarter;7.1;13.4;14.1
613;Education sector;2007 4th quarter;6.6;8.1;8.6
614;Education sector;2007 annual aver. /annual total;6.8;44.0;43.0
615;Education sector;2008 1st quarter;7.2;9.2;8.6
616;Education sector;2008 2nd quarter;8.4;12.2;11.1
617;Education sector;2008 3rd quarter;6.5;11.4;14.3
618;Education sector;2008 4th quarter;6.6;7.7;7.6
619;Education sector;2008 annual aver. /annual total;7.2;41.0;42.0
620;Education sector;2009 1st quarter;5.2;6.8;8.2
621;Education sector;2009 2nd quarter;6.5;10.4;9.1
622;Education sector;2009 3rd quarter;4.3;9.3;11.2
623;Education sector;2009 4th quarter;4.1;6.0;6.2
624;Education sector;2009 annual aver. /annual total;5.3;33.0;35.0
625;Education sector;2010 1st quarter;4.0;5.7;5.7
626;Education sector;2010 2nd quarter;4.6;8.3;7.7
627;Education sector;2010 3rd quarter;3.8;9.2;10.0
628;Education sector;2010 4th quarter;3.4;5.9;6.3
629;Education sector;2010 annual aver. /annual total;4.0;29.0;30.0
630;Education sector;2011 1st quarter;3.0;6.2;6.6
631;Education sector;2011 2nd quarter;3.7;8.3;7.5
632;Education sector;2011 3rd quarter;2.9;8.2;8.9
633;Education sector;2011 4th quarter;2.8;5.9;6.0
634;Education sector;2011 annual aver. /annual total;3.2;28.0;29.0
635;Education sector;2012 1st quarter;2.6;5.4;5.6
636;Education sector;2012 2nd quarter;3.7;8.5;7.4
637;Education sector;2012 3rd quarter;2.7;6.7;7.7
638;Education sector;2012 4th quarter;2.9;5.4;5.2
639;Education sector;2012 annual aver. /annual total;3.0;26.0;25.9
640;Education sector;2013 1st quarter;2.6;5.3;5.6
641;Education sector;2013 2nd quarter;3.5;8.1;7.3
642;Education sector;2013 3rd quarter;2.6;6.6;7.4
643;Education sector;2013 4th quarter;2.8;6.1;5.9
644;Education sector;2013 annual aver. /annual total;2.9;27.6;26.0
645;Education sector;2014 1st quarter;3.1;6.3;6.0
646;Education sector;2014 2nd quarter;4.6;10.0;8.5
647;Education sector;2014 3rd quarter;3.3;7.9;9.2
648;Education sector;2014 4th quarter;3.5;6.2;6.1
649;Education sector;2014 annual aver. /annual total;3.5;30.5;29.7
650;Education sector;2015 1st quarter;4.1;7.0;6.4
651;Education sector;2015 2nd quarter;5.8;12.0;10.4
652;Education sector;2015 3rd quarter;4.5;9.2;10.5
653;Education sector;2015 4th quarter;4.7;7.2;7.1
654;Education sector;2015 annual aver. /annual total;4.6;35.5;34.3
655;Education sector;2016 1st quarter;4.9;7.7;7.5
656;Education sector;2016 2nd quarter;6.9;12.4;10.4
657;Education sector;2016 3rd quarter;5.3;10.3;11.9
658;Education sector;2016 4th quarter;5.9;8.2;7.7
659;Education sector;2016 annual aver. /annual total;5.6;38.6;37.4
660;Education sector;2017 1st quarter;5.8;7.9;7.9
661;Education sector;2017 2nd quarter;7.6;12.8;11.0
662;Education sector;2017 3rd quarter;5.8;10.6;12.5
663;Education sector;2017 4th quarter;5.6;9.1;9.3
664;Education sector;2017 annual aver. /annual total;6.2;40.4;40.6
665;Education sector;2018 1st quarter;5.8;8.6;8.4
666;Education sector;2018 2nd quarter;8.5;16.9;14.1
667;Education sector;2018 3rd quarter;6.2;12.9;15.2
668;Education sector;2018 4th quarter;6.7;10.9;10.5
669;Education sector;2018 annual aver. /annual total;6.7;49.4;48.3
670;Education sector;2019 1st quarter;7.2;9.9;9.4
671;Education sector;2019 2nd quarter;10.2;18.5;15.5
672;Education sector;2019 3rd quarter;7.8;13.3;15.6
673;Education sector;2019 4th quarter;8.3;11.2;10.7
674;Education sector;2019 annual aver. /annual total;8.2;52.9;51.3
675;Education sector;2020 1st quarter;7.9;10.1;10.5
676;Education sector;2020 2nd quarter;8.3;14.5;14.1
677;Education sector;2020 3rd quarter;6.8;11.8;13.3
678;Education sector;2020 4th quarter;8.0;10.9;9.7
679;Education sector;2020 annual aver. /annual total;7.8;47.3;47.6
680;Education sector;2021 1st quarter;7.3;9.0;9.7
681;Education sector;2021 2nd quarter;12.0;21.4;16.7
682;Education sector;2021 3rd quarter;10.6;18.5;19.9
683;Education sector;2021 4th quarter;10.9;14.1;13.8
684;Education sector;2021 annual aver. /annual total;9.8;63.0;60.1
685;Education sector;2022 1st quarter;11.4;13.0;12.6
686;Education sector;2022 2nd quarter;15.6;23.1;18.8
687;Education sector;2022 3rd quarter;13.4;17.1;19.3
688;Education sector;2022 4th quarter;13.8;14.1;13.6
689;Education sector;2022 annual aver. /annual total;13.2;67.2;64.3
690;Education sector;2023 1st quarter;13.9;12.5;12.4
691;Education sector;2023 2nd quarter;16.8;20.3;17.4
692;Education sector;2023 3rd quarter;14.6;16.7;18.9
693;Education sector;2023 4th quarter;14.9;14.9;14.7
694;Education sector;2023 annual aver. /annual total;14.9;64.3;63.3
695;Education sector;2024 1st quarter;15.6;12.0;11.2
696;Education sector;2024 2nd quarter;16.4;20.5;19.7
697;Education sector;2024 3rd quarter;12.4;12.8;16.8
698;Education sector;2024 4th quarter;12.2;11.8;12.0
699;Education sector;2024 annual aver. /annual total;14.5;57.1;59.8
700;Police;1997 1st quarter;0.3;0.7;0.7
701;Police;1997 2nd quarter;0.5;1.1;0.9
702;Police;1997 3rd quarter;0.7;1.1;0.9
703;Police;1997 4th quarter;0.4;0.5;0.7
704;Police;1997 annual aver. /annual total;;3.0;3.0
705;Police;1998 1st quarter;0.7;1.1;0.8
706;Police;1998 2nd quarter;1.0;1.0;0.8
707;Police;1998 3rd quarter;0.7;0.6;0.8
708;Police;1998 4th quarter;1.2;1.1;0.6
709;Police;1998 annual aver. /annual total;0.8;4.0;3.0
710;Police;1999 1st quarter;1.3;1.4;1.2
711;Police;1999 2nd quarter;1.6;0.9;0.7
712;Police;1999 3rd quarter;1.4;0.7;0.9
713;Police;1999 4th quarter;2.1;1.6;0.9
714;Police;1999 annual aver. /annual total;1.5;5.0;4.0
715;Police;2000 1st quarter;1.4;0.7;1.4
716;Police;2000 2nd quarter;1.3;1.1;1.2
717;Police;2000 3rd quarter;1.2;1.2;1.3
718;Police;2000 4th quarter;1.1;1.0;1.0
719;Police;2000 annual aver. /annual total;1.4;4.0;5.0
720;Police;2001 1st quarter;1.1;1.0;1.0
721;Police;2001 2nd quarter;0.8;1.2;1.5
722;Police;2001 3rd quarter;0.8;1.2;1.2
723;Police;2001 4th quarter;0.9;1.1;1.0
724;Police;2001 annual aver. /annual total;0.9;5.0;5.0
725;Police;2002 1st quarter;0.8;0.9;1.0
726;Police;2002 2nd quarter;0.4;0.8;1.1
727;Police;2002 3rd quarter;0.4;0.8;0.8
728;Police;2002 4th quarter;0.5;1.1;1.0
729;Police;2002 annual aver. /annual total;0.6;4.0;4.0
730;Police;2003 1st quarter;0.4;1.1;1.1
731;Police;2003 2nd quarter;0.4;0.9;0.9
732;Police;2003 3rd quarter;0.4;0.8;0.9
733;Police;2003 4th quarter;0.4;0.4;0.4
734;Police;2003 annual aver. /annual total;0.4;3.0;3.0
735;Police;2004 1st quarter;0.5;0.5;0.3
736;Police;2004 2nd quarter;0.9;1.1;0.7
737;Police;2004 3rd quarter;0.3;0.2;0.7
738;Police;2004 4th quarter;1.1;1.0;0.2
739;Police;2004 annual aver. /annual total;0.6;3.0;2.0
740;Police;2005 1st quarter;0.7;0.5;0.9
741;Police;2005 2nd quarter;0.7;0.9;0.8
742;Police;2005 3rd quarter;0.6;0.5;0.5
743;Police;2005 4th quarter;0.3;0.4;0.7
744;Police;2005 annual aver. /annual total;0.7;2.0;3.0
745;Police;2006 1st quarter;1.0;1.5;0.9
746;Police;2006 2nd quarter;0.8;0.9;1.2
747;Police;2006 3rd quarter;1.2;0.9;0.5
748;Police;2006 4th quarter;0.9;0.8;1.0
749;Police;2006 annual aver. /annual total;0.9;4.0;4.0
750;Police;2007 1st quarter;0.9;0.7;0.8
751;Police;2007 2nd quarter;1.0;0.8;0.7
752;Police;2007 3rd quarter;0.9;0.7;0.8
753;Police;2007 4th quarter;1.0;1.0;0.9
754;Police;2007 annual aver. /annual total;0.9;3.0;3.0
755;Police;2008 1st quarter;0.9;0.7;0.7
756;Police;2008 2nd quarter;1.5;1.1;0.5
757;Police;2008 3rd quarter;1.2;0.3;1.4
758;Police;2008 4th quarter;0.9;0.5;0.8
759;Police;2008 annual aver. /annual total;1.1;3.0;3.0
760;Police;2009 1st quarter;0.7;0.5;0.6
761;Police;2009 2nd quarter;0.8;0.6;0.6
762;Police;2009 3rd quarter;0.6;0.6;0.5
763;Police;2009 4th quarter;0.4;0.3;0.5
764;Police;2009 annual aver. /annual total;0.7;2.0;2.0
765;Police;2010 1st quarter;0.5;0.5;0.4
766;Police;2010 2nd quarter;0.4;0.3;0.4
767;Police;2010 3rd quarter;0.4;0.3;0.3
768;Police;2010 4th quarter;0.4;0.4;0.4
769;Police;2010 annual aver. /annual total;0.4;1.0;1.0
770;Police;2011 1st quarter;0.5;0.4;0.3
771;Police;2011 2nd quarter;0.5;0.4;0.4
772;Police;2011 3rd quarter;0.5;0.4;0.4
773;Police;2011 4th quarter;0.5;0.5;0.5
774;Police;2011 annual aver. /annual total;0.5;2.0;2.0
775;Police;2012 1st quarter;0.4;0.3;0.4
776;Police;2012 2nd quarter;0.3;0.3;0.4
777;Police;2012 3rd quarter;0.3;0.2;0.2
778;Police;2012 4th quarter;0.2;0.3;0.3
779;Police;2012 annual aver. /annual total;0.3;1.1;1.3
780;Police;2013 1st quarter;0.1;0.1;0.2
781;Police;2013 2nd quarter;0.1;0.1;0.1
782;Police;2013 3rd quarter;0.1;0.1;0.1
783;Police;2013 4th quarter;0.1;0.1;0.1
784;Police;2013 annual aver. /annual total;0.2;0.5;0.6
785;Police;2014 1st quarter;0.2;0.1;0.1
786;Police;2014 2nd quarter;0.1;0.1;0.2
787;Police;2014 3rd quarter;0.0;0.1;0.1
788;Police;2014 4th quarter;0.0;0.0;0.0
789;Police;2014 annual aver. /annual total;0.1;0.3;0.4
790;Police;2015 1st quarter;0.0;0.0;0.0
791;Police;2015 2nd quarter;0.0;0.0;0.0
792;Police;2015 3rd quarter;0.1;0.2;0.1
793;Police;2015 4th quarter;0.1;0.1;0.1
794;Police;2015 annual aver. /annual total;0.0;0.3;0.2
795;Police;2016 1st quarter;0.1;0.1;0.1
796;Police;2016 2nd quarter;0.4;0.5;0.2
797;Police;2016 3rd quarter;0.8;0.7;0.3
798;Police;2016 4th quarter;1.8;2.2;1.2
799;Police;2016 annual aver. /annual total;0.6;3.6;1.8
800;Police;2017 1st quarter;2.0;2.4;2.2
801;Police;2017 2nd quarter;4.9;4.4;1.5
802;Police;2017 3rd quarter;4.5;1.4;1.8
803;Police;2017 4th quarter;5.1;2.5;1.9
804;Police;2017 annual aver. /annual total;3.7;10.7;7.4
805;Police;2018 1st quarter;4.4;1.8;1.9
806;Police;2018 2nd quarter;4.2;2.0;2.2
807;Police;2018 3rd quarter;4.3;1.7;1.5
808;Police;2018 4th quarter;4.4;2.0;1.9
809;Police;2018 annual aver. /annual total;4.3;7.4;7.5
810;Police;2019 1st quarter;3.9;1.5;2.0
811;Police;2019 2nd quarter;4.0;2.2;2.1
812;Police;2019 3rd quarter;4.1;1.5;1.5
813;Police;2019 4th quarter;4.5;2.4;1.9
814;Police;2019 annual aver. /annual total;4.1;7.7;7.5
815;Police;2020 1st quarter;4.3;2.0;2.2
816;Police;2020 2nd quarter;3.9;1.8;2.2
817;Police;2020 3rd quarter;3.9;1.7;1.8
818;Police;2020 4th quarter;4.4;2.3;1.8
819;Police;2020 annual aver. /annual total;4.1;7.8;8.0
820;Police;2021 1st quarter;5.0;2.9;2.4
821;Police;2021 2nd quarter;4.9;2.3;2.4
822;Police;2021 3rd quarter;5.8;3.2;2.3
823;Police;2021 4th quarter;5.9;2.8;2.6
824;Police;2021 annual aver. /annual total;5.2;11.2;9.7
825;Police;2022 1st quarter;6.9;3.3;2.3
826;Police;2022 2nd quarter;7.0;3.2;3.0
827;Police;2022 3rd quarter;6.7;2.3;2.6
828;Police;2022 4th quarter;7.3;2.5;1.9
829;Police;2022 annual aver. /annual total;6.8;11.2;9.8
830;Police;2023 1st quarter;7.8;2.9;2.4
831;Police;2023 2nd quarter;8.7;2.8;1.9
832;Police;2023 3rd quarter;9.6;3.2;2.3
833;Police;2023 4th quarter;10.6;3.7;2.7
834;Police;2023 annual aver. /annual total;8.8;12.5;9.3
835;Police;2024 1st quarter;11.7;4.8;3.7
836;Police;2024 2nd quarter;13.4;5.7;3.9
837;Police;2024 3rd quarter;13.0;4.0;4.4
838;Police;2024 4th quarter;11.9;4.4;5.5
839;Police;2024 annual aver. /annual total;12.3;18.8;17.4
840;Defence;1997 1st quarter;0.0;0.1;0.3
841;Defence;1997 2nd quarter;0.1;0.4;0.3
842;Defence;1997 3rd quarter;0.1;0.3;0.3
843;Defence;1997 4th quarter;0.1;0.4;0.3
844;Defence;1997 annual aver. /annual total;;1.0;1.0
845;Defence;1998 1st quarter;0.1;0.2;0.2
846;Defence;1998 2nd quarter;0.0;0.1;0.2
847;Defence;1998 3rd quarter;0.1;0.2;0.1
848;Defence;1998 4th quarter;0.1;0.2;0.2
849;Defence;1998 annual aver. /annual total;0.1;1.0;1.0
850;Defence;1999 1st quarter;0.1;0.2;0.2
851;Defence;1999 2nd quarter;0.0;0.1;0.2
852;Defence;1999 3rd quarter;0.0;0.2;0.2
853;Defence;1999 4th quarter;0.1;0.3;0.2
854;Defence;1999 annual aver. /annual total;0.1;1.0;1.0
855;Defence;2000 1st quarter;0.0;0.0;0.0
856;Defence;2000 2nd quarter;0.1;0.4;0.3
857;Defence;2000 3rd quarter;0.1;0.4;0.4
858;Defence;2000 4th quarter;0.1;0.3;0.3
859;Defence;2000 annual aver. /annual total;0.1;1.0;1.0
860;Defence;2001 1st quarter;0.1;0.4;0.4
861;Defence;2001 2nd quarter;0.1;0.5;0.4
862;Defence;2001 3rd quarter;0.1;0.4;0.5
863;Defence;2001 4th quarter;0.1;0.4;0.4
864;Defence;2001 annual aver. /annual total;0.1;2.0;2.0
865;Defence;2002 1st quarter;0.1;0.4;0.4
866;Defence;2002 2nd quarter;0.1;0.1;0.1
867;Defence;2002 3rd quarter;0.1;0.3;0.4
868;Defence;2002 4th quarter;0.0;0.2;0.2
869;Defence;2002 annual aver. /annual total;0.1;1.0;1.0
870;Defence;2003 1st quarter;0.0;0.0;0.1
871;Defence;2003 2nd quarter;0.0;0.1;0.1
872;Defence;2003 3rd quarter;0.0;0.1;0.1
873;Defence;2003 4th quarter;0.0;0.1;0.1
874;Defence;2003 annual aver. /annual total;0.0;0.0;0.0
875;Defence;2004 1st quarter;0.0;0.0;0.0
876;Defence;2004 2nd quarter;0.0;0.0;0.0
877;Defence;2004 3rd quarter;0.0;0.0;0.0
878;Defence;2004 4th quarter;0.0;0.0;0.0
879;Defence;2004 annual aver. /annual total;0.0;0.0;0.0
880;Defence;2005 1st quarter;0.0;0.3;0.3
881;Defence;2005 2nd quarter;0.0;0.7;0.7
882;Defence;2005 3rd quarter;0.0;0.7;0.7
883;Defence;2005 4th quarter;0.1;0.4;0.4
884;Defence;2005 annual aver. /annual total;0.0;2.0;2.0
885;Defence;2006 1st quarter;0.0;0.4;0.5
886;Defence;2006 2nd quarter;0.0;0.4;0.4
887;Defence;2006 3rd quarter;0.0;0.2;0.3
888;Defence;2006 4th quarter;0.0;0.3;0.3
889;Defence;2006 annual aver. /annual total;0.0;1.0;2.0
890;Defence;2007 1st quarter;0.0;0.3;0.3
891;Defence;2007 2nd quarter;0.0;0.3;0.3
892;Defence;2007 3rd quarter;0.0;0.3;0.3
893;Defence;2007 4th quarter;0.0;0.3;0.3
894;Defence;2007 annual aver. /annual total;0.0;1.0;1.0
895;Defence;2008 1st quarter;0.0;0.3;0.3
896;Defence;2008 2nd quarter;0.0;0.3;0.3
897;Defence;2008 3rd quarter;6.4;3.0;0.0
898;Defence;2008 4th quarter;7.8;1.9;0.8
899;Defence;2008 annual aver. /annual total;2.6;6.0;1.0
900;Defence;2009 1st quarter;7.8;1.7;1.7
901;Defence;2009 2nd quarter;7.4;0.8;1.2
902;Defence;2009 3rd quarter;6.9;1.3;1.4
903;Defence;2009 4th quarter;6.9;1.5;1.5
904;Defence;2009 annual aver. /annual total;7.4;5.0;6.0
905;Defence;2010 1st quarter;0.0;1.4;8.2
906;Defence;2010 2nd quarter;0.0;1.2;1.2
907;Defence;2010 3rd quarter;0.0;1.1;1.1
908;Defence;2010 4th quarter;0.0;1.2;1.2
909;Defence;2010 annual aver. /annual total;0.9;5.0;12.0
910;Defence;2011 1st quarter;0.0;1.2;1.2
911;Defence;2011 2nd quarter;0.0;0.2;0.2
912;Defence;2011 3rd quarter;0.0;0.8;0.8
913;Defence;2011 4th quarter;0.0;0.3;0.3
914;Defence;2011 annual aver. /annual total;0.0;2.0;2.0
915;Defence;2012 1st quarter;0.0;0.3;0.3
916;Defence;2012 2nd quarter;0.0;0.6;0.6
917;Defence;2012 3rd quarter;0.0;1.1;1.1
918;Defence;2012 4th quarter;0.0;0.7;0.7
919;Defence;2012 annual aver. /annual total;0.0;2.7;2.7
920;Defence;2013 1st quarter;0.0;0.4;0.4
921;Defence;2013 2nd quarter;0.0;1.2;1.2
922;Defence;2013 3rd quarter;0.0;0.8;0.8
923;Defence;2013 4th quarter;0.0;0.6;0.6
924;Defence;2013 annual aver. /annual total;0.0;3.4;3.4
925;Defence;2014 1st quarter;0.0;0.9;0.9
926;Defence;2014 2nd quarter;0.0;0.8;0.8
927;Defence;2014 3rd quarter;0.0;0.9;0.9
928;Defence;2014 4th quarter;0.0;0.4;0.4
929;Defence;2014 annual aver. /annual total;0.0;3.0;3.0
930;Defence;2015 1st quarter;0.0;1.0;1.0
931;Defence;2015 2nd quarter;0.0;0.5;0.5
932;Defence;2015 3rd quarter;0.0;1.1;1.1
933;Defence;2015 4th quarter;0.0;0.6;0.6
934;Defence;2015 annual aver. /annual total;0.0;3.3;3.3
935;Defence;2016 1st quarter;0.0;0.8;0.8
936;Defence;2016 2nd quarter;0.0;0.8;0.8
937;Defence;2016 3rd quarter;0.0;1.3;1.3
938;Defence;2016 4th quarter;0.0;0.5;0.5
939;Defence;2016 annual aver. /annual total;0.0;3.5;3.5
940;Defence;2017 1st quarter;0.0;0.9;0.9
941;Defence;2017 2nd quarter;0.0;0.7;0.7
942;Defence;2017 3rd quarter;0.0;0.7;0.7
943;Defence;2017 4th quarter;0.0;0.7;0.7
944;Defence;2017 annual aver. /annual total;0.0;3.0;3.0
945;Defence;2018 1st quarter;0.0;0.6;0.6
946;Defence;2018 2nd quarter;0.0;1.2;1.2
947;Defence;2018 3rd quarter;0.0;1.2;1.2
948;Defence;2018 4th quarter;0.0;1.1;1.1
949;Defence;2018 annual aver. /annual total;0.0;4.1;4.1
950;Defence;2019 1st quarter;0.0;0.8;0.8
951;Defence;2019 2nd quarter;0.0;1.1;1.1
952;Defence;2019 3rd quarter;0.0;1.4;1.4
953;Defence;2019 4th quarter;0.0;0.6;0.6
954;Defence;2019 annual aver. /annual total;0.0;4.0;4.0
955;Defence;2020 1st quarter;0.0;0.7;0.7
956;Defence;2020 2nd quarter;0.0;1.0;1.0
957;Defence;2020 3rd quarter;0.0;1.5;1.5
958;Defence;2020 4th quarter;0.0;1.2;1.2
959;Defence;2020 annual aver. /annual total;0.0;4.4;4.4
960;Defence;2021 1st quarter;0.0;1.1;1.1
961;Defence;2021 2nd quarter;0.0;1.2;1.2
962;Defence;2021 3rd quarter;0.0;1.4;1.4
963;Defence;2021 4th quarter;0.0;1.3;1.3
964;Defence;2021 annual aver. /annual total;0.0;5.0;5.0
965;Defence;2022 1st quarter;0.0;1.0;1.0
966;Defence;2022 2nd quarter;0.0;0.9;0.9
967;Defence;2022 3rd quarter;0.0;1.5;1.5
