ID;StedelijkheidWoongemeente;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
386;Weinig stedelijk;Overige misdrijven;2005;2380;1.0
387;Weinig stedelijk;Overige misdrijven;2006;2270;1.0
388;Weinig stedelijk;Overige misdrijven;2007;2160;1.0
389;Weinig stedelijk;Overige misdrijven;2008;1960;1.0
390;Weinig stedelijk;Verdachten van meer soorten misdrijven;1999;2340;1.0
391;Weinig stedelijk;Verdachten van meer soorten misdrijven;2000;2270;1.0
392;Weinig stedelijk;Verdachten van meer soorten misdrijven;2001;2600;1.0
393;Weinig stedelijk;Verdachten van meer soorten misdrijven;2002;2880;1.0
394;Weinig stedelijk;Verdachten van meer soorten misdrijven;2003;3580;1.0
395;Weinig stedelijk;Verdachten van meer soorten misdrijven;2004;4340;2.0
396;Weinig stedelijk;Verdachten van meer soorten misdrijven;2005;4660;2.0
397;Weinig stedelijk;Verdachten van meer soorten misdrijven;2006;4690;2.0
398;Weinig stedelijk;Verdachten van meer soorten misdrijven;2007;4830;2.0
399;Weinig stedelijk;Verdachten van meer soorten misdrijven;2008;4630;2.0
400;Niet stedelijk;Totaal verdachten van misdrijven;1999;9340;6.0
401;Niet stedelijk;Totaal verdachten van misdrijven;2000;9390;6.0
402;Niet stedelijk;Totaal verdachten van misdrijven;2001;10750;7.0
403;Niet stedelijk;Totaal verdachten van misdrijven;2002;11810;8.0
404;Niet stedelijk;Totaal verdachten van misdrijven;2003;13670;8.0
405;Niet stedelijk;Totaal verdachten van misdrijven;2004;14800;9.0
406;Niet stedelijk;Totaal verdachten van misdrijven;2005;16250;10.0
407;Niet stedelijk;Totaal verdachten van misdrijven;2006;16140;10.0
408;Niet stedelijk;Totaal verdachten van misdrijven;2007;16820;10.0
409;Niet stedelijk;Totaal verdachten van misdrijven;2008;15370;9.0
410;Niet stedelijk;Vermogensmisdrijven;1999;1560;1.0
411;Niet stedelijk;Vermogensmisdrijven;2000;1650;1.0
412;Niet stedelijk;Vermogensmisdrijven;2001;1740;1.0
413;Niet stedelijk;Vermogensmisdrijven;2002;1790;1.0
414;Niet stedelijk;Vermogensmisdrijven;2003;2010;1.0
415;Niet stedelijk;Vermogensmisdrijven;2004;2110;1.0
416;Niet stedelijk;Vermogensmisdrijven;2005;2250;1.0
417;Niet stedelijk;Vermogensmisdrijven;2006;2230;1.0
418;Niet stedelijk;Vermogensmisdrijven;2007;2260;1.0
419;Niet stedelijk;Vermogensmisdrijven;2008;2140;1.0
420;Niet stedelijk;Vernieling en openbare orde;1999;1090;1.0
421;Niet stedelijk;Vernieling en openbare orde;2000;1060;1.0
422;Niet stedelijk;Vernieling en openbare orde;2001;1270;1.0
423;Niet stedelijk;Vernieling en openbare orde;2002;1480;1.0
424;Niet stedelijk;Vernieling en openbare orde;2003;1720;1.0
425;Niet stedelijk;Vernieling en openbare orde;2004;1900;1.0
426;Niet stedelijk;Vernieling en openbare orde;2005;2320;1.0
427;Niet stedelijk;Vernieling en openbare orde;2006;2180;1.0
428;Niet stedelijk;Vernieling en openbare orde;2007;2390;1.0
429;Niet stedelijk;Vernieling en openbare orde;2008;2000;1.0
430;Niet stedelijk;Geweldsmisdrijven;1999;1450;1.0
431;Niet stedelijk;Geweldsmisdrijven;2000;1450;1.0
432;Niet stedelijk;Geweldsmisdrijven;2001;1780;1.0
433;Niet stedelijk;Geweldsmisdrijven;2002;2020;1.0
434;Niet stedelijk;Geweldsmisdrijven;2003;2350;1.0
435;Niet stedelijk;Geweldsmisdrijven;2004;2600;2.0
436;Niet stedelijk;Geweldsmisdrijven;2005;3100;2.0
437;Niet stedelijk;Geweldsmisdrijven;2006;3210;2.0
438;Niet stedelijk;Geweldsmisdrijven;2007;3590;2.0
439;Niet stedelijk;Geweldsmisdrijven;2008;3330;2.0
440;Niet stedelijk;Verkeersmisdrijven;1999;3310;2.0
441;Niet stedelijk;Verkeersmisdrijven;2000;3440;2.0
442;Niet stedelijk;Verkeersmisdrijven;2001;3750;2.0
443;Niet stedelijk;Verkeersmisdrijven;2002;4050;3.0
444;Niet stedelijk;Verkeersmisdrijven;2003;4630;3.0
445;Niet stedelijk;Verkeersmisdrijven;2004;4610;3.0
446;Niet stedelijk;Verkeersmisdrijven;2005;4590;3.0
447;Niet stedelijk;Verkeersmisdrijven;2006;4610;3.0
448;Niet stedelijk;Verkeersmisdrijven;2007;4670;3.0
449;Niet stedelijk;Verkeersmisdrijven;2008;4330;3.0
450;Niet stedelijk;Drugsmisdrijven;1999;150;0.0
451;Niet stedelijk;Drugsmisdrijven;2000;170;0.0
452;Niet stedelijk;Drugsmisdrijven;2001;210;0.0
453;Niet stedelijk;Drugsmisdrijven;2002;270;0.0
454;Niet stedelijk;Drugsmisdrijven;2003;340;0.0
455;Niet stedelijk;Drugsmisdrijven;2004;400;0.0
456;Niet stedelijk;Drugsmisdrijven;2005;450;0.0
457;Niet stedelijk;Drugsmisdrijven;2006;530;0.0
458;Niet stedelijk;Drugsmisdrijven;2007;520;0.0
459;Niet stedelijk;Drugsmisdrijven;2008;510;0.0
460;Niet stedelijk;Overige misdrijven;1999;780;1.0
461;Niet stedelijk;Overige misdrijven;2000;620;0.0
462;Niet stedelijk;Overige misdrijven;2001;780;0.0
463;Niet stedelijk;Overige misdrijven;2002;870;1.0
464;Niet stedelijk;Overige misdrijven;2003;1080;1.0
465;Niet stedelijk;Overige misdrijven;2004;1260;1.0
466;Niet stedelijk;Overige misdrijven;2005;1310;1.0
467;Niet stedelijk;Overige misdrijven;2006;1200;1.0
468;Niet stedelijk;Overige misdrijven;2007;1070;1.0
469;Niet stedelijk;Overige misdrijven;2008;1010;1.0
470;Niet stedelijk;Verdachten van meer soorten misdrijven;1999;1000;1.0
471;Niet stedelijk;Verdachten van meer soorten misdrijven;2000;1000;1.0
472;Niet stedelijk;Verdachten van meer soorten misdrijven;2001;1210;1.0
473;Niet stedelijk;Verdachten van meer soorten misdrijven;2002;1330;1.0
474;Niet stedelijk;Verdachten van meer soorten misdrijven;2003;1550;1.0
475;Niet stedelijk;Verdachten van meer soorten misdrijven;2004;1910;1.0
476;Niet stedelijk;Verdachten van meer soorten misdrijven;2005;2220;1.0
477;Niet stedelijk;Verdachten van meer soorten misdrijven;2006;2180;1.0
478;Niet stedelijk;Verdachten van meer soorten misdrijven;2007;2320;1.0
479;Niet stedelijk;Verdachten van meer soorten misdrijven;2008;2060;1.0
480;Stedelijkheid onbekend;Totaal verdachten van misdrijven;1999;7410;
481;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2000;6860;
482;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2001;5710;
483;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2002;4920;
484;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2003;4220;
485;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2004;3170;
486;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2005;2150;
487;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2006;1260;
488;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2007;0;
489;Stedelijkheid onbekend;Totaal verdachten van misdrijven;2008;0;
490;Stedelijkheid onbekend;Vermogensmisdrijven;1999;1580;
491;Stedelijkheid onbekend;Vermogensmisdrijven;2000;1350;
492;Stedelijkheid onbekend;Vermogensmisdrijven;2001;990;
493;Stedelijkheid onbekend;Vermogensmisdrijven;2002;860;
494;Stedelijkheid onbekend;Vermogensmisdrijven;2003;660;
495;Stedelijkheid onbekend;Vermogensmisdrijven;2004;530;
496;Stedelijkheid onbekend;Vermogensmisdrijven;2005;310;
497;Stedelijkheid onbekend;Vermogensmisdrijven;2006;160;
498;Stedelijkheid onbekend;Vermogensmisdrijven;2007;0;
499;Stedelijkheid onbekend;Vermogensmisdrijven;2008;0;
500;Stedelijkheid onbekend;Vernieling en openbare orde;1999;770;
501;Stedelijkheid onbekend;Vernieling en openbare orde;2000;760;
502;Stedelijkheid onbekend;Vernieling en openbare orde;2001;620;
503;Stedelijkheid onbekend;Vernieling en openbare orde;2002;590;
504;Stedelijkheid onbekend;Vernieling en openbare orde;2003;440;
505;Stedelijkheid onbekend;Vernieling en openbare orde;2004;400;
506;Stedelijkheid onbekend;Vernieling en openbare orde;2005;290;
507;Stedelijkheid onbekend;Vernieling en openbare orde;2006;150;
508;Stedelijkheid onbekend;Vernieling en openbare orde;2007;0;
509;Stedelijkheid onbekend;Vernieling en openbare orde;2008;0;
510;Stedelijkheid onbekend;Geweldsmisdrijven;1999;1090;
511;Stedelijkheid onbekend;Geweldsmisdrijven;2000;1070;
512;Stedelijkheid onbekend;Geweldsmisdrijven;2001;990;
513;Stedelijkheid onbekend;Geweldsmisdrijven;2002;850;
514;Stedelijkheid onbekend;Geweldsmisdrijven;2003;720;
515;Stedelijkheid onbekend;Geweldsmisdrijven;2004;580;
516;Stedelijkheid onbekend;Geweldsmisdrijven;2005;390;
517;Stedelijkheid onbekend;Geweldsmisdrijven;2006;250;
518;Stedelijkheid onbekend;Geweldsmisdrijven;2007;0;
519;Stedelijkheid onbekend;Geweldsmisdrijven;2008;0;
520;Stedelijkheid onbekend;Verkeersmisdrijven;1999;2210;
521;Stedelijkheid onbekend;Verkeersmisdrijven;2000;2180;
522;Stedelijkheid onbekend;Verkeersmisdrijven;2001;1940;
523;Stedelijkheid onbekend;Verkeersmisdrijven;2002;1540;
524;Stedelijkheid onbekend;Verkeersmisdrijven;2003;1340;
525;Stedelijkheid onbekend;Verkeersmisdrijven;2004;890;
526;Stedelijkheid onbekend;Verkeersmisdrijven;2005;620;
527;Stedelijkheid onbekend;Verkeersmisdrijven;2006;370;
528;Stedelijkheid onbekend;Verkeersmisdrijven;2007;0;
529;Stedelijkheid onbekend;Verkeersmisdrijven;2008;0;
530;Stedelijkheid onbekend;Drugsmisdrijven;1999;220;
531;Stedelijkheid onbekend;Drugsmisdrijven;2000;150;
532;Stedelijkheid onbekend;Drugsmisdrijven;2001;120;
533;Stedelijkheid onbekend;Drugsmisdrijven;2002;110;
534;Stedelijkheid onbekend;Drugsmisdrijven;2003;100;
535;Stedelijkheid onbekend;Drugsmisdrijven;2004;60;
536;Stedelijkheid onbekend;Drugsmisdrijven;2005;80;
537;Stedelijkheid onbekend;Drugsmisdrijven;2006;50;
538;Stedelijkheid onbekend;Drugsmisdrijven;2007;0;
539;Stedelijkheid onbekend;Drugsmisdrijven;2008;0;
540;Stedelijkheid onbekend;Overige misdrijven;1999;500;
541;Stedelijkheid onbekend;Overige misdrijven;2000;490;
542;Stedelijkheid onbekend;Overige misdrijven;2001;380;
543;Stedelijkheid onbekend;Overige misdrijven;2002;370;
544;Stedelijkheid onbekend;Overige misdrijven;2003;410;
545;Stedelijkheid onbekend;Overige misdrijven;2004;290;
546;Stedelijkheid onbekend;Overige misdrijven;2005;150;
547;Stedelijkheid onbekend;Overige misdrijven;2006;100;
548;Stedelijkheid onbekend;Overige misdrijven;2007;0;
549;Stedelijkheid onbekend;Overige misdrijven;2008;0;
550;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;1999;1040;
551;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2000;860;
552;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2001;670;
553;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2002;610;
554;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2003;560;
555;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2004;420;
556;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2005;320;
557;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2006;180;
558;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2007;0;
559;Stedelijkheid onbekend;Verdachten van meer soorten misdrijven;2008;0;
