ID;Leeftijd;Regiokenmerken;Inwoners_1;Bijstandsontvangers_2;Bijstandsdichtheid_3;Instroom_4;Instroom_5;Uitstroom_6;Uitstroom_7;UitstroomNaarWerk_8;UitstroomNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkNaReIntegratie_11;WerkNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandsontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
422;15 jaar of ouder;Winterswijk;24550;710;29.0;210;22.5;190;20.0;100.0;11.0;740.0;140.0;41.0;540.0;83.5;73.0;270.0;11.0
423;15 jaar of ouder;Woensdrecht;18760;350;18.5;90;20.5;80;17.0;50.0;11.5;110.0;30.0;13.5;80.0;25.0;73.0;90.0;5.0
424;15 jaar of ouder;Woerden;42320;690;16.5;180;21.0;190;22.0;90.0;11.5;340.0;100.0;28.5;270.0;44.0;79.5;250.0;6.0
425;15 jaar of ouder;De Wolden;20320;260;13.0;70;22.5;50;16.5;40.0;11.5;290.0;40.0;23.0;230.0;92.0;78.5;100.0;5.0
426;15 jaar of ouder;Wormerland;13690;250;18.5;60;20.0;60;19.0;20.0;8.0;50.0;20.0;15.0;30.0;14.0;71.5;20.0;1.5
427;15 jaar of ouder;Woudenberg;10410;140;13.5;40;20.0;40;24.0;20.0;14.5;70.0;20.0;26.0;40.0;33.0;57.5;20.0;2.0
428;15 jaar of ouder;Woudrichem;12140;180;15.0;40;19.0;40;18.0;20.0;11.5;70.0;20.0;19.5;50.0;31.0;74.0;50.0;3.5
429;15 jaar of ouder;Zaanstad;128900;4860;37.5;1160;19.5;1150;19.0;580.0;10.5;2100.0;600.0;27.5;1590.0;36.0;75.5;430.0;3.5
430;15 jaar of ouder;Zaltbommel;22690;400;17.5;100;18.5;110;20.0;50.0;10.5;150.0;30.0;13.0;110.0;31.5;75.5;140.0;6.5
431;15 jaar of ouder;Zandvoort;14740;460;31.0;110;20.0;110;20.5;60.0;11.0;160.0;50.0;26.0;130.0;30.0;81.0;30.0;2.0
432;15 jaar of ouder;Zederik;11390;120;10.5;30;19.5;30;19.0;10.0;8.0;70.0;10.0;22.0;50.0;44.5;69.5;30.0;3.0
433;15 jaar of ouder;Zeewolde;18280;330;18.0;130;28.0;80;17.5;40.0;9.5;160.0;50.0;16.5;120.0;37.0;73.0;20.0;1.0
434;15 jaar of ouder;Zeist;52170;1630;31.5;450;21.5;440;21.0;220.0;11.5;630.0;190.0;26.5;460.0;31.0;73.0;200.0;4.0
435;15 jaar of ouder;Zevenaar;27680;740;26.5;170;18.0;200;22.0;110.0;13.0;210.0;80.0;18.5;140.0;20.5;66.5;160.0;5.5
436;15 jaar of ouder;Zoetermeer;103460;4040;39.0;1090;21.0;1090;21.0;550.0;12.0;1660.0;500.0;26.5;1140.0;33.0;69.0;340.0;3.5
437;15 jaar of ouder;Zoeterwoude;7140;70;10.0;20;22.0;30;28.5;10.0;13.5;30.0;10.0;13.5;20.0;24.0;53.5;20.0;3.5
438;15 jaar of ouder;Zuidhorn;15300;250;16.5;90;26.0;80;24.5;40.0;13.0;140.0;40.0;24.0;90.0;36.0;61.0;70.0;5.0
439;15 jaar of ouder;Zuidplas;34470;680;19.5;180;21.0;170;20.0;80.0;10.0;460.0;70.0;19.5;370.0;59.5;80.5;90.0;2.5
440;15 jaar of ouder;Zundert;18670;250;13.5;90;27.0;70;20.0;30.0;8.0;90.0;30.0;13.5;70.0;28.0;74.0;100.0;5.5
441;15 jaar of ouder;Zutphen;40000;1710;42.5;450;20.0;490;22.0;240.0;11.5;1050.0;280.0;35.0;760.0;47.0;72.5;470.0;11.5
442;15 jaar of ouder;Zwartewaterland;17790;260;14.5;90;28.5;70;21.0;30.0;10.5;210.0;50.0;30.5;160.0;66.0;78.5;40.0;2.5
443;15 jaar of ouder;Zwijndrecht;37250;1390;37.5;330;20.0;320;19.0;160.0;11.0;440.0;100.0;21.5;270.0;21.5;61.0;160.0;4.0
444;15 jaar of ouder;Zwolle;103360;4070;39.5;990;19.5;990;19.5;550.0;11.5;770.0;530.0;28.0;490.0;13.0;63.5;600.0;6.0
445;15 jaar of ouder;Groningen (AM);632820;27280;43.0;7900;22.5;7180;20.5;3820.0;11.5;12610.0;3080.0;27.0;9740.0;37.5;77.0;6350.0;10.0
446;15 jaar of ouder;Friesland (AM);541870;20650;38.0;5470;20.5;5670;21.5;2910.0;11.5;7240.0;2070.0;23.0;5270.0;26.5;73.0;4040.0;7.5
447;15 jaar of ouder;Drenthe (AM);237610;7980;33.5;2070;20.5;2080;20.5;1170.0;12.0;5020.0;1280.0;34.5;3970.0;52.5;79.0;2440.0;10.5
448;15 jaar of ouder;Twente (AM);524650;20180;38.5;4740;19.0;4780;19.0;2270.0;10.0;8130.0;1890.0;23.5;6270.0;35.0;77.0;4080.0;8.0
449;15 jaar of ouder;Stedendriehoek en Noordwest Veluwe (AM);508740;14070;27.5;3910;21.5;3780;21.0;1860.0;11.0;5440.0;1640.0;25.5;3950.0;30.0;72.5;3570.0;7.0
450;15 jaar of ouder;Midden-Gelderland (AM);329330;14150;43.0;3170;18.5;3160;18.0;1470.0;9.0;3370.0;870.0;16.0;2380.0;18.5;70.5;2440.0;7.5
451;15 jaar of ouder;Rijk van Nijmegen (AM);274340;11390;41.5;2720;19.0;2840;20.0;1450.0;11.0;1320.0;500.0;11.0;610.0;6.0;46.0;1820.0;6.5
452;15 jaar of ouder;Achterhoek (AM);253470;5370;21.0;1380;20.0;1390;20.5;660.0;10.5;3550.0;710.0;26.5;2500.0;50.0;70.5;2150.0;8.5
453;15 jaar of ouder;Rivierenland (AM);190150;4230;22.5;990;18.5;1110;20.5;550.0;11.0;1330.0;380.0;16.5;970.0;25.0;73.0;1080.0;5.5
454;15 jaar of ouder;Flevoland (AM);314540;11840;37.5;3140;20.5;3090;20.5;1620.0;11.5;5100.0;1410.0;22.0;3720.0;35.0;73.0;1170.0;3.5
455;15 jaar of ouder;Gooi en Vechtstreek (AM);217530;5570;25.5;1270;18.5;1250;18.5;620.0;10.0;2310.0;620.0;23.5;1860.0;37.5;80.5;630.0;3.0
456;15 jaar of ouder;Midden-Utrecht (AM);713600;21460;30.0;5320;20.0;5320;20.0;2560.0;10.5;5820.0;1770.0;19.0;4510.0;23.5;77.5;2110.0;3.0
