ID;PolitieregioS;Cijfersoort;Perioden;AgressiefVerkeersgedrag_1;GeluidsoverlastDoorVerkeer_2;TeHardRijden_3;Aanrijdingen_4;VerkeersoverlastSchaalscore_5;DronkenMensenOpStraat_6;MensenWordenOpStraatLastigGevallen_7;Tasjesroof_8;Drugsoverlast_9;OverlastDoorOmwonenden_10;OverlastDoorGroepenJongeren_11;ErnstigeOverlastSchaalscore_12;BekladdingVanMurenGebouwen_13;RommelOpStraat_14;HondenpoepOpStraat_15;VernielingVanStraatmeubilair_16;FysiekeVerloederingSchaalscore_17;VeelContactMetDirecteBuren_18;VeelContactMetAndereBuurtbewoners_19;MensenGaanPrettigMetElkaarOm_20;GezelligeBuurtMetVeelSaamhorigheid_21;MensenKennenElkaarNauwelijks_22;VoelMijThuisBijMensenInDezeBuurt_23;GaLiefstUitDezeBuurtVerhuizen_24;TevredenMetSamenstellingBevolking_25;VoeltZichWelEensOnveilig_26;VoeltZichVaakOnveilig_27;InOpenbaarVervoer_28;RondomUitgaansgelegenheden_29;InEigenHuis_30;OpStraatInEigenBuurt_31;OpPlekkenMetRondhangendeJongeren_32;InWinkelcentrumInDeBuurt_33;MijdtBepaaldePlekkenInWoonplaats_34;DoetSAvondsNietOpen_35;LaatWaardevolleSpullenThuis_36;RijdtOfLooptOm_37;KinderenMogenNietErgensNaarToe_38;ReistNietMetOpenbaarVervoer_39;BelevingOnveiligheidSchaalscore_40;SlachtofferschapTotaal_41;GeweldsdelictenTotaal_42;SeksueleDelicten_43;Mishandeling_44;Bedreiging_45;VermogensdelictenTotaal_46;PogingTotInbraak_47;PogingTotInbraak_48;Inbraak_49;Fietsdiefstal_50;Autodiefstal_51;DiefstalUitAuto_52;Zakkenrollerij_53;ZakkenrollerijMetGeweld_54;ZakkenrollerijZonderGeweld_55;OverigeDiefstal_56;VandalismedelictenTotaal_57;BeschadigingDiefstalVanafAuto_58;OverigeVernielingen_59;DoorrijdenNaAanrijding_60;OverigeDelicten_61;OndervondenDelictenTotaal_62;Geweldsdelicten_63;Vermogensdelicten_64;Vandalismedelicten_65;DaderBekend_66;DaderIsExPartnerAnderFamilielid_67;DaderIsBuurtgenoot_68;DaderIsIemandVanHetWerk_69;DaderIsIemandAnders_70
95;Zaanstreek-Waterland;Marge;2008;2.0;2.5;3.1;1.3;0.1;1.5;0.6;0.4;1.5;1.4;2.3;0.1;2.2;2.9;3.3;3.0;0.1;3.3;3.5;2.2;3.4;2.8;2.9;2.2;2.3;2.6;0.9;1.3;2.0;0.8;1.6;2.3;1.2;1.5;2.2;1.9;1.5;5.5;0.8;0.1;2.9;1.6;0.2;1.0;1.2;2.0;0.9;0.5;0.7;1.2;;1.3;0.8;;0.8;1.2;2.2;3.0;1.4;0.7;0.5;5.5;2.2;2.4;3.6;4.3;1.5;3.0;1.5;2.7
96;Kennemerland;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Kennemerland;Waarde;2006;9.6;12.3;24.7;3.4;3.4;5.1;0.6;0.5;3.4;3.5;7.6;1.6;5.5;22.8;35.6;13.1;2.9;64.6;45.6;84.1;56.0;23.0;77.6;11.8;86.2;25.7;4.3;7.8;10.6;3.1;9.6;17.6;4.9;7.1;15.1;8.8;7.2;21.8;2.8;2.6;26.2;4.4;0.6;1.2;3.1;11.9;2.8;1.5;1.3;5.2;0.4;2.6;1.4;0.0;1.4;2.4;12.8;14.1;4.0;1.2;0.8;39.0;6.1;12.8;18.9;14.8;1.6;6.3;1.3;5.5
98;Kennemerland;Waarde;2007;12.3;13.7;29.5;3.9;3.7;6.6;0.7;0.7;3.9;4.2;11.7;1.8;7.1;24.7;32.8;17.7;3.0;66.5;46.7;84.9;52.9;20.1;76.8;11.2;84.6;19.5;1.5;5.5;9.9;3.2;6.1;15.4;3.9;5.3;11.6;10.1;4.6;11.4;2.8;2.3;25.7;5.5;1.0;1.6;3.3;10.6;1.1;0.6;0.5;4.4;0.2;3.3;1.0;0.0;1.0;2.7;12.8;12.5;5.6;2.0;0.5;41.3;8.6;11.0;19.4;13.2;1.1;3.9;2.0;6.3
99;Kennemerland;Waarde;2008;11.3;12.9;24.9;5.4;3.6;5.0;0.7;0.2;4.6;3.6;11.3;1.8;7.8;26.6;33.5;15.1;3.1;65.2;45.5;87.1;54.5;22.2;78.3;13.1;86.9;17.0;2.1;3.8;8.6;2.7;5.7;13.8;4.3;4.8;10.9;7.5;4.8;20.9;2.1;2.3;27.9;4.7;0.9;1.6;2.7;12.3;1.0;0.4;0.6;5.1;0.2;3.6;1.7;0.0;1.7;3.4;12.7;12.1;5.3;1.8;0.6;43.0;8.7;13.6;18.8;18.5;2.2;4.4;2.3;9.6
100;Kennemerland;Marge;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Kennemerland;Marge;2006;2.0;2.3;3.0;1.2;0.1;1.5;0.5;0.5;1.2;1.2;1.8;0.1;1.6;2.9;3.3;2.3;0.1;3.3;3.5;2.5;3.4;2.9;2.9;2.2;2.4;3.0;1.4;1.8;2.2;1.2;2.0;2.7;1.5;1.7;2.4;2.0;1.7;6.5;1.3;0.1;3.1;1.4;0.5;0.8;1.2;2.3;1.0;0.7;0.7;1.7;0.5;1.3;0.8;;0.8;1.1;2.3;2.9;1.4;0.8;0.6;5.8;2.5;3.1;3.9;4.2;1.3;2.9;1.1;2.8
102;Kennemerland;Marge;2007;2.3;2.4;3.2;1.4;0.1;1.7;0.6;0.6;1.3;1.4;2.3;0.1;1.8;3.0;3.3;2.7;0.1;3.3;3.5;2.5;3.5;2.8;3.0;2.2;2.5;2.8;0.8;1.6;2.1;1.2;1.7;2.6;1.4;1.5;2.2;2.1;1.5;4.9;1.4;0.1;3.1;1.6;0.7;0.9;1.3;2.2;0.7;0.5;0.6;1.5;0.4;1.5;0.7;;0.7;1.2;2.4;2.9;1.6;1.0;0.4;6.5;3.1;2.6;4.3;4.2;1.1;2.4;1.8;3.1
103;Kennemerland;Marge;2008;2.2;2.4;3.1;1.6;0.2;1.5;0.6;0.4;1.4;1.2;2.2;0.1;1.9;3.1;3.3;2.5;0.1;3.3;3.5;2.3;3.5;2.8;2.8;2.3;2.4;2.7;1.0;1.4;2.0;1.2;1.6;2.5;1.4;1.5;2.2;1.8;1.5;5.9;1.2;0.1;3.2;1.5;0.7;0.9;1.1;2.3;0.7;0.4;0.6;1.6;0.4;1.5;0.9;;0.9;1.2;2.4;2.8;1.6;0.9;0.5;6.0;3.2;2.8;3.9;4.8;1.7;2.5;1.9;3.6
104;Amsterdam-Amstelland;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
