ID;Gender;PupilCharacteristics;CaribbeanNetherlands;Periods;ParticipantsEnStudents_1
767;Total male and female;Total secondary general education (VO);Saba;2024/'25;98.0
768;Total male and female;VO: Practical education;Caribbean Netherlands;2009/'10;
769;Total male and female;VO: Practical education;Caribbean Netherlands;2010/'11;
770;Total male and female;VO: Practical education;Caribbean Netherlands;2011/'12;
771;Total male and female;VO: Practical education;Caribbean Netherlands;2012/'13;
772;Total male and female;VO: Practical education;Caribbean Netherlands;2013/'14;
773;Total male and female;VO: Practical education;Caribbean Netherlands;2014/'15;133.0
774;Total male and female;VO: Practical education;Caribbean Netherlands;2015/'16;168.0
775;Total male and female;VO: Practical education;Caribbean Netherlands;2016/'17;191.0
776;Total male and female;VO: Practical education;Caribbean Netherlands;2017/'18;196.0
777;Total male and female;VO: Practical education;Caribbean Netherlands;2018/'19;236.0
778;Total male and female;VO: Practical education;Caribbean Netherlands;2019/'20;237.0
779;Total male and female;VO: Practical education;Caribbean Netherlands;2020/'21;228.0
780;Total male and female;VO: Practical education;Caribbean Netherlands;2021/22;214.0
781;Total male and female;VO: Practical education;Caribbean Netherlands;2022/'23;191.0
782;Total male and female;VO: Practical education;Caribbean Netherlands;2023/'24;201.0
783;Total male and female;VO: Practical education;Caribbean Netherlands;2024/'25;202.0
784;Total male and female;VO: Practical education;Bonaire;2009/'10;
785;Total male and female;VO: Practical education;Bonaire;2010/'11;
786;Total male and female;VO: Practical education;Bonaire;2011/'12;
787;Total male and female;VO: Practical education;Bonaire;2012/'13;
788;Total male and female;VO: Practical education;Bonaire;2013/'14;
789;Total male and female;VO: Practical education;Bonaire;2014/'15;99.0
790;Total male and female;VO: Practical education;Bonaire;2015/'16;138.0
791;Total male and female;VO: Practical education;Bonaire;2016/'17;153.0
792;Total male and female;VO: Practical education;Bonaire;2017/'18;159.0
793;Total male and female;VO: Practical education;Bonaire;2018/'19;202.0
794;Total male and female;VO: Practical education;Bonaire;2019/'20;209.0
795;Total male and female;VO: Practical education;Bonaire;2020/'21;199.0
796;Total male and female;VO: Practical education;Bonaire;2021/22;183.0
797;Total male and female;VO: Practical education;Bonaire;2022/'23;165.0
798;Total male and female;VO: Practical education;Bonaire;2023/'24;174.0
799;Total male and female;VO: Practical education;Bonaire;2024/'25;176.0
800;Total male and female;VO: Practical education;St Eustatius;2009/'10;
801;Total male and female;VO: Practical education;St Eustatius;2010/'11;
802;Total male and female;VO: Practical education;St Eustatius;2011/'12;
803;Total male and female;VO: Practical education;St Eustatius;2012/'13;
804;Total male and female;VO: Practical education;St Eustatius;2013/'14;
805;Total male and female;VO: Practical education;St Eustatius;2014/'15;26.0
806;Total male and female;VO: Practical education;St Eustatius;2015/'16;26.0
807;Total male and female;VO: Practical education;St Eustatius;2016/'17;31.0
808;Total male and female;VO: Practical education;St Eustatius;2017/'18;28.0
809;Total male and female;VO: Practical education;St Eustatius;2018/'19;27.0
810;Total male and female;VO: Practical education;St Eustatius;2019/'20;19.0
811;Total male and female;VO: Practical education;St Eustatius;2020/'21;17.0
812;Total male and female;VO: Practical education;St Eustatius;2021/22;20.0
813;Total male and female;VO: Practical education;St Eustatius;2022/'23;16.0
814;Total male and female;VO: Practical education;St Eustatius;2023/'24;13.0
815;Total male and female;VO: Practical education;St Eustatius;2024/'25;11.0
816;Total male and female;VO: Practical education;Saba;2009/'10;
817;Total male and female;VO: Practical education;Saba;2010/'11;
818;Total male and female;VO: Practical education;Saba;2011/'12;
819;Total male and female;VO: Practical education;Saba;2012/'13;
820;Total male and female;VO: Practical education;Saba;2013/'14;
821;Total male and female;VO: Practical education;Saba;2014/'15;8.0
822;Total male and female;VO: Practical education;Saba;2015/'16;4.0
823;Total male and female;VO: Practical education;Saba;2016/'17;7.0
824;Total male and female;VO: Practical education;Saba;2017/'18;9.0
825;Total male and female;VO: Practical education;Saba;2018/'19;7.0
826;Total male and female;VO: Practical education;Saba;2019/'20;9.0
827;Total male and female;VO: Practical education;Saba;2020/'21;12.0
828;Total male and female;VO: Practical education;Saba;2021/22;11.0
829;Total male and female;VO: Practical education;Saba;2022/'23;10.0
830;Total male and female;VO: Practical education;Saba;2023/'24;14.0
831;Total male and female;VO: Practical education;Saba;2024/'25;15.0
832;Total male and female;VO: Lower forms ;Caribbean Netherlands;2009/'10;
833;Total male and female;VO: Lower forms ;Caribbean Netherlands;2010/'11;
834;Total male and female;VO: Lower forms ;Caribbean Netherlands;2011/'12;
835;Total male and female;VO: Lower forms ;Caribbean Netherlands;2012/'13;
836;Total male and female;VO: Lower forms ;Caribbean Netherlands;2013/'14;
837;Total male and female;VO: Lower forms ;Caribbean Netherlands;2014/'15;627.0
838;Total male and female;VO: Lower forms ;Caribbean Netherlands;2015/'16;585.0
839;Total male and female;VO: Lower forms ;Caribbean Netherlands;2016/'17;537.0
840;Total male and female;VO: Lower forms ;Caribbean Netherlands;2017/'18;555.0
841;Total male and female;VO: Lower forms ;Caribbean Netherlands;2018/'19;579.0
842;Total male and female;VO: Lower forms ;Caribbean Netherlands;2019/'20;648.0
843;Total male and female;VO: Lower forms ;Caribbean Netherlands;2020/'21;650.0
844;Total male and female;VO: Lower forms ;Caribbean Netherlands;2021/22;708.0
845;Total male and female;VO: Lower forms ;Caribbean Netherlands;2022/'23;775.0
846;Total male and female;VO: Lower forms ;Caribbean Netherlands;2023/'24;764.0
847;Total male and female;VO: Lower forms ;Caribbean Netherlands;2024/'25;803.0
848;Total male and female;VO: Lower forms ;Bonaire;2009/'10;
849;Total male and female;VO: Lower forms ;Bonaire;2010/'11;
850;Total male and female;VO: Lower forms ;Bonaire;2011/'12;
851;Total male and female;VO: Lower forms ;Bonaire;2012/'13;
852;Total male and female;VO: Lower forms ;Bonaire;2013/'14;
853;Total male and female;VO: Lower forms ;Bonaire;2014/'15;476.0
854;Total male and female;VO: Lower forms ;Bonaire;2015/'16;435.0
855;Total male and female;VO: Lower forms ;Bonaire;2016/'17;420.0
856;Total male and female;VO: Lower forms ;Bonaire;2017/'18;422.0
857;Total male and female;VO: Lower forms ;Bonaire;2018/'19;436.0
858;Total male and female;VO: Lower forms ;Bonaire;2019/'20;462.0
859;Total male and female;VO: Lower forms ;Bonaire;2020/'21;465.0
860;Total male and female;VO: Lower forms ;Bonaire;2021/22;526.0
861;Total male and female;VO: Lower forms ;Bonaire;2022/'23;575.0
862;Total male and female;VO: Lower forms ;Bonaire;2023/'24;573.0
863;Total male and female;VO: Lower forms ;Bonaire;2024/'25;619.0
864;Total male and female;VO: Lower forms ;St Eustatius;2009/'10;
865;Total male and female;VO: Lower forms ;St Eustatius;2010/'11;
866;Total male and female;VO: Lower forms ;St Eustatius;2011/'12;
867;Total male and female;VO: Lower forms ;St Eustatius;2012/'13;
868;Total male and female;VO: Lower forms ;St Eustatius;2013/'14;
869;Total male and female;VO: Lower forms ;St Eustatius;2014/'15;112.0
870;Total male and female;VO: Lower forms ;St Eustatius;2015/'16;121.0
871;Total male and female;VO: Lower forms ;St Eustatius;2016/'17;87.0
872;Total male and female;VO: Lower forms ;St Eustatius;2017/'18;94.0
873;Total male and female;VO: Lower forms ;St Eustatius;2018/'19;78.0
874;Total male and female;VO: Lower forms ;St Eustatius;2019/'20;128.0
875;Total male and female;VO: Lower forms ;St Eustatius;2020/'21;128.0
876;Total male and female;VO: Lower forms ;St Eustatius;2021/22;132.0
877;Total male and female;VO: Lower forms ;St Eustatius;2022/'23;138.0
878;Total male and female;VO: Lower forms ;St Eustatius;2023/'24;132.0
879;Total male and female;VO: Lower forms ;St Eustatius;2024/'25;125.0
880;Total male and female;VO: Lower forms ;Saba;2009/'10;
881;Total male and female;VO: Lower forms ;Saba;2010/'11;
882;Total male and female;VO: Lower forms ;Saba;2011/'12;
883;Total male and female;VO: Lower forms ;Saba;2012/'13;
884;Total male and female;VO: Lower forms ;Saba;2013/'14;
885;Total male and female;VO: Lower forms ;Saba;2014/'15;39.0
886;Total male and female;VO: Lower forms ;Saba;2015/'16;29.0
887;Total male and female;VO: Lower forms ;Saba;2016/'17;30.0
888;Total male and female;VO: Lower forms ;Saba;2017/'18;39.0
889;Total male and female;VO: Lower forms ;Saba;2018/'19;65.0
890;Total male and female;VO: Lower forms ;Saba;2019/'20;58.0
891;Total male and female;VO: Lower forms ;Saba;2020/'21;57.0
892;Total male and female;VO: Lower forms ;Saba;2021/22;50.0
893;Total male and female;VO: Lower forms ;Saba;2022/'23;62.0
894;Total male and female;VO: Lower forms ;Saba;2023/'24;59.0
895;Total male and female;VO: Lower forms ;Saba;2024/'25;59.0
896;Total male and female;VO: General programmes ;Caribbean Netherlands;2009/'10;
897;Total male and female;VO: General programmes ;Caribbean Netherlands;2010/'11;
898;Total male and female;VO: General programmes ;Caribbean Netherlands;2011/'12;
899;Total male and female;VO: General programmes ;Caribbean Netherlands;2012/'13;
900;Total male and female;VO: General programmes ;Caribbean Netherlands;2013/'14;
901;Total male and female;VO: General programmes ;Caribbean Netherlands;2014/'15;375.0
902;Total male and female;VO: General programmes ;Caribbean Netherlands;2015/'16;399.0
903;Total male and female;VO: General programmes ;Caribbean Netherlands;2016/'17;383.0
904;Total male and female;VO: General programmes ;Caribbean Netherlands;2017/'18;395.0
905;Total male and female;VO: General programmes ;Caribbean Netherlands;2018/'19;361.0
906;Total male and female;VO: General programmes ;Caribbean Netherlands;2019/'20;353.0
907;Total male and female;VO: General programmes ;Caribbean Netherlands;2020/'21;375.0
908;Total male and female;VO: General programmes ;Caribbean Netherlands;2021/22;415.0
909;Total male and female;VO: General programmes ;Caribbean Netherlands;2022/'23;432.0
910;Total male and female;VO: General programmes ;Caribbean Netherlands;2023/'24;489.0
911;Total male and female;VO: General programmes ;Caribbean Netherlands;2024/'25;529.0
912;Total male and female;VO: General programmes ;Bonaire;2009/'10;
913;Total male and female;VO: General programmes ;Bonaire;2010/'11;
914;Total male and female;VO: General programmes ;Bonaire;2011/'12;
915;Total male and female;VO: General programmes ;Bonaire;2012/'13;
916;Total male and female;VO: General programmes ;Bonaire;2013/'14;
917;Total male and female;VO: General programmes ;Bonaire;2014/'15;325.0
918;Total male and female;VO: General programmes ;Bonaire;2015/'16;341.0
919;Total male and female;VO: General programmes ;Bonaire;2016/'17;313.0
920;Total male and female;VO: General programmes ;Bonaire;2017/'18;312.0
921;Total male and female;VO: General programmes ;Bonaire;2018/'19;289.0
922;Total male and female;VO: General programmes ;Bonaire;2019/'20;289.0
923;Total male and female;VO: General programmes ;Bonaire;2020/'21;311.0
924;Total male and female;VO: General programmes ;Bonaire;2021/22;341.0
925;Total male and female;VO: General programmes ;Bonaire;2022/'23;368.0
926;Total male and female;VO: General programmes ;Bonaire;2023/'24;430.0
927;Total male and female;VO: General programmes ;Bonaire;2024/'25;453.0
928;Total male and female;VO: General programmes ;St Eustatius;2009/'10;
929;Total male and female;VO: General programmes ;St Eustatius;2010/'11;
930;Total male and female;VO: General programmes ;St Eustatius;2011/'12;
931;Total male and female;VO: General programmes ;St Eustatius;2012/'13;
932;Total male and female;VO: General programmes ;St Eustatius;2013/'14;
933;Total male and female;VO: General programmes ;St Eustatius;2014/'15;26.0
934;Total male and female;VO: General programmes ;St Eustatius;2015/'16;23.0
935;Total male and female;VO: General programmes ;St Eustatius;2016/'17;24.0
936;Total male and female;VO: General programmes ;St Eustatius;2017/'18;33.0
937;Total male and female;VO: General programmes ;St Eustatius;2018/'19;45.0
938;Total male and female;VO: General programmes ;St Eustatius;2019/'20;36.0
939;Total male and female;VO: General programmes ;St Eustatius;2020/'21;33.0
940;Total male and female;VO: General programmes ;St Eustatius;2021/22;32.0
941;Total male and female;VO: General programmes ;St Eustatius;2022/'23;33.0
942;Total male and female;VO: General programmes ;St Eustatius;2023/'24;42.0
943;Total male and female;VO: General programmes ;St Eustatius;2024/'25;52.0
944;Total male and female;VO: General programmes ;Saba;2009/'10;
945;Total male and female;VO: General programmes ;Saba;2010/'11;
946;Total male and female;VO: General programmes ;Saba;2011/'12;
947;Total male and female;VO: General programmes ;Saba;2012/'13;
948;Total male and female;VO: General programmes ;Saba;2013/'14;
949;Total male and female;VO: General programmes ;Saba;2014/'15;24.0
950;Total male and female;VO: General programmes ;Saba;2015/'16;35.0
951;Total male and female;VO: General programmes ;Saba;2016/'17;46.0
952;Total male and female;VO: General programmes ;Saba;2017/'18;50.0
953;Total male and female;VO: General programmes ;Saba;2018/'19;27.0
954;Total male and female;VO: General programmes ;Saba;2019/'20;28.0
955;Total male and female;VO: General programmes ;Saba;2020/'21;31.0
956;Total male and female;VO: General programmes ;Saba;2021/22;42.0
957;Total male and female;VO: General programmes ;Saba;2022/'23;31.0
958;Total male and female;VO: General programmes ;Saba;2023/'24;17.0
959;Total male and female;VO: General programmes ;Saba;2024/'25;24.0
960;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2009/'10;
961;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2010/'11;
962;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2011/'12;
963;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2012/'13;
964;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2013/'14;
965;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2014/'15;319.0
966;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2015/'16;282.0
967;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2016/'17;350.0
968;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2017/'18;319.0
969;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2018/'19;263.0
970;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2019/'20;228.0
971;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2020/'21;226.0
972;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2021/22;234.0
973;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2022/'23;217.0
974;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2023/'24;238.0
975;Total male and female;VO: Pre-vocational programmes;Caribbean Netherlands;2024/'25;259.0
976;Total male and female;VO: Pre-vocational programmes;Bonaire;2009/'10;
977;Total male and female;VO: Pre-vocational programmes;Bonaire;2010/'11;
978;Total male and female;VO: Pre-vocational programmes;Bonaire;2011/'12;
979;Total male and female;VO: Pre-vocational programmes;Bonaire;2012/'13;
980;Total male and female;VO: Pre-vocational programmes;Bonaire;2013/'14;
981;Total male and female;VO: Pre-vocational programmes;Bonaire;2014/'15;247.0
982;Total male and female;VO: Pre-vocational programmes;Bonaire;2015/'16;210.0
983;Total male and female;VO: Pre-vocational programmes;Bonaire;2016/'17;239.0
984;Total male and female;VO: Pre-vocational programmes;Bonaire;2017/'18;215.0
985;Total male and female;VO: Pre-vocational programmes;Bonaire;2018/'19;196.0
986;Total male and female;VO: Pre-vocational programmes;Bonaire;2019/'20;228.0
987;Total male and female;VO: Pre-vocational programmes;Bonaire;2020/'21;226.0
988;Total male and female;VO: Pre-vocational programmes;Bonaire;2021/22;234.0
989;Total male and female;VO: Pre-vocational programmes;Bonaire;2022/'23;217.0
990;Total male and female;VO: Pre-vocational programmes;Bonaire;2023/'24;238.0
991;Total male and female;VO: Pre-vocational programmes;Bonaire;2024/'25;259.0
992;Total male and female;VO: Pre-vocational programmes;St Eustatius;2009/'10;
993;Total male and female;VO: Pre-vocational programmes;St Eustatius;2010/'11;
994;Total male and female;VO: Pre-vocational programmes;St Eustatius;2011/'12;
995;Total male and female;VO: Pre-vocational programmes;St Eustatius;2012/'13;
996;Total male and female;VO: Pre-vocational programmes;St Eustatius;2013/'14;
997;Total male and female;VO: Pre-vocational programmes;St Eustatius;2014/'15;72.0
998;Total male and female;VO: Pre-vocational programmes;St Eustatius;2015/'16;63.0
999;Total male and female;VO: Pre-vocational programmes;St Eustatius;2016/'17;102.0
1000;Total male and female;VO: Pre-vocational programmes;St Eustatius;2017/'18;101.0
1001;Total male and female;VO: Pre-vocational programmes;St Eustatius;2018/'19;66.0
1002;Total male and female;VO: Pre-vocational programmes;St Eustatius;2019/'20;
1003;Total male and female;VO: Pre-vocational programmes;St Eustatius;2020/'21;
1004;Total male and female;VO: Pre-vocational programmes;St Eustatius;2021/22;
1005;Total male and female;VO: Pre-vocational programmes;St Eustatius;2022/'23;
1006;Total male and female;VO: Pre-vocational programmes;St Eustatius;2023/'24;
1007;Total male and female;VO: Pre-vocational programmes;St Eustatius;2024/'25;
1008;Total male and female;VO: Pre-vocational programmes;Saba;2009/'10;
1009;Total male and female;VO: Pre-vocational programmes;Saba;2010/'11;
1010;Total male and female;VO: Pre-vocational programmes;Saba;2011/'12;
1011;Total male and female;VO: Pre-vocational programmes;Saba;2012/'13;
1012;Total male and female;VO: Pre-vocational programmes;Saba;2013/'14;
1013;Total male and female;VO: Pre-vocational programmes;Saba;2014/'15;0.0
1014;Total male and female;VO: Pre-vocational programmes;Saba;2015/'16;9.0
1015;Total male and female;VO: Pre-vocational programmes;Saba;2016/'17;9.0
1016;Total male and female;VO: Pre-vocational programmes;Saba;2017/'18;3.0
1017;Total male and female;VO: Pre-vocational programmes;Saba;2018/'19;1.0
1018;Total male and female;VO: Pre-vocational programmes;Saba;2019/'20;
1019;Total male and female;VO: Pre-vocational programmes;Saba;2020/'21;
1020;Total male and female;VO: Pre-vocational programmes;Saba;2021/22;
1021;Total male and female;VO: Pre-vocational programmes;Saba;2022/'23;
1022;Total male and female;VO: Pre-vocational programmes;Saba;2023/'24;
1023;Total male and female;VO: Pre-vocational programmes;Saba;2024/'25;
1024;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2009/'10;
1025;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2010/'11;
1026;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2011/'12;
1027;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2012/'13;
1028;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2013/'14;
1029;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2014/'15;
1030;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2015/'16;
1031;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2016/'17;
1032;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2017/'18;
1033;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2018/'19;
1034;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2019/'20;47.0
1035;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2020/'21;70.0
1036;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2021/22;89.0
1037;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2022/'23;84.0
1038;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2023/'24;73.0
1039;Total male and female;Vocational education - CVQ;Caribbean Netherlands;2024/'25;64.0
1040;Total male and female;Vocational education - CVQ;Bonaire;2009/'10;
1041;Total male and female;Vocational education - CVQ;Bonaire;2010/'11;
1042;Total male and female;Vocational education - CVQ;Bonaire;2011/'12;
1043;Total male and female;Vocational education - CVQ;Bonaire;2012/'13;
1044;Total male and female;Vocational education - CVQ;Bonaire;2013/'14;
1045;Total male and female;Vocational education - CVQ;Bonaire;2014/'15;
1046;Total male and female;Vocational education - CVQ;Bonaire;2015/'16;
1047;Total male and female;Vocational education - CVQ;Bonaire;2016/'17;
1048;Total male and female;Vocational education - CVQ;Bonaire;2017/'18;
1049;Total male and female;Vocational education - CVQ;Bonaire;2018/'19;
1050;Total male and female;Vocational education - CVQ;Bonaire;2019/'20;
1051;Total male and female;Vocational education - CVQ;Bonaire;2020/'21;
1052;Total male and female;Vocational education - CVQ;Bonaire;2021/22;
1053;Total male and female;Vocational education - CVQ;Bonaire;2022/'23;
1054;Total male and female;Vocational education - CVQ;Bonaire;2023/'24;
1055;Total male and female;Vocational education - CVQ;Bonaire;2024/'25;
1056;Total male and female;Vocational education - CVQ;St Eustatius;2009/'10;
1057;Total male and female;Vocational education - CVQ;St Eustatius;2010/'11;
1058;Total male and female;Vocational education - CVQ;St Eustatius;2011/'12;
1059;Total male and female;Vocational education - CVQ;St Eustatius;2012/'13;
1060;Total male and female;Vocational education - CVQ;St Eustatius;2013/'14;
1061;Total male and female;Vocational education - CVQ;St Eustatius;2014/'15;
1062;Total male and female;Vocational education - CVQ;St Eustatius;2015/'16;
1063;Total male and female;Vocational education - CVQ;St Eustatius;2016/'17;
1064;Total male and female;Vocational education - CVQ;St Eustatius;2017/'18;
1065;Total male and female;Vocational education - CVQ;St Eustatius;2018/'19;
1066;Total male and female;Vocational education - CVQ;St Eustatius;2019/'20;44.0
1067;Total male and female;Vocational education - CVQ;St Eustatius;2020/'21;63.0
1068;Total male and female;Vocational education - CVQ;St Eustatius;2021/22;68.0
1069;Total male and female;Vocational education - CVQ;St Eustatius;2022/'23;70.0
1070;Total male and female;Vocational education - CVQ;St Eustatius;2023/'24;49.0
1071;Total male and female;Vocational education - CVQ;St Eustatius;2024/'25;47.0
1072;Total male and female;Vocational education - CVQ;Saba;2009/'10;
1073;Total male and female;Vocational education - CVQ;Saba;2010/'11;
1074;Total male and female;Vocational education - CVQ;Saba;2011/'12;
1075;Total male and female;Vocational education - CVQ;Saba;2012/'13;
1076;Total male and female;Vocational education - CVQ;Saba;2013/'14;
1077;Total male and female;Vocational education - CVQ;Saba;2014/'15;
1078;Total male and female;Vocational education - CVQ;Saba;2015/'16;
1079;Total male and female;Vocational education - CVQ;Saba;2016/'17;
1080;Total male and female;Vocational education - CVQ;Saba;2017/'18;
1081;Total male and female;Vocational education - CVQ;Saba;2018/'19;
1082;Total male and female;Vocational education - CVQ;Saba;2019/'20;3.0
1083;Total male and female;Vocational education - CVQ;Saba;2020/'21;7.0
1084;Total male and female;Vocational education - CVQ;Saba;2021/22;21.0
1085;Total male and female;Vocational education - CVQ;Saba;2022/'23;14.0
1086;Total male and female;Vocational education - CVQ;Saba;2023/'24;24.0
1087;Total male and female;Vocational education - CVQ;Saba;2024/'25;17.0
1088;Total male and female;Vocational education - MBO;Caribbean Netherlands;2009/'10;209.0
1089;Total male and female;Vocational education - MBO;Caribbean Netherlands;2010/'11;216.0
1090;Total male and female;Vocational education - MBO;Caribbean Netherlands;2011/'12;340.0
1091;Total male and female;Vocational education - MBO;Caribbean Netherlands;2012/'13;393.0
1092;Total male and female;Vocational education - MBO;Caribbean Netherlands;2013/'14;564.0
1093;Total male and female;Vocational education - MBO;Caribbean Netherlands;2014/'15;667.0
1094;Total male and female;Vocational education - MBO;Caribbean Netherlands;2015/'16;665.0
1095;Total male and female;Vocational education - MBO;Caribbean Netherlands;2016/'17;588.0
1096;Total male and female;Vocational education - MBO;Caribbean Netherlands;2017/'18;549.0
1097;Total male and female;Vocational education - MBO;Caribbean Netherlands;2018/'19;506.0
1098;Total male and female;Vocational education - MBO;Caribbean Netherlands;2019/'20;565.0
1099;Total male and female;Vocational education - MBO;Caribbean Netherlands;2020/'21;700.0
1100;Total male and female;Vocational education - MBO;Caribbean Netherlands;2021/22;725.0
1101;Total male and female;Vocational education - MBO;Caribbean Netherlands;2022/'23;748.0
1102;Total male and female;Vocational education - MBO;Caribbean Netherlands;2023/'24;756.0
1103;Total male and female;Vocational education - MBO;Caribbean Netherlands;2024/'25;855.0
1104;Total male and female;Vocational education - MBO;Bonaire;2009/'10;209.0
1105;Total male and female;Vocational education - MBO;Bonaire;2010/'11;216.0
1106;Total male and female;Vocational education - MBO;Bonaire;2011/'12;340.0
1107;Total male and female;Vocational education - MBO;Bonaire;2012/'13;350.0
1108;Total male and female;Vocational education - MBO;Bonaire;2013/'14;505.0
1109;Total male and female;Vocational education - MBO;Bonaire;2014/'15;610.0
1110;Total male and female;Vocational education - MBO;Bonaire;2015/'16;624.0
1111;Total male and female;Vocational education - MBO;Bonaire;2016/'17;570.0
1112;Total male and female;Vocational education - MBO;Bonaire;2017/'18;520.0
1113;Total male and female;Vocational education - MBO;Bonaire;2018/'19;493.0
1114;Total male and female;Vocational education - MBO;Bonaire;2019/'20;542.0
1115;Total male and female;Vocational education - MBO;Bonaire;2020/'21;646.0
1116;Total male and female;Vocational education - MBO;Bonaire;2021/22;725.0
1117;Total male and female;Vocational education - MBO;Bonaire;2022/'23;748.0
1118;Total male and female;Vocational education - MBO;Bonaire;2023/'24;756.0
1119;Total male and female;Vocational education - MBO;Bonaire;2024/'25;855.0
1120;Total male and female;Vocational education - MBO;St Eustatius;2009/'10;
1121;Total male and female;Vocational education - MBO;St Eustatius;2010/'11;
1122;Total male and female;Vocational education - MBO;St Eustatius;2011/'12;
1123;Total male and female;Vocational education - MBO;St Eustatius;2012/'13;31.0
1124;Total male and female;Vocational education - MBO;St Eustatius;2013/'14;39.0
1125;Total male and female;Vocational education - MBO;St Eustatius;2014/'15;43.0
1126;Total male and female;Vocational education - MBO;St Eustatius;2015/'16;35.0
1127;Total male and female;Vocational education - MBO;St Eustatius;2016/'17;11.0
1128;Total male and female;Vocational education - MBO;St Eustatius;2017/'18;23.0
1129;Total male and female;Vocational education - MBO;St Eustatius;2018/'19;10.0
1130;Total male and female;Vocational education - MBO;St Eustatius;2019/'20;8.0
1131;Total male and female;Vocational education - MBO;St Eustatius;2020/'21;25.0
1132;Total male and female;Vocational education - MBO;St Eustatius;2021/22;
1133;Total male and female;Vocational education - MBO;St Eustatius;2022/'23;
1134;Total male and female;Vocational education - MBO;St Eustatius;2023/'24;
1135;Total male and female;Vocational education - MBO;St Eustatius;2024/'25;
1136;Total male and female;Vocational education - MBO;Saba;2009/'10;
1137;Total male and female;Vocational education - MBO;Saba;2010/'11;
1138;Total male and female;Vocational education - MBO;Saba;2011/'12;
1139;Total male and female;Vocational education - MBO;Saba;2012/'13;12.0
1140;Total male and female;Vocational education - MBO;Saba;2013/'14;20.0
1141;Total male and female;Vocational education - MBO;Saba;2014/'15;14.0
1142;Total male and female;Vocational education - MBO;Saba;2015/'16;6.0
1143;Total male and female;Vocational education - MBO;Saba;2016/'17;7.0
1144;Total male and female;Vocational education - MBO;Saba;2017/'18;6.0
1145;Total male and female;Vocational education - MBO;Saba;2018/'19;3.0
1146;Total male and female;Vocational education - MBO;Saba;2019/'20;15.0
1147;Total male and female;Vocational education - MBO;Saba;2020/'21;29.0
1148;Total male and female;Vocational education - MBO;Saba;2021/22;
1149;Total male and female;Vocational education - MBO;Saba;2022/'23;
1150;Total male and female;Vocational education - MBO;Saba;2023/'24;
1151;Total male and female;Vocational education - MBO;Saba;2024/'25;
1152;Male;Total primary education;Caribbean Netherlands;2009/'10;1145.0
1153;Male;Total primary education;Caribbean Netherlands;2010/'11;1071.0
1154;Male;Total primary education;Caribbean Netherlands;2011/'12;1106.0
1155;Male;Total primary education;Caribbean Netherlands;2012/'13;1134.0
1156;Male;Total primary education;Caribbean Netherlands;2013/'14;1142.0
1157;Male;Total primary education;Caribbean Netherlands;2014/'15;1165.0
1158;Male;Total primary education;Caribbean Netherlands;2015/'16;1191.0
1159;Male;Total primary education;Caribbean Netherlands;2016/'17;1209.0
1160;Male;Total primary education;Caribbean Netherlands;2017/'18;1259.0
1161;Male;Total primary education;Caribbean Netherlands;2018/'19;1240.0
1162;Male;Total primary education;Caribbean Netherlands;2019/'20;1283.0
1163;Male;Total primary education;Caribbean Netherlands;2020/'21;1262.0
1164;Male;Total primary education;Caribbean Netherlands;2021/22;1225.0
1165;Male;Total primary education;Caribbean Netherlands;2022/'23;1219.0
1166;Male;Total primary education;Caribbean Netherlands;2023/'24;1221.0
1167;Male;Total primary education;Caribbean Netherlands;2024/'25;1303.0
1168;Male;Total primary education;Bonaire;2009/'10;873.0
1169;Male;Total primary education;Bonaire;2010/'11;810.0
1170;Male;Total primary education;Bonaire;2011/'12;839.0
1171;Male;Total primary education;Bonaire;2012/'13;845.0
