ID;PositieVanMoedersInHetHuishouden;Persoonskenmerken;Perioden;TotaalMoeders15Tot65Jaar_1;TotaalMoedersWerkzameBeroepsbevolking_2;Werkt12Tot28UurPerWeek_3;Werkt28Tot35UurPerWeek_4;Werkt35UurOfMeerPerWeek_5;WilWerkVanTwaalfUurOfMeerPerWeek_6;WilKanNiet12UurPerWeekWerken_7;ZorgVoorGezinOfHuishouden_8;OverigeRedenen_9
226;Totaal alleenst. en samenwonende moeders;27;2006;320.0;165.0;114.0;29.0;22.0;41.0;114.0;94.0;20.0
227;Totaal alleenst. en samenwonende moeders;27;2007;315.0;171.0;123.0;27.0;21.0;35.0;109.0;85.0;24.0
228;Totaal alleenst. en samenwonende moeders;27;2008;319.0;186.0;129.0;32.0;25.0;29.0;104.0;82.0;22.0
229;Totaal alleenst. en samenwonende moeders;27;2009;311.0;188.0;127.0;35.0;26.0;31.0;92.0;72.0;20.0
230;Totaal alleenst. en samenwonende moeders;27;2010;315.0;193.0;133.0;36.0;24.0;34.0;89.0;70.0;19.0
231;Totaal alleenst. en samenwonende moeders;27;2011;311.0;183.0;129.0;32.0;22.0;33.0;95.0;74.0;21.0
232;Totaal alleenst. en samenwonende moeders;27;2012;306.0;186.0;125.0;36.0;26.0;34.0;86.0;67.0;19.0
233;Totaal alleenst. en samenwonende moeders;27;2013;311.0;187.0;123.0;39.0;26.0;41.0;83.0;62.0;21.0
234;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2001;1592.0;874.0;626.0;126.0;122.0;134.0;583.0;445.0;138.0
235;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2002;1589.0;904.0;651.0;136.0;118.0;133.0;552.0;411.0;141.0
236;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2003;1577.0;916.0;659.0;141.0;116.0;143.0;518.0;378.0;141.0
237;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2004;1548.0;914.0;658.0;142.0;114.0;157.0;477.0;337.0;140.0
238;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2005;1523.0;917.0;658.0;144.0;116.0;173.0;433.0;311.0;122.0
239;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2006;1504.0;944.0;659.0;160.0;125.0;163.0;397.0;278.0;118.0
240;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2007;1477.0;968.0;667.0;172.0;128.0;141.0;368.0;249.0;120.0
241;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2008;1446.0;985.0;670.0;186.0;129.0;119.0;342.0;229.0;112.0
242;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2009;1434.0;1004.0;669.0;198.0;138.0;117.0;313.0;203.0;110.0
243;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2010;1402.0;986.0;651.0;200.0;134.0;127.0;289.0;190.0;99.0
244;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2011;1385.0;981.0;641.0;204.0;135.0;118.0;286.0;188.0;98.0
245;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2012;1380.0;980.0;622.0;212.0;145.0;130.0;270.0;175.0;95.0
246;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gehuwd;2013;1365.0;961.0;593.0;220.0;148.0;154.0;250.0;156.0;94.0
247;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2001;182.0;115.0;63.0;25.0;26.0;17.0;51.0;36.0;15.0
248;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2002;199.0;127.0;73.0;28.0;26.0;22.0;50.0;34.0;16.0
249;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2003;227.0;146.0;81.0;37.0;28.0;29.0;52.0;31.0;21.0
250;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2004;235.0;154.0;87.0;39.0;28.0;34.0;47.0;28.0;19.0
251;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2005;254.0;168.0;96.0;44.0;29.0;38.0;48.0;27.0;21.0
252;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2006;261.0;183.0;102.0;48.0;33.0;33.0;45.0;26.0;19.0
253;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2007;280.0;204.0;115.0;53.0;35.0;32.0;44.0;23.0;22.0
254;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2008;286.0;216.0;115.0;61.0;40.0;27.0;44.0;20.0;24.0
255;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2009;298.0;220.0;114.0;64.0;42.0;31.0;46.0;22.0;24.0
256;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2010;318.0;235.0;124.0;64.0;46.0;36.0;47.0;21.0;26.0
257;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2011;325.0;241.0;127.0;68.0;47.0;34.0;51.0;23.0;28.0
258;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2012;335.0;252.0;130.0;76.0;46.0;39.0;45.0;20.0;25.0
259;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: nooit gehuwd;2013;334.0;240.0;121.0;73.0;47.0;50.0;44.0;17.0;27.0
260;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2001;136.0;76.0;33.0;21.0;22.0;20.0;40.0;18.0;22.0
261;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2002;141.0;86.0;39.0;24.0;23.0;19.0;36.0;15.0;21.0
262;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2003;147.0;91.0;41.0;25.0;25.0;21.0;35.0;12.0;23.0
263;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2004;157.0;96.0;47.0;24.0;25.0;26.0;35.0;12.0;23.0
264;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2005;157.0;97.0;49.0;25.0;23.0;29.0;31.0;10.0;21.0
265;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2006;155.0;97.0;47.0;27.0;22.0;28.0;31.0;9.0;22.0
266;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2007;164.0;108.0;50.0;33.0;25.0;24.0;32.0;8.0;24.0
267;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2008;166.0;116.0;52.0;34.0;30.0;19.0;30.0;8.0;22.0
268;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2009;163.0;111.0;50.0;34.0;27.0;22.0;30.0;7.0;24.0
269;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2010;159.0;110.0;52.0;35.0;24.0;21.0;28.0;6.0;22.0
270;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2011;148.0;103.0;46.0;30.0;27.0;20.0;25.0;5.0;19.0
271;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2012;151.0;102.0;47.0;33.0;23.0;23.0;26.0;5.0;21.0
272;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: gescheiden;2013;165.0;106.0;49.0;34.0;23.0;30.0;29.0;6.0;24.0
273;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2001;18.0;7.0;4.0;2.0;;2.0;9.0;5.0;4.0
274;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2002;16.0;6.0;4.0;;;;9.0;5.0;4.0
275;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2003;15.0;5.0;3.0;;;2.0;8.0;5.0;4.0
276;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2004;20.0;7.0;5.0;;;3.0;9.0;4.0;5.0
277;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2005;18.0;7.0;5.0;;;3.0;8.0;3.0;5.0
278;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2006;15.0;6.0;4.0;;;2.0;7.0;3.0;3.0
279;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2007;18.0;9.0;6.0;;2.0;2.0;7.0;3.0;4.0
280;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2008;18.0;9.0;6.0;2.0;;2.0;7.0;3.0;4.0
281;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2009;16.0;9.0;5.0;2.0;;2.0;5.0;2.0;3.0
282;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2010;15.0;9.0;5.0;2.0;2.0;2.0;4.0;2.0;2.0
283;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2011;14.0;;;;;;;;
284;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2012;15.0;8.0;5.0;2.0;;2.0;5.0;2.0;3.0
285;Totaal alleenst. en samenwonende moeders;Burgerlijke staat: verweduwd;2013;13.0;;;;;;;;
286;Alleenstaande moeder;10;2001;184.0;90.0;37.0;26.0;27.0;28.0;66.0;33.0;33.0
287;Alleenstaande moeder;10;2002;183.0;96.0;41.0;27.0;28.0;30.0;57.0;26.0;31.0
288;Alleenstaande moeder;10;2003;199.0;103.0;44.0;31.0;28.0;33.0;62.0;25.0;37.0
289;Alleenstaande moeder;10;2004;204.0;107.0;49.0;30.0;28.0;41.0;56.0;20.0;36.0
290;Alleenstaande moeder;10;2005;214.0;118.0;55.0;34.0;29.0;47.0;49.0;15.0;34.0
291;Alleenstaande moeder;10;2006;211.0;119.0;53.0;36.0;30.0;43.0;50.0;15.0;34.0
292;Alleenstaande moeder;10;2007;228.0;137.0;59.0;44.0;34.0;39.0;52.0;13.0;39.0
293;Alleenstaande moeder;10;2008;229.0;147.0;62.0;48.0;37.0;31.0;51.0;12.0;39.0
294;Alleenstaande moeder;10;2009;229.0;147.0;61.0;48.0;38.0;33.0;49.0;11.0;39.0
295;Alleenstaande moeder;10;2010;232.0;148.0;66.0;48.0;34.0;37.0;47.0;11.0;37.0
296;Alleenstaande moeder;10;2011;225.0;145.0;62.0;45.0;38.0;36.0;45.0;10.0;35.0
297;Alleenstaande moeder;10;2012;235.0;146.0;62.0;50.0;34.0;40.0;49.0;11.0;38.0
298;Alleenstaande moeder;10;2013;252.0;149.0;65.0;50.0;34.0;53.0;50.0;11.0;39.0
299;Alleenstaande moeder;12600;2001;112.0;62.0;28.0;17.0;16.0;17.0;34.0;16.0;17.0
300;Alleenstaande moeder;12600;2002;113.0;68.0;33.0;19.0;16.0;17.0;29.0;14.0;15.0
301;Alleenstaande moeder;12600;2003;125.0;74.0;35.0;23.0;16.0;18.0;33.0;14.0;19.0
302;Alleenstaande moeder;12600;2004;127.0;76.0;39.0;20.0;17.0;23.0;28.0;11.0;17.0
303;Alleenstaande moeder;12600;2005;134.0;81.0;43.0;23.0;16.0;26.0;27.0;9.0;18.0
304;Alleenstaande moeder;12600;2006;128.0;83.0;41.0;26.0;16.0;21.0;25.0;9.0;16.0
305;Alleenstaande moeder;12600;2007;142.0;97.0;47.0;31.0;19.0;19.0;26.0;7.0;19.0
306;Alleenstaande moeder;12600;2008;137.0;101.0;48.0;32.0;20.0;14.0;22.0;6.0;16.0
307;Alleenstaande moeder;12600;2009;141.0;102.0;48.0;33.0;22.0;16.0;22.0;5.0;17.0
308;Alleenstaande moeder;12600;2010;145.0;104.0;50.0;33.0;20.0;19.0;23.0;5.0;18.0
309;Alleenstaande moeder;12600;2011;133.0;95.0;46.0;30.0;19.0;17.0;21.0;5.0;16.0
310;Alleenstaande moeder;12600;2012;140.0;100.0;48.0;32.0;20.0;18.0;22.0;5.0;17.0
311;Alleenstaande moeder;12600;2013;145.0;101.0;47.0;36.0;18.0;22.0;22.0;5.0;17.0
312;Alleenstaande moeder;12650;2001;22.0;10.0;4.0;3.0;4.0;3.0;8.0;3.0;4.0
313;Alleenstaande moeder;12650;2002;19.0;10.0;4.0;3.0;3.0;4.0;5.0;3.0;3.0
314;Alleenstaande moeder;12650;2003;21.0;10.0;3.0;3.0;4.0;5.0;6.0;3.0;4.0
315;Alleenstaande moeder;12650;2004;22.0;12.0;6.0;4.0;3.0;5.0;5.0;;4.0
316;Alleenstaande moeder;12650;2005;23.0;14.0;6.0;3.0;5.0;5.0;4.0;;3.0
317;Alleenstaande moeder;12650;2006;21.0;13.0;6.0;3.0;4.0;4.0;4.0;;3.0
318;Alleenstaande moeder;12650;2007;25.0;16.0;6.0;4.0;6.0;5.0;4.0;;3.0
319;Alleenstaande moeder;12650;2008;24.0;16.0;6.0;5.0;6.0;3.0;5.0;;4.0
320;Alleenstaande moeder;12650;2009;25.0;17.0;5.0;6.0;5.0;4.0;4.0;;3.0
321;Alleenstaande moeder;12650;2010;26.0;18.0;6.0;6.0;5.0;4.0;4.0;;3.0
322;Alleenstaande moeder;12650;2011;28.0;19.0;7.0;6.0;7.0;4.0;5.0;;4.0
323;Alleenstaande moeder;12650;2012;27.0;17.0;6.0;6.0;4.0;5.0;6.0;;5.0
324;Alleenstaande moeder;12650;2013;27.0;17.0;7.0;5.0;5.0;6.0;4.0;;3.0
325;Alleenstaande moeder;13000;2001;50.0;18.0;5.0;6.0;7.0;8.0;24.0;13.0;12.0
326;Alleenstaande moeder;13000;2002;50.0;18.0;4.0;5.0;9.0;9.0;23.0;9.0;14.0
327;Alleenstaande moeder;13000;2003;53.0;20.0;5.0;5.0;9.0;10.0;23.0;9.0;14.0
328;Alleenstaande moeder;13000;2004;55.0;19.0;5.0;6.0;8.0;13.0;23.0;8.0;14.0
329;Alleenstaande moeder;13000;2005;58.0;22.0;5.0;8.0;9.0;16.0;19.0;6.0;13.0
330;Alleenstaande moeder;13000;2006;62.0;23.0;6.0;7.0;10.0;18.0;21.0;6.0;15.0
331;Alleenstaande moeder;13000;2007;62.0;24.0;6.0;9.0;10.0;15.0;22.0;5.0;18.0
332;Alleenstaande moeder;13000;2008;68.0;30.0;8.0;11.0;11.0;14.0;24.0;5.0;19.0
333;Alleenstaande moeder;13000;2009;63.0;27.0;8.0;9.0;11.0;13.0;23.0;4.0;18.0
334;Alleenstaande moeder;13000;2010;60.0;27.0;9.0;9.0;9.0;13.0;20.0;5.0;16.0
335;Alleenstaande moeder;13000;2011;65.0;32.0;10.0;10.0;12.0;15.0;19.0;4.0;14.0
336;Alleenstaande moeder;13000;2012;68.0;29.0;8.0;12.0;9.0;18.0;21.0;5.0;16.0
337;Alleenstaande moeder;13000;2013;80.0;31.0;11.0;10.0;11.0;25.0;24.0;5.0;18.0
338;Alleenstaande moeder;13355;2001;;;;;;;;;
339;Alleenstaande moeder;13355;2002;;;;;;;;;
340;Alleenstaande moeder;13355;2003;;;;;;;;;
341;Alleenstaande moeder;13355;2004;;;;;;;;;
342;Alleenstaande moeder;13355;2005;;;;;;;;;
343;Alleenstaande moeder;13355;2006;;;;;;;;;
344;Alleenstaande moeder;13355;2007;;;;;;;;;
345;Alleenstaande moeder;13355;2008;;;;;;;;;
346;Alleenstaande moeder;13355;2009;;;;;;;;;
347;Alleenstaande moeder;13355;2010;;;;;;;;;
348;Alleenstaande moeder;13355;2011;;;;;;;;;
349;Alleenstaande moeder;13355;2012;;;;;;;;;
350;Alleenstaande moeder;13355;2013;;;;;;;;;
351;Alleenstaande moeder;18700;2001;91.0;30.0;12.0;9.0;10.0;17.0;44.0;22.0;22.0
352;Alleenstaande moeder;18700;2002;82.0;27.0;11.0;8.0;9.0;17.0;37.0;18.0;19.0
353;Alleenstaande moeder;18700;2003;79.0;26.0;12.0;7.0;7.0;16.0;36.0;15.0;22.0
354;Alleenstaande moeder;18700;2004;76.0;26.0;13.0;6.0;7.0;18.0;32.0;12.0;20.0
355;Alleenstaande moeder;18700;2005;76.0;29.0;15.0;7.0;7.0;20.0;26.0;8.0;18.0
356;Alleenstaande moeder;18700;2006;75.0;28.0;12.0;9.0;7.0;19.0;28.0;8.0;19.0
357;Alleenstaande moeder;18700;2007;79.0;32.0;16.0;9.0;7.0;18.0;30.0;7.0;23.0
358;Alleenstaande moeder;18700;2008;74.0;30.0;15.0;8.0;7.0;15.0;29.0;7.0;22.0
359;Alleenstaande moeder;18700;2009;74.0;31.0;15.0;9.0;7.0;15.0;28.0;6.0;22.0
360;Alleenstaande moeder;18700;2010;72.0;31.0;15.0;8.0;7.0;15.0;26.0;6.0;20.0
361;Alleenstaande moeder;18700;2011;71.0;31.0;15.0;8.0;8.0;15.0;25.0;6.0;20.0
362;Alleenstaande moeder;18700;2012;67.0;24.0;14.0;6.0;5.0;16.0;27.0;6.0;20.0
363;Alleenstaande moeder;18700;2013;63.0;23.0;13.0;7.0;3.0;18.0;21.0;5.0;16.0
364;Alleenstaande moeder;18740;2001;64.0;40.0;18.0;11.0;10.0;7.0;17.0;9.0;8.0
365;Alleenstaande moeder;18740;2002;69.0;45.0;21.0;12.0;13.0;10.0;14.0;6.0;8.0
366;Alleenstaande moeder;18740;2003;79.0;49.0;22.0;14.0;13.0;12.0;18.0;7.0;11.0
367;Alleenstaande moeder;18740;2004;85.0;51.0;24.0;15.0;12.0;17.0;18.0;6.0;11.0
368;Alleenstaande moeder;18740;2005;93.0;55.0;27.0;15.0;13.0;20.0;18.0;5.0;13.0
369;Alleenstaande moeder;18740;2006;92.0;57.0;30.0;15.0;13.0;18.0;17.0;5.0;12.0
370;Alleenstaande moeder;18740;2007;99.0;65.0;30.0;20.0;14.0;17.0;17.0;5.0;13.0
371;Alleenstaande moeder;18740;2008;101.0;72.0;33.0;22.0;17.0;13.0;17.0;4.0;13.0
372;Alleenstaande moeder;18740;2009;101.0;71.0;32.0;22.0;17.0;14.0;16.0;3.0;13.0
373;Alleenstaande moeder;18740;2010;104.0;72.0;35.0;23.0;14.0;15.0;17.0;3.0;14.0
374;Alleenstaande moeder;18740;2011;98.0;68.0;33.0;20.0;15.0;15.0;15.0;3.0;12.0
375;Alleenstaande moeder;18740;2012;111.0;74.0;35.0;25.0;15.0;19.0;17.0;4.0;13.0
376;Alleenstaande moeder;18740;2013;123.0;74.0;34.0;22.0;17.0;26.0;24.0;5.0;19.0
377;Alleenstaande moeder;18790;2001;29.0;20.0;7.0;6.0;7.0;3.0;5.0;2.0;3.0
378;Alleenstaande moeder;18790;2002;32.0;23.0;9.0;8.0;7.0;3.0;6.0;2.0;4.0
379;Alleenstaande moeder;18790;2003;41.0;28.0;10.0;10.0;8.0;5.0;8.0;3.0;5.0
380;Alleenstaande moeder;18790;2004;40.0;30.0;12.0;9.0;9.0;5.0;5.0;2.0;3.0
381;Alleenstaande moeder;18790;2005;43.0;33.0;12.0;12.0;9.0;6.0;4.0;;3.0
382;Alleenstaande moeder;18790;2006;42.0;33.0;11.0;13.0;10.0;5.0;4.0;2.0;3.0
383;Alleenstaande moeder;18790;2007;49.0;40.0;13.0;15.0;13.0;4.0;4.0;;3.0
384;Alleenstaande moeder;18790;2008;53.0;45.0;14.0;17.0;14.0;3.0;5.0;;3.0
385;Alleenstaande moeder;18790;2009;54.0;44.0;14.0;16.0;14.0;5.0;5.0;;4.0
386;Alleenstaande moeder;18790;2010;55.0;45.0;15.0;17.0;14.0;6.0;4.0;;3.0
387;Alleenstaande moeder;18790;2011;56.0;46.0;14.0;17.0;15.0;5.0;4.0;;3.0
388;Alleenstaande moeder;18790;2012;56.0;47.0;13.0;19.0;14.0;5.0;5.0;;4.0
389;Alleenstaande moeder;18790;2013;63.0;52.0;18.0;21.0;13.0;8.0;3.0;;3.0
390;Alleenstaande moeder;18820;2001;;;;;;;;;
391;Alleenstaande moeder;18820;2002;;;;;;;;;
392;Alleenstaande moeder;18820;2003;;;;;;;;;
393;Alleenstaande moeder;18820;2004;2.0;;;;;;;;
394;Alleenstaande moeder;18820;2005;2.0;;;;;;;;
395;Alleenstaande moeder;18820;2006;2.0;;;;;;;;
396;Alleenstaande moeder;18820;2007;2.0;;;;;;;;
397;Alleenstaande moeder;18820;2008;;;;;;;;;
398;Alleenstaande moeder;18820;2009;;;;;;;;;
399;Alleenstaande moeder;18820;2010;;;;;;;;;
400;Alleenstaande moeder;18820;2011;;;;;;;;;
401;Alleenstaande moeder;18820;2012;;;;;;;;;
402;Alleenstaande moeder;18820;2013;4.0;;;;;;;;
403;Alleenstaande moeder;19;2001;21.0;5.0;2.0;;;5.0;12.0;8.0;3.0
404;Alleenstaande moeder;19;2002;21.0;5.0;2.0;;2.0;7.0;10.0;6.0;3.0
405;Alleenstaande moeder;19;2003;22.0;5.0;3.0;;;5.0;11.0;7.0;4.0
406;Alleenstaande moeder;19;2004;21.0;5.0;2.0;;;7.0;9.0;6.0;4.0
407;Alleenstaande moeder;19;2005;22.0;8.0;3.0;2.0;2.0;7.0;7.0;3.0;4.0
408;Alleenstaande moeder;19;2006;20.0;7.0;3.0;2.0;2.0;6.0;7.0;3.0;4.0
409;Alleenstaande moeder;19;2007;23.0;9.0;5.0;2.0;2.0;6.0;8.0;3.0;5.0
410;Alleenstaande moeder;19;2008;24.0;9.0;5.0;2.0;2.0;6.0;9.0;2.0;7.0
411;Alleenstaande moeder;19;2009;23.0;10.0;4.0;4.0;2.0;5.0;8.0;3.0;6.0
412;Alleenstaande moeder;19;2010;21.0;7.0;3.0;2.0;2.0;5.0;9.0;3.0;6.0
413;Alleenstaande moeder;19;2011;18.0;6.0;3.0;2.0;;5.0;7.0;2.0;5.0
414;Alleenstaande moeder;19;2012;23.0;8.0;4.0;2.0;2.0;7.0;8.0;2.0;5.0
415;Alleenstaande moeder;19;2013;24.0;8.0;4.0;2.0;2.0;8.0;8.0;2.0;6.0
416;Alleenstaande moeder;20;2001;71.0;37.0;16.0;9.0;11.0;11.0;23.0;14.0;9.0
417;Alleenstaande moeder;20;2002;70.0;38.0;17.0;10.0;11.0;12.0;20.0;10.0;9.0
418;Alleenstaande moeder;20;2003;73.0;35.0;16.0;9.0;10.0;15.0;23.0;11.0;12.0
419;Alleenstaande moeder;20;2004;74.0;37.0;17.0;11.0;9.0;17.0;20.0;8.0;12.0
420;Alleenstaande moeder;20;2005;75.0;41.0;22.0;11.0;8.0;19.0;15.0;6.0;9.0
421;Alleenstaande moeder;20;2006;74.0;42.0;21.0;12.0;9.0;16.0;17.0;6.0;10.0
422;Alleenstaande moeder;20;2007;73.0;41.0;20.0;12.0;9.0;16.0;17.0;5.0;12.0
423;Alleenstaande moeder;20;2008;72.0;47.0;21.0;16.0;11.0;11.0;14.0;4.0;10.0
424;Alleenstaande moeder;20;2009;69.0;43.0;20.0;13.0;10.0;12.0;13.0;3.0;10.0
425;Alleenstaande moeder;20;2010;69.0;41.0;20.0;12.0;9.0;13.0;15.0;5.0;10.0
426;Alleenstaande moeder;20;2011;68.0;39.0;18.0;13.0;8.0;14.0;15.0;4.0;11.0
427;Alleenstaande moeder;20;2012;68.0;41.0;19.0;14.0;8.0;13.0;13.0;4.0;10.0
428;Alleenstaande moeder;20;2013;72.0;40.0;18.0;14.0;8.0;18.0;15.0;4.0;10.0
429;Alleenstaande moeder;21;2001;92.0;48.0;18.0;16.0;15.0;12.0;31.0;10.0;21.0
430;Alleenstaande moeder;21;2002;92.0;53.0;22.0;16.0;15.0;11.0;28.0;9.0;18.0
431;Alleenstaande moeder;21;2003;103.0;63.0;25.0;21.0;17.0;12.0;28.0;7.0;21.0
432;Alleenstaande moeder;21;2004;110.0;66.0;29.0;18.0;18.0;17.0;27.0;7.0;20.0
433;Alleenstaande moeder;21;2005;117.0;69.0;29.0;21.0;19.0;21.0;27.0;6.0;21.0
434;Alleenstaande moeder;21;2006;116.0;70.0;29.0;23.0;19.0;20.0;26.0;6.0;20.0
435;Alleenstaande moeder;21;2007;132.0;87.0;34.0;29.0;23.0;18.0;27.0;5.0;22.0
436;Alleenstaande moeder;21;2008;133.0;91.0;36.0;30.0;24.0;15.0;28.0;6.0;22.0
437;Alleenstaande moeder;21;2009;137.0;93.0;36.0;31.0;26.0;16.0;28.0;5.0;23.0
438;Alleenstaande moeder;21;2010;142.0;100.0;42.0;34.0;24.0;18.0;24.0;3.0;21.0
439;Alleenstaande moeder;21;2011;139.0;100.0;41.0;31.0;28.0;17.0;22.0;4.0;19.0
440;Alleenstaande moeder;21;2012;144.0;96.0;39.0;33.0;24.0;21.0;28.0;5.0;23.0
441;Alleenstaande moeder;21;2013;156.0;101.0;44.0;34.0;24.0;27.0;27.0;4.0;23.0
442;Alleenstaande moeder;22;2001;59.0;21.0;10.0;5.0;5.0;10.0;28.0;21.0;7.0
443;Alleenstaande moeder;22;2002;56.0;21.0;10.0;5.0;5.0;12.0;23.0;16.0;7.0
444;Alleenstaande moeder;22;2003;63.0;23.0;11.0;6.0;6.0;13.0;26.0;17.0;10.0
445;Alleenstaande moeder;22;2004;60.0;22.0;12.0;6.0;4.0;16.0;21.0;12.0;9.0
446;Alleenstaande moeder;22;2005;63.0;29.0;15.0;7.0;6.0;17.0;18.0;8.0;9.0
447;Alleenstaande moeder;22;2006;61.0;29.0;14.0;8.0;7.0;15.0;17.0;8.0;9.0
448;Alleenstaande moeder;22;2007;64.0;31.0;16.0;9.0;6.0;15.0;17.0;7.0;10.0
449;Alleenstaande moeder;22;2008;61.0;33.0;15.0;11.0;7.0;11.0;17.0;6.0;11.0
450;Alleenstaande moeder;22;2009;60.0;35.0;16.0;11.0;8.0;10.0;16.0;6.0;10.0
451;Alleenstaande moeder;22;2010;62.0;33.0;15.0;11.0;7.0;13.0;17.0;6.0;11.0
452;Alleenstaande moeder;22;2011;58.0;28.0;13.0;9.0;6.0;13.0;16.0;6.0;11.0
453;Alleenstaande moeder;22;2012;65.0;33.0;14.0;12.0;6.0;15.0;17.0;6.0;11.0
454;Alleenstaande moeder;22;2013;69.0;34.0;15.0;12.0;7.0;17.0;18.0;6.0;12.0
455;Alleenstaande moeder;23;2001;61.0;34.0;15.0;11.0;8.0;11.0;16.0;7.0;9.0
456;Alleenstaande moeder;23;2002;62.0;37.0;16.0;11.0;9.0;10.0;16.0;6.0;10.0
457;Alleenstaande moeder;23;2003;65.0;36.0;17.0;11.0;8.0;12.0;17.0;6.0;12.0
458;Alleenstaande moeder;23;2004;71.0;39.0;20.0;11.0;8.0;15.0;17.0;5.0;11.0
459;Alleenstaande moeder;23;2005;74.0;41.0;21.0;12.0;9.0;18.0;14.0;4.0;10.0
460;Alleenstaande moeder;23;2006;73.0;43.0;22.0;13.0;8.0;15.0;15.0;5.0;10.0
461;Alleenstaande moeder;23;2007;80.0;50.0;24.0;16.0;10.0;13.0;17.0;4.0;13.0
462;Alleenstaande moeder;23;2008;83.0;55.0;26.0;17.0;12.0;11.0;16.0;3.0;13.0
463;Alleenstaande moeder;23;2009;77.0;51.0;23.0;17.0;11.0;12.0;14.0;3.0;11.0
464;Alleenstaande moeder;23;2010;79.0;53.0;28.0;16.0;9.0;11.0;15.0;3.0;12.0
465;Alleenstaande moeder;23;2011;80.0;54.0;26.0;17.0;11.0;11.0;14.0;3.0;11.0
466;Alleenstaande moeder;23;2012;83.0;56.0;26.0;18.0;12.0;13.0;14.0;4.0;11.0
467;Alleenstaande moeder;23;2013;83.0;50.0;26.0;16.0;8.0;18.0;15.0;3.0;12.0
468;Alleenstaande moeder;24;2001;65.0;35.0;12.0;10.0;13.0;8.0;22.0;5.0;17.0
469;Alleenstaande moeder;24;2002;65.0;39.0;14.0;10.0;14.0;8.0;19.0;5.0;14.0
470;Alleenstaande moeder;24;2003;71.0;44.0;16.0;13.0;15.0;8.0;19.0;3.0;16.0
