ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
208;4621 Groothandel in akkerbouwproducten;2007 4e kwartaal;108.6;
209;4621 Groothandel in akkerbouwproducten;2007;77.7;
210;4621 Groothandel in akkerbouwproducten;2008 1e kwartaal;97.8;50.5
211;4621 Groothandel in akkerbouwproducten;2008 2e kwartaal;99.7;55.0
212;4621 Groothandel in akkerbouwproducten;2008 3e kwartaal;125.0;71.2
213;4621 Groothandel in akkerbouwproducten;2008 4e kwartaal;83.7;-22.9
214;4621 Groothandel in akkerbouwproducten;2008;101.6;30.7
215;4621 Groothandel in akkerbouwproducten;2009 1e kwartaal;88.4;-9.6
216;4621 Groothandel in akkerbouwproducten;2009 2e kwartaal;82.5;-17.3
217;4621 Groothandel in akkerbouwproducten;2009 3e kwartaal;81.5;-34.8
218;4621 Groothandel in akkerbouwproducten;2009 4e kwartaal;87.9;5.0
219;4621 Groothandel in akkerbouwproducten;2009;85.1;-16.2
220;4621 Groothandel in akkerbouwproducten;2010 1e kwartaal;86.5;-2.2
221;4621 Groothandel in akkerbouwproducten;2010 2e kwartaal;94.8;14.9
222;4621 Groothandel in akkerbouwproducten;2010 3e kwartaal;99.8;22.4
223;4621 Groothandel in akkerbouwproducten;2010 4e kwartaal;119.0;35.4
224;4621 Groothandel in akkerbouwproducten;2010;100.0;17.6
225;4621 Groothandel in akkerbouwproducten;2011 1e kwartaal;119.9;38.7
226;4621 Groothandel in akkerbouwproducten;2011 2e kwartaal;116.8;23.3
227;4621 Groothandel in akkerbouwproducten;2011 3e kwartaal;111.3;11.5
228;4621 Groothandel in akkerbouwproducten;2011 4e kwartaal;119.4;0.3
229;4621 Groothandel in akkerbouwproducten;2011;116.8;16.8
230;4621 Groothandel in akkerbouwproducten;2012 1e kwartaal;125.5;4.7
231;4621 Groothandel in akkerbouwproducten;2012 2e kwartaal;142.5;22.0
232;4621 Groothandel in akkerbouwproducten;2012 3e kwartaal;145.6;30.9
233;4621 Groothandel in akkerbouwproducten;2012 4e kwartaal;143.2;19.9
