ID;SIC2008;PersonsEmployed;Periods;Total_1;Births_2;Deaths_3;NewlyBornEnterprisesSurvivingYear1_4;NewlyBornEnterprisesSurvivingYear2_5;NewlyBornEnterprisesSurvivingYear3_6;NewlyBornEnterprisesSurvivingYear4_7;NewlyBornEnterprisesSurvivingYear5_8;PersonsEmployed_9;Employees_10;PersonsEmployed_11;Employees_12;PersonsEmployed_13;Employees_14;k_1Year_15;k_2Years_16;k_3Years_17;k_4Years_18;k_5Years_19;k_1Year_20;k_2Years_21;k_3Years_22;k_4Years_23;k_5Years_24
74;300002;Total;2019;78129.0;6777.0;3630.0;5865.0;4726.0;4156.0;3636.0;3050.0;809515.0;742913.0;4816.0;1619.0;2107.0;789.0;8087.0;8015.0;9516.0;7438.0;8276.0;3889.0;4091.0;3329.0;2887.0;3512.0
75;300002;Total;2020;81083.0;6544.0;;6565.0;5281.0;4290.0;3834.0;3381.0;808374.0;740206.0;4268.0;1336.0;;;9250.0;7791.0;7762.0;9190.0;7401.0;4748.0;3561.0;3598.0;3121.0;2751.0
76;300002;Total;2021;;;;;;;;;;;;;;;;;;;;;;;;
77;300002;Total;2022;;;;;;;;;;;;;;;;;;;;;;;;
78;300002;0 employees;2010;36617.0;3740.0;3005.0;3572.0;3479.0;3811.0;1116.0;1404.0;34739.0;;1684.0;;1113.0;;5483.0;7839.0;8384.0;1411.0;1774.0;1734.0;1989.0;2315.0;1223.0;1462.0
79;300002;0 employees;2011;38235.0;4314.0;3201.0;3524.0;3074.0;3123.0;3473.0;1084.0;36087.0;;2140.0;;1138.0;0.0;3524.0;5082.0;7525.0;8186.0;1364.0;1624.0;1510.0;1788.0;2130.0;1196.0
80;300002;0 employees;2012;39871.0;4111.0;3824.0;3999.0;3042.0;2730.0;2842.0;3222.0;37411.0;0.0;2213.0;0.0;1541.0;0.0;4212.0;3243.0;4666.0;7342.0;8018.0;2050.0;1427.0;1346.0;1648.0;1994.0
81;300002;0 employees;2013;41115.0;4039.0;3513.0;3797.0;3455.0;2638.0;2425.0;2591.0;39080.0;;1927.0;0.0;1484.0;0.0;3882.0;3926.0;3037.0;4433.0;6927.0;2136.0;1799.0;1224.0;1211.0;1525.0
82;300002;0 employees;2014;42646.0;4319.0;2898.0;3813.0;3252.0;3009.0;2336.0;2207.0;39694.0;0.0;2089.0;0.0;1216.0;0.0;3836.0;3515.0;3751.0;2845.0;4120.0;1855.0;1855.0;1573.0;1106.0;1105.0
83;300002;0 employees;2015;44886.0;4796.0;3059.0;4111.0;3379.0;2956.0;2718.0;2150.0;45227.0;0.0;2926.0;0.0;2013.0;0.0;4522.0;4030.0;3557.0;4092.0;2878.0;2020.0;1677.0;1706.0;1438.0;1025.0
84;300002;0 employees;2016;46676.0;4933.0;3514.0;4579.0;3608.0;3041.0;2673.0;2514.0;42892.0;0.0;2372.0;0.0;1701.0;0.0;4568.0;3944.0;3571.0;3293.0;3877.0;2769.0;1800.0;1543.0;1556.0;1332.0
85;300002;0 employees;2017;47898.0;5033.0;2789.0;4697.0;4031.0;3206.0;2735.0;2392.0;44040.0;0.0;2367.0;0.0;1236.0;0.0;5408.0;4489.0;3816.0;3492.0;3099.0;2278.0;2421.0;1607.0;1396.0;1396.0
86;300002;0 employees;2018;52057.0;5695.0;3189.0;4855.0;4255.0;3672.0;2935.0;2547.0;45882.0;0.0;2751.0;0.0;1337.0;0.0;4727.0;5647.0;4427.0;3732.0;3443.0;2300.0;2097.0;1814.0;1473.0;1312.0
87;300002;0 employees;2019;54485.0;6437.0;3457.0;5517.0;4348.0;3850.0;3361.0;2730.0;48226.0;0.0;3106.0;0.0;1256.0;0.0;5507.0;4628.0;5632.0;4297.0;3714.0;2683.0;2063.0;1904.0;1678.0;1382.0
88;300002;0 employees;2020;57444.0;6234.0;;6227.0;4966.0;3960.0;3553.0;3114.0;50059.0;0.0;2841.0;0.0;;;5887.0;5276.0;4524.0;5219.0;4164.0;3040.0;2436.0;1899.0;1767.0;1570.0
89;300002;0 employees;2021;;;;;;;;;;;;;;;;;;;;;;;;
90;300002;0 employees;2022;;;;;;;;;;;;;;;;;;;;;;;;
91;300002;1 to 4 employees;2010;8895.0;291.0;163.0;376.0;447.0;445.0;380.0;229.0;28670.0;;598.0;;417.0;;2208.0;4172.0;3225.0;1286.0;589.0;859.0;1072.0;1156.0;872.0;527.0
92;300002;1 to 4 employees;2011;8969.0;415.0;143.0;287.0;339.0;398.0;395.0;358.0;28668.0;;927.0;;358.0;262.0;966.0;2078.0;4015.0;3103.0;1227.0;591.0;778.0;963.0;1036.0;832.0
