ID;Nationality;Periods;TotalResidencePermitsAsylum_1;RefugeeStatusBeneficiaryStatus_2;HumanitarianReasons_3;TotalOrdinaryResidencePermit_4;TotalFamilyReunificationFormation_5;HusbandWife_6;ChildUnder18_7;OtherFamilyReunification_8;Study_9;TotalLabour_10;HighlySkilledMigrantBlueCardHolder_11;Researcher_12;OtherLabour_13;VictimOfHumanTrade_14;OtherOrdinary_15;SinglePermitGVVA_16
122;Armenian;2018;5;5.0;0.0;190;120;55;35;30;15;10;10;0;0;5;40;
123;Armenian;2019;10;5.0;5.0;535;150;60;55;35;10;10;5;5;0;0;365;
124;Armenian;2020;5;5.0;0.0;145;75;30;30;20;25;10;5;0;0;0;35;
125;Armenian;2021;15;15.0;0.0;135;90;45;35;10;25;0;15;5;0;0;20;
126;Armenian;2022;10;5.0;5.0;215;105;50;30;25;30;40;30;0;5;0;40;
127;Armenian;2023;5;5.0;0.0;210;135;70;30;35;25;30;25;5;5;0;20;
128;Australian;2008;0;0.0;0.0;955;230;115;65;50;160;210;160;10;40;0;355;
129;Australian;2009;0;0.0;0.0;870;175;80;55;40;130;185;150;0;35;0;380;
130;Australian;2010;0;0.0;0.0;995;190;95;55;40;115;185;140;10;30;0;505;
131;Australian;2011;0;0.0;0.0;870;210;105;55;45;120;150;125;10;15;0;390;
132;Australian;2012;0;0.0;0.0;810;195;100;50;45;105;135;105;5;20;0;380;
133;Australian;2013;0;0.0;0.0;1105;165;80;80;5;115;180;140;15;25;0;645;
134;Australian;2014;0;0.0;0.0;1190;230;140;80;15;125;200;155;20;25;0;630;
135;Australian;2015;0;0.0;0.0;1450;215;135;70;10;180;205;160;20;25;0;850;
136;Australian;2016;0;0.0;0.0;1505;235;145;70;15;230;225;160;35;30;0;820;
137;Australian;2017;0;0.0;0.0;1530;215;130;60;30;250;225;170;25;25;0;845;
138;Australian;2018;0;0.0;0.0;1745;290;170;90;30;310;285;220;35;30;0;860;
139;Australian;2019;0;0.0;0.0;1805;315;175;100;35;340;345;270;40;35;0;805;
140;Australian;2020;0;0.0;0.0;835;250;140;75;35;55;200;155;15;30;0;330;
141;Australian;2021;0;0.0;0.0;655;220;135;65;25;45;210;170;15;25;0;180;
142;Australian;2022;0;0.0;0.0;1550;325;210;90;25;445;310;265;15;25;0;465;
143;Australian;2023;0;0.0;0.0;1835;270;185;60;30;465;330;275;25;30;0;770;
144;Azerbaijani;2008;25;0.0;0.0;425;35;15;5;15;15;5;5;0;0;0;365;
145;Azerbaijani;2009;60;25.0;35.0;85;30;10;10;10;20;0;0;0;0;0;35;
146;Azerbaijani;2010;65;45.0;20.0;75;25;10;5;10;30;5;0;0;5;0;15;
147;Azerbaijani;2011;40;15.0;25.0;90;40;20;10;10;40;5;5;0;0;0;5;
148;Azerbaijani;2012;15;10.0;5.0;90;25;10;10;10;35;15;0;0;10;5;15;
149;Azerbaijani;2013;20;15.0;5.0;170;80;20;20;40;45;15;15;0;0;0;30;
150;Azerbaijani;2014;10;10.0;5.0;125;35;20;15;0;50;5;5;0;0;0;25;
151;Azerbaijani;2015;15;15.0;0.0;105;30;10;15;0;45;10;5;0;5;0;20;
152;Azerbaijani;2016;5;5.0;0.0;150;60;30;20;10;65;10;5;0;0;0;20;
153;Azerbaijani;2017;5;5.0;0.0;115;40;20;15;5;45;20;15;0;5;0;5;
154;Azerbaijani;2018;10;10.0;0.0;175;70;40;25;5;55;40;25;0;15;0;10;
155;Azerbaijani;2019;15;10.0;5.0;305;75;35;35;5;95;90;25;5;65;0;40;
156;Azerbaijani;2020;20;10.0;10.0;225;70;20;30;15;65;70;20;5;45;0;15;
157;Azerbaijani;2021;50;25.0;30.0;235;70;40;20;10;100;55;35;5;15;0;10;
158;Azerbaijani;2022;20;10.0;10.0;325;105;50;45;10;85;125;95;5;25;0;10;
159;Azerbaijani;2023;25;10.0;10.0;450;145;70;55;15;105;190;70;5;110;0;15;
160;Bengali;2008;0;0.0;0.0;105;30;20;5;5;35;15;10;0;5;0;25;
161;Bengali;2009;0;0.0;0.0;115;30;20;10;0;55;15;10;0;5;0;15;
162;Bengali;2010;5;5.0;0.0;125;55;30;25;0;45;20;10;5;0;0;5;
163;Bengali;2011;5;0.0;0.0;125;50;30;15;5;55;20;15;5;0;0;0;
