ID;LeeftijdReferentiepersoon;AantalPersonenInHetHuishouden;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13
231;53050;Meerpersoonshuishouden met 3 personen;1986;22;;22.0;2.0;20.0;3.0;1.0;2.0;16.0;1.0;15.0;2.0;0.0
232;53050;Meerpersoonshuishouden met 3 personen;1987;20;;20.0;2.0;18.0;3.0;1.0;2.0;14.0;1.0;14.0;2.0;0.0
233;53050;Meerpersoonshuishouden met 3 personen;1988;19;;19.0;2.0;17.0;3.0;1.0;2.0;13.0;1.0;12.0;2.0;0.0
234;53050;Meerpersoonshuishouden met 3 personen;1989;18;;18.0;2.0;16.0;4.0;1.0;3.0;12.0;1.0;11.0;2.0;0.0
235;53050;Meerpersoonshuishouden met 3 personen;1990;18;;18.0;2.0;16.0;4.0;1.0;3.0;12.0;1.0;11.0;2.0;0.0
236;53050;Meerpersoonshuishouden met 3 personen;1991;17;;17.0;2.0;16.0;4.0;1.0;3.0;11.0;1.0;10.0;2.0;0.0
237;53050;Meerpersoonshuishouden met 3 personen;1992;17;;17.0;2.0;15.0;4.0;1.0;3.0;11.0;1.0;10.0;2.0;0.0
238;53050;Meerpersoonshuishouden met 3 personen;1993;16;;16.0;2.0;15.0;4.0;1.0;3.0;10.0;1.0;9.0;2.0;0.0
239;53050;Meerpersoonshuishouden met 3 personen;1994;15;;15.0;2.0;13.0;4.0;1.0;3.0;9.0;1.0;8.0;2.0;0.0
240;53050;Meerpersoonshuishouden met 4 personen;1971;17;;17.0;1.0;16.0;0.0;0.0;0.0;16.0;0.0;16.0;0.0;0.0
241;53050;Meerpersoonshuishouden met 4 personen;1972;15;;15.0;1.0;15.0;0.0;0.0;0.0;15.0;0.0;14.0;0.0;0.0
242;53050;Meerpersoonshuishouden met 4 personen;1973;14;;14.0;1.0;13.0;0.0;0.0;0.0;13.0;0.0;13.0;0.0;0.0
243;53050;Meerpersoonshuishouden met 4 personen;1974;13;;13.0;1.0;12.0;1.0;0.0;1.0;12.0;0.0;11.0;0.0;0.0
244;53050;Meerpersoonshuishouden met 4 personen;1975;12;;12.0;1.0;12.0;1.0;0.0;1.0;11.0;0.0;11.0;0.0;0.0
245;53050;Meerpersoonshuishouden met 4 personen;1976;12;;12.0;1.0;11.0;1.0;0.0;1.0;11.0;0.0;10.0;0.0;0.0
246;53050;Meerpersoonshuishouden met 4 personen;1977;12;;12.0;0.0;11.0;1.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0
247;53050;Meerpersoonshuishouden met 4 personen;1978;11;;11.0;0.0;11.0;1.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0
248;53050;Meerpersoonshuishouden met 4 personen;1979;10;;10.0;0.0;10.0;1.0;0.0;0.0;9.0;0.0;9.0;1.0;0.0
249;53050;Meerpersoonshuishouden met 4 personen;1980;10;;10.0;0.0;9.0;1.0;0.0;1.0;8.0;0.0;8.0;1.0;0.0
250;53050;Meerpersoonshuishouden met 4 personen;1981;9;;9.0;1.0;9.0;1.0;0.0;1.0;8.0;0.0;8.0;1.0;0.0
251;53050;Meerpersoonshuishouden met 4 personen;1982;9;;9.0;1.0;8.0;1.0;0.0;1.0;7.0;0.0;7.0;1.0;0.0
252;53050;Meerpersoonshuishouden met 4 personen;1983;8;;8.0;1.0;8.0;1.0;0.0;1.0;7.0;0.0;7.0;1.0;0.0
253;53050;Meerpersoonshuishouden met 4 personen;1984;8;;8.0;1.0;7.0;1.0;0.0;1.0;7.0;0.0;6.0;1.0;0.0
254;53050;Meerpersoonshuishouden met 4 personen;1985;8;;8.0;1.0;7.0;1.0;0.0;1.0;6.0;0.0;6.0;1.0;0.0
255;53050;Meerpersoonshuishouden met 4 personen;1986;7;;7.0;1.0;7.0;1.0;0.0;0.0;6.0;0.0;5.0;1.0;0.0
256;53050;Meerpersoonshuishouden met 4 personen;1987;7;;7.0;1.0;6.0;1.0;0.0;0.0;5.0;0.0;5.0;1.0;0.0
257;53050;Meerpersoonshuishouden met 4 personen;1988;6;;6.0;1.0;5.0;1.0;0.0;0.0;5.0;0.0;4.0;1.0;0.0
258;53050;Meerpersoonshuishouden met 4 personen;1989;6;;6.0;1.0;5.0;1.0;0.0;0.0;5.0;0.0;4.0;1.0;0.0
259;53050;Meerpersoonshuishouden met 4 personen;1990;5;;5.0;1.0;5.0;1.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0
260;53050;Meerpersoonshuishouden met 4 personen;1991;5;;5.0;1.0;4.0;1.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0
261;53050;Meerpersoonshuishouden met 4 personen;1992;5;;5.0;1.0;4.0;1.0;0.0;1.0;3.0;0.0;3.0;0.0;0.0
262;53050;Meerpersoonshuishouden met 4 personen;1993;5;;5.0;1.0;4.0;1.0;0.0;1.0;3.0;0.0;3.0;0.0;0.0
263;53050;Meerpersoonshuishouden met 4 personen;1994;4;;4.0;1.0;4.0;1.0;0.0;1.0;3.0;0.0;3.0;0.0;0.0
264;53050;Meerpersoonshuishouden met >=5 personen;1971;3;;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0
265;53050;Meerpersoonshuishouden met >=5 personen;1972;3;;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0
266;53050;Meerpersoonshuishouden met >=5 personen;1973;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
267;53050;Meerpersoonshuishouden met >=5 personen;1974;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
268;53050;Meerpersoonshuishouden met >=5 personen;1975;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
269;53050;Meerpersoonshuishouden met >=5 personen;1976;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
270;53050;Meerpersoonshuishouden met >=5 personen;1977;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
271;53050;Meerpersoonshuishouden met >=5 personen;1978;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
272;53050;Meerpersoonshuishouden met >=5 personen;1979;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
273;53050;Meerpersoonshuishouden met >=5 personen;1980;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
274;53050;Meerpersoonshuishouden met >=5 personen;1981;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
275;53050;Meerpersoonshuishouden met >=5 personen;1982;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
276;53050;Meerpersoonshuishouden met >=5 personen;1983;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
277;53050;Meerpersoonshuishouden met >=5 personen;1984;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0
278;53050;Meerpersoonshuishouden met >=5 personen;1985;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0
279;53050;Meerpersoonshuishouden met >=5 personen;1986;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0
280;53050;Meerpersoonshuishouden met >=5 personen;1987;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0
281;53050;Meerpersoonshuishouden met >=5 personen;1988;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0
282;53050;Meerpersoonshuishouden met >=5 personen;1989;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0
283;53050;Meerpersoonshuishouden met >=5 personen;1990;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0
284;53050;Meerpersoonshuishouden met >=5 personen;1991;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0
285;53050;Meerpersoonshuishouden met >=5 personen;1992;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0
286;53050;Meerpersoonshuishouden met >=5 personen;1993;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0
287;53050;Meerpersoonshuishouden met >=5 personen;1994;3;;3.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0
288;53500;Totaal;1971;794;92.0;701.0;146.0;556.0;6.0;4.0;2.0;678.0;139.0;539.0;14.0;4.0
289;53500;Totaal;1972;840;102.0;737.0;168.0;569.0;9.0;6.0;4.0;709.0;159.0;550.0;15.0;4.0
290;53500;Totaal;1973;881;112.0;770.0;187.0;582.0;13.0;8.0;5.0;737.0;176.0;561.0;16.0;3.0
291;53500;Totaal;1974;921;121.0;800.0;204.0;596.0;17.0;11.0;6.0;762.0;190.0;572.0;17.0;3.0
292;53500;Totaal;1975;960;131.0;830.0;219.0;611.0;21.0;14.0;8.0;786.0;202.0;584.0;19.0;3.0
293;53500;Totaal;1976;1000;141.0;858.0;231.0;628.0;26.0;18.0;8.0;809.0;210.0;599.0;20.0;4.0
294;53500;Totaal;1977;1035;153.0;881.0;241.0;640.0;31.0;22.0;9.0;824.0;215.0;609.0;22.0;4.0
295;53500;Totaal;1978;1068;168.0;900.0;254.0;645.0;36.0;27.0;9.0;834.0;223.0;611.0;25.0;4.0
296;53500;Totaal;1979;1099;185.0;913.0;268.0;645.0;42.0;32.0;10.0;838.0;232.0;607.0;28.0;4.0
297;53500;Totaal;1980;1128;206.0;922.0;283.0;638.0;49.0;38.0;11.0;836.0;240.0;596.0;32.0;5.0
298;53500;Totaal;1981;1155;230.0;925.0;298.0;627.0;57.0;45.0;11.0;827.0;248.0;579.0;36.0;5.0
299;53500;Totaal;1982;1168;253.0;915.0;307.0;607.0;65.0;53.0;11.0;804.0;249.0;555.0;41.0;5.0
300;53500;Totaal;1983;1177;278.0;898.0;312.0;586.0;73.0;62.0;11.0;774.0;244.0;530.0;45.0;6.0
301;53500;Totaal;1984;1187;305.0;883.0;315.0;568.0;83.0;71.0;12.0;744.0;237.0;507.0;49.0;7.0
302;53500;Totaal;1985;1201;331.0;870.0;319.0;551.0;93.0;81.0;12.0;716.0;229.0;488.0;52.0;8.0
303;53500;Totaal;1986;1218;354.0;863.0;327.0;536.0;105.0;92.0;13.0;695.0;225.0;469.0;54.0;9.0
304;53500;Totaal;1987;1237;375.0;862.0;339.0;523.0;119.0;104.0;15.0;679.0;225.0;454.0;55.0;10.0
305;53500;Totaal;1988;1259;393.0;866.0;354.0;512.0;134.0;117.0;17.0;667.0;227.0;440.0;55.0;10.0
306;53500;Totaal;1989;1280;408.0;872.0;369.0;503.0;150.0;130.0;19.0;657.0;228.0;429.0;54.0;11.0
307;53500;Totaal;1990;1303;422.0;882.0;384.0;498.0;165.0;143.0;22.0;651.0;230.0;421.0;55.0;11.0
308;53500;Totaal;1991;1326;433.0;893.0;395.0;498.0;183.0;159.0;24.0;642.0;225.0;417.0;56.0;11.0
309;53500;Totaal;1992;1346;445.0;901.0;406.0;495.0;198.0;170.0;27.0;635.0;223.0;411.0;56.0;12.0
310;53500;Totaal;1993;1359;458.0;901.0;417.0;484.0;213.0;182.0;31.0;620.0;222.0;397.0;56.0;12.0
311;53500;Totaal;1994;1368;471.0;897.0;421.0;476.0;231.0;197.0;34.0;595.0;211.0;383.0;58.0;13.0
312;53500;Eenpersoonshuishouden;1971;92;92.0;;;;;;;;;;;
313;53500;Eenpersoonshuishouden;1972;102;102.0;;;;;;;;;;;
314;53500;Eenpersoonshuishouden;1973;112;112.0;;;;;;;;;;;
315;53500;Eenpersoonshuishouden;1974;121;121.0;;;;;;;;;;;
316;53500;Eenpersoonshuishouden;1975;131;131.0;;;;;;;;;;;
317;53500;Eenpersoonshuishouden;1976;141;141.0;;;;;;;;;;;
318;53500;Eenpersoonshuishouden;1977;153;153.0;;;;;;;;;;;
319;53500;Eenpersoonshuishouden;1978;168;168.0;;;;;;;;;;;
